278_127215_000010_000000	Chapter XIV	Chapter fourteen
278_127215_000019_000000	Yes indeed, able and willing to guide all men in all things, so long as he is obeyed as autocrat should be obeyed,--with undoubting submission: only let not ungrateful ministers seek other colleagues than those whom Tom Towers may approve; let church and state, law and physic, commerce and agriculture, the arts of war, and the arts of peace, all listen and obey, and all will be made perfect.	Yes indeed, able and willing to guide all men in all things, so long as he is obeyed as autocrat should be obeyed,--with undoubting submission: only let not ungrateful ministers seek other colleagues than those whom Tom Towers may approve; let church and state, law and physic, commerce and agriculture, the arts of war, and the arts of peace, all listen and obey, and all will be made perfect.
278_127215_000019_000003	From a bishopric in New Zealand to an unfortunate director of a North-west passage, is he not the only fit judge of capability?	From a bishopric in New Zealand to an unfortunate director of a north-west passage, is he not the only fit judge of capability?
278_127215_000020_000000	No established religion has ever been without its unbelievers, even in the country where it is the most firmly fixed; no creed has been without scoffers; no church has so prospered as to free itself entirely from dissent.	No established religion has ever been without its unbelievers, even in the country where it is the most firmly fixed; no creed has been without scoffers; no church has so prospered as to free itself entirely from dissent.
278_127215_000021_000001	It may probably be said that no place in this 19th century is more worthy of notice.	It may probably be said that no place in this nineteenth century is more worthy of notice.
278_127215_000021_000002	No treasury mandate armed with the signatures of all the government has half the power of one of those broad sheets, which fly forth from hence so abundantly, armed with no signature at all.	No treasury mandate armed with the signatures of all the government has half the power of one of those broad sheets, which fly forth from hence so abundantly, armed with no signature at all.
278_127215_000022_000001	He rises in the morning degraded, mean, and miserable; an object of men's scorn, anxious only to retire as quickly as may be to some German obscurity, some unseen Italian privacy, or indeed, anywhere out of sight.	He rises in the morning degraded, mean, and miserable; an object of men's scorn, anxious only to retire as quickly as may be to some German obscurity, some unseen Italian privacy, or indeed, anywhere out of sight.
278_127215_000022_000003	what has so afflicted him?	what has so afflicted him?
278_127215_000023_000000	It was not to Mount Olympus that our friend Bold betook himself.	It was not to Mount Olympus that our friend Bold betook himself.
278_127215_000023_000003	With such ideas, half ambitious and half awe-struck, had Bold regarded the silent-looking workshop of the gods; but he had never yet by word or sign attempted to influence the slightest word of his unerring friend.	With such ideas, half ambitious and half awe struck, had Bold regarded the silent looking workshop of the gods; but he had never yet by word or sign attempted to influence the slightest word of his unerring friend.
278_127215_000023_000004	On such a course was he now intent; and not without much inward palpitation did he betake himself to the quiet abode of wisdom, where Tom Towers was to be found o' mornings inhaling ambrosia and sipping nectar in the shape of toast and tea.	On such a course was he now intent; and not without much inward palpitation did he betake himself to the quiet abode of wisdom, where Tom Towers was to be found o' mornings inhaling ambrosia and sipping nectar in the shape of toast and tea.
278_127215_000024_000000	Not far removed from Mount Olympus, but somewhat nearer to the blessed regions of the West, is the most favoured abode of Themis.	Not far removed from Mount Olympus, but somewhat nearer to the blessed regions of the West, is the most favoured abode of Themis.
278_127215_000025_000000	Here, on the choicest spot of this choice ground, stands a lofty row of chambers, looking obliquely upon the sullied Thames; before the windows, the lawn of the Temple Gardens stretches with that dim yet delicious verdure so refreshing to the eyes of Londoners.	Here, on the choicest spot of this choice ground, stands a lofty row of chambers, looking obliquely upon the sullied Thames; before the windows, the lawn of the Temple Gardens stretches with that dim yet delicious verdure so refreshing to the eyes of Londoners.
278_127215_000025_000001	If doomed to live within the thickest of London smoke you would surely say that that would be your chosen spot.	If doomed to live within the thickest of London smoke you would surely say that that would be your chosen spot.
278_127215_000025_000002	Yes, you, you whom I now address, my dear, middle-aged bachelor friend, can nowhere be so well domiciled as here.	Yes, you, you whom I now address, my dear, middle aged bachelor friend, can nowhere be so well domiciled as here.
278_127215_000025_000003	No one here will ask whether you are out or at home; alone or with friends; here no Sabbatarian will investigate your Sundays, no censorious landlady will scrutinise your empty bottle, no valetudinarian neighbour will complain of late hours.	No one here will ask whether you are out or at home; alone or with friends; here no Sabbatarian will investigate your Sundays, no censorious landlady will scrutinise your empty bottle, no valetudinarian neighbour will complain of late hours.
278_127215_000025_000004	If you love books, to what place are books so suitable?	If you love books, to what place are books so suitable?
278_127215_000025_000005	The whole spot is redolent of typography.	The whole spot is redolent of typography.
278_127215_000025_000006	Would you worship the Paphian goddess, the groves of Cyprus are not more taciturn than those of the Temple. Wit and wine are always here, and always together; the revels of the Temple are as those of polished Greece, where the wildest worshipper of Bacchus never forgot the dignity of the god whom he adored.	Would you worship the Paphian goddess, the groves of Cyprus are not more taciturn than those of the Temple. Wit and wine are always here, and always together; the revels of the Temple are as those of polished Greece, where the wildest worshipper of Bacchus never forgot the dignity of the god whom he adored.
278_127215_000025_000007	Where can retirement be so complete as here?	Where can retirement be so complete as here?
278_127215_000025_000008	where can you be so sure of all the pleasures of society?	where can you be so sure of all the pleasures of society?
278_127215_000026_000000	It was here that Tom Towers lived, and cultivated with eminent success the tenth Muse who now governs the periodical press.	It was here that Tom Towers lived, and cultivated with eminent success the tenth Muse who now governs the periodical press.
278_127215_000026_000001	But let it not be supposed that his chambers were such, or so comfortless, as are frequently the gaunt abodes of legal aspirants.	But let it not be supposed that his chambers were such, or so comfortless, as are frequently the gaunt abodes of legal aspirants.
278_127215_000026_000003	He indulged in four rooms on the first floor, each of which was furnished, if not with the splendour, with probably more than the comfort of Stafford House.	He indulged in four rooms on the first floor, each of which was furnished, if not with the splendour, with probably more than the comfort of Stafford House.
278_127215_000026_000007	This picture was not hung, as pictures usually are, against the wall; there was no inch of wall vacant for such a purpose: it had a stand or desk erected for its own accommodation; and there on her pedestal, framed and glazed, stood the devotional lady looking intently at a lily as no lady ever looked before.	This picture was not hung, as pictures usually are, against the wall; there was no inch of wall vacant for such a purpose: it had a stand or desk erected for its own accommodation; and there on her pedestal, framed and glazed, stood the devotional lady looking intently at a lily as no lady ever looked before.
278_127215_000027_000000	Our modern artists, whom we style Pre-Raphaelites, have delighted to go back, not only to the finish and peculiar manner, but also to the subjects of the early painters.	Our modern artists, whom we style Pre Raphaelites, have delighted to go back, not only to the finish and peculiar manner, but also to the subjects of the early painters.
278_127215_000027_000003	But they are anything but happy in their change.	But they are anything but happy in their change.
278_127215_000028_000000	It was easy, from his rooms, to see that Tom Towers was a Sybarite, though by no means an idle one.	It was easy, from his rooms, to see that Tom Towers was a Sybarite, though by no means an idle one.
278_127215_000028_000001	He was lingering over his last cup of tea, surrounded by an ocean of newspapers, through which he had been swimming, when John Bold's card was brought in by his tiger.	He was lingering over his last cup of tea, surrounded by an ocean of newspapers, through which he had been swimming, when john Bold's card was brought in by his tiger.
278_127215_000028_000002	This tiger never knew that his master was at home, though he often knew that he was not, and thus Tom Towers was never invaded but by his own consent.	This tiger never knew that his master was at home, though he often knew that he was not, and thus Tom Towers was never invaded but by his own consent.
278_127215_000028_000003	On this occasion, after twisting the card twice in his fingers, he signified to his attendant imp that he was visible; and the inner door was unbolted, and our friend announced.	On this occasion, after twisting the card twice in his fingers, he signified to his attendant imp that he was visible; and the inner door was unbolted, and our friend announced.
278_127215_000029_000001	There was no very great difference in their ages, for Towers was still considerably under forty; and when Bold had been attending the London hospitals, Towers, who was not then the great man that he had since become, had been much with him.	There was no very great difference in their ages, for Towers was still considerably under forty; and when Bold had been attending the London hospitals, Towers, who was not then the great man that he had since become, had been much with him.
278_127215_000029_000003	It is true he wore no ermine, bore no outward marks of a world's respect; but with what a load of inward importance was he charged!	It is true he wore no ermine, bore no outward marks of a world's respect; but with what a load of inward importance was he charged!
278_127215_000029_000004	It is true his name appeared in no large capitals; on no wall was chalked up "Tom Towers for ever;"--"Freedom of the Press and Tom Towers;" but what member of Parliament had half his power?	It is true his name appeared in no large capitals; on no wall was chalked up "Tom Towers for ever;"--"Freedom of the Press and Tom Towers;" but what member of Parliament had half his power?
278_127215_000029_000006	This kind of hidden but still conscious glory suited the nature of the man.	This kind of hidden but still conscious glory suited the nature of the man.
278_127215_000029_000008	He loved to watch the great men of whom he daily wrote, and flatter himself that he was greater than any of them.	He loved to watch the great men of whom he daily wrote, and flatter himself that he was greater than any of them.
278_127215_000029_000009	Each of them was responsible to his country, each of them must answer if inquired into, each of them must endure abuse with good humour, and insolence without anger.	Each of them was responsible to his country, each of them must answer if inquired into, each of them must endure abuse with good humour, and insolence without anger.
278_127215_000029_000010	But to whom was he, Tom Towers, responsible?	But to whom was he, Tom Towers, responsible?
278_127215_000029_000011	No one could insult him; no one could inquire into him.	No one could insult him; no one could inquire into him.
