278_127215_000000_000000	"Oh, papa, I am so glad!"	"Oh, papa, I am so glad!"	false	0	0	
278_127215_000005_000000	"But we will take the music, my dear."	"But we will take the music, my dear."	false	7.74	7.74	
278_127215_000006_000000	And so they went on planning their future happiness, and plotting how they would arrange it all without the interposition of the archdeacon, and at last they again became confidential, and then the warden did thank her for what she had done, and Eleanor, lying on her father's shoulder, did find an opportunity to tell her secret: and the father gave his blessing to his child, and said that the man whom she loved was honest, good, and kind-hearted, and right-thinking in the main,--one who wanted only a good wife to put him quite upright,--"a man, my love," he ended by saying, "to whom I firmly believe that I can trust my treasure with safety."	And so they went on planning their future happiness, and plotting how they would arrange it all without the interposition of the archdeacon, and at last they again became confidential, and then the warden did thank her for what she had done, and Eleanor, lying on her father's shoulder, did find an opportunity to tell her secret: and the father gave his blessing to his child, and said that the man whom she loved was honest, good, and kind hearted, and right thinking in the main,--one who wanted only a good wife to put him quite upright,--"a man, my love," he ended by saying, "to whom I firmly believe that I can trust my treasure with safety."	false	7.74	14.94	23.592438
278_127215_000007_000000	"But what will Dr Grantly say?"	"But what will Dr Grantly say?"	false	14.94	15.21	-20
278_127215_000008_000000	"Well, my dear, it can't be helped;--we shall be out at Crabtree then."	"Well, my dear, it can't be helped;--we shall be out at Crabtree then."	false	15.21	15.84	26.322893
278_127215_000009_000000	And Eleanor ran upstairs to prepare her father's clothes for his journey; and the warden returned to his garden to make his last adieux to every tree, and shrub, and shady nook that he knew so well.	And Eleanor ran upstairs to prepare her father's clothes for his journey; and the warden returned to his garden to make his last adieux to every tree, and shrub, and shady nook that he knew so well.	false	15.84	22.08	22.794436
278_127215_000010_000000	Chapter XIV	Chapter fourteen	true	22.08	23.65	25.413681
278_127215_000011_000000	MOUNT OLYMPUS	MOUNT OLYMPUS	true	23.72	25.3	23.940224
278_127215_000012_000000	Wretched in spirit, groaning under the feeling of insult, self-condemning, and ill-satisfied in every way, Bold returned to his London lodgings.	Wretched in spirit, groaning under the feeling of insult, self condemning, and ill satisfied in every way, Bold returned to his London lodgings.	true	26.69	37.39	21.17302
278_127215_000012_000001	Ill as he had fared in his interview with the archdeacon, he was not the less under the necessity of carrying out his pledge to Eleanor; and he went about his ungracious task with a heavy heart.	Ill as he had fared in his interview with the archdeacon, he was not the less under the necessity of carrying out his pledge to Eleanor; and he went about his ungracious task with a heavy heart.	true	37.55	49.78	21.230225
278_127215_000013_000000	The attorneys whom he had employed in London received his instructions with surprise and evident misgiving; however, they could only obey, and mutter something of their sorrow that such heavy costs should only fall upon their own employer,--especially as nothing was wanting but perseverance to throw them on the opposite party.	The attorneys whom he had employed in London received his instructions with surprise and evident misgiving; however, they could only obey, and mutter something of their sorrow that such heavy costs should only fall upon their own employer,--especially as nothing was wanting but perseverance to throw them on the opposite party.	true	50.72	73.57	21.536787
278_127215_000013_000001	Bold left the office which he had latterly so much frequented, shaking the dust from off his feet; and before he was down the stairs, an edict had already gone forth for the preparation of the bill.	Bold left the office which he had latterly so much frequented, shaking the dust from off his feet; and before he was down the stairs, an edict had already gone forth for the preparation of the bill.	false	74.09	87.52	22.153719
278_127215_000014_000000	He next thought of the newspapers.	He next thought of the newspapers.	true	89.03	91.24	23.831758
278_127215_000014_000001	The case had been taken up by more than one; and he was well aware that the keynote had been sounded by _The Jupiter_.	The case had been taken up by more than one; and he was well aware that the keynote had been sounded by underscore The Jupiter underscore.	false	91.67	99.45	21.927942
278_127215_000014_000002	He had been very intimate with Tom Towers, and had often discussed with him the affairs of the hospital.	He had been very intimate with Tom Towers, and had often discussed with him the affairs of the hospital.	true	99.45	105.37	22
278_127215_000014_000003	Bold could not say that the articles in that paper had been written at his own instigation.	Bold could not say that the articles in that paper had been written at his own instigation.	false	105.98	111.31	23
278_127215_000014_000004	He did not even know, as a fact, that they had been written by his friend.	He did not even know, as a fact, that they had been written by his friend.	true	111.74	115.78	21.525537
278_127215_000014_000005	Tom Towers had never said that such a view of the case, or such a side in the dispute, would be taken by the paper with which he was connected.	Tom Towers had never said that such a view of the case, or such a side in the dispute, would be taken by the paper with which he was connected.	true	116.42	125.17	21.616875
278_127215_000014_000006	Very discreet in such matters was Tom Towers, and altogether indisposed to talk loosely of the concerns of that mighty engine of which it was his high privilege to move in secret some portion.	Very discreet in such matters was Tom Towers, and altogether indisposed to talk loosely of the concerns of that mighty engine of which it was his high privilege to move in secret some portion.	false	125.45	139	21.836317
278_127215_000014_000007	Nevertheless Bold believed that to him were owing those dreadful words which had caused such panic at Barchester,--and he conceived himself bound to prevent their repetition.	Nevertheless Bold believed that to him were owing those dreadful words which had caused such panic at Barchester,--and he conceived himself bound to prevent their repetition.	true	139.49	151	22.494684
278_127215_000014_000008	With this view he betook himself from the attorneys' office to that laboratory where, with amazing chemistry, Tom Towers compounded thunderbolts for the destruction of all that is evil, and for the furtherance of all that is good, in this and other hemispheres.	With this view he betook himself from the attorneys' office to that laboratory where, with amazing chemistry, Tom Towers compounded thunderbolts for the destruction of all that is evil, and for the furtherance of all that is good, in this and other hemispheres.	true	152.12	168.64	21.495178
278_127215_000015_000000	Who has not heard of Mount Olympus,--that high abode of all the powers of type, that favoured seat of the great goddess Pica, that wondrous habitation of gods and devils, from whence, with ceaseless hum of steam and never-ending flow of Castalian ink, issue forth fifty thousand nightly edicts for the governance of a subject nation?	Who has not heard of Mount Olympus,--that high abode of all the powers of type, that favoured seat of the great goddess Pica, that wondrous habitation of gods and devils, from whence, with ceaseless hum of steam and never ending flow of Castalian ink, issue forth fifty thousand nightly edicts for the governance of a subject nation?	true	170.3	193.69	21.465065
278_127215_000016_000000	Velvet and gilding do not make a throne, nor gold and jewels a sceptre.	Velvet and gilding do not make a throne, nor gold and jewels a sceptre.	true	195.11	200.68	21.385021
278_127215_000016_000001	It is a throne because the most exalted one sits there,--and a sceptre because the most mighty one wields it.	It is a throne because the most exalted one sits there,--and a sceptre because the most mighty one wields it.	true	200.99	208.06	21.009583
278_127215_000016_000002	So it is with Mount Olympus.	So it is with Mount Olympus.	true	209.12	211.12	19.16891
278_127215_000016_000003	Should a stranger make his way thither at dull noonday, or during the sleepy hours of the silent afternoon, he would find no acknowledged temple of power and beauty, no fitting fane for the great Thunderer, no proud facades and pillared roofs to support the dignity of this greatest of earthly potentates.	Should a stranger make his way thither at dull noonday, or during the sleepy hours of the silent afternoon, he would find no acknowledged temple of power and beauty, no fitting fane for the great Thunderer, no proud facades and pillared roofs to support the dignity of this greatest of earthly potentates.	true	211.73	231.64	22.567493
278_127215_000016_000004	To the outward and uninitiated eye, Mount Olympus is a somewhat humble spot,--undistinguished, unadorned,--nay, almost mean.	To the outward and uninitiated eye, Mount Olympus is a somewhat humble spot,--undistinguished, unadorned,--nay, almost mean.	true	232.43	242.47	22.796062
278_127215_000016_000005	It stands alone, as it were, in a mighty city, close to the densest throng of men, but partaking neither of the noise nor the crowd; a small secluded, dreary spot, tenanted, one would say, by quite unambitious people at the easiest rents.	It stands alone, as it were, in a mighty city, close to the densest throng of men, but partaking neither of the noise nor the crowd; a small secluded, dreary spot, tenanted, one would say, by quite unambitious people at the easiest rents.	false	243.08	261.13	21.91758
278_127215_000016_000006	"Is this Mount Olympus?" asks the unbelieving stranger.	"Is this Mount Olympus?" asks the unbelieving stranger.	true	261.74	265.54	20.265163
278_127215_000016_000007	"Is it from these small, dark, dingy buildings that those infallible laws proceed which cabinets are called upon to obey; by which bishops are to be guided, lords and commons controlled, judges instructed in law, generals in strategy, admirals in naval tactics, and orange-women in the management of their barrows?" "Yes, my friend--from these walls.	"Is it from these small, dark, dingy buildings that those infallible laws proceed which cabinets are called upon to obey; by which bishops are to be guided, lords and commons controlled, judges instructed in law, generals in strategy, admirals in naval tactics, and orange women in the management of their barrows?" "Yes, my friend-from these walls.	true	265.64	291.85	21.736792
278_127215_000016_000008	From here issue the only known infallible bulls for the guidance of British souls and bodies. This little court is the Vatican of England.	From here issue the only known infallible bulls for the guidance of British souls and bodies. This little court is the Vatican of England.	true	292.58	302.32	22.863464
278_127215_000016_000009	Here reigns a pope, self-nominated, self-consecrated,--ay, and much stranger too,--self-believing!--a pope whom, if you cannot obey him, I would advise you to disobey as silently as possible; a pope hitherto afraid of no Luther; a pope who manages his own inquisition, who punishes unbelievers as no most skilful inquisitor of Spain ever dreamt of doing;--one who can excommunicate thoroughly, fearfully, radically; put you beyond the pale of men's charity; make you odious to your dearest friends, and turn you into a monster to be pointed at by the finger!" Oh heavens! and this is Mount Olympus!	Here reigns a pope, self nominated, self consecrated,--ay, and much stranger too,--self believing!--a pope whom, if you cannot obey him, I would advise you to disobey as silently as possible; a pope hitherto afraid of no Luther; a pope who manages his own inquisition, who punishes unbelievers as no most skilful inquisitor of Spain ever dreamt of doing;--one who can excommunicate thoroughly, fearfully, radically; put you beyond the pale of men's charity; make you odious to your dearest friends, and turn you into a monster to be pointed at by the finger!" Oh heavens! and this is Mount Olympus!	true	302.69	349.63	22.507414
278_127215_000017_000000	It is a fact amazing to ordinary mortals that _The Jupiter_ is never wrong.	It is a fact amazing to ordinary mortals that underscore The Jupiter underscore is never wrong.	false	351.14	356.32	21.139734
278_127215_000017_000001	With what endless care, with what unsparing labour, do we not strive to get together for our great national council the men most fitting to compose it.	With what endless care, with what unsparing labour, do we not strive to get together for our great national council the men most fitting to compose it.	true	356.93	367.54	23.693466
278_127215_000017_000002	And how we fail!	And how we fail!	true	367.82	369.31	19.632332
278_127215_000017_000003	Parliament is always wrong: look at _The Jupiter_, and see how futile are their meetings, how vain their council, how needless all their trouble!	Parliament is always wrong: look at underscore The Jupiter underscore, and see how futile are their meetings, how vain their council, how needless all their trouble!	false	370.52	381.31	23.17011
278_127215_000017_000004	With what pride do we regard our chief ministers, the great servants of state, the oligarchs of the nation on whose wisdom we lean, to whom we look for guidance in our difficulties!	With what pride do we regard our chief ministers, the great servants of state, the oligarchs of the nation on whose wisdom we lean, to whom we look for guidance in our difficulties!	false	381.89	394.57	20.272308
278_127215_000017_000005	But what are they to the writers of _The Jupiter_? They hold council together and with anxious thought painfully elaborate their country's good; but when all is done, _The Jupiter_ declares that all is naught.	But what are they to the writers of underscore The Jupiter underscore? They hold council together and with anxious thought painfully elaborate their country's good; but when all is done, underscore The Jupiter underscore declares that all is naught.	false	395.24	410.14	20.855492
278_127215_000017_000006	Why should we look to Lord John Russell;--why should we regard Palmerston and Gladstone, when Tom Towers without a struggle can put us right?	Why should we look to Lord john Russell;--why should we regard Palmerston and Gladstone, when Tom Towers without a struggle can put us right?	true	410.57	420.22	22.317345
278_127215_000017_000007	Look at our generals, what faults they make; at our admirals, how inactive they are.	Look at our generals, what faults they make; at our admirals, how inactive they are.	true	420.8	426.46	24.337837
278_127215_000017_000008	What money, honesty, and science can do, is done; and yet how badly are our troops brought together, fed, conveyed, clothed, armed, and managed. The most excellent of our good men do their best to man our ships, with the assistance of all possible external appliances; but in vain. All, all is wrong--alas! alas!	What money, honesty, and science can do, is done; and yet how badly are our troops brought together, fed, conveyed, clothed, armed, and managed. The most excellent of our good men do their best to man our ships, with the assistance of all possible external appliances; but in vain. All, all is wrong-alas! alas!	true	426.92	453.45	23.038754
278_127215_000017_000009	Tom Towers, and he alone, knows all about it.	Tom Towers, and he alone, knows all about it.	true	453.45	457.09	22.581425
278_127215_000017_000010	Why, oh why, ye earthly ministers, why have ye not followed more closely this heaven-sent messenger that is among us?	Why, oh why, ye earthly ministers, why have ye not followed more closely this heaven sent messenger that is among us?	true	457.52	465.85	21.712128
278_127215_000018_000000	Were it not well for us in our ignorance that we confided all things to _The Jupiter_?	Were it not well for us in our ignorance that we confided all things to underscore The Jupiter underscore?	false	466.94	472.68	23.511292
278_127215_000018_000001	Would it not be wise in us to abandon useless talking, idle thinking, and profitless labour?	Would it not be wise in us to abandon useless talking, idle thinking, and profitless labour?	true	472.68	478.84	21.615788
278_127215_000018_000002	Away with majorities in the House of Commons, with verdicts from judicial bench given after much delay, with doubtful laws, and the fallible attempts of humanity! Does not _The Jupiter_, coming forth daily with fifty thousand impressions full of unerring decision on every mortal subject, set all matters sufficiently at rest?	Away with majorities in the House of Commons, with verdicts from judicial bench given after much delay, with doubtful laws, and the fallible attempts of humanity! Does not underscore The Jupiter underscore, coming forth daily with fifty thousand impressions full of unerring decision on every mortal subject, set all matters sufficiently at rest?	false	479.24	502.15	22.050112
278_127215_000018_000003	Is not Tom Towers here, able to guide us and willing?	Is not Tom Towers here, able to guide us and willing?	true	502.46	506.29	20
278_127215_000019_000000	Yes indeed, able and willing to guide all men in all things, so long as he is obeyed as autocrat should be obeyed,--with undoubting submission: only let not ungrateful ministers seek other colleagues than those whom Tom Towers may approve; let church and state, law and physic, commerce and agriculture, the arts of war, and the arts of peace, all listen and obey, and all will be made perfect.	Yes indeed, able and willing to guide all men in all things, so long as he is obeyed as autocrat should be obeyed,--with undoubting submission: only let not ungrateful ministers seek other colleagues than those whom Tom Towers may approve; let church and state, law and physic, commerce and agriculture, the arts of war, and the arts of peace, all listen and obey, and all will be made perfect.	true	507.2	536.98	22.045856
278_127215_000019_000001	Has not Tom Towers an all-seeing eye?	Has not Tom Towers an all seeing eye?	false	537.38	540.49	18
278_127215_000019_000002	From the diggings of Australia to those of California, right round the habitable globe, does he not know, watch, and chronicle the doings of everyone?	From the diggings of Australia to those of California, right round the habitable globe, does he not know, watch, and chronicle the doings of everyone?	false	540.77	550.45	20.75475
278_127215_000019_000003	From a bishopric in New Zealand to an unfortunate director of a North-west passage, is he not the only fit judge of capability?	From a bishopric in New Zealand to an unfortunate director of a north-west passage, is he not the only fit judge of capability?	true	551.27	559.96	23.761377
278_127215_000019_000004	From the sewers of London to the Central Railway of India,--from the palaces of St Petersburg to the cabins of Connaught, nothing can escape him.	From the sewers of London to the Central Railway of India,--from the palaces of St Petersburg to the cabins of Connaught, nothing can escape him.	false	560.45	570.82	22.13841
278_127215_000019_000005	Britons have but to read, to obey, and be blessed.	Britons have but to read, to obey, and be blessed.	true	571.25	574.87	19.069603
278_127215_000019_000006	None but the fools doubt the wisdom of _The Jupiter_; none but the mad dispute its facts.	None but the fools doubt the wisdom of underscore The Jupiter underscore; none but the mad dispute its facts.	false	575.15	581.02	24.264492
278_127215_000020_000000	No established religion has ever been without its unbelievers, even in the country where it is the most firmly fixed; no creed has been without scoffers; no church has so prospered as to free itself entirely from dissent.	No established religion has ever been without its unbelievers, even in the country where it is the most firmly fixed; no creed has been without scoffers; no church has so prospered as to free itself entirely from dissent.	true	582.77	599.14	23.674955
278_127215_000020_000001	There are those who doubt _The Jupiter_! They live and breathe the upper air, walking here unscathed, though scorned,--men, born of British mothers and nursed on English milk, who scruple not to say that Mount Olympus has its price, that Tom Towers can be bought for gold!	There are those who doubt underscore The Jupiter underscore! They live and breathe the upper air, walking here unscathed, though scorned,--men, born of British mothers and nursed on English milk, who scruple not to say that Mount Olympus has its price, that Tom Towers can be bought for gold!	false	599.63	618.88	23.251242
278_127215_000021_000000	Such is Mount Olympus, the mouthpiece of all the wisdom of this great country.	Such is Mount Olympus, the mouthpiece of all the wisdom of this great country.	false	619.79	624.85	21.957323
278_127215_000021_000001	It may probably be said that no place in this 19th century is more worthy of notice.	It may probably be said that no place in this nineteenth century is more worthy of notice.	true	624.86	630.88	21.505564
278_127215_000021_000002	No treasury mandate armed with the signatures of all the government has half the power of one of those broad sheets, which fly forth from hence so abundantly, armed with no signature at all.	No treasury mandate armed with the signatures of all the government has half the power of one of those broad sheets, which fly forth from hence so abundantly, armed with no signature at all.	true	631.31	643.87	21.787066
278_127215_000022_000000	Some great man, some mighty peer,--we'll say a noble duke,--retires to rest feared and honoured by all his countrymen,--fearless himself; if not a good man, at any rate a mighty man,--too mighty to care much what men may say about his want of virtue.	Some great man, some mighty peer,--we'll say a noble duke,--retires to rest feared and honoured by all his countrymen,--fearless himself; if not a good man, at any rate a mighty man,--too mighty to care much what men may say about his want of virtue.	false	645.62	664.93	21.487213
278_127215_000022_000001	He rises in the morning degraded, mean, and miserable; an object of men's scorn, anxious only to retire as quickly as may be to some German obscurity, some unseen Italian privacy, or indeed, anywhere out of sight.	He rises in the morning degraded, mean, and miserable; an object of men's scorn, anxious only to retire as quickly as may be to some German obscurity, some unseen Italian privacy, or indeed, anywhere out of sight.	true	665.45	681.67	21.973495
278_127215_000022_000002	What has made this awful change?	What has made this awful change?	true	682.01	684.1	19.854317
278_127215_000022_000003	what has so afflicted him?	what has so afflicted him?	true	684.32	686.08	20.901407
278_127215_000022_000004	An article has appeared in _The Jupiter_; some fifty lines of a narrow column have destroyed all his grace's equanimity, and banished him for ever from the world. No man knows who wrote the bitter words; the clubs talk confusedly of the matter, whispering to each other this and that name; while Tom Towers walks quietly along Pall Mall, with his coat buttoned close against the east wind, as though he were a mortal man, and not a god dispensing thunderbolts from Mount Olympus.	An article has appeared in underscore The Jupiter underscore; some fifty lines of a narrow column have destroyed all his grace's equanimity, and banished him for ever from the world. No man knows who wrote the bitter words; the clubs talk confusedly of the matter, whispering to each other this and that name; while Tom Towers walks quietly along Pall Mall, with his coat buttoned close against the east wind, as though he were a mortal man, and not a god dispensing thunderbolts from Mount Olympus.	false	686.42	719.17	21.083904
278_127215_000023_000000	It was not to Mount Olympus that our friend Bold betook himself.	It was not to Mount Olympus that our friend Bold betook himself.	true	720.2	724.42	23.523458
278_127215_000023_000001	He had before now wandered round that lonely spot, thinking how grand a thing it was to write articles for _The Jupiter_; considering within himself whether by any stretch of the powers within him he could ever come to such distinction; wondering how Tom Towers would take any little humble offering of his talents; calculating that Tom Towers himself must have once had a beginning, have once doubted as to his own success.	He had before now wandered round that lonely spot, thinking how grand a thing it was to write articles for underscore The Jupiter underscore; considering within himself whether by any stretch of the powers within him he could ever come to such distinction; wondering how Tom Towers would take any little humble offering of his talents; calculating that Tom Towers himself must have once had a beginning, have once doubted as to his own success.	false	724.67	752.35	22.06604
278_127215_000023_000002	Towers could not have been born a writer in _The Jupiter_.	Towers could not have been born a writer in underscore The Jupiter underscore.	false	752.93	756.66	20.297459
278_127215_000023_000003	With such ideas, half ambitious and half awe-struck, had Bold regarded the silent-looking workshop of the gods; but he had never yet by word or sign attempted to influence the slightest word of his unerring friend.	With such ideas, half ambitious and half awe struck, had Bold regarded the silent looking workshop of the gods; but he had never yet by word or sign attempted to influence the slightest word of his unerring friend.	true	756.66	770.77	22.460602
278_127215_000023_000004	On such a course was he now intent; and not without much inward palpitation did he betake himself to the quiet abode of wisdom, where Tom Towers was to be found o' mornings inhaling ambrosia and sipping nectar in the shape of toast and tea.	On such a course was he now intent; and not without much inward palpitation did he betake himself to the quiet abode of wisdom, where Tom Towers was to be found o' mornings inhaling ambrosia and sipping nectar in the shape of toast and tea.	true	771.29	787.27	23
278_127215_000024_000000	Not far removed from Mount Olympus, but somewhat nearer to the blessed regions of the West, is the most favoured abode of Themis.	Not far removed from Mount Olympus, but somewhat nearer to the blessed regions of the West, is the most favoured abode of Themis.	true	788.99	797.23	22.629652
278_127215_000024_000001	Washed by the rich tide which now passes from the towers of Caesar to Barry's halls of eloquence; and again back, with new offerings of a city's tribute, from the palaces of peers to the mart of merchants, stand those quiet walls which Law has delighted to honour by its presence. What a world within a world is the Temple! how quiet are its "entangled walks," as someone lately has called them, and yet how close to the densest concourse of humanity! how gravely respectable its sober alleys, though removed but by a single step from the profanity of the Strand and the low iniquity of Fleet Street!	Washed by the rich tide which now passes from the towers of Caesar to Barry's halls of eloquence; and again back, with new offerings of a city's tribute, from the palaces of peers to the mart of merchants, stand those quiet walls which Law has delighted to honour by its presence. What a world within a world is the Temple! how quiet are its "entangled walks," as someone lately has called them, and yet how close to the densest concourse of humanity! how gravely respectable its sober alleys, though removed but by a single step from the profanity of the Strand and the low iniquity of Fleet Street!	false	797.99	841.57	22.118813
278_127215_000024_000002	Old St Dunstan, with its bell-smiting bludgeoners, has been removed; the ancient shops with their faces full of pleasant history are passing away one by one; the bar itself is to go--its doom has been pronounced by _The Jupiter_; rumour tells us of some huge building that is to appear in these latitudes dedicated to law, subversive of the courts of Westminster, and antagonistic to the Rolls and Lincoln's Inn; but nothing yet threatens the silent beauty of the Temple: it is the mediaeval court of the metropolis.	Old saint Dunstan, with its bell smiting bludgeoners, has been removed; the ancient shops with their faces full of pleasant history are passing away one by one; the bar itself is to go-its doom has been pronounced by underscore The Jupiter underscore; rumour tells us of some huge building that is to appear in these latitudes dedicated to law, subversive of the courts of Westminster, and antagonistic to the Rolls and Lincoln's Inn; but nothing yet threatens the silent beauty of the Temple: it is the mediaeval court of the metropolis.	false	842.24	879.25	21.200798
278_127215_000025_000000	Here, on the choicest spot of this choice ground, stands a lofty row of chambers, looking obliquely upon the sullied Thames; before the windows, the lawn of the Temple Gardens stretches with that dim yet delicious verdure so refreshing to the eyes of Londoners.	Here, on the choicest spot of this choice ground, stands a lofty row of chambers, looking obliquely upon the sullied Thames; before the windows, the lawn of the Temple Gardens stretches with that dim yet delicious verdure so refreshing to the eyes of Londoners.	true	880.31	898.81	22.037083
278_127215_000025_000001	If doomed to live within the thickest of London smoke you would surely say that that would be your chosen spot.	If doomed to live within the thickest of London smoke you would surely say that that would be your chosen spot.	true	899.75	906.49	20.880634
278_127215_000025_000002	Yes, you, you whom I now address, my dear, middle-aged bachelor friend, can nowhere be so well domiciled as here.	Yes, you, you whom I now address, my dear, middle aged bachelor friend, can nowhere be so well domiciled as here.	true	906.86	915.4	21.18787
278_127215_000025_000003	No one here will ask whether you are out or at home; alone or with friends; here no Sabbatarian will investigate your Sundays, no censorious landlady will scrutinise your empty bottle, no valetudinarian neighbour will complain of late hours.	No one here will ask whether you are out or at home; alone or with friends; here no Sabbatarian will investigate your Sundays, no censorious landlady will scrutinise your empty bottle, no valetudinarian neighbour will complain of late hours.	true	916.1	934.99	21.401426
278_127215_000025_000004	If you love books, to what place are books so suitable?	If you love books, to what place are books so suitable?	true	936.17	939.91	23.418333
278_127215_000025_000005	The whole spot is redolent of typography.	The whole spot is redolent of typography.	true	940.34	943.72	22.481524
278_127215_000025_000006	Would you worship the Paphian goddess, the groves of Cyprus are not more taciturn than those of the Temple. Wit and wine are always here, and always together; the revels of the Temple are as those of polished Greece, where the wildest worshipper of Bacchus never forgot the dignity of the god whom he adored.	Would you worship the Paphian goddess, the groves of Cyprus are not more taciturn than those of the Temple. Wit and wine are always here, and always together; the revels of the Temple are as those of polished Greece, where the wildest worshipper of Bacchus never forgot the dignity of the god whom he adored.	true	944.21	966.28	22.109325
278_127215_000025_000007	Where can retirement be so complete as here?	Where can retirement be so complete as here?	true	966.74	969.85	25
278_127215_000025_000008	where can you be so sure of all the pleasures of society?	where can you be so sure of all the pleasures of society?	true	970.55	974.17	20
278_127215_000026_000000	It was here that Tom Towers lived, and cultivated with eminent success the tenth Muse who now governs the periodical press.	It was here that Tom Towers lived, and cultivated with eminent success the tenth Muse who now governs the periodical press.	true	975.62	984.28	22.659863
278_127215_000026_000001	But let it not be supposed that his chambers were such, or so comfortless, as are frequently the gaunt abodes of legal aspirants.	But let it not be supposed that his chambers were such, or so comfortless, as are frequently the gaunt abodes of legal aspirants.	true	984.8	993.82	22.666649
278_127215_000026_000002	Four chairs, a half-filled deal book-case with hangings of dingy green baize, an old office table covered with dusty papers, which are not moved once in six months, and an older Pembroke brother with rickety legs, for all daily uses; a despatcher for the preparation of lobsters and coffee, and an apparatus for the cooking of toast and mutton chops; such utensils and luxuries as these did not suffice for the well-being of Tom Towers.	Four chairs, a half filled deal book case with hangings of dingy green baize, an old office table covered with dusty papers, which are not moved once in six months, and an older Pembroke brother with rickety legs, for all daily uses; a despatcher for the preparation of lobsters and coffee, and an apparatus for the cooking of toast and mutton chops; such utensils and luxuries as these did not suffice for the well-being of Tom Towers.	false	994.46	1027.42	22.625484
278_127215_000026_000003	He indulged in four rooms on the first floor, each of which was furnished, if not with the splendour, with probably more than the comfort of Stafford House.	He indulged in four rooms on the first floor, each of which was furnished, if not with the splendour, with probably more than the comfort of Stafford House.	true	1028.21	1037.71	23.04193
278_127215_000026_000004	Every addition that science and art have lately made to the luxuries of modern life was to be found there.	Every addition that science and art have lately made to the luxuries of modern life was to be found there.	true	1038.14	1044.43	18
