4057_12085_000000_000000	For hours Darrell tossed wearily, unable to sleep.	For hours Darrell tossed wearily, unable to sleep.	false	0	1.41	22.1114
4057_12085_000029_000000	"He was impulsive and acted on the spur of the moment," Darrell replied; adding, in lower tones, "the mistake was in giving one so young and inexperienced a commission involving so much responsibility and danger."	"He was impulsive and acted on the spur of the moment," Darrell replied; adding, in lower tones, "the mistake was in giving one so young and inexperienced a commission involving so much responsibility and danger."	true	483.59	496.57	18
4057_12085_000030_000000	"You knew of the money, then?	"You knew of the money, then?	true	497.09	498.58	19
4057_12085_000030_000001	Yes, that was bad business for him, poor fellow!	Yes, that was bad business for him, poor fellow!	true	498.83	501.58	22.618664
4057_12085_000030_000002	I wonder, by the way, if it was all taken."	I wonder, by the way, if it was all taken."	true	501.74	504.49	20.241634
4057_12085_000031_000000	At Darrell's suggestion a thorough search was made, which resulted in the finding of a package containing fifteen thousand dollars which the thief in his haste had evidently overlooked.	At Darrell's suggestion a thorough search was made, which resulted in the finding of a package containing fifteen thousand dollars which the thief in his haste had evidently overlooked.	true	505.28	515.05	18
4057_12085_000031_000001	This, it was agreed, should be placed in Darrell's keeping until the arrival of the train at Ophir.	This, it was agreed, should be placed in Darrell's keeping until the arrival of the train at Ophir.	true	515.33	521.02	18
4057_12085_000032_000000	Gradually the crowd dispersed, most of the passengers returning to their berths.	Gradually the crowd dispersed, most of the passengers returning to their berths.	true	522.23	526.96	18
4057_12085_000032_000001	Darrell, knowing that sleep for himself was out of the question, sought an empty section in another part of the car, and, seating himself, bowed his head upon his hands.	Darrell, knowing that sleep for himself was out of the question, sought an empty section in another part of the car, and, seating himself, bowed his head upon his hands.	false	527.45	537.91	20.26746
4057_12085_000032_000002	The veins in his temples seemed near bursting and his usually strong nerves quivered from the shock he had undergone, but of this he was scarcely conscious.	The veins in his temples seemed near bursting and his usually strong nerves quivered from the shock he had undergone, but of this he was scarcely conscious.	true	538.46	547.72	17
4057_12085_000032_000003	His mind, abnormally active, for the time held his physical sufferings in abeyance.	His mind, abnormally active, for the time held his physical sufferings in abeyance.	false	548.78	555.12	17.327751
4057_12085_000032_000004	He was living over again the events of the past few hours--events which had awakened within him susceptibilities he had not known he possessed, which had struck a new chord in his being whose vibrations thrilled him with strange, undefinable pain.	He was living over again the events of the past few hours-events which had awakened within him susceptibilities he had not known he possessed, which had struck a new chord in his being whose vibrations thrilled him with strange, undefinable pain.	true	555.12	570.16	17
4057_12085_000032_000005	As he recalled Whitcomb's affectionate familiarity, he seemed to hear again the low, musical cadences of the boyish tones, to see the sunny radiance of his smile, to feel the irresistible magnetism of his presence, and it seemed as though something inexpressibly sweet, of whose sweetness he had barely tasted, had suddenly dropped out of his life.	As he recalled Whitcomb's affectionate familiarity, he seemed to hear again the low, musical cadences of the boyish tones, to see the sunny radiance of his smile, to feel the irresistible magnetism of his presence, and it seemed as though something inexpressibly sweet, of whose sweetness he had barely tasted, had suddenly dropped out of his life.	true	572.39	595.21	16
4057_12085_000033_000000	His heart grew sick with bitter sorrow as he recalled the look of mingled appeal and trust which shot from Whitcomb's eyes into his own as his young life, so full of hope, of ambition, of love, was passing through the dim portals of an unknown world.	His heart grew sick with bitter sorrow as he recalled the look of mingled appeal and trust which shot from Whitcomb's eyes into his own as his young life, so full of hope, of ambition, of love, was passing through the dim portals of an unknown world.	true	597.74	614.05	18.973856
4057_12085_000033_000001	Oh, the pity of it!	Oh, the pity of it!	true	614.27	615.82	19.7024
4057_12085_000033_000002	that he, an acquaintance of but a few hours, should have been the only one to whom those eyes could turn for their last message of earthly love and sympathy; and oh, the impotency of any and all human love then!	that he, an acquaintance of but a few hours, should have been the only one to whom those eyes could turn for their last message of earthly love and sympathy; and oh, the impotency of any and all human love then!	true	616.04	629.95	17
4057_12085_000034_000000	Never before had Darrell been brought so near the unseen, the unknown,--always surrounding us, but of which few of us are conscious,--and for hours he sat motionless, lost in thought, grappling with problems hitherto unthought of, but which now perplexed and baffled him at every turn.	Never before had Darrell been brought so near the unseen, the unknown,--always surrounding us, but of which few of us are conscious,--and for hours he sat motionless, lost in thought, grappling with problems hitherto unthought of, but which now perplexed and baffled him at every turn.	true	630.98	651.04	19.085592
4057_12085_000035_000000	At last, with a heavy sigh, he opened his eyes.	At last, with a heavy sigh, he opened his eyes.	true	651.11	654.79	19.26791
4057_12085_000035_000001	The gray twilight of dawn was slowly creeping down from the mountain-tops, dispelling the shadows; and the light of a new faith, streaming downward	The gray twilight of dawn was slowly creeping down from the mountain tops, dispelling the shadows; and the light of a new faith, streaming downward	true	655.28	665.26	19
4057_12085_000036_000000	"From the beautiful, eternal hills Of God's unbeginning past,"	"From the beautiful, eternal hills Of God's unbeginning past,"	true	665.63	670.09	16
4057_12085_000037_000000	was banishing the doubts which had assailed him.	was banishing the doubts which had assailed him.	true	670.64	673.36	17
4057_12085_000038_000000	That night had brought to him a revelation of the awful solitude of a human soul, standing alone on the threshold of two worlds; but it had also revealed to him the Love--Infinite, Divine--that meets the soul when human love and sympathy are no longer of avail.	That night had brought to him a revelation of the awful solitude of a human soul, standing alone on the threshold of two worlds; but it had also revealed to him the Love-Infinite, Divine-that meets the soul when human love and sympathy are no longer of avail.	false	674.3	699.03	18.894949
