7240_108066_000004_000000	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.
7240_108066_000023_000000	Simeon kept no track of the days, having no engagements to meet, nor offices to perform, beyond the prayers at morn, midday and night.	Simeon kept no track of the days, having no engagements to meet, nor offices to perform, beyond the prayers at morn, midday and night.
7240_108066_000024_000000	Memory died in him, the hurts became callouses, the world-pain died out of his heart, and to cling became a habit.	Memory died in him, the hurts became callouses, the world pain died out of his heart, and to cling became a habit.
7240_108066_000025_000000	Language was lost in disuse.	Language was lost in disuse.
7240_108066_000026_000000	The food he ate was minimum in quantity; sensation ceased, and the dry, hot winds reduced bodily tissue to a dessicated something called a saint--loved, feared and reverenced for his fortitude.	The food he ate was minimum in quantity; sensation ceased, and the dry, hot winds reduced bodily tissue to a dessicated something called a saint-loved, feared and reverenced for his fortitude.
7240_108066_000027_000000	This pillar, which had once graced the portal of a pagan temple, again became a place of pious pilgrimage, and people flocked to Simeon's rock, so that they might be near when he stretched out his black, bony hands to the East, and the spirit of Almighty God, for a space, hovered close around.	This pillar, which had once graced the portal of a pagan temple, again became a place of pious pilgrimage, and people flocked to Simeon's rock, so that they might be near when he stretched out his black, bony hands to the East, and the spirit of Almighty God, for a space, hovered close around.
7240_108066_000028_000000	So much attention did the abnegation of Simeon attract that various other pillars, marking the ruins of art and greatness gone, in that vicinity, were crowned with pious monks.	So much attention did the abnegation of Simeon attract that various other pillars, marking the ruins of art and greatness gone, in that vicinity, were crowned with pious monks.
7240_108066_000028_000001	The thought of these monks was to show how Christianity had triumphed over heathenism.	The thought of these monks was to show how Christianity had triumphed over heathenism.
7240_108066_000028_000002	Imitators were numerous.	Imitators were numerous.
7240_108066_000028_000003	About then the Bishops in assembly asked, "Is Simeon sincere?" To test the matter of Simeon's pride, he was ordered to come down from his retreat.	About then the Bishops in assembly asked, "Is Simeon sincere?" To test the matter of Simeon's pride, he was ordered to come down from his retreat.
7240_108066_000030_000000	The order was shouted up to him in a Bishop's voice--he must let down his rope, draw up a ladder, and descend.	The order was shouted up to him in a Bishop's voice-he must let down his rope, draw up a ladder, and descend.
7240_108066_000032_000000	Simeon lifted his hands in adoration and thankfulness and renewed his lease.	Simeon lifted his hands in adoration and thankfulness and renewed his lease.
7240_108066_000033_000000	And so he lived on and on and on--he lived on the top of that pillar, never once descending for thirty years.	And so he lived on and on and on-he lived on the top of that pillar, never once descending for thirty years.
7240_108066_000034_000000	All his former companions grew aweary, and one by one died, and the monastery bells tolled their requiem as they were laid to rest.	All his former companions grew aweary, and one by one died, and the monastery bells tolled their requiem as they were laid to rest.
7240_108066_000034_000001	Did Simeon hear the bells and say, "Soon it will be my turn"?	Did Simeon hear the bells and say, "Soon it will be my turn"?
7240_108066_000035_000000	Probably not.	Probably not.
7240_108066_000035_000001	His senses had flown, for what good were they!	His senses had flown, for what good were they!
7240_108066_000036_000000	"He has always been there," the people said, and crossed themselves hurriedly.	"He has always been there," the people said, and crossed themselves hurriedly.
7240_108066_000037_000000	But one evening when the young monk came with his basket, no line was dropped down from above.	But one evening when the young monk came with his basket, no line was dropped down from above.
7240_108066_000037_000001	He waited and then called aloud, but all in vain.	He waited and then called aloud, but all in vain.
7240_108066_000038_000000	When sunrise came, there sat the monk, his face between his knees, the folds of his black robe drawn over his head.	When sunrise came, there sat the monk, his face between his knees, the folds of his black robe drawn over his head.
7240_108066_000038_000001	But he did not rise and lift his hands in prayer.	But he did not rise and lift his hands in prayer.
7240_108066_000039_000000	All day he sat there, motionless.	All day he sat there, motionless.
7240_108066_000040_000000	The people watched in whispered silence.	The people watched in whispered silence.
7240_108066_000040_000001	Would he arise at sundown and pray, and with outstretched hands bless the assembled pilgrims?	Would he arise at sundown and pray, and with outstretched hands bless the assembled pilgrims?
