5876_8675_000005_000000	Presently up spoke the silver-haired Father Martin.	Presently up spoke the silver haired Father Martin.
5876_8675_000012_000001	A vast treasure of gold and precious stones lies in safety deep under the earth.	A vast treasure of gold and precious stones lies in safety deep under the earth.
5876_8675_000012_000002	At twilight and at high noon it is hidden, but at midnight it may be dug up.	At twilight and at high noon it is hidden, but at midnight it may be dug up.
5876_8675_000012_000004	So I thought to give it into your hand, having a kindness for you because you feed your flock upon my mountain."	So I thought to give it into your hand, having a kindness for you because you feed your flock upon my mountain."
5876_8675_000013_000000	'Thereupon the spectre told me exactly where the treasure lay, and how to find it.	'Thereupon the spectre told me exactly where the treasure lay, and how to find it.
5876_8675_000013_000001	It might be only yesterday so well do I remember every word he spoke.	It might be only yesterday so well do I remember every word he spoke.
5876_8675_000014_000001	Do not cross the bridge, but keep to your right along the bank till a high rock stands before you.	Do not cross the bridge, but keep to your right along the bank till a high rock stands before you.
5876_8675_000014_000003	When you find this hollow dig it out; but it will be hard work, for the earth has been pressed down into it with care.	When you find this hollow dig it out; but it will be hard work, for the earth has been pressed down into it with care.
5876_8675_000014_000005	Into this opening you must crawl, holding a lamp in your mouth.	Into this opening you must crawl, holding a lamp in your mouth.
5876_8675_000014_000009	Do not go through the door to the right lest you disturb the bones of the lords of the treasure.	Do not go through the door to the right lest you disturb the bones of the lords of the treasure.
5876_8675_000014_000010	Neither must you go through the door to the left, it leads to the snake's chamber, where adders and serpents lodge; but open the fast-closed door by means of the well-known spring-root, which you must on no account forget to take with you, or all your trouble will be for naught, for no crowbar or mortal tools will help you.	Neither must you go through the door to the left, it leads to the snake's chamber, where adders and serpents lodge; but open the fast closed door by means of the well-known spring root, which you must on no account forget to take with you, or all your trouble will be for naught, for no crowbar or mortal tools will help you.
5876_8675_000014_000011	If you want to procure the root ask a wood-seller; it is a common thing for hunters to need, and it is not hard to find.	If you want to procure the root ask a wood seller; it is a common thing for hunters to need, and it is not hard to find.
5876_8675_000014_000012	If the door bursts open suddenly with great crackings and groanings do not be afraid, the noise is caused by the power of the magic root, and you will not be hurt.	If the door bursts open suddenly with great crackings and groanings do not be afraid, the noise is caused by the power of the magic root, and you will not be hurt.
5876_8675_000014_000013	Now trim your lamp that it may not fail you, for you will be nearly blinded by the flash and glitter of the gold and precious stones on the walls and pillars of the vault; but beware how you stretch out a hand towards the jewels!	Now trim your lamp that it may not fail you, for you will be nearly blinded by the flash and glitter of the gold and precious stones on the walls and pillars of the vault; but beware how you stretch out a hand towards the jewels!
5876_8675_000014_000014	In the midst of the cavern stands a copper chest, in that you will find gold and silver, enough and to spare, and you may help yourself to your heart's content.	In the midst of the cavern stands a copper chest, in that you will find gold and silver, enough and to spare, and you may help yourself to your heart's content.
5876_8675_000014_000015	If you take as much as you can carry you will have sufficient to last your lifetime, and you may return three times; but woe betide you if you venture to come a fourth time.	If you take as much as you can carry you will have sufficient to last your lifetime, and you may return three times; but woe betide you if you venture to come a fourth time.
5876_8675_000014_000016	You would have your trouble for your pains, and would be punished for your greediness by falling down the stone steps and breaking your leg.	You would have your trouble for your pains, and would be punished for your greediness by falling down the stone steps and breaking your leg.
5876_8675_000014_000017	Do not neglect each time to heap back the loose earth which concealed the entrance of the king's treasure chamber."	Do not neglect each time to heap back the loose earth which concealed the entrance of the king's treasure chamber."
5876_8675_000015_000000	'As the apparition left off speaking my dog pricked up his ears and began to bark.	'As the apparition left off speaking my dog pricked up his ears and began to bark.
5876_8675_000015_000001	I heard the crack of a carter's whip and the noise of wheels in the distance, and when I looked again the spectre had disappeared.'	I heard the crack of a carter's whip and the noise of wheels in the distance, and when I looked again the spectre had disappeared.'
5876_8675_000017_000000	'Tell us now, Father Martin, did you go to the mountain and find what the spirit promised you; or is it a fable?'	'Tell us now, Father Martin, did you go to the mountain and find what the spirit promised you; or is it a fable?'
5876_8675_000018_000000	'Nay, nay,' answered the graybeard.	'Nay, nay,' answered the graybeard.
5876_8675_000018_000001	'I cannot tell if the spectre lied, for never a step did I go towards finding the hollow, for two reasons:--one was that my neck was too precious for me to risk it in such a snare as that; the other, that no one could ever tell me where the spring-root was to be found.'	'I cannot tell if the spectre lied, for never a step did I go towards finding the hollow, for two reasons:--one was that my neck was too precious for me to risk it in such a snare as that; the other, that no one could ever tell me where the spring root was to be found.'
5876_8675_000019_000000	Then Blaize, another aged shepherd, lifted up his voice.	Then Blaize, another aged shepherd, lifted up his voice.
5876_8675_000020_000001	Even though you will never climb the mountain now, I will tell you, for a joke, how it is to be found.	Even though you will never climb the mountain now, I will tell you, for a joke, how it is to be found.
5876_8675_000020_000002	The easiest way to get it is by the help of a black woodpecker.	The easiest way to get it is by the help of a black woodpecker.
5876_8675_000020_000004	When she perceives that she cannot get into her nest she will fly round the tree uttering cries of distress, and then dart off towards the sun-setting.	When she perceives that she cannot get into her nest she will fly round the tree uttering cries of distress, and then dart off towards the sun setting.
5876_8675_000020_000005	When you see her do this, take a scarlet cloak, or if that be lacking to you, buy a few yards of scarlet cloth, and hurry back to the tree before the woodpecker returns with the spring-root in her beak.	When you see her do this, take a scarlet cloak, or if that be lacking to you, buy a few yards of scarlet cloth, and hurry back to the tree before the woodpecker returns with the spring root in her beak.
5876_8675_000020_000007	Then spread the red cloth quickly under the tree, so that the woodpecker may think it is a fire, and in her terror drop the root.	Then spread the red cloth quickly under the tree, so that the woodpecker may think it is a fire, and in her terror drop the root.
5876_8675_000023_000001	He could make fish-jelly, and quince fritters, and even wafer-cakes; and he gilded the ears of all his boars' heads.	He could make fish jelly, and quince fritters, and even wafer cakes; and he gilded the ears of all his boars' heads.
5876_8675_000023_000002	Peter had looked about him for a wife early in life, but unluckily his choice fell upon a woman whose evil tongue was well known in the town.	peter had looked about him for a wife early in life, but unluckily his choice fell upon a woman whose evil tongue was well known in the town.
5876_8675_000023_000004	Therefore, when Master Peter came along, and let himself be taken in by her boasted skill as a housewife, she jumped at his offer, and they were married the next day.	Therefore, when Master peter came along, and let himself be taken in by her boasted skill as a housewife, she jumped at his offer, and they were married the next day.
5876_8675_000024_000000	Though Master Peter had no great wealth to leave behind him, still it was sad to him to be childless; and he would bemoan himself to his friends, when he laid one baby after another in the grave, saying: 'The lightning has been among the cherry-blossoms again, so there will be no fruit to grow ripe.'	Though Master peter had no great wealth to leave behind him, still it was sad to him to be childless; and he would bemoan himself to his friends, when he laid one baby after another in the grave, saying: 'The lightning has been among the cherry blossoms again, so there will be no fruit to grow ripe.'
5876_8675_000025_000000	But, by-and-by, he had a little daughter so strong and healthy that neither her mother's temper nor her father's spoiling could keep her from growing up tall and beautiful.	But, by and by, he had a little daughter so strong and healthy that neither her mother's temper nor her father's spoiling could keep her from growing up tall and beautiful.
5876_8675_000025_000001	Meanwhile the fortunes of the family had changed.	Meanwhile the fortunes of the family had changed.
5876_8675_000025_000002	From his youth up, Master Peter had hated trouble; when he had money he spent it freely, and fed all the hungry folk who asked him for bread.	From his youth up, Master peter had hated trouble; when he had money he spent it freely, and fed all the hungry folk who asked him for bread.
5876_8675_000026_000000	This grieved the tender heart of his pretty daughter, who loved him dearly, and was the comfort of his life.	This grieved the tender heart of his pretty daughter, who loved him dearly, and was the comfort of his life.
5876_8675_000027_000003	Soon he heard his wife's harsh voice singing its morning song as she went about her household affairs, scolding her daughter the while.	Soon he heard his wife's harsh voice singing its morning song as she went about her household affairs, scolding her daughter the while.
5876_8675_000027_000004	She burst open his door while he was still dressing: 'Well, Toper!' was her greeting, 'have you been drinking all night, wasting money that you steal from my housekeeping?	She burst open his door while he was still dressing: 'Well, Toper!' was her greeting, 'have you been drinking all night, wasting money that you steal from my housekeeping?
5876_8675_000027_000005	For shame, drunkard!'	For shame, drunkard!'
5876_8675_000029_000000	'Do not be annoyed, dear wife.	'Do not be annoyed, dear wife.
5876_8675_000029_000001	I have a good piece of business in hand which may turn out well for us.'	I have a good piece of business in hand which may turn out well for us.'
5876_8675_000030_000000	'You with a good business?' cried she, 'you are good for nothing but talk!'	'You with a good business?' cried she, 'you are good for nothing but talk!'
5876_8675_000031_000000	'I am making my will,' said he, 'that when my hour comes my house may be in order.'	'I am making my will,' said he, 'that when my hour comes my house may be in order.'
5876_8675_000032_000000	These unexpected words cut his daughter to the heart; she remembered that all night long she had dreamed of a newly dug grave, and at this thought she broke out into loud lamentations.	These unexpected words cut his daughter to the heart; she remembered that all night long she had dreamed of a newly dug grave, and at this thought she broke out into loud lamentations.
5876_8675_000032_000001	But her mother only cried: 'Wretch! have you not wasted goods and possessions, and now do you talk of making a will?'	But her mother only cried: 'Wretch! have you not wasted goods and possessions, and now do you talk of making a will?'
5876_8675_000033_000000	And she seized him like a fury, and tried to scratch out his eyes.	And she seized him like a fury, and tried to scratch out his eyes.
5876_8675_000033_000001	But by-and-by the quarrel was patched up, and everything went on as before. From that day Peter saved up every penny that his daughter Lucia gave him on the sly, and bribed the boys of his acquaintance to spy out a black woodpecker's nest for him.	But by and by the quarrel was patched up, and everything went on as before. From that day peter saved up every penny that his daughter Lucia gave him on the sly, and bribed the boys of his acquaintance to spy out a black woodpecker's nest for him.
5876_8675_000033_000002	He sent them into the woods and fields, but instead of looking for a nest they only played pranks on him.	He sent them into the woods and fields, but instead of looking for a nest they only played pranks on him.
5876_8675_000033_000003	They led him miles over hill and vale, stock and stone, to find a raven's brood, or a nest of squirrels in a hollow tree, and when he was angry with them they laughed in his face and ran away.	They led him miles over hill and vale, stock and stone, to find a raven's brood, or a nest of squirrels in a hollow tree, and when he was angry with them they laughed in his face and ran away.
5876_8675_000033_000004	This went on for some time, but at last one of the boys spied out a woodpecker in the meadow-lands among the wood-pigeons, and when he had found her nest in a half-dead alder tree, came running to Peter with the news of his discovery.	This went on for some time, but at last one of the boys spied out a woodpecker in the meadow lands among the wood pigeons, and when he had found her nest in a half dead alder tree, came running to peter with the news of his discovery.
5876_8675_000033_000005	Peter could hardly believe his good fortune, and went quickly to see for himself if it was really true; and when he reached the tree there certainly was a bird flying in and out as if she had a nest in it.	peter could hardly believe his good fortune, and went quickly to see for himself if it was really true; and when he reached the tree there certainly was a bird flying in and out as if she had a nest in it.
5876_8675_000033_000006	Peter was overjoyed at this fortunate discovery, and instantly set himself to obtain a red cloak.	peter was overjoyed at this fortunate discovery, and instantly set himself to obtain a red cloak.
5876_8675_000033_000007	Now in the whole town there was only one red cloak, and that belonged to a man of whom nobody ever willingly asked a favour--Master Hammerling the hangman.	Now in the whole town there was only one red cloak, and that belonged to a man of whom nobody ever willingly asked a favour-Master Hammerling the hangman.
5876_8675_000034_000000	Peter now had all that was necessary to secure the magic root; he stopped up the entrance to the nest, and everything fell out exactly as Blaize had foretold.	peter now had all that was necessary to secure the magic root; he stopped up the entrance to the nest, and everything fell out exactly as Blaize had foretold.
5876_8675_000034_000002	All Peter's plans had succeeded, and he actually held in his hand the magic root--that master-key which would unlock all doors, and bring its possessor unheard-of luck.	All Peter's plans had succeeded, and he actually held in his hand the magic root-that master key which would unlock all doors, and bring its possessor unheard of luck.
5876_8675_000034_000003	His thoughts now turned to the mountain, and he secretly made preparations for his journey.	His thoughts now turned to the mountain, and he secretly made preparations for his journey.
5876_8675_000034_000004	He took with him only a staff, a strong sack, and a little box which his daughter Lucia had given him.	He took with him only a staff, a strong sack, and a little box which his daughter Lucia had given him.
5876_8675_000035_000004	He stood still in sheer amazement, not knowing which to rejoice over most--this unexpected find, or the proof of the magic root's real power; but at last he remembered that it was quite time to be starting on his journey.	He stood still in sheer amazement, not knowing which to rejoice over most-this unexpected find, or the proof of the magic root's real power; but at last he remembered that it was quite time to be starting on his journey.
5876_8675_000035_000006	When Dame Ilse and her daughter returned they wondered to find the house door shut, and Master Peter nowhere to be seen.	When Dame Ilse and her daughter returned they wondered to find the house door shut, and Master peter nowhere to be seen.
5876_8675_000036_000000	'Who knows?' cried Dame Ilse at last, 'the wretch may have been idling in some tavern since early morning.'	'Who knows?' cried Dame Ilse at last, 'the wretch may have been idling in some tavern since early morning.'
5876_8675_000037_000000	Then a sudden thought startled her, and she felt for her keys.	Then a sudden thought startled her, and she felt for her keys.
5876_8675_000037_000003	Mid-day came, then evening, then midnight, and still no Master Peter appeared, and the matter became really serious.	Mid day came, then evening, then midnight, and still no Master peter appeared, and the matter became really serious.
5876_8675_000037_000004	Dame Ilse knew right well what a torment she had been to her husband, and remorse caused her the gloomiest forebodings.	Dame Ilse knew right well what a torment she had been to her husband, and remorse caused her the gloomiest forebodings.
5876_8675_000039_000001	After that the neighbours went out with long poles to fish in every ditch and pond, but they found nothing, and then Dame Ilse gave up the idea of ever seeing her husband again and very soon consoled herself, only wondering how the sacks of corn were to be carried to the mill in future.	After that the neighbours went out with long poles to fish in every ditch and pond, but they found nothing, and then Dame Ilse gave up the idea of ever seeing her husband again and very soon consoled herself, only wondering how the sacks of corn were to be carried to the mill in future.
5876_8675_000039_000002	She decided to buy a strong ass to do the work, and having chosen one, and after some bargaining with the owner as to its price, she went to the cupboard in the wall to fetch the money.	She decided to buy a strong ass to do the work, and having chosen one, and after some bargaining with the owner as to its price, she went to the cupboard in the wall to fetch the money.
5876_8675_000039_000003	But what were her feelings when she perceived that every shelf lay empty and bare before her!	But what were her feelings when she perceived that every shelf lay empty and bare before her!
5876_8675_000041_000003	He looked at her fondly, and took her hand, which she tried to draw away, crying:	He looked at her fondly, and took her hand, which she tried to draw away, crying:
5876_8675_000042_000001	I thought you were a hundred miles away.	I thought you were a hundred miles away.
5876_8675_000043_000000	'No, dearest girl,' answered he; 'I am come to complete your happiness and my own.	'No, dearest girl,' answered he; 'I am come to complete your happiness and my own.
5876_8675_000043_000001	Since we last met my fortune has utterly changed; I am no longer the poor vagabond that I was then.	Since we last met my fortune has utterly changed; I am no longer the poor vagabond that I was then.
5876_8675_000043_000002	My rich uncle has died, leaving me money and goods in plenty, so that I dare to present myself to your mother as a suitor for your hand.	My rich uncle has died, leaving me money and goods in plenty, so that I dare to present myself to your mother as a suitor for your hand.
5876_8675_000043_000003	That I love you I know well; if you can love me I am indeed a happy man.'	That I love you I know well; if you can love me I am indeed a happy man.'
5876_8675_000046_000000	Now a great hurry-burly began in the house, and preparations for the wedding went on apace.	Now a great hurry burly began in the house, and preparations for the wedding went on apace.
5876_8675_000046_000002	The day for the wedding was chosen, and all their friends and neighbours were bidden to the feast.	The day for the wedding was chosen, and all their friends and neighbours were bidden to the feast.
5876_8675_000046_000004	If only he could come back again!	If only he could come back again!
5876_8675_000047_000000	'I should not be sorry myself to see him come back--there is always something lacking in a house when the good man is away.'	'I should not be sorry myself to see him come back-there is always something lacking in a house when the good man is away.'
5876_8675_000048_000000	But the fact was that she was growing quite tired of having no one to scold.	But the fact was that she was growing quite tired of having no one to scold.
5876_8675_000049_000000	On the very eve of the wedding a man pushing a wheelbarrow arrived at the city gate, and paid toll upon a barrel of nails which it contained, and then made the best of his way to the bride's dwelling and knocked at the door.	On the very eve of the wedding a man pushing a wheelbarrow arrived at the city gate, and paid toll upon a barrel of nails which it contained, and then made the best of his way to the bride's dwelling and knocked at the door.
5876_8675_000050_000003	When Dame Ilse had set something to eat before her husband, she was curious to hear his adventures, and questioned him eagerly as to why he had gone away.	When Dame Ilse had set something to eat before her husband, she was curious to hear his adventures, and questioned him eagerly as to why he had gone away.
5876_8675_000051_000000	'God bless my native place,' said he.	'God bless my native place,' said he.
5876_8675_000051_000002	This barrel of nails is my whole fortune, which I wish to give as my contribution towards the bride's house furnishing.'	This barrel of nails is my whole fortune, which I wish to give as my contribution towards the bride's house furnishing.'
5876_8675_000052_000003	Father Peter also stayed quietly with them, living, as everybody believed, upon the generosity of his rich son-in law.	Father peter also stayed quietly with them, living, as everybody believed, upon the generosity of his rich son in law.
5876_8675_000052_000004	No one suspected that his barrel of nails was the real 'Horn of Plenty,' from which all this prosperity overflowed.	No one suspected that his barrel of nails was the real 'Horn of Plenty,' from which all this prosperity overflowed.
5876_8675_000053_000000	Peter had made the journey to the treasure mountain successfully, without being found out by anybody.	peter had made the journey to the treasure mountain successfully, without being found out by anybody.
5876_8675_000053_000001	He had enjoyed himself by the way, and taken his own time, until he actually reached the little brook in the valley which it had cost him some trouble to find.	He had enjoyed himself by the way, and taken his own time, until he actually reached the little brook in the valley which it had cost him some trouble to find.
5876_8675_000053_000002	Then he pressed on eagerly, and soon came to the little hollow in the wood; down he went, burrowing like a mole into the earth; the magic root did its work, and at last the treasure lay before his eyes.	Then he pressed on eagerly, and soon came to the little hollow in the wood; down he went, burrowing like a mole into the earth; the magic root did its work, and at last the treasure lay before his eyes.
5876_8675_000054_000000	However, all went well--he neither saw nor heard anything alarming; the only thing that happened was that the great iron-barred door shut with a crash as soon as he was fairly outside it, and then he remembered that he had left the magic root behind him, so he could not go back for another load of treasure.	However, all went well-he neither saw nor heard anything alarming; the only thing that happened was that the great iron barred door shut with a crash as soon as he was fairly outside it, and then he remembered that he had left the magic root behind him, so he could not go back for another load of treasure.
5876_8675_000054_000001	But even that did not trouble Peter much; he was quite satisfied with what he had already.	But even that did not trouble peter much; he was quite satisfied with what he had already.
5876_8675_000054_000002	After he had faithfully done everything according to Father Martin's instructions, and pressed the earth well back into the hollow, he sat down to consider how he could bring his treasure back to his native place, and enjoy it there, without being forced to share it with his scolding wife, who would give him no peace if she once found out about it.	After he had faithfully done everything according to Father Martin's instructions, and pressed the earth well back into the hollow, he sat down to consider how he could bring his treasure back to his native place, and enjoy it there, without being forced to share it with his scolding wife, who would give him no peace if she once found out about it.
5876_8675_000054_000003	At last, after much thinking, he hit upon a plan.	At last, after much thinking, he hit upon a plan.
5876_8675_000054_000004	He carried his sack to the nearest village, and there bought a wheelbarrow, a strong barrel, and a quantity of nails.	He carried his sack to the nearest village, and there bought a wheelbarrow, a strong barrel, and a quantity of nails.
5876_8675_000054_000006	At one place upon the road he met a handsome young man who seemed by his downcast air to be in some great trouble.	At one place upon the road he met a handsome young man who seemed by his downcast air to be in some great trouble.
5876_8675_000054_000007	Father Peter, who wished everybody to be as happy as he was himself, greeted him cheerfully, and asked where he was going, to which he answered sadly:	Father peter, who wished everybody to be as happy as he was himself, greeted him cheerfully, and asked where he was going, to which he answered sadly:
5876_8675_000055_000000	'Into the wide world, good father, or out of it, where ever my feet may chance to carry me.'	'Into the wide world, good father, or out of it, where ever my feet may chance to carry me.'
5876_8675_000056_000001	'What has the world been doing to you?'	'What has the world been doing to you?'
5876_8675_000057_000001	'Nevertheless there is not anything left in it for me.'	'Nevertheless there is not anything left in it for me.'
5876_8675_000058_000001	But when good food was set before him he seemed to forget to eat.	But when good food was set before him he seemed to forget to eat.
5876_8675_000058_000002	So Peter perceived that what ailed his guest was sorrow of heart, and asked him kindly to tell him his story.	So peter perceived that what ailed his guest was sorrow of heart, and asked him kindly to tell him his story.
5876_8675_000059_000000	'Where is the good, father?' said he.	'Where is the good, father?' said he.
5876_8675_000059_000001	'You can give me neither help nor comfort.'	'You can give me neither help nor comfort.'
5876_8675_000060_000000	'Who knows?' answered Master Peter.	'Who knows?' answered Master peter.
5876_8675_000060_000001	'I might be able to do something for you.	'I might be able to do something for you.
5876_8675_000060_000002	Often enough in life help comes to us from the most unexpected quarter.'	Often enough in life help comes to us from the most unexpected quarter.'
5876_8675_000062_000003	I soon reached the little town where the maiden dwelt; but there fresh difficulties awaited me.	I soon reached the little town where the maiden dwelt; but there fresh difficulties awaited me.
5876_8675_000062_000005	But at last I dressed myself as an old woman, and knocked boldly at her door.	But at last I dressed myself as an old woman, and knocked boldly at her door.
5876_8675_000062_000008	She was startled at first; but I persuaded her to listen to me, and I soon saw that I was not displeasing to her, though she scolded me gently for my disobedience to my master, and my deceit in disguising myself.	She was startled at first; but I persuaded her to listen to me, and I soon saw that I was not displeasing to her, though she scolded me gently for my disobedience to my master, and my deceit in disguising myself.
5876_8675_000062_000009	But when I begged her to marry me, she told me sadly that her mother would scorn a penniless wooer, and implored me to go away at once, lest trouble should fall upon her.	But when I begged her to marry me, she told me sadly that her mother would scorn a penniless wooer, and implored me to go away at once, lest trouble should fall upon her.
5876_8675_000064_000000	Master Peter, who had been listening attentively, pricked up his ears at the sound of his daughter's name, and very soon found out that it was indeed with her that this young man was so deeply in love.	Master peter, who had been listening attentively, pricked up his ears at the sound of his daughter's name, and very soon found out that it was indeed with her that this young man was so deeply in love.
5876_8675_000065_000000	'Your story is strange indeed,' said he.	'Your story is strange indeed,' said he.
5876_8675_000065_000001	'But where is the father of this maiden--why do you not ask him for her hand?	'But where is the father of this maiden-why do you not ask him for her hand?
5876_8675_000066_000000	'Alas!' said the young man, 'her father is a wandering good-for-naught, who has forsaken wife and child, and gone off--who knows where?	'Alas!' said the young man, 'her father is a wandering good for naught, who has forsaken wife and child, and gone off-who knows where?
5876_8675_000066_000001	The wife complains of him bitterly enough, and scolds my dear maiden when she takes her father's part.'	The wife complains of him bitterly enough, and scolds my dear maiden when she takes her father's part.'
5876_8675_000067_000000	Father Peter was somewhat amused by this speech; but he liked the young man well, and saw that he was the very person he needed to enable him to enjoy his wealth in peace, without being separated from his dear daughter.	Father peter was somewhat amused by this speech; but he liked the young man well, and saw that he was the very person he needed to enable him to enjoy his wealth in peace, without being separated from his dear daughter.
5876_8675_000068_000000	'If you will take my advice,' said he, 'I promise you that you shall marry this maiden whom you love so much, and that before you are many days older.'	'If you will take my advice,' said he, 'I promise you that you shall marry this maiden whom you love so much, and that before you are many days older.'
5876_8675_000070_000000	'Stay, hothead!' he cried; 'it is no jest, and I am prepared to make good my words.'	'Stay, hothead!' he cried; 'it is no jest, and I am prepared to make good my words.'
5876_8675_000073_000000	Master Peter long enjoyed the profits of his journey to the mountain, and no rumour of it ever got abroad.	Master peter long enjoyed the profits of his journey to the mountain, and no rumour of it ever got abroad.
5876_8675_000073_000001	In his old age his prosperity was so great that he himself did not know how rich he was; but it was always supposed that the money was Friedlin's.	In his old age his prosperity was so great that he himself did not know how rich he was; but it was always supposed that the money was Friedlin's.
