4335_15081_000000_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	0.84	2.1	19.862688
4335_15081_000006_000001	Il sembloit que le Ciel conduisit toutes leurs demarches et qu'ils eurent vn Ange pour guide: car ils diuiserent leurs troupes auec tant de bon-heur, qu'ils trouuerent en moins de deux iours, toutes les bandes de nos Chrestiens qui estoient dispersees ca et la, esloignees les vnes des autres de six, sept et huit lieues, cent personnes en vn lieu, en vn autre cinquante; et mesme il y auoit quelques familles solitaires, qui s'estoient escartees en des lieux moins connus et hors de tout chemin.	Il sembloit que le Ciel conduisit toutes leurs demarches et qu'ils eurent v n Ange pour guide: car i l s diuiserent leurs troupes a u e c tant de bon heur, qu'ils trouuerent en moins de deux iours, toutes les bandes de nos Chrestiens qui estoient dispersees c a et la, esloignees les v n e s des autres de six, sept et huit lieues, cent personnes en v n lieu, en v n autre cinquante; et mesme il y auoit quelques familles solitaires, qui s'estoient escartees en des lieux moins connus et hors de tout chemin.	false	129.21	129.36	-9
4335_15081_000006_000002	Chose estrange!	Chose estrange!	false	129.36	129.36	
4335_15081_000006_000003	de tout ce monde dissipe, vn seul homme s'eschappa, qui vint nous en apporter les nouuelles."--Ragueneau, Relation des Hurons, 1650, 23, 24.	de tout c e monde dissipe, v n s e u l homme s'eschappa, qui vint nous en apporter les nouuelles."--Ragueneau, Relation des Hurons, sixteen fifty, twenty three, twenty four.	false	129.36	129.39	-20
4335_15081_000006_000004	]	closing square bracket	false	129.39	129.405	-1
4335_15081_000007_000000	"My pen," writes Ragueneau, "has no ink black enough to describe the fury of the Iroquois." Still the goadings of famine were relentless and irresistible.	"My pen," writes Ragueneau, "has no ink black enough to describe the fury of the Iroquois." Still the goadings of famine were relentless and irresistible.	false	129.405	142.89	19.263178
4335_15081_000007_000001	"It is said," adds the Father Superior, "that hunger will drive wolves from the forest.	"It is said," adds the Father Superior, "that hunger will drive wolves from the forest.	true	142.89	148.45	18.816301
4335_15081_000007_000002	So, too, our starving Hurons were driven out of a town which had become an abode of horror.	So, too, our starving Hurons were driven out of a town which had become an abode of horror.	true	148.85	154.99	20.059542
4335_15081_000007_000003	It was the end of Lent.	It was the end of Lent.	true	155.42	157	19.591522
4335_15081_000007_000004	Alas, if these poor Christians could have had but acorns and water to keep their fast upon!	Alas, if these poor Christians could have had but acorns and water to keep their fast upon!	false	157.58	162.76	20.80415
4335_15081_000007_000005	On Easter Day we caused them to make a general confession.	On Easter Day we caused them to make a general confession.	true	163.4	166.75	19.64409
4335_15081_000007_000006	On the following morning they went away, leaving us all their little possessions; and most of them declared publicly that they made us their heirs, knowing well that they were near their end.	On the following morning they went away, leaving us all their little possessions; and most of them declared publicly that they made us their heirs, knowing well that they were near their end.	true	167.06	178.21	19.201326
4335_15081_000007_000007	And, in fact, only a few days passed before we heard of the disaster which we had foreseen.	And, in fact, only a few days passed before we heard of the disaster which we had foreseen.	true	178.76	183.91	20.367329
4335_15081_000007_000008	These poor people fell into ambuscades of our Iroquois enemies.	These poor people fell into ambuscades of our Iroquois enemies.	true	184.46	188.29	20.604078
4335_15081_000007_000009	Some were killed on the spot; some were dragged into captivity; women and children were burned.	Some were killed on the spot; some were dragged into captivity; women and children were burned.	true	188.84	194.91	20.122112
4335_15081_000007_000010	A few made their escape, and spread dismay and panic everywhere.	A few made their escape, and spread dismay and panic everywhere.	false	194.91	200.11	18.211466
4335_15081_000007_000011	A week after, another band was overtaken by the same fate.	A week after, another band was overtaken by the same fate.	true	200.39	204.16	19.327667
4335_15081_000007_000012	Go where they would, they met with slaughter on all sides.	Go where they would, they met with slaughter on all sides.	true	204.59	207.85	20.166594
4335_15081_000007_000013	Famine pursued them, or they encountered an enemy more cruel than cruelty itself; and, to crown their misery, they heard that two great armies of Iroquois were on the way to exterminate them. . . .	Famine pursued them, or they encountered an enemy more cruel than cruelty itself; and, to crown their misery, they heard that two great armies of Iroquois were on the way to exterminate them. . . .	false	208.1	219.79	21.387285
4335_15081_000007_000014	Despair was universal." [ Ragueneau, Relation des Hurons, 1650, 24.	Despair was universal." [ Ragueneau, Relation des Hurons, sixteen fifty, twenty four.	false	220.28	223.59	20.20896
4335_15081_000007_000015	]	closing square bracket	false	223.59	224.145	-1
4335_15081_000008_000000	The Jesuits at St. Joseph knew not what course to take.	The Jesuits at saint Joseph knew not what course to take.	true	224.145	227.8	20.503283
4335_15081_000008_000001	The doom of their flock seemed inevitable.	The doom of their flock seemed inevitable.	true	228.11	230.4	20.73087
4335_15081_000008_000002	When dismay and despondency were at their height, two of the principal Huron chiefs came to the fort, and asked an interview with Ragueneau and his companions.	When dismay and despondency were at their height, two of the principal Huron chiefs came to the fort, and asked an interview with Ragueneau and his companions.	false	230.4	240.16	20.153992
4335_15081_000008_000003	They told them that the Indians had held a council the night before, and resolved to abandon the island.	They told them that the Indians had held a council the night before, and resolved to abandon the island.	true	241.28	247.42	19.787537
4335_15081_000008_000004	Some would disperse in the most remote and inaccessible forests; others would take refuge in a distant spot, apparently the Grand Manitoulin Island; others would try to reach the Andastes; and others would seek safety in adoption and incorporation with the Iroquois themselves.	Some would disperse in the most remote and inaccessible forests; others would take refuge in a distant spot, apparently the Grand Manitoulin Island; others would try to reach the Andastes; and others would seek safety in adoption and incorporation with the Iroquois themselves.	false	248.06	266.76	19.719597
4335_15081_000009_000000	"Take courage, brother," continued one of the chiefs, addressing Ragueneau.	"Take courage, brother," continued one of the chiefs, addressing Ragueneau.	true	266.76	270.58	21
4335_15081_000009_000001	"You can save us, if you will but resolve on a bold step. Choose a place where you can gather us together, and prevent this dispersion of our people.	"You can save us, if you will but resolve on a bold step. Choose a place where you can gather us together, and prevent this dispersion of our people.	true	271.01	279.52	19.868494
4335_15081_000009_000002	Turn your eyes towards Quebec, and transport thither what is left of this ruined country.	Turn your eyes towards Quebec, and transport thither what is left of this ruined country.	true	280.04	285.07	20.730032
4335_15081_000009_000003	Do not wait till war and famine have destroyed us to the last man.	Do not wait till war and famine have destroyed us to the last man.	true	285.38	289.09	16
4335_15081_000009_000004	We are in your hands.	We are in your hands.	true	289.55	290.98	18.384075
4335_15081_000009_000005	Death has taken from you more than ten thousand of us.	Death has taken from you more than ten thousand of us.	true	291.32	294.43	19.52205
4335_15081_000009_000006	If you wait longer, not one will remain alive; and then you will be sorry that you did not save those whom you might have snatched from danger, and who showed you the means of doing so.	If you wait longer, not one will remain alive; and then you will be sorry that you did not save those whom you might have snatched from danger, and who showed you the means of doing so.	true	294.98	304.81	15
4335_15081_000009_000007	If you do as we wish, we will form a church under the protection of the fort at Quebec.	If you do as we wish, we will form a church under the protection of the fort at Quebec.	true	305.39	310.3	21
4335_15081_000009_000008	Our faith will not be extinguished.	Our faith will not be extinguished.	true	310.37	312.615	21.250454
4335_15081_000009_000009	The examples of the French and the Algonquins will encourage us in our duty, and their charity will relieve some of our misery.	The examples of the French and the Algonquins will encourage us in our duty, and their charity will relieve some of our misery.	true	312.615	319.78	18.690407
4335_15081_000009_000010	At least, we shall sometimes find a morsel of bread for our children, who so long have had nothing but bitter roots and acorns to keep them alive."	At least, we shall sometimes find a morsel of bread for our children, who so long have had nothing but bitter roots and acorns to keep them alive."	true	319.97	328.35	19
4335_15081_000010_000000	[ Ragueneau, Relation des Hurons, 1650, 25.	[ Ragueneau, Relation des Hurons, sixteen fifty, twenty five.	false	328.35	328.56	-20
4335_15081_000010_000001	It appears from the MS.	It appears from the ms	false	328.56	328.68	-20
4335_15081_000010_000002	Journal des Superieurs des Jesuites, that a plan of bringing the remnant of the Hurons to Quebec was discussed and approved by Lalemant and his associates, in a council held by them at that place in April. ]	Journal des Superieurs des Jesuites, that a plan of bringing the remnant of the Hurons to Quebec was discussed and approved by Lalemant and his associates, in a council held by them at that place in April. ]	false	328.68	330.315	22.287857
4335_15081_000011_000000	The Jesuits were deeply moved.	The Jesuits were deeply moved.	true	330.315	332.085	18
4335_15081_000011_000001	They consulted together again and again, and prayed in turn during forty hours without ceasing, that their minds might be enlightened.	They consulted together again and again, and prayed in turn during forty hours without ceasing, that their minds might be enlightened.	false	332.085	339.88	19
4335_15081_000011_000002	At length they resolved to grant the petition of the two chiefs, and save the poor remnant of the Hurons, by leading them to an asylum where there was at least a hope of safety.	At length they resolved to grant the petition of the two chiefs, and save the poor remnant of the Hurons, by leading them to an asylum where there was at least a hope of safety.	true	340.64	350.65	18
4335_15081_000011_000003	Their resolution once taken, they pushed their preparations with all speed, lest the Iroquois might learn their purpose, and lie in wait to cut them off. Canoes were made ready, and on the tenth of June they began the voyage, with all their French followers and about three hundred Hurons.	Their resolution once taken, they pushed their preparations with all speed, lest the Iroquois might learn their purpose, and lie in wait to cut them off. Canoes were made ready, and on the tenth of June they began the voyage, with all their French followers and about three hundred Hurons.	true	351.11	368.08	20.304073
4335_15081_000011_000004	The Huron mission was abandoned.	The Huron mission was abandoned.	false	368.87	373.08	17.438885
4335_15081_000012_000000	"It was not without tears," writes the Father Superior, "that we left the country of our hopes and our hearts, where our brethren had gloriously shed their blood." [ Compare Bressani, Relation Abregee, 288.	"It was not without tears," writes the Father Superior, "that we left the country of our hopes and our hearts, where our brethren had gloriously shed their blood." [ Compare Bressani, Relation Abregee, two hundred eighty eight.	false	373.08	384.51	19.51522
4335_15081_000012_000001	] The fleet of canoes held its melancholy way along the shores where two years before had been the seat of one of the chief savage communities of the continent, and where now all was a waste of death and desolation. Then they steered northward, along the eastern coast of the Georgian Bay, with its countless rocky islets; and everywhere they saw the traces of the Iroquois.	] The fleet of canoes held its melancholy way along the shores where two years before had been the seat of one of the chief savage communities of the continent, and where now all was a waste of death and desolation. Then they steered northward, along the eastern coast of the Georgian Bay, with its countless rocky islets; and everywhere they saw the traces of the Iroquois.	false	384.51	407.77	19.96753
4335_15081_000012_000002	When they reached Lake Nipissing, they found it deserted,-- nothing remaining of the Algonquins who dwelt on its shore, except the ashes of their burnt wigwams.	When they reached Lake Nipissing, they found it deserted,-- nothing remaining of the Algonquins who dwelt on its shore, except the ashes of their burnt wigwams.	false	408.74	418.09	20.758411
4335_15081_000012_000003	A little farther on, there was a fort built of trees, where the Iroquois who made this desolation had spent the winter; and a league or two below, there was another similar fort. The River Ottawa was a solitude.	A little farther on, there was a fort built of trees, where the Iroquois who made this desolation had spent the winter; and a league or two below, there was another similar fort. The River Ottawa was a solitude.	true	418.55	432.25	19.898205
4335_15081_000012_000004	The Algonquins of Allumette Island and the shores adjacent had all been killed or driven away, never again to return.	The Algonquins of Allumette Island and the shores adjacent had all been killed or driven away, never again to return.	false	432.56	442.38	20.197117
4335_15081_000012_000005	"When I came up this great river, only thirteen years ago," writes Ragueneau, "I found it bordered with Algonquin tribes, who knew no God, and, in their infidelity, thought themselves gods on earth; for they had all that they desired, abundance of fish and game, and a prosperous trade with allied nations: besides, they were the terror of their enemies.	"When I came up this great river, only thirteen years ago," writes Ragueneau, "I found it bordered with Algonquin tribes, who knew no God, and, in their infidelity, thought themselves gods on earth; for they had all that they desired, abundance of fish and game, and a prosperous trade with allied nations: besides, they were the terror of their enemies.	false	442.38	465.31	20.770653
4335_15081_000012_000006	But since they have embraced the Faith and adored the cross of Christ, He has given them a heavy share in this cross, and made them a prey to misery, torture, and a cruel death.	But since they have embraced the Faith and adored the cross of Christ, He has given them a heavy share in this cross, and made them a prey to misery, torture, and a cruel death.	true	465.8	476.44	19.86473
4335_15081_000012_000007	In a word, they are a people swept from the face of the earth.	In a word, they are a people swept from the face of the earth.	false	476.93	480.19	19.91183
4335_15081_000012_000008	Our only consolation is, that, as they died Christians, they have a part in the inheritance of the true children of God, who scourgeth every one whom He receiveth." [ Ragueneau, Relation des Hurons, 1650, 27.	Our only consolation is, that, as they died Christians, they have a part in the inheritance of the true children of God, who scourgeth every one whom He receiveth." [ Ragueneau, Relation des Hurons, sixteen fifty, twenty seven.	false	480.56	491.16	20.82208
4335_15081_000012_000009	These Algonquins of the Ottawa, though broken and dispersed, were not destroyed, as Ragueneau supposes.	These Algonquins of the Ottawa, though broken and dispersed, were not destroyed, as Ragueneau supposes.	false	491.16	494.13	20.82231
4335_15081_000012_000010	]	closing square bracket	false	494.13	494.13	
4335_15081_000013_000000	As the voyagers descended the river, they had a serious alarm.	As the voyagers descended the river, they had a serious alarm.	false	494.13	497.56	17
4335_15081_000013_000001	Their scouts came in, and reported that they had found fresh footprints of men in the forest.	Their scouts came in, and reported that they had found fresh footprints of men in the forest.	true	497.75	502.93	20.593977
4335_15081_000013_000002	These proved, however, to be the tracks, not of enemies, but of friends.	These proved, however, to be the tracks, not of enemies, but of friends.	true	503.9	507.61	20
4335_15081_000013_000003	In the preceding autumn Bressani had gone down to the French settlements with about twenty Hurons, and was now returning with them, and twice their number of armed Frenchmen, for the defence of the mission.	In the preceding autumn Bressani had gone down to the French settlements with about twenty Hurons, and was now returning with them, and twice their number of armed Frenchmen, for the defence of the mission.	true	508.04	519.4	19.857985
4335_15081_000013_000004	His scouts had also been alarmed by discovering the footprints of Ragueneau's Indians; and for some time the two parties stood on their guard, each taking the other for an enemy.	His scouts had also been alarmed by discovering the footprints of Ragueneau's Indians; and for some time the two parties stood on their guard, each taking the other for an enemy.	true	519.95	529.74	19.982424
4335_15081_000013_000005	When at length they discovered their mistake, they met with embraces and rejoicing.	When at length they discovered their mistake, they met with embraces and rejoicing.	false	529.74	535.63	20.265629
4335_15081_000013_000006	Bressani and his Frenchmen had come too late.	Bressani and his Frenchmen had come too late.	true	536.18	538.9	18.808413
4335_15081_000013_000007	All was over with the Hurons and the Huron mission; and, as it was useless to go farther, they joined Ragueneau's party, and retraced their course for the settlements.	All was over with the Hurons and the Huron mission; and, as it was useless to go farther, they joined Ragueneau's party, and retraced their course for the settlements.	false	539.36	549.1	18.99391
4335_15081_000014_000000	A day or two before, they had had a sharp taste of the mettle of the enemy.	A day or two before, they had had a sharp taste of the mettle of the enemy.	false	549.74	554.31	20.740246
4335_15081_000014_000001	Ten Iroquois warriors had spent the winter in a little fort of felled trees on the borders of the Ottawa, hunting for subsistence, and waiting to waylay some passing canoe of Hurons, Algonquins, or Frenchmen.	Ten Iroquois warriors had spent the winter in a little fort of felled trees on the borders of the Ottawa, hunting for subsistence, and waiting to waylay some passing canoe of Hurons, Algonquins, or Frenchmen.	true	554.31	567.25	19.601917
4335_15081_000014_000002	Bressani's party outnumbered them six to one; but they resolved that it should not pass without a token of their presence. Late on a dark night, the French and Hurons lay encamped in the forest, sleeping about their fires.	Bressani's party outnumbered them six to one; but they resolved that it should not pass without a token of their presence. Late on a dark night, the French and Hurons lay encamped in the forest, sleeping about their fires.	true	567.29	580.39	21.445066
4335_15081_000014_000003	They had set guards: but these, it seems, were drowsy or negligent; for the ten Iroquois, watching their time, approached with the stealth of lynxes, and glided like shadows into the midst of the camp, where, by the dull glow of the smouldering fires, they could distinguish the recumbent figures of their victims.	They had set guards: but these, it seems, were drowsy or negligent; for the ten Iroquois, watching their time, approached with the stealth of lynxes, and glided like shadows into the midst of the camp, where, by the dull glow of the smouldering fires, they could distinguish the recumbent figures of their victims.	true	580.82	599.41	20.568241
4335_15081_000014_000004	Suddenly they screeched the war-whoop, and struck like lightning with their hatchets among the sleepers.	Suddenly they screeched the war whoop, and struck like lightning with their hatchets among the sleepers.	true	599.57	605.2	19
4335_15081_000014_000005	Seven were killed before the rest could spring to their weapons.	Seven were killed before the rest could spring to their weapons.	true	605.99	609.34	19.367994
4335_15081_000014_000006	Bressani leaped up, and received on the instant three arrow-wounds in the head.	Bressani leaped up, and received on the instant three arrow wounds in the head.	false	609.59	614.65	21
4335_15081_000014_000007	The Iroquois were surrounded, and a desperate fight ensued in the dark.	The Iroquois were surrounded, and a desperate fight ensued in the dark.	true	614.9	619.06	20.436613
4335_15081_000014_000008	Six of them were killed on the spot, and two made prisoners; while the remaining two, breaking through the crowd, bounded out of the camp and escaped in the forest.	Six of them were killed on the spot, and two made prisoners; while the remaining two, breaking through the crowd, bounded out of the camp and escaped in the forest.	true	619.46	629.86	19.975311
4335_15081_000015_000000	The united parties soon after reached Montreal; but the Hurons refused to remain in a spot so exposed to the Iroquois.	The united parties soon after reached Montreal; but the Hurons refused to remain in a spot so exposed to the Iroquois.	true	630.83	638.74	20.328152
4335_15081_000015_000001	Accordingly, they all descended the St. Lawrence, and at length, on the twenty-eighth of July, reached Quebec.	Accordingly, they all descended the saint Lawrence, and at length, on the twenty eighth of July, reached Quebec.	true	639.32	645.7	18.351004
4335_15081_000015_000002	Here the Ursulines, the hospital nuns, and the inhabitants taxed their resources to the utmost to provide food and shelter for the exiled Hurons.	Here the Ursulines, the hospital nuns, and the inhabitants taxed their resources to the utmost to provide food and shelter for the exiled Hurons.	true	646.34	655.75	18.620634
4335_15081_000015_000003	Their good will exceeded their power; for food was scarce at Quebec, and the Jesuits themselves had to bear the chief burden of keeping the sufferers alive.	Their good will exceeded their power; for food was scarce at Quebec, and the Jesuits themselves had to bear the chief burden of keeping the sufferers alive.	true	656.33	666.09	20.244463
4335_15081_000015_000004	[ Compare Juchereau, Histoire de l'Hotel-Dieu, 79, 80.	[ Compare Juchereau, Histoire de l'Hotel Dieu, seventy nine, eighty.	false	666.09	667.05	-10
4335_15081_000015_000005	]	closing square bracket	false	667.05	667.395	-1
4335_15081_000016_000000	But, if famine was an evil, the Iroquois were a far greater one; for, while the western nations of their confederacy were engrossed with the destruction of the Hurons, the Mohawks kept up incessant attacks on the Algonquins and the French.	But, if famine was an evil, the Iroquois were a far greater one; for, while the western nations of their confederacy were engrossed with the destruction of the Hurons, the Mohawks kept up incessant attacks on the Algonquins and the French.	false	667.395	681.94	19.57777
4335_15081_000016_000001	A party of Christian Indians, chiefly from Sillery, planned a stroke of retaliation, and set out for the Mohawk country, marching cautiously and sending forward scouts to scour the forest.	A party of Christian Indians, chiefly from Sillery, planned a stroke of retaliation, and set out for the Mohawk country, marching cautiously and sending forward scouts to scour the forest.	true	682.55	694.69	20.598429
4335_15081_000016_000002	One of these, a Huron, suddenly fell in with a large Iroquois war party, and, seeing that he could not escape, formed on the instant a villanous plan to save himself.	One of these, a Huron, suddenly fell in with a large Iroquois war party, and, seeing that he could not escape, formed on the instant a villanous plan to save himself.	false	695.51	706.57	19.485476
4335_15081_000016_000003	He ran towards the enemy, crying out, that he had long been looking for them and was delighted to see them; that his nation, the Hurons, had come to an end; and that henceforth his country was the country of the Iroquois, where so many of his kinsmen and friends had been adopted.	He ran towards the enemy, crying out, that he had long been looking for them and was delighted to see them; that his nation, the Hurons, had come to an end; and that henceforth his country was the country of the Iroquois, where so many of his kinsmen and friends had been adopted.	false	707	724.3	20.68866
4335_15081_000016_000004	He had come, he declared, with no other thought than that of joining them, and turning Iroquois, as they had done.	He had come, he declared, with no other thought than that of joining them, and turning Iroquois, as they had done.	true	724.61	731.23	20.93246
4335_15081_000016_000005	The Iroquois demanded if he had come alone.	The Iroquois demanded if he had come alone.	true	731.9	734.46	19.837166
4335_15081_000016_000006	He answered, "No," and said, that, in order to accomplish his purpose, he had joined an Algonquin war-party who were in the woods not far off.	He answered, "No," and said, that, in order to accomplish his purpose, he had joined an Algonquin war party who were in the woods not far off.	false	734.46	743.14	20.345463
4335_15081_000016_000007	The Iroquois, in great delight, demanded to be shown where they were.	The Iroquois, in great delight, demanded to be shown where they were.	true	743.93	747.91	21
4335_15081_000016_000008	This Judas, as the Jesuits call him, at once complied; and the Algonquins were surprised by a sudden onset, and routed with severe loss.	This Judas, as the Jesuits call him, at once complied; and the Algonquins were surprised by a sudden onset, and routed with severe loss.	false	748.46	757.57	21.7291
4335_15081_000016_000009	The treacherous Huron was well treated by the Iroquois, who adopted him into their nation.	The treacherous Huron was well treated by the Iroquois, who adopted him into their nation.	true	758.15	763.24	19
4335_15081_000016_000010	Not long after, he came to Canada, and, with a view, as it was thought, to some further treachery, rejoined the French. A sharp cross-questioning put him to confusion, and he presently confessed his guilt.	Not long after, he came to Canada, and, with a view, as it was thought, to some further treachery, rejoined the French. A sharp cross questioning put him to confusion, and he presently confessed his guilt.	true	764.09	776.95	20.564861
4335_15081_000016_000011	He was sentenced to death; and the sentence was executed by one of his own countrymen, who split his head with a hatchet. [ Ragueneau, Relation, 1650, 30.	He was sentenced to death; and the sentence was executed by one of his own countrymen, who split his head with a hatchet. [ Ragueneau, Relation, sixteen fifty, thirty.	false	777.11	785.7	21.85849
4335_15081_000016_000012	]	closing square bracket	false	785.7	786.42	-5
4335_15081_000017_000000	In the course of the summer, the French at Three Rivers became aware that a band of Iroquois was prowling in the neighborhood, and sixty men went out to meet them.	In the course of the summer, the French at Three Rivers became aware that a band of Iroquois was prowling in the neighborhood, and sixty men went out to meet them.	true	786.42	794.86	20.989292
4335_15081_000017_000001	Far from retreating, the Iroquois, who were about twenty-five in number, got out of their canoes, and took post, waist-deep in mud and water, among the tall rushes at the margin of the river. Here they fought stubbornly, and kept all the Frenchmen at bay.	Far from retreating, the Iroquois, who were about twenty five in number, got out of their canoes, and took post, waist deep in mud and water, among the tall rushes at the margin of the river. Here they fought stubbornly, and kept all the Frenchmen at bay.	false	795.47	810.49	20.548437
4335_15081_000017_000002	At length, finding themselves hard pressed, they entered their canoes again, and paddled off.	At length, finding themselves hard pressed, they entered their canoes again, and paddled off.	true	811.07	816.07	19.704119
4335_15081_000017_000003	The French rowed after them, and soon became separated in the chase; whereupon the Iroquois turned, and made desperate fight with the foremost, retreating again as soon as the others came up. This they repeated several times, and then made their escape, after killing a number of the best French soldiers.	The French rowed after them, and soon became separated in the chase; whereupon the Iroquois turned, and made desperate fight with the foremost, retreating again as soon as the others came up. This they repeated several times, and then made their escape, after killing a number of the best French soldiers.	true	816.65	834.58	19.88147
4335_15081_000017_000004	Their leader in this affair was a famous half-breed, known as the Flemish Bastard, who is styled by Ragueneau "an abomination of sin, and a monster produced between a heretic Dutch father and a pagan mother."	Their leader in this affair was a famous half breed, known as the Flemish Bastard, who is styled by Ragueneau "an abomination of sin, and a monster produced between a heretic Dutch father and a pagan mother."	false	835.22	849.04	20.812647
4335_15081_000018_000000	In the forests far north of Three Rivers dwelt the tribe called the Atticamegues, or Nation of the White Fish.	In the forests far north of Three Rivers dwelt the tribe called the Atticamegues, or Nation of the White Fish.	true	849.41	856.63	21.71367
4335_15081_000018_000001	From their remote position, and the difficult nature of the intervening country, they thought themselves safe; but a band of Iroquois, marching on snow-shoes a distance of twenty days' journey northward from the St. Lawrence, fell upon one of their camps in the winter, and made a general butchery of the inmates.	From their remote position, and the difficult nature of the intervening country, they thought themselves safe; but a band of Iroquois, marching on snow shoes a distance of twenty days' journey northward from the saint Lawrence, fell upon one of their camps in the winter, and made a general butchery of the inmates.	true	857.06	874.81	20.615046
