54_121080_000000_000000	"What have you discovered?" asked Morrel.	"What have you discovered?" asked Morrel.	false	0	3.24	18.919874
54_121080_000025_000005	I am fond of these jars, upon which, perhaps, misshapen, frightful monsters have fixed their cold, dull eyes, and in which myriads of small fish have slept, seeking a refuge from the pursuit of their enemies." Meanwhile, Danglars, who had cared little for curiosities, was mechanically tearing off the blossoms of a splendid orange-tree, one after another.	I am fond of these jars, upon which, perhaps, misshapen, frightful monsters have fixed their cold, dull eyes, and in which myriads of small fish have slept, seeking a refuge from the pursuit of their enemies." Meanwhile, Danglars, who had cared little for curiosities, was mechanically tearing off the blossoms of a splendid orange tree, one after another.	false	746.36	773.38	20.315342
54_121080_000025_000006	When he had finished with the orange-tree, he began at the cactus; but this, not being so easily plucked as the orange-tree, pricked him dreadfully.	When he had finished with the orange tree, he began at the cactus; but this, not being so easily plucked as the orange tree, pricked him dreadfully.	true	774.62	784.27	22.952023
54_121080_000025_000007	He shuddered, and rubbed his eyes as though awaking from a dream.	He shuddered, and rubbed his eyes as though awaking from a dream.	true	784.34	788.56	19.725033
54_121080_000026_000000	"Sir," said Monte Cristo to him, "I do not recommend my pictures to you, who possess such splendid paintings; but, nevertheless, here are two by Hobbema, a Paul Potter, a Mieris, two by Gerard Douw, a Raphael, a Vandyke, a Zurbaran, and two or three by Murillo, worth looking at."	"Sir," said Monte Cristo to him, "I do not recommend my pictures to you, who possess such splendid paintings; but, nevertheless, here are two by Hobbema, a Paul Potter, a Mieris, two by Gerard d o u w, a Raphael, a Vandyke, a Zurbaran, and two or three by Murillo, worth looking at."	false	789.08	812.62	20.49347
54_121080_000027_000000	"Stay," said Debray; "I recognize this Hobbema."	"Stay," said Debray; "I recognize this Hobbema."	true	813.92	818.07	20.558798
54_121080_000028_000000	"Ah, indeed!"	"Ah, indeed!"	false	818.07	819.97	17.737812
54_121080_000029_000000	"Yes; it was proposed for the Museum."	"Yes; it was proposed for the Museum."	true	820.31	823.21	22.425457
54_121080_000030_000000	"Which, I believe, does not contain one?" said Monte Cristo.	"Which, I believe, does not contain one?" said Monte Cristo.	true	823.88	828.61	22.570131
54_121080_000031_000000	"No; and yet they refused to buy it."	"No; and yet they refused to buy it."	true	829.22	832.66	20.539827
54_121080_000032_000000	"Why?" said Chateau-Renaud.	"Why?" said Chateau Renaud.	true	833.57	835.57	19.97447
54_121080_000033_000000	"You pretend not to know,--because government was not rich enough."	"You pretend not to know,--because government was not rich enough."	false	836.6	840.85	20.457088
54_121080_000034_000000	"Ah, pardon me," said Chateau-Renaud; "I have heard of these things every day during the last eight years, and I cannot understand them yet."	"Ah, pardon me," said Chateau Renaud; "I have heard of these things every day during the last eight years, and I cannot understand them yet."	true	841.67	851.38	19
54_121080_000035_000000	"You will, by and by," said Debray.	"You will, by and by," said Debray.	true	851.9	854.5	18.99763
54_121080_000036_000000	"I think not," replied Chateau-Renaud.	"I think not," replied Chateau Renaud.	true	854.81	857.29	23
54_121080_000037_000000	"Major Bartolomeo Cavalcanti and Count Andrea Cavalcanti," announced Baptistin.	"Major Bartolomeo Cavalcanti and Count Andrea Cavalcanti," announced Baptistin.	false	858.26	866.88	22.44722
54_121080_000037_000001	A black satin stock, fresh from the maker's hands, gray moustaches, a bold eye, a major's uniform, ornamented with three medals and five crosses--in fact, the thorough bearing of an old soldier--such was the appearance of Major Bartolomeo Cavalcanti, that tender father with whom we are already acquainted.	A black satin stock, fresh from the maker's hands, gray moustaches, a bold eye, a major's uniform, ornamented with three medals and five crosses-in fact, the thorough bearing of an old soldier-such was the appearance of Major Bartolomeo Cavalcanti, that tender father with whom we are already acquainted.	true	866.88	891.64	20.127476
54_121080_000037_000002	Close to him, dressed in entirely new clothes, advanced smilingly Count Andrea Cavalcanti, the dutiful son, whom we also know.	Close to him, dressed in entirely new clothes, advanced smilingly Count Andrea Cavalcanti, the dutiful son, whom we also know.	false	892.61	902.2	21.15568
54_121080_000037_000003	The three young people were talking together.	The three young people were talking together.	true	902.87	905.41	21
54_121080_000037_000004	On the entrance of the new-comers, their eyes glanced from father to son, and then, naturally enough, rested on the latter, whom they began criticising.	On the entrance of the new comers, their eyes glanced from father to son, and then, naturally enough, rested on the latter, whom they began criticising.	true	905.6	915.34	18
54_121080_000037_000005	"Cavalcanti!" said Debray.	"Cavalcanti!" said Debray.	true	915.71	917.95	20.9286
54_121080_000037_000006	"A fine name," said Morrel.	"A fine name," said Morrel.	true	918.08	920.05	18.963642
54_121080_000038_000000	"Yes," said Chateau-Renaud, "these Italians are well named and badly dressed."	"Yes," said Chateau Renaud, "these Italians are well named and badly dressed."	true	920.36	926.17	21.621883
54_121080_000039_000000	"You are fastidious, Chateau-Renaud," replied Debray; "those clothes are well cut and quite new."	"You are fastidious, Chateau Renaud," replied Debray; "those clothes are well cut and quite new."	true	926.6	933.46	23.683838
54_121080_000040_000000	"That is just what I find fault with.	"That is just what I find fault with.	true	933.77	935.98	18.50399
54_121080_000040_000001	That gentleman appears to be well dressed for the first time in his life."	That gentleman appears to be well dressed for the first time in his life."	true	936.11	940.27	21
54_121080_000041_000000	"Who are those gentlemen?" asked Danglars of Monte Cristo.	"Who are those gentlemen?" asked Danglars of Monte Cristo.	true	941.06	944.32	20.387909
54_121080_000042_000000	"You heard--Cavalcanti."	"You heard-Cavalcanti."	true	944.84	946.96	23.404015
54_121080_000043_000000	"That tells me their name, and nothing else."	"That tells me their name, and nothing else."	true	947.99	950.91	20.806517
54_121080_000044_000000	"Ah, true.	"Ah, true.	false	950.91	952.21	21.292505
54_121080_000044_000001	You do not know the Italian nobility; the Cavalcanti are all descended from princes."	You do not know the Italian nobility; the Cavalcanti are all descended from princes."	true	952.55	958.06	19
54_121080_000045_000000	"Have they any fortune?"	"Have they any fortune?"	true	958.76	960.16	21.523
54_121080_000046_000000	"An enormous one."	"An enormous one."	true	960.53	962.08	23
54_121080_000047_000000	"What do they do?"	"What do they do?"	true	962.72	963.82	20.252161
54_121080_000048_000000	"Try to spend it all.	"Try to spend it all.	true	964.46	965.74	20.783041
54_121080_000048_000001	They have some business with you, I think, from what they told me the day before yesterday.	They have some business with you, I think, from what they told me the day before yesterday.	true	965.96	971.8	20.655941
54_121080_000048_000002	I, indeed, invited them here to-day on your account.	I, indeed, invited them here to day on your account.	true	971.93	975.43	16
54_121080_000048_000003	I will introduce you to them."	I will introduce you to them."	true	975.53	977.35	22.835135
54_121080_000049_000000	"But they appear to speak French with a very pure accent," said Danglars.	"But they appear to speak French with a very pure accent," said Danglars.	true	978.05	982.27	22.206482
54_121080_000050_000000	"The son has been educated in a college in the south; I believe near Marseilles.	"The son has been educated in a college in the south; I believe near Marseilles.	true	983.06	987.79	19
54_121080_000050_000001	You will find him quite enthusiastic."	You will find him quite enthusiastic."	true	988.64	991.03	21.340956
54_121080_000051_000000	"Upon what subject?" asked Madame Danglars.	"Upon what subject?" asked Madame Danglars.	true	991.91	995.02	24.159555
54_121080_000052_000000	"The French ladies, madame.	"The French ladies, madame.	true	995.36	996.97	17.61904
54_121080_000052_000001	He has made up his mind to take a wife from Paris."	He has made up his mind to take a wife from Paris."	true	997.34	1000.84	18
54_121080_000053_000000	"A fine idea that of his," said Danglars, shrugging his shoulders. Madame Danglars looked at her husband with an expression which, at any other time, would have indicated a storm, but for the second time she controlled herself.	"A fine idea that of his," said Danglars, shrugging his shoulders. Madame Danglars looked at her husband with an expression which, at any other time, would have indicated a storm, but for the second time she controlled herself.	true	1001.45	1016.62	21.824722
54_121080_000053_000001	"The baron appears thoughtful to-day," said Monte Cristo to her; "are they going to put him in the ministry?"	"The baron appears thoughtful to day," said Monte Cristo to her; "are they going to put him in the ministry?"	true	1016.9	1022.74	21.772055
54_121080_000054_000000	"Not yet, I think.	"Not yet, I think.	true	1023.62	1025.08	26.849258
54_121080_000054_000001	More likely he has been speculating on the Bourse, and has lost money."	More likely he has been speculating on the Bourse, and has lost money."	true	1025.12	1030.65	21.231861
54_121080_000055_000000	"M. and Madame de Villefort," cried Baptistin.	"M. and Madame de Villefort," cried Baptistin.	false	1030.65	1035.57	20.642656
54_121080_000055_000001	They entered.	They entered.	false	1035.57	1036.92	19.755621
54_121080_000055_000002	M. de Villefort, notwithstanding his self-control, was visibly affected, and when Monte Cristo touched his hand, he felt it tremble.	M. de Villefort, notwithstanding his self control, was visibly affected, and when Monte Cristo touched his hand, he felt it tremble.	false	1036.92	1045.93	20.038694
54_121080_000055_000003	"Certainly, women alone know how to dissimulate," said Monte Cristo to himself, glancing at Madame Danglars, who was smiling on the procureur, and embracing his wife.	"Certainly, women alone know how to dissimulate," said Monte Cristo to himself, glancing at Madame Danglars, who was smiling on the procureur, and embracing his wife.	false	1046.78	1058.41	18
54_121080_000055_000004	After a short time, the count saw Bertuccio, who, until then, had been occupied on the other side of the house, glide into an adjoining room.	After a short time, the count saw Bertuccio, who, until then, had been occupied on the other side of the house, glide into an adjoining room.	true	1059.41	1069.3	21.528412
54_121080_000055_000005	He went to him.	He went to him.	true	1069.61	1070.74	23.575148
54_121080_000055_000006	"What do you want, M. Bertuccio?" said he.	"What do you want, m Bertuccio?" said he.	false	1071.08	1074.16	21.95649
54_121080_000056_000000	"Your excellency has not stated the number of guests."	"Your excellency has not stated the number of guests."	true	1074.5	1078.93	20.487616
54_121080_000057_000000	"Ah, true."	"Ah, true."	true	1080.44	1081.6	22.927786
54_121080_000058_000000	"How many covers?"	"How many covers?"	true	1081.97	1083.25	25
54_121080_000059_000000	"Count for yourself."	"Count for yourself."	true	1083.92	1085.41	20.701126
54_121080_000060_000000	"Is every one here, your excellency?"	"Is every one here, your excellency?"	true	1086.02	1088.14	17
54_121080_000061_000000	"Yes."	"Yes."	true	1088.66	1089.49	23.98948
54_121080_000062_000000	Bertuccio glanced through the door, which was ajar.	Bertuccio glanced through the door, which was ajar.	true	1090.64	1093.93	24.789335
54_121080_000062_000001	The count watched him.	The count watched him.	true	1094.24	1095.73	22.445442
54_121080_000062_000002	"Good heavens!" he exclaimed.	"Good heavens!" he exclaimed.	true	1096.04	1098.31	20.051218
54_121080_000063_000000	"What is the matter?" said the count.	"What is the matter?" said the count.	true	1098.62	1100.5	20.253857
54_121080_000064_000000	"That woman--that woman!"	"That woman-that woman!"	true	1100.6	1102.93	24.295963
54_121080_000065_000000	"Which?"	"Which?"	true	1103.27	1104.07	25.906282
54_121080_000066_000000	"The one with a white dress and so many diamonds--the fair one."	"The one with a white dress and so many diamonds-the fair one."	false	1104.35	1108.47	23.203108
54_121080_000067_000000	"Madame Danglars?"	"Madame Danglars?"	false	1108.47	1110.04	19.16369
54_121080_000068_000000	"I do not know her name; but it is she, sir, it is she!"	"I do not know her name; but it is she, sir, it is she!"	true	1110.38	1114.42	19.859228
54_121080_000069_000000	"Whom do you mean?"	"Whom do you mean?"	true	1114.91	1116.28	19
54_121080_000070_000000	"The woman of the garden!--she that was enciente--she who was walking while she waited for"--Bertuccio stood at the open door, with his eyes starting and his hair on end.	"The woman of the garden!--she that was enciente-she who was walking while she waited for"--Bertuccio stood at the open door, with his eyes starting and his hair on end.	true	1117.64	1130.98	20.931503
