4057_11254_000000_000000	His son has taken his father's seat in Parliament, and has of course joined Young England.	His son has taken his father's seat in Parliament, and has of course joined Young England.	false	0	3.48	27.576445
4057_11254_000004_000002	There is nothing snobbish in having only one pair of boots, or a favourite pair; and certainly nothing snobbish in desiring to have them cleaned.	There is nothing snobbish in having only one pair of boots, or a favourite pair; and certainly nothing snobbish in desiring to have them cleaned.	true	116.66	125.32	21.948236
4057_11254_000004_000003	Lord B., in so doing, performed a perfectly natural and gentlemanlike action; for which I am so pleased with him that I have had him designed in a favourable and elegant attitude, and put at the head of this Chapter in the place of honour.	Lord b, in so doing, performed a perfectly natural and gentlemanlike action; for which I am so pleased with him that I have had him designed in a favourable and elegant attitude, and put at the head of this Chapter in the place of honour.	false	125.87	142.57	22.663282
4057_11254_000004_000004	No, we are not personal in these candid remarks.	No, we are not personal in these candid remarks.	true	143.45	146.35	19.991007
4057_11254_000004_000005	As Phidias took the pick of a score of beauties before he completed a Venus, so have we to examine, perhaps, a thousand Snobs, before one is expressed upon paper.	As Phidias took the pick of a score of beauties before he completed a Venus, so have we to examine, perhaps, a thousand Snobs, before one is expressed upon paper.	false	147.2	158.26	21.961573
4057_11254_000005_000000	Great City Snobs are the next in the hierarchy, and ought to be considered.	Great City Snobs are the next in the hierarchy, and ought to be considered.	true	160.04	164.8	25.502619
4057_11254_000005_000001	But here is a difficulty.	But here is a difficulty.	true	164.99	166.51	21.657227
4057_11254_000005_000002	The great City Snob is commonly most difficult of access.	The great City Snob is commonly most difficult of access.	true	166.64	170.77	23.641886
4057_11254_000005_000003	Unless you are a capitalist, you cannot visit him in the recesses of his bank parlour in Lombard Street.	Unless you are a capitalist, you cannot visit him in the recesses of his bank parlour in Lombard Street.	true	171.29	177.94	22.8694
4057_11254_000005_000004	Unless you are a sprig of nobility there is little hope of seeing him at home.	Unless you are a sprig of nobility there is little hope of seeing him at home.	true	178.28	183.22	20.64846
4057_11254_000005_000005	In a great City Snob firm there is generally one partner whose name is down for charities, and who frequents Exeter Hall; you may catch a glimpse of another (a scientific City Snob) at my Lord N----'s SOIREES, or the lectures of the London Institution; of a third (a City Snob of taste) at picture-auctions, at private views of exhibitions, or at the Opera or the Philharmonic.	In a great City Snob firm there is generally one partner whose name is down for charities, and who frequents Exeter Hall; you may catch a glimpse of another (a scientific City Snob) at my Lord N----'s SOIREES, or the lectures of the London Institution; of a third (a City Snob of taste) at picture auctions, at private views of exhibitions, or at the Opera or the Philharmonic.	true	183.74	212.2	20.999428
4057_11254_000005_000006	But intimacy is impossible, in most cases, with this grave, pompous, and awful being.	But intimacy is impossible, in most cases, with this grave, pompous, and awful being.	true	212.3	218.77	21.415642
4057_11254_000006_000000	A mere gentleman may hope to sit at almost anybody's table--to take his place at my lord duke's in the country--to dance a quadrille at Buckingham Palace itself--(beloved Lady Wilhelmina Wagglewiggle! do you recollect the sensation we made at the ball of our late adored Sovereign Queen Caroline, at Brandenburg House, Hammersmith?) but the City Snob's doors are, for the most part, closed to him; and hence all that one knows of this great class is mostly from hearsay.	A mere gentleman may hope to sit at almost anybody's table-to take his place at my lord duke's in the country-to dance a quadrille at Buckingham Palace itself-(beloved Lady Wilhelmina Wagglewiggle! do you recollect the sensation we made at the ball of our late adored Sovereign Queen Caroline, at Brandenburg House, Hammersmith?) but the City Snob's doors are, for the most part, closed to him; and hence all that one knows of this great class is mostly from hearsay.	false	220.01	251.02	22.692398
4057_11254_000007_000000	In other countries of Europe, the Banking Snob is more expansive and communicative than with us, and receives all the world into his circle.	In other countries of Europe, the Banking Snob is more expansive and communicative than with us, and receives all the world into his circle.	true	252.11	260.86	22.505888
4057_11254_000007_000001	For instance, everybody knows the princely hospitalities of the Scharlaschild family at Paris, Naples, Frankfort, &c..	For instance, everybody knows the princely hospitalities of the Scharlaschild family at Paris, Naples, Frankfort, and c..	false	261.53	271.2	20.560617
4057_11254_000007_000002	They entertain all the world, even the poor, at their FETES.	They entertain all the world, even the poor, at their FETES.	true	271.2	274.93	22.352552
4057_11254_000007_000003	Prince Polonia, at Rome, and his brother, the Duke of Strachino, are also remarkable for their hospitalities.	Prince Polonia, at Rome, and his brother, the Duke of Strachino, are also remarkable for their hospitalities.	true	275.57	283.72	22.055344
4057_11254_000007_000004	I like the spirit of the first-named nobleman.	I like the spirit of the first named nobleman.	true	284.33	287.08	23.444511
4057_11254_000007_000005	Titles not costing much in the Roman territory, he has had the head clerk of the banking-house made a Marquis, and his Lordship will screw a BAJOCCO out of you in exchange as dexterously as any commoner could do.	Titles not costing much in the Roman territory, he has had the head clerk of the banking house made a Marquis, and his Lordship will screw a b a j o c c o out of you in exchange as dexterously as any commoner could do.	false	287.75	302.67	20.376831
4057_11254_000007_000006	It is a comfort to be able to gratify such grandees with a farthing or two; it makes the poorest man feel that he can do good.	It is a comfort to be able to gratify such grandees with a farthing or two; it makes the poorest man feel that he can do good.	true	302.67	310.48	21.789507
4057_11254_000007_000007	'The Polonias have intermarried with the greatest and most ancient families of Rome, and you see their heraldic cognizance (a mushroom or on an azure field) quartered in a hundred places in the city with the arms of the Colonnas and Dorias.	'The Polonias have intermarried with the greatest and most ancient families of Rome, and you see their heraldic cognizance (a mushroom or on an azure field) quartered in a hundred places in the city with the arms of the Colonnas and Dorias.	true	311.81	327.16	20.07799
4057_11254_000008_000000	City Snobs have the same mania for aristocratic marriages.	City Snobs have the same mania for aristocratic marriages.	true	328.19	331.93	18
4057_11254_000008_000001	I like to see such.	I like to see such.	true	332.12	333.61	28.280167
4057_11254_000008_000002	I am of a savage and envious nature,--I like to see these two humbugs which, dividing, as they do, the social empire of this kingdom between them, hate each other naturally, making truce and uniting, for the sordid interests of either.	I am of a savage and envious nature,--I like to see these two humbugs which, dividing, as they do, the social empire of this kingdom between them, hate each other naturally, making truce and uniting, for the sordid interests of either.	true	333.83	349.42	22.196545
4057_11254_000008_000003	I like to see an old aristocrat, swelling with pride of race, the descendant of illustrious Norman robbers, whose blood has been pure for centuries, and who looks down upon common Englishmen as a free American does on a nigger,--I like to see old Stiffneck obliged to bow down his head and swallow his infernal pride, and drink the cup of humiliation poured out by Pump and Aldgate's butler.	I like to see an old aristocrat, swelling with pride of race, the descendant of illustrious Norman robbers, whose blood has been pure for centuries, and who looks down upon common Englishmen as a free American does on a nigger,--I like to see old Stiffneck obliged to bow down his head and swallow his infernal pride, and drink the cup of humiliation poured out by Pump and Aldgate's butler.	true	349.85	374.29	21.951597
4057_11254_000008_000004	'Pump and Aldgate, says he, 'your grandfather was a bricklayer, and his hod is still kept in the bank.	'Pump and Aldgate, says he, 'your grandfather was a bricklayer, and his hod is still kept in the bank.	true	374.84	380.56	22.989876
4057_11254_000008_000005	Your pedigree begins in a workhouse; mine can be dated from all the royal palaces of Europe.	Your pedigree begins in a workhouse; mine can be dated from all the royal palaces of Europe.	true	380.84	386.5	20.993273
4057_11254_000008_000006	I came over with the Conqueror; I am own cousin to Charles Martel, Orlando Furioso, Philip Augustus, Peter the Cruel, and Frederick Barbarossa. I quarter the Royal Arms of Brentford in my coat.	I came over with the Conqueror; I am own cousin to Charles Martel, Orlando Furioso, Philip Augustus, peter the Cruel, and Frederick Barbarossa. I quarter the Royal Arms of Brentford in my coat.	true	386.93	400.99	20.594099
4057_11254_000008_000007	I despise you, but I want money; and I will sell you my beloved daughter, Blanche Stiffneck, for a hundred thousand pounds, to pay off my mortgages.	I despise you, but I want money; and I will sell you my beloved daughter, Blanche Stiffneck, for a hundred thousand pounds, to pay off my mortgages.	true	401.51	411.19	21.7888
4057_11254_000008_000008	Let your son marry her, and she shall become Lady Blanche Pump and Aldgate.'	Let your son marry her, and she shall become Lady Blanche Pump and Aldgate.'	true	411.56	415.99	19.818419
4057_11254_000009_000000	Old Pump and Aldgate clutches at the bargain.	Old Pump and Aldgate clutches at the bargain.	true	416.42	419.14	25.685316
4057_11254_000009_000001	And a comfortable thing it is to think that birth can be bought for money.	And a comfortable thing it is to think that birth can be bought for money.	true	419.36	423.01	22.974255
4057_11254_000009_000002	So you learn to value it.	So you learn to value it.	true	423.5	424.96	22
4057_11254_000009_000003	Why should we, who don't possess it, set a higher store on it than those who do?	Why should we, who don't possess it, set a higher store on it than those who do?	true	425.39	429.79	22.025936
4057_11254_000009_000004	Perhaps the best use of that book, the 'Peerage,' is to look down the list, and see how many have bought and sold birth,--how poor sprigs of nobility somehow sell themselves to rich City Snobs' daughters, how rich City Snobs purchase noble ladies--and so to admire the double baseness of the bargain.	Perhaps the best use of that book, the 'Peerage,' is to look down the list, and see how many have bought and sold birth,--how poor sprigs of nobility somehow sell themselves to rich City Snobs' daughters, how rich City Snobs purchase noble ladies-and so to admire the double baseness of the bargain.	false	430.28	450.1	21.70521
4057_11254_000010_000000	Old Pump and Aldgate buys the article and pays the money.	Old Pump and Aldgate buys the article and pays the money.	true	450.83	454.48	22.791021
4057_11254_000010_000001	The sale of the girl's person is blessed by a Bishop at St. George's, Hanover Square, and next year you read, 'At Roehampton, on Saturday, the Lady Blanche Pump, of a son and heir.	The sale of the girl's person is blessed by a Bishop at saint George's, Hanover Square, and next year you read, 'At Roehampton, on Saturday, the Lady Blanche Pump, of a son and heir.	true	454.76	466.45	21.72309
4057_11254_000011_000000	After this interesting event, some old acquaintance, who saw young Pump in the parlour at the bank in the City, said to him, familiarly, 'How's your wife, Pump, my boy?'	After this interesting event, some old acquaintance, who saw young Pump in the parlour at the bank in the City, said to him, familiarly, 'How's your wife, Pump, my boy?'	true	467.54	478.9	23.192757
4057_11254_000012_000000	Mr. Pump looked exceedingly puzzled and disgusted, and, after a pause, said, 'LADY BLANCHE PUMP' is pretty well, I thank you.'	mr Pump looked exceedingly puzzled and disgusted, and, after a pause, said, 'LADY BLANCHE PUMP' is pretty well, I thank you.'	true	479.39	488.71	22.56915
4057_11254_000013_000000	'OH, I THOUGHT SHE WAS YOUR WIFE!' said the familiar brute, Snooks, wishing him good-bye; and ten minutes after, the story was all over the Stock Exchange, where it is told, when young Pump appears, to this very day.	'OH, I THOUGHT SHE WAS YOUR WIFE!' said the familiar brute, Snooks, wishing him good bye; and ten minutes after, the story was all over the Stock Exchange, where it is told, when young Pump appears, to this very day.	true	489.38	503.29	23.600576
4057_11254_000014_000000	We can imagine the weary life this poor Pump, this martyr to Mammon, is compelled to undergo.	We can imagine the weary life this poor Pump, this martyr to Mammon, is compelled to undergo.	true	504.26	510.4	20.914454
4057_11254_000014_000001	Fancy the domestic enjoyments of a man who has a wife who scorns him; who cannot see his own friends in his own house; who having deserted the middle rank of life, is not yet admitted to the higher; but who is resigned to rebuffs and delay and humiliation, contented to think that his son will be more fortunate.	Fancy the domestic enjoyments of a man who has a wife who scorns him; who cannot see his own friends in his own house; who having deserted the middle rank of life, is not yet admitted to the higher; but who is resigned to rebuffs and delay and humiliation, contented to think that his son will be more fortunate.	false	510.77	529.66	19.0685
4057_11254_000015_000000	It used to be the custom of some very old-fashioned clubs in this city, when a gentleman asked for change a guinea, always to bring it to him in WASHED SILVER: that which had passed immediately out of the hands of vulgar being considered 'as too coarse to soil a gentleman's fingers.' So, when the City Snob's money has been washed during a generation or so; has been washed into estates, and woods, and castles, and town-mansions, it is allowed to pass current as real aristocratic coin. Old Pump sweeps a shop, runs of messages, becomes a confidential clerk and partner.	It used to be the custom of some very old-fashioned clubs in this city, when a gentleman asked for change a guinea, always to bring it to him in WASHED SILVER: that which had passed immediately out of the hands of vulgar being considered 'as too coarse to soil a gentleman's fingers.' So, when the City Snob's money has been washed during a generation or so; has been washed into estates, and woods, and castles, and town mansions, it is allowed to pass current as real aristocratic coin. Old Pump sweeps a shop, runs of messages, becomes a confidential clerk and partner.	false	530.51	567.91	21.111942
4057_11254_000015_000001	Pump the Second becomes chief of the house, spins more and more money, marries his son to an Earl's daughter.	Pump the Second becomes chief of the house, spins more and more money, marries his son to an Earl's daughter.	true	568.07	574.93	21.712524
4057_11254_000015_000002	Pump Tertius goes on with the bank; but his chief business in life is to become the father of Pump Quartus, who comes out a full-blown aristocrat, and takes his seat as Baron Pumpington, and his race rules hereditarily over this nation of Snobs.	Pump Tertius goes on with the bank; but his chief business in life is to become the father of Pump Quartus, who comes out a full blown aristocrat, and takes his seat as Baron Pumpington, and his race rules hereditarily over this nation of Snobs.	false	575.27	592.71	20.069841
