4967_26520_000000_000000	CHAPTER 10.	CHAPTER ten.	false	29.025	32.2	18.92339
4967_26520_000005_000002	And this was not all, for he also imposed the name, of his own god upon him, [Baltasar,] and made him and his kinsmen rulers of his whole kingdom; which kinsmen of his happened to fall into great danger by the envy and malice [of their enemies]; for they offended the king upon the occasion following: he made an image of gold, whose height was sixty cubits, and its breadth six cubits, and set it in the great plain of Babylon; and when he was going to dedicate the image, he invited the principal men out of all the earth that was under his dominions, and commanded them, in the first place, that when they should hear the sound of the trumpet, they should then fall down and worship the image; and he threatened, that those who did not so, should be cast into a fiery furnace.	And this was not all, for he also imposed the name, of his own god upon him, [Baltasar,] and made him and his kinsmen rulers of his whole kingdom; which kinsmen of his happened to fall into great danger by the envy and malice [of their enemies]; for they offended the king upon the occasion following: he made an image of gold, whose height was sixty cubits, and its breadth six cubits, and set it in the great plain of Babylon; and when he was going to dedicate the image, he invited the principal men out of all the earth that was under his dominions, and commanded them, in the first place, that when they should hear the sound of the trumpet, they should then fall down and worship the image; and he threatened, that those who did not so, should be cast into a fiery furnace.	false	646.43	694.51	22.31244
4967_26520_000005_000003	When therefore all the rest, upon the hearing of the sound of the trumpet, worshipped the image, they relate that Daniel's kinsmen did not do it, because they would not transgress the laws of their country.	When therefore all the rest, upon the hearing of the sound of the trumpet, worshipped the image, they relate that Daniel's kinsmen did not do it, because they would not transgress the laws of their country.	true	695.39	706.54	21.789915
4967_26520_000005_000004	So these men were convicted, and cast immediately into the fire, but were saved by Divine Providence, and after a surprising manner escaped death, for the fire did not touch them; and I suppose that it touched them not, as if it reasoned with itself, that they were cast into it without any fault of theirs, and that therefore it was too weak to burn the young men when they were in it.	So these men were convicted, and cast immediately into the fire, but were saved by Divine Providence, and after a surprising manner escaped death, for the fire did not touch them; and I suppose that it touched them not, as if it reasoned with itself, that they were cast into it without any fault of theirs, and that therefore it was too weak to burn the young men when they were in it.	true	707	730.33	22.4555
4967_26520_000005_000005	This was done by the power of God, who made their bodies so far superior to the fire, that it could not consume them.	This was done by the power of God, who made their bodies so far superior to the fire, that it could not consume them.	true	730.88	738.28	19.956364
4967_26520_000005_000006	This it was which recommended them to the king as righteous men, and men beloved of God, on which account they continued in great esteem with him.	This it was which recommended them to the king as righteous men, and men beloved of God, on which account they continued in great esteem with him.	true	739.31	747.96	20.33595
4967_26520_000006_000000	6.	six.	false	747.96	749.07	3
4967_26520_000006_000001	A little after this the king saw in his sleep again another vision; how he should fall from his dominion, and feed among the wild beasts, and that when he halt lived in this manner in the desert for seven years, [19] he should recover his dominion again.	A little after this the king saw in his sleep again another vision; how he should fall from his dominion, and feed among the wild beasts, and that when he halt lived in this manner in the desert for seven years, [nineteen] he should recover his dominion again.	false	749.07	763.9	21.496984
4967_26520_000006_000002	When he had seen this dream, he called the magicians together again, and inquired of them about it, and desired them to tell him what it signified; but when none of them could find out the meaning of the dream, nor discover it to the king, Daniel was the only person that explained it; and as he foretold, so it came to pass; for after he had continued in the wilderness the forementioned interval of time, while no one durst attempt to seize his kingdom during those seven years, he prayed to God that he might recover his kingdom, and he returned to it.	When he had seen this dream, he called the magicians together again, and inquired of them about it, and desired them to tell him what it signified; but when none of them could find out the meaning of the dream, nor discover it to the king, Daniel was the only person that explained it; and as he foretold, so it came to pass; for after he had continued in the wilderness the forementioned interval of time, while no one durst attempt to seize his kingdom during those seven years, he prayed to God that he might recover his kingdom, and he returned to it.	false	764.69	796.48	21.369915
4967_26520_000006_000003	But let no one blame me for writing down every thing of this nature, as I find it in our ancient books; for as to that matter, I have plainly assured those that think me defective in any such point, or complain of my management, and have told them in the beginning of this history, that I intended to do no more than translate the Hebrew books into the Greek language, and promised them to explain those facts, without adding any thing to them of my own, or taking any thing away from there.	But let no one blame me for writing down every thing of this nature, as I find it in our ancient books; for as to that matter, I have plainly assured those that think me defective in any such point, or complain of my management, and have told them in the beginning of this history, that I intended to do no more than translate the Hebrew books into the Greek language, and promised them to explain those facts, without adding any thing to them of my own, or taking any thing away from there.	true	797.06	825.72	23.342411
4967_26520_000007_000000	CHAPTER 11.	CHAPTER eleven.	false	825.72	826.44	-20
4967_26520_000007_000001	Concerning Nebuchadnezzar And His Successors And How Their Government Was Dissolved By The Persians; And What Things Befell Daniel In Media; And What Prophecies He Delivered There.	Concerning Nebuchadnezzar And His Successors And How Their Government Was Dissolved By The Persians; And What Things Befell Daniel In Media; And What Prophecies He Delivered There.	false	826.44	831.39	22.907711
