7933_112597_000001_000000	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.
7933_112597_000008_000001	It had a body like a flat drum, to which at one side was attached a short neck: the strings were stretched across the flat face of the drum and along the neck: and were tuned and regulated by pins or keys and a bridge.	It had a body like a flat drum, to which at one side was attached a short neck: the strings were stretched across the flat face of the drum and along the neck: and were tuned and regulated by pins or keys and a bridge.
7933_112597_000009_000000	Harpers and timpanists were honoured in Ireland beyond all other musicians; and their rights and privileges were even laid down in the law. Kings had always harpers in their service, who resided in the palaces and were well paid for their services.	Harpers and timpanists were honoured in Ireland beyond all other musicians; and their rights and privileges were even laid down in the law. Kings had always harpers in their service, who resided in the palaces and were well paid for their services.
7933_112597_000010_000001	But the bagpipe was the great favourite of the common people.	But the bagpipe was the great favourite of the common people.
7933_112597_000010_000002	The form in use was what we now call the Highland or Scotch pipes--slung from the shoulder: the bag inflated by the mouth.	The form in use was what we now call the Highland or Scotch pipes-slung from the shoulder: the bag inflated by the mouth.
7933_112597_000011_000002	On many of the great stone crosses are sculptured harp-players and pipe-players, from which we learn a great deal about the shapes and sizes of the several instruments.	On many of the great stone crosses are sculptured harp players and pipe players, from which we learn a great deal about the shapes and sizes of the several instruments.
7933_112597_000012_000001	In the National Museum in Dublin is a collection of twenty-six ancient trumpets, varying in length from 8 feet down to 18 inches.	In the National Museum in Dublin is a collection of twenty six ancient trumpets, varying in length from eight feet down to eighteen inches.
7933_112597_000013_000000	Among the household of every king and chief there was a band of trumpeters--as there were harpers--who were assigned their proper places at feasts and meetings.	Among the household of every king and chief there was a band of trumpeters-as there were harpers-who were assigned their proper places at feasts and meetings.
7933_112597_000013_000001	Trumpets were used for various purposes:--in war; in hunting; for signals during meetings and banquets; as a mark of honour on the arrival of distinguished visitors; and such like.	Trumpets were used for various purposes:--in war; in hunting; for signals during meetings and banquets; as a mark of honour on the arrival of distinguished visitors; and such like.
7933_112597_000013_000002	For war purposes, trumpeters had different calls for directing movements--for battle, for unyoking, for marching, for halting, for retiring to sleep, for going into council, and so forth.	For war purposes, trumpeters had different calls for directing movements-for battle, for unyoking, for marching, for halting, for retiring to sleep, for going into council, and so forth.
7933_112597_000014_000001	The musical branch figures much in Irish romantic literature.	The musical branch figures much in Irish romantic literature.
7933_112597_000015_000000	The music of ancient Ireland consisted wholly of short airs, each with two strains or parts--seldom more.	The music of ancient Ireland consisted wholly of short airs, each with two strains or parts-seldom more.
7933_112597_000016_000006	Such airs are now known as lullabies, or nurse-tunes, or cradle-songs, of which numerous examples are preserved in collections of Irish music.	Such airs are now known as lullabies, or nurse tunes, or cradle songs, of which numerous examples are preserved in collections of Irish music.
7933_112597_000016_000007	They were usually sung to put children to sleep.	They were usually sung to put children to sleep.
7933_112597_000017_000001	There were special spinning-wheel songs, which the women sang, with words, in chorus or in dialogue, when employed in spinning.	There were special spinning wheel songs, which the women sang, with words, in chorus or in dialogue, when employed in spinning.
7933_112597_000017_000002	At milking-time the girls were in the habit of chanting a particular sort of air, in a low gentle voice.	At milking time the girls were in the habit of chanting a particular sort of air, in a low gentle voice.
7933_112597_000017_000004	This practice was common down to fifty or sixty years ago; and I well remember seeing cows grow restless when the song was interrupted, and become again quiet and placid when it was resumed.	This practice was common down to fifty or sixty years ago; and I well remember seeing cows grow restless when the song was interrupted, and become again quiet and placid when it was resumed.
7933_112597_000017_000005	The same custom was common in the Highlands of Scotland.	The same custom was common in the Highlands of Scotland.
7933_112597_000017_000006	While ploughmen were at their work they whistled a sweet, slow, and sad strain, which had as powerful an effect in soothing the horses at their hard labour as the milking-songs had on the cows: and these Plough-whistles also were quite usual till about half a century ago.	While ploughmen were at their work they whistled a sweet, slow, and sad strain, which had as powerful an effect in soothing the horses at their hard labour as the milking songs had on the cows: and these Plough whistles also were quite usual till about half a century ago.
7933_112597_000018_000000	Special airs and songs were used during working time by smiths, by weavers, and by boatmen.	Special airs and songs were used during working time by smiths, by weavers, and by boatmen.
7933_112597_000018_000002	In most cases words suitable to the several occasions were sung with lullabies, laments, and occupation-tunes.	In most cases words suitable to the several occasions were sung with lullabies, laments, and occupation tunes.
7933_112597_000018_000003	Examples of all the preceding classes of melodies will be found in the collections of Irish airs by Bunting, Petrie, and Joyce.	Examples of all the preceding classes of melodies will be found in the collections of Irish airs by Bunting, Petrie, and Joyce.
7933_112597_000019_000000	The Irish had numerous war-marches, which the pipers played at the head of the clansmen when marching to battle, and which inspired them with courage and dash for the fight.	The Irish had numerous war marches, which the pipers played at the head of the clansmen when marching to battle, and which inspired them with courage and dash for the fight.
7933_112597_000020_000000	The man who did most in modern times to draw attention to Irish music was Thomas Moore.	The man who did most in modern times to draw attention to Irish music was Thomas Moore.
7933_112597_000020_000001	He composed his exquisite songs to old Irish airs.	He composed his exquisite songs to old Irish airs.
7933_112597_000021_000000	Of the entire body of Irish airs that are preserved, we know the authors of only a very small proportion; and these were composed within the last two hundred years.	Of the entire body of Irish airs that are preserved, we know the authors of only a very small proportion; and these were composed within the last two hundred years.
