4222_187005_000001_000000	CHAPTER 10	CHAPTER ten
4222_187005_000013_000003	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.
4222_187005_000013_000004	Remember Incantation Seventy-three, Book One."	Remember Incantation Seventy three, Book One."
4222_187005_000014_000000	Chris stared at the fishbowl, empty now.	Chris stared at the fishbowl, empty now.
4222_187005_000015_000000	Then as nothing happened, with a voice like a whip Mr. Wicker said: "Start at once!"	Then as nothing happened, with a voice like a whip mr Wicker said: "Start at once!"
4222_187005_000016_000001	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.
4222_187005_000016_000002	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.
4222_187005_000016_000004	His head swam and he felt faint and a little sick, but he persisted through the final words.	His head swam and he felt faint and a little sick, but he persisted through the final words.
4222_187005_000019_000000	"Better come back now.	"Better come back now.
4222_187005_000019_000002	Seventy-four, Book One: The Return."	Seventy four, Book One: The Return."
4222_187005_000021_000000	"This will seem to smoke.	"This will seem to smoke.
4222_187005_000021_000001	Sniff the smoke and drink the liquid that remains," he said.	Sniff the smoke and drink the liquid that remains," he said.
4222_187005_000024_000001	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.
4222_187005_000025_000000	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and Mr. Wicker played together.	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and mr Wicker played together.
4222_187005_000025_000001	They played this new and unique form of hide-and-seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.	They played this new and unique form of hide and seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.
4222_187005_000025_000002	Soon Chris could turn himself into a limited number of things, for even Mr. Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.	Soon Chris could turn himself into a limited number of things, for even mr Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.
4222_187005_000026_000002	This afternoon, a rainy one, he had tired of changing himself into and out of objects.	This afternoon, a rainy one, he had tired of changing himself into and out of objects.
4222_187005_000028_000000	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up-pointing toes.	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up pointing toes.
4222_187005_000028_000001	Then all at once the idea came to Chris.	Then all at once the idea came to Chris.
4222_187005_000028_000002	If he was to be a magician, could he make this boy come to life?	If he was to be a magician, could he make this boy come to life?
4222_187005_000029_000000	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.
4222_187005_000030_000002	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.
4222_187005_000031_000000	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi-precious stones in the form of signs and symbols.	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi precious stones in the form of signs and symbols.
4222_187005_000031_000001	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.
4222_187005_000032_000000	The afternoon, rainy before, increased in storm.	The afternoon, rainy before, increased in storm.
4222_187005_000032_000001	Dusk came two hours before its time; thunder snarled in the sky.	Dusk came two hours before its time; thunder snarled in the sky.
4222_187005_000033_000001	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.
4222_187005_000033_000002	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.
4222_187005_000035_000001	Chris, his cheeks hot from excitement and the fire, tiptoed out just as Mr. Wicker's step creaked on the topmost tread of the spiral stair.	Chris, his cheeks hot from excitement and the fire, tiptoed out just as mr Wicker's step creaked on the topmost tread of the spiral stair.
4222_187005_000035_000002	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.
4222_187005_000036_000000	The words came out, interrupted by peals and cracks of thunder.	The words came out, interrupted by peals and cracks of thunder.
4222_187005_000036_000001	The shop was black except for the paler crescent of the bow window giving onto the street.	The shop was black except for the paler crescent of the bow window giving onto the street.
4222_187005_000038_000000	For in the blackness lit only by the lightning and its own eerie glow, the wood was changing as he watched.	For in the blackness lit only by the lightning and its own eerie glow, the wood was changing as he watched.
4222_187005_000039_000000	It was as if the stiffness melted.	It was as if the stiffness melted.
4222_187005_000039_000001	Under his eyes the wooden folds of cloth became rich silk, embroidery gleamed in its reality upon the coat, and oh! the face!	Under his eyes the wooden folds of cloth became rich silk, embroidery gleamed in its reality upon the coat, and oh! the face!
4222_187005_000039_000002	The wooden grin loosened, the large eyes turned, the hand holding the hard bouquet of carved flowers moved, and let the bouquet fall.	The wooden grin loosened, the large eyes turned, the hand holding the hard bouquet of carved flowers moved, and let the bouquet fall.
4222_187005_000039_000003	The feet of the boy twitched and shifted in their pointed shoes.	The feet of the boy twitched and shifted in their pointed shoes.
4222_187005_000041_000001	Outside, the rain poured down as if over some skyward dam.	Outside, the rain poured down as if over some skyward dam.
4222_187005_000044_000000	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and Mr. Wicker waited.	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and mr Wicker waited.
