4222_187005_000000_000000	Chris hurriedly set about proving his appreciation.	Chris hurriedly set about proving his appreciation.	false	4.23	23.43	21.14357
4222_187005_000003_000004	We must get forward with all haste, for his ship is a fast one--faster than the _Mirabelle_."	We must get forward with all haste, for his ship is a fast one-faster than the underscore Mirabelle underscore."	false	107.535	113.7	23.446396
4222_187005_000004_000000	Chris therefore threw himself into all the preliminaries of his task. His head swam when he laid it on his pillow at night, and Becky Boozer would stand with her hands on her barrel-sized hips, shaking her hat until its plumes and roses waved madly, over "her boy's" shadowed eyes and weary air.	Chris therefore threw himself into all the preliminaries of his task. His head swam when he laid it on his pillow at night, and Becky Boozer would stand with her hands on her barrel sized hips, shaking her hat until its plumes and roses waved madly, over "her boy's" shadowed eyes and weary air.	false	113.7	135.16	21.98643
4222_187005_000005_000000	For Chris was now as accepted a member of the household as Mr. Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.	For Chris was now as accepted a member of the household as mr Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.	true	136.22	150.82	23.165844
4222_187005_000006_000000	One afternoon when he returned, after a rest, to Mr. Wicker's study, he saw that there was something new in the room.	One afternoon when he returned, after a rest, to mr Wicker's study, he saw that there was something new in the room.	true	151.1	157.935	19
4222_187005_000006_000001	A bowl with a goldfish in it stood on the table, but Mr. Wicker was not to be seen. Now, however, Chris was not the boy he had been a few weeks before.	A bowl with a goldfish in it stood on the table, but mr Wicker was not to be seen. Now, however, Chris was not the boy he had been a few weeks before.	false	157.935	169.15	18.997728
4222_187005_000006_000002	He went straight to the bowl and addressed the fish.	He went straight to the bowl and addressed the fish.	true	169.49	172.42	20.559513
4222_187005_000007_000000	"Sir," he said to the goldfish, "I am here.	"Sir," he said to the goldfish, "I am here.	true	172.52	176.26	21.219343
4222_187005_000007_000001	What shall I do first?"	What shall I do first?"	true	176.48	178.18	20.674732
4222_187005_000008_000000	The goldfish might almost have been said to have changed its expression and smiled, before, brushing a drop of water from his sleeve, Mr. Wicker stood beside the table smiling.	The goldfish might almost have been said to have changed its expression and smiled, before, brushing a drop of water from his sleeve, mr Wicker stood beside the table smiling.	false	178.82	189.7	20
4222_187005_000009_000000	"How you have improved, my boy!" he exclaimed.	"How you have improved, my boy!" he exclaimed.	true	190.67	193.695	26.419647
4222_187005_000009_000001	"It is now time for you to try, and this is as good a change as any."	"It is now time for you to try, and this is as good a change as any."	true	193.695	198.19	22.588001
4222_187005_000010_000000	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.	true	198.98	207.885	21.51577
4222_187005_000011_000000	"Oh, sir!	"Oh, sir!	true	207.885	209.04	21
4222_187005_000011_000001	Do you really think I know how?" he cried, gazing up into the face of his master.	Do you really think I know how?" he cried, gazing up into the face of his master.	true	209.04	213.97	23.722584
4222_187005_000011_000002	"Suppose I change and can't change back?"	"Suppose I change and can't change back?"	true	214.04	216.76	21.888851
4222_187005_000012_000000	Mr. Wicker shook his head with a smile.	mr Wicker shook his head with a smile.	true	217.01	219.61	20.53937
4222_187005_000013_000000	"Never fear, Christopher.	"Never fear, Christopher.	true	219.89	221.47	25
4222_187005_000013_000001	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.	true	221.57	227.35	21.9383
4222_187005_000013_000002	If you get stuck I can help you.	If you get stuck I can help you.	true	227.6	230.02	23.2465
4222_187005_000013_000003	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.	true	230.12	235.96	23.391014
4222_187005_000013_000004	Remember Incantation Seventy-three, Book One."	Remember Incantation Seventy three, Book One."	true	236.06	239.65	23.229515
4222_187005_000014_000000	Chris stared at the fishbowl, empty now.	Chris stared at the fishbowl, empty now.	true	240.14	243.01	23.52006
4222_187005_000014_000001	He remembered Incantation 73, Book One, quite well, but his knees began to tremble and he stood as if paralyzed.	He remembered Incantation seventy three, Book One, quite well, but his knees began to tremble and he stood as if paralyzed.	true	243.17	250.75	14
4222_187005_000014_000002	Mr. Wicker waited patiently beside him for a few moments for Chris to get up his courage.	mr Wicker waited patiently beside him for a few moments for Chris to get up his courage.	false	250.91	256.09	13
4222_187005_000015_000000	Then as nothing happened, with a voice like a whip Mr. Wicker said: "Start at once!"	Then as nothing happened, with a voice like a whip mr Wicker said: "Start at once!"	true	256.37	262.51	20.12933
4222_187005_000016_000000	Chris was so startled at his usually gentle master's tone that without further thought or effort on his part, he began intoning to himself the words and sounds of Incantation 73, Book One.	Chris was so startled at his usually gentle master's tone that without further thought or effort on his part, he began intoning to himself the words and sounds of Incantation seventy three, Book One.	false	263	275.02	19
4222_187005_000016_000001	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.	true	275.48	284.2	21.348167
4222_187005_000016_000002	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.	true	284.63	292.9	20
4222_187005_000016_000003	The sensation spread, faster and faster.	The sensation spread, faster and faster.	true	293.45	296.56	17.804544
4222_187005_000016_000004	His head swam and he felt faint and a little sick, but he persisted through the final words.	His head swam and he felt faint and a little sick, but he persisted through the final words.	true	296.75	302.56	23.002275
4222_187005_000016_000005	Somewhere deep inside him there seemed a sudden lurch, and then a wonderfully cool, liquid sensation.	Somewhere deep inside him there seemed a sudden lurch, and then a wonderfully cool, liquid sensation.	true	302.9	310.66	19
4222_187005_000016_000006	He felt buoyant and rested and looked about, only to get a wavery, enlarged glimpse of Mr. Wicker, looking more like a reflection in a circus mirror than himself.	He felt buoyant and rested and looked about, only to get a wavery, enlarged glimpse of mr Wicker, looking more like a reflection in a circus mirror than himself.	false	310.91	322.68	24.575956
4222_187005_000016_000007	With a light twist of his body Chris floated over, to see that the room looked the same, and rolling back, could see that Mr. Wicker was peering in at him from above and smiling broadly.	With a light twist of his body Chris floated over, to see that the room looked the same, and rolling back, could see that mr Wicker was peering in at him from above and smiling broadly.	false	322.68	333.81	20
4222_187005_000017_000000	[Illustration]	[Illustration]	false	333.81	334.32	11
4222_187005_000018_000000	"Good Lord--I'm a fish!" Chris said, and he heard the words muffled as they came back to him through the water of his bowl.	"Good Lord-I'm a fish!" Chris said, and he heard the words muffled as they came back to him through the water of his bowl.	false	334.32	343	22.9266
4222_187005_000018_000001	Well, what do you know?	Well, what do you know?	true	343.52	344.91	15
4222_187005_000018_000002	he thought, not without a feeling of pride, and commenced experimenting with his tail and fins with such enthusiasm and delight that some little time elapsed before Mr. Wicker's voice boomed close by.	he thought, not without a feeling of pride, and commenced experimenting with his tail and fins with such enthusiasm and delight that some little time elapsed before mr Wicker's voice boomed close by.	true	344.91	358.03	17
4222_187005_000019_000000	"Better come back now.	"Better come back now.	true	358.67	360.16	20.838152
4222_187005_000019_000001	Take it slowly, son.	Take it slowly, son.	true	360.32	362.01	18.557537
4222_187005_000019_000002	Seventy-four, Book One: The Return."	Seventy four, Book One: The Return."	true	362.01	365.32	20.933287
4222_187005_000020_000000	The same strange sensations flooded Chris as he made the change back to his own shape, but when he stood once more on his own two feet on the carpet in Mr. Wicker's study, he was pleased and happy despite his weakness.	The same strange sensations flooded Chris as he made the change back to his own shape, but when he stood once more on his own two feet on the carpet in mr Wicker's study, he was pleased and happy despite his weakness.	false	366.05	380.35	16
4222_187005_000020_000001	Mr. Wicker took hold of his arm and helped him to a chair, and taking a small vial from the cupboard at the end of the room, he dropped a pellet into it and handed it to Chris.	mr Wicker took hold of his arm and helped him to a chair, and taking a small vial from the cupboard at the end of the room, he dropped a pellet into it and handed it to Chris.	false	380.87	390.94	20
4222_187005_000021_000000	"This will seem to smoke.	"This will seem to smoke.	true	391.34	393.135	21.042782
4222_187005_000021_000001	Sniff the smoke and drink the liquid that remains," he said.	Sniff the smoke and drink the liquid that remains," he said.	true	393.135	396.72	25.360594
4222_187005_000022_000000	[Illustration]	[Illustration]	false	396.72	397.23	-20
4222_187005_000023_000000	Chris did as he was told, and his momentary weakness vanished, leaving him quieted and as strong as usual.	Chris did as he was told, and his momentary weakness vanished, leaving him quieted and as strong as usual.	false	397.23	404.5	23.413328
4222_187005_000024_000000	"There now," Mr. Wicker said, rubbing his hands with immense satisfaction, "that was not so bad, was it?	"There now," mr Wicker said, rubbing his hands with immense satisfaction, "that was not so bad, was it?	true	405.05	411.37	19.808577
4222_187005_000024_000001	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.	true	411.56	424.69	24.642534
4222_187005_000024_000002	"You will do famously, my boy.	"You will do famously, my boy.	true	424.79	427.12	17.442152
4222_187005_000024_000003	In another moment, when you have rested, we shall try another one."	In another moment, when you have rested, we shall try another one."	true	427.34	431.08	18.697012
4222_187005_000025_000000	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and Mr. Wicker played together.	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and mr Wicker played together.	true	431.57	441.96	21.577833
4222_187005_000025_000001	They played this new and unique form of hide-and-seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.	They played this new and unique form of hide and seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.	true	441.96	451.87	22.265255
4222_187005_000025_000002	Soon Chris could turn himself into a limited number of things, for even Mr. Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.	Soon Chris could turn himself into a limited number of things, for even mr Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.	true	452.3	465.945	22.484524
4222_187005_000025_000003	The bluebottle fly or the goldfish became as easy as saying "Eureka!" and on one occasion Chris turned himself into the chair on which Mr. Wicker was sitting, and then walked across the room on his four wooden legs carrying Mr. Wicker, who laughed more heartily than he had in years at this display on the part of his student.	The bluebottle fly or the goldfish became as easy as saying "Eureka!" and on one occasion Chris turned himself into the chair on which mr Wicker was sitting, and then walked across the room on his four wooden legs carrying mr Wicker, who laughed more heartily than he had in years at this display on the part of his student.	false	465.945	484.84	18
4222_187005_000026_000000	One day Chris wandered alone into the dusty shop.	One day Chris wandered alone into the dusty shop.	true	484.88	488.25	13
4222_187005_000026_000001	The time had nearly come when he could walk about in early Georgetown and know that it would still be the Georgetown of the past, and not the one into which he had been born.	The time had nearly come when he could walk about in early Georgetown and know that it would still be the Georgetown of the past, and not the one into which he had been born.	false	488.25	497.41	14
4222_187005_000026_000002	This afternoon, a rainy one, he had tired of changing himself into and out of objects.	This afternoon, a rainy one, he had tired of changing himself into and out of objects.	true	497.99	504.94	22.695618
4222_187005_000026_000003	Mr. Wicker was busy, and Becky Boozer had gone off to market accompanied by Ned Cilley.	mr Wicker was busy, and Becky Boozer had gone off to market accompanied by Ned Cilley.	false	505.19	510.85	22
4222_187005_000026_000004	Chris felt somewhat forlorn and lonely, as any boy might, and kicked an old piece of wood ahead of him into the darkness of the shop.	Chris felt somewhat forlorn and lonely, as any boy might, and kicked an old piece of wood ahead of him into the darkness of the shop.	false	511.25	519.46	21.427858
4222_187005_000027_000000	Going up to the shop window, he stood with his hands thrust into his pockets staring glumly first out the window and then, idly, at the three objects he had once loved to contemplate, the _Mirabelle_ in her bottle, the coil of heavy rope, and the carved wooden figure of the Nubian boy.	Going up to the shop window, he stood with his hands thrust into his pockets staring glumly first out the window and then, idly, at the three objects he had once loved to contemplate, the underscore Mirabelle underscore in her bottle, the coil of heavy rope, and the carved wooden figure of the Nubian boy.	false	520.25	537.46	21.453617
4222_187005_000028_000000	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up-pointing toes.	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up pointing toes.	true	537.8	552.7	24.102442
4222_187005_000028_000001	Then all at once the idea came to Chris.	Then all at once the idea came to Chris.	true	552.92	556.005	24.87747
4222_187005_000028_000002	If he was to be a magician, could he make this boy come to life?	If he was to be a magician, could he make this boy come to life?	true	556.005	560.08	24.652264
4222_187005_000029_000000	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.	true	560.45	566.43	21
4222_187005_000029_000001	Grown people, however gay and kind, were never quite the same.	Grown people, however gay and kind, were never quite the same.	true	566.43	570.27	16
4222_187005_000029_000002	The more he thought of it, the more Chris knew it had to be attempted.	The more he thought of it, the more Chris knew it had to be attempted.	false	570.27	574.33	12
4222_187005_000029_000003	He squatted on his haunches, examining the carved wooden figure attentively, and felt convinced that, once alive, the boy would be an ideal and happy companion.	He squatted on his haunches, examining the carved wooden figure attentively, and felt convinced that, once alive, the boy would be an ideal and happy companion.	true	574.52	585.04	13
4222_187005_000030_000000	But how did one change inanimate to animate?	But how did one change inanimate to animate?	true	586.01	589.18	16
4222_187005_000030_000001	Chris got up and stole back to Mr. Wicker's door.	Chris got up and stole back to mr Wicker's door.	true	590.03	593.23	15
4222_187005_000030_000002	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.	true	593.36	609.435	22.471237
4222_187005_000031_000000	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi-precious stones in the form of signs and symbols.	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi precious stones in the form of signs and symbols.	true	609.435	620.19	24.115486
4222_187005_000031_000001	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.	true	620.19	628.06	23.549116
4222_187005_000032_000000	The afternoon, rainy before, increased in storm.	The afternoon, rainy before, increased in storm.	true	628.34	632.25	22
4222_187005_000032_000001	Dusk came two hours before its time; thunder snarled in the sky.	Dusk came two hours before its time; thunder snarled in the sky.	true	632.25	638.02	20.274387
4222_187005_000033_000000	At last Chris found it.	At last Chris found it.	false	638.03	639.69	22.326536
4222_187005_000033_000001	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.	true	639.69	646.78	21.823189
4222_187005_000033_000002	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.	true	647.12	652.87	21.903358
4222_187005_000033_000003	Looking about, he found the ingredients that had been listed, and in an empty vial poured first two drops of this, and then seventeen of that, and ran to heat it at the fire.	Looking about, he found the ingredients that had been listed, and in an empty vial poured first two drops of this, and then seventeen of that, and ran to heat it at the fire.	false	653.39	664.27	20
4222_187005_000034_000000	Mr. Wicker began moving about upstairs; the floorboards creaked, and still Chris could not leave until the potion fumed and glowed.	mr Wicker began moving about upstairs; the floorboards creaked, and still Chris could not leave until the potion fumed and glowed.	false	664.79	673.21	18
4222_187005_000035_000000	After what seemed an endless time, amid a growing grind of thunder and in the almost darkened room, the phial in Chris's hand gave off an arching rosy glow.	After what seemed an endless time, amid a growing grind of thunder and in the almost darkened room, the phial in Chris's hand gave off an arching rosy glow.	false	673.7	684.435	14
4222_187005_000035_000001	Chris, his cheeks hot from excitement and the fire, tiptoed out just as Mr. Wicker's step creaked on the topmost tread of the spiral stair.	Chris, his cheeks hot from excitement and the fire, tiptoed out just as mr Wicker's step creaked on the topmost tread of the spiral stair.	true	684.435	692.89	25.03901
4222_187005_000035_000002	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.	true	693.32	700.96	22.781717
4222_187005_000036_000000	The words came out, interrupted by peals and cracks of thunder.	The words came out, interrupted by peals and cracks of thunder.	true	701.42	705.03	23
4222_187005_000036_000001	The shop was black except for the paler crescent of the bow window giving onto the street.	The shop was black except for the paler crescent of the bow window giving onto the street.	true	705.03	710.38	20
4222_187005_000036_000002	With a crash of thunder all but drowning out his words, the boy shouted in the emptiness of the shop as he poured the rosy liquid on the figure made of wood.	With a crash of thunder all but drowning out his words, the boy shouted in the emptiness of the shop as he poured the rosy liquid on the figure made of wood.	true	710.57	719.205	11
4222_187005_000037_000000	And then, appalled at his audacity, Chris dropped the phial which splintered on the floor.	And then, appalled at his audacity, Chris dropped the phial which splintered on the floor.	true	719.205	724.68	19
4222_187005_000037_000001	Watching there in the darkness, he shook so with nerves that he had to kneel.	Watching there in the darkness, he shook so with nerves that he had to kneel.	true	724.68	728.68	17
4222_187005_000038_000000	For in the blackness lit only by the lightning and its own eerie glow, the wood was changing as he watched.	For in the blackness lit only by the lightning and its own eerie glow, the wood was changing as he watched.	true	728.87	735.525	20
4222_187005_000039_000000	It was as if the stiffness melted.	It was as if the stiffness melted.	true	735.525	738.3	23.710165
4222_187005_000039_000001	Under his eyes the wooden folds of cloth became rich silk, embroidery gleamed in its reality upon the coat, and oh! the face!	Under his eyes the wooden folds of cloth became rich silk, embroidery gleamed in its reality upon the coat, and oh! the face!	true	738.3	746.55	22.028276
4222_187005_000039_000002	The wooden grin loosened, the large eyes turned, the hand holding the hard bouquet of carved flowers moved, and let the bouquet fall.	The wooden grin loosened, the large eyes turned, the hand holding the hard bouquet of carved flowers moved, and let the bouquet fall.	true	746.55	756.04	22.043388
4222_187005_000039_000003	The feet of the boy twitched and shifted in their pointed shoes.	The feet of the boy twitched and shifted in their pointed shoes.	true	756.2	759.99	25.283491
4222_187005_000040_000000	[Illustration]	[Illustration]	false	759.99	760.38	-20
4222_187005_000041_000000	Aghast, Chris remained frozen as the boy moved slowly, and a final _Boom!_ of thunder seemed to split the sky apart.	Aghast, Chris remained frozen as the boy moved slowly, and a final underscore Boom!underscore of thunder seemed to split the sky apart.	false	760.38	769.3	21.541529
4222_187005_000041_000001	Outside, the rain poured down as if over some skyward dam.	Outside, the rain poured down as if over some skyward dam.	true	769.58	773.71	21
4222_187005_000042_000000	The boy looked down at Chris with a radiant smile and put out his hand.	The boy looked down at Chris with a radiant smile and put out his hand.	true	774.17	778.21	16
4222_187005_000043_000000	"I'll help you up," he said to the kneeling boy in front of him.	"I'll help you up," he said to the kneeling boy in front of him.	true	778.79	782.17	13
4222_187005_000043_000001	"I am Amos."	"I am amos."	true	782.27	783.58	14
4222_187005_000044_000000	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and Mr. Wicker waited.	And as they turned, the light and the dark hands holding firm, the firelight was streaming from the distant door and mr Wicker waited.	true	784.1	792.84	21
4222_187005_000045_000000	CHAPTER 11	CHAPTER eleven	false	792.84	793.11	-3
4222_187005_000046_000000	From that time on Chris and Amos were inseparable, with the exception of those times when Chris studied alone with Mr. Wicker.	From that time on Chris and amos were inseparable, with the exception of those times when Chris studied alone with mr Wicker.	false	793.11	794.67	13.327588
4222_187005_000046_000001	Amos, during these hours, soon endeared himself to Becky Boozer, to whom he became invaluable, for he took over those chores Chris had undertaken as his share.	amos, during these hours, soon endeared himself to Becky Boozer, to whom he became invaluable, for he took over those chores Chris had undertaken as his share.	false	794.67	795.03	23
4222_187005_000046_000002	These consisted of carrying water, peeling potatoes, or watching the roasting meat in case it should burn.	These consisted of carrying water, peeling potatoes, or watching the roasting meat in case it should burn.	false	795.03	795.24	13
4222_187005_000046_000003	For Chris had less and less time for such jobs, and Amos's laughter and willing happy nature soon made Becky spoil him as much as she did Chris.	For Chris had less and less time for such jobs, and Amos's laughter and willing happy nature soon made Becky spoil him as much as she did Chris.	false	795.24	795.6	16
