2960_155151_000000_000000	[45] No. 574.	[forty five] no five hundred seventy four.	false	5.94	11.88	21.155968
2960_155151_000011_000002	To his friends this reformation was as pleasing as it was unexpected; and Borri gave obscure hints that it had been brought about by some miraculous manifestation of a superior power.	To his friends this reformation was as pleasing as it was unexpected; and Borri gave obscure hints that it had been brought about by some miraculous manifestation of a superior power.	true	702.95	718.45	24.787073
2960_155151_000011_000003	He pretended that he held converse with beneficent spirits; that the secrets of God and nature were revealed to him; and that he had obtained possession of the philosopher's stone.	He pretended that he held converse with beneficent spirits; that the secrets of God and nature were revealed to him; and that he had obtained possession of the philosopher's stone.	true	718.64	733.48	22.305641
2960_155151_000011_000004	Like his predecessor, Jacob Boehmen, he mixed up religious questions with his philosophical jargon, and took measures for declaring himself the founder of a new sect.	Like his predecessor, Jacob Boehmen, he mixed up religious questions with his philosophical jargon, and took measures for declaring himself the founder of a new sect.	true	733.94	746.01	25.200878
2960_155151_000011_000005	This, at Rome itself, and in the very palace of the pope, was a hazardous proceeding; and Borri just awoke to a sense of it in time to save himself from the dungeons of the Castle of St. Angelo.	This, at Rome itself, and in the very palace of the pope, was a hazardous proceeding; and Borri just awoke to a sense of it in time to save himself from the dungeons of the Castle of st Angelo.	false	746.01	761.11	23.50753
2960_155151_000011_000006	He fled to Innsprueck, where he remained about a year, and then returned to his native city of Milan.	He fled to Innsprueck, where he remained about a year, and then returned to his native city of Milan.	false	761.24	768.51	20.522
2960_155151_000012_000000	[Illustration: INNSPRUCK.]	[Illustration: i n n s p r u c k.]	false	768.51	768.6	-20
2960_155151_000013_000000	The reputation of his great sanctity had gone before him; and he found many persons ready to attach themselves to his fortunes.	The reputation of his great sanctity had gone before him; and he found many persons ready to attach themselves to his fortunes.	true	768.6	777.345	25.850134
2960_155151_000013_000001	All who were desirous of entering into the new communion took an oath of poverty, and relinquished their possessions for the general good of the fraternity. Borri told them that he had received from the archangel Michael a heavenly sword, upon the hilt of which were engraven the names of the seven celestial intelligences.	All who were desirous of entering into the new communion took an oath of poverty, and relinquished their possessions for the general good of the fraternity. Borri told them that he had received from the archangel Michael a heavenly sword, upon the hilt of which were engraven the names of the seven celestial intelligences.	false	777.345	798.91	22.693296
2960_155151_000013_000002	"Whoever shall refuse," said he, "to enter into my new sheepfold shall be destroyed by the papal armies, of whom God has predestined me to be the chief.	"Whoever shall refuse," said he, "to enter into my new sheepfold shall be destroyed by the papal armies, of whom God has predestined me to be the chief.	true	799.79	812.37	23.26133
2960_155151_000013_000003	To those who follow me all joy shall be granted.	To those who follow me all joy shall be granted.	true	812.37	815.955	21.758049
2960_155151_000013_000004	I shall soon bring my chemical studies to a happy conclusion, by the discovery of the philosopher's stone, and by this means we shall all have as much gold as we desire.	I shall soon bring my chemical studies to a happy conclusion, by the discovery of the philosopher's stone, and by this means we shall all have as much gold as we desire.	true	815.955	827.43	22.161646
2960_155151_000013_000005	I am assured of the aid of the angelic hosts, and more especially of the archangel Michael's.	I am assured of the aid of the angelic hosts, and more especially of the archangel Michael's.	true	827.43	834.81	25.37067
2960_155151_000013_000006	When I began to walk in the way of the spirit, I had a vision of the night, and was assured by an angelic voice that I should become a prophet.	When I began to walk in the way of the spirit, I had a vision of the night, and was assured by an angelic voice that I should become a prophet.	false	834.81	844.69	23.262112
2960_155151_000013_000007	In sign of it I saw a palm-tree, surrounded with all the glory of paradise.	In sign of it I saw a palm tree, surrounded with all the glory of paradise.	true	844.82	850.96	26.15663
2960_155151_000013_000008	The angels come to me whenever I call, and reveal to me all the secrets of the universe.	The angels come to me whenever I call, and reveal to me all the secrets of the universe.	true	851.12	857.95	23.56177
2960_155151_000013_000009	The sylphs and elementary spirits obey me, and fly to the uttermost ends of the world to serve me, and those whom I delight to honour." By force of continually repeating such stories as these, Borri soon found himself at the head of a very considerable number of adherents. As he figures in these pages as an alchymist, and not as a religious sectarian, it will be unnecessary to repeat the doctrines which he taught with regard to some of the dogmas of the Church of Rome, and which exposed him to the fierce resentment of the papal authority.	The sylphs and elementary spirits obey me, and fly to the uttermost ends of the world to serve me, and those whom I delight to honour." By force of continually repeating such stories as these, Borri soon found himself at the head of a very considerable number of adherents. As he figures in these pages as an alchymist, and not as a religious sectarian, it will be unnecessary to repeat the doctrines which he taught with regard to some of the dogmas of the Church of Rome, and which exposed him to the fierce resentment of the papal authority.	false	857.99	894.885	22.946653
2960_155151_000013_000010	They were to the full as ridiculous as his philosophical pretensions.	They were to the full as ridiculous as his philosophical pretensions.	true	894.885	901.24	25.358614
2960_155151_000013_000011	As the number of his followers increased, he appears to have cherished the idea of becoming one day a new Mahomet, and of founding, in his native city of Milan, a monarchy and religion of which he should be the king and the prophet.	As the number of his followers increased, he appears to have cherished the idea of becoming one day a new Mahomet, and of founding, in his native city of Milan, a monarchy and religion of which he should be the king and the prophet.	true	901.49	922.03	22.370157
2960_155151_000013_000012	He had taken measures, in the year 1658, for seizing the guards at all the gates of that city, and formally declaring himself the monarch of the Milanese.	He had taken measures, in the year sixteen fifty eight, for seizing the guards at all the gates of that city, and formally declaring himself the monarch of the Milanese.	false	922.07	935.29	23.715988
2960_155151_000013_000013	Just as he thought the plan ripe for execution, it was discovered.	Just as he thought the plan ripe for execution, it was discovered.	false	935.72	940.81	25.354454
2960_155151_000013_000014	Twenty of his followers were arrested, and he himself managed, with the utmost difficulty, to escape to the neutral territory of Switzerland, where the papal displeasure could not reach him.	Twenty of his followers were arrested, and he himself managed, with the utmost difficulty, to escape to the neutral territory of Switzerland, where the papal displeasure could not reach him.	false	940.88	954.6	25.0053
2960_155151_000014_000000	The trial of his followers commenced forthwith, and the whole of them were sentenced to various terms of imprisonment.	The trial of his followers commenced forthwith, and the whole of them were sentenced to various terms of imprisonment.	false	954.6	962.41	22.050274
2960_155151_000014_000001	Borri's trial proceeded in his absence, and lasted for upwards of two years.	Borri's trial proceeded in his absence, and lasted for upwards of two years.	true	962.42	968.715	24.260494
2960_155151_000014_000002	He was condemned to death as a heretic and sorcerer in 1661, and was burned in effigy in Rome by the common hangman.	He was condemned to death as a heretic and sorcerer in sixteen sixty one, and was burned in effigy in Rome by the common hangman.	false	968.715	979.08	23.56628
2960_155151_000015_000000	Borri, in the mean time, lived quietly in Switzerland, indulging himself in railing at the Inquisition and its proceedings.	Borri, in the mean time, lived quietly in Switzerland, indulging himself in railing at the Inquisition and its proceedings.	false	979.08	988.69	22.226168
2960_155151_000015_000001	He afterwards went to Strasbourg, intending to fix his residence in that town.	He afterwards went to Strasbourg, intending to fix his residence in that town.	true	988.76	994.39	26.33646
2960_155151_000015_000002	He was received with great cordiality, as a man persecuted for his religious opinions, and withal a great alchymist.	He was received with great cordiality, as a man persecuted for his religious opinions, and withal a great alchymist.	true	995.06	1004.02	25.344046
2960_155151_000015_000003	He found that sphere too narrow for his aspiring genius, and retired in the same year to the more wealthy city of Amsterdam.	He found that sphere too narrow for his aspiring genius, and retired in the same year to the more wealthy city of Amsterdam.	true	1004.18	1014.25	21.909386
2960_155151_000015_000004	He there hired a magnificent house, established an equipage which eclipsed in brilliancy those of the richest merchants, and assumed the title of Excellency.	He there hired a magnificent house, established an equipage which eclipsed in brilliancy those of the richest merchants, and assumed the title of Excellency.	false	1014.25	1027.72	25.312492
2960_155151_000015_000005	Where he got the money to live in this expensive style was long a secret: the adepts in alchymy easily explained it, after their fashion.	Where he got the money to live in this expensive style was long a secret: the adepts in alchymy easily explained it, after their fashion.	false	1028.72	1038.37	24.155846
2960_155151_000015_000006	Sensible people were of opinion that he had come by it in a less wonderful manner; for it was remembered that among his unfortunate disciples in Milan, there were many rich men, who, in conformity with one of the fundamental rules of the sect, had given up all their earthly wealth into the hands of their founder.	Sensible people were of opinion that he had come by it in a less wonderful manner; for it was remembered that among his unfortunate disciples in Milan, there were many rich men, who, in conformity with one of the fundamental rules of the sect, had given up all their earthly wealth into the hands of their founder.	false	1038.44	1062.3	23.010685
2960_155151_000015_000007	In whatever manner the money was obtained, Borri spent it in Holland with an unsparing hand, and was looked up to by the people with no little respect and veneration.	In whatever manner the money was obtained, Borri spent it in Holland with an unsparing hand, and was looked up to by the people with no little respect and veneration.	false	1062.3	1073.53	24.110388
2960_155151_000015_000008	He performed several able cures, and increased his reputation so much that he was vaunted as a prodigy.	He performed several able cures, and increased his reputation so much that he was vaunted as a prodigy.	true	1073.57	1081.78	23
2960_155151_000015_000009	He continued diligently the operations of alchymy, and was in daily expectation that he should succeed in turning the inferior metals into gold.	He continued diligently the operations of alchymy, and was in daily expectation that he should succeed in turning the inferior metals into gold.	false	1081.91	1093.18	23.905474
2960_155151_000015_000010	This hope never abandoned him, even in the worst extremity of his fortunes; and in his prosperity it led him into the most foolish expenses: but he could not long continue to live so magnificently upon the funds he had brought from Italy; and the philosopher's stone, though it promised all for the wants of the morrow, never brought any thing for the necessities of to-day.	This hope never abandoned him, even in the worst extremity of his fortunes; and in his prosperity it led him into the most foolish expenses: but he could not long continue to live so magnificently upon the funds he had brought from Italy; and the philosopher's stone, though it promised all for the wants of the morrow, never brought any thing for the necessities of to day.	true	1093.18	1122.86	23.664719
2960_155151_000015_000011	He was obliged in a few months to retrench, by giving up his large house, his gilded coach and valuable blood-horses, his liveried domestics, and his luxurious entertainments.	He was obliged in a few months to retrench, by giving up his large house, his gilded coach and valuable blood horses, his liveried domestics, and his luxurious entertainments.	false	1122.86	1138.63	24.43468
2960_155151_000015_000012	With this diminution of splendour came a diminution of renown.	With this diminution of splendour came a diminution of renown.	true	1139.03	1144	23.383759
2960_155151_000015_000013	His cures did not appear so miraculous, when he went out on foot to perform them, as they had seemed when "his Excellency" had driven to a poor man's door in his carriage with six horses.	His cures did not appear so miraculous, when he went out on foot to perform them, as they had seemed when "his Excellency" had driven to a poor man's door in his carriage with six horses.	false	1144.13	1161.37	23.716093
2960_155151_000015_000014	He sank from a prodigy into an ordinary man.	He sank from a prodigy into an ordinary man.	true	1161.65	1165.82	19.0714
2960_155151_000015_000015	His great friends shewed him the cold shoulder, and his humble flatterers carried their incense to some other shrine.	His great friends shewed him the cold shoulder, and his humble flatterers carried their incense to some other shrine.	false	1165.82	1174.06	21.629242
2960_155151_000015_000016	Borri now thought it high time to change his quarters.	Borri now thought it high time to change his quarters.	true	1174.43	1178.01	26.581749
2960_155151_000015_000017	With this view he borrowed money wherever he could get it, and succeeded in obtaining two hundred thousand florins from a merchant named De Meer, to aid, as he said, in discovering the water of life.	With this view he borrowed money wherever he could get it, and succeeded in obtaining two hundred thousand florins from a merchant named De Meer, to aid, as he said, in discovering the water of life.	true	1178.01	1193.76	22.83352
2960_155151_000015_000018	He also obtained six diamonds of great value, on pretence that he could remove the flaws from them without diminishing their weight.	He also obtained six diamonds of great value, on pretence that he could remove the flaws from them without diminishing their weight.	true	1193.76	1203.79	23.46203
2960_155151_000015_000019	With this booty he stole away secretly by night, and proceeded to Hamburgh.	With this booty he stole away secretly by night, and proceeded to Hamburgh.	true	1203.95	1209.26	24.71063
2960_155151_000016_000000	On his arrival in that city, he found the celebrated Christina, the ex-queen of Sweden.	On his arrival in that city, he found the celebrated Christina, the ex queen of Sweden.	true	1209.26	1215.86	22.686422
2960_155151_000016_000001	He procured an introduction to her, and requested her patronage in his endeavour to discover the philosopher's stone.	He procured an introduction to her, and requested her patronage in his endeavour to discover the philosopher's stone.	true	1215.86	1223.85	24.73975
2960_155151_000016_000002	She gave him some encouragement; but Borri, fearing that the merchants of Amsterdam, who had connexions in Hamburgh, might expose his delinquencies if he remained in the latter city, passed over to Copenhagen, and sought the protection of Frederick III., the king of Denmark.	She gave him some encouragement; but Borri, fearing that the merchants of Amsterdam, who had connexions in Hamburgh, might expose his delinquencies if he remained in the latter city, passed over to Copenhagen, and sought the protection of Frederick the third., the king of Denmark.	false	1223.85	1243.07	22.99384
2960_155151_000017_000000	This prince was a firm believer in the transmutation of metals.	This prince was a firm believer in the transmutation of metals.	true	1243.07	1246.9	22.589855
2960_155151_000017_000001	Being in want of money, he readily listened to the plans of an adventurer who had both eloquence and ability to recommend him.	Being in want of money, he readily listened to the plans of an adventurer who had both eloquence and ability to recommend him.	false	1246.9	1255.1	22
2960_155151_000017_000002	He provided Borri with the means to make experiments, and took a great interest in the progress of his operations.	He provided Borri with the means to make experiments, and took a great interest in the progress of his operations.	false	1255.1	1263.25	21.40459
2960_155151_000017_000003	He expected every month to possess riches that would buy Peru; and, when he was disappointed, accepted patiently the excuses of Borri, who, upon every failure, was always ready with some plausible explanation.	He expected every month to possess riches that would buy Peru; and, when he was disappointed, accepted patiently the excuses of Borri, who, upon every failure, was always ready with some plausible explanation.	false	1263.38	1279.68	25.729128
2960_155151_000017_000004	He became in time much attached to him; and defended him from the jealous attacks of his courtiers, and the indignation of those who were grieved to see their monarch the easy dupe of a charlatan.	He became in time much attached to him; and defended him from the jealous attacks of his courtiers, and the indignation of those who were grieved to see their monarch the easy dupe of a charlatan.	true	1279.68	1292.17	24
2960_155151_000017_000005	Borri endeavoured, by every means in his power, to find aliment for this good opinion.	Borri endeavoured, by every means in his power, to find aliment for this good opinion.	false	1292.21	1299.39	22.918749
2960_155151_000017_000006	His knowledge of medicine was useful to him in this respect, and often stood between him and disgrace.	His knowledge of medicine was useful to him in this respect, and often stood between him and disgrace.	false	1299.39	1306.62	25.015198
