2960_155151_000001_000000	JACOB BOeHMEN.	JACOB BOeHMEN.
2960_155151_000018_000018	It may well be supposed that Borri benefited most by this acquaintance, and that Christina got nothing but experience.	It may well be supposed that Borri benefited most by this acquaintance, and that Christina got nothing but experience.
2960_155151_000022_000000	Besides the pretenders to the philosopher's stone whose lives have been already narrated, this and the preceding century produced a great number of writers, who inundated literature with their books upon the subject.	Besides the pretenders to the philosopher's stone whose lives have been already narrated, this and the preceding century produced a great number of writers, who inundated literature with their books upon the subject.
2960_155151_000022_000004	He says, that, sitting one day in his study, a man, who was dressed as a respectable burgher of North Holland, and very modest and simple in his appearance, called upon him, with the intention of dispelling his doubts relative to the philosopher's stone.	He says, that, sitting one day in his study, a man, who was dressed as a respectable burgher of North Holland, and very modest and simple in his appearance, called upon him, with the intention of dispelling his doubts relative to the philosopher's stone.
2960_155151_000022_000010	After his departure, Helvetius procured a crucible and a portion of lead, into which, when in a state of fusion, he threw the stolen grain from the philosopher's stone.	After his departure, Helvetius procured a crucible and a portion of lead, into which, when in a state of fusion, he threw the stolen grain from the philosopher's stone.
2960_155151_000022_000011	He was disappointed to find that the grain evaporated altogether, leaving the lead in its original state.	He was disappointed to find that the grain evaporated altogether, leaving the lead in its original state.
2960_155151_000023_000000	Some weeks afterwards, when he had almost forgotten the subject, he received another visit from the stranger.	Some weeks afterwards, when he had almost forgotten the subject, he received another visit from the stranger.
2960_155151_000023_000003	They tried the experiment, and succeeded to their heart's content.	They tried the experiment, and succeeded to their heart's content.
2960_155151_000023_000004	Helvetius repeated the experiment alone, and converted six ounces of lead into very pure gold.	Helvetius repeated the experiment alone, and converted six ounces of lead into very pure gold.
2960_155151_000026_000002	All the alchymists were in arms immediately, to refute this formidable antagonist.	All the alchymists were in arms immediately, to refute this formidable antagonist.
2960_155151_000027_000000	It was also pretended that Gustavus Adolphus transmuted a quantity of quicksilver into pure gold.	It was also pretended that Gustavus Adolphus transmuted a quantity of quicksilver into pure gold.
2960_155151_000027_000001	The learned Borrichius relates, that he saw coins which had been struck of this gold; and Lenglet du Fresnoy deposes to the same circumstance.	The learned Borrichius relates, that he saw coins which had been struck of this gold; and Lenglet du Fresnoy deposes to the same circumstance.
2960_155151_000029_000002	He pretended to find the elixir of life, and Louis expected by his means to have enjoyed the crown for a century.	He pretended to find the elixir of life, and Louis expected by his means to have enjoyed the crown for a century.
2960_155151_000029_000003	Van Helmont also pretended to have once performed with success the process of transmuting quicksilver, and was in consequence invited by the Emperor Rudolph II. to fix his residence at the court of Vienna.	Van Helmont also pretended to have once performed with success the process of transmuting quicksilver, and was in consequence invited by the Emperor Rudolph the second. to fix his residence at the court of Vienna.
2960_155151_000030_000002	The trick to which they oftenest had recourse was to use a double-bottomed crucible, the under surface being of iron or copper, and the upper one of wax, painted to resemble the same metal.	The trick to which they oftenest had recourse was to use a double bottomed crucible, the under surface being of iron or copper, and the upper one of wax, painted to resemble the same metal.
2960_155151_000030_000003	Between the two they placed as much gold or silver dust as was necessary for their purpose.	Between the two they placed as much gold or silver dust as was necessary for their purpose.
2960_155151_000030_000004	They then put in their lead, quicksilver, or other ingredients, and placed their pot upon the fire.	They then put in their lead, quicksilver, or other ingredients, and placed their pot upon the fire.
2960_155151_000030_000006	The same result was produced in many other ways.	The same result was produced in many other ways.
2960_155151_000030_000007	Some of them used a hollow wand, filled with gold or silver dust, and stopped at the ends with wax or butter.	Some of them used a hollow wand, filled with gold or silver dust, and stopped at the ends with wax or butter.
2960_155151_000031_000002	M. Geoffroy produced several of these nails to the Academy of Sciences, and shewed how nicely the two parts were soldered together.	M. Geoffroy produced several of these nails to the Academy of Sciences, and shewed how nicely the two parts were soldered together.
2960_155151_000031_000004	A nail of this description was, for a long time, in the cabinet of the Grand Duke of Tuscany.	A nail of this description was, for a long time, in the cabinet of the Grand Duke of Tuscany.
2960_155151_000031_000006	Nothing at one time was more common than to see coins, half gold and half silver, which had been operated upon by alchymists, for the same purposes of trickery.	Nothing at one time was more common than to see coins, half gold and half silver, which had been operated upon by alchymists, for the same purposes of trickery.
