922_132291_000000_000000	He glanced down at the coins in his hand.	He glanced down at the coins in his hand.	false	0	2.73	26.334618
922_132291_000031_000000	Baxter had been Feldman's closest friend in the Lobby.	Baxter had been Feldman's closest friend in the Lobby.	true	554.87	558.25	24.538002
922_132291_000031_000001	He'd come along to handle press relations and had gotten romantic about the countryside, never having been out of a city before.	He'd come along to handle press relations and had gotten romantic about the countryside, never having been out of a city before.	true	558.62	566.08	26.014374
922_132291_000031_000002	He hired a guide and went hunting, eighty miles beyond the last outpost of civilization.	He hired a guide and went hunting, eighty miles beyond the last outpost of civilization.	true	566.45	572.41	23.694124
922_132291_000031_000003	Somehow, he got his hand on a gun, though only guides were supposed to touch them, managed to overcome its safety devices, and then pulled the trigger with the gun pointed the wrong way.	Somehow, he got his hand on a gun, though only guides were supposed to touch them, managed to overcome its safety devices, and then pulled the trigger with the gun pointed the wrong way.	true	572.63	583.93	23.02138
922_132291_000032_000000	Chris, Feldman and Harnett from Public Relations had accompanied him on the trip.	Chris, Feldman and Harnett from Public Relations had accompanied him on the trip.	true	584.72	589.69	24.597834
922_132291_000032_000001	They were sitting in a nearby car while Feldman enjoyed the scenery, Chris made further plans, and Harnett gathered material.	They were sitting in a nearby car while Feldman enjoyed the scenery, Chris made further plans, and Harnett gathered material.	true	589.94	597.13	22.419312
922_132291_000032_000002	There was also a photographer and writer, but they hadn't been introduced by name.	There was also a photographer and writer, but they hadn't been introduced by name.	true	597.5	602.2	22.505411
922_132291_000033_000000	Feldman reached Baxter first.	Feldman reached Baxter first.	true	603.14	605.32	28.301647
922_132291_000033_000001	The man was moaning and scared, and he was bleeding profusely.	The man was moaning and scared, and he was bleeding profusely.	true	605.57	609.22	29.227299
922_132291_000033_000002	Only a miracle had saved him from instant death.	Only a miracle had saved him from instant death.	true	609.32	612.28	28.967438
922_132291_000033_000003	The bullet had struck a rib, been deflected and robbed of some of its energy, and had barely reached the heart.	The bullet had struck a rib, been deflected and robbed of some of its energy, and had barely reached the heart.	true	612.35	619.15	26.377625
922_132291_000033_000004	But it had pierced the pericardium, as best Feldman could guess, and it could be fatal at any moment.	But it had pierced the pericardium, as best Feldman could guess, and it could be fatal at any moment.	true	619.67	625.78	25.593737
922_132291_000034_000000	He'd reached for a probe without thinking.	He'd reached for a probe without thinking.	true	626.51	628.96	24.043287
922_132291_000034_000001	Chris knocked his hand aside.	Chris knocked his hand aside.	true	629.15	630.91	28.191614
922_132291_000035_000000	She was right, of course.	She was right, of course.	true	631.19	632.44	29.523378
922_132291_000035_000001	He couldn't operate outside a hospital.	He couldn't operate outside a hospital.	true	632.51	635.05	26.881832
922_132291_000035_000002	But they had no phone in the lodge where the guide lived and no way to summon an ambulance.	But they had no phone in the lodge where the guide lived and no way to summon an ambulance.	true	635.42	640.27	23.159708
922_132291_000035_000003	They'd have to drive Baxter back in the car, which would almost certainly result in his death.	They'd have to drive Baxter back in the car, which would almost certainly result in his death.	true	640.58	646.03	29.428965
922_132291_000036_000000	When Feldman seemed uncertain, Harnett had given his warning in a low but vehement voice.	When Feldman seemed uncertain, Harnett had given his warning in a low but vehement voice.	true	646.52	652.33	20.11555
922_132291_000036_000001	"You touch him, Dan, and I'll spread it in every one of our media.	"You touch him, Dan, and I'll spread it in every one of our media.	true	652.76	656.98	24.368153
922_132291_000036_000002	I'll have to.	I'll have to.	true	657.14	658.08	30.318197
922_132291_000036_000003	It's the only way to retain public confidence.	It's the only way to retain public confidence.	false	658.08	660.94	29.072428
922_132291_000036_000004	There'd be a leak, with all the guides and others here, and we can't afford that.	There'd be a leak, with all the guides and others here, and we can't afford that.	true	661.13	665.71	22.353601
922_132291_000036_000005	I like you--you have color.	I like you-you have color.	true	666.11	667.96	29.121748
922_132291_000036_000006	But touch that wound and I'll crucify you."	But touch that wound and I'll crucify you."	true	668.3	671.74	27.550373
922_132291_000037_000000	Chris added her own threats.	Chris added her own threats.	true	672.5	674.47	28.532131
922_132291_000037_000001	She'd spent years making him the outlet for all her ambitions, denied because women were still only second-rate members of Medical Lobby.	She'd spent years making him the outlet for all her ambitions, denied because women were still only second rate members of Medical Lobby.	true	674.96	682.78	23.421106
922_132291_000037_000002	She couldn't let it go now.	She couldn't let it go now.	true	683.12	685.06	33.445972
922_132291_000037_000003	And she was probably genuinely shocked.	And she was probably genuinely shocked.	true	685.82	688.36	23.791
922_132291_000038_000000	Baxter groaned again and started to bleed more profusely.	Baxter groaned again and started to bleed more profusely.	true	688.85	692.8	24.628662
922_132291_000039_000000	There wasn't much equipment.	There wasn't much equipment.	true	694.04	695.71	29.552956
922_132291_000039_000001	Feldman operated with a pocketknife sterilized in a bottle of expensive Scotch and only anodyne tablets in place of anesthesia.	Feldman operated with a pocketknife sterilized in a bottle of expensive Scotch and only anodyne tablets in place of anesthesia.	true	696.05	704.02	28.583258
922_132291_000039_000002	He got the bullet out and sewed up the wound with a bit of surgical thread he'd been using to tie up a torn good-luck emblem.	He got the bullet out and sewed up the wound with a bit of surgical thread he'd been using to tie up a torn good luck emblem.	true	704.42	711.18	26.393412
922_132291_000039_000003	The photographer and writer recorded the whole thing.	The photographer and writer recorded the whole thing.	false	711.18	714.97	24.6628
922_132291_000039_000004	Chris swore harshly and beat her fists against the bole of a tree.	Chris swore harshly and beat her fists against the bole of a tree.	true	715.76	720.52	23.738916
922_132291_000039_000005	But Baxter lived.	But Baxter lived.	true	721.01	722.5	25.18848
922_132291_000039_000006	He recovered completely, and was shocked at the heinous thing that had been done to him.	He recovered completely, and was shocked at the heinous thing that had been done to him.	false	722.69	733.77	26.359669
