922_132291_000004_000000	Lobby	Lobby
922_132291_000022_000000	By the time the world recovered, America ran it and the Medical Lobby was untouchable.	By the time the world recovered, America ran it and the Medical Lobby was untouchable.
922_132291_000022_000001	Ryan made a deal with Space Lobby, and the two effectively ran the world.	Ryan made a deal with Space Lobby, and the two effectively ran the world.
922_132291_000022_000002	None of the smaller lobbies could buck them, and neither could the government.	None of the smaller lobbies could buck them, and neither could the government.
922_132291_000023_000000	There was still a president and a congress, as there had been a Senate under the Roman Caesars.	There was still a president and a congress, as there had been a Senate under the Roman Caesars.
922_132291_000023_000002	The real government had become a kind of oligarchy, as it always did after too much false democracy ruined the ideals of real and practical self-rule.	The real government had become a kind of oligarchy, as it always did after too much false democracy ruined the ideals of real and practical self rule.
922_132291_000023_000003	A man belonged to his Lobby, just as a serf had belonged to his feudal landlord.	A man belonged to his Lobby, just as a serf had belonged to his feudal landlord.
922_132291_000024_000000	It was a safe world now.	It was a safe world now.
922_132291_000024_000001	Maybe progress had been halted at about the level of 1980, but so long as the citizens didn't break the rules of their lobbies, they had very little to worry about.	Maybe progress had been halted at about the level of nineteen eighty, but so long as the citizens didn't break the rules of their lobbies, they had very little to worry about.
922_132291_000024_000002	For that, for security and the right not to think, most people were willing to leave well enough alone.	For that, for security and the right not to think, most people were willing to leave well enough alone.
922_132291_000025_000000	Some rules seemed harsh, of course, such as the law that all operations had to be performed in Lobby hospitals.	Some rules seemed harsh, of course, such as the law that all operations had to be performed in Lobby hospitals.
922_132291_000025_000001	But that could be justified; it was the only safe kind of surgery and the only way to make sure there was no unsupervised experimentation, such as that which supposedly caused the plague.	But that could be justified; it was the only safe kind of surgery and the only way to make sure there was no unsupervised experimentation, such as that which supposedly caused the plague.
922_132291_000025_000002	The rule was now an absolute ethic of medicine.	The rule was now an absolute ethic of medicine.
922_132291_000025_000003	It also made for better fees.	It also made for better fees.
922_132291_000026_000000	Feldman's father had stuck by the rule but had questioned it.	Feldman's father had stuck by the rule but had questioned it.
922_132291_000026_000001	Feldman learned not to question in medical school.	Feldman learned not to question in medical school.
922_132291_000026_000002	He scored second in Medical Ethics only to Christina Ryan.	He scored second in Medical Ethics only to Christina Ryan.
922_132291_000027_000000	He had never figured why she singled him out for her attentions, but he gloried in both those attentions and the results.	He had never figured why she singled him out for her attentions, but he gloried in both those attentions and the results.
922_132291_000027_000001	He became automatically a rising young man, the favorite of the daughter of the Lobby president.	He became automatically a rising young man, the favorite of the daughter of the Lobby president.
922_132291_000027_000002	He went through internship without a sign of trouble. Chris humored him in his desire to spend three years of practice in a poor section loaded with disease, and her father approved; such selfless dedication was the perfect image projection for a future son-in-law.	He went through internship without a sign of trouble. Chris humored him in his desire to spend three years of practice in a poor section loaded with disease, and her father approved; such selfless dedication was the perfect image projection for a future son in law.
922_132291_000027_000003	In return, he agreed to follow that period by becoming an administrator.	In return, he agreed to follow that period by becoming an administrator.
922_132291_000027_000004	A doctor's doctor, as they put it.	A doctor's doctor, as they put it.
922_132291_000028_000000	They were married in April and his office was ready in May, complete with a staff of eighty.	They were married in April and his office was ready in May, complete with a staff of eighty.
922_132291_000028_000001	The publicity releases had gone out, and the Public Relations Lobby that handled news and education was paid to begin the greatest build-up any young genius ever had.	The publicity releases had gone out, and the Public Relations Lobby that handled news and education was paid to begin the greatest build-up any young genius ever had.
922_132291_000029_000000	They celebrated that, with a little party of some four hundred people and reporters at Ryan's lodge in Canada.	They celebrated that, with a little party of some four hundred people and reporters at Ryan's lodge in Canada.
922_132291_000029_000001	It was to be a gala weekend.	It was to be a gala weekend.
922_132291_000030_000000	It was then that Baxter shot himself.	It was then that Baxter shot himself.
922_132291_000031_000000	Baxter had been Feldman's closest friend in the Lobby.	Baxter had been Feldman's closest friend in the Lobby.
922_132291_000031_000001	He'd come along to handle press relations and had gotten romantic about the countryside, never having been out of a city before.	He'd come along to handle press relations and had gotten romantic about the countryside, never having been out of a city before.
922_132291_000031_000002	He hired a guide and went hunting, eighty miles beyond the last outpost of civilization.	He hired a guide and went hunting, eighty miles beyond the last outpost of civilization.
922_132291_000031_000003	Somehow, he got his hand on a gun, though only guides were supposed to touch them, managed to overcome its safety devices, and then pulled the trigger with the gun pointed the wrong way.	Somehow, he got his hand on a gun, though only guides were supposed to touch them, managed to overcome its safety devices, and then pulled the trigger with the gun pointed the wrong way.
922_132291_000032_000000	Chris, Feldman and Harnett from Public Relations had accompanied him on the trip.	Chris, Feldman and Harnett from Public Relations had accompanied him on the trip.
922_132291_000032_000001	They were sitting in a nearby car while Feldman enjoyed the scenery, Chris made further plans, and Harnett gathered material.	They were sitting in a nearby car while Feldman enjoyed the scenery, Chris made further plans, and Harnett gathered material.
922_132291_000032_000002	There was also a photographer and writer, but they hadn't been introduced by name.	There was also a photographer and writer, but they hadn't been introduced by name.
922_132291_000033_000000	Feldman reached Baxter first.	Feldman reached Baxter first.
922_132291_000033_000001	The man was moaning and scared, and he was bleeding profusely.	The man was moaning and scared, and he was bleeding profusely.
922_132291_000033_000002	Only a miracle had saved him from instant death.	Only a miracle had saved him from instant death.
922_132291_000033_000003	The bullet had struck a rib, been deflected and robbed of some of its energy, and had barely reached the heart.	The bullet had struck a rib, been deflected and robbed of some of its energy, and had barely reached the heart.
922_132291_000033_000004	But it had pierced the pericardium, as best Feldman could guess, and it could be fatal at any moment.	But it had pierced the pericardium, as best Feldman could guess, and it could be fatal at any moment.
922_132291_000034_000000	He'd reached for a probe without thinking.	He'd reached for a probe without thinking.
922_132291_000034_000001	Chris knocked his hand aside.	Chris knocked his hand aside.
922_132291_000035_000000	She was right, of course.	She was right, of course.
922_132291_000035_000001	He couldn't operate outside a hospital.	He couldn't operate outside a hospital.
922_132291_000035_000002	But they had no phone in the lodge where the guide lived and no way to summon an ambulance.	But they had no phone in the lodge where the guide lived and no way to summon an ambulance.
922_132291_000035_000003	They'd have to drive Baxter back in the car, which would almost certainly result in his death.	They'd have to drive Baxter back in the car, which would almost certainly result in his death.
922_132291_000036_000000	When Feldman seemed uncertain, Harnett had given his warning in a low but vehement voice.	When Feldman seemed uncertain, Harnett had given his warning in a low but vehement voice.
922_132291_000036_000001	"You touch him, Dan, and I'll spread it in every one of our media.	"You touch him, Dan, and I'll spread it in every one of our media.
922_132291_000036_000002	I'll have to.	I'll have to.
922_132291_000036_000004	There'd be a leak, with all the guides and others here, and we can't afford that.	There'd be a leak, with all the guides and others here, and we can't afford that.
922_132291_000036_000005	I like you--you have color.	I like you-you have color.
922_132291_000036_000006	But touch that wound and I'll crucify you."	But touch that wound and I'll crucify you."
922_132291_000037_000000	Chris added her own threats.	Chris added her own threats.
922_132291_000037_000001	She'd spent years making him the outlet for all her ambitions, denied because women were still only second-rate members of Medical Lobby.	She'd spent years making him the outlet for all her ambitions, denied because women were still only second rate members of Medical Lobby.
922_132291_000037_000002	She couldn't let it go now.	She couldn't let it go now.
922_132291_000037_000003	And she was probably genuinely shocked.	And she was probably genuinely shocked.
922_132291_000038_000000	Baxter groaned again and started to bleed more profusely.	Baxter groaned again and started to bleed more profusely.
922_132291_000039_000000	There wasn't much equipment.	There wasn't much equipment.
922_132291_000039_000001	Feldman operated with a pocketknife sterilized in a bottle of expensive Scotch and only anodyne tablets in place of anesthesia.	Feldman operated with a pocketknife sterilized in a bottle of expensive Scotch and only anodyne tablets in place of anesthesia.
922_132291_000039_000002	He got the bullet out and sewed up the wound with a bit of surgical thread he'd been using to tie up a torn good-luck emblem.	He got the bullet out and sewed up the wound with a bit of surgical thread he'd been using to tie up a torn good luck emblem.
922_132291_000039_000004	Chris swore harshly and beat her fists against the bole of a tree.	Chris swore harshly and beat her fists against the bole of a tree.
922_132291_000039_000005	But Baxter lived.	But Baxter lived.
