7657_104717_000000_000000	From the painting by Henry Ulke, in the Treasury Department at Washington.	From the painting by Henry Ulke, in the Treasury Department at Washington.	false	0	0.9	25
7657_104717_000012_000002	He was but seven years old when he clambered with his mother to the top of one of the high hills in the neighborhood of his home to listen to the sounds of conflict upon Bunker's Hill, and to watch the flaming ruin of Charlestown. Profound was the impression made upon him by the spectacle, and it was intensified by many an hour spent afterward upon the same spot during the siege and bombardment of Boston.	He was but seven years old when he clambered with his mother to the top of one of the high hills in the neighborhood of his home to listen to the sounds of conflict upon Bunker's Hill, and to watch the flaming ruin of Charlestown. Profound was the impression made upon him by the spectacle, and it was intensified by many an hour spent afterward upon the same spot during the siege and bombardment of Boston.	true	120.2	142.9	16
7657_104717_000012_000003	Then John Adams went as a delegate to the Continental Congress at Philadelphia, and his wife and children were left for twelve months, as John Quincy Adams says,--it is to be hoped with a little exaggeration of the barbarity of (p.	Then john Adams went as a delegate to the Continental Congress at Philadelphia, and his wife and children were left for twelve months, as john Quincy Adams says,--it is to be hoped with a little exaggeration of the barbarity of (p.	false	143.57	156.45	17
7657_104717_000012_000004	003) British troops toward women and babes,--"liable every hour of the day and of the night to be butchered in cold blood, or taken and carried into Boston as hostages, by any foraging or marauding detachment." Later, when the British had evacuated Boston, the boy, barely nine years old, became "post-rider" between the city and the farm, a distance of eleven miles each way, in order to bring all the latest news to his mother.	o o three) British troops toward women and babes,--"liable every hour of the day and of the night to be butchered in cold blood, or taken and carried into Boston as hostages, by any foraging or marauding detachment." Later, when the British had evacuated Boston, the boy, barely nine years old, became "post rider" between the city and the farm, a distance of eleven miles each way, in order to bring all the latest news to his mother.	false	156.45	182.68	18
7657_104717_000013_000000	Not much regular schooling was to be got amid such surroundings of times and events, but the lad had a natural aptitude or affinity for knowledge which stood him in better stead than could any dame of a village school.	Not much regular schooling was to be got amid such surroundings of times and events, but the lad had a natural aptitude or affinity for knowledge which stood him in better stead than could any dame of a village school.	false	183.56	195.37	14
7657_104717_000013_000001	The following letter to his father is worth preserving:--	The following letter to his father is worth preserving:--	true	195.8	198.63	17
7657_104717_000014_000000	BRAINTREE, _June the 2d, 1777_.	BRAINTREE, underscore June the two d, seventeen seventy seven underscore.	false	198.63	202.08	19.220438
7657_104717_000015_000000	DEAR SIR,--I love to receive letters very well, much better than I love to write them.	DEAR SIR,--I love to receive letters very well, much better than I love to write them.	true	202.08	207.82	18.88335
7657_104717_000015_000001	I make but a poor figure at composition, my head is much too fickle, my thoughts are running after birds' eggs, play and trifles till I get vexed with myself.	I make but a poor figure at composition, my head is much too fickle, my thoughts are running after birds' eggs, play and trifles till I get vexed with myself.	true	207.95	217.72	20.583454
7657_104717_000015_000002	I have but just entered the 3d volume of Smollett, tho' I had designed to have got it half through by this time.	I have but just entered the three d volume of Smollett, tho' I had designed to have got it half through by this time.	true	218.15	224.505	17
7657_104717_000015_000003	I have determined this week to be more diligent, as Mr. Thaxter will be absent at Court and I Cannot pursue my other Studies.	I have determined this week to be more diligent, as mr Thaxter will be absent at Court and I Cannot pursue my other Studies.	true	224.505	231.04	15
7657_104717_000015_000004	I have Set myself a Stent and determine to read the 3d volume Half out.	I have Set myself a Stent and determine to read the three d volume Half out.	true	231.56	235.87	18
7657_104717_000015_000005	If I can but (p.	If I can but (p.	false	236.06	236.82	19.716858
7657_104717_000015_000006	004) keep my resolution I will write again at the end of the week and give a better account of myself.	o o four) keep my resolution I will write again at the end of the week and give a better account of myself.	false	236.82	241.48	14
7657_104717_000015_000007	I wish, Sir, you would give me some instructions with regard to my time, and advise me how to proportion my Studies and my Play, in writing, and I will keep them by me and endeavor to follow them.	I wish, Sir, you would give me some instructions with regard to my time, and advise me how to proportion my Studies and my Play, in writing, and I will keep them by me and endeavor to follow them.	true	241.82	252.88	19
7657_104717_000015_000008	I am, dear Sir, with a present determination of growing better.	I am, dear Sir, with a present determination of growing better.	true	252.95	256.995	17
7657_104717_000015_000009	Yours.	Yours.	true	256.995	257.77	19
7657_104717_000016_000000	P.S. Sir, if you will be so good as to favor me with a Blank book, I will transcribe the most remarkable occurrences I met with in my reading, which will serve to fix them upon my mind.	p s Sir, if you will be so good as to favor me with a Blank book, I will transcribe the most remarkable occurrences I met with in my reading, which will serve to fix them upon my mind.	false	258.05	268.905	18
7657_104717_000017_000000	Not long after the writing of this model epistle, the simple village life was interrupted by an unexpected change.	Not long after the writing of this model epistle, the simple village life was interrupted by an unexpected change.	true	268.905	275.05	15
7657_104717_000017_000001	John Adams was sent on a diplomatic journey to Paris, and on February 13, 1778, embarked in the frigate Boston.	john Adams was sent on a diplomatic journey to Paris, and on february thirteenth seventeen seventy eight, embarked in the frigate Boston.	false	275.06	282.91	15
7657_104717_000017_000002	John Quincy Adams, then eleven years old, accompanied his father and thus made his first acquaintance with the foreign lands where so many of his coming years were to be passed.	john Quincy Adams, then eleven years old, accompanied his father and thus made his first acquaintance with the foreign lands where so many of his coming years were to be passed.	true	282.95	292.39	13
7657_104717_000017_000003	This initial visit, however, was brief; and he was hardly well established at school when events caused his father to start for home.	This initial visit, however, was brief; and he was hardly well established at school when events caused his father to start for home.	true	292.58	299.74	17
7657_104717_000017_000004	Unfortunately this return trip was a needless loss of time, since within three months of their setting foot upon American shores the two travellers were again on their stormy way back across the Atlantic in a leaky ship, which had to land them at the nearest port in Spain.	Unfortunately this return trip was a needless loss of time, since within three months of their setting foot upon American shores the two travellers were again on their stormy way back across the Atlantic in a leaky ship, which had to land them at the nearest port in Spain.	true	300.02	314.86	16
7657_104717_000017_000005	One (p.	One (p.	false	315.08	315.42	35
7657_104717_000017_000006	005) more quotation must be given from a letter written just after the first arrival in France:--	o o five) more quotation must be given from a letter written just after the first arrival in France:--	false	315.42	319.86	12
7657_104717_000018_000000	PASSY, _September the 27th, 1778_.	p a s s y, underscore September the twenty seventh, seventeen seventy eight underscore.	false	319.86	324.63	18.812437
7657_104717_000019_000000	HONORED MAMMA,--My Pappa enjoins it upon me to keep a Journal, or a Diary of the Events that happen to me, and of objects that I see, and of Characters that I converse with from day to day; and altho' I am Convinced of the utility, importance and necessity of this Exercise, yet I have not patience and perseverance enough to do it so Constantly as I ought.	HONORED MAMMA,--My Pappa enjoins it upon me to keep a Journal, or a Diary of the Events that happen to me, and of objects that I see, and of Characters that I converse with from day to day; and altho' I am Convinced of the utility, importance and necessity of this Exercise, yet I have not patience and perseverance enough to do it so Constantly as I ought.	true	324.63	344.92	19
7657_104717_000019_000001	My Pappa, who takes a great deal of pains to put me in the right way, has also advised me to Preserve Copies of all my letters, and has given me a Convenient Blank Book for this end; and altho' I shall have the mortification a few years hence to read a great deal of my Childish nonsense, yet I shall have the Pleasure and advantage of Remarking the several steps by which I shall have advanced in taste, judgment and knowledge.	My Pappa, who takes a great deal of pains to put me in the right way, has also advised me to Preserve Copies of all my letters, and has given me a Convenient Blank Book for this end; and altho' I shall have the mortification a few years hence to read a great deal of my Childish nonsense, yet I shall have the Pleasure and advantage of Remarking the several steps by which I shall have advanced in taste, judgment and knowledge.	false	345.47	369.43	17
7657_104717_000019_000002	A Journal Book and a letter Book of a Lad of Eleven years old Can not be expected to Contain much of Science, Literature, arts, wisdom, or wit, yet it may serve to perpetuate many observations that I may make, and may hereafter help me to recollect both persons and things that would other ways escape my memory.	A Journal Book and a letter Book of a Lad of Eleven years old Can not be expected to Contain much of Science, Literature, arts, wisdom, or wit, yet it may serve to perpetuate many observations that I may make, and may hereafter help me to recollect both persons and things that would other ways escape my memory.	true	369.98	387.79	15
7657_104717_000020_000000	He continues with resolutions "to be more thoughtful and industrious for the future," and reflects with pleasure upon the prospect that his scheme "will be a sure means of improvement to myself, and (p.	He continues with resolutions "to be more thoughtful and industrious for the future," and reflects with pleasure upon the prospect that his scheme "will be a sure means of improvement to myself, and (p.	false	388.82	399.18	19
7657_104717_000020_000001	006) enable me to be more entertaining to you." What gratification must this letter from one who was quite justified in signing himself her "dutiful and affectionate son" have brought to the Puritan bosom of the good mother at home!	o o six) enable me to be more entertaining to you." What gratification must this letter from one who was quite justified in signing himself her "dutiful and affectionate son" have brought to the Puritan bosom of the good mother at home!	false	399.18	412.36	15
7657_104717_000020_000002	If the plan for the diary was not pursued during the first short flitting abroad, it can hardly be laid at the door of the "lad of eleven years" as a serious fault.	If the plan for the diary was not pursued during the first short flitting abroad, it can hardly be laid at the door of the "lad of eleven years" as a serious fault.	false	412.55	421.335	16
7657_104717_000020_000003	He did in fact begin it when setting out on the aforementioned second trip to Europe, calling it	He did in fact begin it when setting out on the aforementioned second trip to Europe, calling it	true	421.335	426.19	15
7657_104717_000021_000000	A JOURNAL BY J. Q. A.,	A JOURNAL BY j q a,	true	426.5	428.43	15
7657_104717_000022_000000	_From America to Spain._	underscore From America to Spain.underscore	false	428.43	429.69	11
7657_104717_000023_000000	Vol. I.	vol one	true	429.69	430.66	15
7657_104717_000024_000000	Begun Friday, 12 of November, 1779.	Begun Friday, twelve of November, seventeen seventy nine.	true	430.7	434.16	17
7657_104717_000025_000000	The spark of life in the great undertaking flickered in a somewhat feeble and irregular way for many years thereafter, but apparently gained strength by degrees until in 1795, as Mr. C. F. Adams tells us, "what may be denominated the diary proper begins," a very vigorous work in more senses than one.	The spark of life in the great undertaking flickered in a somewhat feeble and irregular way for many years thereafter, but apparently gained strength by degrees until in seventeen ninety five, as mr c f Adams tells us, "what may be denominated the diary proper begins," a very vigorous work in more senses than one.	false	434.16	453.82	18.669043
7657_104717_000025_000001	Continued with astonishing persistency and faithfulness until within a few days of the writer's death, the latest entry is of the 4th of January, 1848.	Continued with astonishing persistency and faithfulness until within a few days of the writer's death, the latest entry is of the fourth of January, eighteen forty eight.	true	453.98	463.96	18
7657_104717_000025_000002	Mr. Adams achieved many successes during his life as the result of conscious effort, but (p.	mr Adams achieved many successes during his life as the result of conscious effort, but (p.	false	464.15	469.59	19.4838
7657_104717_000025_000003	007) the greatest success of all he achieved altogether unconsciously.	double o seven) the greatest success of all he achieved altogether unconsciously.	false	469.59	473.47	15
7657_104717_000025_000004	He left a portrait of himself more full, correct, vivid, and picturesque than has ever been bequeathed to posterity by any other personage of the past ages.	He left a portrait of himself more full, correct, vivid, and picturesque than has ever been bequeathed to posterity by any other personage of the past ages.	true	473.66	483.01	19
7657_104717_000025_000005	Any mistakes which may be made in estimating his mental or moral attributes must be charged to the dulness or prejudice of the judge, who could certainly not ask for better or more abundant evidence.	Any mistakes which may be made in estimating his mental or moral attributes must be charged to the dulness or prejudice of the judge, who could certainly not ask for better or more abundant evidence.	true	483.38	494.67	13
7657_104717_000025_000006	Few of us know our most intimate friends better than any of us may know Mr. Adams, if we will but take the trouble.	Few of us know our most intimate friends better than any of us may know mr Adams, if we will but take the trouble.	true	494.67	500.77	15
7657_104717_000025_000007	Even the brief extracts already given from his correspondence show us the boy; it only concerns us to get them into the proper light for seeing them accurately.	Even the brief extracts already given from his correspondence show us the boy; it only concerns us to get them into the proper light for seeing them accurately.	true	501.23	509.83	17
7657_104717_000025_000008	If a lad of seven, nine, or eleven years of age should write such solemn little effusions amid the surroundings and influences of the present day, he would probably be set down justly enough as either an offensive young prig or a prematurely developed hypocrite.	If a lad of seven, nine, or eleven years of age should write such solemn little effusions amid the surroundings and influences of the present day, he would probably be set down justly enough as either an offensive young prig or a prematurely developed hypocrite.	false	510.11	525.79	17
7657_104717_000025_000009	But the precocious Adams had only a little of the prig and nothing of the hypocrite in his nature.	But the precocious Adams had only a little of the prig and nothing of the hypocrite in his nature.	true	526.01	531.37	16
7657_104717_000025_000010	Being the outcome of many generations of simple, devout, intelligent Puritan ancestors, living in a community which loved virtue and sought knowledge, all inherited and all present influences combined to make him, as it may be put (p.	Being the outcome of many generations of simple, devout, intelligent Puritan ancestors, living in a community which loved virtue and sought knowledge, all inherited and all present influences combined to make him, as it may be put (p.	false	531.53	545.43	16
7657_104717_000025_000011	008) in a single word, sensible.	o o eight) in a single word, sensible.	false	545.43	547.44	18.973852
7657_104717_000025_000012	He had inevitably a mental boyhood and youth, but morally he was never either a child or a lad; all his leading traits of character were as strongly marked when he was seven as when he was seventy, and at an age when most young people simply win love or cause annoyance, he was preferring wisdom to mischief, and actually in his earliest years was attracting a certain respect.	He had inevitably a mental boyhood and youth, but morally he was never either a child or a lad; all his leading traits of character were as strongly marked when he was seven as when he was seventy, and at an age when most young people simply win love or cause annoyance, he was preferring wisdom to mischief, and actually in his earliest years was attracting a certain respect.	false	547.44	570.13	15
7657_104717_000026_000000	These few but bold and striking touches which paint the boy are changed for an infinitely more elaborate and complex presentation from the time when the Diary begins.	These few but bold and striking touches which paint the boy are changed for an infinitely more elaborate and complex presentation from the time when the Diary begins.	true	570.41	580	14
7657_104717_000026_000001	Even as abridged in the printing, this immense work ranks among the half-dozen longest diaries to be found in any library, and it is unquestionably by far the most valuable. Henceforth we are to travel along its broad route to the end; we shall see in it both the great and the small among public men halting onward in a way very different from that in which they march along the stately pages of the historian, and we shall find many side-lights, by no means colorless, thrown upon the persons and events of the procession.	Even as abridged in the printing, this immense work ranks among the half dozen longest diaries to be found in any library, and it is unquestionably by far the most valuable. Henceforth we are to travel along its broad route to the end; we shall see in it both the great and the small among public men halting onward in a way very different from that in which they march along the stately pages of the historian, and we shall find many side lights, by no means colorless, thrown upon the persons and events of the procession.	false	580.25	610.24	16
7657_104717_000026_000002	The persistence, fulness, and faithfulness with which it was kept throughout so busy a life are marvellous, but are also highly characteristic of the most persevering and industrious of men. (p.	The persistence, fulness, and faithfulness with which it was kept throughout so busy a life are marvellous, but are also highly characteristic of the most persevering and industrious of men. (p.	false	610.67	621.57	18
7657_104717_000026_000003	009) That it has been preserved is cause not only for thankfulness but for some surprise also.	o o nine) That it has been preserved is cause not only for thankfulness but for some surprise also.	false	621.57	627.25	18.399893
7657_104717_000026_000004	For if its contents had been known, it is certain that all the public men of nearly two generations who figure in it would have combined into one vast and irresistible conspiracy to obtain and destroy it.	For if its contents had been known, it is certain that all the public men of nearly two generations who figure in it would have combined into one vast and irresistible conspiracy to obtain and destroy it.	true	627.56	639.52	14
7657_104717_000026_000005	There was always a superfluity of gall in the diarist's ink.	There was always a superfluity of gall in the diarist's ink.	true	640.04	643.395	17
7657_104717_000026_000006	Sooner or later every man of any note in the United States was mentioned in his pages, and there is scarcely one of them, who, if he could have read what was said of him, would not have preferred the ignominy of omission.	Sooner or later every man of any note in the United States was mentioned in his pages, and there is scarcely one of them, who, if he could have read what was said of him, would not have preferred the ignominy of omission.	true	643.395	654.61	14
7657_104717_000026_000007	As one turns the leaves he feels as though he were walking through a graveyard of slaughtered reputations wherein not many headstones show a few words of measured commendation.	As one turns the leaves he feels as though he were walking through a graveyard of slaughtered reputations wherein not many headstones show a few words of measured commendation.	false	654.65	663.79	13
7657_104717_000026_000008	It is only the greatness and goodness of Mr. Adams himself which relieve the universal atmosphere of sadness far more depressing than the melancholy which pervades the novels of George Eliot.	It is only the greatness and goodness of mr Adams himself which relieve the universal atmosphere of sadness far more depressing than the melancholy which pervades the novels of George Eliot.	true	664.34	674.53	12
7657_104717_000026_000009	The reader who wishes to retain any comfortable degree of belief in his fellow men will turn to the wall all the portraits in the gallery except only the inimitable one of the writer himself.	The reader who wishes to retain any comfortable degree of belief in his fellow men will turn to the wall all the portraits in the gallery except only the inimitable one of the writer himself.	false	675.14	685.11	13
7657_104717_000026_000010	For it would be altogether too discouraging to think that so wide an experience of men as Mr. Adams enjoyed through his long, varied, and active life must lead to such an unpleasant array of human faces (p.	For it would be altogether too discouraging to think that so wide an experience of men as mr Adams enjoyed through his long, varied, and active life must lead to such an unpleasant array of human faces (p.	false	685.11	696.66	16
7657_104717_000026_000011	010) as those which are scattered along these twelve big octavos. Fortunately at present we have to do with only one of these likenesses, and that one we are able to admire while knowing also that it is beyond question accurate.	o one o) as those which are scattered along these twelve big octavos. Fortunately at present we have to do with only one of these likenesses, and that one we are able to admire while knowing also that it is beyond question accurate.	false	696.66	710.38	19
7657_104717_000026_000012	One after another every trait of Mr. Adams comes out; we shall see that he was a man of a very high and noble character veined with some very notable and disagreeable blemishes; his aspirations were honorable, even the lowest of them being more than simply respectable; he had an avowed ambition, but it was of that pure kind which led him to render true and distinguished services to his countrymen; he was not only a zealous patriot, but a profound believer in the sound and practicable tenets of the liberal political creed of the United States; he had one of the most honest and independent natures that was ever given to man; personal integrity of course goes without saying, but he had the rarer gift of an elevated and rigid political honesty such as has been unfrequently seen in any age or any nation; in times of severe trial this quality was even cruelly tested, but we shall never see it fail; he was as courageous as if he had been a fanatic; indeed, for a long part of his life to maintain a single-handed fight in support of a despised or unpopular opinion seemed his natural function and almost exclusive calling; he was thoroughly conscientious and never knowingly did (p.	One after another every trait of mr Adams comes out; we shall see that he was a man of a very high and noble character veined with some very notable and disagreeable blemishes; his aspirations were honorable, even the lowest of them being more than simply respectable; he had an avowed ambition, but it was of that pure kind which led him to render true and distinguished services to his countrymen; he was not only a zealous patriot, but a profound believer in the sound and practicable tenets of the liberal political creed of the United States; he had one of the most honest and independent natures that was ever given to man; personal integrity of course goes without saying, but he had the rarer gift of an elevated and rigid political honesty such as has been unfrequently seen in any age or any nation; in times of severe trial this quality was even cruelly tested, but we shall never see it fail; he was as courageous as if he had been a fanatic; indeed, for a long part of his life to maintain a single handed fight in support of a despised or unpopular opinion seemed his natural function and almost exclusive calling; he was thoroughly conscientious and never knowingly did (p.	false	710.57	781.23	18
7657_104717_000026_000013	011) wrong, nor even sought to persuade himself that wrong was right; well read in literature and of wide and varied information in nearly all matters of knowledge, he was more especially remarkable for his acquirements in the domain of politics, where indeed they were vast and ever growing; he had a clear and generally a cool head, and was nearly always able to do full justice to himself and to his cause; he had an indomitable will, unconquerable persistence, and infinite laboriousness.	o one one) wrong, nor even sought to persuade himself that wrong was right; well read in literature and of wide and varied information in nearly all matters of knowledge, he was more especially remarkable for his acquirements in the domain of politics, where indeed they were vast and ever growing; he had a clear and generally a cool head, and was nearly always able to do full justice to himself and to his cause; he had an indomitable will, unconquerable persistence, and infinite laboriousness.	false	781.23	811.66	18
7657_104717_000026_000014	Such were the qualities which made him a great statesman; but unfortunately we must behold a hardly less striking reverse to the picture, in the faults and shortcomings which made him so unpopular in his lifetime that posterity is only just beginning to forget the prejudices of his contemporaries and to render concerning him the judgment which he deserves.	Such were the qualities which made him a great statesman; but unfortunately we must behold a hardly less striking reverse to the picture, in the faults and shortcomings which made him so unpopular in his lifetime that posterity is only just beginning to forget the prejudices of his contemporaries and to render concerning him the judgment which he deserves.	true	811.88	830.98	18
7657_104717_000026_000015	Never did a man of pure life and just purposes have fewer friends or more enemies than John Quincy Adams.	Never did a man of pure life and just purposes have fewer friends or more enemies than john Quincy Adams.	true	831.38	838.35	17
7657_104717_000026_000016	His nature, said to have been very affectionate in his family relations, was in its aspect outside of that small circle singularly cold and repellent.	His nature, said to have been very affectionate in his family relations, was in its aspect outside of that small circle singularly cold and repellent.	true	838.35	847.75	17
7657_104717_000026_000017	If he could ever have gathered even a small personal following his character and abilities would have insured him a brilliant and prolonged success; but, for a man of his calibre (p.	If he could ever have gathered even a small personal following his character and abilities would have insured him a brilliant and prolonged success; but, for a man of his calibre (p.	false	848.3	858.15	17
7657_104717_000026_000018	012) and influence, we shall see him as one of the most lonely and desolate of the great men of history; instinct led the public men of his time to range themselves against him rather than with him, and we shall find them fighting beside him only when irresistibly compelled to do so by policy or strong convictions.	o one two) and influence, we shall see him as one of the most lonely and desolate of the great men of history; instinct led the public men of his time to range themselves against him rather than with him, and we shall find them fighting beside him only when irresistibly compelled to do so by policy or strong convictions.	false	858.15	875.62	15
7657_104717_000026_000019	As he had little sympathy with those with whom he was brought in contact, so he was very uncharitable in his judgment of them; and thus having really a low opinion of so many of them he could indulge his vindictive rancor without stint; his invective, always powerful, will sometimes startle us by its venom, and we shall be pained to see him apt to make enemies for a good cause by making them for himself.	As he had little sympathy with those with whom he was brought in contact, so he was very uncharitable in his judgment of them; and thus having really a low opinion of so many of them he could indulge his vindictive rancor without stint; his invective, always powerful, will sometimes startle us by its venom, and we shall be pained to see him apt to make enemies for a good cause by making them for himself.	true	876.29	900.97	19
7657_104717_000027_000000	This has been, perhaps, too long a lingering upon the threshold.	This has been, perhaps, too long a lingering upon the threshold.	true	901.88	905.64	18
7657_104717_000027_000001	But Mr. Adams's career in public life stretched over so long a period that to write a full historical memoir of him within the limited space of this volume is impossible.	But mr Adams's career in public life stretched over so long a period that to write a full historical memoir of him within the limited space of this volume is impossible.	true	905.64	914.59	15
7657_104717_000027_000002	All that can be attempted is to present a sketch of the man with a few of his more prominent surroundings against a very meagre and insufficient background of the history of the times.	All that can be attempted is to present a sketch of the man with a few of his more prominent surroundings against a very meagre and insufficient background of the history of the times.	false	915.29	924.64	13
7657_104717_000027_000003	So it may be permissible to begin with a general outline of his figure, to be filled in, shaded, and colored as we proceed.	So it may be permissible to begin with a general outline of his figure, to be filled in, shaded, and colored as we proceed.	true	925.04	932.17	18
7657_104717_000027_000004	At best our task is much more difficult of satisfactory achievement (p.	At best our task is much more difficult of satisfactory achievement (p.	false	932.42	936.69	21
7657_104717_000027_000005	013) than an historical biography of the customary elaborate order.	o one three) than an historical biography of the customary elaborate order.	false	936.69	940.09	18
7657_104717_000028_000000	During his second visit to Europe, our mature youngster--if the word may be used of Mr. Adams even in his earliest years--began to see a good deal of the world and to mingle in very distinguished society. For a brief period he got a little schooling, first at Paris, next at Amsterdam, and then at Leyden; altogether the amount was insignificant, since he was not quite fourteen years old when he actually found himself engaged in a diplomatic career.	During his second visit to Europe, our mature youngster-if the word may be used of mr Adams even in his earliest years-began to see a good deal of the world and to mingle in very distinguished society. For a brief period he got a little schooling, first at Paris, next at Amsterdam, and then at Leyden; altogether the amount was insignificant, since he was not quite fourteen years old when he actually found himself engaged in a diplomatic career.	false	941.06	966.58	19
7657_104717_000028_000001	Francis Dana, afterward Chief Justice of Massachusetts, was then accredited as an envoy to Russia from the United States, and he took Mr. Adams with him as his private secretary.	Francis Dana, afterward Chief Justice of Massachusetts, was then accredited as an envoy to Russia from the United States, and he took mr Adams with him as his private secretary.	true	966.89	977.95	19
7657_104717_000028_000002	Not much came of the mission, but it was a valuable experience for a lad of his years.	Not much came of the mission, but it was a valuable experience for a lad of his years.	false	978.62	983.2	16
7657_104717_000028_000003	Upon his return he spent six months in travel and then he rejoined his father in Paris, where that gentleman was engaged with Franklin and John Jay in negotiating the final treaty of peace between the revolted colonies and the mother country.	Upon his return he spent six months in travel and then he rejoined his father in Paris, where that gentleman was engaged with Franklin and john Jay in negotiating the final treaty of peace between the revolted colonies and the mother country.	true	983.33	997.06	17
7657_104717_000028_000004	The boy "was at once enlisted in the service as an additional secretary, and gave his help to the preparation of the papers necessary to the completion of that instrument which dispersed all possible doubt of the Independence of his Country."	The boy "was at once enlisted in the service as an additional secretary, and gave his help to the preparation of the papers necessary to the completion of that instrument which dispersed all possible doubt of the Independence of his Country."	false	997.52	1009.66	16
7657_104717_000029_000000	On April 26, 1785, arrived the packet-ship Le Courier de L'Orient, (p.	On april twenty sixth seventeen eighty five, arrived the packet ship Le Courier de L'Orient, (p.	false	1010.75	1016.34	17
7657_104717_000029_000001	014) bringing a letter from Mr. Gerry containing news of the appointment of John Adams as Minister to St. James's.	o one four) bringing a letter from mr Gerry containing news of the appointment of john Adams as Minister to saint James's.	false	1016.34	1022.71	14
7657_104717_000029_000002	This unforeseen occurrence made it necessary for the younger Adams to determine his own career, which apparently he was left to do for himself.	This unforeseen occurrence made it necessary for the younger Adams to determine his own career, which apparently he was left to do for himself.	true	1023.23	1030.54	16
7657_104717_000029_000003	He was indeed a singular young man, not unworthy of such confidence!	He was indeed a singular young man, not unworthy of such confidence!	true	1030.61	1035.13	17
