8142_3966_000006_000000	CHAPTER XIV	CHAPTER fourteen
8142_3966_000015_000005	The young Genji too, the son of the late Lady Aoi, was admitted to the Court of the Emperor and of the Heir-apparent.	The young Genji too, the son of the late Lady Aoi, was admitted to the Court of the Emperor and of the Heir apparent.
8142_3966_000016_000001	This he did with a notion of placing there some of his intimate friends, such as the younger one of the ladies in the "Villa of Falling Flowers."	This he did with a notion of placing there some of his intimate friends, such as the younger one of the ladies in the "Villa of Falling Flowers."
8142_3966_000017_000000	Now the young maiden also, whom Genji had left behind at Akashi, and who had been in delicate health, did not pass away from his thoughts. He despatched a messenger there on the first of March, as he deemed the happy event would take place about that time.	Now the young maiden also, whom Genji had left behind at Akashi, and who had been in delicate health, did not pass away from his thoughts. He despatched a messenger there on the first of March, as he deemed the happy event would take place about that time.
8142_3966_000017_000001	When the messenger returned, he reported that she was safely delivered of a girl on the sixteenth of the month.	When the messenger returned, he reported that she was safely delivered of a girl on the sixteenth of the month.
8142_3966_000018_000002	When he reflected on this prediction and on the series of events, he began thinking of the remarkable coincidences they betrayed; and as he thought of sending for her, as soon as the condition of the young mother's health would admit, he hurried forward the repairs of the eastern mansion.	When he reflected on this prediction and on the series of events, he began thinking of the remarkable coincidences they betrayed; and as he thought of sending for her, as soon as the condition of the young mother's health would admit, he hurried forward the repairs of the eastern mansion.
8142_3966_000018_000003	He also thought that as there might not be a suitable nurse at Akashi for the child, he ought to send one from the capital.	He also thought that as there might not be a suitable nurse at Akashi for the child, he ought to send one from the capital.
8142_3966_000018_000004	Fortunately there was a lady there who had lately been delivered of a child.	Fortunately there was a lady there who had lately been delivered of a child.
8142_3966_000018_000005	Her mother, who had waited at Court when the late ex-Emperor lived, and her father, who had been some time Court Chamberlain, were both dead.	Her mother, who had waited at Court when the late ex Emperor lived, and her father, who had been some time Court Chamberlain, were both dead.
8142_3966_000018_000006	She was now in miserable circumstances.	She was now in miserable circumstances.
8142_3966_000018_000007	Genji sounded her, through a certain channel, whether she would not be willing to be useful to him.	Genji sounded her, through a certain channel, whether she would not be willing to be useful to him.
8142_3966_000018_000008	This offer on his part she accepted without much hesitation, and was despatched with a confidential servant to attend on the new-born child.	This offer on his part she accepted without much hesitation, and was despatched with a confidential servant to attend on the new born child.
8142_3966_000018_000009	He also sent with her a sword and other presents.	He also sent with her a sword and other presents.
8142_3966_000018_000010	She left the capital in a carriage, and proceeded by boat to the province of Settsu, and thence on horseback to Akashi.	She left the capital in a carriage, and proceeded by boat to the province of Settsu, and thence on horseback to Akashi.
8142_3966_000019_000001	The child was very healthy, and the nurse at once began to discharge her duties most faithfully.	The child was very healthy, and the nurse at once began to discharge her duties most faithfully.
8142_3966_000020_000000	Hitherto Genji did not confide the story of his relations with the maiden of Akashi to Violet, but he thought he had better do so, as the matter might naturally reach her ears.	Hitherto Genji did not confide the story of his relations with the maiden of Akashi to Violet, but he thought he had better do so, as the matter might naturally reach her ears.
8142_3966_000020_000001	He now, therefore, informed her of all the circumstances, and of the birth of the child, saying, "If you feel any unpleasantness about the matter, I cannot blame you in any way.	He now, therefore, informed her of all the circumstances, and of the birth of the child, saying, "If you feel any unpleasantness about the matter, I cannot blame you in any way.
8142_3966_000020_000002	It was not the blessing which I desired.	It was not the blessing which I desired.
8142_3966_000020_000003	How greatly do I regret that in the quarter where I wished to see the heavenly gift, there is none, but see it in another, where there was no expectation. The child is merely a girl too, and I almost think that I need pay no further attention.	How greatly do I regret that in the quarter where I wished to see the heavenly gift, there is none, but see it in another, where there was no expectation. The child is merely a girl too, and I almost think that I need pay no further attention.
8142_3966_000020_000004	But this would make me heartless towards my undoubted offspring.	But this would make me heartless towards my undoubted offspring.
8142_3966_000020_000006	Can you assure me you will be so?" At these words Violet's face became red as crimson, but she did not lose her temper, and quietly replied:	Can you assure me you will be so?" At these words Violet's face became red as crimson, but she did not lose her temper, and quietly replied:
8142_3966_000021_000000	"Your saying this only makes me contemptible to myself, as I think my generosity may not yet be fully understood; but I should like to know when and where I could have learnt to be ungenerous."	"Your saying this only makes me contemptible to myself, as I think my generosity may not yet be fully understood; but I should like to know when and where I could have learnt to be ungenerous."
8142_3966_000022_000000	"These words sound too hard to me," said he.	"These words sound too hard to me," said he.
8142_3966_000022_000001	"How can you be so cruel to me?	"How can you be so cruel to me?
8142_3966_000022_000003	He felt sorry for her, and continued, "In my anxious thoughts about this child, I have some intentions which may be agreeable to you also, only I will not tell you too hastily, since, if I do so now, they might not be taken in a favorable light.	He felt sorry for her, and continued, "In my anxious thoughts about this child, I have some intentions which may be agreeable to you also, only I will not tell you too hastily, since, if I do so now, they might not be taken in a favorable light.
8142_3966_000022_000004	The attractions of the mother seem only to have arisen from the position in which she was placed.	The attractions of the mother seem only to have arisen from the position in which she was placed.
8142_3966_000022_000005	You must not think of the matter too seriously." He then briefly sketched her character and her skill in music.	You must not think of the matter too seriously." He then briefly sketched her character and her skill in music.
8142_3966_000022_000006	But on the part of Violet she could not but think that it was cruel to her to give away part of his heart, while her thoughts were with no one but him, and she was quite cast down for some time.	But on the part of Violet she could not but think that it was cruel to her to give away part of his heart, while her thoughts were with no one but him, and she was quite cast down for some time.
8142_3966_000023_000000	Genji tried to console her.	Genji tried to console her.
8142_3966_000024_000000	The fifth of May was the fiftieth day of the birth of the child, so Genji sent a messenger to Akashi a few days before the time when he would be expected.	The fifth of May was the fiftieth day of the birth of the child, so Genji sent a messenger to Akashi a few days before the time when he would be expected.
8142_3966_000024_000001	At Akashi the feast for the occasion was arranged with great pains, and the arrival of Genji's messenger was most opportune.	At Akashi the feast for the occasion was arranged with great pains, and the arrival of Genji's messenger was most opportune.
8142_3966_000025_000000	Let us now relate something about the Princess Wistaria.--Though she had become a nun, her title of ex-Empress had never been lost; and now the change in the reigning sovereign gave her fresh honors.	Let us now relate something about the Princess Wistaria.--Though she had become a nun, her title of ex Empress had never been lost; and now the change in the reigning sovereign gave her fresh honors.
8142_3966_000025_000001	She had been recognized as equivalent to an Empress-regnant who had abdicated.	She had been recognized as equivalent to an Empress regnant who had abdicated.
8142_3966_000025_000002	A liberal allowance was granted to her, and a becoming household was established for her private use.	A liberal allowance was granted to her, and a becoming household was established for her private use.
8142_3966_000025_000003	She, however, still continued her devotion to religion, now and then coming to Court to see her son, where she was received with all cordiality; so that her rival, the mother of the ex-Emperor, whose influence was overwhelming till lately, now began to feel like one to whom the world had become irksome.	She, however, still continued her devotion to religion, now and then coming to Court to see her son, where she was received with all cordiality; so that her rival, the mother of the ex Emperor, whose influence was overwhelming till lately, now began to feel like one to whom the world had become irksome.
8142_3966_000027_000000	In August, of this year, the daughter of Gon-Chiunagon (formerly To-no-Chiujio) was introduced at Court.	In August, of this year, the daughter of Gon Chiunagon (formerly To no Chiujio) was introduced at Court.
8142_3966_000027_000001	She took up her abode in the Kokiden, which had been formerly occupied by her maternal aunt, and she was also styled from this time the Niogo of Kokiden.	She took up her abode in the Kokiden, which had been formerly occupied by her maternal aunt, and she was also styled from this time the Niogo of Kokiden.
8142_3966_000027_000003	What will he eventually do about this matter?	What will he eventually do about this matter?
8142_3966_000028_000000	In the same autumn Genji went to the Temple of Sumiyoshi to fulfil his vows.	In the same autumn Genji went to the Temple of Sumiyoshi to fulfil his vows.
8142_3966_000028_000001	His party consisted of many young nobles and Court retainers, besides his own private attendants.	His party consisted of many young nobles and Court retainers, besides his own private attendants.
8142_3966_000029_000000	By a coincidence the maiden of Akashi, who had been prevented from coming to the Temple since the last year, happened to arrive there on the same day.	By a coincidence the maiden of Akashi, who had been prevented from coming to the Temple since the last year, happened to arrive there on the same day.
8142_3966_000029_000001	Her party travelled in a boat, and when it reached the beach they saw the procession of Genji's party crossing before them. They did not know what procession it was, and asked the bystanders about it, who, in return, asked them sarcastically, "Can there be anyone who does not know of the coming of Naidaijin, the Prince Genji, here to-day to fulfil his vows?"	Her party travelled in a boat, and when it reached the beach they saw the procession of Genji's party crossing before them. They did not know what procession it was, and asked the bystanders about it, who, in return, asked them sarcastically, "Can there be anyone who does not know of the coming of Naidaijin, the Prince Genji, here to day to fulfil his vows?"
8142_3966_000030_000000	Most of the young nobles were on horseback, with beautifully made saddles; and others, including Ukon-no-Jio, Yoshikiyo, and Koremitz, in fine uniforms of different colors (blue, green, or scarlet), according to their different ranks, formed the procession, contrasting with the hue of the range of pine-trees on both sides of the road.	Most of the young nobles were on horseback, with beautifully made saddles; and others, including Ukon no Jio, Yoshikiyo, and Koremitz, in fine uniforms of different colors (blue, green, or scarlet), according to their different ranks, formed the procession, contrasting with the hue of the range of pine trees on both sides of the road.
8142_3966_000031_000000	Genji was in a carriage, which was followed by ten boy pages, granted by the Court in the same way as a late Sadaijin, Kawara, had been honored.	Genji was in a carriage, which was followed by ten boy pages, granted by the Court in the same way as a late Sadaijin, Kawara, had been honored.
8142_3966_000031_000001	They were dressed in admirable taste, and their hair was twisted up in the form of a double knot, with ribbons of gorgeous purple.	They were dressed in admirable taste, and their hair was twisted up in the form of a double knot, with ribbons of gorgeous purple.
8142_3966_000031_000002	The young Genji was also in the procession on horseback, and followed the carriage.	The young Genji was also in the procession on horseback, and followed the carriage.
8142_3966_000032_000000	The maiden of Akashi witnessed the procession, but she avoided making herself known.	The maiden of Akashi witnessed the procession, but she avoided making herself known.
8142_3966_000032_000002	As to Genji, he knew nothing of the maiden being a spectator of the procession, and spent the whole night in the Temple with his party in performing services which might please the God.	As to Genji, he knew nothing of the maiden being a spectator of the procession, and spent the whole night in the Temple with his party in performing services which might please the God.
8142_3966_000033_000001	On the morrow Genji and his party set off for their homes.	On the morrow Genji and his party set off for their homes.
8142_3966_000033_000002	As they proceeded Genji hummed,	As they proceeded Genji hummed,
8142_3966_000035_000000	and he stopped, while contemplating the bay.	and he stopped, while contemplating the bay.
8142_3966_000036_000000	"Divinely led by love's bright flame, To this lone temple's shrine we come; And as yon beacon meets our eye, To dream, perchance, of days gone by."	"Divinely led by love's bright flame, To this lone temple's shrine we come; And as yon beacon meets our eye, To dream, perchance, of days gone by."
8142_3966_000037_000002	Her health, however, began to fail, and she became a nun, and after some time died.	Her health, however, began to fail, and she became a nun, and after some time died.
8142_3966_000037_000003	Before her death Genji visited her, and with her last breath she consigned her daughter to his care.	Before her death Genji visited her, and with her last breath she consigned her daughter to his care.
