2517_135227_000000_000000	I shuddered.	I shuddered.	false	0	0.93	-20
2517_135227_000013_000000	"I must go," said I, and I tried to rise.	"I must go," said I, and I tried to rise.	false	411.39	415.09	22.524586
2517_135227_000014_000000	"Don't move," she said, "for your life!	"Don't move," she said, "for your life!	true	415.73	417.945	21.954203
2517_135227_000014_000001	We are lost if you move.	We are lost if you move.	true	417.945	419.7	23.536638
2517_135227_000014_000002	Keep still--restrain yourself--shut your eyes."	Keep still-restrain yourself-shut your eyes."	true	419.7	422.98	26.07076
2517_135227_000015_000000	I tried to do so, but could not.	I tried to do so, but could not.	true	423.47	425.62	23.21918
2517_135227_000015_000001	There was a horrible fascination about the scene which forced me to look and see all.	There was a horrible fascination about the scene which forced me to look and see all.	true	426.17	431.26	23.585672
2517_135227_000015_000002	The Kohen took the victim, and drawing it from the altar, threw it over the precipice to the ground beneath.	The Kohen took the victim, and drawing it from the altar, threw it over the precipice to the ground beneath.	true	431.84	438.09	24.671741
2517_135227_000015_000003	Then a loud shout burst forth from the great crowd.	Then a loud shout burst forth from the great crowd.	false	438.09	441.73	25.632668
2517_135227_000015_000004	"Sibgu Sibgin!	"Sibgu Sibgin!	true	442.46	444.1	21.573309
2517_135227_000015_000005	Ranenu!	Ranenu!	false	444.29	445.62	19.669632
2517_135227_000015_000006	Hodu lecosck!" which means, "Sacrifice the victims!	Hodu lecosck!" which means, "Sacrifice the victims!	false	445.62	450.225	24.933172
2517_135227_000015_000007	Rejoice!	Rejoice!	true	450.225	451.12	22.702196
2517_135227_000015_000008	Give thanks to darkness!"	Give thanks to darkness!"	true	451.19	452.83	33.5187
2517_135227_000016_000000	Then another of the youths went forward amid the singing, and laid himself down to meet the same fate; and again the corpse was flung from the top of the pyramid, and again the shout arose.	Then another of the youths went forward amid the singing, and laid himself down to meet the same fate; and again the corpse was flung from the top of the pyramid, and again the shout arose.	true	453.62	465.04	21.812666
2517_135227_000016_000001	All the others came forward in the same manner.	All the others came forward in the same manner.	true	465.8	468.43	22.903255
2517_135227_000016_000002	Oh, horrible, horrible, thrice horrible spectacle!	Oh, horrible, horrible, thrice horrible spectacle!	true	468.71	472.63	22.536058
2517_135227_000016_000003	I do not remember how I endured it.	I do not remember how I endured it.	true	473.24	475.63	22.72859
2517_135227_000016_000004	I sat there with Almah, trying to restrain myself as she had entreated me, more for her sake than for my own, a prey to every feeling of horror, anguish, and despair.	I sat there with Almah, trying to restrain myself as she had entreated me, more for her sake than for my own, a prey to every feeling of horror, anguish, and despair.	false	476.18	487.75	25.019514
2517_135227_000016_000005	How it all ended I do not know, nor do I know how I got away from the place; for I only remember coming back to my senses in the lighted grotto, with Almah bending anxiously over me.	How it all ended I do not know, nor do I know how I got away from the place; for I only remember coming back to my senses in the lighted grotto, with Almah bending anxiously over me.	false	488.48	500.92	21.397581
2517_135227_000017_000000	After this there remained a dark mystery and an ever-present horror.	After this there remained a dark mystery and an ever present horror.	true	502.4	506.38	25.049158
2517_135227_000017_000001	I found myself among a people who were at once the gentlest of the human race and the most blood-thirsty--the kindest and the most cruel.	I found myself among a people who were at once the gentlest of the human race and the most blood thirsty-the kindest and the most cruel.	true	506.93	515.8	25.25236
2517_135227_000017_000002	This mild, amiable, and self-sacrificing Kohen, how was it possible that he should transform himself to a fiend incarnate?	This mild, amiable, and self sacrificing Kohen, how was it possible that he should transform himself to a fiend incarnate?	true	516.5	525.37	22.942238
2517_135227_000017_000003	And for me and for Almah, what possible hope could there be?	And for me and for Almah, what possible hope could there be?	true	526.19	530.02	25.267292
2517_135227_000017_000004	What fate might they have in reserve for us?	What fate might they have in reserve for us?	true	530.51	533.02	27.606476
2517_135227_000017_000005	Of what avail was all this profound respect, this incessant desire to please, this attention to our slightest wish, this comfort and luxury and splendor, this freedom of speech and action? Was it anything better than a mockery?	Of what avail was all this profound respect, this incessant desire to please, this attention to our slightest wish, this comfort and luxury and splendor, this freedom of speech and action? Was it anything better than a mockery?	true	533.63	549.34	22.7192
2517_135227_000017_000006	Might it not be the shallow kindness of the priest to the victim reserved for the sacrifice?	Might it not be the shallow kindness of the priest to the victim reserved for the sacrifice?	true	550.01	555.13	28.365303
2517_135227_000017_000007	Was it, after all, in any degree better than the kindness of the cannibal savages on those drear outer shores who received us with such hospitality, but only that they might destroy us at last?	Was it, after all, in any degree better than the kindness of the cannibal savages on those drear outer shores who received us with such hospitality, but only that they might destroy us at last?	true	555.71	568.69	21.9279
2517_135227_000017_000008	Might they not all belong to the same race, dwelling as they did in caverns, shunning the sunlight, and blending kindness with cruelty?	Might they not all belong to the same race, dwelling as they did in caverns, shunning the sunlight, and blending kindness with cruelty?	true	568.94	576.46	21.92909
2517_135227_000017_000009	It was an awful thought!	It was an awful thought!	true	576.77	578.38	25.291765
2517_135227_000018_000000	Yet I had one consolation.	Yet I had one consolation.	true	578.78	580.74	25.981064
2517_135227_000018_000001	Almah was with me, and so long as she was spared to me I could endure this life.	Almah was with me, and so long as she was spared to me I could endure this life.	false	580.74	586.27	22.857616
2517_135227_000018_000002	I tried for her sake to resist the feelings that were coming over me.	I tried for her sake to resist the feelings that were coming over me.	true	586.73	590.47	27.413134
2517_135227_000018_000003	I saw that she too was a prey to ever-deepening sadness.	I saw that she too was a prey to ever deepening sadness.	false	590.99	594.25	24.090553
2517_135227_000018_000004	She felt as I did, and this despair of soul might wreck her young life if there were no alleviation.	She felt as I did, and this despair of soul might wreck her young life if there were no alleviation.	true	594.77	601.45	23.799845
2517_135227_000018_000005	And so I sought to alleviate her distress and to banish her sadness.	And so I sought to alleviate her distress and to banish her sadness.	true	602.12	606.7	23.091228
2517_135227_000018_000006	The songs of these people had much impressed me; and one day, as I talked about this with Almah, she brought forth a musical instrument of peculiar shape, which was not unlike a guitar, though the shape was square and there were a dozen strings.	The songs of these people had much impressed me; and one day, as I talked about this with Almah, she brought forth a musical instrument of peculiar shape, which was not unlike a guitar, though the shape was square and there were a dozen strings.	false	607.34	622.6	24.016283
2517_135227_000018_000007	Upon this she played, singing at the same time some songs of a plaintive character.	Upon this she played, singing at the same time some songs of a plaintive character.	false	623.3	628.56	24.59762
2517_135227_000018_000008	An idea now occurred to me to have an instrument made according to my own plans, which should be nothing less than a violin.	An idea now occurred to me to have an instrument made according to my own plans, which should be nothing less than a violin.	false	628.56	636.97	25.629011
2517_135227_000018_000009	Almah was delighted at the proposal, and at once found a very clever workman, who under my direction succeeded in producing one which served my purpose well.	Almah was delighted at the proposal, and at once found a very clever workman, who under my direction succeeded in producing one which served my purpose well.	true	637.7	647.95	25.685123
2517_135227_000018_000010	I was a good violinist, and in this I was able to find solace for myself and for Almah for many a long hour.	I was a good violinist, and in this I was able to find solace for myself and for Almah for many a long hour.	true	648.62	656.44	20.142963
2517_135227_000019_000000	The first time that I played was memorable.	The first time that I played was memorable.	true	657.44	659.89	20.739357
2517_135227_000019_000001	As the tones floated through the air they caught the ears of those outside, and soon great numbers came into the apartment, listening in amazement and in rapt attention.	As the tones floated through the air they caught the ears of those outside, and soon great numbers came into the apartment, listening in amazement and in rapt attention.	false	660.26	670.87	25.500805
2517_135227_000019_000002	Even the painful light was disregarded in the pleasure of this most novel sensation, and I perceived that if the sense of sight was deficient among them, that of hearing was sufficiently acute. I played many times, and sometimes sang from among the songs of different nations; but those which these people liked best were the Irish and Scottish melodies--those matchless strains created by the genius of the Celtic race, and handed down from immemorial ages through long generations.	Even the painful light was disregarded in the pleasure of this most novel sensation, and I perceived that if the sense of sight was deficient among them, that of hearing was sufficiently acute. I played many times, and sometimes sang from among the songs of different nations; but those which these people liked best were the Irish and Scottish melodies-those matchless strains created by the genius of the Celtic race, and handed down from immemorial ages through long generations.	true	671.57	702.34	21.994629
2517_135227_000019_000003	In these there was nothing artificial, nothing transient.	In these there was nothing artificial, nothing transient.	true	702.98	706.63	21.813139
2517_135227_000019_000004	They were the utterance of the human heart, and in them there was that touch of nature which makes all men kin.	They were the utterance of the human heart, and in them there was that touch of nature which makes all men kin.	true	707.09	713.83	22.936565
2517_135227_000019_000005	These were the immortal passions which shall never cease to affect the soul of man, and which had power even here; the strains of love, of sadness, and of pathos were sweet and enticing to this gentle race; for in their mild manners and their outburst of cruelty they seemed to be not unlike the very race which had created this music, since the Celt is at once gentle and blood-thirsty.	These were the immortal passions which shall never cease to affect the soul of man, and which had power even here; the strains of love, of sadness, and of pathos were sweet and enticing to this gentle race; for in their mild manners and their outburst of cruelty they seemed to be not unlike the very race which had created this music, since the Celt is at once gentle and blood thirsty.	true	714.53	741.19	22.776556
2517_135227_000020_000000	I played "Tara," "Bonnie Doon," "The Last Rose of Summer," "The Land of the Leal," "Auld Lang Syne," "Lochaber." They stood entranced, listening with all their souls.	I played "Tara," "Bonnie Doon," "The Last Rose of Summer," "The Land of the Leal," "Auld Lang Syne," "Lochaber." They stood entranced, listening with all their souls.	true	742.16	755.05	21.823547
2517_135227_000020_000001	They seemed to hunger and thirst after this music, and the strains of the inspired Celtic race seemed to come to them like the revelation of the glory of heaven.	They seemed to hunger and thirst after this music, and the strains of the inspired Celtic race seemed to come to them like the revelation of the glory of heaven.	true	755.54	764.77	24.15341
2517_135227_000020_000002	Then I played more lively airs.	Then I played more lively airs.	true	765.59	767.53	20.789297
2517_135227_000020_000003	Some I played a second time, singing the words.	Some I played a second time, singing the words.	true	767.9	770.77	22.822618
2517_135227_000020_000004	They seemed eager to have the same one played often.	They seemed eager to have the same one played often.	true	771.35	774.25	25
2517_135227_000020_000005	At last a grisly thought came to me: it was that they would learn these sweet strains, and put their own words to them so as to use them at the awful sacrifices.	At last a grisly thought came to me: it was that they would learn these sweet strains, and put their own words to them so as to use them at the awful sacrifices.	true	774.86	785.23	24.163527
2517_135227_000020_000006	After that I would play no more.	After that I would play no more.	true	785.75	788.05	23.634285
2517_135227_000021_000000	It is a land of tender love and remorseless cruelty.	It is a land of tender love and remorseless cruelty.	true	788.12	791.32	22.802105
2517_135227_000021_000001	Music is all-powerful to awaken the one, but powerless to abate the other; and the eyes that weep over the pathetic strains of "Lochaber" can gaze without a tear upon the death-agonies of a slaughtered friend.	Music is all powerful to awaken the one, but powerless to abate the other; and the eyes that weep over the pathetic strains of "Lochaber" can gaze without a tear upon the death agonies of a slaughtered friend.	true	791.81	805.17	24.732435
2517_135227_000022_000000	CHAPTER XIII	CHAPTER thirteen	false	805.17	805.41	-20
2517_135227_000023_000000	THE AWFUL "MISTA KOSEK"	THE AWFUL "MISTA KOSEK"	false	805.41	805.89	-20
2517_135227_000024_000000	The terrible sacrifice marked the end of the light season.	The terrible sacrifice marked the end of the light season.	false	805.89	806.79	21.496067
2517_135227_000024_000001	The dark season had now begun, which would last for half the coming year.	The dark season had now begun, which would last for half the coming year.	false	806.79	807.18	22
2517_135227_000024_000002	No more sunlight would now be visible, save at first for a few joms, when at certain times the glare would be seen shooting up above the icy crests of the mountains.	No more sunlight would now be visible, save at first for a few joms, when at certain times the glare would be seen shooting up above the icy crests of the mountains.	false	807.18	808.08	23.908932
2517_135227_000024_000003	Now the people all moved out of the caverns into the stone houses on the opposite side of the terraces, and the busy throng transferred themselves and their occupations to the open air.	Now the people all moved out of the caverns into the stone houses on the opposite side of the terraces, and the busy throng transferred themselves and their occupations to the open air.	false	808.08	809.01	-20
2517_135227_000024_000004	This with them was the season of activity, when all their most important affairs were undertaken and carried out; the season, too, of enjoyment, when all the chief sports and festivals took place.	This with them was the season of activity, when all their most important affairs were undertaken and carried out; the season, too, of enjoyment, when all the chief sports and festivals took place.	false	809.01	809.91	-20
2517_135227_000024_000005	Then the outer world all awoke to life; the streets were thronged, fleets of galleys came forth from their moorings, and the sounds of labor and of pleasure, of toil and revelry, arose into the darkened skies.	Then the outer world all awoke to life; the streets were thronged, fleets of galleys came forth from their moorings, and the sounds of labor and of pleasure, of toil and revelry, arose into the darkened skies.	false	809.91	810.96	-20
2517_135227_000024_000006	Then the city was a city of the living, no longer silent, but full of bustle, and the caverns were frequented but little.	Then the city was a city of the living, no longer silent, but full of bustle, and the caverns were frequented but little.	false	810.96	811.59	-20
2517_135227_000024_000007	This cavern life was only tolerable during the light season, when the sun-glare was over the land; but now, when the beneficent and grateful darkness pervaded all things, the outer world was infinitely more agreeable.	This cavern life was only tolerable during the light season, when the sun glare was over the land; but now, when the beneficent and grateful darkness pervaded all things, the outer world was infinitely more agreeable.	false	811.59	812.61	-20
