2517_135227_000003_000000	CHAPTER XII	CHAPTER twelve
2517_135227_000008_000000	The scene was upon the semicircular terrace in front of the cavern, and we were seated upon a stone platform beside the chief portal.	The scene was upon the semicircular terrace in front of the cavern, and we were seated upon a stone platform beside the chief portal.
2517_135227_000008_000001	A vast crowd was gathered in front.	A vast crowd was gathered in front.
2517_135227_000008_000002	Before us arose the half-pyramid of which I have already spoken.	Before us arose the half pyramid of which I have already spoken.
2517_135227_000008_000003	The light was faint.	The light was faint.
2517_135227_000008_000004	It came from the disk of the sun, which was partly visible over the icy crest of the distant mountains.	It came from the disk of the sun, which was partly visible over the icy crest of the distant mountains.
2517_135227_000008_000005	Far away the sea was visible, rising high over the tops of the trees, while overhead the brighter stars were plainly discernible.	Far away the sea was visible, rising high over the tops of the trees, while overhead the brighter stars were plainly discernible.
2517_135227_000009_000000	The Kohen ascended the pyramid, and others followed.	The Kohen ascended the pyramid, and others followed.
2517_135227_000009_000001	At the base there was a crowd of men, with emaciated forms and faces, and coarse, squalid attire, who looked like the most abject paupers, and seemed the lowest in the land.	At the base there was a crowd of men, with emaciated forms and faces, and coarse, squalid attire, who looked like the most abject paupers, and seemed the lowest in the land.
2517_135227_000009_000002	As the Kohen reached the summit there arose a strange sound--a mournful, plaintive chant, which seemed to be sung chiefly by the paupers at the base of the pyramid.	As the Kohen reached the summit there arose a strange sound-a mournful, plaintive chant, which seemed to be sung chiefly by the paupers at the base of the pyramid.
2517_135227_000009_000003	The words of this chant I could not make out, but the melancholy strain affected me in spite of myself.	The words of this chant I could not make out, but the melancholy strain affected me in spite of myself.
2517_135227_000009_000004	There was no particular tune, and nothing like harmony; but the effect of so many voices uniting in this strain was very powerful and altogether indescribable.	There was no particular tune, and nothing like harmony; but the effect of so many voices uniting in this strain was very powerful and altogether indescribable.
2517_135227_000009_000005	In the midst of this I saw the crowd parting asunder so as to make way for something; and through the passage thus formed I saw a number of youths in long robes, who advanced to the pyramid, singing as they went.	In the midst of this I saw the crowd parting asunder so as to make way for something; and through the passage thus formed I saw a number of youths in long robes, who advanced to the pyramid, singing as they went.
2517_135227_000009_000006	Then they ascended the steps, two by two, still singing, and at length reached the summit, where they arranged themselves in order.	Then they ascended the steps, two by two, still singing, and at length reached the summit, where they arranged themselves in order.
2517_135227_000009_000007	There were thirty of them and they arranged themselves in three rows of ten each, and as they stood they never ceased to sing, while the paupers below joined in the strain.	There were thirty of them and they arranged themselves in three rows of ten each, and as they stood they never ceased to sing, while the paupers below joined in the strain.
2517_135227_000010_000001	The light was a softened twilight glow.	The light was a softened twilight glow.
2517_135227_000010_000002	It was to be the last sight of the sun for six months, and this was the spectacle upon which he threw his parting beam.	It was to be the last sight of the sun for six months, and this was the spectacle upon which he threw his parting beam.
2517_135227_000010_000003	So the sun passed away, and then there came the beginning of the long dark season.	So the sun passed away, and then there came the beginning of the long dark season.
2517_135227_000010_000004	At first, however, there was rather twilight than darkness, and this twilight continued long.	At first, however, there was rather twilight than darkness, and this twilight continued long.
2517_135227_000010_000005	All this only served to heighten the effect of this striking scene; and as the light faded away, I looked with increasing curiosity upon the group at the top of the pyramid.	All this only served to heighten the effect of this striking scene; and as the light faded away, I looked with increasing curiosity upon the group at the top of the pyramid.
2517_135227_000010_000008	She said nothing, but looked at me with such an expression that I was filled with amazement.	She said nothing, but looked at me with such an expression that I was filled with amazement.
2517_135227_000010_000009	I saw in her face something like a dreadful anticipation--something that spoke of coming evil.	I saw in her face something like a dreadful anticipation-something that spoke of coming evil.
2517_135227_000011_000000	Those fears were but too well founded, for now the dread ceremony began.	Those fears were but too well founded, for now the dread ceremony began.
2517_135227_000011_000002	One of the youths came forward, stepped upon it, and lay down on his back with his head toward the Kohen.	One of the youths came forward, stepped upon it, and lay down on his back with his head toward the Kohen.
2517_135227_000011_000003	The mournful chant still went on.	The mournful chant still went on.
2517_135227_000011_000004	Then the Kohen raised his knife and plunged it into the heart of the youth.	Then the Kohen raised his knife and plunged it into the heart of the youth.
2517_135227_000012_000000	"Be firm," she said, "or we are both lost.	"Be firm," she said, "or we are both lost.
2517_135227_000014_000000	"Don't move," she said, "for your life!	"Don't move," she said, "for your life!
2517_135227_000014_000001	We are lost if you move.	We are lost if you move.
2517_135227_000014_000002	Keep still--restrain yourself--shut your eyes."	Keep still-restrain yourself-shut your eyes."
2517_135227_000015_000000	I tried to do so, but could not.	I tried to do so, but could not.
2517_135227_000015_000001	There was a horrible fascination about the scene which forced me to look and see all.	There was a horrible fascination about the scene which forced me to look and see all.
2517_135227_000015_000002	The Kohen took the victim, and drawing it from the altar, threw it over the precipice to the ground beneath.	The Kohen took the victim, and drawing it from the altar, threw it over the precipice to the ground beneath.
2517_135227_000015_000004	"Sibgu Sibgin!	"Sibgu Sibgin!
2517_135227_000015_000007	Rejoice!	Rejoice!
2517_135227_000015_000008	Give thanks to darkness!"	Give thanks to darkness!"
2517_135227_000016_000000	Then another of the youths went forward amid the singing, and laid himself down to meet the same fate; and again the corpse was flung from the top of the pyramid, and again the shout arose.	Then another of the youths went forward amid the singing, and laid himself down to meet the same fate; and again the corpse was flung from the top of the pyramid, and again the shout arose.
2517_135227_000016_000001	All the others came forward in the same manner.	All the others came forward in the same manner.
2517_135227_000016_000002	Oh, horrible, horrible, thrice horrible spectacle!	Oh, horrible, horrible, thrice horrible spectacle!
2517_135227_000016_000003	I do not remember how I endured it.	I do not remember how I endured it.
2517_135227_000017_000000	After this there remained a dark mystery and an ever-present horror.	After this there remained a dark mystery and an ever present horror.
2517_135227_000017_000001	I found myself among a people who were at once the gentlest of the human race and the most blood-thirsty--the kindest and the most cruel.	I found myself among a people who were at once the gentlest of the human race and the most blood thirsty-the kindest and the most cruel.
2517_135227_000017_000002	This mild, amiable, and self-sacrificing Kohen, how was it possible that he should transform himself to a fiend incarnate?	This mild, amiable, and self sacrificing Kohen, how was it possible that he should transform himself to a fiend incarnate?
2517_135227_000017_000003	And for me and for Almah, what possible hope could there be?	And for me and for Almah, what possible hope could there be?
2517_135227_000017_000004	What fate might they have in reserve for us?	What fate might they have in reserve for us?
2517_135227_000017_000005	Of what avail was all this profound respect, this incessant desire to please, this attention to our slightest wish, this comfort and luxury and splendor, this freedom of speech and action? Was it anything better than a mockery?	Of what avail was all this profound respect, this incessant desire to please, this attention to our slightest wish, this comfort and luxury and splendor, this freedom of speech and action? Was it anything better than a mockery?
2517_135227_000017_000006	Might it not be the shallow kindness of the priest to the victim reserved for the sacrifice?	Might it not be the shallow kindness of the priest to the victim reserved for the sacrifice?
2517_135227_000017_000007	Was it, after all, in any degree better than the kindness of the cannibal savages on those drear outer shores who received us with such hospitality, but only that they might destroy us at last?	Was it, after all, in any degree better than the kindness of the cannibal savages on those drear outer shores who received us with such hospitality, but only that they might destroy us at last?
2517_135227_000017_000008	Might they not all belong to the same race, dwelling as they did in caverns, shunning the sunlight, and blending kindness with cruelty?	Might they not all belong to the same race, dwelling as they did in caverns, shunning the sunlight, and blending kindness with cruelty?
2517_135227_000017_000009	It was an awful thought!	It was an awful thought!
2517_135227_000018_000000	Yet I had one consolation.	Yet I had one consolation.
2517_135227_000018_000002	I tried for her sake to resist the feelings that were coming over me.	I tried for her sake to resist the feelings that were coming over me.
2517_135227_000018_000004	She felt as I did, and this despair of soul might wreck her young life if there were no alleviation.	She felt as I did, and this despair of soul might wreck her young life if there were no alleviation.
2517_135227_000018_000005	And so I sought to alleviate her distress and to banish her sadness.	And so I sought to alleviate her distress and to banish her sadness.
2517_135227_000018_000009	Almah was delighted at the proposal, and at once found a very clever workman, who under my direction succeeded in producing one which served my purpose well.	Almah was delighted at the proposal, and at once found a very clever workman, who under my direction succeeded in producing one which served my purpose well.
2517_135227_000018_000010	I was a good violinist, and in this I was able to find solace for myself and for Almah for many a long hour.	I was a good violinist, and in this I was able to find solace for myself and for Almah for many a long hour.
2517_135227_000019_000000	The first time that I played was memorable.	The first time that I played was memorable.
2517_135227_000019_000003	In these there was nothing artificial, nothing transient.	In these there was nothing artificial, nothing transient.
2517_135227_000019_000004	They were the utterance of the human heart, and in them there was that touch of nature which makes all men kin.	They were the utterance of the human heart, and in them there was that touch of nature which makes all men kin.
2517_135227_000020_000000	I played "Tara," "Bonnie Doon," "The Last Rose of Summer," "The Land of the Leal," "Auld Lang Syne," "Lochaber." They stood entranced, listening with all their souls.	I played "Tara," "Bonnie Doon," "The Last Rose of Summer," "The Land of the Leal," "Auld Lang Syne," "Lochaber." They stood entranced, listening with all their souls.
2517_135227_000020_000001	They seemed to hunger and thirst after this music, and the strains of the inspired Celtic race seemed to come to them like the revelation of the glory of heaven.	They seemed to hunger and thirst after this music, and the strains of the inspired Celtic race seemed to come to them like the revelation of the glory of heaven.
2517_135227_000020_000002	Then I played more lively airs.	Then I played more lively airs.
2517_135227_000020_000003	Some I played a second time, singing the words.	Some I played a second time, singing the words.
2517_135227_000020_000004	They seemed eager to have the same one played often.	They seemed eager to have the same one played often.
2517_135227_000020_000005	At last a grisly thought came to me: it was that they would learn these sweet strains, and put their own words to them so as to use them at the awful sacrifices.	At last a grisly thought came to me: it was that they would learn these sweet strains, and put their own words to them so as to use them at the awful sacrifices.
2517_135227_000020_000006	After that I would play no more.	After that I would play no more.
2517_135227_000021_000000	It is a land of tender love and remorseless cruelty.	It is a land of tender love and remorseless cruelty.
2517_135227_000021_000001	Music is all-powerful to awaken the one, but powerless to abate the other; and the eyes that weep over the pathetic strains of "Lochaber" can gaze without a tear upon the death-agonies of a slaughtered friend.	Music is all powerful to awaken the one, but powerless to abate the other; and the eyes that weep over the pathetic strains of "Lochaber" can gaze without a tear upon the death agonies of a slaughtered friend.
