2254_152824_000000_000000	The Ballad of the Black Fox Skin	The Ballad of the Black Fox Skin	false	0.48	8.82	21.371365
2254_152824_000018_000000	Wherefore it was beyond all laws that lusts of man restrain, A man drank deep and sank to sleep never to wake again; And the Yukon swallowed through a hole the cold corpse of the slain.	Wherefore it was beyond all laws that lusts of man restrain, A man drank deep and sank to sleep never to wake again; And the Yukon swallowed through a hole the cold corpse of the slain.	true	299.09	315.36	21.194046
2254_152824_000019_000000	III.	three.	false	315.36	317.28	-6
2254_152824_000020_000000	The black fox skin a shadow cast from the roof nigh to the floor; And sleek it seemed and soft it gleamed, and the woman stroked it o'er; And the man stood by with a brooding eye, and gnashed his teeth and swore.	The black fox skin a shadow cast from the roof nigh to the floor; And sleek it seemed and soft it gleamed, and the woman stroked it o'er; And the man stood by with a brooding eye, and gnashed his teeth and swore.	true	317.28	334.21	20.509645
2254_152824_000021_000000	When thieves and thugs fall out and fight there's fell arrears to pay; And soon or late sin meets its fate, and so it fell one day That Claw-fingered Kitty and Windy Ike fanged up like dogs at bay.	When thieves and thugs fall out and fight there's fell arrears to pay; And soon or late sin meets its fate, and so it fell one day That Claw fingered Kitty and Windy Ike fanged up like dogs at bay.	true	335.09	351.58	21.968044
2254_152824_000022_000000	"The skin is mine, all mine," she cried; "I did the deed alone." "It's share and share with a guilt-yoked pair", he hissed in a pregnant tone; And so they snarled like malamutes over a mildewed bone.	"The skin is mine, all mine," she cried; "I did the deed alone." "It's share and share with a guilt yoked pair", he hissed in a pregnant tone; And so they snarled like malamutes over a mildewed bone.	false	352.04	368.41	20.21137
2254_152824_000023_000000	And so they fought, by fear untaught, till haply it befell One dawn of day she slipped away to Dawson town to sell The fruit of sin, this black fox skin that had made their lives a hell.	And so they fought, by fear untaught, till haply it befell One dawn of day she slipped away to Dawson town to sell The fruit of sin, this black fox skin that had made their lives a hell.	false	369.47	384.55	21
2254_152824_000024_000000	She slipped away as still he lay, she clutched the wondrous fur; Her pulses beat, her foot was fleet, her fear was as a spur; She laughed with glee, she did not see him rise and follow her.	She slipped away as still he lay, she clutched the wondrous fur; Her pulses beat, her foot was fleet, her fear was as a spur; She laughed with glee, she did not see him rise and follow her.	true	385.04	400.21	18
2254_152824_000025_000000	The bluffs uprear and grimly peer far over Dawson town; They see its lights a blaze o' nights and harshly they look down; They mock the plan and plot of man with grim, ironic frown.	The bluffs uprear and grimly peer far over Dawson town; They see its lights a blaze o' nights and harshly they look down; They mock the plan and plot of man with grim, ironic frown.	true	400.82	415.84	19
2254_152824_000026_000000	The trail was steep; 'twas at the time when swiftly sinks the snow; All honey-combed, the river ice was rotting down below; The river chafed beneath its rind with many a mighty throe.	The trail was steep; 'twas at the time when swiftly sinks the snow; All honey combed, the river ice was rotting down below; The river chafed beneath its rind with many a mighty throe.	true	416.24	429.64	18
2254_152824_000027_000000	And up the swift and oozy drift a woman climbed in fear, Clutching to her a black fox fur as if she held it dear; And hard she pressed it to her breast--then Windy Ike drew near.	And up the swift and oozy drift a woman climbed in fear, Clutching to her a black fox fur as if she held it dear; And hard she pressed it to her breast-then Windy Ike drew near.	false	429.98	444.16	20
2254_152824_000028_000000	She made no moan--her heart was stone--she read his smiling face, And like a dream flashed all her life's dark horror and disgrace; A moment only--with a snarl he hurled her into space.	She made no moan-her heart was stone-she read his smiling face, And like a dream flashed all her life's dark horror and disgrace; A moment only-with a snarl he hurled her into space.	true	445.04	460.36	19.786674
2254_152824_000029_000000	She rolled for nigh an hundred feet; she bounded like a ball; From crag to crag she carromed down through snow and timber fall; . . . A hole gaped in the river ice; the spray flashed--that was all.	She rolled for nigh an hundred feet; she bounded like a ball; From crag to crag she carromed down through snow and timber fall; . . . A hole gaped in the river ice; the spray flashed-that was all.	false	461.33	476.23	20.094524
2254_152824_000030_000000	A bird sang for the joy of spring, so piercing sweet and frail; And blinding bright the land was dight in gay and glittering mail; And with a wondrous black fox skin a man slid down the trail.	A bird sang for the joy of spring, so piercing sweet and frail; And blinding bright the land was dight in gay and glittering mail; And with a wondrous black fox skin a man slid down the trail.	true	477.2	493.2	21.737728
2254_152824_000031_000000	IV.	i v.	false	493.2	494.82	-4
2254_152824_000032_000000	A wedge-faced man there was who ran along the river bank, Who stumbled through each drift and slough, and ever slipped and sank, And ever cursed his Maker's name, and ever "hooch" he drank.	A wedge faced man there was who ran along the river bank, Who stumbled through each drift and slough, and ever slipped and sank, And ever cursed his Maker's name, and ever "hooch" he drank.	false	494.82	509.32	19
2254_152824_000033_000000	He travelled like a hunted thing, hard harried, sore distrest; The old grandmother moon crept out from her cloud-quilted nest; The aged mountains mocked at him in their primeval rest.	He travelled like a hunted thing, hard harried, sore distrest; The old grandmother moon crept out from her cloud quilted nest; The aged mountains mocked at him in their primeval rest.	false	509.66	524.14	20.745043
2254_152824_000034_000000	Grim shadows diapered the snow; the air was strangely mild; The valley's girth was dumb with mirth, the laughter of the wild; The still, sardonic laughter of an ogre o'er a child.	Grim shadows diapered the snow; the air was strangely mild; The valley's girth was dumb with mirth, the laughter of the wild; The still, sardonic laughter of an ogre o'er a child.	true	524.51	540.37	20.58812
2254_152824_000035_000000	The river writhed beneath the ice; it groaned like one in pain, And yawning chasms opened wide, and closed and yawned again; And sheets of silver heaved on high until they split in twain.	The river writhed beneath the ice; it groaned like one in pain, And yawning chasms opened wide, and closed and yawned again; And sheets of silver heaved on high until they split in twain.	false	540.44	555.52	20.751995
2254_152824_000036_000000	From out the road-house by the trail they saw a man afar Make for the narrow river-reach where the swift cross-currents are; Where, frail and worn, the ice is torn and the angry waters jar.	From out the road house by the trail they saw a man afar Make for the narrow river reach where the swift cross currents are; Where, frail and worn, the ice is torn and the angry waters jar.	true	556.58	572.38	19
2254_152824_000037_000000	But they did not see him crash and sink into the icy flow; They did not see him clinging there, gripped by the undertow, Clawing with bleeding finger-nails at the jagged ice and snow.	But they did not see him crash and sink into the icy flow; They did not see him clinging there, gripped by the undertow, Clawing with bleeding finger nails at the jagged ice and snow.	true	572.78	586.36	19
2254_152824_000038_000000	They found a note beside the hole where he had stumbled in: "Here met his fate by evil luck a man who lived in sin, And to the one who loves me least I leave this black fox skin."	They found a note beside the hole where he had stumbled in: "Here met his fate by evil luck a man who lived in sin, And to the one who loves me least I leave this black fox skin."	true	587.18	601.63	19.93017
2254_152824_000039_000000	And strange it is; for, though they searched the river all around, No trace or sign of black fox skin was ever after found; Though one man said he saw the tread of HOOFS deep in the ground.	And strange it is; for, though they searched the river all around, No trace or sign of black fox skin was ever after found; Though one man said he saw the tread of HOOFS deep in the ground.	false	602.09	627.99	20.69418
