2673_162130_000000_000000	CHAPTER XI	CHAPTER eleven	false	0.15	32.38	24.066513
2673_162130_000006_000005	To shake it off would mean not only to regain what has been lost by this particular enactment, but to forefend the infliction of similar outrages in the future.	To shake it off would mean not only to regain what has been lost by this particular enactment, but to forefend the infliction of similar outrages in the future.	false	530.39	541.15	23.401016
2673_162130_000006_000006	If it is allowed to stand, there is no telling in what quarter the next invasion of liberty will be made by fanatics possessed with the itch for perfection.	If it is allowed to stand, there is no telling in what quarter the next invasion of liberty will be made by fanatics possessed with the itch for perfection.	true	541.61	551.56	26.490606
2673_162130_000006_000007	I am not thinking of tobacco, or anything of the kind; twenty years from now, or fifty years from now, it may be religion, or some other domain of life which at the present moment seems free from the danger of attack.	I am not thinking of tobacco, or anything of the kind; twenty years from now, or fifty years from now, it may be religion, or some other domain of life which at the present moment seems free from the danger of attack.	false	552.08	567.12	23.570045
2673_162130_000006_000008	The time to call a halt is now; and the way to call a halt is to win back the ground that has already been lost.	The time to call a halt is now; and the way to call a halt is to win back the ground that has already been lost.	false	567.12	575.32	25.01564
2673_162130_000006_000009	To do that will be a splendid victory for all that we used to think of as American--for liberty, for individuality, for the freedom of each man to conduct his own life in his own way so long as he does not violate the rights of others, for the responsibility of each man for the evils he brings upon himself by the abuse of that freedom.	To do that will be a splendid victory for all that we used to think of as American-for liberty, for individuality, for the freedom of each man to conduct his own life in his own way so long as he does not violate the rights of others, for the responsibility of each man for the evils he brings upon himself by the abuse of that freedom.	true	575.9	600.73	24.158241
2673_162130_000006_000010	May the day be not far distant when we shall once more be a nation of sturdy freemen--not kept from mischief to ourselves by a paternal law copper-fastened in the Constitution, not watched like children by a host of guardians and spies and informers, but upstanding Americans loyally obedient to the Constitution, because living under a Constitution which a people of manly freemen can wholeheartedly respect and cherish.	May the day be not far distant when we shall once more be a nation of sturdy freemen-not kept from mischief to ourselves by a paternal law copper fastened in the Constitution, not watched like children by a host of guardians and spies and informers, but upstanding Americans loyally obedient to the Constitution, because living under a Constitution which a people of manly freemen can wholeheartedly respect and cherish.	false	601.16	632.92	23.689735
2673_162130_000007_000000	THE END	THE END	true	633.17	634.77	21.366161
2673_162130_000008_000000	***END OF THE PROJECT GUTENBERG EBOOK WHAT PROHIBITION HAS DONE TO AMERICA***	asterisk asterisk END OF THE PROJECT GUTENBERG EBOOK WHAT PROHIBITION HAS DONE TO AMERICA asterisk asterisk	false	634.77	643.35	22.472754
2673_162130_000009_000000	******* This file should be named 17417.txt or 17417.zip *******	asterisk asterisk asterisk asterisk asterisk asterisk asterisk This file should be named seventeen thousand four hundred seventeen dot t x t or seventeen thousand four hundred seventeen dot zip asterisk asterisk asterisk asterisk asterisk asterisk asterisk	false	643.35	644.46	19.045612
2673_162130_000010_000000	This and all associated files of various formats will be found in: http://www.gutenberg.org/dirs/1/7/4/1/17417	This and all associated files of various formats will be found in: h t t p colon slash slash w w w dot gutenberg dot org slash dirs slash one slash seven slash four slash one slash one seven four one seven	false	644.46	646.08	23.840773
