6188_73024_000001_000000	Chapter XVIII	Chapter eighteen
6188_73024_000009_000000	But Sir Hugh would admit of no delay, whereas Archie himself seemed to think that the iron was not yet quite hot enough for striking.	But Sir Hugh would admit of no delay, whereas Archie himself seemed to think that the iron was not yet quite hot enough for striking.
6188_73024_000009_000001	It would be better, he had suggested, to postpone the work till Julia could be coaxed down to Clavering in the Autumn.	It would be better, he had suggested, to postpone the work till Julia could be coaxed down to Clavering in the Autumn.
6188_73024_000009_000002	He could do the work better, he thought; down at Clavering than in London.	He could do the work better, he thought; down at Clavering than in London.
6188_73024_000009_000003	But Sir Hugh was altogether of a different opinion.	But Sir Hugh was altogether of a different opinion.
6188_73024_000009_000004	Though he had already asked his sister-in-law to Clavering, when the idea had first come up, he was glad that she had declined the visit.	Though he had already asked his sister in law to Clavering, when the idea had first come up, he was glad that she had declined the visit.
6188_73024_000009_000005	Her coming might be very well, if she accepted Archie; but he did not want to be troubled with any renewal of his responsibility respecting her, if, as was more probable, she should reject him.	Her coming might be very well, if she accepted Archie; but he did not want to be troubled with any renewal of his responsibility respecting her, if, as was more probable, she should reject him.
6188_73024_000009_000006	The world still looked askance at Lady Ongar, and Hugh did not wish to take up the armor of a paladin in her favor.	The world still looked askance at Lady Ongar, and Hugh did not wish to take up the armor of a paladin in her favor.
6188_73024_000009_000007	If Archie married her, Archie would be the paladin; though, indeed, in that case, no paladin would be needed.	If Archie married her, Archie would be the paladin; though, indeed, in that case, no paladin would be needed.
6188_73024_000010_000000	"She has only been a widow, you know, four months," said Archie, pleading for delay.	"She has only been a widow, you know, four months," said Archie, pleading for delay.
6188_73024_000010_000001	"It won't be delicate, will it?"	"It won't be delicate, will it?"
6188_73024_000011_000000	"Delicate!" said Sir Hugh.	"Delicate!" said Sir Hugh.
6188_73024_000011_000001	"I don't know whether there is much of delicacy in it at all."	"I don't know whether there is much of delicacy in it at all."
6188_73024_000012_000001	If you were to die, you'd think it very odd if any fellow came up to Hermy before the season was over.	If you were to die, you'd think it very odd if any fellow came up to Hermy before the season was over.
6188_73024_000013_000000	"Archie, you are a fool," said Sir Hugh; and Archie could see, by his brother's brow, that Hugh was angry.	"Archie, you are a fool," said Sir Hugh; and Archie could see, by his brother's brow, that Hugh was angry.
6188_73024_000013_000001	"You say things that, for folly and absurdity, are beyond belief.	"You say things that, for folly and absurdity, are beyond belief.
6188_73024_000014_000000	"She is peculiar, of course--having so much money, and that place near Guilford, all her own for her life.	"She is peculiar, of course-having so much money, and that place near Guilford, all her own for her life.
6188_73024_000014_000001	Of course it's peculiar.	Of course it's peculiar.
6188_73024_000015_000000	"If it had been four days it need have made no difference.	"If it had been four days it need have made no difference.
6188_73024_000015_000001	A home, with some one to support her, is everything to her.	A home, with some one to support her, is everything to her.
6188_73024_000015_000002	If you wait till lots of fellows are buzzing around her you won't have a chance.	If you wait till lots of fellows are buzzing around her you won't have a chance.
6188_73024_000015_000003	You'll find that by this time next year she'll be the top of the fashion; and if not engaged to you, she will be to some one else.	You'll find that by this time next year she'll be the top of the fashion; and if not engaged to you, she will be to some one else.
6188_73024_000017_000002	You have this great advantage over every one, except him, that you can go to her at once without doing anything out of the way.	You have this great advantage over every one, except him, that you can go to her at once without doing anything out of the way.
6188_73024_000017_000003	That girl that Harry has in tow may perhaps keep him away for some time."	That girl that Harry has in tow may perhaps keep him away for some time."
6188_73024_000018_000000	"I tell you what, Hugh, you might as well call with me the first time."	"I tell you what, Hugh, you might as well call with me the first time."
6188_73024_000019_000000	"So that I may quarrel with her, which I certainly should do--or, rather, she with me.	"So that I may quarrel with her, which I certainly should do-or, rather, she with me.
6188_73024_000019_000001	No, Archie; if you're afraid to go alone, you'd better give it up."	No, Archie; if you're afraid to go alone, you'd better give it up."
6188_73024_000020_000001	I'm not afraid!"	I'm not afraid!"
6188_73024_000021_000000	"She can't eat you.	"She can't eat you.
6188_73024_000021_000002	She knows what she is about, and will understand what she has to get as well as what she is expected to give.	She knows what she is about, and will understand what she has to get as well as what she is expected to give.
6188_73024_000021_000004	It couldn't be done, I suppose, till after a year; and in that case she shall be married at Clavering."	It couldn't be done, I suppose, till after a year; and in that case she shall be married at Clavering."
6188_73024_000022_000000	Here was a prospect for Julia Brabazon--to be led to the same altar, at which she had married Lord Ongar, by Archie Clavering, twelve month's after her first husband's death, and little more than two years after her first wedding!	Here was a prospect for Julia Brabazon-to be led to the same altar, at which she had married Lord Ongar, by Archie Clavering, twelve month's after her first husband's death, and little more than two years after her first wedding!
6188_73024_000025_000000	"Because I shouldn't like--"	"Because I shouldn't like-"
6188_73024_000026_000001	Judge not, that you be not judged."	Judge not, that you be not judged."
6188_73024_000027_000000	"Yes, that's true, to be sure," said Archie; and on that point he went forth satisfied.	"Yes, that's true, to be sure," said Archie; and on that point he went forth satisfied.
