6308_68358_000001_000000	CHAPTER XVI	CHAPTER sixteen
6308_68358_000009_000005	Here multiplied thousands took refuge during some of the memorable sieges that the city went through.	Here multiplied thousands took refuge during some of the memorable sieges that the city went through.
6308_68358_000010_000000	Not far away are the great vaults known as Solomon's Quarries.	Not far away are the great vaults known as Solomon's Quarries.
6308_68358_000010_000001	Here is where the massive stones were "made ready" and the master builder's plans were so perfect that, "there was neither hammer nor ax nor any tool of iron heard in the temple while it was in building." The marks of the mason's tools and the niches where their lamps were placed can be seen to this day.	Here is where the massive stones were "made ready" and the master builder's plans were so perfect that, "there was neither hammer nor ax nor any tool of iron heard in the temple while it was in building." The marks of the mason's tools and the niches where their lamps were placed can be seen to this day.
6308_68358_000010_000002	It is a remarkable fact that in sinking shafts alongside the temple wall, great stones have been discovered but no stone chips are found by them.	It is a remarkable fact that in sinking shafts alongside the temple wall, great stones have been discovered but no stone chips are found by them.
6308_68358_000011_000000	Jerusalem has several large churches the most noted of which is the one built over the traditional tomb of Christ.	Jerusalem has several large churches the most noted of which is the one built over the traditional tomb of Christ.
6308_68358_000011_000001	It is called the "Church of the Holy Sepulchre." For sixteen hundred years there was no question but what this tomb was the identical one in which the body of Christ was laid.	It is called the "Church of the Holy Sepulchre." For sixteen hundred years there was no question but what this tomb was the identical one in which the body of Christ was laid.
6308_68358_000011_000002	This church as it stands today is a magnificent building with two great entrances.	This church as it stands today is a magnificent building with two great entrances.
6308_68358_000011_000003	The sad thing about it is the fact that it is divided up into various chapels, each held by sects of so-called Christians, and a large-armed guard has to be kept in the church to keep these fanatical people from killing each other.	The sad thing about it is the fact that it is divided up into various chapels, each held by sects of so-called Christians, and a large armed guard has to be kept in the church to keep these fanatical people from killing each other.
6308_68358_000011_000004	Before soldiers were placed there, scenes of conflict and bloodshed were very common indeed--a sad spectacle for Jews and Moslems and other enemies of the Christ to gaze upon.	Before soldiers were placed there, scenes of conflict and bloodshed were very common indeed-a sad spectacle for Jews and Moslems and other enemies of the Christ to gaze upon.
6308_68358_000012_000000	In the Church of Pater Noster I counted the Lord's Prayer in thirty-two different languages inscribed on marble slabs so that almost any person from any country can read this prayer in his own language.	In the Church of Pater Noster I counted the Lord's Prayer in thirty two different languages inscribed on marble slabs so that almost any person from any country can read this prayer in his own language.
6308_68358_000012_000001	In this connection it is interesting to note that at the gate entrance to the Pool of Bethesda the scripture story of the healing of the impotent man is written, or rather inscribed, beneath the arch, in fifty-one different languages.	In this connection it is interesting to note that at the gate entrance to the Pool of Bethesda the scripture story of the healing of the impotent man is written, or rather inscribed, beneath the arch, in fifty one different languages.
6308_68358_000013_000000	One of the large churches in the city was dedicated by the ex-kaiser when he visited the city in 1898.	One of the large churches in the city was dedicated by the ex kaiser when he visited the city in eighteen ninety eight.
6308_68358_000013_000001	It was later found out that this German church was built for military purposes.	It was later found out that this German church was built for military purposes.
6308_68358_000013_000003	This self-appointed world ruler is represented on the ceiling of the chapel of a building on Mount Olivet in a companion panel with the Deity.	This self appointed world ruler is represented on the ceiling of the chapel of a building on Mount Olivet in a companion panel with the Deity.
6308_68358_000013_000004	In this same building the ex-kaiser is represented as a crusader by a figure and the Psalmist is painted with the moustache of a German general.	In this same building the ex kaiser is represented as a crusader by a figure and the Psalmist is painted with the moustache of a German general.
6308_68358_000013_000005	When the ex-kaiser entered the city of Jerusalem, a breach was made in the wall near the Jaffa Gate, so instead of entering through the gate like an ordinary mortal, he went in through a hole in the wall. He would no doubt be glad now to go through another "hole in the wall" to have his liberty.	When the ex kaiser entered the city of Jerusalem, a breach was made in the wall near the Jaffa Gate, so instead of entering through the gate like an ordinary mortal, he went in through a hole in the wall. He would no doubt be glad now to go through another "hole in the wall" to have his liberty.
6308_68358_000014_000000	To the writer, however, perhaps the most interesting place in or about the entire city is the Garden Tomb and Mount Calvary.	To the writer, however, perhaps the most interesting place in or about the entire city is the Garden Tomb and Mount Calvary.
6308_68358_000014_000001	This is almost north of the Damascus gate and on the great highway from Jerusalem from the north.	This is almost north of the Damascus gate and on the great highway from Jerusalem from the north.
6308_68358_000014_000002	Mount Calvary is only a small hill.	Mount Calvary is only a small hill.
6308_68358_000014_000004	It is said that no Jew cares to pass this place after night and if he passes it in daylight he will mutter a curse upon the memory of him who presumed to be the King of the Jews.	It is said that no Jew cares to pass this place after night and if he passes it in daylight he will mutter a curse upon the memory of him who presumed to be the King of the Jews.
6308_68358_000015_000000	Near this Skull Place is an old tomb that just fits the Bible narrative, viz: "Now in the place where he was crucified there was a garden, and in the garden a new sepulchre wherein never man was yet laid."	Near this Skull Place is an old tomb that just fits the Bible narrative, viz: "Now in the place where he was crucified there was a garden, and in the garden a new sepulchre wherein never man was yet laid."
6308_68358_000015_000001	This tomb was discovered many years ago by General Gordon and is often spoken of as Gordon's Tomb, also called the Garden Tomb.	This tomb was discovered many years ago by General Gordon and is often spoken of as Gordon's Tomb, also called the Garden Tomb.
6308_68358_000015_000002	When excavating about it a wall was found which proved to be a garden wall the end of which butts up against Mount Calvary.	When excavating about it a wall was found which proved to be a garden wall the end of which butts up against Mount Calvary.
6308_68358_000016_000000	One of the first things noted as the writer went into this tomb was the fact that it is a Jewish tomb.	One of the first things noted as the writer went into this tomb was the fact that it is a Jewish tomb.
6308_68358_000016_000001	They made their tombs different from those of any other people.	They made their tombs different from those of any other people.
6308_68358_000016_000002	That it was a "rich man's tomb" is also very certain, as is the fact that it dates back to the Herodian period in which Jesus lived.	That it was a "rich man's tomb" is also very certain, as is the fact that it dates back to the Herodian period in which Jesus lived.
6308_68358_000016_000003	There is also some frescoed work upon it showing that it was held sacred by the early Christians.	There is also some frescoed work upon it showing that it was held sacred by the early Christians.
6308_68358_000016_000004	Then the "rolling stone" and the groove in which it was placed is very interesting.	Then the "rolling stone" and the groove in which it was placed is very interesting.
6308_68358_000016_000005	This was something like a gigantic grindstone which rolled in the groove and was large enough to cover the opening when the tomb was closed.	This was something like a gigantic grindstone which rolled in the groove and was large enough to cover the opening when the tomb was closed.
6308_68358_000017_000000	While in and about Jerusalem the writer visited the famous "Upper Room," the "Jew's Wailing Place," the "Mosque of Omar," which stands upon the very spot where Solomon's Temple used to stand, the "Way of Sorrows," the "Ecco Homo Arch," the "Castle of Antonio," "Tower of David," the "Pool of Siloam," and a great many other interesting places.	While in and about Jerusalem the writer visited the famous "Upper Room," the "Jew's Wailing Place," the "Mosque of Omar," which stands upon the very spot where Solomon's Temple used to stand, the "Way of Sorrows," the "Ecco Homo Arch," the "Castle of Antonio," "Tower of David," the "Pool of Siloam," and a great many other interesting places.
