7555_105394_000000_000000	CHAPTER XV DOUBT	CHAPTER fifteen DOUBT	true	22.59	25.36	24.680237
7555_105394_000028_000001	Marguerite said "Farewell" to her distinguished host; many of her friends stopped her, as she crossed the rooms, to talk to her, and exchange pleasant AU REVOIRS.	Marguerite said "Farewell" to her distinguished host; many of her friends stopped her, as she crossed the rooms, to talk to her, and exchange pleasant AU r e v o i r s.	false	451.01	462.42	22.588465
7555_105394_000029_000000	The Minister only took final leave of beautiful Lady Blakeney on the top of the stairs; below, on the landing, a veritable army of gallant gentlemen were waiting to bid "Good-bye" to the queen of beauty and fashion, whilst outside, under the massive portico, Sir Percy's magnificent bays were impatient pawing the ground.	The Minister only took final leave of beautiful Lady Blakeney on the top of the stairs; below, on the landing, a veritable army of gallant gentlemen were waiting to bid "Good bye" to the queen of beauty and fashion, whilst outside, under the massive portico, Sir Percy's magnificent bays were impatient pawing the ground.	false	462.42	484.6	21.213692
7555_105394_000030_000000	At the top of the stairs, just after she had taken final leave of her host, she suddenly saw Chauvelin; he was coming up the stairs slowly, and rubbing his thin hands very softly together.	At the top of the stairs, just after she had taken final leave of her host, she suddenly saw Chauvelin; he was coming up the stairs slowly, and rubbing his thin hands very softly together.	false	485.6	498.31	20.965862
7555_105394_000031_000000	There was a curious look on his mobile face, partly amused and wholly puzzled, as his keen eyes met Marguerite's they became strangely sarcastic.	There was a curious look on his mobile face, partly amused and wholly puzzled, as his keen eyes met Marguerite's they became strangely sarcastic.	false	498.92	512.43	23.239214
7555_105394_000032_000000	"M.	"M.	false	512.43	513.975	11.172773
7555_105394_000032_000001	Chauvelin," she said, as he stopped on the top of the stairs, bowing elaborately before her, "my coach is outside; may I claim your arm?"	Chauvelin," she said, as he stopped on the top of the stairs, bowing elaborately before her, "my coach is outside; may I claim your arm?"	false	513.975	523.9	23.097225
7555_105394_000033_000000	As gallant as ever, he offered her his arm and led her downstairs.	As gallant as ever, he offered her his arm and led her downstairs.	true	525.2	529.96	19
7555_105394_000033_000001	The crowd was very great, some of the Minister's guests were departing, others were leaning against the banisters watching the throng as it filed up and down the wide staircase.	The crowd was very great, some of the Minister's guests were departing, others were leaning against the banisters watching the throng as it filed up and down the wide staircase.	true	530.57	542.26	21.427248
7555_105394_000034_000000	"Chauvelin," she said at last desperately, "I must know what has happened."	"Chauvelin," she said at last desperately, "I must know what has happened."	false	543.05	548.56	18.47988
7555_105394_000035_000000	"What has happened, dear lady?" he said, with affected surprise.	"What has happened, dear lady?" he said, with affected surprise.	true	550.1	555.04	25.916843
7555_105394_000035_000001	"Where? When?"	"Where? When?"	true	555.62	557.26	20.274172
7555_105394_000036_000000	"You are torturing me, Chauvelin.	"You are torturing me, Chauvelin.	true	558.14	560.04	20
7555_105394_000036_000001	I have helped you to-night . . . surely I have the right to know.	I have helped you to night . . . surely I have the right to know.	true	560.04	563.49	19
7555_105394_000036_000002	What happened in the dining-room at one o'clock just now?"	What happened in the dining room at one o'clock just now?"	true	563.49	566.65	22
7555_105394_000037_000000	She spoke in a whisper, trusting that in the general hubbub of the crowd her words would remain unheeded by all, save the man at her side.	She spoke in a whisper, trusting that in the general hubbub of the crowd her words would remain unheeded by all, save the man at her side.	true	567.14	575.92	20
7555_105394_000038_000000	"Quiet and peace reigned supreme, fair lady; at that hour I was asleep in one corner of one sofa and Sir Percy Blakeney in another."	"Quiet and peace reigned supreme, fair lady; at that hour I was asleep in one corner of one sofa and Sir Percy Blakeney in another."	false	576.74	587.01	21.885695
7555_105394_000039_000000	"Nobody came into the room at all?"	"Nobody came into the room at all?"	false	587.01	589.51	26.517773
7555_105394_000040_000000	"Nobody."	"Nobody."	true	590.36	591.25	25.613644
7555_105394_000041_000000	"Then we have failed, you and I?"	"Then we have failed, you and I?"	false	592.67	594.52	19.026196
7555_105394_000042_000000	"Yes! we have failed--perhaps . . ."	"Yes! we have failed-perhaps . . ."	true	595.79	599.59	23.2285
7555_105394_000043_000000	"But Armand?" she pleaded.	"But Armand?" she pleaded.	false	600.26	602.98	19.768778
7555_105394_000044_000000	"Ah! Armand St. Just's chances hang on a thread . . . pray heaven, dear lady, that that thread may not snap."	"Ah! Armand st Just's chances hang on a thread . . . pray heaven, dear lady, that that thread may not snap."	false	603.41	612.16	22.891842
7555_105394_000045_000000	"Chauvelin, I worked for you, sincerely, earnestly . . . remember . . ."	"Chauvelin, I worked for you, sincerely, earnestly . . . remember . . ."	true	612.95	618.07	22.207249
7555_105394_000046_000000	"I remember my promise," he said quietly.	"I remember my promise," he said quietly.	false	619.58	623.85	26.451588
7555_105394_000046_000001	"The day that the Scarlet Pimpernel and I meet on French soil, St. Just will be in the arms of his charming sister."	"The day that the Scarlet Pimpernel and I meet on French soil, st Just will be in the arms of his charming sister."	false	623.85	631.24	18
7555_105394_000047_000000	"Which means that a brave man's blood will be on my hands," she said, with a shudder.	"Which means that a brave man's blood will be on my hands," she said, with a shudder.	true	632.54	638.02	25.699451
7555_105394_000048_000000	"His blood, or that of your brother.	"His blood, or that of your brother.	true	639.02	641.2	19.10497
7555_105394_000048_000001	Surely at the present moment you must hope, as I do, that the enigmatical Scarlet Pimpernel will start for Calais to-day--"	Surely at the present moment you must hope, as I do, that the enigmatical Scarlet Pimpernel will start for Calais to day-"	true	641.3	649.3	23
7555_105394_000049_000000	"I am only conscious of one hope, citoyen."	"I am only conscious of one hope, citoyen."	true	650.33	653.62	18
7555_105394_000050_000000	"And that is?"	"And that is?"	true	654.86	656.02	21.558226
7555_105394_000051_000000	"That Satan, your master, will have need of you elsewhere, before the sun rises to-day."	"That Satan, your master, will have need of you elsewhere, before the sun rises to day."	false	656.96	664.02	21.065428
7555_105394_000052_000000	"You flatter me, citoyenne."	"You flatter me, citoyenne."	false	664.02	667.425	21.497156
7555_105394_000053_000000	She had detained him for a while, mid-way down the stairs, trying to get at the thoughts which lay beyond that thin, fox-like mask.	She had detained him for a while, mid-way down the stairs, trying to get at the thoughts which lay beyond that thin, fox like mask.	false	667.425	676.78	23.806374
7555_105394_000053_000001	But Chauvelin remained urbane, sarcastic, mysterious; not a line betrayed to the poor, anxious woman whether she need fear or whether she dared to hope.	But Chauvelin remained urbane, sarcastic, mysterious; not a line betrayed to the poor, anxious woman whether she need fear or whether she dared to hope.	true	676.91	690.82	21.077347
7555_105394_000054_000000	Downstairs on the landing she was soon surrounded.	Downstairs on the landing she was soon surrounded.	true	691.04	694.36	22.563686
7555_105394_000054_000001	Lady Blakeney never stepped from any house into her coach, without an escort of fluttering human moths around the dazzling light of her beauty.	Lady Blakeney never stepped from any house into her coach, without an escort of fluttering human moths around the dazzling light of her beauty.	true	694.55	703.63	18
7555_105394_000054_000002	But before she finally turned away from Chauvelin, she held out a tiny hand to him, with that pretty gesture of childish appeal which was essentially her own.	But before she finally turned away from Chauvelin, she held out a tiny hand to him, with that pretty gesture of childish appeal which was essentially her own.	false	704.54	715.15	20.63007
7555_105394_000054_000003	"Give me some hope, my little Chauvelin," she pleaded.	"Give me some hope, my little Chauvelin," she pleaded.	true	716.36	720.13	21.43786
7555_105394_000055_000000	With perfect gallantry he bowed over that tiny hand, which looked so dainty and white through the delicately transparent black lace mitten, and kissing the tips of the rosy fingers:--	With perfect gallantry he bowed over that tiny hand, which looked so dainty and white through the delicately transparent black lace mitten, and kissing the tips of the rosy fingers:--	false	721.01	733.9	24.380201
7555_105394_000056_000000	"Pray heaven that the thread may not snap," he repeated, with his enigmatic smile.	"Pray heaven that the thread may not snap," he repeated, with his enigmatic smile.	true	735.05	741.07	22.589508
7555_105394_000057_000000	And stepping aside, he allowed the moths to flutter more closely round the candle, and the brilliant throng of the JEUNESSE DOREE, eagerly attentive to Lady Blakeney's every movement, hid the keen, fox-like face from her view.	And stepping aside, he allowed the moths to flutter more closely round the candle, and the brilliant throng of the j e u n e s s e DOREE, eagerly attentive to Lady Blakeney's every movement, hid the keen, fox like face from her view.	false	742.19	762.12	22.620144
7555_105394_000058_000000	CHAPTER XVI RICHMOND	CHAPTER sixteen RICHMOND	false	762.12	762.87	26.715601
7555_105394_000059_000000	A few minutes later she was sitting, wrapped in cozy furs, near Sir Percy Blakeney on the box-seat of his magnificent coach, and the four splendid bays had thundered down the quiet street.	A few minutes later she was sitting, wrapped in cozy furs, near Sir Percy Blakeney on the box seat of his magnificent coach, and the four splendid bays had thundered down the quiet street.	false	762.87	772.41	23.045559
