7061_88086_000002_000000	A Basket of Fish	A Basket of Fish
7061_88086_000023_000000	The fox was surprised to find the trout lying scattered about the grass, some of them bitten and mangled.	The fox was surprised to find the trout lying scattered about the grass, some of them bitten and mangled.
7061_88086_000023_000001	What, then, was in the basket?	What, then, was in the basket?
7061_88086_000023_000002	What was the great owl trying to get at, when the precious fish were all spread out before her?	What was the great owl trying to get at, when the precious fish were all spread out before her?
7061_88086_000023_000005	He drew back hastily and sat down on his tail, ears cocked and head tilted to one side, to consider.	He drew back hastily and sat down on his tail, ears cocked and head tilted to one side, to consider.
7061_88086_000024_000001	But the fox did not want him to come out.	But the fox did not want him to come out.
7061_88086_000024_000003	By all means, let the mink stay in there.	By all means, let the mink stay in there.
7061_88086_000025_000001	But never for an instant did he take his eyes off that slightly moving lid. He lay with his feet gathered under him, every muscle ready for action, expecting each moment to find himself involved in a desperate battle for the prize he was enjoying.	But never for an instant did he take his eyes off that slightly moving lid. He lay with his feet gathered under him, every muscle ready for action, expecting each moment to find himself involved in a desperate battle for the prize he was enjoying.
7061_88086_000025_000002	He could not imagine a fiery-tempered personage like the mink tamely submitting to the rape of his banquet.	He could not imagine a fiery tempered personage like the mink tamely submitting to the rape of his banquet.
7061_88086_000026_000004	There is no peace counsellor like a contented belly.	There is no peace counsellor like a contented belly.
7061_88086_000027_000000	The fox, having swallowed as much as he could hold, stood up, stretched himself, and licked his chaps.	The fox, having swallowed as much as he could hold, stood up, stretched himself, and licked his chaps.
7061_88086_000027_000001	The look which he kept upon the basket was no less vigilant than before, but there was now a tinge of scorn in it.	The look which he kept upon the basket was no less vigilant than before, but there was now a tinge of scorn in it.
7061_88086_000027_000002	There were still some trout left, but he wanted to get away.	There were still some trout left, but he wanted to get away.
7061_88086_000027_000003	He snatched up the two biggest fish in his jaws and trotted off with them to the woods, glancing back over his shoulder as he went.	He snatched up the two biggest fish in his jaws and trotted off with them to the woods, glancing back over his shoulder as he went.
7061_88086_000028_000002	But the fox had no thought of returning.	But the fox had no thought of returning.
7061_88086_000029_000000	The mink stuffed himself till he could not get another mouthful down. There were still a couple of trout untouched.	The mink stuffed himself till he could not get another mouthful down. There were still a couple of trout untouched.
7061_88086_000029_000004	At a deliberate pace, quite unlike his usual eager and darting movements, he made off down the clearing toward the water.	At a deliberate pace, quite unlike his usual eager and darting movements, he made off down the clearing toward the water.
7061_88086_000029_000005	Beneath the bank was an old musquash hole which he was well acquainted with.	Beneath the bank was an old musquash hole which he was well acquainted with.
