329_862_000001_000000	CHAPTER X: A PLACE OF REFUGE	CHAPTER ten: A PLACE OF REFUGE
329_862_000039_000001	There was a forward movement of the little crowd, and Walter and Ralph closed in to their midst.	There was a forward movement of the little crowd, and Walter and Ralph closed in to their midst.
329_862_000039_000002	The gates were opened, and without any question the villagers passed out, and the gates were shut instantly behind them.	The gates were opened, and without any question the villagers passed out, and the gates were shut instantly behind them.
329_862_000040_000003	They were, too, dog-tired, and were asleep a few minutes after they lay down.	They were, too, dog tired, and were asleep a few minutes after they lay down.
329_862_000042_000000	"I feel ravenous too, Ralph, but there is no help for it.	"I feel ravenous too, Ralph, but there is no help for it.
329_862_000042_000002	Draw your belt an inch or two tighter, it will help to keep out the wolf."	Draw your belt an inch or two tighter, it will help to keep out the wolf."
329_862_000043_000001	It was well that it was no further, for both were so exhausted from want of food that they could with difficulty drag their legs along.	It was well that it was no further, for both were so exhausted from want of food that they could with difficulty drag their legs along.
329_862_000044_000001	Sir Walter had just risen, and was delighted at the sight of his esquire.	Sir Walter had just risen, and was delighted at the sight of his esquire.
329_862_000045_000000	"I had given you up for dead," he exclaimed.	"I had given you up for dead," he exclaimed.
329_862_000045_000001	"By what miracle could you have escaped?	"By what miracle could you have escaped?
329_862_000046_000000	"I have with me only my faithful follower Ralph Smith, who is below; but, Sir Walter, for mercy's sake order that some food be placed before us, or we shall have escaped from the French only to die of hunger here. We have tasted nought since the attack on Vannes began.	"I have with me only my faithful follower Ralph Smith, who is below; but, Sir Walter, for mercy's sake order that some food be placed before us, or we shall have escaped from the French only to die of hunger here. We have tasted nought since the attack on Vannes began.
329_862_000046_000001	Have any beside us escaped?"	Have any beside us escaped?"
329_862_000048_000000	In a few minutes a cold capon, several manchets of bread, and a stoop of wine were placed before Walter, while Ralph's wants were attended to below.	In a few minutes a cold capon, several manchets of bread, and a stoop of wine were placed before Walter, while Ralph's wants were attended to below.
329_862_000050_000000	All present joined in expressions of praise at the lad's coolness and presence of mind.	All present joined in expressions of praise at the lad's coolness and presence of mind.
329_862_000053_000002	In the meantime Edward opened negotiations with many of the Breton lords, who, seeing that such powerful aid had arrived for the cause of the Countess of Montford, were easily persuaded to change sides.	In the meantime Edward opened negotiations with many of the Breton lords, who, seeing that such powerful aid had arrived for the cause of the Countess of Montford, were easily persuaded to change sides.
329_862_000054_000001	Uniting their forces they advanced towards the town.	Uniting their forces they advanced towards the town.
329_862_000054_000002	Before the force of the French, 40,000 strong, the Earl of Norfolk had fallen back and rejoined the king, but even after this junction the French forces exceeded those of Edward fourfold.	Before the force of the French, forty thousand strong, the Earl of Norfolk had fallen back and rejoined the king, but even after this junction the French forces exceeded those of Edward fourfold.
329_862_000056_000002	It was agreed that the truce should embrace not only the sovereigns, but all the adherents of each of them.	It was agreed that the truce should embrace not only the sovereigns, but all the adherents of each of them.
329_862_000060_000000	The time now for a while passed very quietly.	The time now for a while passed very quietly.
329_862_000060_000002	Walter learned to bear himself well on horseback and to tilt in the ring.	Walter learned to bear himself well on horseback and to tilt in the ring.
329_862_000060_000003	He was already a skilful swordsman, but he spared no pains to improve himself with his weapons.	He was already a skilful swordsman, but he spared no pains to improve himself with his weapons.
