329_862_000000_000000	"The outlook is bad, Walter," Sir John Powis said.	"The outlook is bad, Walter," Sir john Powis said.	false	0	1.02	26.057562
329_862_000004_000000	Descending from the wall the party made their way through the streets. The French were already in the town; every house was closed and barred, and from the upper windows the burghers hurled down stones and bricks upon the fugitives, while parties of the French soldiers fell upon them fiercely.	Descending from the wall the party made their way through the streets. The French were already in the town; every house was closed and barred, and from the upper windows the burghers hurled down stones and bricks upon the fugitives, while parties of the French soldiers fell upon them fiercely.	true	102.68	119.11	19
329_862_000004_000001	Many threw down their arms and cried for quarter, but were instantly slain.	Many threw down their arms and cried for quarter, but were instantly slain.	true	119.24	124.33	19
329_862_000005_000000	For a while the streets were a scene of wild confusion; here and there little knots of Englishmen stood together and defended themselves until the last, others ran through the streets chased by their exulting foes, some tried in vain to gain shelter in the houses.	For a while the streets were a scene of wild confusion; here and there little knots of Englishmen stood together and defended themselves until the last, others ran through the streets chased by their exulting foes, some tried in vain to gain shelter in the houses.	false	124.76	140.71	17
329_862_000005_000001	Sir John Powis's band was soon broken and scattered, and their leader slain by a heavy stone from a housetop.	Sir john Powis's band was soon broken and scattered, and their leader slain by a heavy stone from a housetop.	true	140.78	147.4	18
329_862_000005_000002	Walter fought his way blindly forward towards the castle although he well knew that no refuge would be found there.	Walter fought his way blindly forward towards the castle although he well knew that no refuge would be found there.	true	147.71	154.12	18
329_862_000005_000003	Ralph Smith kept close beside him, levelling many of his assailants with the tremendous blows of a huge mace.	Ralph Smith kept close beside him, levelling many of his assailants with the tremendous blows of a huge mace.	true	154.67	161.2	17
329_862_000005_000004	Somehow, Walter hardly knew how, they made their way through their assailants and dashed in at the castle gate.	Somehow, Walter hardly knew how, they made their way through their assailants and dashed in at the castle gate.	true	161.27	167.86	15
329_862_000005_000005	A crowd of their assailants were close upon their heels.	A crowd of their assailants were close upon their heels.	true	167.9	170.89	18
329_862_000005_000006	Walter glanced round; dashing across the courtyard he ran through some passages into an inner yard, in which, as he knew, was the well.	Walter glanced round; dashing across the courtyard he ran through some passages into an inner yard, in which, as he knew, was the well.	true	170.96	179.47	17
329_862_000005_000007	The bucket hung at the windlass.	The bucket hung at the windlass.	true	180.14	182.44	24.701931
329_862_000006_000000	"Catch hold, Ralph!" he exclaimed; "there is just a chance, and we may as well be drowned as killed." They grasped the rope and jumped off.	"Catch hold, Ralph!" he exclaimed; "there is just a chance, and we may as well be drowned as killed." They grasped the rope and jumped off.	false	182.87	191.625	21.083233
329_862_000006_000001	The bucket began to descend with frightful velocity.	The bucket began to descend with frightful velocity.	true	191.625	194.67	17
329_862_000006_000002	Faster and faster it went and yet it seemed a long time before they plunged into the water, which was nigh a hundred feet below the surface.	Faster and faster it went and yet it seemed a long time before they plunged into the water, which was nigh a hundred feet below the surface.	true	194.67	203.56	18
329_862_000006_000003	Fortunately the rope was considerably longer than was necessary, and they sank many feet into the water, still retaining their hold.	Fortunately the rope was considerably longer than was necessary, and they sank many feet into the water, still retaining their hold.	true	203.69	211.65	18
329_862_000006_000004	Then clinging to the rope they hauled themselves to the surface.	Then clinging to the rope they hauled themselves to the surface.	false	211.65	216.25	22
329_862_000007_000000	"We cannot hold on here five minutes," Ralph exclaimed, "my armour is dragging me down."	"We cannot hold on here five minutes," Ralph exclaimed, "my armour is dragging me down."	false	216.38	222.28	19
329_862_000008_000000	"We will soon get rid of that," Walter said.	"We will soon get rid of that," Walter said.	true	222.59	225.67	19.265491
329_862_000009_000000	"There go our helmets; now I will hold on with one hand and help you to unbuckle your breast and back pieces; you do the same for me."	"There go our helmets; now I will hold on with one hand and help you to unbuckle your breast and back pieces; you do the same for me."	true	225.74	235.27	16
329_862_000010_000000	With great efforts they managed to rid themselves of their armour, and then held on with ease to the rope.	With great efforts they managed to rid themselves of their armour, and then held on with ease to the rope.	true	235.85	242.535	22
329_862_000010_000001	They hauled the bucket to the surface and tied a knot in the slack of the rope, so that the bucket hung four feet below the level of the water.	They hauled the bucket to the surface and tied a knot in the slack of the rope, so that the bucket hung four feet below the level of the water.	false	242.535	250.93	22
329_862_000010_000002	Putting their feet in this, they were able to stand with their heads above the surface without difficulty.	Putting their feet in this, they were able to stand with their heads above the surface without difficulty.	true	251.21	257.625	22.652735
329_862_000011_000000	"This is a nice fix," Ralph exclaimed.	"This is a nice fix," Ralph exclaimed.	true	257.625	260.82	21.766514
329_862_000011_000001	"I think it would have been just as well to have been killed at once.	"I think it would have been just as well to have been killed at once.	true	260.82	264.76	19
329_862_000011_000002	They are sure to find us here, and if they don't we shall die of cold before tomorrow morning."	They are sure to find us here, and if they don't we shall die of cold before tomorrow morning."	true	264.95	271.24	18
329_862_000012_000000	"I don't think they will find us," Walter said cheerfully.	"I don't think they will find us," Walter said cheerfully.	true	271.55	274.63	19.583944
329_862_000012_000001	"When they have searched the castle thoroughly it may occur to some of them that we have jumped down the well, but it will be no particular business of anyone to look for us, and they will all be too anxious to get at the wine butts to trouble their heads about the matter; besides, it must be a heavy job to wind up this bucket, and it is not likely there will be such urgent need of water that anyone will undertake the task."	"When they have searched the castle thoroughly it may occur to some of them that we have jumped down the well, but it will be no particular business of anyone to look for us, and they will all be too anxious to get at the wine butts to trouble their heads about the matter; besides, it must be a heavy job to wind up this bucket, and it is not likely there will be such urgent need of water that anyone will undertake the task."	false	274.91	301.78	18
329_862_000013_000000	"But we are no better off if they don't," Ralph remarked, "for we must die here if we are not hauled out.	"But we are no better off if they don't," Ralph remarked, "for we must die here if we are not hauled out.	true	301.85	309.06	21
329_862_000013_000001	I suppose you don't intend to try and climb that rope.	I suppose you don't intend to try and climb that rope.	true	309.06	312.405	16
329_862_000013_000002	I might do twenty feet or so on a pinch, but I could no more get up to the top there than I could fly."	I might do twenty feet or so on a pinch, but I could no more get up to the top there than I could fly."	false	312.405	319.44	21.383621
329_862_000014_000000	"We must think it over," Walter rejoined; "where there is a will there is a way, you know.	"We must think it over," Walter rejoined; "where there is a will there is a way, you know.	true	319.44	324.96	19
329_862_000014_000001	We will take it by turns to watch that little patch of light overhead; if we see anyone looking down we must leave the bucket and swim to the side without making the least noise.	We will take it by turns to watch that little patch of light overhead; if we see anyone looking down we must leave the bucket and swim to the side without making the least noise.	true	324.96	336.105	15
329_862_000014_000002	They may give a few turns of the windlass to see if anyone has hold of the rope below; be sure you do not make the slightest splashing or noise, for the sound would be heard above to a certainty."	They may give a few turns of the windlass to see if anyone has hold of the rope below; be sure you do not make the slightest splashing or noise, for the sound would be heard above to a certainty."	true	336.105	348.76	18
329_862_000015_000000	Ten minutes later they saw two heads appear above, and instantly withdrew their feet from the bucket and made a stroke to the side, which was but four feet distant, being careful as they did that no motion was imparted to the rope.	Ten minutes later they saw two heads appear above, and instantly withdrew their feet from the bucket and made a stroke to the side, which was but four feet distant, being careful as they did that no motion was imparted to the rope.	true	349.13	363.135	23.613853
329_862_000015_000001	Then though it was too dark to see anything, they heard the bucket lifted from the water.	Then though it was too dark to see anything, they heard the bucket lifted from the water.	true	363.135	367.93	20
329_862_000015_000002	A minute later it fell back again with a splash, then all was quiet.	A minute later it fell back again with a splash, then all was quiet.	true	368.12	372.58	23.723436
329_862_000016_000000	"We are safe now, and can take our place in the bucket.	"We are safe now, and can take our place in the bucket.	false	372.98	376.24	22.786541
329_862_000016_000001	They are satisfied that if we did jump down here we are drowned.	They are satisfied that if we did jump down here we are drowned.	true	376.25	380.28	19
329_862_000016_000002	And now we must think about climbing up."	And now we must think about climbing up."	true	380.28	382.98	21.67422
329_862_000017_000000	"Aye, that will require a good deal of thinking," Ralph grumbled.	"Aye, that will require a good deal of thinking," Ralph grumbled.	false	382.98	387.82	20.977901
329_862_000018_000000	For some time there was silence; then Walter said, "The first thing to do is to cut off the slack of the rope, there are some twelve feet of it.	For some time there was silence; then Walter said, "The first thing to do is to cut off the slack of the rope, there are some twelve feet of it.	true	387.95	396.73	19
329_862_000018_000001	Then we will unwind the strands of that.	Then we will unwind the strands of that.	true	396.83	399.31	17
329_862_000018_000002	There are five or six large strands as far as I can feel; we will cut them up into lengths of about a couple of feet and we ought to be able to tie these to the rope in such a way as not to slip down with our weight.	There are five or six large strands as far as I can feel; we will cut them up into lengths of about a couple of feet and we ought to be able to tie these to the rope in such a way as not to slip down with our weight.	false	399.38	412.99	17
329_862_000018_000003	If we tie them four feet apart we can go up step by step; I don't see much difficulty about that."	If we tie them four feet apart we can go up step by step; I don't see much difficulty about that."	true	413.09	420.67	20
329_862_000019_000000	"No," Ralph said much more cheerfully, "I should think that we could manage that."	"No," Ralph said much more cheerfully, "I should think that we could manage that."	false	420.86	426.76	19.932842
329_862_000020_000000	They at once set to work.	They at once set to work.	false	427.16	429.015	22.807852
329_862_000020_000001	The rope was cut up and unravelled, and the strands cut into pieces about two feet long.	The rope was cut up and unravelled, and the strands cut into pieces about two feet long.	true	429.015	434.7	22.589325
329_862_000020_000002	They then both set to work trying to discover some way of fastening it by which it would not slip down the rope.	They then both set to work trying to discover some way of fastening it by which it would not slip down the rope.	false	434.7	442.425	19
329_862_000020_000003	They made many fruitless attempts; each time that a strand was fastened with a loop large enough for them to pass a leg through, it slid down the rope when their weight was applied to it.	They made many fruitless attempts; each time that a strand was fastened with a loop large enough for them to pass a leg through, it slid down the rope when their weight was applied to it.	true	442.425	453.04	15
329_862_000020_000004	At last they succeeded in finding out a knot which would hold.	At last they succeeded in finding out a knot which would hold.	true	453.11	457.12	16
329_862_000020_000005	This was done by tying a knot close to one end of a piece of the strand, then sufficient was left to form the loop, and the remainder was wound round the rope in such a way that the weight only served to tighten its hold.	This was done by tying a knot close to one end of a piece of the strand, then sufficient was left to form the loop, and the remainder was wound round the rope in such a way that the weight only served to tighten its hold.	true	457.13	472.72	20
329_862_000021_000000	"Shall we begin at once?" Ralph said, when success was achieved.	"Shall we begin at once?" Ralph said, when success was achieved.	true	472.97	477.375	23
329_862_000022_000000	"No, we had better wait until nightfall.	"No, we had better wait until nightfall.	true	477.375	479.625	16
329_862_000022_000001	The vibration of the rope when our weight once gets on it might be noticed by anyone crossing the courtyard."	The vibration of the rope when our weight once gets on it might be noticed by anyone crossing the courtyard."	true	479.625	485.83	18
329_862_000023_000000	"Do you think we have sufficient bits of rope," Ralph asked.	"Do you think we have sufficient bits of rope," Ralph asked.	true	486.14	489.28	23.666319
329_862_000024_000000	"Just enough, I think," Walter replied; "there were six strands, and each has made six pieces, so we have thirty-six.	"Just enough, I think," Walter replied; "there were six strands, and each has made six pieces, so we have thirty six.	true	489.68	498.24	19
329_862_000024_000001	I know the well is about a hundred feet deep, for the other day I heard some of the soldiers who were drawing water grumbling over the labour required.	I know the well is about a hundred feet deep, for the other day I heard some of the soldiers who were drawing water grumbling over the labour required.	false	498.24	506.71	11
329_862_000024_000002	So if we put them three feet apart it will take thirty-three of them, which will leave three over; but we had better place them a little over a yard so as to make sure."	So if we put them three feet apart it will take thirty three of them, which will leave three over; but we had better place them a little over a yard so as to make sure."	false	506.72	518.32	22
329_862_000025_000000	In a short time the fading brightness of the circle of light far overhead told them that twilight had commenced, and shortly afterwards they attached the first strand to the rope some three feet above the water.	In a short time the fading brightness of the circle of light far overhead told them that twilight had commenced, and shortly afterwards they attached the first strand to the rope some three feet above the water.	true	518.54	531.07	20
329_862_000026_000000	"Now," Walter said, "I will go first, at any rate for a time.	"Now," Walter said, "I will go first, at any rate for a time.	true	531.08	535.905	21
329_862_000026_000001	I must put one leg through the loop, and sit, as it were, while I fasten the one above, as I shall want both hands for the work.	I must put one leg through the loop, and sit, as it were, while I fasten the one above, as I shall want both hands for the work.	false	535.905	544.83	18
329_862_000026_000002	You will find it a good deal easier to stand with your foot in the loop.	You will find it a good deal easier to stand with your foot in the loop.	true	544.83	548.985	18
329_862_000026_000003	If I get tired I will fasten another loop by the side of that on which I am resting, so you can come up and pass me.	If I get tired I will fasten another loop by the side of that on which I am resting, so you can come up and pass me.	true	548.985	557.02	15
329_862_000026_000004	There is no hurry.	There is no hurry.	true	557.18	558.405	16.695215
329_862_000026_000005	It ought not to take up above an hour, and it will not do for us to get to the top until the place becomes a little quiet.	It ought not to take up above an hour, and it will not do for us to get to the top until the place becomes a little quiet.	true	558.405	567.795	19
329_862_000026_000006	Tonight they are sure to be drinking and feasting over their victory until late."	Tonight they are sure to be drinking and feasting over their victory until late."	false	567.795	573.09	19.575102
329_862_000027_000000	They now set to work, and step by step mounted the rope.	They now set to work, and step by step mounted the rope.	true	573.09	577.05	25
329_862_000027_000001	They found the work less arduous than they had expected.	They found the work less arduous than they had expected.	true	577.05	580.08	20
329_862_000027_000002	The rope was dry, and the strands held tightly to it.	The rope was dry, and the strands held tightly to it.	false	580.08	582.85	18
329_862_000027_000003	Two or three times they changed places, resting in turn from the work; but in less than two hours from the time they made the first loop Walter's head and shoulders appeared above the level of the courtyard.	Two or three times they changed places, resting in turn from the work; but in less than two hours from the time they made the first loop Walter's head and shoulders appeared above the level of the courtyard.	false	583.07	595.09	16
329_862_000027_000004	He could hear sounds of shouting and singing within the castle, and knew that a great feast was going on.	He could hear sounds of shouting and singing within the castle, and knew that a great feast was going on.	true	595.25	600.94	15
329_862_000027_000005	Descending a step or two he held parley with Ralph.	Descending a step or two he held parley with Ralph.	true	601.01	604.36	21
329_862_000028_000000	"I think, perhaps, it will be better to sally out at once.	"I think, perhaps, it will be better to sally out at once.	false	604.49	608.11	17
329_862_000028_000001	Everyone is intent on his own pleasure, and we shall have no difficulty in slipping out of the castle unnoticed.	Everyone is intent on his own pleasure, and we shall have no difficulty in slipping out of the castle unnoticed.	true	608.15	614.62	16
329_862_000028_000002	All will be feasting and riot in the town, and so long as we do not brush against any one so that they may feel our wet garments we are little likely to be noticed; besides, the gates of the town will stand open late, for people from the villages round will have come in to join in the revels."	All will be feasting and riot in the town, and so long as we do not brush against any one so that they may feel our wet garments we are little likely to be noticed; besides, the gates of the town will stand open late, for people from the villages round will have come in to join in the revels."	false	614.78	633.58	16
329_862_000029_000000	"I am ready to try it, Master Walter," Ralph replied, "for I ache from head to foot with holding on to this rope.	"I am ready to try it, Master Walter," Ralph replied, "for I ache from head to foot with holding on to this rope.	true	633.83	641.355	23
329_862_000029_000001	The sooner the better, say I."	The sooner the better, say i"	true	641.355	643.12	14
329_862_000030_000000	In another minute both stood in the courtyard.	In another minute both stood in the courtyard.	true	643.67	646.21	24
329_862_000030_000001	It was a retired spot, and none were passing.	It was a retired spot, and none were passing.	true	646.22	649.24	23.175694
329_862_000030_000002	Going along the passage they issued into the main yard.	Going along the passage they issued into the main yard.	true	649.31	652.51	21
329_862_000030_000003	Here great fires were blazing, and groups of men sat round them drinking and shouting.	Here great fires were blazing, and groups of men sat round them drinking and shouting.	true	652.79	658.06	15
329_862_000030_000004	Many lay about in drunken sleep.	Many lay about in drunken sleep.	false	658.07	661	23.209589
329_862_000031_000000	"Stay where you are in the shade, Ralph.	"Stay where you are in the shade, Ralph.	true	661.16	663.765	15
329_862_000031_000001	You had best lie down by the foot of the wall.	You had best lie down by the foot of the wall.	true	663.765	666.12	16
329_862_000031_000002	Anyone who passes will think that you are in a drunken sleep.	Anyone who passes will think that you are in a drunken sleep.	true	666.12	670.305	19
329_862_000031_000003	I will creep forward and possess myself of the steel caps of two of these drunkards, and if I can get a couple of cloaks so much the better."	I will creep forward and possess myself of the steel caps of two of these drunkards, and if I can get a couple of cloaks so much the better."	true	670.305	678.55	17
329_862_000032_000000	There was no difficulty about the caps, and by dint of unbuckling the cloaks and rolling their wearers gently over, Walter succeeded at last in obtaining two of them.	There was no difficulty about the caps, and by dint of unbuckling the cloaks and rolling their wearers gently over, Walter succeeded at last in obtaining two of them.	true	679.28	688.93	18
329_862_000032_000001	He also picked up a sword for Ralph--his own still hung in its sheath--and then he joined his companion, and the two putting on the steel caps and cloaks walked quietly to the gate.	He also picked up a sword for Ralph-his own still hung in its sheath-and then he joined his companion, and the two putting on the steel caps and cloaks walked quietly to the gate.	true	689	700.3	21
329_862_000032_000002	There were none on guard, and they issued unmolested into the town.	There were none on guard, and they issued unmolested into the town.	true	700.55	704.71	18
329_862_000032_000003	Here all was revelry.	Here all was revelry.	true	705.08	706.78	18.907347
329_862_000032_000004	Bonfires blazed in the streets.	Bonfires blazed in the streets.	true	706.88	709.2	15
329_862_000032_000005	Hogsheads of wine, with the heads knocked out, stood before many of the houses for all to help themselves who wished.	Hogsheads of wine, with the heads knocked out, stood before many of the houses for all to help themselves who wished.	true	709.2	716.13	15
329_862_000032_000006	Drunken soldiers reeled along shouting snatches of songs, and the burghers in the highest state of hilarity thronged the ways.	Drunken soldiers reeled along shouting snatches of songs, and the burghers in the highest state of hilarity thronged the ways.	true	716.13	724.32	14
329_862_000033_000000	"First of all, Ralph, we will have a drink of wine, for I am chilled to the bone."	"First of all, Ralph, we will have a drink of wine, for I am chilled to the bone."	true	724.32	729.66	19
329_862_000034_000000	"Aye, and so am I," Ralph replied.	"Aye, and so am I," Ralph replied.	false	729.66	732.45	20.56798
329_862_000034_000001	"I got hot enough climbing that rope, but now the cold has got hold of me again, and my teeth are chattering in my head."	"I got hot enough climbing that rope, but now the cold has got hold of me again, and my teeth are chattering in my head."	true	732.45	740.02	14
329_862_000035_000000	Picking up one of the fallen vessels by a cask they dipped it in and took a long draught of wine; then, turning off from the principal streets, they made their way by quiet lanes down to one of the gates.	Picking up one of the fallen vessels by a cask they dipped it in and took a long draught of wine; then, turning off from the principal streets, they made their way by quiet lanes down to one of the gates.	false	740.6	756.13	17
329_862_000035_000001	To their dismay they found that this was closed.	To their dismay they found that this was closed.	true	756.47	759.735	17.88779
329_862_000035_000002	The French commanders knew that Sir Walter Manny or Salisbury might ere this be pressing forward to relieve the town, and that, finding that it had fallen, they might attempt to recapture it by a sudden attack.	The French commanders knew that Sir Walter Manny or Salisbury might ere this be pressing forward to relieve the town, and that, finding that it had fallen, they might attempt to recapture it by a sudden attack.	false	759.735	774.1	19
329_862_000035_000003	While permitting therefore the usual licence, after a successful assault, to the main body of their forces, they had placed a certain number of their best troops on the walls, giving them a handsome largess to make up for their loss of the festivities.	While permitting therefore the usual licence, after a successful assault, to the main body of their forces, they had placed a certain number of their best troops on the walls, giving them a handsome largess to make up for their loss of the festivities.	true	774.29	790.78	16
329_862_000036_000000	At first Walter and his friend feared that their retreat was cut off for the night, but several other people presently arrived, and the officer on guard said, coming out, "You must wait a while; the last batch have only just gone, and I cannot keep opening and closing the gate; in half an hour I will let you out."	At first Walter and his friend feared that their retreat was cut off for the night, but several other people presently arrived, and the officer on guard said, coming out, "You must wait a while; the last batch have only just gone, and I cannot keep opening and closing the gate; in half an hour I will let you out."	true	791.57	811.51	20
329_862_000037_000000	Before that time elapsed some fifty or sixty people, anxious to return to their villages, gathered round the gate.	Before that time elapsed some fifty or sixty people, anxious to return to their villages, gathered round the gate.	true	811.97	819.43	24.958076
329_862_000038_000000	"Best lay aside your steel cap, Ralph, before we join them," Walter said.	"Best lay aside your steel cap, Ralph, before we join them," Walter said.	true	819.62	824.41	22.730814
329_862_000038_000001	"In the dim light of that lamp none will notice that we have head-gear, but if it were to glint upon the steel cap the officer might take us for deserters and question us as to who we are."	"In the dim light of that lamp none will notice that we have head gear, but if it were to glint upon the steel cap the officer might take us for deserters and question us as to who we are."	true	824.48	838.66	20
329_862_000039_000000	Presently the officer came out from the guard-room again.	Presently the officer came out from the guard room again.	true	838.94	842.32	23.254076
329_862_000039_000001	There was a forward movement of the little crowd, and Walter and Ralph closed in to their midst.	There was a forward movement of the little crowd, and Walter and Ralph closed in to their midst.	true	842.51	849.1	22
329_862_000039_000002	The gates were opened, and without any question the villagers passed out, and the gates were shut instantly behind them.	The gates were opened, and without any question the villagers passed out, and the gates were shut instantly behind them.	true	849.11	856.66	25
329_862_000040_000000	Walter and his comrade at once started at a brisk pace and walked all night in the direction of Hennebon.	Walter and his comrade at once started at a brisk pace and walked all night in the direction of Hennebon.	false	856.76	863.74	20
329_862_000040_000001	Their clothes soon dried, and elated at their escape from danger they struggled on briskly.	Their clothes soon dried, and elated at their escape from danger they struggled on briskly.	true	864.44	870.16	19.802399
329_862_000040_000002	When morning broke they entered a wood, and lay there till evening, as they feared to continue their journey lest they might fall into the hands of some roving band of French horse.	When morning broke they entered a wood, and lay there till evening, as they feared to continue their journey lest they might fall into the hands of some roving band of French horse.	true	870.44	881.89	19
329_862_000040_000003	They were, too, dog-tired, and were asleep a few minutes after they lay down.	They were, too, dog tired, and were asleep a few minutes after they lay down.	true	882.32	887.5	20
329_862_000040_000004	The sun was setting when they awoke, and as soon as it was dark they resumed their journey.	The sun was setting when they awoke, and as soon as it was dark they resumed their journey.	true	887.57	893.17	15
329_862_000041_000000	"I don't know what you feel, Master Walter, but I am well-nigh famished. It is thirty-six hours since I swallowed a bit of food, just as the French were moving to the attack.	"I don't know what you feel, Master Walter, but I am well nigh famished. It is thirty six hours since I swallowed a bit of food, just as the French were moving to the attack.	false	893.72	906.67	21
329_862_000041_000001	Hard blows I don't mind--I have been used to it; but what with fighting, and being in the water for five or six hours, and climbing up that endless rope, and walking all night on an empty stomach, it does not suit me at all."	Hard blows I don't mind-I have been used to it; but what with fighting, and being in the water for five or six hours, and climbing up that endless rope, and walking all night on an empty stomach, it does not suit me at all."	false	906.71	923.2	19
329_862_000042_000000	"I feel ravenous too, Ralph, but there is no help for it.	"I feel ravenous too, Ralph, but there is no help for it.	true	923.57	927.855	25.231026
329_862_000042_000001	We shall eat nothing till we are within the walls of Hennebon, and that will be by daylight tomorrow if all goes well.	We shall eat nothing till we are within the walls of Hennebon, and that will be by daylight tomorrow if all goes well.	true	927.855	936.19	15
329_862_000042_000002	Draw your belt an inch or two tighter, it will help to keep out the wolf."	Draw your belt an inch or two tighter, it will help to keep out the wolf."	true	936.2	941.29	24.90441
329_862_000043_000000	They kept on all night, and in the morning saw to their delight the towers of Hennebon in the distance.	They kept on all night, and in the morning saw to their delight the towers of Hennebon in the distance.	true	942.53	948.52	18
329_862_000043_000001	It was well that it was no further, for both were so exhausted from want of food that they could with difficulty drag their legs along.	It was well that it was no further, for both were so exhausted from want of food that they could with difficulty drag their legs along.	true	948.65	957.88	22
329_862_000044_000000	Upon entering the town Walter made his way at once to the quarters of the leader.	Upon entering the town Walter made his way at once to the quarters of the leader.	true	957.89	962.865	16
329_862_000044_000001	Sir Walter had just risen, and was delighted at the sight of his esquire.	Sir Walter had just risen, and was delighted at the sight of his esquire.	true	962.865	967.27	21.179125
329_862_000045_000000	"I had given you up for dead," he exclaimed.	"I had given you up for dead," he exclaimed.	true	967.73	970.72	23.606148
329_862_000045_000001	"By what miracle could you have escaped?	"By what miracle could you have escaped?	true	970.85	973.29	23
329_862_000045_000002	Are you alone?"	Are you alone?"	false	973.29	974.59	20.607426
329_862_000046_000000	"I have with me only my faithful follower Ralph Smith, who is below; but, Sir Walter, for mercy's sake order that some food be placed before us, or we shall have escaped from the French only to die of hunger here. We have tasted nought since the attack on Vannes began.	"I have with me only my faithful follower Ralph Smith, who is below; but, Sir Walter, for mercy's sake order that some food be placed before us, or we shall have escaped from the French only to die of hunger here. We have tasted nought since the attack on Vannes began.	true	974.93	994.09	21
329_862_000046_000001	Have any beside us escaped?"	Have any beside us escaped?"	true	994.22	996.85	22.343746
329_862_000047_000000	"Lord Stafford contrived, with two or three others, to cut their way out by a postern-gate, bringing with them Robert of Artois, who is grievously wounded.	"Lord Stafford contrived, with two or three others, to cut their way out by a postern gate, bringing with them Robert of Artois, who is grievously wounded.	false	997.1	1007	21
329_862_000047_000001	None others, save you and your man-at-arms, have made their way here."	None others, save you and your man at arms, have made their way here."	true	1007	1011.61	12
329_862_000048_000000	In a few minutes a cold capon, several manchets of bread, and a stoop of wine were placed before Walter, while Ralph's wants were attended to below.	In a few minutes a cold capon, several manchets of bread, and a stoop of wine were placed before Walter, while Ralph's wants were attended to below.	true	1012.34	1023.31	21
329_862_000048_000001	When he had satisfied his hunger the young esquire related his adventures to Sir Walter and several other knights and nobles, who had by this time gathered in the room.	When he had satisfied his hunger the young esquire related his adventures to Sir Walter and several other knights and nobles, who had by this time gathered in the room.	false	1023.56	1033.33	16
329_862_000049_000000	"In faith, Master Somers, you have got well out of your scrape," Sir Walter exclaimed.	"In faith, Master Somers, you have got well out of your scrape," Sir Walter exclaimed.	false	1033.55	1040.08	23
329_862_000049_000001	"Had I been in your place I should assuredly have perished, for I would a thousand times rather meet death sword in hand, than drop down into the deep hole of that well.	"Had I been in your place I should assuredly have perished, for I would a thousand times rather meet death sword in hand, than drop down into the deep hole of that well.	true	1040.09	1051.87	15
329_862_000049_000002	And your brains served you shrewdly in devising a method of escape.	And your brains served you shrewdly in devising a method of escape.	true	1051.91	1056.22	12
329_862_000049_000003	What say you, gentlemen?"	What say you, gentlemen?"	true	1056.22	1057.87	18
