1289_288044_000002_000001	W. E. Barton, of Oak Park, is one of the ablest Congregational ministers in the West.	w e Barton, of Oak Park, is one of the ablest Congregational ministers in the West.
1289_288044_000029_000001	If the existence of such a country as Palestine proves that Jesus is real, the existence of Switzerland must prove that William Tell is historical; and the existence of an Athens must prove that Athene and Apollo really lived; and from the fact that there is an England, Rev. Shayler would prove that Robin Hood and his band really lived in 1160.	If the existence of such a country as Palestine proves that Jesus is real, the existence of Switzerland must prove that William Tell is historical; and the existence of an Athens must prove that Athene and Apollo really lived; and from the fact that there is an England, reverend Shayler would prove that Robin Hood and his band really lived in eleven sixty.
1289_288044_000031_000000	"A line of apostles and bishops coming right down from him by his appointment to Anderson of Chicago," shows that Jesus is historical. It does, but only to Episcopalians.	"A line of apostles and bishops coming right down from him by his appointment to Anderson of Chicago," shows that Jesus is historical. It does, but only to Episcopalians.
1289_288044_000031_000001	The Catholics and the other sects do not believe that Anderson is a descendant of Jesus.	The Catholics and the other sects do not believe that Anderson is a descendant of Jesus.
1289_288044_000031_000002	Did the priests of Baal or Moloch prove that these beings existed?	Did the priests of Baal or Moloch prove that these beings existed?
1289_288044_000033_000001	Your own church began with Henry the Eighth in 1534, with persecution and murder, when the king, his hands wet with the blood of his own wives and ministers, made himself the supreme head of the church in England.	Your own church began with Henry the Eighth in fifteen thirty four, with persecution and murder, when the king, his hands wet with the blood of his own wives and ministers, made himself the supreme head of the church in England.
1289_288044_000033_000003	Gibbon writes of Constantine that "the same year of his reign in which he convened the council of Nice was polluted by the execution, or rather murder, of his eldest son."	Gibbon writes of Constantine that "the same year of his reign in which he convened the council of Nice was polluted by the execution, or rather murder, of his eldest son."
1289_288044_000034_000000	But our clerical neighbor from Oak Park has one more argument: "Why is Sunday observed instead of Saturday?" Well, why?	But our clerical neighbor from Oak Park has one more argument: "Why is Sunday observed instead of Saturday?" Well, why?
1289_288044_000034_000003	If Jesus rose at all, he rose on a certain day, and the apostles must have known the date.	If Jesus rose at all, he rose on a certain day, and the apostles must have known the date.
1289_288044_000034_000004	Why then is there a different date every year?	Why then is there a different date every year?
1289_288044_000035_000000	Rev. Shayler concludes: "Haven't time to go deeper now," and he intimates that to deny his 'facts' is either to be a fool or a "liar." We will not comment on this.	reverend Shayler concludes: "Haven't time to go deeper now," and he intimates that to deny his 'facts' is either to be a fool or a "liar." We will not comment on this.
1289_288044_000036_000000	VIII	eight
1289_288044_000037_000000	One of our Sunday programs, the other day, found its way into a church.	One of our Sunday programs, the other day, found its way into a church.
1289_288044_000037_000001	It went farther; it made its appearance in the pulpit.	It went farther; it made its appearance in the pulpit.
1289_288044_000038_000001	"This, too, just as though Paul never bore testimony."	"This, too, just as though Paul never bore testimony."
1289_288044_000039_000000	This gave the clergyman a splendid opportunity to present in clear and convincing form the evidence for the reality of Jesus.	This gave the clergyman a splendid opportunity to present in clear and convincing form the evidence for the reality of Jesus.
1289_288044_000039_000001	But one thing prevented him:--the lack of evidence.	But one thing prevented him:--the lack of evidence.
1289_288044_000040_000000	Therefore, after announcing the subject, he dismissed it, by remarking that Paul's testimony was enough.	Therefore, after announcing the subject, he dismissed it, by remarking that Paul's testimony was enough.
1289_288044_000041_000001	Morton Culver Hartzell, in a letter, offers the same argument.	Morton Culver Hartzell, in a letter, offers the same argument.
1289_288044_000041_000002	"Let Mr. Mangasarian first disprove Paul," he writes.	"Let mr Mangasarian first disprove Paul," he writes.
1289_288044_000041_000003	The argument in a nutshell is this: Jesus is historical because he is guaranteed by Paul.	The argument in a nutshell is this: Jesus is historical because he is guaranteed by Paul.
1289_288044_000043_000001	Let us see how much the church scholars themselves know about Paul:	Let us see how much the church scholars themselves know about Paul:
1289_288044_000047_000001	Edwin Hatch, D. D., Vice-Principal, St. Mary Hall, Oxford, England.	Edwin Hatch, d d, Vice Principal, saint Mary Hall, Oxford, England.
1289_288044_000048_000001	But we are satisfied to rest the case on orthodox admissions alone.	But we are satisfied to rest the case on orthodox admissions alone.
1289_288044_000050_000000	Jesus is historical because a man by the name of Paul says so, though we do not know much about Paul.	Jesus is historical because a man by the name of Paul says so, though we do not know much about Paul.
1289_288044_000051_000001	Goldwin Smith to exclaim: "Jesus has flown.	Goldwin Smith to exclaim: "Jesus has flown.
1289_288044_000051_000002	I believe the legend of Jesus was made by many minds working under a great religious impulse--one man adding a parable, another an exhortation, another a miracle story;"--and George Eliot to write: "The materials for a real life of Christ do not exist."	I believe the legend of Jesus was made by many minds working under a great religious impulse-one man adding a parable, another an exhortation, another a miracle story;"--and George Eliot to write: "The materials for a real life of Christ do not exist."
1289_288044_000052_000000	In the effort to untie the Jesus-knot by Paul, the church has increased the number of knots to two.	In the effort to untie the Jesus knot by Paul, the church has increased the number of knots to two.
1289_288044_000052_000001	In other words, the church has proceeded on the theory that two uncertainties make a certainty.	In other words, the church has proceeded on the theory that two uncertainties make a certainty.
1289_288044_000055_000000	Speaking in this city, Rev.	Speaking in this city, Rev.
1289_288044_000055_000001	W. H. Wray Boyle of Lake Forest, declared that unbelief was responsible for the worst crimes in history.	w h Wray Boyle of Lake Forest, declared that unbelief was responsible for the worst crimes in history.
1289_288044_000055_000002	He mentioned the placing.	He mentioned the placing.
1289_288044_000059_000000	The story of a "nude woman," etc., is pure fiction, and that the two murders were caused by unbelief is mere assumption.	The story of a "nude woman," etc, is pure fiction, and that the two murders were caused by unbelief is mere assumption.
1289_288044_000059_000001	To help his creed, the preacher resorts to fable.	To help his creed, the preacher resorts to fable.
1289_288044_000060_000001	Her innocent blood stained the hands of the clergy, who also handle the Holy Sacraments.	Her innocent blood stained the hands of the clergy, who also handle the Holy Sacraments.
1289_288044_000060_000002	She was murdered not by a crazed individual but by the orders of the bishop of Alexandria.	She was murdered not by a crazed individual but by the orders of the bishop of Alexandria.
1289_288044_000060_000003	How does the true story of Hypatia compare with the fable of "a nude woman placed on a pedestal in the city of Paris?" The Reverend must answer, or never tell an untruth again.	How does the true story of Hypatia compare with the fable of "a nude woman placed on a pedestal in the city of Paris?" The Reverend must answer, or never tell an untruth again.
1289_288044_000061_000000	Hypatia was murdered in church, and by the clergy, because she was not orthodox.	Hypatia was murdered in church, and by the clergy, because she was not orthodox.
1289_288044_000063_000000	III. JAMES CLEMENT, a Catholic, assassinated Henry III.	three. james CLEMENT, a Catholic, assassinated Henry the third.
1289_288044_000063_000001	For this act the clergy placed his portrait on the altar in the churches between two great lighted candle-sticks.	For this act the clergy placed his portrait on the altar in the churches between two great lighted candle sticks.
1289_288044_000065_000001	Sisera, a heathen, having lost a battle, begged for shelter at the tent of Jael, a friendly woman, but of the Bible faith.	Sisera, a heathen, having lost a battle, begged for shelter at the tent of Jael, a friendly woman, but of the Bible faith.
1289_288044_000065_000003	The tired warrior fell asleep from great weariness. Then Jael picked a tent-peg and with a hammer in her hand "walked softly unto him, and smote the nail into his temples, and fastened it into the ground...So he died."	The tired warrior fell asleep from great weariness. Then Jael picked a tent peg and with a hammer in her hand "walked softly unto him, and smote the nail into his temples, and fastened it into the ground...So he died."
