1289_288044_000000_000000	Why were women put to death as witches?	Why were women put to death as witches?	false	0	5.76	16.156477
1289_288044_000031_000001	The Catholics and the other sects do not believe that Anderson is a descendant of Jesus.	The Catholics and the other sects do not believe that Anderson is a descendant of Jesus.	true	735.83	740.29	22
1289_288044_000031_000002	Did the priests of Baal or Moloch prove that these beings existed?	Did the priests of Baal or Moloch prove that these beings existed?	true	740.39	744.13	25.313234
1289_288044_000032_000000	The Reverend has another argument:	The Reverend has another argument:	false	744.74	748.05	20.508099
1289_288044_000033_000000	"The Christian Church--when, why and how did it begin?" Which Christian church, brother?	"The Christian Church-when, why and how did it begin?" Which Christian church, brother?	false	748.05	754.12	26.153885
1289_288044_000033_000001	Your own church began with Henry the Eighth in 1534, with persecution and murder, when the king, his hands wet with the blood of his own wives and ministers, made himself the supreme head of the church in England.	Your own church began with Henry the Eighth in fifteen thirty four, with persecution and murder, when the king, his hands wet with the blood of his own wives and ministers, made himself the supreme head of the church in England.	true	754.25	765.88	24.093842
1289_288044_000033_000002	The Methodist church began with John Wesley not much over a hundred years ago; the Presbyterian church began with John Calvin who burned his guest on a slow fire in Geneva about three hundred years ago; and the Lutheran church began with Martin Luther in the sixteenth century, the man who said over his own signature: "It was I, Martin Luther, who slew all the peasants in the Peasants War, for I commanded them to be slaughtered....But I throw the responsibility on our Lord God who instructed me to give this order;" and the Roman Catholic church, the parent of the smaller churches--all chips from the same block--began its real career with the first Christian Emperor, Constantine, who hanged his father-in- law, strangled his brother-in-law, murdered his nephew, beheaded his eldest son, and killed his wife.	The Methodist church began with john Wesley not much over a hundred years ago; the Presbyterian church began with john Calvin who burned his guest on a slow fire in Geneva about three hundred years ago; and the Lutheran church began with Martin Luther in the sixteenth century, the man who said over his own signature: "It was I, Martin Luther, who slew all the peasants in the Peasants War, for I commanded them to be slaughtered....But I throw the responsibility on our Lord God who instructed me to give this order;" and the Roman Catholic church, the parent of the smaller churches-all chips from the same block-began its real career with the first Christian Emperor, Constantine, who hanged his father in law, strangled his brother in law, murdered his nephew, beheaded his eldest son, and killed his wife.	false	766.34	811.03	23.771221
1289_288044_000033_000003	Gibbon writes of Constantine that "the same year of his reign in which he convened the council of Nice was polluted by the execution, or rather murder, of his eldest son."	Gibbon writes of Constantine that "the same year of his reign in which he convened the council of Nice was polluted by the execution, or rather murder, of his eldest son."	true	811.49	821.17	23.647108
1289_288044_000034_000000	But our clerical neighbor from Oak Park has one more argument: "Why is Sunday observed instead of Saturday?" Well, why?	But our clerical neighbor from Oak Park has one more argument: "Why is Sunday observed instead of Saturday?" Well, why?	true	822.59	829.74	22.826408
1289_288044_000034_000001	Sun-day is the day of the Sun, whose glorious existence in the lovely heavens over our heads has never been doubted; it was the day which the Pagans dedicated to the Sun.	Sun day is the day of the Sun, whose glorious existence in the lovely heavens over our heads has never been doubted; it was the day which the Pagans dedicated to the sun	false	829.74	838.62	21.23615
1289_288044_000034_000002	_Sunday_ existed before the Jesus story was known,--the anniversary of whose supposed resurrection falls in March one year, and in April another.	underscore Sunday underscore existed before the Jesus story was known,--the anniversary of whose supposed resurrection falls in March one year, and in April another.	false	838.62	847.51	22.985376
1289_288044_000034_000003	If Jesus rose at all, he rose on a certain day, and the apostles must have known the date.	If Jesus rose at all, he rose on a certain day, and the apostles must have known the date.	true	847.58	852.27	22.11258
1289_288044_000034_000004	Why then is there a different date every year?	Why then is there a different date every year?	true	852.27	854.68	22.874296
1289_288044_000035_000000	Rev. Shayler concludes: "Haven't time to go deeper now," and he intimates that to deny his 'facts' is either to be a fool or a "liar." We will not comment on this.	reverend Shayler concludes: "Haven't time to go deeper now," and he intimates that to deny his 'facts' is either to be a fool or a "liar." We will not comment on this.	true	855.44	866.265	23.206518
1289_288044_000035_000001	We are interested in arguments, not in epithets.	We are interested in arguments, not in epithets.	false	866.265	871.98	24.088581
1289_288044_000036_000000	VIII	eight	true	871.98	872.74	27.349825
1289_288044_000037_000000	One of our Sunday programs, the other day, found its way into a church.	One of our Sunday programs, the other day, found its way into a church.	true	873.2	877.26	28.488394
1289_288044_000037_000001	It went farther; it made its appearance in the pulpit.	It went farther; it made its appearance in the pulpit.	true	877.26	880.33	32.036354
1289_288044_000038_000000	"In my hand I hold the notice of a publication bearing the title _Is Jesus a Myth?"_ said Dr. Boyle.	"In my hand I hold the notice of a publication bearing the title underscore Is Jesus a Myth?"underscore said dr Boyle.	false	880.85	886.69	23.35615
1289_288044_000038_000001	"This, too, just as though Paul never bore testimony."	"This, too, just as though Paul never bore testimony."	true	886.7	889.9	27.300617
1289_288044_000039_000000	This gave the clergyman a splendid opportunity to present in clear and convincing form the evidence for the reality of Jesus.	This gave the clergyman a splendid opportunity to present in clear and convincing form the evidence for the reality of Jesus.	true	890.24	897.64	25.734777
1289_288044_000039_000001	But one thing prevented him:--the lack of evidence.	But one thing prevented him:--the lack of evidence.	true	897.65	900.79	28.789824
1289_288044_000040_000000	Therefore, after announcing the subject, he dismissed it, by remarking that Paul's testimony was enough.	Therefore, after announcing the subject, he dismissed it, by remarking that Paul's testimony was enough.	true	900.92	906.7	24.398834
1289_288044_000041_000000	The Rev.	The Rev.	false	907.01	907.59	16.349377
1289_288044_000041_000001	Morton Culver Hartzell, in a letter, offers the same argument.	Morton Culver Hartzell, in a letter, offers the same argument.	true	907.59	911.38	23.842394
1289_288044_000041_000002	"Let Mr. Mangasarian first disprove Paul," he writes.	"Let mr Mangasarian first disprove Paul," he writes.	true	911.51	915.135	25.019535
1289_288044_000041_000003	The argument in a nutshell is this: Jesus is historical because he is guaranteed by Paul.	The argument in a nutshell is this: Jesus is historical because he is guaranteed by Paul.	true	915.135	920.89	23.836977
1289_288044_000042_000000	But _who_ guarantees Paul?	But underscore who underscore guarantees Paul?	false	920.96	922.75	24.770756
1289_288044_000043_000000	Aside from the fact that the Jesus of Paul is essentially a different Jesus from the gospel Jesus there still remains the question, Who is Paul?	Aside from the fact that the Jesus of Paul is essentially a different Jesus from the gospel Jesus there still remains the question, Who is Paul?	false	922.97	930.61	22.937654
1289_288044_000043_000001	Let us see how much the church scholars themselves know about Paul:	Let us see how much the church scholars themselves know about Paul:	true	930.65	934.09	21.388998
1289_288044_000044_000000	"The place and manner and occasion of his death are not _less uncertain_ than the facts of his later life...The chronology of the rest of his life is as uncertain...We have no means of knowing when he was born, or how long he lived, or at what dates the several events of his life took place."	"The place and manner and occasion of his death are not underscore less uncertain underscore than the facts of his later life...The chronology of the rest of his life is as uncertain...We have no means of knowing when he was born, or how long he lived, or at what dates the several events of his life took place."	false	934.79	950.5	23.514004
1289_288044_000045_000000	Referring to the epistles of Paul, the same authority says: "The chief of these preliminary questions is the genuineness of the epistles bearing Paul's name, which _if they be his_"--yes, IF--	Referring to the epistles of Paul, the same authority says: "The chief of these preliminary questions is the genuineness of the epistles bearing Paul's name, which underscore if they be his underscore"--yes, IF-	false	951.35	963.7	23.525213
