6877_77361_000001_000000	Section 3	Section three
6877_77361_000017_000000	"You'd hear," I said, "long before it was near enough to see a flash."	"You'd hear," I said, "long before it was near enough to see a flash."
6877_77361_000018_000000	He didn't answer.	He didn't answer.
6877_77361_000018_000001	Only by making it clear I would distract him until he told me what I wanted to know could I get him to turn from his absorbed contemplation of that phantom dance between the sea rim and the shine.	Only by making it clear I would distract him until he told me what I wanted to know could I get him to turn from his absorbed contemplation of that phantom dance between the sea rim and the shine.
6877_77361_000018_000002	Indeed I gripped his arm and shook him.	Indeed I gripped his arm and shook him.
6877_77361_000018_000003	Then he turned upon me cursing.	Then he turned upon me cursing.
6877_77361_000020_000000	I answered with some foul insult by way of thanks, and so we parted, and I set off towards the bungalow village.	I answered with some foul insult by way of thanks, and so we parted, and I set off towards the bungalow village.
6877_77361_000021_000000	I found a policeman, standing star-gazing, a little way beyond the end of the parade, and verified the wooden-legged man's directions.	I found a policeman, standing star gazing, a little way beyond the end of the parade, and verified the wooden legged man's directions.
6877_77361_000022_000000	"It's a lonely road, you know," he called after me. . . .	"It's a lonely road, you know," he called after me. . . .
6877_77361_000023_000000	I had an odd intuition that now at last I was on the right track. I left the dark masses of Shaphambury behind me, and pushed out into the dim pallor of that night, with the quiet assurance of a traveler who nears his end.	I had an odd intuition that now at last I was on the right track. I left the dark masses of Shaphambury behind me, and pushed out into the dim pallor of that night, with the quiet assurance of a traveler who nears his end.
6877_77361_000024_000000	The incidents of that long tramp I do not recall in any orderly succession, the one progressive thing is my memory of a growing fatigue.	The incidents of that long tramp I do not recall in any orderly succession, the one progressive thing is my memory of a growing fatigue.
6877_77361_000024_000001	The sea was for the most part smooth and shining like a mirror, a great expanse of reflecting silver, barred by slow broad undulations, but at one time a little breeze breathed like a faint sigh and ruffled their long bodies into faint scaly ripples that never completely died out again.	The sea was for the most part smooth and shining like a mirror, a great expanse of reflecting silver, barred by slow broad undulations, but at one time a little breeze breathed like a faint sigh and ruffled their long bodies into faint scaly ripples that never completely died out again.
6877_77361_000024_000003	At one place came grass, and ghostly great sheep looming up among the gray.	At one place came grass, and ghostly great sheep looming up among the gray.
6877_77361_000024_000005	Then isolated pine witches would appear, and make their rigid gestures at me as I passed.	Then isolated pine witches would appear, and make their rigid gestures at me as I passed.
6877_77361_000024_000006	Grotesquely incongruous amidst these forms, I presently came on estate boards, appealing, "Houses can be built to suit purchaser," to the silence, to the shadows, and the glare.	Grotesquely incongruous amidst these forms, I presently came on estate boards, appealing, "Houses can be built to suit purchaser," to the silence, to the shadows, and the glare.
6877_77361_000025_000000	Once I remember the persistent barking of a dog from somewhere inland of me, and several times I took out and examined my revolver very carefully.	Once I remember the persistent barking of a dog from somewhere inland of me, and several times I took out and examined my revolver very carefully.
6877_77361_000025_000001	I must, of course, have been full of my intention when I did that, I must have been thinking of Nettie and revenge, but I cannot now recall those emotions at all.	I must, of course, have been full of my intention when I did that, I must have been thinking of Nettie and revenge, but I cannot now recall those emotions at all.
6877_77361_000025_000002	Only I see again very distinctly the greenish gleams that ran over lock and barrel as I turned the weapon in my hand.	Only I see again very distinctly the greenish gleams that ran over lock and barrel as I turned the weapon in my hand.
6877_77361_000026_000000	Then there was the sky, the wonderful, luminous, starless, moonless sky, and the empty blue deeps of the edge of it, between the meteor and the sea.	Then there was the sky, the wonderful, luminous, starless, moonless sky, and the empty blue deeps of the edge of it, between the meteor and the sea.
6877_77361_000026_000001	And once--strange phantoms!--I saw far out upon the shine, and very small and distant, three long black warships, without masts, or sails, or smoke, or any lights, dark, deadly, furtive things, traveling very swiftly and keeping an equal distance. And when I looked again they were very small, and then the shine had swallowed them up.	And once-strange phantoms!--I saw far out upon the shine, and very small and distant, three long black warships, without masts, or sails, or smoke, or any lights, dark, deadly, furtive things, traveling very swiftly and keeping an equal distance. And when I looked again they were very small, and then the shine had swallowed them up.
6877_77361_000027_000000	Then once a flash and what I thought was a gun, until I looked up and saw a fading trail of greenish light still hanging in the sky.	Then once a flash and what I thought was a gun, until I looked up and saw a fading trail of greenish light still hanging in the sky.
6877_77361_000028_000000	Somewhere upon my way the road forked, but I do not remember whether that was near Shaphambury or near the end of my walk.	Somewhere upon my way the road forked, but I do not remember whether that was near Shaphambury or near the end of my walk.
6877_77361_000028_000001	The hesitation between two rutted unmade roads alone remains clear in my mind.	The hesitation between two rutted unmade roads alone remains clear in my mind.
6877_77361_000029_000000	At last I grew weary.	At last I grew weary.
6877_77361_000029_000001	I came to piled heaps of decaying seaweed and cart tracks running this way and that, and then I had missed the road and was stumbling among sand hummocks quite close to the sea.	I came to piled heaps of decaying seaweed and cart tracks running this way and that, and then I had missed the road and was stumbling among sand hummocks quite close to the sea.
6877_77361_000029_000002	I came out on the edge of the dimly glittering sandy beach, and something phosphorescent drew me to the water's edge.	I came out on the edge of the dimly glittering sandy beach, and something phosphorescent drew me to the water's edge.
6877_77361_000030_000001	The meteor had now trailed its shining nets across the whole space of the sky and was beginning to set; in the east the blue was coming to its own again; the sea was an intense edge of blackness, and now, escaped from that great shine, and faint and still tremulously valiant, one weak elusive star could just be seen, hovering on the verge of the invisible.	The meteor had now trailed its shining nets across the whole space of the sky and was beginning to set; in the east the blue was coming to its own again; the sea was an intense edge of blackness, and now, escaped from that great shine, and faint and still tremulously valiant, one weak elusive star could just be seen, hovering on the verge of the invisible.
6877_77361_000031_000000	How beautiful it was! how still and beautiful!	How beautiful it was! how still and beautiful!
6877_77361_000031_000001	Peace! peace!--the peace that passeth understanding, robed in light descending! . . .	Peace! peace!--the peace that passeth understanding, robed in light descending! . . .
6877_77361_000032_000000	My heart swelled, and suddenly I was weeping.	My heart swelled, and suddenly I was weeping.
6877_77361_000033_000000	There was something new and strange in my blood.	There was something new and strange in my blood.
6877_77361_000033_000001	It came to me that indeed I did not want to kill.	It came to me that indeed I did not want to kill.
6877_77361_000034_000000	I did not want to kill.	I did not want to kill.
6877_77361_000034_000001	I did not want to be the servant of my passions any more.	I did not want to be the servant of my passions any more.
6877_77361_000034_000002	A great desire had come to me to escape from life, from the daylight which is heat and conflict and desire, into that cool night of eternity--and rest.	A great desire had come to me to escape from life, from the daylight which is heat and conflict and desire, into that cool night of eternity-and rest.
6877_77361_000034_000003	I had played--I had done.	I had played-I had done.
6877_77361_000035_000000	I stood upon the edge of the great ocean, and I was filled with an inarticulate spirit of prayer, and I desired greatly--peace from myself.	I stood upon the edge of the great ocean, and I was filled with an inarticulate spirit of prayer, and I desired greatly-peace from myself.
6877_77361_000036_000000	And presently, there in the east, would come again the red discoloring curtain over these mysteries, the finite world again, the gray and growing harsh certainties of dawn.	And presently, there in the east, would come again the red discoloring curtain over these mysteries, the finite world again, the gray and growing harsh certainties of dawn.
6877_77361_000036_000001	My resolve I knew would take up with me again.	My resolve I knew would take up with me again.
6877_77361_000036_000002	This was a rest for me, an interlude, but to-morrow I should be William Leadford once more, ill-nourished, ill-dressed, ill-equipped and clumsy, a thief and shamed, a wound upon the face of life, a source of trouble and sorrow even to the mother I loved; no hope in life left for me now but revenge before my death.	This was a rest for me, an interlude, but to morrow I should be William Leadford once more, ill nourished, ill dressed, ill equipped and clumsy, a thief and shamed, a wound upon the face of life, a source of trouble and sorrow even to the mother I loved; no hope in life left for me now but revenge before my death.
6877_77361_000037_000000	Why this paltry thing, revenge?	Why this paltry thing, revenge?
6877_77361_000037_000001	It entered into my thoughts that I might end the matter now and let these others go.	It entered into my thoughts that I might end the matter now and let these others go.
6877_77361_000038_000000	To wade out into the sea, into this warm lapping that mingled the natures of water and light, to stand there breast-high, to thrust my revolver barrel into my mouth------?	To wade out into the sea, into this warm lapping that mingled the natures of water and light, to stand there breast high, to thrust my revolver barrel into my mouth------?
6877_77361_000039_000000	Why not?	Why not?
6877_77361_000040_000000	I swung about with an effort.	I swung about with an effort.
6877_77361_000040_000001	I walked slowly up the beach thinking. . . .	I walked slowly up the beach thinking. . . .
6877_77361_000041_000000	I turned and looked back at the sea.	I turned and looked back at the sea.
6877_77361_000041_000001	No!	No!
6877_77361_000041_000002	Something within me said, "No!"	Something within me said, "No!"
6877_77361_000042_000000	I must think.	I must think.
6877_77361_000043_000000	It was troublesome to go further because the hummocks and the tangled bushes began.	It was troublesome to go further because the hummocks and the tangled bushes began.
6877_77361_000043_000002	I drew my revolver from my pocket and looked at it, and held it in my hand.	I drew my revolver from my pocket and looked at it, and held it in my hand.
6877_77361_000043_000003	Life?	Life?
6877_77361_000043_000004	Or Death? . . .	Or Death? . . .
6877_77361_000044_000000	I seemed to be probing the very deeps of being, but indeed imperceptibly I fell asleep, and sat dreaming.	I seemed to be probing the very deeps of being, but indeed imperceptibly I fell asleep, and sat dreaming.
6877_77361_000045_000000	Section 4	Section four
6877_77361_000046_000000	Two people were bathing in the sea.	Two people were bathing in the sea.
6877_77361_000047_000000	I had awakened.	I had awakened.
6877_77361_000047_000001	It was still that white and wonderful night, and the blue band of clear sky was no wider than before.	It was still that white and wonderful night, and the blue band of clear sky was no wider than before.
6877_77361_000047_000002	These people must have come into sight as I fell asleep, and awakened me almost at once.	These people must have come into sight as I fell asleep, and awakened me almost at once.
6877_77361_000047_000003	They waded breast-deep in the water, emerging, coming shoreward, a woman, with her hair coiled about her head, and in pursuit of her a man, graceful figures of black and silver, with a bright green surge flowing off from them, a pattering of flashing wavelets about them.	They waded breast deep in the water, emerging, coming shoreward, a woman, with her hair coiled about her head, and in pursuit of her a man, graceful figures of black and silver, with a bright green surge flowing off from them, a pattering of flashing wavelets about them.
6877_77361_000047_000004	He smote the water and splashed it toward her, she retaliated, and then they were knee-deep, and then for an instant their feet broke the long silver margin of the sea.	He smote the water and splashed it toward her, she retaliated, and then they were knee deep, and then for an instant their feet broke the long silver margin of the sea.
6877_77361_000048_000000	Each wore a tightly fitting bathing dress that hid nothing of the shining, dripping beauty of their youthful forms.	Each wore a tightly fitting bathing dress that hid nothing of the shining, dripping beauty of their youthful forms.
6877_77361_000049_000000	She glanced over her shoulder and found him nearer than she thought, started, gesticulated, gave a little cry that pierced me to the heart, and fled up the beach obliquely toward me, running like the wind, and passed me, vanished amidst the black distorted bushes, and was gone--she and her pursuer, in a moment, over the ridge of sand.	She glanced over her shoulder and found him nearer than she thought, started, gesticulated, gave a little cry that pierced me to the heart, and fled up the beach obliquely toward me, running like the wind, and passed me, vanished amidst the black distorted bushes, and was gone-she and her pursuer, in a moment, over the ridge of sand.
6877_77361_000050_000000	I heard him shout between exhaustion and laughter. . . .	I heard him shout between exhaustion and laughter. . . .
6877_77361_000053_000000	And, it blazed upon me, I might have died there by the sheer ebbing of my will--unavenged!	And, it blazed upon me, I might have died there by the sheer ebbing of my will-unavenged!
6877_77361_000054_000000	In another moment I was running and stumbling, revolver in hand, in quiet unsuspected pursuit of them, through the soft and noiseless sand.	In another moment I was running and stumbling, revolver in hand, in quiet unsuspected pursuit of them, through the soft and noiseless sand.
6877_77361_000056_000000	I came up over the little ridge and discovered the bungalow village I had been seeking, nestling in a crescent lap of dunes.	I came up over the little ridge and discovered the bungalow village I had been seeking, nestling in a crescent lap of dunes.
6877_77361_000056_000001	A door slammed, the two runners had vanished, and I halted staring.	A door slammed, the two runners had vanished, and I halted staring.
6877_77361_000057_000000	There was a group of three bungalows nearer to me than the others. Into one of these three they had gone, and I was too late to see which.	There was a group of three bungalows nearer to me than the others. Into one of these three they had gone, and I was too late to see which.
6877_77361_000057_000001	All had doors and windows carelessly open, and none showed a light.	All had doors and windows carelessly open, and none showed a light.
6877_77361_000058_000000	This place, upon which I had at last happened, was a fruit of the reaction of artistic-minded and carelessly living people against the costly and uncomfortable social stiffness of the more formal seaside resorts of that time.	This place, upon which I had at last happened, was a fruit of the reaction of artistic minded and carelessly living people against the costly and uncomfortable social stiffness of the more formal seaside resorts of that time.
6877_77361_000058_000001	It was, you must understand, the custom of the steam-railway companies to sell their carriages after they had been obsolete for a sufficient length of years, and some genius had hit upon the possibility of turning these into little habitable cabins for the summer holiday.	It was, you must understand, the custom of the steam railway companies to sell their carriages after they had been obsolete for a sufficient length of years, and some genius had hit upon the possibility of turning these into little habitable cabins for the summer holiday.
6877_77361_000058_000002	The thing had become a fashion with a certain Bohemian-spirited class; they added cabin to cabin, and these little improvised homes, gaily painted and with broad verandas and supplementary leantos added to their accommodation, made the brightest contrast conceivable to the dull rigidities of the decorous resorts.	The thing had become a fashion with a certain Bohemian spirited class; they added cabin to cabin, and these little improvised homes, gaily painted and with broad verandas and supplementary leantos added to their accommodation, made the brightest contrast conceivable to the dull rigidities of the decorous resorts.
6877_77361_000058_000003	Of course there were many discomforts in such camping that had to be faced cheerfully, and so this broad sandy beach was sacred to high spirits and the young.	Of course there were many discomforts in such camping that had to be faced cheerfully, and so this broad sandy beach was sacred to high spirits and the young.
6877_77361_000058_000004	Art muslin and banjoes, Chinese lanterns and frying, are leading "notes," I find, in the impression of those who once knew such places well.	Art muslin and banjoes, Chinese lanterns and frying, are leading "notes," I find, in the impression of those who once knew such places well.
6877_77361_000058_000005	But so far as I was concerned this odd settlement of pleasure-squatters was a mystery as well as a surprise, enhanced rather than mitigated by an imaginative suggestion or so I had received from the wooden-legged man at Shaphambury.	But so far as I was concerned this odd settlement of pleasure squatters was a mystery as well as a surprise, enhanced rather than mitigated by an imaginative suggestion or so I had received from the wooden legged man at Shaphambury.
6877_77361_000058_000006	I saw the thing as no gathering of light hearts and gay idleness, but grimly--after the manner of poor men poisoned by the suppression of all their cravings after joy.	I saw the thing as no gathering of light hearts and gay idleness, but grimly-after the manner of poor men poisoned by the suppression of all their cravings after joy.
6877_77361_000058_000007	To the poor man, to the grimy workers, beauty and cleanness were absolutely denied; out of a life of greasy dirt, of muddied desires, they watched their happier fellows with a bitter envy and foul, tormenting suspicions.	To the poor man, to the grimy workers, beauty and cleanness were absolutely denied; out of a life of greasy dirt, of muddied desires, they watched their happier fellows with a bitter envy and foul, tormenting suspicions.
6877_77361_000058_000008	Fancy a world in which the common people held love to be a sort of beastliness, own sister to being drunk! . . .	Fancy a world in which the common people held love to be a sort of beastliness, own sister to being drunk! . . .
6877_77361_000059_000000	There was in the old time always something cruel at the bottom of this business of sexual love.	There was in the old time always something cruel at the bottom of this business of sexual love.
6877_77361_000059_000001	At least that is the impression I have brought with me across the gulf of the great Change.	At least that is the impression I have brought with me across the gulf of the great Change.
6877_77361_000060_000000	I felt no sense of singularity that this thread of savagery should run through these emotions of mine and become now the whole strand of these emotions.	I felt no sense of singularity that this thread of savagery should run through these emotions of mine and become now the whole strand of these emotions.
6877_77361_000060_000001	I believed, and I think I was right in believing, that the love of all true lovers was a sort of defiance then, that they closed a system in each other's arms and mocked the world without.	I believed, and I think I was right in believing, that the love of all true lovers was a sort of defiance then, that they closed a system in each other's arms and mocked the world without.
6877_77361_000060_000002	You loved against the world, and these two loved AT me. They had their business with one another, under the threat of a watchful fierceness.	You loved against the world, and these two loved AT me. They had their business with one another, under the threat of a watchful fierceness.
6877_77361_000060_000003	A sword, a sharp sword, the keenest edge in life, lay among their roses.	A sword, a sharp sword, the keenest edge in life, lay among their roses.
6877_77361_000061_000000	Whatever may be true of this for others, for me and my imagination, at any rate, it was altogether true.	Whatever may be true of this for others, for me and my imagination, at any rate, it was altogether true.
6877_77361_000061_000001	I was never for dalliance, I was never a jesting lover.	I was never for dalliance, I was never a jesting lover.
6877_77361_000061_000002	I wanted fiercely; I made love impatiently. Perhaps I had written irrelevant love-letters for that very reason; because with this stark theme I could not play. . .	I wanted fiercely; I made love impatiently. Perhaps I had written irrelevant love letters for that very reason; because with this stark theme I could not play. . .
6877_77361_000062_000000	The thought of Nettie's shining form, of her shrinking bold abandon to her easy conqueror, gave me now a body of rage that was nearly too strong for my heart and nerves and the tense powers of my merely physical being.	The thought of Nettie's shining form, of her shrinking bold abandon to her easy conqueror, gave me now a body of rage that was nearly too strong for my heart and nerves and the tense powers of my merely physical being.
6877_77361_000062_000001	I came down among the pale sand-heaps slowly toward that queer village of careless sensuality, and now within my puny body I was coldly sharpset for pain and death, a darkly gleaming hate, a sword of evil, drawn.	I came down among the pale sand heaps slowly toward that queer village of careless sensuality, and now within my puny body I was coldly sharpset for pain and death, a darkly gleaming hate, a sword of evil, drawn.
