258_121528_000000_000000	Thus did Ulysses sleep, and the young men slept beside him.	Thus did Ulysses sleep, and the young men slept beside him.	false	0	0.24	-20
258_121528_000008_000002	Moderation is best in all things, and not letting a man go when he wants to do so is as bad as telling him to go if he would like to stay.	Moderation is best in all things, and not letting a man go when he wants to do so is as bad as telling him to go if he would like to stay.	true	215.06	223.21	21.502968
258_121528_000008_000003	One should treat a guest well as long as he is in the house and speed him when he wants to leave it.	One should treat a guest well as long as he is in the house and speed him when he wants to leave it.	true	224.15	229.42	20.50412
258_121528_000008_000004	Wait, then, till I can get your beautiful presents into your chariot, and till you have yourself seen them.	Wait, then, till I can get your beautiful presents into your chariot, and till you have yourself seen them.	false	230.24	236.14	21.225601
258_121528_000008_000005	I will tell the women to prepare a sufficient dinner for you of what there may be in the house; it will be at once more proper and cheaper for you to get your dinner before setting out on such a long journey.	I will tell the women to prepare a sufficient dinner for you of what there may be in the house; it will be at once more proper and cheaper for you to get your dinner before setting out on such a long journey.	false	236.51	247	21.875267
258_121528_000008_000006	If, moreover, you have a fancy for making a tour in Hellas or in the Peloponnese, I will yoke my horses, and will conduct you myself through all our principal cities.	If, moreover, you have a fancy for making a tour in Hellas or in the Peloponnese, I will yoke my horses, and will conduct you myself through all our principal cities.	false	247.61	256.36	22.599295
258_121528_000008_000007	No one will send us away empty handed; every one will give us something--a bronze tripod, a couple of mules, or a gold cup."	No one will send us away empty handed; every one will give us something-a bronze tripod, a couple of mules, or a gold cup."	true	256.85	265	20.824816
258_121528_000009_000000	"Menelaus," replied Telemachus, "I want to go home at once, for when I came away I left my property without protection, and fear that while looking for my father I shall come to ruin myself, or find that something valuable has been stolen during my absence."	"Menelaus," replied Telemachus, "I want to go home at once, for when I came away I left my property without protection, and fear that while looking for my father I shall come to ruin myself, or find that something valuable has been stolen during my absence."	true	266.57	281.44	21.460716
258_121528_000010_000000	When Menelaus heard this he immediately told his wife and servants to prepare a sufficient dinner from what there might be in the house.	When Menelaus heard this he immediately told his wife and servants to prepare a sufficient dinner from what there might be in the house.	true	282.74	289.57	22.463814
258_121528_000010_000001	At this moment Eteoneus joined him, for he lived close by and had just got up; so Menelaus told him to light the fire and cook some meat, which he at once did.	At this moment Eteoneus joined him, for he lived close by and had just got up; so Menelaus told him to light the fire and cook some meat, which he at once did.	true	290.33	300.4	21.325695
258_121528_000010_000002	Then Menelaus went down into his fragrant store room, {130} not alone, but Helen went too, with Megapenthes.	Then Menelaus went down into his fragrant store room, {one hundred thirty} not alone, but Helen went too, with Megapenthes.	false	300.89	306.73	21.87094
258_121528_000010_000003	When he reached the place where the treasures of his house were kept, he selected a double cup, and told his son Megapenthes to bring also a silver mixing bowl. Meanwhile Helen went to the chest where she kept the lovely dresses which she had made with her own hands, and took out one that was largest and most beautifully enriched with embroidery; it glittered like a star, and lay at the very bottom of the chest.	When he reached the place where the treasures of his house were kept, he selected a double cup, and told his son Megapenthes to bring also a silver mixing bowl. Meanwhile Helen went to the chest where she kept the lovely dresses which she had made with her own hands, and took out one that was largest and most beautifully enriched with embroidery; it glittered like a star, and lay at the very bottom of the chest.	true	307.34	332.76	20.220896
258_121528_000010_000004	{131} Then they all came back through the house again till they got to Telemachus, and Menelaus said, "Telemachus, may Jove, the mighty husband of Juno, bring you safely home according to your desire.	{one hundred thirty one} Then they all came back through the house again till they got to Telemachus, and Menelaus said, "Telemachus, may Jove, the mighty husband of Juno, bring you safely home according to your desire.	false	332.76	345.37	20.5761
258_121528_000010_000005	I will now present you with the finest and most precious piece of plate in all my house.	I will now present you with the finest and most precious piece of plate in all my house.	true	346.16	350.74	22.5198
258_121528_000010_000006	It is a mixing bowl of pure silver, except the rim, which is inlaid with gold, and it is the work of Vulcan.	It is a mixing bowl of pure silver, except the rim, which is inlaid with gold, and it is the work of Vulcan.	true	351.38	358.45	21.130749
258_121528_000010_000007	Phaedimus king of the Sidonians made me a present of it in the course of a visit that I paid him while I was on my return home. I should like to give it to you."	Phaedimus king of the Sidonians made me a present of it in the course of a visit that I paid him while I was on my return home. I should like to give it to you."	true	359.39	368.65	20.215708
258_121528_000011_000000	With these words he placed the double cup in the hands of Telemachus, while Megapenthes brought the beautiful mixing bowl and set it before him.	With these words he placed the double cup in the hands of Telemachus, while Megapenthes brought the beautiful mixing bowl and set it before him.	true	370.04	377.5	21.27311
258_121528_000011_000001	Hard by stood lovely Helen with the robe ready in her hand.	Hard by stood lovely Helen with the robe ready in her hand.	true	377.99	381.7	20.08046
258_121528_000012_000000	"I too, my son," said she, "have something for you as a keepsake from the hand of Helen; it is for your bride to wear upon her wedding day. Till then, get your dear mother to keep it for you; thus may you go back rejoicing to your own country and to your home."	"I too, my son," said she, "have something for you as a keepsake from the hand of Helen; it is for your bride to wear upon her wedding day. Till then, get your dear mother to keep it for you; thus may you go back rejoicing to your own country and to your home."	false	382.31	399.19	20.971838
258_121528_000013_000000	So saying she gave the robe over to him and he received it gladly.	So saying she gave the robe over to him and he received it gladly.	true	400.01	404.23	20.168718
258_121528_000013_000001	Then Pisistratus put the presents into the chariot, and admired them all as he did so.	Then Pisistratus put the presents into the chariot, and admired them all as he did so.	false	404.81	409.84	21.913948
258_121528_000013_000002	Presently Menelaus took Telemachus and Pisistratus into the house, and they both of them sat down to table.	Presently Menelaus took Telemachus and Pisistratus into the house, and they both of them sat down to table.	false	410.63	417.1	21.09812
258_121528_000013_000003	A maid servant brought them water in a beautiful golden ewer, and poured it into a silver basin for them to wash their hands, and she drew a clean table beside them; an upper servant brought them bread and offered them many good things of what there was in the house.	A maid servant brought them water in a beautiful golden ewer, and poured it into a silver basin for them to wash their hands, and she drew a clean table beside them; an upper servant brought them bread and offered them many good things of what there was in the house.	true	417.32	432.58	21.738426
258_121528_000013_000004	Eteoneus carved the meat and gave them each their portions, while Megapenthes poured out the wine.	Eteoneus carved the meat and gave them each their portions, while Megapenthes poured out the wine.	true	433.46	439.78	21.463514
258_121528_000013_000005	Then they laid their hands upon the good things that were before them, but as soon as they had had enough to eat and drink Telemachus and Pisistratus yoked the horses, and took their places in the chariot.	Then they laid their hands upon the good things that were before them, but as soon as they had had enough to eat and drink Telemachus and Pisistratus yoked the horses, and took their places in the chariot.	false	440.15	451.75	21.05994
258_121528_000013_000006	They drove out through the inner gateway and under the echoing gatehouse of the outer court, and Menelaus came after them with a golden goblet of wine in his right hand that they might make a drink-offering before they set out.	They drove out through the inner gateway and under the echoing gatehouse of the outer court, and Menelaus came after them with a golden goblet of wine in his right hand that they might make a drink offering before they set out.	false	452.42	465.55	21.420233
258_121528_000013_000007	He stood in front of the horses and pledged them, saying, "Farewell to both of you; see that you tell Nestor how I have treated you, for he was as kind to me as any father could be while we Achaeans were fighting before Troy."	He stood in front of the horses and pledged them, saying, "Farewell to both of you; see that you tell Nestor how I have treated you, for he was as kind to me as any father could be while we Achaeans were fighting before Troy."	false	465.92	480.7	21.307215
258_121528_000014_000000	"We will be sure, sir," answered Telemachus, "to tell him everything as soon as we see him.	"We will be sure, sir," answered Telemachus, "to tell him everything as soon as we see him.	true	481.73	486.94	20.007986
258_121528_000014_000001	I wish I were as certain of finding Ulysses returned when I get back to Ithaca, that I might tell him of the very great kindness you have shown me and of the many beautiful presents I am taking with me."	I wish I were as certain of finding Ulysses returned when I get back to Ithaca, that I might tell him of the very great kindness you have shown me and of the many beautiful presents I am taking with me."	true	487.55	499.06	20.739052
258_121528_000015_000000	As he was thus speaking a bird flew on his right hand--an eagle with a great white goose in its talons which it had carried off from the farm yard--and all the men and women were running after it and shouting.	As he was thus speaking a bird flew on his right hand-an eagle with a great white goose in its talons which it had carried off from the farm yard-and all the men and women were running after it and shouting.	true	500.33	511.69	20.967741
258_121528_000015_000001	It came quite close up to them and flew away on their right hands in front of the horses.	It came quite close up to them and flew away on their right hands in front of the horses.	true	512.03	516.7	20.95941
258_121528_000015_000002	When they saw it they were glad, and their hearts took comfort within them, whereon Pisistratus said, "Tell me, Menelaus, has heaven sent this omen for us or for you?"	When they saw it they were glad, and their hearts took comfort within them, whereon Pisistratus said, "Tell me, Menelaus, has heaven sent this omen for us or for you?"	false	517.13	528.49	20.726091
258_121528_000016_000000	Menelaus was thinking what would be the most proper answer for him to make, but Helen was too quick for him and said, "I will read this matter as heaven has put it in my heart, and as I doubt not that it will come to pass.	Menelaus was thinking what would be the most proper answer for him to make, but Helen was too quick for him and said, "I will read this matter as heaven has put it in my heart, and as I doubt not that it will come to pass.	true	529.16	542.2	20.027733
258_121528_000016_000001	The eagle came from the mountain where it was bred and has its nest, and in like manner Ulysses, after having travelled far and suffered much, will return to take his revenge--if indeed he is not back already and hatching mischief for the suitors."	The eagle came from the mountain where it was bred and has its nest, and in like manner Ulysses, after having travelled far and suffered much, will return to take his revenge-if indeed he is not back already and hatching mischief for the suitors."	false	542.9	558.19	21.149475
258_121528_000017_000000	"May Jove so grant it," replied Telemachus, "if it should prove to be so, I will make vows to you as though you were a god, even when I am at home."	"May Jove so grant it," replied Telemachus, "if it should prove to be so, I will make vows to you as though you were a god, even when I am at home."	false	559.52	569.71	21.50402
258_121528_000018_000000	As he spoke he lashed his horses and they started off at full speed through the town towards the open country.	As he spoke he lashed his horses and they started off at full speed through the town towards the open country.	true	570.86	577.6	21.5456
258_121528_000018_000001	They swayed the yoke upon their necks and travelled the whole day long till the sun set and darkness was over all the land.	They swayed the yoke upon their necks and travelled the whole day long till the sun set and darkness was over all the land.	false	578.27	585.67	20.625877
258_121528_000018_000002	Then they reached Pherae, where Diocles lived who was son of Ortilochus, the son of Alpheus.	Then they reached Pherae, where Diocles lived who was son of Ortilochus, the son of Alpheus.	false	586.1	591.61	21.412588
258_121528_000018_000003	There they passed the night and were treated hospitably.	There they passed the night and were treated hospitably.	true	592.22	595.24	21.957327
258_121528_000018_000004	When the child of morning, rosy-fingered Dawn, appeared, they again yoked their horses and their places in the chariot.	When the child of morning, rosy fingered Dawn, appeared, they again yoked their horses and their places in the chariot.	true	595.91	603.19	20.689753
258_121528_000018_000005	They drove out through the inner gateway and under the echoing gatehouse of the outer court.	They drove out through the inner gateway and under the echoing gatehouse of the outer court.	true	603.56	608.32	22.075655
258_121528_000018_000006	Then Pisistratus lashed his horses on and they flew forward nothing loath; ere long they came to Pylos, and then Telemachus said:	Then Pisistratus lashed his horses on and they flew forward nothing loath; ere long they came to Pylos, and then Telemachus said:	false	608.66	616.98	20.015032
258_121528_000019_000000	"Pisistratus, I hope you will promise to do what I am going to ask you. You know our fathers were old friends before us; moreover, we are both of an age, and this journey has brought us together still more closely; do not, therefore, take me past my ship, but leave me there, for if I go to your father's house he will try to keep me in the warmth of his good will towards me, and I must go home at once."	"Pisistratus, I hope you will promise to do what I am going to ask you. You know our fathers were old friends before us; moreover, we are both of an age, and this journey has brought us together still more closely; do not, therefore, take me past my ship, but leave me there, for if I go to your father's house he will try to keep me in the warmth of his good will towards me, and I must go home at once."	false	616.98	644.16	21.13654
258_121528_000020_000000	Pisistratus thought how he should do as he was asked, and in the end he deemed it best to turn his horses towards the ship, and put Menelaus's beautiful presents of gold and raiment in the stern of the vessel.	Pisistratus thought how he should do as he was asked, and in the end he deemed it best to turn his horses towards the ship, and put Menelaus's beautiful presents of gold and raiment in the stern of the vessel.	false	644.16	656.68	19.496748
258_121528_000020_000001	Then he said, "Go on board at once and tell your men to do so also before I can reach home to tell my father.	Then he said, "Go on board at once and tell your men to do so also before I can reach home to tell my father.	false	657.71	664.54	21.853357
258_121528_000020_000002	I know how obstinate he is, and am sure he will not let you go; he will come down here to fetch you, and he will not go back without you.	I know how obstinate he is, and am sure he will not let you go; he will come down here to fetch you, and he will not go back without you.	true	664.97	673.36	21.83622
258_121528_000020_000003	But he will be very angry."	But he will be very angry."	true	673.49	675.13	21.782257
258_121528_000021_000000	With this he drove his goodly steeds back to the city of the Pylians and soon reached his home, but Telemachus called the men together and gave his orders.	With this he drove his goodly steeds back to the city of the Pylians and soon reached his home, but Telemachus called the men together and gave his orders.	true	676.31	685.57	21.915268
258_121528_000021_000001	"Now, my men," said he, "get everything in order on board the ship, and let us set out home."	"Now, my men," said he, "get everything in order on board the ship, and let us set out home."	true	686	691.63	20.925192
258_121528_000022_000000	Thus did he speak, and they went on board even as he had said.	Thus did he speak, and they went on board even as he had said.	true	692.78	697.15	19.670017
258_121528_000022_000001	But as Telemachus was thus busied, praying also and sacrificing to Minerva in the ship's stern, there came to him a man from a distant country, a seer, who was flying from Argos because he had killed a man.	But as Telemachus was thus busied, praying also and sacrificing to Minerva in the ship's stern, there came to him a man from a distant country, a seer, who was flying from Argos because he had killed a man.	false	697.64	710.77	21.196754
258_121528_000022_000002	He was descended from Melampus, who used to live in Pylos, the land of sheep; he was rich and owned a great house, but he was driven into exile by the great and powerful king Neleus.	He was descended from Melampus, who used to live in Pylos, the land of sheep; he was rich and owned a great house, but he was driven into exile by the great and powerful king Neleus.	true	711.68	723.01	21.727547
258_121528_000022_000003	Neleus seized his goods and held them for a whole year, during which he was a close prisoner in the house of king Phylacus, and in much distress of mind both on account of the daughter of Neleus and because he was haunted by a great sorrow that dread Erinys had laid upon him.	Neleus seized his goods and held them for a whole year, during which he was a close prisoner in the house of king Phylacus, and in much distress of mind both on account of the daughter of Neleus and because he was haunted by a great sorrow that dread Erinys had laid upon him.	true	723.53	741.31	20.75433
258_121528_000022_000004	In the end, however, he escaped with his life, drove the cattle from Phylace to Pylos, avenged the wrong that had been done him, and gave the daughter of Neleus to his brother.	In the end, however, he escaped with his life, drove the cattle from Phylace to Pylos, avenged the wrong that had been done him, and gave the daughter of Neleus to his brother.	false	742.19	753.1	20.44637
258_121528_000022_000005	Then he left the country and went to Argos, where it was ordained that he should reign over much people.	Then he left the country and went to Argos, where it was ordained that he should reign over much people.	true	753.74	759.1	18
258_121528_000022_000006	There he married, established himself, and had two famous sons Antiphates and Mantius.	There he married, established himself, and had two famous sons Antiphates and Mantius.	false	759.77	765.9	19.329533
258_121528_000022_000007	Antiphates became father of Oicleus, and Oicleus of Amphiaraus, who was dearly loved both by Jove and by Apollo, but he did not live to old age, for he was killed in Thebes by reason of a woman's gifts.	Antiphates became father of Oicleus, and Oicleus of Amphiaraus, who was dearly loved both by Jove and by Apollo, but he did not live to old age, for he was killed in Thebes by reason of a woman's gifts.	false	765.9	780.91	20.892197
258_121528_000022_000008	His sons were Alcmaeon and Amphilochus.	His sons were Alcmaeon and Amphilochus.	true	781.64	784.42	20
258_121528_000022_000009	Mantius, the other son of Melampus, was father to Polypheides and Cleitus.	Mantius, the other son of Melampus, was father to Polypheides and Cleitus.	true	784.94	789.85	19.57997
258_121528_000022_000010	Aurora, throned in gold, carried off Cleitus for his beauty's sake, that he might dwell among the immortals, but Apollo made Polypheides the greatest seer in the whole world now that Amphiaraus was dead.	Aurora, throned in gold, carried off Cleitus for his beauty's sake, that he might dwell among the immortals, but Apollo made Polypheides the greatest seer in the whole world now that Amphiaraus was dead.	false	790.49	802.57	20.272337
258_121528_000022_000011	He quarrelled with his father and went to live in Hyperesia, where he remained and prophesied for all men.	He quarrelled with his father and went to live in Hyperesia, where he remained and prophesied for all men.	true	803.03	808.45	18
258_121528_000023_000000	His son, Theoclymenus, it was who now came up to Telemachus as he was making drink-offerings and praying in his ship.	His son, Theoclymenus, it was who now came up to Telemachus as he was making drink offerings and praying in his ship.	true	809.72	816.61	18
258_121528_000023_000001	"Friend," said he, "now that I find you sacrificing in this place, I beseech you by your sacrifices themselves, and by the god to whom you make them, I pray you also by your own head and by those of your followers tell me the truth and nothing but the truth.	"Friend," said he, "now that I find you sacrificing in this place, I beseech you by your sacrifices themselves, and by the god to whom you make them, I pray you also by your own head and by those of your followers tell me the truth and nothing but the truth.	false	817.28	835.69	20.231504
258_121528_000023_000002	Who and whence are you?	Who and whence are you?	true	836.03	837.88	17.40308
258_121528_000023_000003	Tell me also of your town and parents."	Tell me also of your town and parents."	true	838.31	840.61	19
258_121528_000024_000000	Telemachus said, "I will answer you quite truly.	Telemachus said, "I will answer you quite truly.	true	841.91	845.71	20.622694
258_121528_000024_000001	I am from Ithaca, and my father is Ulysses, as surely as that he ever lived.	I am from Ithaca, and my father is Ulysses, as surely as that he ever lived.	false	845.93	851.35	20.131075
258_121528_000024_000002	But he has come to some miserable end.	But he has come to some miserable end.	true	851.78	854.08	17.767313
258_121528_000024_000003	Therefore I have taken this ship and got my crew together to see if I can hear any news of him, for he has been away a long time."	Therefore I have taken this ship and got my crew together to see if I can hear any news of him, for he has been away a long time."	true	854.36	862.36	20
258_121528_000025_000000	"I too," answered Theoclymenus, "am an exile, for I have killed a man of my own race.	"I too," answered Theoclymenus, "am an exile, for I have killed a man of my own race.	true	863.72	870.04	19.901045
258_121528_000025_000001	He has many brothers and kinsmen in Argos, and they have great power among the Argives.	He has many brothers and kinsmen in Argos, and they have great power among the Argives.	true	870.74	876.01	18.757454
258_121528_000025_000002	I am flying to escape death at their hands, and am thus doomed to be a wanderer on the face of the earth.	I am flying to escape death at their hands, and am thus doomed to be a wanderer on the face of the earth.	true	876.53	882.85	20.253904
258_121528_000025_000003	I am your suppliant; take me, therefore, on board your ship that they may not kill me, for I know they are in pursuit."	I am your suppliant; take me, therefore, on board your ship that they may not kill me, for I know they are in pursuit."	false	883.28	891.61	19.97942
258_121528_000026_000000	"I will not refuse you," replied Telemachus, "if you wish to join us. Come, therefore, and in Ithaca we will treat you hospitably according to what we have."	"I will not refuse you," replied Telemachus, "if you wish to join us. Come, therefore, and in Ithaca we will treat you hospitably according to what we have."	true	892.88	902.47	20.367945
258_121528_000027_000000	On this he received Theoclymenus' spear and laid it down on the deck of the ship.	On this he received Theoclymenus' spear and laid it down on the deck of the ship.	true	904.34	909.28	19.703306
258_121528_000027_000001	He went on board and sat in the stern, bidding Theoclymenus sit beside him; then the men let go the hawsers.	He went on board and sat in the stern, bidding Theoclymenus sit beside him; then the men let go the hawsers.	true	909.92	916.93	19.498226
258_121528_000027_000002	Telemachus told them to catch hold of the ropes, and they made all haste to do so.	Telemachus told them to catch hold of the ropes, and they made all haste to do so.	true	917.6	921.73	19
258_121528_000027_000003	They set the mast in its socket in the cross plank, raised it and made it fast with the forestays, and they hoisted their white sails with sheets of twisted ox hide.	They set the mast in its socket in the cross plank, raised it and made it fast with the forestays, and they hoisted their white sails with sheets of twisted ox hide.	false	922.19	932.26	20.48759
258_121528_000027_000004	Minerva sent them a fair wind that blew fresh and strong to take the ship on her course as fast as possible.	Minerva sent them a fair wind that blew fresh and strong to take the ship on her course as fast as possible.	true	933.14	939.73	19.73423
258_121528_000027_000005	Thus then they passed by Crouni and Chalcis.	Thus then they passed by Crouni and Chalcis.	true	940.22	943.63	18.42281
258_121528_000028_000000	Presently the sun set and darkness was over all the land.	Presently the sun set and darkness was over all the land.	true	944.63	948.61	17.219227
258_121528_000028_000001	The vessel made a quick passage to Pheae and thence on to Elis, where the Epeans rule.	The vessel made a quick passage to Pheae and thence on to Elis, where the Epeans rule.	true	949.01	954.1	19.406908
258_121528_000028_000002	Telemachus then headed her for the flying islands, {132} wondering within himself whether he should escape death or should be taken prisoner.	Telemachus then headed her for the flying islands, {one hundred thirty two} wondering within himself whether he should escape death or should be taken prisoner.	false	954.83	962.62	20.96892
258_121528_000029_000000	Meanwhile Ulysses and the swineherd were eating their supper in the hut, and the men supped with them.	Meanwhile Ulysses and the swineherd were eating their supper in the hut, and the men supped with them.	true	964.97	971.11	18.463717
258_121528_000029_000001	As soon as they had had to eat and drink, Ulysses began trying to prove the swineherd and see whether he would continue to treat him kindly, and ask him to stay on at the station or pack him off to the city; so he said:	As soon as they had had to eat and drink, Ulysses began trying to prove the swineherd and see whether he would continue to treat him kindly, and ask him to stay on at the station or pack him off to the city; so he said:	false	971.54	986.4	20.615952
258_121528_000030_000000	"Eumaeus, and all of you, to-morrow I want to go away and begin begging about the town, so as to be no more trouble to you or to your men.	"Eumaeus, and all of you, to morrow I want to go away and begin begging about the town, so as to be no more trouble to you or to your men.	false	986.4	994.45	20.754152
258_121528_000030_000001	Give me your advice therefore, and let me have a good guide to go with me and show me the way.	Give me your advice therefore, and let me have a good guide to go with me and show me the way.	true	994.97	1000.45	21.514853
258_121528_000030_000002	I will go the round of the city begging as I needs must, to see if any one will give me a drink and a piece of bread.	I will go the round of the city begging as I needs must, to see if any one will give me a drink and a piece of bread.	true	1001.18	1008.34	20.1835
258_121528_000030_000003	I should like also to go to the house of Ulysses and bring news of her husband to Queen Penelope.	I should like also to go to the house of Ulysses and bring news of her husband to Queen Penelope.	true	1009.55	1014.85	19
258_121528_000030_000004	I could then go about among the suitors and see if out of all their abundance they will give me a dinner.	I could then go about among the suitors and see if out of all their abundance they will give me a dinner.	true	1015.31	1021.03	19
258_121528_000030_000005	I should soon make them an excellent servant in all sorts of ways.	I should soon make them an excellent servant in all sorts of ways.	true	1021.52	1025.23	15
