820_123133_000000_000000	XXV -- THE LETTER	twenty five -- THE LETTER	true	20.835	23.65	17.530697
820_123133_000010_000010	You have never yet overstepped the limit beyond which we should be obliged either to sacrifice property which would no longer belong to us, but to the children, or--It is terrible to think of, but the dreadful misfortune at which I hint is forever hanging over our heads.	You have never yet overstepped the limit beyond which we should be obliged either to sacrifice property which would no longer belong to us, but to the children, or-It is terrible to think of, but the dreadful misfortune at which I hint is forever hanging over our heads.	true	391.4	409.63	15
820_123133_000010_000011	Yes, it is the heavy cross which God has given us both to carry.	Yes, it is the heavy cross which God has given us both to carry.	true	409.94	415.03	19.654783
820_123133_000011_000000	"Also, you write about the children, and come back to our old point of difference by asking my consent to your placing them at a boarding-school.	"Also, you write about the children, and come back to our old point of difference by asking my consent to your placing them at a boarding school.	false	415.91	425.83	16
820_123133_000011_000001	You know my objection to that kind of education.	You know my objection to that kind of education.	true	426.23	429.4	16.560154
820_123133_000011_000002	I do not know, dear, whether you will accede to my request, but I nevertheless beseech you, by your love for me, to give me your promise that never so long as I am alive, nor yet after my death (if God should see fit to separate us), shall such a thing be done.	I do not know, dear, whether you will accede to my request, but I nevertheless beseech you, by your love for me, to give me your promise that never so long as I am alive, nor yet after my death (if God should see fit to separate us), shall such a thing be done.	true	429.62	448.12	15
820_123133_000012_000000	"Also you write that our affairs render it indispensable for you to visit St. Petersburg.	"Also you write that our affairs render it indispensable for you to visit st Petersburg.	false	449.03	455.38	17
820_123133_000012_000001	The Lord go with you!	The Lord go with you!	true	455.39	457.24	19.599884
820_123133_000012_000002	Go and return as, soon as possible.	Go and return as, soon as possible.	true	457.25	460.24	18
820_123133_000012_000003	Without you we shall all of us be lonely.	Without you we shall all of us be lonely.	true	460.25	463.27	15
820_123133_000013_000000	"Spring is coming in beautifully.	"Spring is coming in beautifully.	true	464.09	466.36	16
820_123133_000013_000001	We keep the door on to the terrace always open now, while the path to the orangery is dry and the peach-trees are in full blossom.	We keep the door on to the terrace always open now, while the path to the orangery is dry and the peach trees are in full blossom.	true	466.52	476.44	18.871614
820_123133_000013_000002	Only here and there is there a little snow remaining.	Only here and there is there a little snow remaining.	true	477.47	480.82	13
820_123133_000013_000003	The swallows are arriving, and to-day Lubotshka brought me the first flowers.	The swallows are arriving, and to day Lubotshka brought me the first flowers.	false	481.07	486.64	16
820_123133_000013_000004	The doctor says that in about three days' time I shall be well again and able to take the open air and to enjoy the April sun.	The doctor says that in about three days' time I shall be well again and able to take the open air and to enjoy the April sun	true	487.43	495.4	12
820_123133_000013_000005	Now, au revoir, my dearest one.	Now, au revoir, my dearest one.	false	495.65	498.45	19
820_123133_000013_000006	Do not be alarmed, I beg of you, either on account of my illness or on account of your losses at play. End the crisis as soon as possible, and then return here with the children for the summer.	Do not be alarmed, I beg of you, either on account of my illness or on account of your losses at play. End the crisis as soon as possible, and then return here with the children for the summer.	true	498.45	512.08	17
820_123133_000013_000007	I am making wonderful plans for our passing of it, and I only need your presence to realise them."	I am making wonderful plans for our passing of it, and I only need your presence to realise them."	true	512.6	519.16	16
820_123133_000014_000000	The rest of the letter was written in French, as well as in a strange, uncertain hand, on another piece of paper.	The rest of the letter was written in French, as well as in a strange, uncertain hand, on another piece of paper.	true	520.91	528.61	15
820_123133_000014_000001	I transcribe it word for word:	I transcribe it word for word:	true	528.74	531.19	21.267994
820_123133_000015_000000	"Do not believe what I have just written to you about my illness.	"Do not believe what I have just written to you about my illness.	true	532.04	535.51	12
820_123133_000015_000001	It is more serious than any one knows.	It is more serious than any one knows.	true	535.52	538.21	13
820_123133_000015_000002	I alone know that I shall never leave my bed again.	I alone know that I shall never leave my bed again.	true	538.37	541.81	10
820_123133_000015_000003	Do not, therefore, delay a minute in coming here with the children.	Do not, therefore, delay a minute in coming here with the children.	true	542.06	546.28	17
820_123133_000015_000004	Perhaps it may yet be permitted me to embrace and bless them. It is my last wish that it should be so.	Perhaps it may yet be permitted me to embrace and bless them. It is my last wish that it should be so.	true	546.47	553.69	18
820_123133_000015_000005	I know what a terrible blow this will be to you, but you would have had to hear it sooner or later--if not from me, at least from others.	I know what a terrible blow this will be to you, but you would have had to hear it sooner or later-if not from me, at least from others.	true	553.94	563.32	15
820_123133_000015_000006	Let us try to, bear the Calamity with fortitude, and place our trust in the mercy of God.	Let us try to, bear the Calamity with fortitude, and place our trust in the mercy of God.	true	564.14	570.22	18
820_123133_000015_000007	Let us submit ourselves to His will.	Let us submit ourselves to His will.	false	570.23	573.21	17.202438
820_123133_000015_000008	Do not think that what I am writing is some delusion of my sick imagination.	Do not think that what I am writing is some delusion of my sick imagination.	true	573.21	578.08	11
820_123133_000015_000009	On the contrary, I am perfectly clear at this moment, and absolutely calm.	On the contrary, I am perfectly clear at this moment, and absolutely calm.	true	578.42	583.99	18
820_123133_000015_000010	Nor must you comfort yourself with the false hope that these are the unreal, confused feelings of a despondent spirit, for I feel indeed, I know, since God has deigned to reveal it to me--that I have now but a very short time to live.	Nor must you comfort yourself with the false hope that these are the unreal, confused feelings of a despondent spirit, for I feel indeed, I know, since God has deigned to reveal it to me-that I have now but a very short time to live.	true	584.63	601.08	15
820_123133_000015_000011	Will my love for you and the children cease with my life?	Will my love for you and the children cease with my life?	false	601.08	604.84	18.205227
820_123133_000015_000012	I know that that can never be.	I know that that can never be.	true	604.85	607.21	17
820_123133_000015_000013	At this moment I am too full of that love to be capable of believing that such a feeling (which constitutes a part of my very existence) can ever, perish.	At this moment I am too full of that love to be capable of believing that such a feeling (which constitutes a part of my very existence) can ever, perish.	true	607.49	617.98	15
820_123133_000015_000014	My soul can never lack its love for you; and I know that that love will exist for ever, since such a feeling could never have been awakened if it were not to be eternal.	My soul can never lack its love for you; and I know that that love will exist for ever, since such a feeling could never have been awakened if it were not to be eternal.	true	618.32	629.71	14
820_123133_000015_000015	I shall no longer be with you, yet I firmly believe that my love will cleave to you always, and from that thought I glean such comfort that I await the approach of death calmly and without fear.	I shall no longer be with you, yet I firmly believe that my love will cleave to you always, and from that thought I glean such comfort that I await the approach of death calmly and without fear.	true	630.08	644.26	15
820_123133_000015_000016	Yes, I am calm, and God knows that I have ever looked, and do look now, upon death as no more than the passage to a better life.	Yes, I am calm, and God knows that I have ever looked, and do look now, upon death as no more than the passage to a better life.	true	645.08	657.01	17
820_123133_000015_000017	Yet why do tears blind my eyes?	Yet why do tears blind my eyes?	true	657.41	660.55	15
820_123133_000015_000018	Why should the children lose a mother's love?	Why should the children lose a mother's love?	true	660.59	663.42	15.753758
820_123133_000015_000019	Why must you, my husband, experience such a heavy and unlooked-for blow?	Why must you, my husband, experience such a heavy and unlooked for blow?	true	663.42	669.28	13
820_123133_000015_000020	Why must I die when your love was making life so inexpressibly happy for me?	Why must I die when your love was making life so inexpressibly happy for me?	true	669.74	675.55	14
820_123133_000016_000000	"But His holy will be done!	"But His holy will be done!	true	676.37	678.64	13
820_123133_000017_000000	"The tears prevent my writing more.	"The tears prevent my writing more.	true	678.89	681.28	11
820_123133_000017_000001	It may be that I shall never see you again.	It may be that I shall never see you again.	true	681.35	684.22	15
820_123133_000017_000002	I thank you, my darling beyond all price, for all the felicity with which you have surrounded me in this life.	I thank you, my darling beyond all price, for all the felicity with which you have surrounded me in this life.	true	684.32	691.84	15
820_123133_000017_000003	Soon I shall appear before God Himself to pray that He may reward you.	Soon I shall appear before God Himself to pray that He may reward you.	true	691.94	696.94	14
820_123133_000017_000004	Farewell, my dearest! Remember that, if I am no longer here, my love will none the less NEVER AND NOWHERE fail you.	Farewell, my dearest! Remember that, if I am no longer here, my love will none the less NEVER AND NOWHERE fail you.	true	697.31	706.99	16
820_123133_000017_000005	Farewell, Woloda--farewell, my pet!	Farewell, Woloda-farewell, my pet!	true	707.69	711.04	18.93755
820_123133_000017_000006	Farewell, my Benjamin, my little Nicolinka! Surely they will never forget me?"	Farewell, my Benjamin, my little Nicolinka! Surely they will never forget me?"	true	711.53	717.73	17
820_123133_000018_000000	With this letter had come also a French note from Mimi, in which the latter said:	With this letter had come also a French note from Mimi, in which the latter said:	true	719.09	724.3	16
820_123133_000019_000000	"The sad circumstances of which she has written to you are but too surely confirmed by the words of the doctor.	"The sad circumstances of which she has written to you are but too surely confirmed by the words of the doctor.	true	724.73	731.08	13
820_123133_000019_000001	Yesterday evening she ordered the letter to be posted at once, but, thinking at she did so in delirium, I waited until this morning, with the intention of sealing and sending it then.	Yesterday evening she ordered the letter to be posted at once, but, thinking at she did so in delirium, I waited until this morning, with the intention of sealing and sending it then.	false	731.27	743.47	16
820_123133_000019_000002	Hardly had I done so when Natalia Nicolaevna asked me what I had done with the letter and told me to burn it if not yet despatched.	Hardly had I done so when Natalia Nicolaevna asked me what I had done with the letter and told me to burn it if not yet despatched.	false	743.72	752.74	14
820_123133_000019_000003	She is forever speaking of it, and saying that it will kill you.	She is forever speaking of it, and saying that it will kill you.	true	752.96	757.56	18.556822
820_123133_000019_000004	Do not delay your departure for an instant if you wish to see the angel before she leaves us.	Do not delay your departure for an instant if you wish to see the angel before she leaves us.	true	757.56	763.36	14
820_123133_000019_000005	Pray excuse this scribble, but I have not slept now for three nights.	Pray excuse this scribble, but I have not slept now for three nights.	true	763.67	768.1	18
820_123133_000019_000006	You know how much I love her."	You know how much I love her."	true	768.2	770.14	19.434298
820_123133_000020_000000	Later I heard from Natalia Savishna (who passed the whole of the night of the 11th April at Mamma's bedside) that, after writing the first part of the letter, Mamma laid it down upon the table beside her and went to sleep for a while.	Later I heard from Natalia Savishna (who passed the whole of the night of the eleventh of april at Mamma's bedside) that, after writing the first part of the letter, Mamma laid it down upon the table beside her and went to sleep for a while.	false	771.35	849.96	18.018105
