770_43321_000000_000000	He pointed to the papers.	He pointed to the papers.	false	1.65	4.53	23.395199
770_43321_000009_000001	The galleries at the lower end were occupied too, down there, where she had failed to obtain a seat. Yet from all the crowded interior there was no sound but a sibilant whispering; from the passages behind she could hear again the quick bell-note repeat itself as the lobbies were cleared; and from Parliament Square outside once more came the heavy murmur of the crowd that had been inaudible for the last twenty minutes.	The galleries at the lower end were occupied too, down there, where she had failed to obtain a seat. Yet from all the crowded interior there was no sound but a sibilant whispering; from the passages behind she could hear again the quick bell note repeat itself as the lobbies were cleared; and from Parliament Square outside once more came the heavy murmur of the crowd that had been inaudible for the last twenty minutes.	true	95.36	118.09	21.487072
770_43321_000009_000002	When that ceased she would know that he was come.	When that ceased she would know that he was come.	true	118.31	121.09	21.651035
770_43321_000010_000000	How strange and wonderful it was to be here--on this night of all, when the President was to speak!	How strange and wonderful it was to be here-on this night of all, when the President was to speak!	true	121.82	127.9	19.415607
770_43321_000010_000001	A month ago he had assented to a similar Bill in Germany, and had delivered a speech on the same subject at Turin.	A month ago he had assented to a similar Bill in Germany, and had delivered a speech on the same subject at Turin.	true	128.18	134.05	21.92172
770_43321_000010_000002	To-morrow he was to be in Spain.	To morrow he was to be in Spain.	true	134.24	136.42	21.238401
770_43321_000010_000003	No one knew where he had been during the past week.	No one knew where he had been during the past week.	true	136.7	139.39	15.699531
770_43321_000010_000004	A rumour had spread that his volor had been seen passing over Lake Como, and had been instantly contradicted.	A rumour had spread that his volor had been seen passing over Lake Como, and had been instantly contradicted.	true	139.64	145.3	23
770_43321_000010_000005	No one knew either what he would say to-night.	No one knew either what he would say to night.	true	145.55	147.82	21.999283
770_43321_000010_000006	It might be three words or twenty thousand.	It might be three words or twenty thousand.	true	148.16	150.67	24.803041
770_43321_000010_000007	There were a few clauses in the Bill--notably those bearing on the point as to when the new worship was to be made compulsory on all subjects over the age of seven--it might be he would object and veto these.	There were a few clauses in the Bill-notably those bearing on the point as to when the new worship was to be made compulsory on all subjects over the age of seven-it might be he would object and veto these.	true	151.04	161.89	21.938433
770_43321_000010_000008	In that case all must be done again, and the Bill re-passed, unless the House accepted his amendment instantly by acclamation.	In that case all must be done again, and the Bill re passed, unless the House accepted his amendment instantly by acclamation.	false	162.29	169.6	24.486946
770_43321_000011_000000	Mabel herself was inclined to these clauses.	Mabel herself was inclined to these clauses.	true	170.3	172.84	23.476358
770_43321_000011_000001	They provided that, although worship was to be offered in every parish church of England on the ensuing first day of October, this was not to be compulsory on all subjects till the New Year; whereas, Germany, who had passed the Bill only a month before, had caused it to come into full force immediately, thus compelling all her Catholic subjects either to leave the country without delay or suffer the penalties.	They provided that, although worship was to be offered in every parish church of England on the ensuing first day of October, this was not to be compulsory on all subjects till the New Year; whereas, Germany, who had passed the Bill only a month before, had caused it to come into full force immediately, thus compelling all her Catholic subjects either to leave the country without delay or suffer the penalties.	true	173.06	193.78	21.769592
770_43321_000011_000002	These penalties were not vindictive: on a first offence a week's detention only was to be given; on the second, one month's imprisonment; on the third, one year's; and on the fourth, perpetual imprisonment until the criminal yielded.	These penalties were not vindictive: on a first offence a week's detention only was to be given; on the second, one month's imprisonment; on the third, one year's; and on the fourth, perpetual imprisonment until the criminal yielded.	true	194.36	206.53	21.912203
770_43321_000011_000003	These were merciful terms, it seemed; for even imprisonment itself meant no more than reasonable confinement and employment on Government works. There were no mediaeval horrors here; and the act of worship demanded was so little, too; it consisted of no more than bodily presence in the church or cathedral on the four new festivals of Maternity, Life, Sustenance and Paternity, celebrated on the first day of each quarter. Sunday worship was to be purely voluntary.	These were merciful terms, it seemed; for even imprisonment itself meant no more than reasonable confinement and employment on Government works. There were no mediaeval horrors here; and the act of worship demanded was so little, too; it consisted of no more than bodily presence in the church or cathedral on the four new festivals of Maternity, Life, Sustenance and Paternity, celebrated on the first day of each quarter. Sunday worship was to be purely voluntary.	true	206.96	233.5	23.264107
770_43321_000012_000000	She could not understand how any man could refuse this homage.	She could not understand how any man could refuse this homage.	true	234.26	238	18
770_43321_000012_000001	These four things were facts--they were the manifestations of what she called the Spirit of the World--and if others called that Power God, yet surely these ought to be considered as His functions.	These four things were facts-they were the manifestations of what she called the Spirit of the World-and if others called that Power God, yet surely these ought to be considered as His functions.	true	238.49	248.92	23.928848
770_43321_000012_000002	Where then was the difficulty?	Where then was the difficulty?	true	249.08	250.84	20.964247
770_43321_000012_000003	It was not as if Christian worship were not permitted, under the usual regulations.	It was not as if Christian worship were not permitted, under the usual regulations.	true	251.06	254.92	18
770_43321_000012_000004	Catholics could still go to mass.	Catholics could still go to mass.	true	255.08	256.93	18
770_43321_000012_000005	And yet appalling things were threatened in Germany: not less than twelve thousand persons had already left for Rome; and it was rumoured that forty thousand would refuse this simple act of homage a few days hence. It bewildered and angered her to think of it.	And yet appalling things were threatened in Germany: not less than twelve thousand persons had already left for Rome; and it was rumoured that forty thousand would refuse this simple act of homage a few days hence. It bewildered and angered her to think of it.	false	257.12	271	21.857494
770_43321_000013_000000	For herself the new worship was a crowning sign of the triumph of Humanity.	For herself the new worship was a crowning sign of the triumph of Humanity.	true	271.7	275.68	20
770_43321_000013_000001	Her heart had yearned for some such thing as this--some public corporate profession of what all now believed.	Her heart had yearned for some such thing as this-some public corporate profession of what all now believed.	true	275.96	283.06	21.470049
770_43321_000013_000002	She had so resented the dulness of folk who were content with action and never considered its springs.	She had so resented the dulness of folk who were content with action and never considered its springs.	true	283.25	288.73	20.514015
770_43321_000013_000003	Surely this instinct within her was a true one; she desired to stand with her fellows in some solemn place, consecrated not by priests but by the will of man; to have as her inspirers sweet singing and the peal of organs; to utter her sorrow with thousands beside her at her own feebleness of immolation before the Spirit of all; to sing aloud her praise of the glory of life, and to offer by sacrifice and incense an emblematic homage to That from which she drew her being, and to whom one day she must render it again.	Surely this instinct within her was a true one; she desired to stand with her fellows in some solemn place, consecrated not by priests but by the will of man; to have as her inspirers sweet singing and the peal of organs; to utter her sorrow with thousands beside her at her own feebleness of immolation before the Spirit of all; to sing aloud her praise of the glory of life, and to offer by sacrifice and incense an emblematic homage to That from which she drew her being, and to whom one day she must render it again.	false	289.13	322	21.411604
770_43321_000013_000004	Ah! these Christians had understood human nature, she had told herself a hundred times: it was true that they had degraded it, darkened light, poisoned thought, misinterpreted instinct; but they had understood that man must worship --must worship or sink.	Ah! these Christians had understood human nature, she had told herself a hundred times: it was true that they had degraded it, darkened light, poisoned thought, misinterpreted instinct; but they had understood that man must worship --must worship or sink.	true	322.25	339.1	25.20408
770_43321_000014_000000	For herself she intended to go at least once a week to the little old church half-a-mile away from her home, to kneel there before the sunlit sanctuary, to meditate on sweet mysteries, to present herself to That which she was yearning to love, and to drink, it might be, new draughts of life and power.	For herself she intended to go at least once a week to the little old church half a mile away from her home, to kneel there before the sunlit sanctuary, to meditate on sweet mysteries, to present herself to That which she was yearning to love, and to drink, it might be, new draughts of life and power.	true	339.32	357.13	21
770_43321_000015_000000	Ah! but the Bill must pass first....	Ah! but the Bill must pass first....	true	357.59	360.19	21.25569
770_43321_000015_000001	She clenched her hands on the rail, and stared steadily before her on the ranks of heads, the open gangways, the great mace on the table, and heard, above the murmur of the crowd outside and the dying whispers within, her own heart beat.	She clenched her hands on the rail, and stared steadily before her on the ranks of heads, the open gangways, the great mace on the table, and heard, above the murmur of the crowd outside and the dying whispers within, her own heart beat.	true	360.56	373.54	21
770_43321_000016_000000	She could not see Him, she knew.	She could not see Him, she knew.	true	374.06	376.15	17.081589
770_43321_000016_000001	He would come in from beneath through the door that none but He might use, straight into the seat beneath the canopy.	He would come in from beneath through the door that none but He might use, straight into the seat beneath the canopy.	true	376.46	382.81	20.039686
770_43321_000016_000002	But she would hear His voice--that must be joy enough for her....	But she would hear His voice-that must be joy enough for her....	true	383.3	388.66	20.662296
770_43321_000017_000000	Ah! there was silence now outside; the soft roar had died.	Ah! there was silence now outside; the soft roar had died.	true	389.21	394.21	20.65805
770_43321_000017_000001	He had come then.	He had come then.	true	394.52	395.8	20.22886
770_43321_000017_000002	And through swimming eyes she saw the long ridges of heads rise beneath her, and through drumming ears heard the murmur of many feet. All faces looked this way; and she watched them as a mirror to see the reflected light of His presence.	And through swimming eyes she saw the long ridges of heads rise beneath her, and through drumming ears heard the murmur of many feet. All faces looked this way; and she watched them as a mirror to see the reflected light of His presence.	true	396.56	410.35	20.334478
770_43321_000017_000003	There was a gentle sobbing somewhere in the air--was it her own or another's? ... the click of a door; a great mellow booming over-head, shock after shock, as the huge tenor bells tolled their three strokes; and, in an instant, over the white faces passed a ripple, as if some breeze of passion shook the souls within; there was a swaying here and there; and a passionless voice spoke half a dozen words in Esperanto, out of sight:	There was a gentle sobbing somewhere in the air-was it her own or another's? ... the click of a door; a great mellow booming over head, shock after shock, as the huge tenor bells tolled their three strokes; and, in an instant, over the white faces passed a ripple, as if some breeze of passion shook the souls within; there was a swaying here and there; and a passionless voice spoke half a dozen words in Esperanto, out of sight:	true	410.45	440.65	22.588234
770_43321_000018_000000	"Englishmen, I assent to the Bill of Worship."	"Englishmen, I assent to the Bill of Worship."	true	440.96	446.01	27.0996
770_43321_000019_000000	III	three	false	446.01	446.31	-20
770_43321_000020_000000	It was not until mid-day breakfast on the following morning that husband and wife met again.	It was not until mid day breakfast on the following morning that husband and wife met again.	false	446.31	451.77	23.666813
770_43321_000020_000001	Oliver had slept in town and telephoned about eleven o'clock that he would be home immediately, bringing a guest with him: and shortly before noon she heard their voices in the hall.	Oliver had slept in town and telephoned about eleven o'clock that he would be home immediately, bringing a guest with him: and shortly before noon she heard their voices in the hall.	false	451.77	457.98	21.20873
