8028_233382_000000_000000	[274] Blackmailing appears to be the most serious risk which the invert runs.	[two hundred seventy four] Blackmailing appears to be the most serious risk which the invert runs.	false	0	2.28	22.25255
8028_233382_000008_000001	Every hobo in the United States knows what "unnatural intercourse" means, talking about it freely, and, according to my finding, every tenth man practises it, and defends his conduct.	Every hobo in the United States knows what "unnatural intercourse" means, talking about it freely, and, according to my finding, every tenth man practises it, and defends his conduct.	false	149	162.15	21.086306
8028_233382_000008_000002	Boys are the victims of this passion.	Boys are the victims of this passion.	true	162.15	165.04	17.585335
8028_233382_000008_000003	The tramps gain possession of these boys in various ways.	The tramps gain possession of these boys in various ways.	true	165.53	168.705	15
8028_233382_000008_000004	A common method is to stop for awhile in some town, and gain acquaintance with the slum children.	A common method is to stop for awhile in some town, and gain acquaintance with the slum children.	true	168.705	173.68	16
8028_233382_000008_000005	They tell these children all sorts of stories about life "on the road," how they can ride on the railways for nothing, shoot Indians, and be "perfeshunnels" (professionals), and they choose some boy who specially pleases them.	They tell these children all sorts of stories about life "on the road," how they can ride on the railways for nothing, shoot Indians, and be "perfeshunnels" (professionals), and they choose some boy who specially pleases them.	false	174.17	190.12	22.75019
8028_233382_000008_000006	By smiles and flattering caresses they let him know that the stories are meant for him alone, and before long, if the boy is a suitable subject, he smiles back just as slyly.	By smiles and flattering caresses they let him know that the stories are meant for him alone, and before long, if the boy is a suitable subject, he smiles back just as slyly.	true	190.4	201.25	20.71917
8028_233382_000008_000007	In time he learns to think that he is the favorite of the tramp, who will take him on his travels, and he begins to plan secret meetings with the man.	In time he learns to think that he is the favorite of the tramp, who will take him on his travels, and he begins to plan secret meetings with the man.	true	201.74	210.28	20
8028_233382_000008_000008	The tramp, of course, continues to excite his imagination with stories and caresses, and some fine night there is one boy less in the town.	The tramp, of course, continues to excite his imagination with stories and caresses, and some fine night there is one boy less in the town.	true	210.74	219.13	15
8028_233382_000008_000009	On the road the lad is called a "prushun," and his protector a "jocker." The majority of prushuns are between 10 and 15 years of age, but I have known some under 10 and a few over 15.	On the road the lad is called a "prushun," and his protector a "jocker." The majority of prushuns are between ten and fifteen years of age, but I have known some under ten and a few over fifteen.	false	219.59	234.76	22.471512
8028_233382_000008_000010	Each is compelled by hobo law to let his jocker do with him as he will, and many, I fear, learn to enjoy his treatment of them.	Each is compelled by hobo law to let his jocker do with him as he will, and many, I fear, learn to enjoy his treatment of them.	true	235.25	243.31	19
8028_233382_000008_000011	They are also expected to beg in every town they come to, any laziness on their part receiving very severe punishment.	They are also expected to beg in every town they come to, any laziness on their part receiving very severe punishment.	true	243.86	251.68	21.025764
8028_233382_000009_000000	How the act of unnatural intercourse takes place is not entirely clear; the hoboes are not agreed.	How the act of unnatural intercourse takes place is not entirely clear; the hoboes are not agreed.	true	252.2	258.7	21.24231
8028_233382_000009_000001	From what I have personally observed I should say that it is usually what they call "leg-work" (intercrural), but sometimes _immissio penis in anum_, the boy, in either case, lying on his stomach.	From what I have personally observed I should say that it is usually what they call "leg work" (intercrural), but sometimes underscore immissio penis in anum underscore, the boy, in either case, lying on his stomach.	false	259.37	270.94	22.839144
8028_233382_000009_000002	I have heard terrible stories of the physical results to the boy of anal intercourse.	I have heard terrible stories of the physical results to the boy of anal intercourse.	true	271.16	275.95	19
8028_233382_000010_000000	One evening, near Cumberland, Pennsylvania, I was an unwilling witness of one of the worst scenes that can be imagined.	One evening, near Cumberland, Pennsylvania, I was an unwilling witness of one of the worst scenes that can be imagined.	false	276.71	285.01	20
8028_233382_000010_000001	In company with eight hoboes, I was in a freight-car attached to a slowly moving train.	In company with eight hoboes, I was in a freight car attached to a slowly moving train.	true	285.14	290.44	22
8028_233382_000010_000002	A colored boy succeeded in scrambling into the car, and when the train was well under way again he was tripped up and "seduced" (to use the hobo euphemism) by each of the tramps.	A colored boy succeeded in scrambling into the car, and when the train was well under way again he was tripped up and "seduced" (to use the hobo euphemism) by each of the tramps.	true	290.72	301.36	20
8028_233382_000010_000003	He made almost no resistance, and joked and laughed about the business as if he had expected it.	He made almost no resistance, and joked and laughed about the business as if he had expected it.	true	301.67	306.85	19
8028_233382_000010_000004	This, indeed, I find to be the general feeling among the boys when they have been thoroughly initiated.	This, indeed, I find to be the general feeling among the boys when they have been thoroughly initiated.	true	307.25	313.27	18
8028_233382_000010_000005	At first they do not submit, and are inclined to run away or fight, but the men fondle and pet them, and after awhile they do not seem to care.	At first they do not submit, and are inclined to run away or fight, but the men fondle and pet them, and after awhile they do not seem to care.	true	313.7	322.93	22.884935
8028_233382_000010_000006	Some of them have told me that they get as much pleasure out of the affair as the jocker does.	Some of them have told me that they get as much pleasure out of the affair as the jocker does.	true	323.39	327.58	19
8028_233382_000010_000007	Even little fellows under 10 have told me this, and I have known them to willfully tempt their jockers to intercourse.	Even little fellows under ten have told me this, and I have known them to willfully tempt their jockers to intercourse.	true	327.8	334.48	19
8028_233382_000010_000008	What the pleasure consists in I cannot say.	What the pleasure consists in I cannot say.	true	334.97	338.53	22
8028_233382_000010_000009	The youngsters themselves describe it as a delightful tickling sensation in the parts involved, and this is possibly all that it amounts to among the smallest lads.	The youngsters themselves describe it as a delightful tickling sensation in the parts involved, and this is possibly all that it amounts to among the smallest lads.	true	338.84	347.47	17
8028_233382_000010_000010	Those who have passed the age of puberty seem to be satisfied in pretty much the same way that the men are.	Those who have passed the age of puberty seem to be satisfied in pretty much the same way that the men are.	true	347.9	353.38	20
8028_233382_000010_000011	Among the men the practice is decidedly one of passion.	Among the men the practice is decidedly one of passion.	true	353.81	357.55	21
8028_233382_000010_000012	The majority of them prefer a prushun to a woman, and nothing is more severely judged than rape.	The majority of them prefer a prushun to a woman, and nothing is more severely judged than rape.	true	357.95	364.54	19.428015
8028_233382_000010_000013	One often reads in the newspapers that a woman has been assaulted by a tramp, but the perverted tramp is never the guilty party.	One often reads in the newspapers that a woman has been assaulted by a tramp, but the perverted tramp is never the guilty party.	true	364.88	372.04	19
8028_233382_000011_000000	I believe, however, that there are a few hoboes who have taken to boys because women are so scarce "on the road." For every woman in hoboland there are a hundred men.	I believe, however, that there are a few hoboes who have taken to boys because women are so scarce "on the road." For every woman in hoboland there are a hundred men.	false	372.95	385.6	20.93962
8028_233382_000011_000001	That this disproportion has something to do with the popularity of boys is made clear by the following case: In a gaol, where I was confined for a month during my life in vagabondage, I got acquainted with a tramp who had the reputation of being a "sod" (sodomist).	That this disproportion has something to do with the popularity of boys is made clear by the following case: In a gaol, where I was confined for a month during my life in vagabondage, I got acquainted with a tramp who had the reputation of being a "sod" (sodomist).	false	386.09	403.69	22.1503
8028_233382_000011_000002	One day a woman came to the gaol to see her husband, who was awaiting trial.	One day a woman came to the gaol to see her husband, who was awaiting trial.	true	404.15	408.37	18
8028_233382_000011_000003	One of the prisoners said he had known her before she was married and had lived with her.	One of the prisoners said he had known her before she was married and had lived with her.	true	408.71	413.08	20
8028_233382_000011_000004	The tramp was soon to be discharged, and he inquired where the woman lived.	The tramp was soon to be discharged, and he inquired where the woman lived.	true	413.39	417.19	19.89612
8028_233382_000011_000005	On learning that she was still approachable, he looked her up immediately after his release, and succeeded in staying with her for nearly a month.	On learning that she was still approachable, he looked her up immediately after his release, and succeeded in staying with her for nearly a month.	true	417.32	425.95	20.392569
8028_233382_000011_000006	He told me later that he enjoyed his life with her much more than his intercourse with boys.	He told me later that he enjoyed his life with her much more than his intercourse with boys.	true	426.08	430.72	18.141115
8028_233382_000011_000007	I asked him why he went with boys at all, and he replied: "'Cause there ain't women enough.	I asked him why he went with boys at all, and he replied: "'cause there ain't women enough.	true	431	435.97	21.951534
8028_233382_000011_000008	If I can't get them I've got to have the other."	If I can't get them I've got to have the other."	true	435.98	439	21.451214
8028_233382_000012_000000	It is in gaols that one sees the worst side of this perversion.	It is in gaols that one sees the worst side of this perversion.	true	440	443.92	18
8028_233382_000012_000001	In the daytime the prisoners are let out into a long hall, and can do much as they please; at night they are shut up, two and even four in a cell.	In the daytime the prisoners are let out into a long hall, and can do much as they please; at night they are shut up, two and even four in a cell.	true	444.11	452.26	21.950844
8028_233382_000012_000002	If there are any boys in the crowd, they are made use of by all who care to have them.	If there are any boys in the crowd, they are made use of by all who care to have them.	true	452.66	458.23	22.575941
8028_233382_000012_000003	If they refuse to submit, they are gagged and held down.	If they refuse to submit, they are gagged and held down.	true	458.51	461.95	19
8028_233382_000012_000004	The sheriff seldom knows what goes on, and for the boys to say anything to him would be suicidal.	The sheriff seldom knows what goes on, and for the boys to say anything to him would be suicidal.	true	462.23	467.35	19
8028_233382_000012_000005	There is a criminal ignorance all over the States concerning the life of these gaols, and things go on that would be impossible in any well-regulated prison.	There is a criminal ignorance all over the States concerning the life of these gaols, and things go on that would be impossible in any well regulated prison.	true	467.66	476.71	17
8028_233382_000012_000006	In one of these places I once witnessed the fiercest fight I have ever seen among hoboes; a boy was the cause of it.	In one of these places I once witnessed the fiercest fight I have ever seen among hoboes; a boy was the cause of it.	true	477.26	484.99	20.936914
8028_233382_000012_000007	Two men said they loved him, and he seemed to return the affection of both with equal desire.	Two men said they loved him, and he seemed to return the affection of both with equal desire.	true	485.27	489.67	20
8028_233382_000012_000008	A fight with razors was suggested to settle who should have him.[277] The men prepared for action, while the crowd gathered round to watch.	A fight with razors was suggested to settle who should have him.[two hundred seventy seven] The men prepared for action, while the crowd gathered round to watch.	false	489.77	497.175	19.309793
8028_233382_000012_000009	They slashed away for over half an hour, cutting each other terribly, and then their backers stopped them for fear of fatal results.	They slashed away for over half an hour, cutting each other terribly, and then their backers stopped them for fear of fatal results.	true	497.175	505.81	22.119606
8028_233382_000012_000010	The boy was given to the one who was hurt the least.	The boy was given to the one who was hurt the least.	true	506.12	510.78	19.412773
8028_233382_000013_000000	Jealousy is one of the first things one notices in connection with this passion.	Jealousy is one of the first things one notices in connection with this passion.	true	510.78	514.81	18
8028_233382_000013_000001	I have known them to withdraw entirely from the "hang-out" life simply to be sure that their prushuns were not touched by other tramps. Such attachments frequently last for years, and some boys remain with their first jockers until they are "emancipated."	I have known them to withdraw entirely from the "hang out" life simply to be sure that their prushuns were not touched by other tramps. Such attachments frequently last for years, and some boys remain with their first jockers until they are "emancipated."	false	515.21	532.98	22.904518
8028_233382_000014_000000	Emancipation means freedom to "snare" some other boy, and make him submit as the other had been obliged to submit when younger.	Emancipation means freedom to "snare" some other boy, and make him submit as the other had been obliged to submit when younger.	true	532.98	540.16	16
8028_233382_000014_000001	As a rule, the prushun is freed when he is able to protect himself.	As a rule, the prushun is freed when he is able to protect himself.	true	540.62	544.51	21.96625
8028_233382_000014_000002	If he can defend his "honor" from all who come, he is accepted into the class of "old stagers," and may do as he likes.	If he can defend his "honor" from all who come, he is accepted into the class of "old stagers," and may do as he likes.	false	544.73	553.93	20.652206
8028_233382_000014_000003	This is the one reward held out to prushuns during their apprenticeship.	This is the one reward held out to prushuns during their apprenticeship.	true	554.45	558.75	20.490778
8028_233382_000014_000004	They are told that some day they can have a boy and use him as they have been used.	They are told that some day they can have a boy and use him as they have been used.	false	558.75	564.49	21.92216
8028_233382_000014_000005	Thus hoboland is always sure of recruits.	Thus hoboland is always sure of recruits.	true	565.01	568.33	18.730228
8028_233382_000015_000000	It is difficult to say how many tramps are sexually inverted.	It is difficult to say how many tramps are sexually inverted.	true	569.36	573.01	20
8028_233382_000015_000001	It is not even certainly known how many vagabonds there are in the country.	It is not even certainly known how many vagabonds there are in the country.	true	573.2	577.48	15
8028_233382_000015_000002	I have stated in one of my papers on tramps that, counting the boys, there are between fifty and sixty thousand genuine hoboes in the United States.	I have stated in one of my papers on tramps that, counting the boys, there are between fifty and sixty thousand genuine hoboes in the United States.	true	577.76	586.27	21.337208
8028_233382_000015_000003	A vagabond in Texas who saw this statement wrote me that he considered my estimate too low.	A vagabond in Texas who saw this statement wrote me that he considered my estimate too low.	true	586.7	592.27	20
8028_233382_000015_000004	The newspapers have criticised it as too high, but they are unable to judge.	The newspapers have criticised it as too high, but they are unable to judge.	true	592.46	596.95	21
8028_233382_000015_000005	If my figures are, as I believe, at least approximately correct, the sexually perverted tramps may be estimated at between five and six thousand; this includes men and boys.	If my figures are, as I believe, at least approximately correct, the sexually perverted tramps may be estimated at between five and six thousand; this includes men and boys.	true	597.32	608.8	21
8028_233382_000016_000000	I have been told lately by tramps that the boys are less numerous than they were a few years ago.	I have been told lately by tramps that the boys are less numerous than they were a few years ago.	true	609.5	614.35	17
8028_233382_000016_000001	They say that it is now a risky business to be seen with a boy, and that it is more profitable, as far as begging is concerned, to go without them.	They say that it is now a risky business to be seen with a boy, and that it is more profitable, as far as begging is concerned, to go without them.	true	614.63	622.09	17
8028_233382_000016_000002	Whether this means that the passion is less fierce than it used to be, or that the men find sexual satisfaction among themselves, I cannot say definitely.	Whether this means that the passion is less fierce than it used to be, or that the men find sexual satisfaction among themselves, I cannot say definitely.	true	622.43	630.46	17
8028_233382_000016_000003	But from what I know of their disinclination to adopt the latter alternative, I am inclined to think that the passion may be dying out somewhat.	But from what I know of their disinclination to adopt the latter alternative, I am inclined to think that the passion may be dying out somewhat.	true	630.8	638.8	21
8028_233382_000016_000004	I am sure that women are not more numerous "on the road" than formerly, and that the change, if real, has not been caused by them.	I am sure that women are not more numerous "on the road" than formerly, and that the change, if real, has not been caused by them.	false	638.81	647.5	19
8028_233382_000016_000005	So much for my finding in the United States.	So much for my finding in the United States.	true	647.96	650.92	21.778347
8028_233382_000017_000000	In England, where I have also lived with tramps for some time, I have found very little contrary sexual feeling.	In England, where I have also lived with tramps for some time, I have found very little contrary sexual feeling.	false	651.71	657.91	20
8028_233382_000017_000001	In Germany, also, excepting in prisons and work-houses, it seems very little known among vagabonds.	In Germany, also, excepting in prisons and work houses, it seems very little known among vagabonds.	true	658.34	664.63	15
8028_233382_000017_000002	There are a few Jewish wanderers (sometimes peddlers) who are said to have boys in their company, and I am told that they use them as the hoboes in the United States use their boys, but I cannot prove this from personal observation.	There are a few Jewish wanderers (sometimes peddlers) who are said to have boys in their company, and I am told that they use them as the hoboes in the United States use their boys, but I cannot prove this from personal observation.	true	665.03	677.83	17
8028_233382_000017_000003	In England I have met a number of male tramps who had no hesitation in declaring their preference for their own sex, and particularly for boys, but I am bound to say that I have seldom seen them with boys; as a rule, they were quite alone, and they seem to live chiefly by themselves.	In England I have met a number of male tramps who had no hesitation in declaring their preference for their own sex, and particularly for boys, but I am bound to say that I have seldom seen them with boys; as a rule, they were quite alone, and they seem to live chiefly by themselves.	true	678.38	695.26	19
8028_233382_000018_000000	It is a noteworthy fact that both in England and Germany there are a great many women "on the road," or, at all events, so near it that intercourse with them is easy and cheap.	It is a noteworthy fact that both in England and Germany there are a great many women "on the road," or, at all events, so near it that intercourse with them is easy and cheap.	false	696.17	708.04	23.270994
8028_233382_000018_000001	In Germany almost every town has its quarter of "Stadt-Schieze"[278]: women who sell their bodies for a very small sum. They seldom ask over thirty or forty pfennigs for a night, which is usually spent in the open air.	In Germany almost every town has its quarter of "Stadt Schieze"[two hundred seventy eight]: women who sell their bodies for a very small sum. They seldom ask over thirty or forty pfennigs for a night, which is usually spent in the open air.	false	708.23	721.57	23
8028_233382_000018_000002	In England it is practically the same thing.	In England it is practically the same thing.	true	721.82	724.275	19
8028_233382_000018_000003	In all the large cities there are women who are glad to do business for three or four pence, and those "on the road" for even less.	In all the large cities there are women who are glad to do business for three or four pence, and those "on the road" for even less.	false	724.275	733.06	21.577967
8028_233382_000019_000000	The general impression made on me by the sexually perverted men I have met in vagabondage is that they are abnormally masculine.	The general impression made on me by the sexually perverted men I have met in vagabondage is that they are abnormally masculine.	true	733.88	741.64	15
8028_233382_000019_000001	In their intercourse with boys they always take the active part.	In their intercourse with boys they always take the active part.	true	741.77	745.84	23.322493
8028_233382_000019_000002	The boys have, in some cases, seemed to me uncommonly feminine, but not as a rule.	The boys have, in some cases, seemed to me uncommonly feminine, but not as a rule.	true	746.06	751.24	18
8028_233382_000019_000003	In the main, they are very much like other lads, and I am unable to say whether their liking for the inverted relationship is inborn or acquired.	In the main, they are very much like other lads, and I am unable to say whether their liking for the inverted relationship is inborn or acquired.	true	751.61	759.73	18
8028_233382_000019_000004	That it is, however, a genuine liking, in altogether too many instances, I do not, in the least, doubt.	That it is, however, a genuine liking, in altogether too many instances, I do not, in the least, doubt.	true	760.1	767.26	22.500296
8028_233382_000019_000005	As such, and all the more because it is such, it deserves to be more thoroughly investigated and more reasonably treated.	As such, and all the more because it is such, it deserves to be more thoroughly investigated and more reasonably treated.	true	767.48	774.94	21.499563
8028_233382_000020_000000	"Josiah Flynt" who wrote the foregoing account of tramp-life for the second edition of this volume, was well known as author, sociologist, and tramp.	"Josiah Flynt" who wrote the foregoing account of tramp life for the second edition of this volume, was well known as author, sociologist, and tramp.	true	775.73	786.19	24.804691
8028_233382_000020_000001	He was especially, and it would seem by innate temperament, the tramp, which part he looked to perfection (he himself referred to his "weasoned face and diminutive form") and felt completely at home in.	He was especially, and it would seem by innate temperament, the tramp, which part he looked to perfection (he himself referred to his "weasoned face and diminutive form") and felt completely at home in.	false	786.53	802.45	22.567812
8028_233382_000020_000002	He was thus able to throw much light on the psychology of the tramp, and his books (such as _Tramping with Tramps_) are valuable from this point of view.	He was thus able to throw much light on the psychology of the tramp, and his books (such as underscore Tramping with Tramps underscore) are valuable from this point of view.	false	802.94	813.16	23.613333
8028_233382_000020_000003	His real name was F. Willard and he was a nephew of Miss Frances Willard.	His real name was f Willard and he was a nephew of Miss Frances Willard.	true	813.59	819.19	20.112505
8028_233382_000020_000004	He died in Chicago, in 1907, at the age of 38, shortly after writing a frank and remarkable _Autobiography_.	He died in Chicago, in nineteen o seven, at the age of thirty eight, shortly after writing a frank and remarkable underscore Autobiography underscore.	false	819.53	829.32	22.698582
8028_233382_000020_000005	I am able to supplement his observations on tramps, so far as England is concerned, by the following passages from a detailed record sent to me by an English correspondent:--	I am able to supplement his observations on tramps, so far as England is concerned, by the following passages from a detailed record sent to me by an English correspondent:--	true	829.32	840.31	20
8028_233382_000021_000000	"I am a male invert with complete feminine, sexual inclinations.	"I am a male invert with complete feminine, sexual inclinations.	true	841.97	847.48	22
8028_233382_000021_000001	Different meetings with 'tramps' led me to seek intimacy with them and for about twenty years I have gone on the 'tramp' myself so that I might come in the closest contact with them, in England, Scotland, and Wales.	Different meetings with 'tramps' led me to seek intimacy with them and for about twenty years I have gone on the 'tramp' myself so that I might come in the closest contact with them, in England, Scotland, and Wales.	true	847.88	861.34	19
8028_233382_000022_000000	"As in the United States, there are two classes of tramps those who would work, such as harvesters, road-makers, etc., and those who will not work, but make tramping a profession.	"As in the United States, there are two classes of tramps those who would work, such as harvesters, road makers, etc, and those who will not work, but make tramping a profession.	true	861.77	873.34	21.972132
8028_233382_000022_000001	Among both these classes my experience is that 90 per cent, or I even would be bold enough to say 100 per cent, indulge in homosexuality when the opportunity occurs, and I do not make any distinction between the two classes.	Among both these classes my experience is that ninety per cent, or I even would be bold enough to say one hundred per cent, indulge in homosexuality when the opportunity occurs, and I do not make any distinction between the two classes.	true	873.77	888.73	16
8028_233382_000023_000000	"There are numerous reasons for this and I will state a few.	"There are numerous reasons for this and I will state a few.	true	889.73	893.61	17.70709
8028_233382_000023_000001	A certain number may prefer normal connection with a female, but except for those who tramp in vans and a limited number who have 'donnas' with them, women are not available, as prostitutes very seldom allow intimacy for 'love' except when drunk.	A certain number may prefer normal connection with a female, but except for those who tramp in vans and a limited number who have 'donnas' with them, women are not available, as prostitutes very seldom allow intimacy for 'love' except when drunk.	false	893.61	910.45	21
8028_233382_000023_000002	Tramps are also afraid of any venereal disease as it means the misery of the Lock Hospital.	Tramps are also afraid of any venereal disease as it means the misery of the Lock Hospital.	true	910.82	916.36	12
8028_233382_000023_000003	Most of them are sociable and prefer to tramp with a 'make.' With this mate, with whom he sleeps and rests and 'boozes' when they are in funds, sexual intimacy naturally takes place, as my experience has been that one of the two is male and the other female in their sexual desires, but I have known instances where they have acted both roles.	Most of them are sociable and prefer to tramp with a 'make.' With this mate, with whom he sleeps and rests and 'boozes' when they are in funds, sexual intimacy naturally takes place, as my experience has been that one of the two is male and the other female in their sexual desires, but I have known instances where they have acted both roles.	false	917.03	942.28	21.807102
8028_233382_000023_000004	Then male prostitution is to be had for nothing, and even occasionally when a tramp meets a 'toff' it is a means of earning money, either fairly or otherwise.	Then male prostitution is to be had for nothing, and even occasionally when a tramp meets a 'toff' it is a means of earning money, either fairly or otherwise.	false	942.83	955.42	22
8028_233382_000023_000005	I have never known a male tramp to refuse satisfaction if I offered a drink or two, or a small sum of money.	I have never known a male tramp to refuse satisfaction if I offered a drink or two, or a small sum of money.	true	955.73	962.62	18
8028_233382_000023_000006	One told me that he envied 'no lords or toffs' as long as he got plenty of 'booze and buggery.'	One told me that he envied 'no lords or toffs' as long as he got plenty of 'booze and buggery.'	false	962.96	974.31	21.137062
8028_233382_000024_000000	"Another one, who told me that he had been twenty-five years on the road, said that he could not endure to sleep alone. (He was a pedlar, openly of cheap religious books and secretly of the vilest pamphlets and photographs).	"Another one, who told me that he had been twenty five years on the road, said that he could not endure to sleep alone. (He was a pedlar, openly of cheap religious books and secretly of the vilest pamphlets and photographs).	true	974.31	988.33	21.701378
8028_233382_000024_000001	He had 'done time' and he said the greatest punishment to him was not being able to have a 'make' who would submit to penetration, though he was not particular what form the sexual act took.	He had 'done time' and he said the greatest punishment to him was not being able to have a 'make' who would submit to penetration, though he was not particular what form the sexual act took.	true	988.61	1000.69	22.554005
8028_233382_000024_000002	Another fine young man, whom I chanced to meet the very day he had been released from a long sentence in prison for burglary and with whom I passed a night of incessant and almost brutal intimacy, said his punishment was seeing men always about him and being unable to have connection with them.	Another fine young man, whom I chanced to meet the very day he had been released from a long sentence in prison for burglary and with whom I passed a night of incessant and almost brutal intimacy, said his punishment was seeing men always about him and being unable to have connection with them.	true	1001.12	1018.93	17
8028_233382_000024_000003	Another and very powerful influence in 'tramps' toward homosexuality is that, in the low lodging houses they are obliged to frequent, a single bed is perhaps double to one with a bedmate whom perhaps he has never seen before, and especially in hot weather, when the rule is nakedness.	Another and very powerful influence in 'tramps' toward homosexuality is that, in the low lodging houses they are obliged to frequent, a single bed is perhaps double to one with a bedmate whom perhaps he has never seen before, and especially in hot weather, when the rule is nakedness.	true	1019.45	1038.31	20
8028_233382_000025_000000	"My sexual desires being for the male invert I have come most in contact with them and have found that they form much the larger class.	"My sexual desires being for the male invert I have come most in contact with them and have found that they form much the larger class.	true	1038.77	1047.19	18
8028_233382_000025_000001	Among harvesters and seafaring tramps it is seldom you find a 'dandy' such as I was considered, and as such I was eagerly courted, and any suggestion of intimacy on my part quickly responded to.	Among harvesters and seafaring tramps it is seldom you find a 'dandy' such as I was considered, and as such I was eagerly courted, and any suggestion of intimacy on my part quickly responded to.	false	1047.38	1062.1	19
8028_233382_000025_000002	As regards the use of young boys for homosexual indulgence, it is not common as it is too dangerous, though I have known boys, especially those belonging to vans or gypsies, to prostitute themselves, always for money.	As regards the use of young boys for homosexual indulgence, it is not common as it is too dangerous, though I have known boys, especially those belonging to vans or gypsies, to prostitute themselves, always for money.	true	1062.71	1077.4	19
8028_233382_000026_000000	"On one occasion I saw a boy who created quite an outburst of lust of homosexual nature.	"On one occasion I saw a boy who created quite an outburst of lust of homosexual nature.	true	1078.37	1084.15	18
