1678_142279_000002_000000	CHAPTER V	CHAPTER five
1678_142279_000034_000001	She knew that his very reserve had originated in a tenderness for her, which might be cowardly, but was not unfeeling.	She knew that his very reserve had originated in a tenderness for her, which might be cowardly, but was not unfeeling.
1678_142279_000036_000000	'You can't think the smoky air of a manufacturing town, all chimneys and dirt like Milton-Northern, would be better than this air, which is pure and sweet, if it is too soft and relaxing.	'You can't think the smoky air of a manufacturing town, all chimneys and dirt like Milton Northern, would be better than this air, which is pure and sweet, if it is too soft and relaxing.
1678_142279_000036_000001	Fancy living in the middle of factories, and factory people!	Fancy living in the middle of factories, and factory people!
1678_142279_000036_000002	Though, of course, if your father leaves the Church, we shall not be admitted into society anywhere.	Though, of course, if your father leaves the Church, we shall not be admitted into society anywhere.
1678_142279_000036_000005	It is well he is not alive to see what your father has come to!	It is well he is not alive to see what your father has come to!
1678_142279_000036_000006	Every day after dinner, when I was a girl, living with your aunt Shaw, at Beresford Court, Sir John used to give for the first toast--"Church and King, and down with the Rump."'	Every day after dinner, when I was a girl, living with your aunt Shaw, at Beresford Court, Sir john used to give for the first toast-"Church and King, and down with the Rump."'
1678_142279_000037_000000	Margaret was glad that her mother's thoughts were turned away from the fact of her husband's silence to her on the point which must have been so near his heart.	Margaret was glad that her mother's thoughts were turned away from the fact of her husband's silence to her on the point which must have been so near his heart.
1678_142279_000037_000001	Next to the serious vital anxiety as to the nature of her father's doubts, this was the one circumstance of the case that gave Margaret the most pain.	Next to the serious vital anxiety as to the nature of her father's doubts, this was the one circumstance of the case that gave Margaret the most pain.
1678_142279_000038_000000	'You know, we have very little society here, mamma.	'You know, we have very little society here, mamma.
1678_142279_000038_000001	The Gormans, who are our nearest neighbours (to call society--and we hardly ever see them), have been in trade just as much as these Milton-Northern people.'	The Gormans, who are our nearest neighbours (to call society-and we hardly ever see them), have been in trade just as much as these Milton Northern people.'
1678_142279_000039_000000	'Yes,' said Mrs. Hale, almost indignantly, 'but, at any rate, the Gormans made carriages for half the gentry of the county, and were brought into some kind of intercourse with them; but these factory people, who on earth wears cotton that can afford linen?'	'Yes,' said mrs Hale, almost indignantly, 'but, at any rate, the Gormans made carriages for half the gentry of the county, and were brought into some kind of intercourse with them; but these factory people, who on earth wears cotton that can afford linen?'
1678_142279_000040_000000	'Well, mamma, I give up the cotton-spinners; I am not standing up for them, any more than for any other trades-people.	'Well, mamma, I give up the cotton spinners; I am not standing up for them, any more than for any other trades people.
1678_142279_000040_000001	Only we shall have little enough to do with them.'	Only we shall have little enough to do with them.'
1678_142279_000041_000000	'Why on earth has your father fixed on Milton-Northern to live in?'	'Why on earth has your father fixed on Milton Northern to live in?'
1678_142279_000042_000000	'Partly,' said Margaret, sighing, 'because it is so very different from Helstone--partly because Mr. Bell says there is an opening there for a private tutor.'	'Partly,' said Margaret, sighing, 'because it is so very different from Helstone-partly because mr Bell says there is an opening there for a private tutor.'
1678_142279_000043_000000	'Private tutor in Milton!	'Private tutor in Milton!
1678_142279_000043_000001	Why can't he go to Oxford, and be a tutor to gentlemen?'	Why can't he go to Oxford, and be a tutor to gentlemen?'
1678_142279_000044_000000	'You forget, mamma!	'You forget, mamma!
1678_142279_000044_000001	He is leaving the Church on account of his opinions--his doubts would do him no good at Oxford.'	He is leaving the Church on account of his opinions-his doubts would do him no good at Oxford.'
1678_142279_000045_000000	Mrs. Hale was silent for some time, quietly crying.	mrs Hale was silent for some time, quietly crying.
1678_142279_000047_000000	Margaret was inexpressibly relieved to find that her mother's anxiety and distress was lowered to this point, so insignificant to herself, and on which she could do so much to help.	Margaret was inexpressibly relieved to find that her mother's anxiety and distress was lowered to this point, so insignificant to herself, and on which she could do so much to help.
1678_142279_000047_000001	She planned and promised, and led her mother on to arrange fully as much as could be fixed before they knew somewhat more definitively what Mr. Hale intended to do.	She planned and promised, and led her mother on to arrange fully as much as could be fixed before they knew somewhat more definitively what mr Hale intended to do.
1678_142279_000047_000004	She dared not go to meet him, and tell him what she had done all day, for fear of her mother's jealous annoyance. She heard him linger, as if awaiting her, or some sign of her; and she dared not stir; she saw by her mother's twitching lips, and changing colour, that she too was aware that her husband had returned.	She dared not go to meet him, and tell him what she had done all day, for fear of her mother's jealous annoyance. She heard him linger, as if awaiting her, or some sign of her; and she dared not stir; she saw by her mother's twitching lips, and changing colour, that she too was aware that her husband had returned.
1678_142279_000047_000006	She went to him, and threw herself on his breast, crying out--	She went to him, and threw herself on his breast, crying out-
1678_142279_000048_000000	'Oh! Richard, Richard, you should have told me sooner!'	'Oh! Richard, Richard, you should have told me sooner!'
1678_142279_000049_000002	In consequence of this, Margaret felt herself touched, and started up into a sitting posture; she saw the accustomed room, the figure of Dixon in shadow, as the latter stood holding the candle a little behind her, for fear of the effect on Miss Hale's startled eyes, swollen and blinded as they were.	In consequence of this, Margaret felt herself touched, and started up into a sitting posture; she saw the accustomed room, the figure of Dixon in shadow, as the latter stood holding the candle a little behind her, for fear of the effect on Miss Hale's startled eyes, swollen and blinded as they were.
1678_142279_000050_000000	'Oh, Dixon!	'Oh, Dixon!
1678_142279_000050_000001	I did not hear you come into the room!' said Margaret, resuming her trembling self-restraint. 'Is it very late?' continued she, lifting herself languidly off the bed, yet letting her feet touch the ground without fairly standing down, as she shaded her wet ruffled hair off her face, and tried to look as though nothing were the matter; as if she had only been asleep.	I did not hear you come into the room!' said Margaret, resuming her trembling self restraint. 'Is it very late?' continued she, lifting herself languidly off the bed, yet letting her feet touch the ground without fairly standing down, as she shaded her wet ruffled hair off her face, and tried to look as though nothing were the matter; as if she had only been asleep.
1678_142279_000051_000000	'I hardly can tell what time it is,' replied Dixon, in an aggrieved tone of voice.	'I hardly can tell what time it is,' replied Dixon, in an aggrieved tone of voice.
1678_142279_000051_000001	'Since your mamma told me this terrible news, when I dressed her for tea, I've lost all count of time.	'Since your mamma told me this terrible news, when I dressed her for tea, I've lost all count of time.
1678_142279_000051_000003	When Charlotte told me just now you were sobbing, Miss Hale, I thought, no wonder, poor thing!	When Charlotte told me just now you were sobbing, Miss Hale, I thought, no wonder, poor thing!
1678_142279_000051_000004	And master thinking of turning Dissenter at his time of life, when, if it is not to be said he's done well in the Church, he's not done badly after all.	And master thinking of turning Dissenter at his time of life, when, if it is not to be said he's done well in the Church, he's not done badly after all.
1678_142279_000051_000005	I had a cousin, miss, who turned Methodist preacher after he was fifty years of age, and a tailor all his life; but then he had never been able to make a pair of trousers to fit, for as long as he had been in the trade, so it was no wonder; but for master! as I said to missus, "What would poor Sir John have said?	I had a cousin, miss, who turned Methodist preacher after he was fifty years of age, and a tailor all his life; but then he had never been able to make a pair of trousers to fit, for as long as he had been in the trade, so it was no wonder; but for master! as I said to missus, "What would poor Sir john have said?
1678_142279_000051_000006	he never liked your marrying Mr. Hale, but if he could have known it would have come to this, he would have sworn worse oaths than ever, if that was possible!"'	he never liked your marrying mr Hale, but if he could have known it would have come to this, he would have sworn worse oaths than ever, if that was possible!"'
1678_142279_000052_000001	To hear her father talked of in this way by a servant to her face!	To hear her father talked of in this way by a servant to her face!
1678_142279_000053_000001	'Dixon! you forget to whom you are speaking.' She stood upright and firm on her feet now, confronting the waiting-maid, and fixing her with her steady discerning eye.	'Dixon! you forget to whom you are speaking.' She stood upright and firm on her feet now, confronting the waiting maid, and fixing her with her steady discerning eye.
1678_142279_000053_000002	'I am Mr. Hale's daughter.	'I am mr Hale's daughter.
1678_142279_000053_000004	You have made a strange mistake, and one that I am sure your own good feeling will make you sorry for when you think about it.'	You have made a strange mistake, and one that I am sure your own good feeling will make you sorry for when you think about it.'
1678_142279_000054_000000	Dixon hung irresolutely about the room for a minute or two.	Dixon hung irresolutely about the room for a minute or two.
1678_142279_000054_000001	Margaret repeated, 'You may leave me, Dixon.	Margaret repeated, 'You may leave me, Dixon.
1678_142279_000056_000000	'No! not to-night, thank you.' And Margaret gravely lighted her out of the room, and bolted the door.	'No! not to night, thank you.' And Margaret gravely lighted her out of the room, and bolted the door.
1678_142279_000056_000001	From henceforth Dixon obeyed and admired Margaret.	From henceforth Dixon obeyed and admired Margaret.
1678_142279_000056_000002	She said it was because she was so like poor Master Frederick; but the truth was, that Dixon, as do many others, liked to feel herself ruled by a powerful and decided nature.	She said it was because she was so like poor Master Frederick; but the truth was, that Dixon, as do many others, liked to feel herself ruled by a powerful and decided nature.
1678_142279_000057_000003	Dixon, true to her post of body-guard, attended most faithfully to her mistress, and only emerged from Mrs. Hale's bed-room to shake her head, and murmur to herself in a manner which Margaret did not choose to hear.	Dixon, true to her post of body guard, attended most faithfully to her mistress, and only emerged from mrs Hale's bed room to shake her head, and murmur to herself in a manner which Margaret did not choose to hear.
1678_142279_000057_000006	For he came home every evening more and more depressed, after the necessary leave-taking which he had resolved to have with every individual parishioner.	For he came home every evening more and more depressed, after the necessary leave taking which he had resolved to have with every individual parishioner.
1678_142279_000057_000008	The cook and Charlotte worked away with willing arms and stout hearts at all the moving and packing; and as far as that went, Margaret's admirable sense enabled her to see what was best, and to direct how it should be done.	The cook and Charlotte worked away with willing arms and stout hearts at all the moving and packing; and as far as that went, Margaret's admirable sense enabled her to see what was best, and to direct how it should be done.
1678_142279_000057_000009	But where were they to go to? In a week they must be gone.	But where were they to go to? In a week they must be gone.
1678_142279_000057_000010	Straight to Milton, or where?	Straight to Milton, or where?
1678_142279_000057_000012	He answered:	He answered:
1678_142279_000058_000000	'My dear!	'My dear!
1678_142279_000058_000001	I have really had too much to think about to settle this.	I have really had too much to think about to settle this.
1678_142279_000058_000002	What does your mother say?	What does your mother say?
1678_142279_000058_000003	What does she wish?	What does she wish?
1678_142279_000059_000000	He met with an echo even louder than his sigh.	He met with an echo even louder than his sigh.
1678_142279_000059_000001	Dixon had just come into the room for another cup of tea for Mrs. Hale, and catching Mr. Hale's last words, and protected by his presence from Margaret's upbraiding eyes, made bold to say, 'My poor mistress!'	Dixon had just come into the room for another cup of tea for mrs Hale, and catching mr Hale's last words, and protected by his presence from Margaret's upbraiding eyes, made bold to say, 'My poor mistress!'
1678_142279_000060_000000	'You don't think her worse to-day,' said Mr. Hale, turning hastily.	'You don't think her worse to day,' said mr Hale, turning hastily.
1678_142279_000061_000000	'I'm sure I can't say, sir.	'I'm sure I can't say, sir.
1678_142279_000061_000001	It's not for me to judge.	It's not for me to judge.
1678_142279_000062_000000	Mr. Hale looked infinitely distressed.	mr Hale looked infinitely distressed.
1678_142279_000063_000000	'You had better take mamma her tea while it is hot, Dixon,' said Margaret, in a tone of quiet authority.	'You had better take mamma her tea while it is hot, Dixon,' said Margaret, in a tone of quiet authority.
1678_142279_000065_000000	'Papa!' said Margaret, 'it is this suspense that is bad for you both.	'Papa!' said Margaret, 'it is this suspense that is bad for you both.
1678_142279_000065_000002	And I think, papa, that I could get mamma to help me in planning, if you could tell me what to plan for.	And I think, papa, that I could get mamma to help me in planning, if you could tell me what to plan for.
1678_142279_000065_000003	She has never expressed any wish in any way, and only thinks of what can't be helped.	She has never expressed any wish in any way, and only thinks of what can't be helped.
1678_142279_000065_000005	Have you taken a house there?'	Have you taken a house there?'
1678_142279_000066_000001	'I suppose we must go into lodgings, and look about for a house.	'I suppose we must go into lodgings, and look about for a house.
1678_142279_000067_000000	'And pack up the furniture so that it can be left at the railway station, till we have met with one?'	'And pack up the furniture so that it can be left at the railway station, till we have met with one?'
1678_142279_000068_000000	'I suppose so.	'I suppose so.
1678_142279_000068_000001	Do what you think best.	Do what you think best.
1678_142279_000068_000002	Only remember, we shall have much less money to spend.'	Only remember, we shall have much less money to spend.'
1678_142279_000069_000000	They had never had much superfluity, as Margaret knew.	They had never had much superfluity, as Margaret knew.
1678_142279_000069_000001	She felt that it was a great weight suddenly thrown upon her shoulders.	She felt that it was a great weight suddenly thrown upon her shoulders.
1678_142279_000069_000002	Four months ago, all the decisions she needed to make were what dress she would wear for dinner, and to help Edith to draw out the lists of who should take down whom in the dinner parties at home.	Four months ago, all the decisions she needed to make were what dress she would wear for dinner, and to help Edith to draw out the lists of who should take down whom in the dinner parties at home.
1678_142279_000069_000003	Nor was the household in which she lived one that called for much decision.	Nor was the household in which she lived one that called for much decision.
1678_142279_000069_000005	Once a year, there was a long discussion between her aunt and Edith as to whether they should go to the Isle of Wight, abroad, or to Scotland; but at such times Margaret herself was secure of drifting, without any exertion of her own, into the quiet harbour of home.	Once a year, there was a long discussion between her aunt and Edith as to whether they should go to the Isle of Wight, abroad, or to Scotland; but at such times Margaret herself was secure of drifting, without any exertion of her own, into the quiet harbour of home.
1678_142279_000069_000006	Now, since that day when Mr. Lennox came, and startled her into a decision, every day brought some question, momentous to her, and to those whom she loved, to be settled.	Now, since that day when mr Lennox came, and startled her into a decision, every day brought some question, momentous to her, and to those whom she loved, to be settled.
1678_142279_000070_000000	Her father went up after tea to sit with his wife.	Her father went up after tea to sit with his wife.
1678_142279_000070_000001	Margaret remained alone in the drawing-room.	Margaret remained alone in the drawing room.
1678_142279_000070_000002	Suddenly she took a candle and went into her father's study for a great atlas, and lugging it back into the drawing-room, she began to pore over the map of England.	Suddenly she took a candle and went into her father's study for a great atlas, and lugging it back into the drawing room, she began to pore over the map of England.
1678_142279_000071_000000	'I have hit upon such a beautiful plan.	'I have hit upon such a beautiful plan.
1678_142279_000071_000001	Look here--in Darkshire, hardly the breadth of my finger from Milton, is Heston, which I have often heard of from people living in the north as such a pleasant little bathing-place.	Look here-in Darkshire, hardly the breadth of my finger from Milton, is Heston, which I have often heard of from people living in the north as such a pleasant little bathing place.
1678_142279_000071_000003	She would get a breath of sea air to set her up for the winter, and be spared all the fatigue, and Dixon would enjoy taking care of her.'	She would get a breath of sea air to set her up for the winter, and be spared all the fatigue, and Dixon would enjoy taking care of her.'
1678_142279_000073_000000	'Oh, yes!' said Margaret. 'Dixon quite intends it, and I don't know what mamma would do without her.'	'Oh, yes!' said Margaret. 'Dixon quite intends it, and I don't know what mamma would do without her.'
1678_142279_000075_000000	'To be sure she does, papa,' replied Margaret; 'and if she has to put up with a different style of living, we shall have to put up with her airs, which will be worse.	'To be sure she does, papa,' replied Margaret; 'and if she has to put up with a different style of living, we shall have to put up with her airs, which will be worse.
1678_142279_000075_000001	But she really loves us all, and would be miserable to leave us, I am sure--especially in this change; so, for mamma's sake, and for the sake of her faithfulness, I do think she must go.'	But she really loves us all, and would be miserable to leave us, I am sure-especially in this change; so, for mamma's sake, and for the sake of her faithfulness, I do think she must go.'
1678_142279_000076_000002	I am resigned.	I am resigned.
1678_142279_000076_000004	The breadth of one of your fingers does not give me a very clear idea of distance.'	The breadth of one of your fingers does not give me a very clear idea of distance.'
1678_142279_000078_000000	'Not in distance, but in--.	'Not in distance, but in-.
1678_142279_000078_000002	If you really think it will do your mother good, let it be fixed so.'	If you really think it will do your mother good, let it be fixed so.'
1678_142279_000079_000000	This was a great step.	This was a great step.
1678_142279_000079_000001	Now Margaret could work, and act, and plan in good earnest.	Now Margaret could work, and act, and plan in good earnest.
