14_212_000000_000000	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	false	0	2.52	13.923377
14_212_000006_000002	Maria desired no greater pleasure than to speak of it; and Catherine immediately learnt that it had been altogether the most delightful scheme in the world, that nobody could imagine how charming it had been, and that it had been more delightful than anybody could conceive.	Maria desired no greater pleasure than to speak of it; and Catherine immediately learnt that it had been altogether the most delightful scheme in the world, that nobody could imagine how charming it had been, and that it had been more delightful than anybody could conceive.	false	55.94	71.56	21.234207
14_212_000006_000003	Such was the information of the first five minutes; the second unfolded thus much in detail--that they had driven directly to the York Hotel, ate some soup, and bespoke an early dinner, walked down to the pump-room, tasted the water, and laid out some shillings in purses and spars; thence adjourned to eat ice at a pastry-cook's, and hurrying back to the hotel, swallowed their dinner in haste, to prevent being in the dark; and then had a delightful drive back, only the moon was not up, and it rained a little, and Mr. Morland's horse was so tired he could hardly get it along.	Such was the information of the first five minutes; the second unfolded thus much in detail-that they had driven directly to the York Hotel, ate some soup, and bespoke an early dinner, walked down to the pump room, tasted the water, and laid out some shillings in purses and spars; thence adjourned to eat ice at a pastry cook's, and hurrying back to the hotel, swallowed their dinner in haste, to prevent being in the dark; and then had a delightful drive back, only the moon was not up, and it rained a little, and mr Morland's horse was so tired he could hardly get it along.	false	72.23	108.31	19.54708
14_212_000007_000000	Catherine listened with heartfelt satisfaction.	Catherine listened with heartfelt satisfaction.	true	110.09	112.57	18.637379
14_212_000007_000001	It appeared that Blaize Castle had never been thought of; and, as for all the rest, there was nothing to regret for half an instant.	It appeared that Blaize Castle had never been thought of; and, as for all the rest, there was nothing to regret for half an instant.	true	112.97	119.68	22.128088
14_212_000007_000002	Maria's intelligence concluded with a tender effusion of pity for her sister Anne, whom she represented as insupportably cross, from being excluded the party.	Maria's intelligence concluded with a tender effusion of pity for her sister Anne, whom she represented as insupportably cross, from being excluded the party.	false	120.5	131.02	20.597586
14_212_000008_000000	"She will never forgive me, I am sure; but, you know, how could I help it?	"She will never forgive me, I am sure; but, you know, how could I help it?	true	131.24	135.73	20.553406
14_212_000008_000001	John would have me go, for he vowed he would not drive her, because she had such thick ankles.	john would have me go, for he vowed he would not drive her, because she had such thick ankles.	true	136.16	141.4	19.314125
14_212_000008_000002	I dare say she will not be in good humour again this month; but I am determined I will not be cross; it is not a little matter that puts me out of temper."	I dare say she will not be in good humour again this month; but I am determined I will not be cross; it is not a little matter that puts me out of temper."	false	141.98	149.89	22.25689
14_212_000009_000000	Isabella now entered the room with so eager a step, and a look of such happy importance, as engaged all her friend's notice.	Isabella now entered the room with so eager a step, and a look of such happy importance, as engaged all her friend's notice.	true	152.33	159.1	18
14_212_000009_000001	Maria was without ceremony sent away, and Isabella, embracing Catherine, thus began: "Yes, my dear Catherine, it is so indeed; your penetration has not deceived you.	Maria was without ceremony sent away, and Isabella, embracing Catherine, thus began: "Yes, my dear Catherine, it is so indeed; your penetration has not deceived you.	true	160.31	171.58	18.763313
14_212_000009_000002	Oh!	Oh!	true	171.98	172.455	18
14_212_000009_000003	That arch eye of yours!	That arch eye of yours!	true	172.455	173.7	17
14_212_000009_000004	It sees through everything."	It sees through everything."	true	173.7	175.21	20
14_212_000010_000000	Catherine replied only by a look of wondering ignorance.	Catherine replied only by a look of wondering ignorance.	true	177.41	180.43	20
14_212_000011_000000	"Nay, my beloved, sweetest friend," continued the other, "compose yourself.	"Nay, my beloved, sweetest friend," continued the other, "compose yourself.	true	181.13	185.745	20.976263
14_212_000011_000001	I am amazingly agitated, as you perceive.	I am amazingly agitated, as you perceive.	true	185.745	188.16	20.205442
14_212_000011_000002	Let us sit down and talk in comfort.	Let us sit down and talk in comfort.	true	188.16	190.21	22.049631
14_212_000011_000003	Well, and so you guessed it the moment you had my note? Sly creature!	Well, and so you guessed it the moment you had my note? Sly creature!	true	190.46	195.54	22.371487
14_212_000011_000004	Oh!	Oh!	true	195.54	195.84	30
14_212_000011_000005	My dear Catherine, you alone, who know my heart, can judge of my present happiness.	My dear Catherine, you alone, who know my heart, can judge of my present happiness.	true	195.84	201.04	18.358416
14_212_000011_000006	Your brother is the most charming of men.	Your brother is the most charming of men.	true	201.83	203.89	21.933575
14_212_000011_000007	I only wish I were more worthy of him.	I only wish I were more worthy of him.	true	204.14	206.26	17.59907
14_212_000011_000008	But what will your excellent father and mother say?	But what will your excellent father and mother say?	true	206.78	209.35	20
14_212_000011_000009	Oh!	Oh!	true	209.42	209.76	42
14_212_000011_000010	Heavens!	Heavens!	true	209.76	210.58	18.214546
14_212_000011_000011	When I think of them I am so agitated!"	When I think of them I am so agitated!"	true	210.71	212.89	20.614506
14_212_000012_000000	Catherine's understanding began to awake: an idea of the truth suddenly darted into her mind; and, with the natural blush of so new an emotion, she cried out, "Good heaven!	Catherine's understanding began to awake: an idea of the truth suddenly darted into her mind; and, with the natural blush of so new an emotion, she cried out, "Good heaven!	false	214.4	224.34	19.729021
14_212_000012_000001	My dear Isabella, what do you mean?	My dear Isabella, what do you mean?	true	224.34	226.15	18
14_212_000012_000002	Can you--can you really be in love with James?"	Can you-can you really be in love with james?"	true	226.31	229.33	25.932379
14_212_000013_000000	This bold surmise, however, she soon learnt comprehended but half the fact.	This bold surmise, however, she soon learnt comprehended but half the fact.	true	230.6	234.85	20.876621
14_212_000013_000001	The anxious affection, which she was accused of having continually watched in Isabella's every look and action, had, in the course of their yesterday's party, received the delightful confession of an equal love. Her heart and faith were alike engaged to James.	The anxious affection, which she was accused of having continually watched in Isabella's every look and action, had, in the course of their yesterday's party, received the delightful confession of an equal love. Her heart and faith were alike engaged to james.	true	235.82	249.82	20.274015
14_212_000013_000002	Never had Catherine listened to anything so full of interest, wonder, and joy.	Never had Catherine listened to anything so full of interest, wonder, and joy.	true	250.04	254.17	20
14_212_000013_000003	Her brother and her friend engaged!	Her brother and her friend engaged!	true	254.39	257.02	20.390173
14_212_000013_000004	New to such circumstances, the importance of it appeared unspeakably great, and she contemplated it as one of those grand events, of which the ordinary course of life can hardly afford a return.	New to such circumstances, the importance of it appeared unspeakably great, and she contemplated it as one of those grand events, of which the ordinary course of life can hardly afford a return.	false	257.33	268.63	19.941078
14_212_000013_000005	The strength of her feelings she could not express; the nature of them, however, contented her friend.	The strength of her feelings she could not express; the nature of them, however, contented her friend.	true	269.84	275.86	22.530226
14_212_000013_000006	The happiness of having such a sister was their first effusion, and the fair ladies mingled in embraces and tears of joy.	The happiness of having such a sister was their first effusion, and the fair ladies mingled in embraces and tears of joy.	true	276.44	283	17.554216
14_212_000014_000000	Delighting, however, as Catherine sincerely did in the prospect of the connection, it must be acknowledged that Isabella far surpassed her in tender anticipations.	Delighting, however, as Catherine sincerely did in the prospect of the connection, it must be acknowledged that Isabella far surpassed her in tender anticipations.	true	283.97	293.05	19.441378
14_212_000014_000001	"You will be so infinitely dearer to me, my Catherine, than either Anne or Maria: I feel that I shall be so much more attached to my dear Morland's family than to my own."	"You will be so infinitely dearer to me, my Catherine, than either Anne or Maria: I feel that I shall be so much more attached to my dear Morland's family than to my own."	false	294.35	304.03	19.662794
14_212_000015_000000	This was a pitch of friendship beyond Catherine.	This was a pitch of friendship beyond Catherine.	true	305.33	307.66	19
14_212_000016_000000	"You are so like your dear brother," continued Isabella, "that I quite doted on you the first moment I saw you.	"You are so like your dear brother," continued Isabella, "that I quite doted on you the first moment I saw you.	true	308.57	314.17	21
14_212_000016_000001	But so it always is with me; the first moment settles everything.	But so it always is with me; the first moment settles everything.	true	315.02	318.49	18.5691
14_212_000016_000002	The very first day that Morland came to us last Christmas--the very first moment I beheld him--my heart was irrecoverably gone.	The very first day that Morland came to us last Christmas-the very first moment I beheld him-my heart was irrecoverably gone.	true	319.1	326.98	19.602013
14_212_000016_000003	I remember I wore my yellow gown, with my hair done up in braids; and when I came into the drawing-room, and John introduced him, I thought I never saw anybody so handsome before."	I remember I wore my yellow gown, with my hair done up in braids; and when I came into the drawing room, and john introduced him, I thought I never saw anybody so handsome before."	true	327.26	337.93	18.351141
14_212_000017_000000	Here Catherine secretly acknowledged the power of love; for, though exceedingly fond of her brother, and partial to all his endowments, she had never in her life thought him handsome.	Here Catherine secretly acknowledged the power of love; for, though exceedingly fond of her brother, and partial to all his endowments, she had never in her life thought him handsome.	true	339.68	349.87	19.063742
14_212_000018_000000	"I remember too, Miss Andrews drank tea with us that evening, and wore her puce-coloured sarsenet; and she looked so heavenly that I thought your brother must certainly fall in love with her; I could not sleep a wink all right for thinking of it.	"I remember too, Miss Andrews drank tea with us that evening, and wore her puce coloured sarsenet; and she looked so heavenly that I thought your brother must certainly fall in love with her; I could not sleep a wink all right for thinking of it.	false	352.19	364.51	21.286242
14_212_000018_000001	Oh!	Oh!	true	365.09	365.34	20.297794
14_212_000018_000002	Catherine, the many sleepless nights I have had on your brother's account!	Catherine, the many sleepless nights I have had on your brother's account!	true	365.34	369.01	20.521078
14_212_000018_000003	I would not have you suffer half what I have done!	I would not have you suffer half what I have done!	true	369.44	371.8	16.306602
14_212_000018_000004	I am grown wretchedly thin, I know; but I will not pain you by describing my anxiety; you have seen enough of it.	I am grown wretchedly thin, I know; but I will not pain you by describing my anxiety; you have seen enough of it.	true	372.44	378.91	20.064184
14_212_000018_000005	I feel that I have betrayed myself perpetually--so unguarded in speaking of my partiality for the church!	I feel that I have betrayed myself perpetually-so unguarded in speaking of my partiality for the church!	true	379.64	385.72	19.4564
14_212_000018_000006	But my secret I was always sure would be safe with you."	But my secret I was always sure would be safe with you."	true	386.72	390.55	15.777955
14_212_000019_000000	Catherine felt that nothing could have been safer; but ashamed of an ignorance little expected, she dared no longer contest the point, nor refuse to have been as full of arch penetration and affectionate sympathy as Isabella chose to consider her.	Catherine felt that nothing could have been safer; but ashamed of an ignorance little expected, she dared no longer contest the point, nor refuse to have been as full of arch penetration and affectionate sympathy as Isabella chose to consider her.	true	391.49	405.04	20.803644
14_212_000019_000001	Her brother, she found, was preparing to set off with all speed to Fullerton, to make known his situation and ask consent; and here was a source of some real agitation to the mind of Isabella.	Her brother, she found, was preparing to set off with all speed to Fullerton, to make known his situation and ask consent; and here was a source of some real agitation to the mind of Isabella.	true	405.92	417.25	18.388655
14_212_000019_000002	Catherine endeavoured to persuade her, as she was herself persuaded, that her father and mother would never oppose their son's wishes.	Catherine endeavoured to persuade her, as she was herself persuaded, that her father and mother would never oppose their son's wishes.	true	417.77	424.72	19
14_212_000019_000003	"It is impossible," said she, "for parents to be more kind, or more desirous of their children's happiness; I have no doubt of their consenting immediately."	"It is impossible," said she, "for parents to be more kind, or more desirous of their children's happiness; I have no doubt of their consenting immediately."	true	425.48	433.75	19.979654
14_212_000020_000000	"Morland says exactly the same," replied Isabella; "and yet I dare not expect it; my fortune will be so small; they never can consent to it. Your brother, who might marry anybody!"	"Morland says exactly the same," replied Isabella; "and yet I dare not expect it; my fortune will be so small; they never can consent to it. Your brother, who might marry anybody!"	false	434.27	444.82	21.090658
14_212_000021_000000	Here Catherine again discerned the force of love.	Here Catherine again discerned the force of love.	true	445.94	448.66	19
14_212_000022_000000	"Indeed, Isabella, you are too humble.	"Indeed, Isabella, you are too humble.	true	449.36	451.45	23.703009
14_212_000022_000001	The difference of fortune can be nothing to signify."	The difference of fortune can be nothing to signify."	true	451.85	454.29	15
14_212_000023_000000	"Oh!	"Oh!	false	454.29	455.94	-20
14_212_000023_000001	My sweet Catherine, in your generous heart I know it would signify nothing; but we must not expect such disinterestedness in many.	My sweet Catherine, in your generous heart I know it would signify nothing; but we must not expect such disinterestedness in many.	true	455.94	463.42	19.295897
14_212_000023_000002	As for myself, I am sure I only wish our situations were reversed.	As for myself, I am sure I only wish our situations were reversed.	true	463.55	467.53	18.390423
14_212_000023_000003	Had I the command of millions, were I mistress of the whole world, your brother would be my only choice."	Had I the command of millions, were I mistress of the whole world, your brother would be my only choice."	true	467.84	473.71	20.056707
14_212_000024_000000	This charming sentiment, recommended as much by sense as novelty, gave Catherine a most pleasing remembrance of all the heroines of her acquaintance; and she thought her friend never looked more lovely than in uttering the grand idea.	This charming sentiment, recommended as much by sense as novelty, gave Catherine a most pleasing remembrance of all the heroines of her acquaintance; and she thought her friend never looked more lovely than in uttering the grand idea.	true	474.14	486.49	18
14_212_000024_000001	"I am sure they will consent," was her frequent declaration; "I am sure they will be delighted with you."	"I am sure they will consent," was her frequent declaration; "I am sure they will be delighted with you."	true	487.46	493.12	18.319372
14_212_000025_000000	"For my own part," said Isabella, "my wishes are so moderate that the smallest income in nature would be enough for me.	"For my own part," said Isabella, "my wishes are so moderate that the smallest income in nature would be enough for me.	true	494.54	501.13	21.147991
14_212_000025_000001	Where people are really attached, poverty itself is wealth; grandeur I detest: I would not settle in London for the universe.	Where people are really attached, poverty itself is wealth; grandeur I detest: I would not settle in London for the universe.	true	502.25	509.59	18.851486
14_212_000025_000002	A cottage in some retired village would be ecstasy.	A cottage in some retired village would be ecstasy.	true	509.93	512.77	20.691992
14_212_000025_000003	There are some charming little villas about Richmond."	There are some charming little villas about Richmond."	true	513.38	516.01	19
14_212_000026_000000	"Richmond!" cried Catherine.	"Richmond!" cried Catherine.	true	516.44	518.44	20.805426
14_212_000026_000001	"You must settle near Fullerton.	"You must settle near Fullerton.	true	518.6	519.93	20
14_212_000026_000002	You must be near us."	You must be near us."	false	519.93	522.09	16.652073
14_212_000027_000000	"I am sure I shall be miserable if we do not.	"I am sure I shall be miserable if we do not.	true	522.09	524.32	17
14_212_000027_000001	If I can but be near you, I shall be satisfied.	If I can but be near you, I shall be satisfied.	true	524.63	527.23	19.848738
14_212_000027_000002	But this is idle talking!	But this is idle talking!	true	527.39	528.79	17
14_212_000027_000003	I will not allow myself to think of such things, till we have your father's answer.	I will not allow myself to think of such things, till we have your father's answer.	true	528.8	532.63	21.253426
14_212_000027_000004	Morland says that by sending it tonight to Salisbury, we may have it tomorrow. Tomorrow?	Morland says that by sending it tonight to Salisbury, we may have it tomorrow. Tomorrow?	true	532.91	538.69	22.313889
14_212_000027_000005	I know I shall never have courage to open the letter.	I know I shall never have courage to open the letter.	false	538.97	541.51	19.444508
14_212_000027_000006	I know it will be the death of me."	I know it will be the death of me."	false	541.52	543.07	19.79034
14_212_000028_000000	A reverie succeeded this conviction--and when Isabella spoke again, it was to resolve on the quality of her wedding-gown.	A reverie succeeded this conviction-and when Isabella spoke again, it was to resolve on the quality of her wedding gown.	true	544.13	550.78	16.598713
14_212_000029_000000	Their conference was put an end to by the anxious young lover himself, who came to breathe his parting sigh before he set off for Wiltshire. Catherine wished to congratulate him, but knew not what to say, and her eloquence was only in her eyes.	Their conference was put an end to by the anxious young lover himself, who came to breathe his parting sigh before he set off for Wiltshire. Catherine wished to congratulate him, but knew not what to say, and her eloquence was only in her eyes.	false	551.66	565.72	19.27705
14_212_000029_000001	From them, however, the eight parts of speech shone out most expressively, and James could combine them with ease.	From them, however, the eight parts of speech shone out most expressively, and james could combine them with ease.	true	566.15	572.95	19.120747
14_212_000029_000002	Impatient for the realization of all that he hoped at home, his adieus were not long; and they would have been yet shorter, had he not been frequently detained by the urgent entreaties of his fair one that he would go.	Impatient for the realization of all that he hoped at home, his adieus were not long; and they would have been yet shorter, had he not been frequently detained by the urgent entreaties of his fair one that he would go.	false	574.01	586.66	20.184732
14_212_000029_000003	Twice was he called almost from the door by her eagerness to have him gone.	Twice was he called almost from the door by her eagerness to have him gone.	true	588.32	592.3	16
14_212_000029_000004	"Indeed, Morland, I must drive you away.	"Indeed, Morland, I must drive you away.	true	592.85	595.15	20.973705
14_212_000029_000005	Consider how far you have to ride.	Consider how far you have to ride.	true	595.25	597.28	16.481955
14_212_000029_000006	I cannot bear to see you linger so.	I cannot bear to see you linger so.	true	597.38	599.35	19.430534
14_212_000029_000007	For heaven's sake, waste no more time.	For heaven's sake, waste no more time.	true	599.45	601.81	24.294659
14_212_000029_000008	There, go, go--I insist on it."	There, go, go-I insist on it."	true	601.82	604.84	21.773134
14_212_000030_000000	The two friends, with hearts now more united than ever, were inseparable for the day; and in schemes of sisterly happiness the hours flew along. Mrs. Thorpe and her son, who were acquainted with everything, and who seemed only to want Mr. Morland's consent, to consider Isabella's engagement as the most fortunate circumstance imaginable for their family, were allowed to join their counsels, and add their quota of significant looks and mysterious expressions to fill up the measure of curiosity to be raised in the unprivileged younger sisters.	The two friends, with hearts now more united than ever, were inseparable for the day; and in schemes of sisterly happiness the hours flew along. mrs Thorpe and her son, who were acquainted with everything, and who seemed only to want mr Morland's consent, to consider Isabella's engagement as the most fortunate circumstance imaginable for their family, were allowed to join their counsels, and add their quota of significant looks and mysterious expressions to fill up the measure of curiosity to be raised in the unprivileged younger sisters.	false	605.84	637.93	20.092085
14_212_000030_000001	To Catherine's simple feelings, this odd sort of reserve seemed neither kindly meant, nor consistently supported; and its unkindness she would hardly have forborne pointing out, had its inconsistency been less their friend; but Anne and Maria soon set her heart at ease by the sagacity of their "I know what"; and the evening was spent in a sort of war of wit, a display of family ingenuity, on one side in the mystery of an affected secret, on the other of undefined discovery, all equally acute.	To Catherine's simple feelings, this odd sort of reserve seemed neither kindly meant, nor consistently supported; and its unkindness she would hardly have forborne pointing out, had its inconsistency been less their friend; but Anne and Maria soon set her heart at ease by the sagacity of their "I know what"; and the evening was spent in a sort of war of wit, a display of family ingenuity, on one side in the mystery of an affected secret, on the other of undefined discovery, all equally acute.	false	639.38	670.45	19.749731
14_212_000031_000000	Catherine was with her friend again the next day, endeavouring to support her spirits and while away the many tedious hours before the delivery of the letters; a needful exertion, for as the time of reasonable expectation drew near, Isabella became more and more desponding, and before the letter arrived, had worked herself into a state of real distress.	Catherine was with her friend again the next day, endeavouring to support her spirits and while away the many tedious hours before the delivery of the letters; a needful exertion, for as the time of reasonable expectation drew near, Isabella became more and more desponding, and before the letter arrived, had worked herself into a state of real distress.	true	672.86	693.82	19.215742
14_212_000031_000001	But when it did come, where could distress be found?	But when it did come, where could distress be found?	true	694.46	697.57	22.736607
14_212_000031_000002	"I have had no difficulty in gaining the consent of my kind parents, and am promised that everything in their power shall be done to forward my happiness," were the first three lines, and in one moment all was joyful security.	"I have had no difficulty in gaining the consent of my kind parents, and am promised that everything in their power shall be done to forward my happiness," were the first three lines, and in one moment all was joyful security.	true	698.42	710.86	20.606693
14_212_000031_000003	The brightest glow was instantly spread over Isabella's features, all care and anxiety seemed removed, her spirits became almost too high for control, and she called herself without scruple the happiest of mortals.	The brightest glow was instantly spread over Isabella's features, all care and anxiety seemed removed, her spirits became almost too high for control, and she called herself without scruple the happiest of mortals.	false	712.52	729.81	18.869461
14_212_000032_000000	Mrs. Thorpe, with tears of joy, embraced her daughter, her son, her visitor, and could have embraced half the inhabitants of Bath with satisfaction.	mrs Thorpe, with tears of joy, embraced her daughter, her son, her visitor, and could have embraced half the inhabitants of Bath with satisfaction.	true	729.81	739.39	19.692081
14_212_000032_000001	Her heart was overflowing with tenderness.	Her heart was overflowing with tenderness.	true	740.06	742.42	19
14_212_000032_000002	It was "dear John" and "dear Catherine" at every word; "dear Anne and dear Maria" must immediately be made sharers in their felicity; and two "dears" at once before the name of Isabella were not more than that beloved child had now well earned.	It was "dear john" and "dear Catherine" at every word; "dear Anne and dear Maria" must immediately be made sharers in their felicity; and two "dears" at once before the name of Isabella were not more than that beloved child had now well earned.	true	742.97	757.51	20.809126
14_212_000032_000003	John himself was no skulker in joy.	john himself was no skulker in joy.	false	758.18	760.89	20.337091
14_212_000032_000004	He not only bestowed on Mr. Morland the high commendation of being one of the finest fellows in the world, but swore off many sentences in his praise.	He not only bestowed on mr Morland the high commendation of being one of the finest fellows in the world, but swore off many sentences in his praise.	false	760.89	769.66	19.089756
14_212_000033_000000	The letter, whence sprang all this felicity, was short, containing little more than this assurance of success; and every particular was deferred till James could write again.	The letter, whence sprang all this felicity, was short, containing little more than this assurance of success; and every particular was deferred till james could write again.	true	770.69	780.13	19.386848
14_212_000033_000001	But for particulars Isabella could well afford to wait.	But for particulars Isabella could well afford to wait.	true	780.56	783.67	20
14_212_000033_000002	The needful was comprised in Mr. Morland's promise; his honour was pledged to make everything easy; and by what means their income was to be formed, whether landed property were to be resigned, or funded money made over, was a matter in which her disinterested spirit took no concern.	The needful was comprised in mr Morland's promise; his honour was pledged to make everything easy; and by what means their income was to be formed, whether landed property were to be resigned, or funded money made over, was a matter in which her disinterested spirit took no concern.	true	783.68	800.2	20
14_212_000033_000003	She knew enough to feel secure of an honourable and speedy establishment, and her imagination took a rapid flight over its attendant felicities.	She knew enough to feel secure of an honourable and speedy establishment, and her imagination took a rapid flight over its attendant felicities.	true	800.66	808.6	19.487507
14_212_000033_000004	She saw herself at the end of a few weeks, the gaze and admiration of every new acquaintance at Fullerton, the envy of every valued old friend in Putney, with a carriage at her command, a new name on her tickets, and a brilliant exhibition of hoop rings on her finger.	She saw herself at the end of a few weeks, the gaze and admiration of every new acquaintance at Fullerton, the envy of every valued old friend in Putney, with a carriage at her command, a new name on her tickets, and a brilliant exhibition of hoop rings on her finger.	true	809.72	826.36	21.960903
14_212_000034_000000	When the contents of the letter were ascertained, John Thorpe, who had only waited its arrival to begin his journey to London, prepared to set off.	When the contents of the letter were ascertained, john Thorpe, who had only waited its arrival to begin his journey to London, prepared to set off.	false	828.17	836.17	19
14_212_000034_000001	"Well, Miss Morland," said he, on finding her alone in the parlour, "I am come to bid you good-bye." Catherine wished him a good journey. Without appearing to hear her, he walked to the window, fidgeted about, hummed a tune, and seemed wholly self-occupied.	"Well, Miss Morland," said he, on finding her alone in the parlour, "I am come to bid you good bye." Catherine wished him a good journey. Without appearing to hear her, he walked to the window, fidgeted about, hummed a tune, and seemed wholly self occupied.	true	838.25	855.91	20.01558
14_212_000035_000000	"Shall not you be late at Devizes?" said Catherine.	"Shall not you be late at Devizes?" said Catherine.	false	856.97	860.47	21.421623
14_212_000035_000001	He made no answer; but after a minute's silence burst out with, "A famous good thing this marrying scheme, upon my soul!	He made no answer; but after a minute's silence burst out with, "A famous good thing this marrying scheme, upon my soul!	true	860.93	868.54	20.542416
14_212_000035_000002	A clever fancy of Morland's and Belle's. What do you think of it, Miss Morland?	A clever fancy of Morland's and Belle's. What do you think of it, Miss Morland?	true	868.82	873.64	19.717287
14_212_000035_000003	I say it is no bad notion."	I say it is no bad notion."	true	874.01	875.68	19.57292
14_212_000036_000000	"I am sure I think it a very good one."	"I am sure I think it a very good one."	false	876.95	879.04	19.918255
14_212_000037_000000	"Do you?	"Do you?	true	880.64	881.41	23.807903
14_212_000037_000001	That's honest, by heavens!	That's honest, by heavens!	true	881.51	883.15	20.426207
14_212_000037_000002	I am glad you are no enemy to matrimony, however.	I am glad you are no enemy to matrimony, however.	true	883.4	886.3	23
14_212_000037_000003	Did you ever hear the old song 'Going to One Wedding Brings on Another?' I say, you will come to Belle's wedding, I hope."	Did you ever hear the old song 'Going to One Wedding Brings on Another?' I say, you will come to Belle's wedding, I hope."	false	887.15	894.94	19.938965
14_212_000038_000000	"Yes; I have promised your sister to be with her, if possible."	"Yes; I have promised your sister to be with her, if possible."	true	895.97	899.56	18.412779
14_212_000039_000000	"And then you know"--twisting himself about and forcing a foolish laugh--"I say, then you know, we may try the truth of this same old song."	"And then you know"--twisting himself about and forcing a foolish laugh-"I say, then you know, we may try the truth of this same old song."	true	900.5	910.57	20.043974
14_212_000040_000000	"May we?	"May we?	true	911.93	912.82	29.713465
14_212_000040_000001	But I never sing.	But I never sing.	true	913.13	914.62	18.491833
14_212_000040_000002	Well, I wish you a good journey.	Well, I wish you a good journey.	true	915.08	916.66	19.31568
14_212_000040_000003	I dine with Miss Tilney today, and must now be going home."	I dine with Miss Tilney today, and must now be going home."	true	916.91	920.17	21
14_212_000041_000000	"Nay, but there is no such confounded hurry.	"Nay, but there is no such confounded hurry.	true	922.22	924.88	21.991236
14_212_000041_000001	Who knows when we may be together again?	Who knows when we may be together again?	true	925.22	927.4	19.37741
14_212_000041_000002	Not but that I shall be down again by the end of a fortnight, and a devilish long fortnight it will appear to me."	Not but that I shall be down again by the end of a fortnight, and a devilish long fortnight it will appear to me."	true	927.8	933.97	20.366577
14_212_000042_000000	"Then why do you stay away so long?" replied Catherine--finding that he waited for an answer.	"Then why do you stay away so long?" replied Catherine-finding that he waited for an answer.	true	935.81	941.17	19.256187
14_212_000043_000000	"That is kind of you, however--kind and good-natured.	"That is kind of you, however-kind and good-natured.	true	942.53	946.96	20.536234
14_212_000043_000001	I shall not forget it in a hurry.	I shall not forget it in a hurry.	false	947.15	949	21.6319
14_212_000043_000002	But you have more good nature and all that, than anybody living, I believe.	But you have more good nature and all that, than anybody living, I believe.	true	949.37	953.67	18.081394
14_212_000043_000003	A monstrous deal of good nature, and it is not only good nature, but you have so much, so much of everything; and then you have such--upon my soul, I do not know anybody like you."	A monstrous deal of good nature, and it is not only good nature, but you have so much, so much of everything; and then you have such-upon my soul, I do not know anybody like you."	false	953.67	966.97	19.27882
14_212_000044_000000	"Oh! dear, there are a great many people like me, I dare say, only a great deal better.	"Oh! dear, there are a great many people like me, I dare say, only a great deal better.	false	968.48	974.02	21.591988
14_212_000044_000001	Good morning to you."	Good morning to you."	true	974.39	975.55	21.789919
