868_131295_000000_000000	The claims of contemporary art cannot be ignored in any vital scheme of life.	The claims of contemporary art cannot be ignored in any vital scheme of life.	false	0	0.36	20.075512
868_131295_000004_000000	Sad as it is, we cannot conceal the fact that in spite of our companionship with flowers we have not risen very far above the brute. Scratch the sheepskin and the wolf within us will soon show his teeth. It has been said that a man at ten is an animal, at twenty a lunatic, at thirty a failure, at forty a fraud, and at fifty a criminal.	Sad as it is, we cannot conceal the fact that in spite of our companionship with flowers we have not risen very far above the brute. Scratch the sheepskin and the wolf within us will soon show his teeth. It has been said that a man at ten is an animal, at twenty a lunatic, at thirty a failure, at forty a fraud, and at fifty a criminal.	false	110.85	133.99	19.95636
868_131295_000004_000001	Perhaps he becomes a criminal because he has never ceased to be an animal.	Perhaps he becomes a criminal because he has never ceased to be an animal.	true	135.08	138.52	18.842087
868_131295_000004_000002	Nothing is real to us but hunger, nothing sacred except our own desires.	Nothing is real to us but hunger, nothing sacred except our own desires.	true	138.95	143.56	19.744402
868_131295_000004_000003	Shrine after shrine has crumbled before our eyes; but one altar is forever preserved, that whereon we burn incense to the supreme idol,--ourselves. Our god is great, and money is his Prophet!	Shrine after shrine has crumbled before our eyes; but one altar is forever preserved, that whereon we burn incense to the supreme idol,--ourselves. Our god is great, and money is his Prophet!	false	144.08	156.79	21.194199
868_131295_000004_000004	We devastate nature in order to make sacrifice to him.	We devastate nature in order to make sacrifice to him.	true	157.19	160.27	20.364874
868_131295_000004_000005	We boast that we have conquered Matter and forget that it is Matter that has enslaved us.	We boast that we have conquered Matter and forget that it is Matter that has enslaved us.	true	160.43	165.01	19
868_131295_000004_000006	What atrocities do we not perpetrate in the name of culture and refinement!	What atrocities do we not perpetrate in the name of culture and refinement!	true	165.56	169.6	20
868_131295_000005_000000	Tell me, gentle flowers, teardrops of the stars, standing in the garden, nodding your heads to the bees as they sing of the dews and the sunbeams, are you aware of the fearful doom that awaits you?	Tell me, gentle flowers, teardrops of the stars, standing in the garden, nodding your heads to the bees as they sing of the dews and the sunbeams, are you aware of the fearful doom that awaits you?	false	171.17	181.92	19.423695
868_131295_000005_000001	Dream on, sway and frolic while you may in the gentle breezes of summer.	Dream on, sway and frolic while you may in the gentle breezes of summer.	true	181.92	186.16	18
868_131295_000005_000002	To-morrow a ruthless hand will close around your throats.	To morrow a ruthless hand will close around your throats.	true	186.62	189.64	22
868_131295_000005_000003	You will be wrenched, torn asunder limb by limb, and borne away from your quiet homes.	You will be wrenched, torn asunder limb by limb, and borne away from your quiet homes.	true	189.8	195.37	18.496513
868_131295_000005_000004	The wretch, she may be passing fair.	The wretch, she may be passing fair.	true	195.62	198.04	20.93107
868_131295_000005_000005	She may say how lovely you are while her fingers are still moist with your blood.	She may say how lovely you are while her fingers are still moist with your blood.	true	198.2	202.27	16
868_131295_000005_000006	Tell me, will this be kindness?	Tell me, will this be kindness?	true	202.64	204.91	20.657442
868_131295_000005_000007	It may be your fate to be imprisoned in the hair of one whom you know to be heartless or to be thrust into the buttonhole of one who would not dare to look you in the face were you a man.	It may be your fate to be imprisoned in the hair of one whom you know to be heartless or to be thrust into the buttonhole of one who would not dare to look you in the face were you a man.	false	205.25	215.74	18
868_131295_000005_000008	It may even be your lot to be confined in some narrow vessel with only stagnant water to quench the maddening thirst that warns of ebbing life.	It may even be your lot to be confined in some narrow vessel with only stagnant water to quench the maddening thirst that warns of ebbing life.	true	216.14	224.2	18
868_131295_000006_000000	Flowers, if you were in the land of the Mikado, you might some time meet a dread personage armed with scissors and a tiny saw.	Flowers, if you were in the land of the Mikado, you might some time meet a dread personage armed with scissors and a tiny saw.	true	224.78	232.66	18.586697
868_131295_000006_000001	He would call himself a Master of Flowers.	He would call himself a Master of Flowers.	true	232.97	235.69	20.085512
868_131295_000006_000002	He would claim the rights of a doctor and you would instinctively hate him, for you know a doctor always seeks to prolong the troubles of his victims.	He would claim the rights of a doctor and you would instinctively hate him, for you know a doctor always seeks to prolong the troubles of his victims.	true	236.24	244.27	21.612207
868_131295_000006_000003	He would cut, bend, and twist you into those impossible positions which he thinks it proper that you should assume.	He would cut, bend, and twist you into those impossible positions which he thinks it proper that you should assume.	true	244.82	251.17	20.90192
868_131295_000006_000004	He would contort your muscles and dislocate your bones like any osteopath.	He would contort your muscles and dislocate your bones like any osteopath.	true	252.26	256.39	17
868_131295_000006_000005	He would burn you with red-hot coals to stop your bleeding, and thrust wires into you to assist your circulation.	He would burn you with red hot coals to stop your bleeding, and thrust wires into you to assist your circulation.	true	256.7	263.11	20
868_131295_000006_000006	He would diet you with salt, vinegar, alum, and sometimes, vitriol.	He would diet you with salt, vinegar, alum, and sometimes, vitriol.	true	264.32	268.3	18
868_131295_000006_000007	Boiling water would be poured on your feet when you seemed ready to faint.	Boiling water would be poured on your feet when you seemed ready to faint.	true	268.76	272.2	19.361816
868_131295_000006_000008	It would be his boast that he could keep life within you for two or more weeks longer than would have been possible without his treatment.	It would be his boast that he could keep life within you for two or more weeks longer than would have been possible without his treatment.	true	272.66	279.67	19
868_131295_000006_000009	Would you not have preferred to have been killed at once when you were first captured?	Would you not have preferred to have been killed at once when you were first captured?	true	280.43	284.08	20.569044
868_131295_000006_000010	What were the crimes you must have committed during your past incarnation to warrant such punishment in this?	What were the crimes you must have committed during your past incarnation to warrant such punishment in this?	false	284.27	289.42	14
868_131295_000007_000000	The wanton waste of flowers among Western communities is even more appalling than the way they are treated by Eastern Flower Masters.	The wanton waste of flowers among Western communities is even more appalling than the way they are treated by Eastern Flower Masters.	true	291.65	298.36	16
868_131295_000007_000001	The number of flowers cut daily to adorn the ballrooms and banquet-tables of Europe and America, to be thrown away on the morrow, must be something enormous; if strung together they might garland a continent.	The number of flowers cut daily to adorn the ballrooms and banquet tables of Europe and America, to be thrown away on the morrow, must be something enormous; if strung together they might garland a continent.	false	299.3	311.94	20.463736
868_131295_000007_000002	Beside this utter carelessness of life, the guilt of the Flower-Master becomes insignificant.	Beside this utter carelessness of life, the guilt of the Flower Master becomes insignificant.	true	311.94	317.2	20.64685
868_131295_000007_000003	He, at least, respects the economy of nature, selects his victims with careful foresight, and after death does honour to their remains.	He, at least, respects the economy of nature, selects his victims with careful foresight, and after death does honour to their remains.	true	317.78	325.6	21.384827
868_131295_000007_000004	In the West the display of flowers seems to be a part of the pageantry of wealth,--the fancy of a moment.	In the West the display of flowers seems to be a part of the pageantry of wealth,--the fancy of a moment.	true	326.03	331.27	20.522003
868_131295_000007_000005	Whither do they all go, these flowers, when the revelry is over?	Whither do they all go, these flowers, when the revelry is over?	false	331.91	335.35	20
868_131295_000007_000006	Nothing is more pitiful than to see a faded flower remorselessly flung upon a dung heap.	Nothing is more pitiful than to see a faded flower remorselessly flung upon a dung heap.	true	335.42	340.06	18.582045
868_131295_000008_000000	Why were the flowers born so beautiful and yet so hapless?	Why were the flowers born so beautiful and yet so hapless?	true	341.9	345.07	20
868_131295_000008_000001	Insects can sting, and even the meekest of beasts will fight when brought to bay. The birds whose plumage is sought to deck some bonnet can fly from its pursuer, the furred animal whose coat you covet for your own may hide at your approach.	Insects can sting, and even the meekest of beasts will fight when brought to bay. The birds whose plumage is sought to deck some bonnet can fly from its pursuer, the furred animal whose coat you covet for your own may hide at your approach.	true	345.35	359.29	20.33765
868_131295_000008_000002	Alas!	Alas!	true	359.48	360.435	18.846388
868_131295_000008_000003	The only flower known to have wings is the butterfly; all others stand helpless before the destroyer.	The only flower known to have wings is the butterfly; all others stand helpless before the destroyer.	true	360.435	366.31	20.335758
868_131295_000008_000004	If they shriek in their death agony their cry never reaches our hardened ears. We are ever brutal to those who love and serve us in silence, but the time may come when, for our cruelty, we shall be deserted by these best friends of ours.	If they shriek in their death agony their cry never reaches our hardened ears. We are ever brutal to those who love and serve us in silence, but the time may come when, for our cruelty, we shall be deserted by these best friends of ours.	true	366.59	381.46	19.985006
868_131295_000008_000005	Have you not noticed that the wild flowers are becoming scarcer every year?	Have you not noticed that the wild flowers are becoming scarcer every year?	true	381.89	385.84	13
868_131295_000008_000006	It may be that their wise men have told them to depart till man becomes more human.	It may be that their wise men have told them to depart till man becomes more human.	true	386.15	390.58	13
868_131295_000008_000007	Perhaps they have migrated to heaven.	Perhaps they have migrated to heaven.	true	390.95	392.86	15
868_131295_000009_000000	Much may be said in favor of him who cultivates plants.	Much may be said in favor of him who cultivates plants.	false	394.82	398.26	18.676308
868_131295_000009_000001	The man of the pot is far more humane than he of the scissors.	The man of the pot is far more humane than he of the scissors.	true	398.72	402.37	20
868_131295_000009_000002	We watch with delight his concern about water and sunshine, his feuds with parasites, his horror of frosts, his anxiety when the buds come slowly, his rapture when the leaves attain their lustre.	We watch with delight his concern about water and sunshine, his feuds with parasites, his horror of frosts, his anxiety when the buds come slowly, his rapture when the leaves attain their lustre.	false	402.89	414.58	18.38856
868_131295_000009_000003	In the East the art of floriculture is a very ancient one, and the loves of a poet and his favorite plant have often been recorded in story and song.	In the East the art of floriculture is a very ancient one, and the loves of a poet and his favorite plant have often been recorded in story and song.	true	415.94	424.45	18
868_131295_000009_000004	With the development of ceramics during the Tang and Sung dynasties we hear of wonderful receptacles made to hold plants, not pots, but jewelled palaces.	With the development of ceramics during the Tang and Sung dynasties we hear of wonderful receptacles made to hold plants, not pots, but jewelled palaces.	false	425.78	434.86	20
868_131295_000009_000005	A special attendant was detailed to wait upon each flower and to wash its leaves with soft brushes made of rabbit hair.	A special attendant was detailed to wait upon each flower and to wash its leaves with soft brushes made of rabbit hair.	true	435.74	442.24	18
868_131295_000009_000006	It has been written ["Pingtse", by Yuenchunlang] that the peony should be bathed by a handsome maiden in full costume, that a winter-plum should be watered by a pale, slender monk.	It has been written ["Pingtse", by Yuenchunlang] that the peony should be bathed by a handsome maiden in full costume, that a winter plum should be watered by a pale, slender monk.	false	442.94	451.3	20.83443
868_131295_000009_000007	In Japan, one of the most popular of the No-dances, the Hachinoki, composed during the Ashikaga period, is based upon the story of an impoverished knight, who, on a freezing night, in lack of fuel for a fire, cuts his cherished plants in order to entertain a wandering friar.	In Japan, one of the most popular of the No dances, the Hachinoki, composed during the Ashikaga period, is based upon the story of an impoverished knight, who, on a freezing night, in lack of fuel for a fire, cuts his cherished plants in order to entertain a wandering friar.	true	451.85	471.58	21.384024
868_131295_000009_000008	The friar is in reality no other than Hojo-Tokiyori, the Haroun-Al-Raschid of our tales, and the sacrifice is not without its reward.	The friar is in reality no other than Hojo Tokiyori, the Haroun Al Raschid of our tales, and the sacrifice is not without its reward.	true	472.1	481.54	17.960175
868_131295_000009_000009	This opera never fails to draw tears from a Tokio audience even to-day.	This opera never fails to draw tears from a Tokio audience even to day.	true	481.67	485.86	17
868_131295_000010_000000	Great precautions were taken for the preservation of delicate blossoms. Emperor Huensung, of the Tang Dynasty, hung tiny golden bells on the branches in his garden to keep off the birds.	Great precautions were taken for the preservation of delicate blossoms. Emperor Huensung, of the Tang Dynasty, hung tiny golden bells on the branches in his garden to keep off the birds.	false	487.76	499.9	20.297771
868_131295_000010_000001	He it was who went off in the springtime with his court musicians to gladden the flowers with soft music.	He it was who went off in the springtime with his court musicians to gladden the flowers with soft music.	true	500.36	505.93	19.560555
868_131295_000010_000002	A quaint tablet, which tradition ascribes to Yoshitsune, the hero of our Arthurian legends, is still extant in one of the Japanese monasteries [Sumadera, near Kobe].	A quaint tablet, which tradition ascribes to Yoshitsune, the hero of our Arthurian legends, is still extant in one of the Japanese monasteries [Sumadera, near Kobe].	false	506	516.195	20.376587
868_131295_000010_000003	It is a notice put up for the protection of a certain wonderful plum-tree, and appeals to us with the grim humour of a warlike age.	It is a notice put up for the protection of a certain wonderful plum tree, and appeals to us with the grim humour of a warlike age.	true	516.195	523.39	19
868_131295_000010_000004	After referring to the beauty of the blossoms, the inscription says: "Whoever cuts a single branch of this tree shall forfeit a finger therefor." Would that such laws could be enforced nowadays against those who wantonly destroy flowers and mutilate objects of art!	After referring to the beauty of the blossoms, the inscription says: "Whoever cuts a single branch of this tree shall forfeit a finger therefor." Would that such laws could be enforced nowadays against those who wantonly destroy flowers and mutilate objects of art!	true	523.97	538.81	19.71091
868_131295_000011_000000	Yet even in the case of pot flowers we are inclined to suspect the selfishness of man.	Yet even in the case of pot flowers we are inclined to suspect the selfishness of man.	true	540.95	545.68	17
868_131295_000011_000001	Why take the plants from their homes and ask them to bloom mid strange surroundings?	Why take the plants from their homes and ask them to bloom mid strange surroundings?	true	546.26	550.3	18
868_131295_000011_000002	Is it not like asking the birds to sing and mate cooped up in cages?	Is it not like asking the birds to sing and mate cooped up in cages?	false	550.55	554.62	20
868_131295_000011_000003	Who knows but that the orchids feel stifled by the artificial heat in your conservatories and hopelessly long for a glimpse of their own Southern skies?	Who knows but that the orchids feel stifled by the artificial heat in your conservatories and hopelessly long for a glimpse of their own Southern skies?	true	555.11	563.74	17
868_131295_000012_000000	The ideal lover of flowers is he who visits them in their native haunts, like Taoyuenming [all celebrated Chinese poets and philosophers], who sat before a broken bamboo fence in converse with the wild chrysanthemum, or Linwosing, losing himself amid mysterious fragrance as he wandered in the twilight among the plum-blossoms of the Western Lake. 'Tis said that Chowmushih slept in a boat so that his dreams might mingle with those of the lotus.	The ideal lover of flowers is he who visits them in their native haunts, like Taoyuenming [all celebrated Chinese poets and philosophers], who sat before a broken bamboo fence in converse with the wild chrysanthemum, or Linwosing, losing himself amid mysterious fragrance as he wandered in the twilight among the plum blossoms of the Western Lake. 'tis said that Chowmushih slept in a boat so that his dreams might mingle with those of the lotus.	false	566.96	593.89	20.069538
868_131295_000012_000001	It was the same spirit which moved the Empress Komio, one of our most renowned Nara sovereigns, as she sang: "If I pluck thee, my hand will defile thee, O flower!	It was the same spirit which moved the Empress Komio, one of our most renowned Nara sovereigns, as she sang: "If I pluck thee, my hand will defile thee, O flower!	true	594.62	605.62	19.559114
868_131295_000012_000002	Standing in the meadows as thou art, I offer thee to the Buddhas of the past, of the present, of the future."	Standing in the meadows as thou art, I offer thee to the Buddhas of the past, of the present, of the future."	true	606.02	612.85	19.94835
868_131295_000013_000000	However, let us not be too sentimental.	However, let us not be too sentimental.	true	615.23	617.77	21.01086
868_131295_000013_000001	Let us be less luxurious but more magnificent.	Let us be less luxurious but more magnificent.	true	618.5	621.855	20
868_131295_000013_000002	Said Laotse: "Heaven and earth are pitiless." Said Kobodaishi: "Flow, flow, flow, flow, the current of life is ever onward. Die, die, die, die, death comes to all." Destruction faces us wherever we turn.	Said l a o t s e: "Heaven and earth are pitiless." Said Kobodaishi: "Flow, flow, flow, flow, the current of life is ever onward. Die, die, die, die, death comes to all." Destruction faces us wherever we turn.	false	621.855	638.77	20.430872
868_131295_000013_000003	Destruction below and above, destruction behind and before. Change is the only Eternal,--why not as welcome Death as Life?	Destruction below and above, destruction behind and before. Change is the only Eternal,--why not as welcome Death as Life?	true	639.35	648.16	21.512024
868_131295_000013_000004	They are but counterparts one of the other,--The Night and Day of Brahma.	They are but counterparts one of the other,--The Night and Day of Brahma.	true	648.77	653.02	22.55048
868_131295_000013_000005	Through the disintegration of the old, re-creation becomes possible.	Through the disintegration of the old, re creation becomes possible.	true	653.78	657.49	18.518866
868_131295_000013_000006	We have worshipped Death, the relentless goddess of mercy, under many different names.	We have worshipped Death, the relentless goddess of mercy, under many different names.	true	657.92	663.04	21.088152
868_131295_000013_000007	It was the shadow of the All-devouring that the Gheburs greeted in the fire.	It was the shadow of the All devouring that the Gheburs greeted in the fire.	true	663.77	668.11	21
868_131295_000013_000008	It is the icy purism of the sword-soul before which Shinto-Japan prostrates herself even to-day.	It is the icy purism of the sword soul before which Shinto Japan prostrates herself even to day.	true	668.3	674.86	15
868_131295_000013_000009	The mystic fire consumes our weakness, the sacred sword cleaves the bondage of desire.	The mystic fire consumes our weakness, the sacred sword cleaves the bondage of desire.	true	675.53	680.8	21.628454
868_131295_000013_000010	From our ashes springs the phoenix of celestial hope, out of the freedom comes a higher realisation of manhood.	From our ashes springs the phoenix of celestial hope, out of the freedom comes a higher realisation of manhood.	true	681.11	688.36	20.410887
868_131295_000014_000000	Why not destroy flowers if thereby we can evolve new forms ennobling the world idea?	Why not destroy flowers if thereby we can evolve new forms ennobling the world idea?	true	690.23	695.62	20.749996
868_131295_000014_000001	We only ask them to join in our sacrifice to the beautiful. We shall atone for the deed by consecrating ourselves to Purity and Simplicity.	We only ask them to join in our sacrifice to the beautiful. We shall atone for the deed by consecrating ourselves to Purity and Simplicity.	false	695.72	703.99	20.738726
868_131295_000014_000002	Thus reasoned the tea-masters when they established the Cult of Flowers.	Thus reasoned the tea masters when they established the Cult of Flowers.	false	704.66	708.61	21
868_131295_000015_000000	Anyone acquainted with the ways of our tea- and flower-masters must have noticed the religious veneration with which they regard flowers.	Anyone acquainted with the ways of our tea and flower masters must have noticed the religious veneration with which they regard flowers.	true	711.89	718.87	17
868_131295_000015_000001	They do not cull at random, but carefully select each branch or spray with an eye to the artistic composition they have in mind.	They do not cull at random, but carefully select each branch or spray with an eye to the artistic composition they have in mind.	false	719.48	727.21	21.36391
868_131295_000015_000002	They would be ashamed should they chance to cut more than were absolutely necessary.	They would be ashamed should they chance to cut more than were absolutely necessary.	true	728.18	732.37	16
868_131295_000015_000003	It may be remarked in this connection that they always associate the leaves, if there be any, with the flower, for the object is to present the whole beauty of plant life.	It may be remarked in this connection that they always associate the leaves, if there be any, with the flower, for the object is to present the whole beauty of plant life.	false	732.74	742.48	20.703053
868_131295_000015_000004	In this respect, as in many others, their method differs from that pursued in Western countries.	In this respect, as in many others, their method differs from that pursued in Western countries.	true	742.91	748.24	19
868_131295_000015_000005	Here we are apt to see only the flower stems, heads as it were, without body, stuck promiscuously into a vase.	Here we are apt to see only the flower stems, heads as it were, without body, stuck promiscuously into a vase.	true	748.67	755.74	21
868_131295_000016_000000	When a tea-master has arranged a flower to his satisfaction he will place it on the tokonoma, the place of honour in a Japanese room. Nothing else will be placed near it which might interfere with its effect, not even a painting, unless there be some special aesthetic reason for the combination.	When a tea master has arranged a flower to his satisfaction he will place it on the tokonoma, the place of honour in a Japanese room. Nothing else will be placed near it which might interfere with its effect, not even a painting, unless there be some special aesthetic reason for the combination.	false	757.01	774.58	20.530186
868_131295_000016_000001	It rests there like an enthroned prince, and the guests or disciples on entering the room will salute it with a profound bow before making their addresses to the host.	It rests there like an enthroned prince, and the guests or disciples on entering the room will salute it with a profound bow before making their addresses to the host.	true	775.28	784.03	18
868_131295_000016_000002	Drawings from masterpieces are made and published for the edification of amateurs.	Drawings from masterpieces are made and published for the edification of amateurs.	true	784.55	789.16	19
868_131295_000016_000003	The amount of literature on the subject is quite voluminous.	The amount of literature on the subject is quite voluminous.	true	789.59	792.85	18.023357
868_131295_000016_000004	When the flower fades, the master tenderly consigns it to the river or carefully buries it in the ground.	When the flower fades, the master tenderly consigns it to the river or carefully buries it in the ground.	true	793.25	798.88	17
868_131295_000016_000005	Monuments are sometimes erected to their memory.	Monuments are sometimes erected to their memory.	false	799.13	802	19
868_131295_000017_000000	The birth of the Art of Flower Arrangement seems to be simultaneous with that of Teaism in the fifteenth century.	The birth of the Art of Flower Arrangement seems to be simultaneous with that of Teaism in the fifteenth century.	true	803.78	810.16	19.649103
868_131295_000017_000001	Our legends ascribe the first flower arrangement to those early Buddhist saints who gathered the flowers strewn by the storm and, in their infinite solicitude for all living things, placed them in vessels of water.	Our legends ascribe the first flower arrangement to those early Buddhist saints who gathered the flowers strewn by the storm and, in their infinite solicitude for all living things, placed them in vessels of water.	true	810.65	822.31	19.72688
868_131295_000017_000002	It is said that Soami, the great painter and connoisseur of the court of Ashikaga-Yoshimasa, was one of the earliest adepts at it.	It is said that Soami, the great painter and connoisseur of the court of Ashikaga Yoshimasa, was one of the earliest adepts at it.	true	824	833.26	19.4305
868_131295_000017_000003	Juko, the tea-master, was one of his pupils, as was also Senno, the founder of the house of Ikenobo, a family as illustrious in the annals of flowers as was that of the Kanos in painting.	Juko, the tea master, was one of his pupils, as was also Senno, the founder of the house of Ikenobo, a family as illustrious in the annals of flowers as was that of the Kanos in painting.	false	833.54	845.68	18
868_131295_000017_000004	With the perfecting of the tea-ritual under Rikiu, in the latter part of the sixteenth century, flower arrangement also attains its full growth.	With the perfecting of the tea ritual under Rikiu, in the latter part of the sixteenth century, flower arrangement also attains its full growth.	false	847.13	855.72	19.730024
868_131295_000017_000005	Rikiu and his successors, the celebrated Oda-wuraka, Furuka-Oribe, Koyetsu, Kobori-Enshiu, Katagiri-Sekishiu, vied with each other in forming new combinations.	Rikiu and his successors, the celebrated Oda wuraka, Furuka Oribe, Koyetsu, Kobori Enshiu, Katagiri Sekishiu, vied with each other in forming new combinations.	false	855.72	870.76	20.606129
868_131295_000017_000006	We must remember, however, that the flower-worship of the tea-masters formed only a part of their aesthetic ritual, and was not a distinct religion by itself.	We must remember, however, that the flower worship of the tea masters formed only a part of their aesthetic ritual, and was not a distinct religion by itself.	false	871.22	880.15	19.940798
868_131295_000017_000007	A flower arrangement, like the other works of art in the tea-room, was subordinated to the total scheme of decoration.	A flower arrangement, like the other works of art in the tea room, was subordinated to the total scheme of decoration.	false	880.37	886.42	20
868_131295_000017_000008	Thus Sekishiu ordained that white plum blossoms should not be made use of when snow lay in the garden. "Noisy" flowers were relentlessly banished from the tea-room.	Thus Sekishiu ordained that white plum blossoms should not be made use of when snow lay in the garden. "Noisy" flowers were relentlessly banished from the tea room.	true	886.79	897.55	20.094154
868_131295_000017_000009	A flower arrangement by a tea-master loses its significance if removed from the place for which it was originally intended, for its lines and proportions have been specially worked out with a view to its surroundings.	A flower arrangement by a tea master loses its significance if removed from the place for which it was originally intended, for its lines and proportions have been specially worked out with a view to its surroundings.	false	897.95	909.79	18
868_131295_000018_000000	The adoration of the flower for its own sake begins with the rise of "Flower-Masters," toward the middle of the seventeenth century.	The adoration of the flower for its own sake begins with the rise of "Flower Masters," toward the middle of the seventeenth century.	true	911.66	918.31	17
868_131295_000018_000001	It now becomes independent of the tea-room and knows no law save that the vase imposes on it.	It now becomes independent of the tea room and knows no law save that the vase imposes on it.	true	919.1	924.55	15
868_131295_000018_000002	New conceptions and methods of execution now become possible, and many were the principles and schools resulting therefrom. A writer in the middle of the last century said he could count over one hundred different schools of flower arrangement.	New conceptions and methods of execution now become possible, and many were the principles and schools resulting therefrom. A writer in the middle of the last century said he could count over one hundred different schools of flower arrangement.	false	925.37	940.9	19.509344
868_131295_000018_000003	Broadly speaking, these divide themselves into two main branches, the Formalistic and the Naturalesque.	Broadly speaking, these divide themselves into two main branches, the Formalistic and the Naturalesque.	false	941.36	948.03	19.26179
868_131295_000018_000004	The Formalistic schools, led by the Ikenobos, aimed at a classic idealism corresponding to that of the Kano-academicians.	The Formalistic schools, led by the Ikenobos, aimed at a classic idealism corresponding to that of the Kano academicians.	false	948.03	956.17	20.95533
868_131295_000018_000005	We possess records of arrangements by the early masters of the school which almost reproduce the flower paintings of Sansetsu and Tsunenobu.	We possess records of arrangements by the early masters of the school which almost reproduce the flower paintings of Sansetsu and Tsunenobu.	false	956.57	964.51	18
868_131295_000018_000006	The Naturalesque school, on the other hand, accepted nature as its model, only imposing such modifications of form as conduced to the expression of artistic unity.	The Naturalesque school, on the other hand, accepted nature as its model, only imposing such modifications of form as conduced to the expression of artistic unity.	false	964.97	977.02	20
868_131295_000018_000007	Thus we recognise in its works the same impulses which formed the Ukiyoe and Shijo schools of painting.	Thus we recognise in its works the same impulses which formed the Ukiyoe and Shijo schools of painting.	true	977.54	984.55	18
