5139_61422_000003_000000	CHAPTER XVI.	CHAPTER sixteen.
5139_61422_000014_000006	No wonder that Bertram telephoned more and more frequently that he had met a friend, and was dining in town.	No wonder that Bertram telephoned more and more frequently that he had met a friend, and was dining in town.
5139_61422_000014_000007	No wonder that William pushed back his plate almost every meal with his food scarcely touched, and then wandered about the house with that hungry, homesick, homeless look that nearly broke her heart.	No wonder that William pushed back his plate almost every meal with his food scarcely touched, and then wandered about the house with that hungry, homesick, homeless look that nearly broke her heart.
5139_61422_000014_000008	No wonder, indeed!	No wonder, indeed!
5139_61422_000015_000000	And so it had come.	And so it had come.
5139_61422_000015_000001	It was true.	It was true.
5139_61422_000015_000002	Aunt Hannah and Kate and the "Talk to Young Wives" were right.	Aunt Hannah and Kate and the "Talk to Young Wives" were right.
5139_61422_000015_000003	She had not been fit to marry Bertram.	She had not been fit to marry Bertram.
5139_61422_000015_000004	She had not been fit to marry anybody.	She had not been fit to marry anybody.
5139_61422_000015_000005	Her honeymoon was not only waning, but going into a total eclipse.	Her honeymoon was not only waning, but going into a total eclipse.
5139_61422_000015_000006	Had not Bertram already declared that if she would tend to her husband and her home a little more--	Had not Bertram already declared that if she would tend to her husband and her home a little more-
5139_61422_000016_000000	Billy clenched her small hands and set her round chin squarely.	Billy clenched her small hands and set her round chin squarely.
5139_61422_000017_000000	Very well, she would show them.	Very well, she would show them.
5139_61422_000017_000001	She would tend to her husband and her home.	She would tend to her husband and her home.
5139_61422_000018_000000	Billy was well aware now that housekeeping was a matter of more than muffins and date puffs.	Billy was well aware now that housekeeping was a matter of more than muffins and date puffs.
5139_61422_000018_000002	But she did not falter; and very systematically she set about making her plans.	But she did not falter; and very systematically she set about making her plans.
5139_61422_000019_000000	With a good stout woman to come in twice a week for the heavier work, she believed she could manage by herself very well until Eliza could come back.	With a good stout woman to come in twice a week for the heavier work, she believed she could manage by herself very well until Eliza could come back.
5139_61422_000019_000002	Meanwhile, all the time, she could be learning, and in due course she would reach that shining goal of Housekeeping Efficiency, short of which--according to Aunt Hannah and the "Talk to Young Wives"--no woman need hope for a waneless honeymoon.	Meanwhile, all the time, she could be learning, and in due course she would reach that shining goal of Housekeeping Efficiency, short of which-according to Aunt Hannah and the "Talk to Young Wives"--no woman need hope for a waneless honeymoon.
5139_61422_000020_000000	So chaotic and erratic had been the household service, and so quietly did Billy slip into her new role, that it was not until the second meal after the maid's departure that the master of the house discovered what had happened.	So chaotic and erratic had been the household service, and so quietly did Billy slip into her new role, that it was not until the second meal after the maid's departure that the master of the house discovered what had happened.
5139_61422_000020_000001	Then, as his wife rose to get some forgotten article, he questioned, with uplifted eyebrows:	Then, as his wife rose to get some forgotten article, he questioned, with uplifted eyebrows:
5139_61422_000021_000000	"Too good to wait upon us, is my lady now, eh?"	"Too good to wait upon us, is my lady now, eh?"
5139_61422_000022_000000	"My lady is waiting on you," smiled Billy.	"My lady is waiting on you," smiled Billy.
5139_61422_000023_000001	Great Scott, Billy, how long are you going to stand this?"	Great Scott, Billy, how long are you going to stand this?"
5139_61422_000024_000000	Billy tossed her head airily, though she shook in her shoes.	Billy tossed her head airily, though she shook in her shoes.
5139_61422_000024_000001	Billy had been dreading this moment.	Billy had been dreading this moment.
5139_61422_000025_000000	"I'm not standing it.	"I'm not standing it.
5139_61422_000025_000001	She's gone," responded Billy, cheerfully, resuming her seat.	She's gone," responded Billy, cheerfully, resuming her seat.
5139_61422_000025_000002	"Uncle William, sha'n't I give you some more pudding?"	"Uncle William, sha'n't I give you some more pudding?"
5139_61422_000026_000000	"Gone, so soon?" groaned Bertram, as William passed his plate, with a smiling nod.	"Gone, so soon?" groaned Bertram, as William passed his plate, with a smiling nod.
5139_61422_000026_000001	"Oh, well," went on Bertram, resignedly, "she stayed longer than the last one.	"Oh, well," went on Bertram, resignedly, "she stayed longer than the last one.
5139_61422_000026_000002	When is the next one coming?"	When is the next one coming?"
5139_61422_000027_000000	"She's already here."	"She's already here."
5139_61422_000028_000000	Bertram frowned.	Bertram frowned.
5139_61422_000029_000000	"Here?	"Here?
5139_61422_000029_000001	But--you served the dessert, and--" At something in Billy's face, a quick suspicion came into his own.	But-you served the dessert, and-" At something in Billy's face, a quick suspicion came into his own.
5139_61422_000030_000000	"Yes," she nodded brightly, "that's just what I mean.	"Yes," she nodded brightly, "that's just what I mean.
5139_61422_000030_000001	I'm the next one."	I'm the next one."
5139_61422_000031_000000	"Nonsense!" exploded Bertram, wrathfully.	"Nonsense!" exploded Bertram, wrathfully.
5139_61422_000031_000001	"Oh, come, Billy, we've been all over this before.	"Oh, come, Billy, we've been all over this before.
5139_61422_000031_000002	You know I can't have it."	You know I can't have it."
5139_61422_000032_000000	"Yes, you can.	"Yes, you can.
5139_61422_000032_000001	You've got to have it," retorted Billy, still with that disarming, airy cheerfulness.	You've got to have it," retorted Billy, still with that disarming, airy cheerfulness.
5139_61422_000032_000002	"Besides, 'twon't be half so bad as you think.	"Besides, 'twon't be half so bad as you think.
5139_61422_000032_000003	Wasn't that a good pudding to-night?	Wasn't that a good pudding to night?
5139_61422_000032_000004	Didn't you both come back for more?	Didn't you both come back for more?
5139_61422_000032_000005	Well, I made it."	Well, I made it."
5139_61422_000033_000000	"Puddings!" ejaculated Bertram, with an impatient gesture.	"Puddings!" ejaculated Bertram, with an impatient gesture.
5139_61422_000033_000001	"Billy, as I've said before, it takes something besides puddings to run this house."	"Billy, as I've said before, it takes something besides puddings to run this house."
5139_61422_000034_000000	"Yes, I know it does," dimpled Billy, "and I've got Mrs. Durgin for that part.	"Yes, I know it does," dimpled Billy, "and I've got mrs Durgin for that part.
5139_61422_000034_000001	She's coming twice a week, and more, if I need her.	She's coming twice a week, and more, if I need her.
5139_61422_000034_000002	Why, dearie, you don't know anything about how comfortable you're going to be!	Why, dearie, you don't know anything about how comfortable you're going to be!
5139_61422_000035_000000	But Uncle William had gone.	But Uncle William had gone.
5139_61422_000035_000001	Silently he had slipped from his chair and disappeared.	Silently he had slipped from his chair and disappeared.
5139_61422_000035_000002	Uncle William, it might be mentioned in passing, had never quite forgotten Aunt Hannah's fateful call with its dire revelations concerning a certain unwanted, superfluous, third-party husband's brother.	Uncle William, it might be mentioned in passing, had never quite forgotten Aunt Hannah's fateful call with its dire revelations concerning a certain unwanted, superfluous, third-party husband's brother.
5139_61422_000035_000003	Remembering this, there were times when he thought absence was both safest and best.	Remembering this, there were times when he thought absence was both safest and best.
5139_61422_000035_000004	This was one of the times.	This was one of the times.
5139_61422_000036_000000	"But, Billy, dear," still argued Bertram, irritably, "how can you?	"But, Billy, dear," still argued Bertram, irritably, "how can you?
5139_61422_000036_000001	You don't know how.	You don't know how.
5139_61422_000036_000002	You've had no experience."	You've had no experience."
5139_61422_000037_000000	Billy threw back her shoulders.	Billy threw back her shoulders.
5139_61422_000037_000001	An ominous light came to her eyes.	An ominous light came to her eyes.
5139_61422_000037_000002	She was no longer airily playful.	She was no longer airily playful.
5139_61422_000038_000000	"That's exactly it, Bertram.	"That's exactly it, Bertram.
5139_61422_000038_000001	I don't know how--but I'm going to learn.	I don't know how-but I'm going to learn.
5139_61422_000038_000002	I haven't had experience--but I'm going to get it.	I haven't had experience-but I'm going to get it.
5139_61422_000039_000000	"But if you'd get a maid--a good maid," persisted Bertram, feebly.	"But if you'd get a maid-a good maid," persisted Bertram, feebly.
5139_61422_000040_000001	She was a good maid--until she found out how little her mistress knew; then--well, you know what it was then.	She was a good maid-until she found out how little her mistress knew; then-well, you know what it was then.
5139_61422_000040_000002	Do you think I'd let that thing happen to me again?	Do you think I'd let that thing happen to me again?
5139_61422_000040_000003	No, sir!	No, sir!
