7245_104888_000000_000000	Next time, to stay! Next time, the things to see By ear unheard, Unscrutinized by eye.	Next time, to stay! Next time, the things to see By ear unheard, Unscrutinized by eye.	false	0	4.59	21.522757
7245_104888_000022_000000	THE CONTRACT.	THE CONTRACT.	true	128.82	130.09	20.106382
7245_104888_000023_000000	I gave myself to him, And took himself for pay. The solemn contract of a life Was ratified this way.	I gave myself to him, And took himself for pay. The solemn contract of a life Was ratified this way.	true	130.61	137.71	23.528126
7245_104888_000024_000000	The wealth might disappoint, Myself a poorer prove Than this great purchaser suspect, The daily own of Love	The wealth might disappoint, Myself a poorer prove Than this great purchaser suspect, The daily own of Love	true	138.08	145.63	24.38797
7245_104888_000025_000000	Depreciate the vision; But, till the merchant buy, Still fable, in the isles of spice, The subtle cargoes lie.	Depreciate the vision; But, till the merchant buy, Still fable, in the isles of spice, The subtle cargoes lie.	true	145.94	152.92	21.893232
7245_104888_000026_000000	At least, 't is mutual risk, -- Some found it mutual gain; Sweet debt of Life, -- each night to owe, Insolvent, every noon.	At least, 't is mutual risk, -- Some found it mutual gain; Sweet debt of Life, -- each night to owe, Insolvent, every noon.	false	153.47	161.7	20.850357
7245_104888_000027_000000	V.	V.	false	161.7	165.87	15.240517
7245_104888_000028_000000	THE LETTER.	THE LETTER.	true	165.87	166.63	18.932592
7245_104888_000029_000000	"GOING to him!	"GOING to him!	true	167.63	168.75	25
7245_104888_000029_000001	Happy letter!	Happy letter!	true	168.75	169.59	15
7245_104888_000029_000002	Tell him -- Tell him the page I did n't write; Tell him I only said the syntax, And left the verb and the pronoun out. Tell him just how the fingers hurried, Then how they waded, slow, slow, slow; And then you wished you had eyes in your pages, So you could see what moved them so.	Tell him -- Tell him the page I did n't write; Tell him I only said the syntax, And left the verb and the pronoun out. Tell him just how the fingers hurried, Then how they waded, slow, slow, slow; And then you wished you had eyes in your pages, So you could see what moved them so.	false	169.59	187.81	20.441143
7245_104888_000030_000000	"Tell him it was n't a practised writer, You guessed, from the way the sentence toiled; You could hear the bodice tug, behind you, As if it held but the might of a child; You almost pitied it, you, it worked so. Tell him -- No, you may quibble there, For it would split his heart to know it, And then you and I were silenter.	"Tell him it was n't a practised writer, You guessed, from the way the sentence toiled; You could hear the bodice tug, behind you, As if it held but the might of a child; You almost pitied it, you, it worked so. Tell him -- No, you may quibble there, For it would split his heart to know it, And then you and I were silenter.	true	188.78	207.97	21.180634
7245_104888_000031_000000	"Tell him night finished before we finished, And the old clock kept neighing 'day!' And you got sleepy and begged to be ended -- What could it hinder so, to say? Tell him just how she sealed you, cautious, But if he ask where you are hid Until to-morrow, -- happy letter! Gesture, coquette, and shake your head!"	"Tell him night finished before we finished, And the old clock kept neighing 'day!' And you got sleepy and begged to be ended -- What could it hinder so, to say? Tell him just how she sealed you, cautious, But if he ask where you are hid Until to morrow, -- happy letter! Gesture, coquette, and shake your head!"	false	208.61	228.09	22.426231
7245_104888_000032_000000	VI.	VI.	false	228.09	232.8	16.550837
7245_104888_000033_000000	The way I read a letter 's this: 'T is first I lock the door, And push it with my fingers next, For transport it be sure.	The way I read a letter 's this: 'T is first I lock the door, And push it with my fingers next, For transport it be sure.	false	232.8	240.61	19.945318
7245_104888_000034_000000	And then I go the furthest off To counteract a knock; Then draw my little letter forth And softly pick its lock.	And then I go the furthest off To counteract a knock; Then draw my little letter forth And softly pick its lock.	true	241.07	248.23	20.028141
7245_104888_000035_000000	Then, glancing narrow at the wall, And narrow at the floor, For firm conviction of a mouse Not exorcised before,	Then, glancing narrow at the wall, And narrow at the floor, For firm conviction of a mouse Not exorcised before,	true	248.51	255.7	23.28052
7245_104888_000036_000000	Peruse how infinite I am To -- no one that you know! And sigh for lack of heaven, -- but not The heaven the creeds bestow.	Peruse how infinite I am To -- no one that you know! And sigh for lack of heaven, -- but not The heaven the creeds bestow.	true	256.25	264.94	23.891459
7245_104888_000037_000000	VII.	seven.	true	267.56	268.45	20.34103
7245_104888_000038_000000	Wild nights!	Wild nights!	true	268.94	270.165	23.284075
7245_104888_000038_000001	Wild nights!	Wild nights!	true	270.165	271.2	22.470152
7245_104888_000038_000002	Were I with thee, Wild nights should be Our luxury!	Were I with thee, Wild nights should be Our luxury!	false	271.2	274.63	17
7245_104888_000039_000000	Futile the winds To a heart in port, -- Done with the compass, Done with the chart.	Futile the winds To a heart in port, -- Done with the compass, Done with the chart.	true	275	280.33	22.27139
7245_104888_000040_000000	Rowing in Eden! Ah! the sea!	Rowing in Eden! Ah! the sea!	false	280.49	282.9	18.026983
7245_104888_000040_000001	Might I but moor To-night in thee!	Might I but moor To night in thee!	false	282.9	287.82	19.711004
7245_104888_000041_000000	VIII.	eight.	true	287.82	288.49	26.135424
7245_104888_000042_000000	AT HOME.	AT HOME.	true	288.77	289.78	21.82725
7245_104888_000043_000000	The night was wide, and furnished scant With but a single star, That often as a cloud it met Blew out itself for fear.	The night was wide, and furnished scant With but a single star, That often as a cloud it met Blew out itself for fear.	true	290.75	298.45	22.120008
7245_104888_000044_000000	The wind pursued the little bush, And drove away the leaves November left; then clambered up And fretted in the eaves.	The wind pursued the little bush, And drove away the leaves November left; then clambered up And fretted in the eaves.	true	298.91	305.8	20.745607
7245_104888_000045_000000	No squirrel went abroad; A dog's belated feet Like intermittent plush were heard Adown the empty street.	No squirrel went abroad; A dog's belated feet Like intermittent plush were heard Adown the empty street.	true	306.17	313.03	20.800915
7245_104888_000046_000000	To feel if blinds be fast, And closer to the fire Her little rocking-chair to draw, And shiver for the poor,	To feel if blinds be fast, And closer to the fire Her little rocking chair to draw, And shiver for the poor,	true	313.67	320.47	23.427826
7245_104888_000047_000000	The housewife's gentle task. "How pleasanter," said she Unto the sofa opposite, "The sleet than May -- no thee!"	The housewife's gentle task. "How pleasanter," said she Unto the sofa opposite, "The sleet than May -- no thee!"	false	321.14	330.15	20.329185
7245_104888_000048_000000	IX.	IX.	false	330.15	332.13	21.069551
7245_104888_000049_000000	POSSESSION.	POSSESSION.	true	332.13	333.04	21.846565
7245_104888_000050_000000	Did the harebell loose her girdle To the lover bee, Would the bee the harebell hallow Much as formerly?	Did the harebell loose her girdle To the lover bee, Would the bee the harebell hallow Much as formerly?	true	333.62	340.03	18.797594
7245_104888_000051_000000	Did the paradise, persuaded, Yield her moat of pearl, Would the Eden be an Eden, Or the earl an earl?	Did the paradise, persuaded, Yield her moat of pearl, Would the Eden be an Eden, Or the earl an earl?	false	340.46	348.93	21.435198
7245_104888_000052_000000	X.	X.	false	348.93	350.7	24.164051
7245_104888_000053_000000	A charm invests a face Imperfectly beheld, -- The lady dare not lift her veil For fear it be dispelled.	A charm invests a face Imperfectly beheld, -- The lady dare not lift her veil For fear it be dispelled.	true	350.7	357.73	22.058926
7245_104888_000054_000000	But peers beyond her mesh, And wishes, and denies, -- Lest interview annul a want That image satisfies.	But peers beyond her mesh, And wishes, and denies, -- Lest interview annul a want That image satisfies.	false	358.19	365.4	20
7245_104888_000055_000000	XI.	XI.	false	365.4	369.03	14.970737
7245_104888_000056_000000	THE LOVERS.	THE LOVERS.	true	369.03	369.85	21.313538
7245_104888_000057_000000	The rose did caper on her cheek, Her bodice rose and fell, Her pretty speech, like drunken men, Did stagger pitiful.	The rose did caper on her cheek, Her bodice rose and fell, Her pretty speech, like drunken men, Did stagger pitiful.	true	370.79	378.04	23.45463
7245_104888_000058_000000	Her fingers fumbled at her work, -- Her needle would not go; What ailed so smart a little maid It puzzled me to know,	Her fingers fumbled at her work, -- Her needle would not go; What ailed so smart a little maid It puzzled me to know,	true	378.68	385.51	22.317005
7245_104888_000059_000000	Till opposite I spied a cheek That bore another rose; Just opposite, another speech That like the drunkard goes;	Till opposite I spied a cheek That bore another rose; Just opposite, another speech That like the drunkard goes;	true	385.82	392.95	22.154945
7245_104888_000060_000000	A vest that, like the bodice, danced To the immortal tune, -- Till those two troubled little clocks Ticked softly into one.	A vest that, like the bodice, danced To the immortal tune, -- Till those two troubled little clocks Ticked softly into one.	false	393.26	400.81	23.739227
7245_104888_000061_000000	XII.	twelve.	true	402.14	403.18	16.821098
7245_104888_000062_000000	In lands I never saw, they say, Immortal Alps look down, Whose bonnets touch the firmament, Whose sandals touch the town, --	In lands I never saw, they say, Immortal Alps look down, Whose bonnets touch the firmament, Whose sandals touch the town, --	true	403.28	411.52	19.61133
7245_104888_000063_000000	Meek at whose everlasting feet A myriad daisies play. Which, sir, are you, and which am I, Upon an August day?	Meek at whose everlasting feet A myriad daisies play. Which, sir, are you, and which am I, Upon an August day?	true	411.89	420.01	19.510508
7245_104888_000064_000000	XIII.	thirteen.	true	421.22	422.35	22.665134
7245_104888_000065_000000	The moon is distant from the sea, And yet with amber hands She leads him, docile as a boy, Along appointed sands.	The moon is distant from the sea, And yet with amber hands She leads him, docile as a boy, Along appointed sands.	true	422.9	430.72	20.605434
7245_104888_000066_000000	He never misses a degree; Obedient to her eye, He comes just so far toward the town, Just so far goes away.	He never misses a degree; Obedient to her eye, He comes just so far toward the town, Just so far goes away.	true	431.39	438.79	22.57339
7245_104888_000067_000000	Oh, Signor, thine the amber hand, And mine the distant sea, -- Obedient to the least command Thine eyes impose on me.	Oh, Signor, thine the amber hand, And mine the distant sea, -- Obedient to the least command Thine eyes impose on me.	false	439.37	447.22	18
7245_104888_000068_000000	XIV.	fourteen.	true	449.9	450.88	24.110155
7245_104888_000069_000000	He put the belt around my life, -- I heard the buckle snap, And turned away, imperial, My lifetime folding up Deliberate, as a duke would do A kingdom's title-deed, -- Henceforth a dedicated sort, A member of the cloud.	He put the belt around my life, -- I heard the buckle snap, And turned away, imperial, My lifetime folding up Deliberate, as a duke would do A kingdom's title deed, -- Henceforth a dedicated sort, A member of the cloud.	true	451.16	466.09	21.696056
7245_104888_000070_000000	Yet not too far to come at call, And do the little toils That make the circuit of the rest, And deal occasional smiles To lives that stoop to notice mine And kindly ask it in, -- Whose invitation, knew you not For whom I must decline?	Yet not too far to come at call, And do the little toils That make the circuit of the rest, And deal occasional smiles To lives that stoop to notice mine And kindly ask it in, -- Whose invitation, knew you not For whom I must decline?	true	466.7	482.14	22.216125
7245_104888_000071_000000	XV.	fifteen.	true	484.88	486.01	24.37032
7245_104888_000072_000000	THE LOST JEWEL.	THE LOST JEWEL.	true	486.08	487.39	28.176268
7245_104888_000073_000000	I held a jewel in my fingers And went to sleep. The day was warm, and winds were prosy; I said: "'T will keep."	I held a jewel in my fingers And went to sleep. The day was warm, and winds were prosy; I said: "'T will keep."	false	488.48	496.75	22.494055
7245_104888_000074_000000	I woke and chid my honest fingers, -- The gem was gone; And now an amethyst remembrance Is all I own.	I woke and chid my honest fingers, -- The gem was gone; And now an amethyst remembrance Is all I own.	true	497.15	504.1	20.545553
7245_104888_000075_000000	XVI.	sixteen.	true	506.78	507.82	21.642748
7245_104888_000076_000000	What if I say I shall not wait? What if I burst the fleshly gate And pass, escaped, to thee? What if I file this mortal off, See where it hurt me, -- that 's enough, -- And wade in liberty?	What if I say I shall not wait? What if I burst the fleshly gate And pass, escaped, to thee? What if I file this mortal off, See where it hurt me, -- that 's enough, -- And wade in liberty?	false	508.46	520.81	20.728178
7245_104888_000077_000000	They cannot take us any more, -- Dungeons may call, and guns implore; Unmeaning now, to me, As laughter was an hour ago, Or laces, or a travelling show, Or who died yesterday!	They cannot take us any more, -- Dungeons may call, and guns implore; Unmeaning now, to me, As laughter was an hour ago, Or laces, or a travelling show, Or who died yesterday!	false	521.51	543.33	19.055416
