2388_153733_000000_000000	Marvels of the Aurora	Marvels of the Aurora	true	22.95	25.21	26.962934
2388_153733_000004_000002	This mysterious beam was seen by no less than twenty-six observers in different parts of the country, and a comparison of their observations led to a curious calculation indicating that the apparition was about one hundred and thirty-three miles tall and moved at the speed of ten miles per second!	This mysterious beam was seen by no less than twenty six observers in different parts of the country, and a comparison of their observations led to a curious calculation indicating that the apparition was about one hundred and thirty three miles tall and moved at the speed of ten miles per second!	false	202.94	221.23	22.47047
2388_153733_000005_000000	But, as everybody knows, it is in the Arctic regions that the Aurora, or the ``Northern Lights,'' can best be seen.	But, as everybody knows, it is in the Arctic regions that the Aurora, or the backquote backquote Northern Lights,'' can best be seen.	false	221.63	228.22	24.295298
2388_153733_000005_000001	There, in the long polar night, when for months together the sun does not rise, the strange coruscations in the sky often afford a kind of spectral daylight in unison with the weird scenery of the world of ice.	There, in the long polar night, when for months together the sun does not rise, the strange coruscations in the sky often afford a kind of spectral daylight in unison with the weird scenery of the world of ice.	false	228.68	241.84	22.338932
2388_153733_000005_000002	The pages in the narratives of Arctic exploration that are devoted to descriptions of the wonderful effects of the Northern Lights are second to none that man has ever penned in their fascination.	The pages in the narratives of Arctic exploration that are devoted to descriptions of the wonderful effects of the Northern Lights are second to none that man has ever penned in their fascination.	true	242.33	253.15	22.89778
2388_153733_000005_000003	The lights, as I have already intimated, display astonishing colors, particularly shades of red and green, as they flit from place to place in the sky.	The lights, as I have already intimated, display astonishing colors, particularly shades of red and green, as they flit from place to place in the sky.	true	253.73	263.14	25.380274
2388_153733_000005_000004	The discovery that the magnetic needle is affected by the Aurora, quivering and darting about in a state of extraordinary excitement when the lights are playing in the sky, only added to the mystery of the phenomenon until its electro-magnetic nature had been established. This became evident as soon as it was known that the focus of the displays was the magnetic pole; and when the far South was visited the Aurora Australis was found, having its center at the South Magnetic Pole.	The discovery that the magnetic needle is affected by the Aurora, quivering and darting about in a state of extraordinary excitement when the lights are playing in the sky, only added to the mystery of the phenomenon until its electro magnetic nature had been established. This became evident as soon as it was known that the focus of the displays was the magnetic pole; and when the far South was visited the Aurora Australis was found, having its center at the South Magnetic Pole.	false	263.72	293.41	23.531115
2388_153733_000005_000005	Then, if not before, it was clear that the earth was a great globular magnet, having its poles of opposite magnetism, and that the auroral lights, whatever their precise cause might be, were manifestations of the magnetic activity of our planet.	Then, if not before, it was clear that the earth was a great globular magnet, having its poles of opposite magnetism, and that the auroral lights, whatever their precise cause might be, were manifestations of the magnetic activity of our planet.	false	293.69	309.52	22.61447
2388_153733_000005_000006	After the invention of magnetic telegraphy it was found that whenever a great Aurora occurred the telegraph lines were interrupted in their operation, and the ocean cables ceased to work.	After the invention of magnetic telegraphy it was found that whenever a great Aurora occurred the telegraph lines were interrupted in their operation, and the ocean cables ceased to work.	true	309.62	320.02	23.228607
2388_153733_000005_000007	Such a phenomenon is called a ``magnetic storm.''	Such a phenomenon is called a backquote backquote magnetic storm.''	false	320.3	323.83	21.787647
2388_153733_000006_000000	The interest excited by the Aurora in scientific circles was greatly stimulated when, in the last half of the nineteenth century, it was discovered that it is a phenomenon intimately associated with disturbances on the sun.	The interest excited by the Aurora in scientific circles was greatly stimulated when, in the last half of the nineteenth century, it was discovered that it is a phenomenon intimately associated with disturbances on the sun	false	324.47	336.49	23.104343
2388_153733_000006_000001	The ancient ``Zurich Chronicles,'' extending from the year 1000 to the year 1800, in which both sun-spots visible to the naked eye and great displays of the auroral lights were recorded, first set Rudolf Wolf on the track of this discovery.	The ancient backquote backquote Zurich Chronicles,'' extending from the year one thousand to the year eighteen hundred, in which both sun spots visible to the naked eye and great displays of the auroral lights were recorded, first set Rudolf Wolf on the track of this discovery.	false	336.5	351.67	24.548374
2388_153733_000006_000002	The first notable proof of the suspected connection was furnished with dramatic emphasis by an occurrence which happened on September 1, 1859.	The first notable proof of the suspected connection was furnished with dramatic emphasis by an occurrence which happened on september first eighteen fifty nine.	true	352.73	361.75	24.97113
2388_153733_000006_000003	Near noon on that day two intensely brilliant points suddenly broke out in a group of sun-spots which were under observation by Mr R. C. Carrington at his observatory at Redhill, England.	Near noon on that day two intensely brilliant points suddenly broke out in a group of sun spots which were under observation by Mr r c Carrington at his observatory at Redhill, England.	true	362.12	373.27	24.317715
2388_153733_000006_000004	The points remained visible for not more than five minutes, during which interval they moved thirty-five thousand miles across the solar disk.	The points remained visible for not more than five minutes, during which interval they moved thirty five thousand miles across the solar disk.	true	373.79	382.33	22.36113
2388_153733_000006_000005	Mr R. Hodgson happened to see the same phenomenon at his observatory at Highgate, and thus all possibility of deception was removed.	Mr r Hodgson happened to see the same phenomenon at his observatory at Highgate, and thus all possibility of deception was removed.	true	382.46	391.9	21.855497
2388_153733_000006_000006	But neither of the startled observers could have anticipated what was to follow, and, indeed, it was an occurrence which has never been precisely duplicated.	But neither of the startled observers could have anticipated what was to follow, and, indeed, it was an occurrence which has never been precisely duplicated.	true	391.94	401.44	23.544626
2388_153733_000006_000007	I quote the eloquent account given by Miss Clerke in her History of Astronomy During the Nineteenth Century.	I quote the eloquent account given by Miss Clerke in her History of Astronomy During the Nineteenth Century.	false	401.84	408.34	23.930641
2388_153733_000007_000000	This unique phenomenon seemed as if specially designed to accentuate the inference of a sympathetic relation between the earth and the sun.	This unique phenomenon seemed as if specially designed to accentuate the inference of a sympathetic relation between the earth and the sun	false	409.58	418.39	24.795963
2388_153733_000007_000001	From August 28 to September 4, 1859, a magnetic storm of unparalleled intensity, extent, and duration was in progress over the entire globe.	From august twenty eighth to september fourth eighteen fifty nine, a magnetic storm of unparalleled intensity, extent, and duration was in progress over the entire globe.	false	418.88	430.12	23.034407
2388_153733_000007_000002	Telegraphic communication was everywhere interrupted -- except, indeed, that it was in some cases found practicable to work the lines without batteries by the agency of the earth-currents alone; sparks issued from the wires; gorgeous auroras draped the skies in solemn crimson over both hemispheres, and even in the tropics; the magnetic needle lost all trace of continuity in its movements and darted to and fro as if stricken with inexplicable panic.	Telegraphic communication was everywhere interrupted -- except, indeed, that it was in some cases found practicable to work the lines without batteries by the agency of the earth currents alone; sparks issued from the wires; gorgeous auroras draped the skies in solemn crimson over both hemispheres, and even in the tropics; the magnetic needle lost all trace of continuity in its movements and darted to and fro as if stricken with inexplicable panic.	true	430.46	459.01	24.635988
2388_153733_000007_000003	The coincidence was even closer.	The coincidence was even closer.	true	459.56	461.65	24.039251
2388_153733_000007_000004	At the very instant of the solar outburst witnessed by Carrington and Hodgson the photographic apparatus at Kew registered a marked disturbance of all the three magnetic elements; while shortly after the ensuing midnight the electric agitation culminated, thrilling the whole earth with subtle vibrations, and lighting up the atmosphere from pole to pole with coruscating splendors which perhaps dimly recall the times when our ancient planet itself shone as a star.	At the very instant of the solar outburst witnessed by Carrington and Hodgson the photographic apparatus at Kew registered a marked disturbance of all the three magnetic elements; while shortly after the ensuing midnight the electric agitation culminated, thrilling the whole earth with subtle vibrations, and lighting up the atmosphere from pole to pole with coruscating splendors which perhaps dimly recall the times when our ancient planet itself shone as a star.	false	462.02	492.61	23.234808
2388_153733_000008_000000	If this amazing occurrence stood alone, and as I have already said it has never been exactly duplicated, doubt might be felt concerning some of the inferences drawn from it; but in varying forms it has been repeated many times, so that now hardly anyone questions the reality of the assumed connection between solar outbursts and magnetic storms accompanied by auroral displays on the earth.	If this amazing occurrence stood alone, and as I have already said it has never been exactly duplicated, doubt might be felt concerning some of the inferences drawn from it; but in varying forms it has been repeated many times, so that now hardly anyone questions the reality of the assumed connection between solar outbursts and magnetic storms accompanied by auroral displays on the earth.	false	492.68	516.25	21.479313
2388_153733_000008_000001	It is true that the late Lord Kelvin raised difficulties in the way of the hypothesis of a direct magnetic action of the sun upon the earth, because it seemed to him that an inadmissible quantity of energy was demanded to account for such action.	It is true that the late Lord Kelvin raised difficulties in the way of the hypothesis of a direct magnetic action of the sun upon the earth, because it seemed to him that an inadmissible quantity of energy was demanded to account for such action.	true	516.77	530.62	23.186728
2388_153733_000008_000002	But no calculation like that which he made is final, since all calculations depend upon the validity of the data; and no authority is unshakable in science, because no man can possess omniscience.	But no calculation like that which he made is final, since all calculations depend upon the validity of the data; and no authority is unshakable in science, because no man can possess omniscience.	false	531.23	545.08	25.087025
2388_153733_000008_000003	It was Lord Kelvin who, but a few years before the thing was actually accomplished, declared that aerial navigation was an impracticable dream, and demonstrated its impracticability by calculation.	It was Lord Kelvin who, but a few years before the thing was actually accomplished, declared that aerial navigation was an impracticable dream, and demonstrated its impracticability by calculation.	true	545.6	557.17	23.35242
2388_153733_000008_000004	However the connection may be brought about, it is as certain as evidence can make it that solar outbursts are coincident with terrestial magnetic disturbances, and coincident in such a way as to make the inference of a causal connection irresistible.	However the connection may be brought about, it is as certain as evidence can make it that solar outbursts are coincident with terrestial magnetic disturbances, and coincident in such a way as to make the inference of a causal connection irresistible.	false	557.6	571.99	24.29691
2388_153733_000008_000005	The sun is only a little more than a hundred times its own diameter away from the earth.	The sun is only a little more than a hundred times its own diameter away from the earth.	false	572.93	577.27	20.096119
2388_153733_000008_000006	Why, then, with the subtle connection between them afforded by the ether which conveys to us the blinding solar light and the life-sustaining solar heat, should it be so difficult to believe that the sun's enormous electric energies find a way to us also?	Why, then, with the subtle connection between them afforded by the ether which conveys to us the blinding solar light and the life sustaining solar heat, should it be so difficult to believe that the sun's enormous electric energies find a way to us also?	false	577.55	592	21.779121
2388_153733_000008_000007	No doubt the impulse coming from the sun acts upon the earth after the manner of a touch upon a trigger, releasing energies which are already stored up in our planet.	No doubt the impulse coming from the sun acts upon the earth after the manner of a touch upon a trigger, releasing energies which are already stored up in our planet.	false	592.31	602.44	23.38678
2388_153733_000009_000000	But besides the evidence afforded by such occurrences as have been related of an intimate connection between solar outbreaks and terrestial magnetic flurries, attended by magnificent auroral displays, there is another line of proof pointing in the same direction.	But besides the evidence afforded by such occurrences as have been related of an intimate connection between solar outbreaks and terrestial magnetic flurries, attended by magnificent auroral displays, there is another line of proof pointing in the same direction.	false	603.8	619.12	21.902096
2388_153733_000009_000001	Thus, it is known that the sun-spot period, as remarked in a preceding chapter, coincides in a most remarkable manner with the periodic fluctuations in the magnetic state of the earth.	Thus, it is known that the sun spot period, as remarked in a preceding chapter, coincides in a most remarkable manner with the periodic fluctuations in the magnetic state of the earth.	false	619.91	632.13	23.262083
2388_153733_000009_000002	This coincidence runs into the most astonishing details.	This coincidence runs into the most astonishing details.	false	632.13	635.5	20.799149
2388_153733_000009_000003	For instance, when the sun-spot period shortens, the auroral period shortens to precisely the same extent; as the short sun-spot periods usually bring the most intense outbreaks of solar activity, so the corresponding short auroral periods are attended by the most violent magnetic storms; a secular period of about two hundred and twenty-two years affecting sun-spots is said to have its auroral duplicate; a shorter period of fifty-five and a half years, which some observers believe that they have discovered appears also to be common to the two phenomena; and yet another ``superposed'' period of about thirty-five years, which some investigators aver exists, affects sun-spots and aurora alike.	For instance, when the sun spot period shortens, the auroral period shortens to precisely the same extent; as the short sun spot periods usually bring the most intense outbreaks of solar activity, so the corresponding short auroral periods are attended by the most violent magnetic storms; a secular period of about two hundred and twenty two years affecting sun spots is said to have its auroral duplicate; a shorter period of fifty five and a half years, which some observers believe that they have discovered appears also to be common to the two phenomena; and yet another backquote backquote superposed'' period of about thirty five years, which some investigators aver exists, affects sun spots and aurora alike.	false	635.75	680.56	24.134401
2388_153733_000009_000004	In short, the coincidences are so numerous and significant that one would have to throw the doctrine of probability to the winds in order to be able to reject the conclusion to which they so plainly lead.	In short, the coincidences are so numerous and significant that one would have to throw the doctrine of probability to the winds in order to be able to reject the conclusion to which they so plainly lead.	true	680.78	691.81	22.729828
2388_153733_000010_000000	But still the question recurs: How is the influence transmitted?	But still the question recurs: How is the influence transmitted?	true	692.48	696.52	23.984488
2388_153733_000010_000001	Here Arrhenius comes once more with his hypothesis of negative corpuscles, or ions, driven away from the sun by light-pressure -- a hypothesis which seems to explain so many things -- and offers it also as an explanation of the way in which the sun creates the Aurora.	Here Arrhenius comes once more with his hypothesis of negative corpuscles, or ions, driven away from the sun by light pressure -- a hypothesis which seems to explain so many things -- and offers it also as an explanation of the way in which the sun creates the Aurora.	false	696.89	714.18	23.975958
2388_153733_000010_000002	He would give the Aurora the same lineage with the Zodiacal Light.	He would give the Aurora the same lineage with the Zodiacal Light.	true	714.18	717.7	22.799433
2388_153733_000010_000003	To understand the application of this theory we must first recall the fact that the earth is a great magnet having its two opposite poles of magnetism, one near the Arctic and the other near the Antarctic Circle.	To understand the application of this theory we must first recall the fact that the earth is a great magnet having its two opposite poles of magnetism, one near the Arctic and the other near the Antarctic Circle.	false	718.04	730.21	22.784365
2388_153733_000010_000004	Like all magnets, the earth is surrounded with ``lines of force,'' which, after the manner of the curved rays we saw in the photograph of a solar eclipse, start from a pole, rising at first nearly vertically, then bend gradually over, passing high above the equator, and finally descending in converging sheaves to the opposite pole.	Like all magnets, the earth is surrounded with backquote backquote lines of force,'' which, after the manner of the curved rays we saw in the photograph of a solar eclipse, start from a pole, rising at first nearly vertically, then bend gradually over, passing high above the equator, and finally descending in converging sheaves to the opposite pole.	false	730.55	746.43	22.201683
2388_153733_000010_000005	Now the axis of the earth is so placed in space that it lies at nearly a right angle to the direction of the sun, and as the streams of negatively charged particles come pouring on from the sun (see the last preceding chapter), they arrive in the greatest numbers over the earth's equatorial regions.	Now the axis of the earth is so placed in space that it lies at nearly a right angle to the direction of the sun, and as the streams of negatively charged particles come pouring on from the sun (see the last preceding chapter), they arrive in the greatest numbers over the earth's equatorial regions.	false	746.43	760.36	22.047174
2388_153733_000010_000006	There they encounter the lines of magnetic force at the place where the latter have their greatest elevation above the earth, and where their direction is horizontal to the earth's surface.	There they encounter the lines of magnetic force at the place where the latter have their greatest elevation above the earth, and where their direction is horizontal to the earth's surface.	false	760.55	769.99	21.57365
2388_153733_000010_000007	Obeying a law which has been demonstrated in the laboratory, the particles then follow the lines of force toward the poles.	Obeying a law which has been demonstrated in the laboratory, the particles then follow the lines of force toward the poles.	true	770.51	776.88	18
2388_153733_000010_000008	While they are above the equatorial regions they do not become luminescent, because at the great elevation that they there occupy there is virtually no atmosphere; but as they pass on toward the north and the south they begin to descend with the lines of force, curving down to meet at the poles; and, encountering a part of the atmosphere comparable in density with what remains in an exhausted Crookes tube, they produce a glow of cathode rays.	While they are above the equatorial regions they do not become luminescent, because at the great elevation that they there occupy there is virtually no atmosphere; but as they pass on toward the north and the south they begin to descend with the lines of force, curving down to meet at the poles; and, encountering a part of the atmosphere comparable in density with what remains in an exhausted Crookes tube, they produce a glow of cathode rays.	false	776.88	804.91	21.063877
2388_153733_000010_000009	This glow is conceived to represent the Aurora, which may consequently be likened to a gigantic exhibition of vacuum-tube lights.	This glow is conceived to represent the Aurora, which may consequently be likened to a gigantic exhibition of vacuum tube lights.	false	805.52	812.68	20
2388_153733_000010_000010	Anybody who recalls his student days in the college laboratory and who has witnessed a display of Northern Lights will at once recognize the resemblance between them in colors, forms, and behavior.	Anybody who recalls his student days in the college laboratory and who has witnessed a display of Northern Lights will at once recognize the resemblance between them in colors, forms, and behavior.	false	813.08	823.9	20.906473
2388_153733_000010_000011	This resemblance had often been noted before Arrhenius elaborated his hypothesis.	This resemblance had often been noted before Arrhenius elaborated his hypothesis.	false	824.3	829.93	24.468948
2388_153733_000011_000000	Without intending to treat his interesting theory as more than a possibly correct explanation of the phenomena of the Aurora, we may call attention to some apparently confirmatory facts.	Without intending to treat his interesting theory as more than a possibly correct explanation of the phenomena of the Aurora, we may call attention to some apparently confirmatory facts.	false	831.2	841.87	22.725399
2388_153733_000011_000001	One of the most striking of these relates to a seasonal variation in the average number of aurorae.	One of the most striking of these relates to a seasonal variation in the average number of aurorae.	false	842.45	848.4	21.021555
2388_153733_000011_000002	It has been observed that there are more in March and September than at any other time of the year, and fewer in June and December; moreover (and this is a delicate test as applied to the theory), they are slightly rarer in June than in December.	It has been observed that there are more in March and September than at any other time of the year, and fewer in June and December; moreover (and this is a delicate test as applied to the theory), they are slightly rarer in June than in December.	false	848.4	864.07	22.337854
2388_153733_000011_000003	Now all these facts seem to find a ready explanation in the hypothesis of Arrhenius, thus: (1) The particles issuing from the sun are supposed to come principally from the regions whose excitement is indicated by the presence of sun-spots (which accords with Hale's observation that sun-spots are columns of ionized vapors), and these regions have a definite location on either side of the solar equator, seldom approaching it nearer than within 5 deg. or 10 deg. north or south, and never extending much beyond 35 deg. toward either pole; (2) The equator of the sun is inclined about 7 deg. to the plane of the earth's orbit, from which it results that twice in a year -- viz., in June and December -- the earth is directly over the solar equator, and twice a year -- viz., in March and September -- when it is farthest north or south of the solar equator, it is over the inner edge of the sun-spot belts.	Now all these facts seem to find a ready explanation in the hypothesis of Arrhenius, thus: (one) The particles issuing from the sun are supposed to come principally from the regions whose excitement is indicated by the presence of sun spots (which accords with Hale's observation that sun spots are columns of ionized vapors), and these regions have a definite location on either side of the solar equator, seldom approaching it nearer than within five d e g. or ten d e g. north or south, and never extending much beyond thirty five d e g. toward either pole; (two) The equator of the sun is inclined about seven d e g. to the plane of the earth's orbit, from which it results that twice in a year -- viz., in June and December -- the earth is directly over the solar equator, and twice a year -- viz., in March and September -- when it is farthest north or south of the solar equator, it is over the inner edge of the sun spot belts.	false	864.53	922.54	21.24547
2388_153733_000011_000004	Since the corpuscles must be supposed to be propelled radially from the sun, few will reach the earth when the latter is over the solar equator in June and December, but when it is over, or nearly over, the spot belts, in March and September, it will be in the line of fire of the more active parts of the solar surface, and relatively rich streams of particles will reach it.	Since the corpuscles must be supposed to be propelled radially from the sun, few will reach the earth when the latter is over the solar equator in June and December, but when it is over, or nearly over, the spot belts, in March and September, it will be in the line of fire of the more active parts of the solar surface, and relatively rich streams of particles will reach it.	false	923.09	945.52	22.893677
2388_153733_000011_000005	This, as will be seen from what has been said above, is in strict accord with the observed variations in the frequency of aurorae.	This, as will be seen from what has been said above, is in strict accord with the observed variations in the frequency of aurorae.	false	946.1	953.73	22.841557
2388_153733_000011_000006	Even the fact that somewhat fewer aurorae are seen in June than in December also finds its explanation in the known fact that the earth is about three million miles nearer the sun in the winter than in the summer, and the number of particles reaching it will vary, like the intensity of light, inversely as the square of the distance.	Even the fact that somewhat fewer aurorae are seen in June than in December also finds its explanation in the known fact that the earth is about three million miles nearer the sun in the winter than in the summer, and the number of particles reaching it will vary, like the intensity of light, inversely as the square of the distance.	false	953.73	973.36	23.135057
2388_153733_000011_000007	These coincidences are certainly very striking, and they have a cumulative force.	These coincidences are certainly very striking, and they have a cumulative force.	true	974.06	978.7	23.721712
2388_153733_000011_000008	If we accept the theory, it would appear that we ought to congratulate ourselves that the inclination of the sun's equator is so slight, for as things stand the earth is never directly over the most active regions of the sun-spots, and consequently never suffers from the maximum bombardment of charged particles of which the sun is capable.	If we accept the theory, it would appear that we ought to congratulate ourselves that the inclination of the sun's equator is so slight, for as things stand the earth is never directly over the most active regions of the sun spots, and consequently never suffers from the maximum bombardment of charged particles of which the sun is capable.	true	979.19	998.95	23.062935
2388_153733_000011_000009	Incessant auroral displays, with their undulating draperies, flitting colors, and marching columns might not be objectionable from the point of view of picturesqueness, but one magnetic storm of extreme intensity following closely upon the heels of another, for months on end, crazing the magnetic needle and continually putting the telegraph and cable lines out of commission, to say nothing of their effect upon ``wireless telegraphy'', would hardly add to the charms of terrestrial existence.	Incessant auroral displays, with their undulating draperies, flitting colors, and marching columns might not be objectionable from the point of view of picturesqueness, but one magnetic storm of extreme intensity following closely upon the heels of another, for months on end, crazing the magnetic needle and continually putting the telegraph and cable lines out of commission, to say nothing of their effect upon backquote backquote wireless telegraphy'', would hardly add to the charms of terrestrial existence.	false	999.74	1027.81	21.06715
2388_153733_000012_000000	One or two other curious points in connection with Arrhenius' hypothesis may be mentioned.	One or two other curious points in connection with Arrhenius' hypothesis may be mentioned.	false	1028.99	1034.32	25.946999
2388_153733_000012_000001	First, the number of aurorae, according to his explanation, ought to be greatest in the daytime, when the face of the earth on the sunward side is directly exposed to the atomic bombardment.	First, the number of aurorae, according to his explanation, ought to be greatest in the daytime, when the face of the earth on the sunward side is directly exposed to the atomic bombardment.	true	1034.87	1046.37	21.110535
2388_153733_000012_000002	Of course visual observation can give us no information about this, since the light of the Aurora is never sufficiently intense to be visible in the presence of daylight, but the records of the magnetic observatories can be, and have been, appealed to for information, and they indicate that the facts actually accord with the theory.	Of course visual observation can give us no information about this, since the light of the Aurora is never sufficiently intense to be visible in the presence of daylight, but the records of the magnetic observatories can be, and have been, appealed to for information, and they indicate that the facts actually accord with the theory.	false	1046.37	1064.77	21.413641
2388_153733_000012_000003	Behind the veil of sunlight in the middle of the afternoon, there is good reason to believe, auroral exhibitions often take place which would eclipse in magnificence those seen at night if we could behold them.	Behind the veil of sunlight in the middle of the afternoon, there is good reason to believe, auroral exhibitions often take place which would eclipse in magnificence those seen at night if we could behold them.	false	1065.35	1077.55	20.964666
2388_153733_000012_000004	Observation shows, too, that aurorae are more frequent before than after midnight, which is just what we should expect if they originate in the way that Arrhenius supposes.	Observation shows, too, that aurorae are more frequent before than after midnight, which is just what we should expect if they originate in the way that Arrhenius supposes.	false	1078.31	1089.34	22.799814
2388_153733_000012_000005	Second, the theory offers an explanation of the alleged fact that the formation of clouds in the upper air is more frequent in years when aurorae are most abundant, because clouds are the result of the condensation of moisture upon floating particles in the atmosphere (in an absolutely dustless atmosphere there would be no clouds), and it has been proved that negative ions like those supposed to come from the sun play a master part in the phenomena of cloud formation.	Second, the theory offers an explanation of the alleged fact that the formation of clouds in the upper air is more frequent in years when aurorae are most abundant, because clouds are the result of the condensation of moisture upon floating particles in the atmosphere (in an absolutely dustless atmosphere there would be no clouds), and it has been proved that negative ions like those supposed to come from the sun play a master part in the phenomena of cloud formation.	false	1089.89	1119.19	23.076033
2388_153733_000013_000000	Yet another singular fact, almost mystical in its suggestions, may be mentioned.	Yet another singular fact, almost mystical in its suggestions, may be mentioned.	true	1121.03	1126.12	20.032772
2388_153733_000013_000001	It seems that the dance of the auroral lights occurs most frequently during the absence of the moon from the hemisphere in which they appear, and that they flee, in greater part, to the opposite hemisphere when the moon's revolution in an orbit considerably inclined to the earth's equator brings her into that where they have been performing.	It seems that the dance of the auroral lights occurs most frequently during the absence of the moon from the hemisphere in which they appear, and that they flee, in greater part, to the opposite hemisphere when the moon's revolution in an orbit considerably inclined to the earth's equator brings her into that where they have been performing.	true	1126.52	1145.46	21.553078
2388_153733_000013_000002	Arrhenius himself discovered this curious relation of auroral frequency to the position of the moon north or south of the equator, and he explains it in this way.	Arrhenius himself discovered this curious relation of auroral frequency to the position of the moon north or south of the equator, and he explains it in this way.	false	1145.46	1155.67	23.817598
2388_153733_000013_000003	The moon, like the earth, is exposed to the influx of the ions from the sun; but having no atmosphere, or almost none, to interfere with them, they descend directly upon her surface and charge her with an electric negative potential to a very high degree.	The moon, like the earth, is exposed to the influx of the ions from the sun; but having no atmosphere, or almost none, to interfere with them, they descend directly upon her surface and charge her with an electric negative potential to a very high degree.	false	1156.16	1169.92	22.379662
2388_153733_000013_000004	In consequence of this she affects the electric state of the upper parts of the earth's atmosphere where they lie most directly beneath her, and thus prevents, to a large extent, the negative discharges to which the appearance of the Aurora is due.	In consequence of this she affects the electric state of the upper parts of the earth's atmosphere where they lie most directly beneath her, and thus prevents, to a large extent, the negative discharges to which the appearance of the Aurora is due.	false	1170.41	1183.27	23.679508
