7959_109185_000000_000000	One day, in the early summer, however, Grim came very near to finding her match.	One day, in the early summer, however, Grim came very near to finding her match.	false	8.76	29.655	23.06687
7959_109185_000019_000000	An attempt to get beneath Grim, in order to seize her round the gills or by the belly, was unsuccessful; at the decisive moment Grim had turned aside, so that the otter had to set its teeth where it could. And it needed a well-placed grip to hold such a giant fish.	An attempt to get beneath Grim, in order to seize her round the gills or by the belly, was unsuccessful; at the decisive moment Grim had turned aside, so that the otter had to set its teeth where it could. And it needed a well placed grip to hold such a giant fish.	true	349.67	369.28	24.238947
7959_109185_000020_000000	The instant it has taken hold--a little behind the neck--Grim darts into deep water with her assailant.	The instant it has taken hold-a little behind the neck-Grim darts into deep water with her assailant.	true	369.89	377.23	24.33951
7959_109185_000020_000001	The otter backs, extends his fore and hind legs far out from his body, and spreads his web, so as to offer as much resistance as possible.	The otter backs, extends his fore and hind legs far out from his body, and spreads his web, so as to offer as much resistance as possible.	true	377.63	387.91	20
7959_109185_000020_000002	Just as the weasel lets itself be carried away by the hare in whose neck it has fixed itself, so now the otter allowed himself to be dragged through the bog by the lynx of the waters.	Just as the weasel lets itself be carried away by the hare in whose neck it has fixed itself, so now the otter allowed himself to be dragged through the bog by the lynx of the waters.	false	388.43	402.07	23.532734
7959_109185_000021_000000	Grim soon sees that this pace is wearing out her strength, and pauses for a moment.	Grim soon sees that this pace is wearing out her strength, and pauses for a moment.	true	403.19	409.45	20.798899
7959_109185_000022_000000	As she does so, she feels as if an eel were winding its pliant body round her chest.	As she does so, she feels as if an eel were winding its pliant body round her chest.	true	410.27	416.62	23.332745
7959_109185_000022_000001	She rolls round, unable to use her fins.	She rolls round, unable to use her fins.	true	416.84	419.89	20.036942
7959_109185_000022_000002	She quickly regains her balance, however, frees her body from the pressure, and sets off, with sudden twists, and leaps from the bottom to the surface, turning so suddenly that the fish-snatcher's body swings out and hangs down in the water.	She quickly regains her balance, however, frees her body from the pressure, and sets off, with sudden twists, and leaps from the bottom to the surface, turning so suddenly that the fish snatcher's body swings out and hangs down in the water.	true	420.5	435.37	21
7959_109185_000023_000000	But the otter only keeps a firmer hold.	But the otter only keeps a firmer hold.	true	436.04	439.27	26.348143
7959_109185_000023_000001	He is used to these desperate rallies, which always become fiercer and more violent as the quarry is on the point of giving in.	He is used to these desperate rallies, which always become fiercer and more violent as the quarry is on the point of giving in.	true	439.43	447.49	22.288548
7959_109185_000023_000002	He takes care, however, in turning, not to let any of his legs hang in front of the pike's mouth; he is too well acquainted with the teeth of the fresh-water shark!	He takes care, however, in turning, not to let any of his legs hang in front of the pike's mouth; he is too well acquainted with the teeth of the fresh water shark!	true	448.07	459.19	24.983347
7959_109185_000024_000000	Up and down, the two well-matched opponents dive incessantly.	Up and down, the two well matched opponents dive incessantly.	true	460.07	465.85	22.64024
7959_109185_000025_000000	Whenever Grim goes to the surface, a puffing and growling is heard.	Whenever Grim goes to the surface, a puffing and growling is heard.	true	466.34	471.31	21.78617
7959_109185_000025_000001	The otter hastily gasps for breath, and tightens his hold with his fore-claws; but when they are on their way down to the depths, and air-bubbles, like silver beads, roll through the water behind him, he has only to hold on and let himself go.	The otter hastily gasps for breath, and tightens his hold with his fore claws; but when they are on their way down to the depths, and air bubbles, like silver beads, roll through the water behind him, he has only to hold on and let himself go.	true	471.47	488.86	23.350939
7959_109185_000026_000000	Once Grim is lucky.	Once Grim is lucky.	true	490.1	492.55	26.22257
7959_109185_000026_000001	An old snag sticks up in the water, and, in turning, the otter's body is dashed against it.	An old snag sticks up in the water, and, in turning, the otter's body is dashed against it.	true	492.56	499.18	24.939257
7959_109185_000026_000002	It sends a shock through the animal, but as Grim for the moment has exhausted her energy and succumbed to one of the well-known fits of weakness common to her species, the otter once more apparently gets the upper hand.	It sends a shock through the animal, but as Grim for the moment has exhausted her energy and succumbed to one of the well-known fits of weakness common to her species, the otter once more apparently gets the upper hand.	false	499.61	514.74	22.588257
7959_109185_000027_000000	Thus with varying fortunes the battle rages for some time.	Thus with varying fortunes the battle rages for some time.	false	514.74	520.78	21.114685
7959_109185_000028_000000	They lie fighting on the surface--a golden-streaked, slimy, scaly fish twisted into a knot with a dark, hairy, furred body!	They lie fighting on the surface-a golden streaked, slimy, scaly fish twisted into a knot with a dark, hairy, furred body!	true	521.78	531.82	22.957802
7959_109185_000029_000000	Once more there is a pause in the fighting.	Once more there is a pause in the fighting.	true	533	535.99	25.11594
7959_109185_000030_000000	Unobserved by Grim, who has just fallen into one of her apathetic fits, the otter endeavours carefully to float the pike up under one of the large mounds, in order to drag her up with an effort of strength on to dry land; but the attempt fails utterly: he is simply unable to manage so great a load.	Unobserved by Grim, who has just fallen into one of her apathetic fits, the otter endeavours carefully to float the pike up under one of the large mounds, in order to drag her up with an effort of strength on to dry land; but the attempt fails utterly: he is simply unable to manage so great a load.	false	536.99	559.93	24.249386
7959_109185_000031_000000	Now Grim's strength returns once more.	Now Grim's strength returns once more.	true	560.87	564.225	24.17795
7959_109185_000031_000001	With a powerful stroke of her tail, she disappears with lightning rapidity from the surface, and goes to the bottom with her rider, whose merry-go-round jaunt makes his head swim.	With a powerful stroke of her tail, she disappears with lightning rapidity from the surface, and goes to the bottom with her rider, whose merry go round jaunt makes his head swim.	true	564.225	575.71	22
7959_109185_000031_000002	She is trying to get hold of his leg or body, and therefore twists round with him so that he flaps like a loose piece of strap on an axle; but she is not sufficiently supple to reach him.	She is trying to get hold of his leg or body, and therefore twists round with him so that he flaps like a loose piece of strap on an axle; but she is not sufficiently supple to reach him.	true	576.41	588.43	21.384144
7959_109185_000031_000003	Her back aches, her flexor muscles hurt.	Her back aches, her flexor muscles hurt.	true	588.74	592.03	24.136522
7959_109185_000031_000004	At last she has met with an opponent who puts her judgment, her ingenuity, and her endurance to the extreme test.	At last she has met with an opponent who puts her judgment, her ingenuity, and her endurance to the extreme test.	true	592.25	601.33	24.998323
7959_109185_000032_000000	Down on the bottom, sticking out from the bank, are the roots of the willow-bushes on the edge.	Down on the bottom, sticking out from the bank, are the roots of the willow bushes on the edge.	true	602.69	608.56	24.187185
7959_109185_000032_000001	In her mad rush down, Grim has come near these, and instinctively seeks shelter beneath them.	In her mad rush down, Grim has come near these, and instinctively seeks shelter beneath them.	true	608.81	615.16	22.85395
7959_109185_000032_000002	At full speed she runs her long body into the network and sticks fast, rapidly twisting her tail-screw both ahead and astern.	At full speed she runs her long body into the network and sticks fast, rapidly twisting her tail screw both ahead and astern.	true	615.65	624.88	23.212238
7959_109185_000033_000000	The otter treads water now on the right, now on the left side of her, and tries, by utilizing the roots as steps, to lift her up with him. But in vain; he cannot even stir the huge fish!	The otter treads water now on the right, now on the left side of her, and tries, by utilizing the roots as steps, to lift her up with him. But in vain; he cannot even stir the huge fish!	true	625.76	639.91	23.278841
7959_109185_000034_000000	His teeth are still far from having forced their way through; it seems as if, short and rounded as they are, they cannot reach the bottom.	His teeth are still far from having forced their way through; it seems as if, short and rounded as they are, they cannot reach the bottom.	false	640.85	650.59	23.61012
7959_109185_000034_000001	But he makes tremendous exertions, whipping his tail in under the peat-bank, while with his hind paws he seeks for support in clefts and cracks.	But he makes tremendous exertions, whipping his tail in under the peat bank, while with his hind paws he seeks for support in clefts and cracks.	true	651.17	661.03	23.695028
7959_109185_000034_000002	Suddenly he feels one of his feet seized.	Suddenly he feels one of his feet seized.	true	661.64	665.17	22.026257
7959_109185_000034_000003	The grasp tightens, so that his whole leg aches; he tries to draw in his foot, but it is held immovable.	The grasp tightens, so that his whole leg aches; he tries to draw in his foot, but it is held immovable.	true	665.6	673.84	23.88963
7959_109185_000035_000000	A monster crayfish, that has become so stiff with age that it can scarcely manage to strike a proper blow with its tail, has made for itself, in fear of Grim, a reliable place of refuge in the hole.	A monster crayfish, that has become so stiff with age that it can scarcely manage to strike a proper blow with its tail, has made for itself, in fear of Grim, a reliable place of refuge in the hole.	true	674.72	690.88	23.577768
7959_109185_000035_000001	For a long time it has patiently followed the battle through its feelers, and hoped that some morsel would fall to its hungry stomach; now, with gratitude to Providence, it closes its great claw upon the warm-blooded fisher.	For a long time it has patiently followed the battle through its feelers, and hoped that some morsel would fall to its hungry stomach; now, with gratitude to Providence, it closes its great claw upon the warm blooded fisher.	true	691.58	707.89	23.301292
7959_109185_000036_000000	A growing uneasiness steals over the otter.	A growing uneasiness steals over the otter.	false	708.74	712.36	20.558449
7959_109185_000036_000001	He had once been caught by the tip of one claw in an otter-trap.	He had once been caught by the tip of one claw in an otter trap.	true	712.61	717.55	26.190449
7959_109185_000036_000002	The trap was heavy, and had dragged him under water; and he had only escaped at the last moment. With the grasp on his leg, his lungs begin to warn him, his throat contracts, and his eyes seem on the point of bursting.	The trap was heavy, and had dragged him under water; and he had only escaped at the last moment. With the grasp on his leg, his lungs begin to warn him, his throat contracts, and his eyes seem on the point of bursting.	true	717.98	734.02	23.526924
7959_109185_000036_000003	Up!	Up!	true	734.33	735.04	30.812872
7959_109185_000036_000004	Up!	Up!	true	735.05	735.735	31.92752
7959_109185_000036_000005	With or without his prey!	With or without his prey!	true	735.735	737.62	26.82344
7959_109185_000037_000000	He has let go of Grim, and now makes his escape from the hole with so sudden a jerk that the old crayfish accompanies him; but the dread of water, which no living being that breathes with lungs can quite overcome, has taken possession of the otter.	He has let go of Grim, and now makes his escape from the hole with so sudden a jerk that the old crayfish accompanies him; but the dread of water, which no living being that breathes with lungs can quite overcome, has taken possession of the otter.	true	738.02	754.66	23.267378
7959_109185_000037_000001	With all possible speed he slips out from among the roots, and is already rising; and as he approaches the surface and finds the blessed light beating more and more strongly upon the mud about his eyes, he hastens his flight, until, with an eager sniff, he reaches the surface.	With all possible speed he slips out from among the roots, and is already rising; and as he approaches the surface and finds the blessed light beating more and more strongly upon the mud about his eyes, he hastens his flight, until, with an eager sniff, he reaches the surface.	true	754.85	774.82	22
7959_109185_000038_000000	Grim is close behind him, and as the otter lands, there is a loud splash.	Grim is close behind him, and as the otter lands, there is a loud splash.	true	775.94	782.56	24.434671
7959_109185_000038_000001	It would have been all over with the brown beast if the old crayfish, on its way down from the surface, where it had at last let go its hold, had not dropped like a stone straight into Grim's mouth.	It would have been all over with the brown beast if the old crayfish, on its way down from the surface, where it had at last let go its hold, had not dropped like a stone straight into Grim's mouth.	true	783.14	798.43	23.818838
7959_109185_000038_000002	Grim has now to content herself with sending her opponent a cold, dull, fishy glance, and let the Nipper continue its journey down into her draw-bag.	Grim has now to content herself with sending her opponent a cold, dull, fishy glance, and let the Nipper continue its journey down into her draw bag.	true	799.31	811.84	23.033339
7959_109185_000039_000000	The wound that the old giant pike had received was not a dangerous one. True, there were two rows of deep cuts made by a pair of thick, round-toothed jaws in the flesh on one side of her back; but they healed like so many others that she had had in her time.	The wound that the old giant pike had received was not a dangerous one. True, there were two rows of deep cuts made by a pair of thick, round toothed jaws in the flesh on one side of her back; but they healed like so many others that she had had in her time.	true	813.14	832.54	23.105812
7959_109185_000039_000001	Her back, however, was tender for days after, and she found it a little difficult to leap.	Her back, however, was tender for days after, and she found it a little difficult to leap.	true	832.97	839.8	24.8739
7959_109185_000040_000000	The impudent, four-footed fisher never went hunting again in _her_ water-hole.	The impudent, four footed fisher never went hunting again in underscore her underscore water hole.	false	840.29	846.1	20.568691
7959_109185_000040_000001	The otter felt quite sure that it was only by good fortune that it had not been annihilated by its great, dangerous rival.	The otter felt quite sure that it was only by good fortune that it had not been annihilated by its great, dangerous rival.	true	846.5	856.41	22.83849
7959_109185_000041_000000	XIV: THE ANGLER FROM TOWN	fourteen: THE ANGLER FROM TOWN	false	856.41	858.42	18.862074
7959_109185_000042_000000	The lake had changed since the old angler's death; its former peace and poetry were gone.	The lake had changed since the old angler's death; its former peace and poetry were gone.	false	858.42	860.91	24.806452
7959_109185_000042_000001	The big swimming-birds had multiplied tremendously, and dashed about restlessly every day, swallowing the fish by means of constantly improving implements.	The big swimming birds had multiplied tremendously, and dashed about restlessly every day, swallowing the fish by means of constantly improving implements.	false	860.91	868.05	21.155104
