5984_56840_000003_000000	CHAPTER XXVII.	CHAPTER twenty seven.
5984_56840_000014_000000	Something like humanity was awakened in Belcour's breast by this pathetic speech: he arose and walked towards the window; but the selfish passion which had taken possession of his heart, soon stifled these finer emotions; and he thought if Charlotte was once convinced she had no longer any dependance on Montraville, she would more readily throw herself on his protection.	Something like humanity was awakened in Belcour's breast by this pathetic speech: he arose and walked towards the window; but the selfish passion which had taken possession of his heart, soon stifled these finer emotions; and he thought if Charlotte was once convinced she had no longer any dependance on Montraville, she would more readily throw herself on his protection.
5984_56840_000014_000001	Determined, therefore, to inform her of all that had happened, he again resumed his seat; and finding she began to be more composed, enquired if she had ever heard from Montraville since the unfortunate recontre in her bed chamber.	Determined, therefore, to inform her of all that had happened, he again resumed his seat; and finding she began to be more composed, enquired if she had ever heard from Montraville since the unfortunate recontre in her bed chamber.
5984_56840_000015_000000	"Ah no," said she.	"Ah no," said she.
5984_56840_000016_000000	"I am greatly of your opinion," said Belcour, "for he has been for some time past greatly attached--"	"I am greatly of your opinion," said Belcour, "for he has been for some time past greatly attached-"
5984_56840_000017_000000	At the word "attached" a death-like paleness overspread the countenance of Charlotte, but she applied to some hartshorn which stood beside her, and Belcour proceeded.	At the word "attached" a death like paleness overspread the countenance of Charlotte, but she applied to some hartshorn which stood beside her, and Belcour proceeded.
5984_56840_000018_000000	"He has been for some time past greatly attached to one Miss Franklin, a pleasing lively girl, with a large fortune."	"He has been for some time past greatly attached to one Miss Franklin, a pleasing lively girl, with a large fortune."
5984_56840_000019_000000	"She may be richer, may be handsomer," cried Charlotte, "but cannot love him so well.	"She may be richer, may be handsomer," cried Charlotte, "but cannot love him so well.
5984_56840_000019_000001	Oh may she beware of his art, and not trust him too far as I have done."	Oh may she beware of his art, and not trust him too far as I have done."
5984_56840_000020_000000	"He addresses her publicly," said he, "and it was rumoured they were to be married before he sailed for Eustatia, whither his company is ordered."	"He addresses her publicly," said he, "and it was rumoured they were to be married before he sailed for Eustatia, whither his company is ordered."
5984_56840_000022_000000	"I fear," said Belcour, "he can be that villain."	"I fear," said Belcour, "he can be that villain."
5984_56840_000023_000000	"Perhaps," cried she, eagerly interrupting him, "perhaps he is married already: come, let me know the worst," continued she with an affected look of composure: "you need not be afraid, I shall not send the fortunate lady a bowl of poison."	"Perhaps," cried she, eagerly interrupting him, "perhaps he is married already: come, let me know the worst," continued she with an affected look of composure: "you need not be afraid, I shall not send the fortunate lady a bowl of poison."
5984_56840_000024_000000	"Well then, my dear girl," said he, deceived by her appearance, "they were married on Thursday, and yesterday morning they sailed for Eustatia."	"Well then, my dear girl," said he, deceived by her appearance, "they were married on Thursday, and yesterday morning they sailed for Eustatia."
5984_56840_000025_000000	"Married--gone--say you?" cried she in a distracted accent, "what without a last farewell, without one thought on my unhappy situation! Oh Montraville, may God forgive your perfidy." She shrieked, and Belcour sprang forward just in time to prevent her falling to the floor.	"Married-gone-say you?" cried she in a distracted accent, "what without a last farewell, without one thought on my unhappy situation! Oh Montraville, may God forgive your perfidy." She shrieked, and Belcour sprang forward just in time to prevent her falling to the floor.
5984_56840_000026_000000	Alarming faintings now succeeded each other, and she was conveyed to her bed, from whence she earnestly prayed she might never more arise. Belcour staid with her that night, and in the morning found her in a high fever.	Alarming faintings now succeeded each other, and she was conveyed to her bed, from whence she earnestly prayed she might never more arise. Belcour staid with her that night, and in the morning found her in a high fever.
