4856_20410_000003_000000	Something of this kind must have happened to me now.	Something of this kind must have happened to me now.
4856_20410_000052_000000	I lit my little pocket-lamp and hung it on the back cushion.	I lit my little pocket lamp and hung it on the back cushion.
4856_20410_000052_000002	But it seemed rather unnecessary to take a fresh set of notes, and, to tell the truth, I rather shirked the labour, tired as I was after my late exertions; besides, I wanted to think over the events of the evening, while they were fresh in my memory.	But it seemed rather unnecessary to take a fresh set of notes, and, to tell the truth, I rather shirked the labour, tired as I was after my late exertions; besides, I wanted to think over the events of the evening, while they were fresh in my memory.
4856_20410_000052_000003	Accordingly I put away the notebook, filled and lighted my pipe, and settled myself to review the incidents attending my second visit to this rather uncanny house.	Accordingly I put away the notebook, filled and lighted my pipe, and settled myself to review the incidents attending my second visit to this rather uncanny house.
4856_20410_000053_000000	Considered in leisurely retrospect, that visit offered quite a number of problems that called for elucidation.	Considered in leisurely retrospect, that visit offered quite a number of problems that called for elucidation.
4856_20410_000053_000003	Mr. Graves was certainly under the influence of morphine, and the only doubtful question was how he had become so.	mr Graves was certainly under the influence of morphine, and the only doubtful question was how he had become so.
4856_20410_000053_000004	That he had taken the poison himself was incredible.	That he had taken the poison himself was incredible.
4856_20410_000053_000005	No morphinomaniac would take such a knock-down dose.	No morphinomaniac would take such a knock down dose.
4856_20410_000053_000006	It was practically certain that the poison had been administered by someone else, and, on Mr. Weiss's own showing, there was no one but himself and the housekeeper who could have administered it.	It was practically certain that the poison had been administered by someone else, and, on mr Weiss's own showing, there was no one but himself and the housekeeper who could have administered it.
4856_20410_000053_000007	And to this conclusion all the other very queer circumstances pointed.	And to this conclusion all the other very queer circumstances pointed.
4856_20410_000054_000000	What were these circumstances?	What were these circumstances?
4856_20410_000054_000004	That departure coincided in time with the sick man's recovery of the power of speech.	That departure coincided in time with the sick man's recovery of the power of speech.
4856_20410_000054_000006	It looked rather like it.	It looked rather like it.
4856_20410_000054_000007	And yet he had gone away and left me with the patient and the housekeeper.	And yet he had gone away and left me with the patient and the housekeeper.
4856_20410_000055_000000	But when I came to think about it I remembered that Mrs. Schallibaum had shown some anxiety to prevent the patient from talking.	But when I came to think about it I remembered that mrs Schallibaum had shown some anxiety to prevent the patient from talking.
4856_20410_000055_000001	She had interrupted him more than once, and had on two occasions broken in when he seemed to be about to ask me some question.	She had interrupted him more than once, and had on two occasions broken in when he seemed to be about to ask me some question.
4856_20410_000055_000002	I was "mistaken" about something.	I was "mistaken" about something.
4856_20410_000055_000003	What was that something that he wanted to tell me?	What was that something that he wanted to tell me?
4856_20410_000056_000001	Germans are not usually tea-drinkers and they do take coffee.	Germans are not usually tea drinkers and they do take coffee.
4856_20410_000056_000002	But perhaps there was nothing in this.	But perhaps there was nothing in this.
4856_20410_000057_000000	There were other points, too.	There were other points, too.
4856_20410_000057_000001	I recalled the word that sounded like "Pol'n," which Mr. Graves had used in speaking to the housekeeper. Apparently it was a Christian name of some kind; but why did Mr. Graves call the woman by her Christian name when Mr. Weiss addressed her formally as Mrs. Schallibaum?	I recalled the word that sounded like "Pol'n," which mr Graves had used in speaking to the housekeeper. Apparently it was a Christian name of some kind; but why did mr Graves call the woman by her Christian name when mr Weiss addressed her formally as mrs Schallibaum?
4856_20410_000057_000002	And, as to the woman herself: what was the meaning of that curious disappearing squint?	And, as to the woman herself: what was the meaning of that curious disappearing squint?
4856_20410_000057_000003	Physically it presented no mystery.	Physically it presented no mystery.
4856_20410_000057_000006	Was it only feminine vanity--mere sensitiveness respecting a slight personal disfigurement?	Was it only feminine vanity-mere sensitiveness respecting a slight personal disfigurement?
4856_20410_000057_000008	It was impossible to say.	It was impossible to say.
4856_20410_000058_000001	And here I met with a real poser.	And here I met with a real poser.
4856_20410_000058_000003	Now they obviously could not be both flat and concave; but yet they had the properties peculiar to both flatness and concavity.	Now they obviously could not be both flat and concave; but yet they had the properties peculiar to both flatness and concavity.
4856_20410_000058_000004	And there was a further difficulty.	And there was a further difficulty.
4856_20410_000058_000005	If I could see objects unaltered through them, so could Mr. Weiss.	If I could see objects unaltered through them, so could mr Weiss.
4856_20410_000058_000007	If they leave the appearances unchanged they are useless.	If they leave the appearances unchanged they are useless.
4856_20410_000058_000009	After puzzling over it for quite a long time, I had to give it up; which I did the less unwillingly inasmuch as the construction of Mr. Weiss's spectacles had no apparent bearing on the case.	After puzzling over it for quite a long time, I had to give it up; which I did the less unwillingly inasmuch as the construction of mr Weiss's spectacles had no apparent bearing on the case.
4856_20410_000059_000001	Having made up a mixture for Mr. Graves and handed it to the coachman, I raked the ashes of the surgery fire together and sat down to smoke a final pipe while I reflected once more on the singular and suspicious case in which I had become involved.	Having made up a mixture for mr Graves and handed it to the coachman, I raked the ashes of the surgery fire together and sat down to smoke a final pipe while I reflected once more on the singular and suspicious case in which I had become involved.
