7594_91192_000000_000000	[Illustration: SAINT-SAENS]	[Illustration: SAINT SAENS]	false	9.21	22.305	21.526325
7594_91192_000011_000003	He rises to towering heights in some passages, but in his daring explorations through the tone-world he is often betrayed into a vagueness of form, largely traceable perhaps to lack of early technical discipline, as well as to lack of mental clarity.	He rises to towering heights in some passages, but in his daring explorations through the tone world he is often betrayed into a vagueness of form, largely traceable perhaps to lack of early technical discipline, as well as to lack of mental clarity.	false	545.48	561.31	21.374899
7594_91192_000011_000004	Ultra romanticism was foreign to the nature and repulsive to the tastes of the refined, elegant Mendelssohn, yet in spite of himself its influence crept gently into his polished works.	Ultra romanticism was foreign to the nature and repulsive to the tastes of the refined, elegant Mendelssohn, yet in spite of himself its influence crept gently into his polished works.	true	562.07	573.58	22.407597
7594_91192_000011_000005	As a symphonist he displayed fertility in picturesque sonorities, facility in tracing the outlines and filling in the details of form, keen sense of balance of orchestral tone, thorough scientific knowledge of his materials, and, as some one has said, became all but a master in the highest sense.	As a symphonist he displayed fertility in picturesque sonorities, facility in tracing the outlines and filling in the details of form, keen sense of balance of orchestral tone, thorough scientific knowledge of his materials, and, as some one has said, became all but a master in the highest sense.	false	574.01	593.23	20.579933
7594_91192_000011_000006	His overtures are unquestionably romantic, and as their histrionic and scenic titles indicate, partake of the nature of programme music.	His overtures are unquestionably romantic, and as their histrionic and scenic titles indicate, partake of the nature of programme music.	false	593.57	602.86	21.403679
7594_91192_000012_000000	This brings us to Hector Berlioz, the famous French symphonist, the exponent par excellence of programme music, that is, music intended to illustrate a special story.	This brings us to Hector Berlioz, the famous French symphonist, the exponent par excellence of programme music, that is, music intended to illustrate a special story.	true	604.76	615.58	21.744278
7594_91192_000012_000001	He lived from 1803 to 1869, and because of his audacity in using new and startling tonal effects was called the most flagrant musical heretic of the nineteenth century.	He lived from eighteen o three to eighteen sixty nine, and because of his audacity in using new and startling tonal effects was called the most flagrant musical heretic of the nineteenth century.	true	615.77	627.76	20
7594_91192_000012_000002	He was the first to impress on the world the idea of music as a definite language. His recurrent themes, called "fixed ideas," prefigured Wagner's "leading motives." His skill in combining instruments added new lustre to orchestration.	He was the first to impress on the world the idea of music as a definite language. His recurrent themes, called "fixed ideas," prefigured Wagner's "leading motives." His skill in combining instruments added new lustre to orchestration.	true	628.37	645.16	21.34556
7594_91192_000012_000003	The personal style he created for himself was the result of his studies of older masterpieces, above all those of Gluck which he knew by heart, and of his philosophic researches.	The personal style he created for himself was the result of his studies of older masterpieces, above all those of Gluck which he knew by heart, and of his philosophic researches.	false	645.59	657.13	21.535824
7594_91192_000012_000004	His four famous symphonic works are: "Fantastic Symphony," "Grand Funeral and Triumphal Symphony," "Harold in Italy" and "Romeo and Juliet." In a preface to the first he thus explains his ideas: "The plan of a musical drama without words, requires to be explained beforehand.	His four famous symphonic works are: "Fantastic Symphony," "Grand Funeral and Triumphal Symphony," "Harold in Italy" and "Romeo and Juliet." In a preface to the first he thus explains his ideas: "The plan of a musical drama without words, requires to be explained beforehand.	true	658.25	678.37	21.222878
7594_91192_000012_000005	The programme (which is indispensable to the perfect comprehension of the work) ought therefore to be considered in the light of the spoken text of an opera, serving to lead up to the piece of music, and indicate the character and expression."	The programme (which is indispensable to the perfect comprehension of the work) ought therefore to be considered in the light of the spoken text of an opera, serving to lead up to the piece of music, and indicate the character and expression."	true	678.65	694.15	22.971245
7594_91192_000013_000000	From programme music came the symphonic poem of which Franz Liszt was the creator.	From programme music came the symphonic poem of which Franz Liszt was the creator.	true	696.17	701.08	21
7594_91192_000013_000001	Although he found this culmination of the romantic ideal in the field of instrumental music in his maturer years, he displayed in it the full power of his genius.	Although he found this culmination of the romantic ideal in the field of instrumental music in his maturer years, he displayed in it the full power of his genius.	false	701.48	711.91	19
7594_91192_000013_000002	His great works in this line are a "Faust Symphony," "Les Preludes," "Orpheus," "Prometheus," "Mazeppa" and "Hamlet." Symphonic in form, although less restricted than the symphony, these works are designed to give tone-pictures of the subjects designated, or at least of the moods they awaken.	His great works in this line are a "Faust Symphony," "Les Preludes," "Orpheus," "Prometheus," "Mazeppa" and "Hamlet." Symphonic in form, although less restricted than the symphony, these works are designed to give tone pictures of the subjects designated, or at least of the moods they awaken.	false	712.76	734.35	21.125046
7594_91192_000013_000003	"Mazeppa," for instance, is described as depicting in a wild movement, rising to frenzy, the death ride of the hero, a brief andante proclaims his collapse, the following march, introduced by trumpet fanfares and increasing to the noblest triumph, his elevation and coronation.	"Mazeppa," for instance, is described as depicting in a wild movement, rising to frenzy, the death ride of the hero, a brief andante proclaims his collapse, the following march, introduced by trumpet fanfares and increasing to the noblest triumph, his elevation and coronation.	false	734.99	755.38	20.881807
7594_91192_000014_000000	Camille Saint-Saens, without doubt the most original and intellectual modern French composer, who at sixty-seven years of age is still in the midst of his activity, and who has made his own the spirit of the classic composers, owes to the symphonic poem a great part of his reputation, and has also written symphonies of great value.	Camille Saint Saens, without doubt the most original and intellectual modern French composer, who at sixty seven years of age is still in the midst of his activity, and who has made his own the spirit of the classic composers, owes to the symphonic poem a great part of his reputation, and has also written symphonies of great value.	true	756.56	777.28	21
7594_91192_000014_000001	His orchestration is distinguished by its clarity, power and exquisite coloring.	His orchestration is distinguished by its clarity, power and exquisite coloring.	true	778.1	783.52	24
7594_91192_000014_000002	The orchestral music of Tschaikowsky, who died in 1893, symphonies and symphonic poems, are saturated with the glowing Russian spirit, are intensely dramatic, sometimes rising to tempestuous bursts of passion that are only held in check by the composer's scholarly control of his materials.	The orchestral music of Tschaikowsky, who died in eighteen ninety three, symphonies and symphonic poems, are saturated with the glowing Russian spirit, are intensely dramatic, sometimes rising to tempestuous bursts of passion that are only held in check by the composer's scholarly control of his materials.	false	784.07	804.13	20
7594_91192_000014_000003	A strong national flavor is also felt in the work of Christian Sinding, the Norwegian, whose D minor symphony has been styled "a piece born of the gloomy romanticism of the North." Edward Grieg, known as the incarnation of the strong, vigorous, breezy spirit of the land of the midnight sun, has put some of his most characteristic work into symphonic poems and orchestral suites.	A strong national flavor is also felt in the work of Christian Sinding, the Norwegian, whose D minor symphony has been styled "a piece born of the gloomy romanticism of the North." Edward Grieg, known as the incarnation of the strong, vigorous, breezy spirit of the land of the midnight sun, has put some of his most characteristic work into symphonic poems and orchestral suites.	true	805.13	831.61	21.408253
7594_91192_000014_000004	The first composer to convey a message from the North in tones to the European world was Gade, the Dane, known as the Symphony Master of the North, who was born in 1817 and died in 1890.	The first composer to convey a message from the North in tones to the European world was Gade, the Dane, known as the Symphony Master of the North, who was born in eighteen seventeen and died in eighteen ninety.	true	832.52	845.41	21
7594_91192_000015_000000	It is impossible to mention in a brief essay all the great workers in symphonic forms.	It is impossible to mention in a brief essay all the great workers in symphonic forms.	true	846.95	852.4	21
7594_91192_000015_000001	One Titanic spirit, Johannes Brahms, (1833-1897) who succeeded in striking the dominant note of musical sublimity amid modern unrest, is reserved for our final consideration.	One Titanic spirit, Johannes Brahms, (eighteen thirty three to eighteen ninety seven) who succeeded in striking the dominant note of musical sublimity amid modern unrest, is reserved for our final consideration.	true	852.62	866.8	21.341326
7594_91192_000015_000002	Of him Schumann said, "This John is a prophet who will also write revelations," and he has revealed to those who can read that high art is the abiding-place of reason, that it is moreover compounded of profundity of feeling yoked with profundity of intellectual mastery.	Of him Schumann said, "This john is a prophet who will also write revelations," and he has revealed to those who can read that high art is the abiding place of reason, that it is moreover compounded of profundity of feeling yoked with profundity of intellectual mastery.	false	867.62	887.14	20.39987
7594_91192_000015_000003	Dr. Riemann writes of him, "From Bach he inherited the depth, from Haydn, the humor, from Mozart, the charm, from Beethoven, the strength, from Schubert, the intimateness of his art.	dr Riemann writes of him, "From Bach he inherited the depth, from Haydn, the humor, from Mozart, the charm, from Beethoven, the strength, from Schubert, the intimateness of his art.	true	888.08	902.56	22.210302
7594_91192_000015_000004	Truly a wonderfully gifted nature that was able to absorb such a fulness of great gifts and still not lose the best of gifts--the strong individuality which makes the master."	Truly a wonderfully gifted nature that was able to absorb such a fulness of great gifts and still not lose the best of gifts-the strong individuality which makes the master."	true	902.57	915.25	20.033022
7594_91192_000016_000000	Wonderful is the power of instrumental music, absolute music without words, that may convey impressions, deep and lasting, no words could give.	Wonderful is the power of instrumental music, absolute music without words, that may convey impressions, deep and lasting, no words could give.	true	916.67	927.13	20.959328
7594_91192_000016_000001	All hail to the memory of Johannes Brahms, who has reminded us of its true mission and delivered a message that will ring through the twentieth century.	All hail to the memory of Johannes Brahms, who has reminded us of its true mission and delivered a message that will ring through the twentieth century.	true	927.29	936.84	18.998283
7594_91192_000017_000000	[Transcriber's Note: In the caption for the illustration featuring Ms. Nordica, the spelling of her first name was corrected from "Lilian" to "Lillian."]	[Transcriber's Note: In the caption for the illustration featuring ms Nordica, the spelling of her first name was corrected from "Lilian" to "Lillian."]	false	936.84	944.79	21.57894
7594_91192_000018_000000	End of Project Gutenberg's For Every Music Lover, by Aubertine Woodward Moore	End of Project Gutenberg's For Every Music Lover, by Aubertine Woodward Moore	false	944.79	956.79	19.055632
