3224_168198_000000_000000	CHAPTER V	CHAPTER five	true	24.285	25.65	23.799536
3224_168198_000006_000003	On this fleet, called the pearl-fleet, Pierre Francois resolved to venture, rather than go home empty; they then rid at anchor at the mouth of the River de la Hacha, the man-of-war scarce half a league distant from the small ships, and the wind very calm.	On this fleet, called the pearl fleet, Pierre Francois resolved to venture, rather than go home empty; they then rid at anchor at the mouth of the River de la Hacha, the man of war scarce half a league distant from the small ships, and the wind very calm.	false	340.97	355.9	22
3224_168198_000006_000004	Having spied them in this posture, he presently pulled down his sails, and rowed along the coast feigning to be a Spanish vessel coming from Maracaibo; but no sooner was he come to the pearl-bank, when suddenly he assaulted the vice-admiral of eight guns and sixty men, commanding them to surrender.	Having spied them in this posture, he presently pulled down his sails, and rowed along the coast feigning to be a Spanish vessel coming from Maracaibo; but no sooner was he come to the pearl bank, when suddenly he assaulted the vice admiral of eight guns and sixty men, commanding them to surrender.	true	356.03	372.76	18
3224_168198_000006_000005	The Spaniards made a good defence for some time, but at last were forced to submit.	The Spaniards made a good defence for some time, but at last were forced to submit.	false	372.83	377.98	22.16557
3224_168198_000007_000000	Having thus taken the vice-admiral, he resolved to attempt the man-of-war, with which addition he hoped to master the rest of the fleet: to this end he presently sunk his own boat, putting forth the Spanish colours, and weighed anchor with a little wind which then began to stir, having with threats and promises compelled most of the Spaniards to assist him: but so soon as the man-of-war perceived one of his fleet to sail, he did so too, fearing lest the mariners designed to run away with the riches they had on board.	Having thus taken the vice admiral, he resolved to attempt the man of war, with which addition he hoped to master the rest of the fleet: to this end he presently sunk his own boat, putting forth the Spanish colours, and weighed anchor with a little wind which then began to stir, having with threats and promises compelled most of the Spaniards to assist him: but so soon as the man of war perceived one of his fleet to sail, he did so too, fearing lest the mariners designed to run away with the riches they had on board.	false	378.83	408.49	22.99375
3224_168198_000007_000001	The pirate on this immediately gave over the enterprise, thinking themselves unable to encounter force to force: hereupon they endeavoured to get out of the river and gain the open seas, by making as much sail as they could; which the man-of-war perceiving, he presently gave them chase, but the pirates having laid on too much sail, and a gust of wind suddenly rising, their main-mast was brought by the board, which disabled them from escaping.	The pirate on this immediately gave over the enterprise, thinking themselves unable to encounter force to force: hereupon they endeavoured to get out of the river and gain the open seas, by making as much sail as they could; which the man of war perceiving, he presently gave them chase, but the pirates having laid on too much sail, and a gust of wind suddenly rising, their main mast was brought by the board, which disabled them from escaping.	true	408.65	433.06	21
3224_168198_000008_000000	This unhappy event much encouraged those in the man-of-war, they gaining upon the pirates every moment, and at last overtook them; but finding they had twenty-two sound men, the rest being either killed or wounded, resolved to defend themselves as long as possible; this they performed very courageously for some time, till they were forced by the man-of-war, on condition that they should not be used as slaves to carry stones, or be employed in other labours for three or four years, as they served their negroes, but that they should be set safe ashore on free land.	This unhappy event much encouraged those in the man of war, they gaining upon the pirates every moment, and at last overtook them; but finding they had twenty two sound men, the rest being either killed or wounded, resolved to defend themselves as long as possible; this they performed very courageously for some time, till they were forced by the man of war, on condition that they should not be used as slaves to carry stones, or be employed in other labours for three or four years, as they served their negroes, but that they should be set safe ashore on free land.	false	433.82	464.32	20
3224_168198_000008_000001	On these articles they yielded with all they had taken, which was worth, in pearls alone, above 100,000 pieces of eight, besides the vessel, provisions, goods, &c.	On these articles they yielded with all they had taken, which was worth, in pearls alone, above one hundred thousand pieces of eight, besides the vessel, provisions, goods, and c.	false	464.51	475.47	23.689535
3224_168198_000008_000002	All of which would have made this a greater prize than he could desire, which he had certainly carried off, if his main-mast had not been lost, as we said before.	All of which would have made this a greater prize than he could desire, which he had certainly carried off, if his main mast had not been lost, as we said before.	true	475.47	483.88	22.945698
3224_168198_000009_000000	Another bold attempt like this, no less remarkable, I shall also give you.	Another bold attempt like this, no less remarkable, I shall also give you.	true	484.55	488.47	22
3224_168198_000009_000001	A certain pirate of Portugal, thence called Bartholomew Portugues, was cruising in a boat of thirty men and four small guns from Jamaica, upon the Cape de Corriente in Cuba, where he met a great ship from Maracaibo and Carthagena, bound for the Havannah, well provided with twenty great guns and seventy men, passengers and mariners; this ship he presently assaulted, which they on board as resolutely defended.	A certain pirate of Portugal, thence called Bartholomew Portugues, was cruising in a boat of thirty men and four small guns from Jamaica, upon the Cape de Corriente in Cuba, where he met a great ship from Maracaibo and Carthagena, bound for the Havannah, well provided with twenty great guns and seventy men, passengers and mariners; this ship he presently assaulted, which they on board as resolutely defended.	true	488.81	514.06	24.426521
3224_168198_000009_000002	The pirate escaping the first encounter, resolved to attack her more vigorously than before, seeing he had yet suffered no great damage: this he performed with so much resolution, that at last, after a long and dangerous fight, he became master of it.	The pirate escaping the first encounter, resolved to attack her more vigorously than before, seeing he had yet suffered no great damage: this he performed with so much resolution, that at last, after a long and dangerous fight, he became master of it.	false	514.19	529	21
3224_168198_000009_000003	The Portuguese lost only ten men, and had four wounded; so that he had still remaining twenty fighting men, whereas the Spaniards had double the number.	The Portuguese lost only ten men, and had four wounded; so that he had still remaining twenty fighting men, whereas the Spaniards had double the number.	true	529.13	537.52	20
3224_168198_000009_000004	Having possessed themselves of the ship, the wind being contrary to return to Jamaica, they resolved to steer to Cape St. Anthony (which lies west of Cuba), there to repair and take in fresh water, of which they were then in great want.	Having possessed themselves of the ship, the wind being contrary to return to Jamaica, they resolved to steer to Cape saint Anthony (which lies west of Cuba), there to repair and take in fresh water, of which they were then in great want.	true	538.37	550.57	23
3224_168198_000010_000000	Being very near the cape abovesaid, they unexpectedly met with three great ships coming from New Spain, and bound for the Havannah; by these not being able to escape, they were easily retaken, both ship and pirates, and all made prisoners, and stripped of all the riches they had taken but just before.	Being very near the cape abovesaid, they unexpectedly met with three great ships coming from New Spain, and bound for the Havannah; by these not being able to escape, they were easily retaken, both ship and pirates, and all made prisoners, and stripped of all the riches they had taken but just before.	false	551	567.58	22
3224_168198_000010_000001	The cargo consisted in 120,000 weight of cocoa-nuts, the chief ingredient of chocolate, and 70,000 pieces of eight.	The cargo consisted in one hundred twenty thousand weight of cocoa nuts, the chief ingredient of chocolate, and seventy thousand pieces of eight.	false	567.92	575.89	20.34495
3224_168198_000010_000002	Two days after this misfortune, there arose a great storm, which separated the ships from one another.	Two days after this misfortune, there arose a great storm, which separated the ships from one another.	true	576.14	581.65	21
3224_168198_000010_000003	The great vessel, where the pirates were, arrived at Campechy, where many considerable merchants came and saluted the captain; these presently knew the Portuguese pirate, being infamous for the many insolencies, robberies and murders he had committed on their coasts, which they kept fresh in their memory.	The great vessel, where the pirates were, arrived at Campechy, where many considerable merchants came and saluted the captain; these presently knew the Portuguese pirate, being infamous for the many insolencies, robberies and murders he had committed on their coasts, which they kept fresh in their memory.	false	581.84	597.79	22
3224_168198_000011_000000	The next day after their arrival, the magistrates of the city sent to demand the prisoners from on board the ship, in order to punish them according to their deserts; but fearing the captain of the pirates should make his escape (as he had formerly done, being their prisoner once before) they judged it safer to leave him guarded on ship-board for the present, while they erected a gibbet to hang him on the next day, without any other process than to lead him from the ship to his punishment; the rumour of which was presently brought to Bartholomew Portugues, whereby he sought all possible means to escape that night: with this design he took two earthen jars, wherein the Spaniards carry wine from Spain to the West Indies, and stopped them very well, intending to use them for swimming, as those unskilled in that art do corks or empty bladders; having made this necessary preparation, he waited when all should be asleep; but not being able to escape his sentinel's vigilance, he stabbed him with a knife he had secretly purchased, and then threw himself into the sea with the earthen jars before-mentioned, by the help of which, though he never learned to swim, he reached the shore, and immediately took to the woods, where he hid himself for three days, not daring to appear, eating no other food than wild herbs.	The next day after their arrival, the magistrates of the city sent to demand the prisoners from on board the ship, in order to punish them according to their deserts; but fearing the captain of the pirates should make his escape (as he had formerly done, being their prisoner once before) they judged it safer to leave him guarded on ship board for the present, while they erected a gibbet to hang him on the next day, without any other process than to lead him from the ship to his punishment; the rumour of which was presently brought to Bartholomew Portugues, whereby he sought all possible means to escape that night: with this design he took two earthen jars, wherein the Spaniards carry wine from Spain to the West Indies, and stopped them very well, intending to use them for swimming, as those unskilled in that art do corks or empty bladders; having made this necessary preparation, he waited when all should be asleep; but not being able to escape his sentinel's vigilance, he stabbed him with a knife he had secretly purchased, and then threw himself into the sea with the earthen jars before mentioned, by the help of which, though he never learned to swim, he reached the shore, and immediately took to the woods, where he hid himself for three days, not daring to appear, eating no other food than wild herbs.	false	598.19	669.18	22
3224_168198_000012_000000	[Illustration: "'PORTUGUES MADE THE BEST OF HIS WAY TO DEL GOLPHO TRISTE'"--_Page 46_]	[Illustration: "'p o r t u g u e s MADE THE BEST OF HIS WAY TO DEL g o l p h o TRISTE'"--underscore Page forty six underscore]	false	669.18	669.99	5
3224_168198_000013_000000	Those of the city next day made diligent search for him in the woods, where they concluded him to be.	Those of the city next day made diligent search for him in the woods, where they concluded him to be.	true	669.99	674.77	21
3224_168198_000013_000001	This strict inquiry Portugues saw from the hollow of a tree, wherein he lay hid; and upon their return he made the best of his way to del Golpho Triste, forty leagues from Campechy, where he arrived within a fortnight after his escape: during which time, as also afterwards, he endured extreme hunger and thirst, having no other provision with him than a small calabaca with a little water: besides the fears of falling again into the hands of the Spaniards.	This strict inquiry Portugues saw from the hollow of a tree, wherein he lay hid; and upon their return he made the best of his way to del Golpho Triste, forty leagues from Campechy, where he arrived within a fortnight after his escape: during which time, as also afterwards, he endured extreme hunger and thirst, having no other provision with him than a small calabaca with a little water: besides the fears of falling again into the hands of the Spaniards.	false	675.08	700.75	23.837637
3224_168198_000013_000002	He eat nothing but a few shell-fish, which he found among the rocks near the seashore; and being obliged to pass some rivers, not knowing well how to swim, he found at last an old board which the waves had driven ashore, wherein were a few great nails; these he took, and with no small labour whetted on a stone, till he had made them like knives, though not so well; with these, and nothing else, he cut down some branches of trees, which with twigs and osiers he joined together, and made as well as he could a boat to waft him over the rivers: thus arriving at the Cape of Golpho Triste, as was said, he found a vessel of pirates, comrades of his own, lately come from Jamaica.	He eat nothing but a few shell fish, which he found among the rocks near the seashore; and being obliged to pass some rivers, not knowing well how to swim, he found at last an old board which the waves had driven ashore, wherein were a few great nails; these he took, and with no small labour whetted on a stone, till he had made them like knives, though not so well; with these, and nothing else, he cut down some branches of trees, which with twigs and osiers he joined together, and made as well as he could a boat to waft him over the rivers: thus arriving at the Cape of Golpho Triste, as was said, he found a vessel of pirates, comrades of his own, lately come from Jamaica.	false	700.91	739.81	23
3224_168198_000014_000000	To these he related all his adversities and misfortunes, and withal desired they would fit him with a boat and twenty men, with which company alone he promised to return to Campechy, and assault the ship that was in the river, by which he had been taken fourteen days before. They presently granted his request, and equipped him a boat accordingly. With this small company he set out to execute his design, which he bravely performed eight days after he left Golpho Triste; for being arrived at Campechy, with an undaunted courage, and without any noise, he assaulted the said ship: those on board thought it was a boat from land that came to bring contraband goods, and so were in no posture of defence; which opportunity the pirates laying hold of, assaulted them so resolutely, that in a little time they compelled the Spaniards to surrender.	To these he related all his adversities and misfortunes, and withal desired they would fit him with a boat and twenty men, with which company alone he promised to return to Campechy, and assault the ship that was in the river, by which he had been taken fourteen days before. They presently granted his request, and equipped him a boat accordingly. With this small company he set out to execute his design, which he bravely performed eight days after he left Golpho Triste; for being arrived at Campechy, with an undaunted courage, and without any noise, he assaulted the said ship: those on board thought it was a boat from land that came to bring contraband goods, and so were in no posture of defence; which opportunity the pirates laying hold of, assaulted them so resolutely, that in a little time they compelled the Spaniards to surrender.	false	740.72	787.2	22
3224_168198_000015_000000	Being masters of the ship, they immediately weighed anchor and set sail from the port, lest they should be pursued by other vessels.	Being masters of the ship, they immediately weighed anchor and set sail from the port, lest they should be pursued by other vessels.	true	787.2	794.02	22.446295
3224_168198_000015_000001	This they did with the utmost joy, seeing themselves possessors of so brave a ship; especially Portugues, who by a second turn of fortune was become rich and powerful again, who was so lately in that same vessel a prisoner, condemned to be hanged.	This they did with the utmost joy, seeing themselves possessors of so brave a ship; especially Portugues, who by a second turn of fortune was become rich and powerful again, who was so lately in that same vessel a prisoner, condemned to be hanged.	false	794.06	808.57	20
3224_168198_000015_000002	With this purchase he designed greater things, which he might have done, since there remained in the vessel so great a quantity of rich merchandise, though the plate had been sent to the city: but while he was making his voyage to Jamaica, near the isle of Pinos, on the south of Cuba, a terrible storm arose, which drove against the Jardines rocks, where she was lost; but Portugues, with his companions, escaped in a canoe, in which he arrived at Jamaica, where it was not long ere he went on new adventures, but was never fortunate after.	With this purchase he designed greater things, which he might have done, since there remained in the vessel so great a quantity of rich merchandise, though the plate had been sent to the city: but while he was making his voyage to Jamaica, near the isle of Pinos, on the south of Cuba, a terrible storm arose, which drove against the Jardines rocks, where she was lost; but Portugues, with his companions, escaped in a canoe, in which he arrived at Jamaica, where it was not long ere he went on new adventures, but was never fortunate after.	false	808.67	838.89	22
3224_168198_000016_000000	Nor less considerable are the actions of another pirate who now lives at Jamaica, who on several occasions has performed very surprising things. He was born at Groninghen in the United Provinces.	Nor less considerable are the actions of another pirate who now lives at Jamaica, who on several occasions has performed very surprising things. He was born at Groninghen in the United Provinces.	false	838.89	854.73	19.139688
3224_168198_000016_000001	His own name not being known, his companions gave him that of Roche Brasiliano, by reason of his long residence in Brasil: hence he was forced to fly, when the Portuguese retook those countries from the Dutch, several nations then inhabiting at Brasil (as English, French, Dutch, and others), being constrained to seek new fortunes.	His own name not being known, his companions gave him that of Roche Brasiliano, by reason of his long residence in Brasil: hence he was forced to fly, when the Portuguese retook those countries from the Dutch, several nations then inhabiting at Brasil (as English, French, Dutch, and others), being constrained to seek new fortunes.	false	854.73	864.78	20.412136
