6494_60800_000000_000000	When it was the Four Hundred and Ninety-seventh Night,	When it was the Four Hundred and Ninety seventh Night,	true	30.66	33.315	19
6494_60800_000003_000001	So he saluted him and he returned his salutation, and Bulukiya said to him, 'Who art thou and what are these two built tombs between which thou sittest, and wherefore this wailing?' He looked at him and wept with sore weeping, till he drenched his clothes with his tears; then said, 'Know thou, O my brother, mine is a marvellous story and a wondrous; but I would have thee sit by me and first tell me thy name and thine adventures and who thou art and what brought thee hither; after which I will, in turn, relate to thee my history.' So Bulukiya sat down by him and related to him all that had befallen him from his father's death,[FN#535] adding, 'Such is my history, the whole of it, and Allah alone knoweth what will happen to me after this.' When the youth heard his story, he sighed and said, 'O thou unhappy!	So he saluted him and he returned his salutation, and Bulukiya said to him, 'Who art thou and what are these two built tombs between which thou sittest, and wherefore this wailing?' He looked at him and wept with sore weeping, till he drenched his clothes with his tears; then said, 'Know thou, O my brother, mine is a marvellous story and a wondrous; but I would have thee sit by me and first tell me thy name and thine adventures and who thou art and what brought thee hither; after which I will, in turn, relate to thee my history.' So Bulukiya sat down by him and related to him all that had befallen him from his father's death,[f n # five hundred thirty five] adding, 'Such is my history, the whole of it, and Allah alone knoweth what will happen to me after this.' When the youth heard his story, he sighed and said, 'O thou unhappy!	false	403.97	466.84	20.338215
6494_60800_000003_000002	How few things thou hast seen in thy life compared with mine.	How few things thou hast seen in thy life compared with mine.	true	467.03	470.92	20
6494_60800_000003_000003	Know, O Bulukiya, that unlike thyself I have looked upon our lord Solomon, in his life, and have seen things past count or reckoning.	Know, O Bulukiya, that unlike thyself I have looked upon our lord Solomon, in his life, and have seen things past count or reckoning.	true	471.38	480.79	24.198261
6494_60800_000003_000004	Indeed, my story is strange and my case out of range, and I would have thee abide with me, till I tell thee my history and acquaint thee how I come to be sitting here.'" Hearing this much Hasib again interrupted the Queen of the Serpents and said to her, "Allah upon thee, O Queen, release me and command one of thy servants carry me forth to the surface of the earth, and I will swear an oath to thee that I will never enter the Hammam-bath as long as I live." But she said, "This is a thing which may not be nor will I believe thee upon thine oath." When he heard this, he wept and all the serpents wept on his account and took to interceding for him with their Queen, saying, "We beseech thee, bid one of us carry him forth to the surface of the earth, and he will swear thee an oath never to enter the bath his life long." Now when Yamlaykha (for such was the Queen's name) heard their appeal, she turned to Hasib and made him swear to her an oath; after which she bade a serpent carry him forth to the surface of the earth.	Indeed, my story is strange and my case out of range, and I would have thee abide with me, till I tell thee my history and acquaint thee how I come to be sitting here.'" Hearing this much Hasib again interrupted the Queen of the Serpents and said to her, "Allah upon thee, O Queen, release me and command one of thy servants carry me forth to the surface of the earth, and I will swear an oath to thee that I will never enter the Hammam bath as long as I live." But she said, "This is a thing which may not be nor will I believe thee upon thine oath." When he heard this, he wept and all the serpents wept on his account and took to interceding for him with their Queen, saying, "We beseech thee, bid one of us carry him forth to the surface of the earth, and he will swear thee an oath never to enter the bath his life long." Now when Yamlaykha (for such was the Queen's name) heard their appeal, she turned to Hasib and made him swear to her an oath; after which she bade a serpent carry him forth to the surface of the earth.	false	481.43	553.72	21.43083
6494_60800_000003_000005	The serpent made ready, but as she was about to go away with him, he turned to Queen Yamlaykha and said, "I would fain have thee tell me the history of the youth whom Bulukiya saw sitting between two tombs." So she said: "Know, O Hasib, that when Bulukiya sat down by the youth and told him his tale, from first to last, in order that the other might also recount his adventures and explain the cause of his sitting between the two tombs."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	The serpent made ready, but as she was about to go away with him, he turned to Queen Yamlaykha and said, "I would fain have thee tell me the history of the youth whom Bulukiya saw sitting between two tombs." So she said: "Know, O Hasib, that when Bulukiya sat down by the youth and told him his tale, from first to last, in order that the other might also recount his adventures and explain the cause of his sitting between the two tombs."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	554.33	590.65	20.51193
6494_60800_000004_000000	When it was the Four Hundred and Ninety-ninth Night,	When it was the Four Hundred and Ninety ninth Night,	true	592.55	595.035	19.341072
6494_60800_000005_000000	She said, It hath reached me, O auspicious King, that the Queen continued: "When Bulukiya ended his recount, the youth said, 'How few things of marvel hast thou seen in thy life, O unhappy!	She said, It hath reached me, O auspicious King, that the Queen continued: "When Bulukiya ended his recount, the youth said, 'How few things of marvel hast thou seen in thy life, O unhappy!	true	595.035	609.94	21.878834
6494_60800_000005_000001	Now I have looked upon our lord Solomon while he was yet living and I have witnessed wonders beyond compt and conception.' And he began to relate	Now I have looked upon our lord Solomon while he was yet living and I have witnessed wonders beyond compt and conception.' And he began to relate	true	610.37	620.5	20.959824
6494_60800_000006_000000	The Story of Janshah.[FN#536]	The Story of Janshah.[f n # five hundred thirty six]	false	620.54	624.72	17.535769
6494_60800_000007_000000	'Know, O my brother, that my sire was a King called Teghmus, who reigned over the land of Kabul and the Banu Shahlan, ten thousand warlike chiefs, each ruling over an hundred walled cities and a hundred citadels; and he was suzerain also over seven vassal princes, and tribute was brought to him from the broad lands between East and West.	'Know, O my brother, that my sire was a King called Teghmus, who reigned over the land of Kabul and the Banu Shahlan, ten thousand warlike chiefs, each ruling over an hundred walled cities and a hundred citadels; and he was suzerain also over seven vassal princes, and tribute was brought to him from the broad lands between East and West.	false	624.72	648.82	20.50809
6494_60800_000007_000001	He was just and equitable in his rule and Allah Almighty had given him all this and had bestowed on him such mighty empire, yet had He not vouchsafed him a son (though this was his dearest wish) to inherit the kingdom after his decease.	He was just and equitable in his rule and Allah Almighty had given him all this and had bestowed on him such mighty empire, yet had He not vouchsafed him a son (though this was his dearest wish) to inherit the kingdom after his decease.	false	650.21	666.55	22.673496
6494_60800_000007_000002	So one day it befell that he summoned the Olema and astrologers, the mathematicians and almanac-makers, and said, 'Draw me my horoscope and look if Allah will grant me a son to succeed me.' Accordingly, they consulted their books and calculated his dominant star and the aspects thereof; after which they said to him, 'Know, O King, that thou shalt be blessed with a son, but by none other than the daughter of the King of Khorasan.' Hearing this Teghmus joyed with exceeding joy and, bestowing on the astrologers and wizards treasure beyond numbering or reckoning, dismissed them.	So one day it befell that he summoned the Olema and astrologers, the mathematicians and almanac makers, and said, 'Draw me my horoscope and look if Allah will grant me a son to succeed me.' Accordingly, they consulted their books and calculated his dominant star and the aspects thereof; after which they said to him, 'Know, O King, that thou shalt be blessed with a son, but by none other than the daughter of the King of Khorasan.' Hearing this Teghmus joyed with exceeding joy and, bestowing on the astrologers and wizards treasure beyond numbering or reckoning, dismissed them.	false	667.4	708.97	20.13086
6494_60800_000007_000003	His chief Wazir was a renowned warrior, by name 'Ayn Zar, who was equal to a thousand cavaliers in battle; so him he summoned and, repeating to him what the astrologers had predicted, he said, 'O Wazir, it is my will that thou equip thee for a march to Khorasan and demand for me the hand of its King Bahrwan's daughter.' Receiving these orders the Wazir at once proceeded to get ready for the journey and encamped without the town with his troops and braves and retinue, whilst King Teghmus made ready as presents for the King of Khorasan fifteen hundred loads of silks and precious stones, pearls and rubies and other gems, besides gold and silver; and he also prepared a prodigious quantity of all that goeth to the equipment of a bride; then, loading them upon camels and mules, delivered them to Ayn Zar, with a letter to the following purport.	His chief Wazir was a renowned warrior, by name 'Ayn z a r, who was equal to a thousand cavaliers in battle; so him he summoned and, repeating to him what the astrologers had predicted, he said, 'O Wazir, it is my will that thou equip thee for a march to Khorasan and demand for me the hand of its King Bahrwan's daughter.' Receiving these orders the Wazir at once proceeded to get ready for the journey and encamped without the town with his troops and braves and retinue, whilst King Teghmus made ready as presents for the King of Khorasan fifteen hundred loads of silks and precious stones, pearls and rubies and other gems, besides gold and silver; and he also prepared a prodigious quantity of all that goeth to the equipment of a bride; then, loading them upon camels and mules, delivered them to Ayn z a r, with a letter to the following purport.	false	710.06	769.51	20.666443
6494_60800_000007_000004	'After invoking the blessing of Heaven, King Teghmus to King Bahrwan, greeting.	'After invoking the blessing of Heaven, King Teghmus to King Bahrwan, greeting.	false	770.36	776.59	21.093258
6494_60800_000007_000005	Know that we have taken counsel with the astrologers and sages and mathematicians, and they tell us that we shall have boon of a boy child, and that by none other than thy daughter.	Know that we have taken counsel with the astrologers and sages and mathematicians, and they tell us that we shall have boon of a boy child, and that by none other than thy daughter.	true	776.75	788.59	21.062752
6494_60800_000007_000006	Wherefore I have despatched unto thee my Wazir Ayn Zar, with great store of bridal gear, and I have appointed him to stand in my stead and to enter into the marriage-contract in my name.	Wherefore I have despatched unto thee my Wazir Ayn z a r, with great store of bridal gear, and I have appointed him to stand in my stead and to enter into the marriage contract in my name.	false	789.29	801.94	20.6794
6494_60800_000007_000007	Furthermore I desire that of thy favour thou wilt grant him his request without stay or delay; for it is my own, and all graciousness thou showest him, I take for myself; but beware of crossing me in this, for know, O King Bahrwan, that Allah hath bestowed upon me the Kingdom of Kabul, and hath given me dominion over the Banu Shahlan and vouchsafed me a mighty empire; and if I marry thy daughter, we will be, I and thou, as one thing in kingship; and I will send thee every year as much treasure as will suffice thee.	Furthermore I desire that of thy favour thou wilt grant him his request without stay or delay; for it is my own, and all graciousness thou showest him, I take for myself; but beware of crossing me in this, for know, O King Bahrwan, that Allah hath bestowed upon me the Kingdom of Kabul, and hath given me dominion over the Banu Shahlan and vouchsafed me a mighty empire; and if I marry thy daughter, we will be, I and thou, as one thing in kingship; and I will send thee every year as much treasure as will suffice thee.	false	802.7	841.03	20.740929
6494_60800_000007_000008	And this is my desire of thee.' Then King Teghmus sealed the letter with his own ring and gave it to the Wazir, who departed with a great company and journeyed till he drew near the capital of Khorasan.	And this is my desire of thee.' Then King Teghmus sealed the letter with his own ring and gave it to the Wazir, who departed with a great company and journeyed till he drew near the capital of Khorasan.	false	841.49	855.22	19.70521
6494_60800_000007_000009	When King Bahrwan heard of his approach, he despatched his principal Emirs to meet him,[FN#537] with a convoy of food and drink and other requisites, including forage for the steeds.	When King Bahrwan heard of his approach, he despatched his principal Emirs to meet him,[f n # five hundred thirty seven] with a convoy of food and drink and other requisites, including forage for the steeds.	false	856.04	866.08	19.440163
6494_60800_000007_000010	So they fared forth with the train till they met the Wazir; then, alighting without the city, they exchanged salutations and abode there, eating and drinking, ten days; at the end of which time they mounted and rode on into the town, where they were met by King Bahrwan, who came out to greet the Wazir of King Teghmus and alighting, embraced him and carried him to his citadel.	So they fared forth with the train till they met the Wazir; then, alighting without the city, they exchanged salutations and abode there, eating and drinking, ten days; at the end of which time they mounted and rode on into the town, where they were met by King Bahrwan, who came out to greet the Wazir of King Teghmus and alighting, embraced him and carried him to his citadel.	false	866.75	889.42	21.323517
6494_60800_000007_000011	Then Ayn Zar brought out the presents and laid them before King Bahrwan, together with the letter of King Teghmus, which when the King read and understood, he joyed with joy exceeding and welcomed the Wazir, saying, 'Rejoice in winning thy wish; and know that if King Teghmus sought of me my life, verily I would give it to him.' Then he went in forthright to his daughter and her mother and his kinsfolk, and acquainting them with the King of Kabul's demand sought counsel of them, and they said, 'Do what seemeth good to thee.'--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	Then Ayn z a r brought out the presents and laid them before King Bahrwan, together with the letter of King Teghmus, which when the King read and understood, he joyed with joy exceeding and welcomed the Wazir, saying, 'Rejoice in winning thy wish; and know that if King Teghmus sought of me my life, verily I would give it to him.' Then he went in forthright to his daughter and her mother and his kinsfolk, and acquainting them with the King of Kabul's demand sought counsel of them, and they said, 'Do what seemeth good to thee.'--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	890.51	934.09	21.21157
6494_60800_000008_000000	When it was the Five Hundredth Night,	When it was the Five Hundredth Night,	true	935.69	937.935	21.746397
6494_60800_000009_000000	She said, It hath reached me, O auspicious King, that "King Bahrwan consulted his daughter and her mother and his kinsfolk and they said, 'Do what seemeth good to thee.' So he returned straightway to the Minister Ayn Zar and notified to him that his desire had been fulfilled; and the Wazir, abode with him two months, at the end of which time he said to him, 'We beseech thee to bestow upon us that wherefore we came, so we may depart to our own land.' 'I hear and obey,' answered the King.	She said, It hath reached me, O auspicious King, that "King Bahrwan consulted his daughter and her mother and his kinsfolk and they said, 'Do what seemeth good to thee.' So he returned straightway to the Minister Ayn z a r and notified to him that his desire had been fulfilled; and the Wazir, abode with him two months, at the end of which time he said to him, 'We beseech thee to bestow upon us that wherefore we came, so we may depart to our own land.' 'I hear and obey,' answered the King.	false	937.935	973.48	21.149343
6494_60800_000009_000001	Then he prepared all the gear wanted for the wedding; and when this was done he assembled his Wazirs and all his Emirs and the Grandees of his realm and the monks and priests who tied the knot of marriage between his daughter and King Teghmus by proxy.	Then he prepared all the gear wanted for the wedding; and when this was done he assembled his Wazirs and all his Emirs and the Grandees of his realm and the monks and priests who tied the knot of marriage between his daughter and King Teghmus by proxy.	false	973.91	990.34	20.15179
6494_60800_000009_000002	And King Bahrwan bade decorate the city after the goodliest fashion and spread the streets with carpets.	And King Bahrwan bade decorate the city after the goodliest fashion and spread the streets with carpets.	false	991.07	997.93	21.085476
6494_60800_000009_000003	Then he equipped his daughter for the journey and gave her all manner of presents and rarities and precious metals, such as none may describe; and Ayn Zar departed with the Princess to his own country.	Then he equipped his daughter for the journey and gave her all manner of presents and rarities and precious metals, such as none may describe; and Ayn z a r departed with the Princess to his own country.	false	999.05	1011.19	20.669298
6494_60800_000009_000004	When the news of their approach reached King Teghmus, he bade celebrate the wedding festivities and adorn the city; after which he went in unto the Princess and abated her maidenhead; nor was it long before she conceived by him and, accomplishing her months, bare a man-child like the moon on the night of its full.	When the news of their approach reached King Teghmus, he bade celebrate the wedding festivities and adorn the city; after which he went in unto the Princess and abated her maidenhead; nor was it long before she conceived by him and, accomplishing her months, bare a man child like the moon on the night of its full.	false	1011.95	1032.16	21.880836
6494_60800_000009_000005	When King Teghmus knew that his wife had given birth to a goodly son, he rejoiced with exceeding joy and, summoning the sages and astrologers and mathematicians, said to them, 'I would that ye draw the horoscope of the newborn child with his ascendant and its aspects and acquaint me what shall befall him in his lifetime.' So they made their calculations and found them favourable; but, that he would, in his fifteenth year, be exposed to perils and hardships, and that if he survived, he would be happy and fortunate and become a greater king than his father and a more powerful.	When King Teghmus knew that his wife had given birth to a goodly son, he rejoiced with exceeding joy and, summoning the sages and astrologers and mathematicians, said to them, 'I would that ye draw the horoscope of the newborn child with his ascendant and its aspects and acquaint me what shall befall him in his lifetime.' So they made their calculations and found them favourable; but, that he would, in his fifteenth year, be exposed to perils and hardships, and that if he survived, he would be happy and fortunate and become a greater king than his father and a more powerful.	false	1033.28	1072.6	21.0386
6494_60800_000009_000006	The King rejoiced greatly in this prediction and named the boy Janshah. Then he delivered him to the nurses, wet and dry, who reared him excellently well till he reached his fifth year, when his father taught him to read the Evangel and instructed him in the art of arms and lunge of lance and sway of sword, so that in less than seven years he was wont to ride a-hunting, and a-chasing; he became a doughty champion, perfect in all the science of the cavalarice and his father was delighted to hear of his knightly prowess.	The King rejoiced greatly in this prediction and named the boy Janshah. Then he delivered him to the nurses, wet and dry, who reared him excellently well till he reached his fifth year, when his father taught him to read the Evangel and instructed him in the art of arms and lunge of lance and sway of sword, so that in less than seven years he was wont to ride a hunting, and a chasing; he became a doughty champion, perfect in all the science of the cavalarice and his father was delighted to hear of his knightly prowess.	false	1073.12	1107.13	20.762926
6494_60800_000009_000007	It chanced one day that King Teghmus and his son accompanied by the troops rode out for sport into the woods and wilds and hunted till mid afternoon of the third day, when the Prince started a gazelle of a rare colour, which fled before him. So he gave chase to it, followed by seven of King Teghmus's white slaves all mounted on swift steeds, and rode at speed after the gazelle, which fled before them till she brought them to the sea shore.	It chanced one day that King Teghmus and his son accompanied by the troops rode out for sport into the woods and wilds and hunted till mid afternoon of the third day, when the Prince started a gazelle of a rare colour, which fled before him. So he gave chase to it, followed by seven of King Teghmus's white slaves all mounted on swift steeds, and rode at speed after the gazelle, which fled before them till she brought them to the sea shore.	false	1107.89	1135.9	22.041727
6494_60800_000009_000008	They all ran at her to take her as their quarry, but she escaped from them and, throwing herself into the waves,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	They all ran at her to take her as their quarry, but she escaped from them and, throwing herself into the waves,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	true	1136.42	1149.18	21.014555
6494_60800_000010_000000	When it was the Five Hundred and First Night,	When it was the Five Hundred and First Night,	false	1149.18	1149.3	-20
6494_60800_000011_000000	She said, It hath reached me, O auspicious King, that "when Janshah and the Mamelukes ran at the gazelle, to take her as their quarry, she escaped from them and, throwing herself into the waves, swam out to a fishing bark, that was moored near the shore, and sprang on board.	She said, It hath reached me, O auspicious King, that "when Janshah and the Mamelukes ran at the gazelle, to take her as their quarry, she escaped from them and, throwing herself into the waves, swam out to a fishing bark, that was moored near the shore, and sprang on board.	false	1149.3	1150.08	-20
6494_60800_000011_000001	Janshah and his followers dismounted and, boarding the boat, made prize of the gazelle and were minded to return to shore with her, when the Prince espied a great island in the offing and said to his merry men, 'I have a longing to visit yonder island.' They answered, 'We hear and obey,' and sailed on till they came to the island, where they landed and amused themselves with exploring the place.	Janshah and his followers dismounted and, boarding the boat, made prize of the gazelle and were minded to return to shore with her, when the Prince espied a great island in the offing and said to his merry men, 'I have a longing to visit yonder island.' They answered, 'We hear and obey,' and sailed on till they came to the island, where they landed and amused themselves with exploring the place.	false	1150.08	1151.16	100
6494_60800_000011_000002	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.	false	1151.16	1151.58	8
6494_60800_000011_000003	Moreover a strong wind arose and crave the boat into mid-ocean, so that when they awoke in the morning, they found themselves lost at sea.	Moreover a strong wind arose and crave the boat into mid ocean, so that when they awoke in the morning, they found themselves lost at sea.	false	1151.58	1151.58	
6494_60800_000011_000004	Such was their case; but as regards King Teghmus, when he missed his son, he commanded his troops to make search for him in separate bodies; so they dispersed on all sides and a company of them, coming to the sea shore, found there the Prince's white slave whom he had left in charge of the horses.	Such was their case; but as regards King Teghmus, when he missed his son, he commanded his troops to make search for him in separate bodies; so they dispersed on all sides and a company of them, coming to the sea shore, found there the Prince's white slave whom he had left in charge of the horses.	false	1151.58	1151.58	
6494_60800_000011_000005	They asked him what was become of his master and the other six, and he told them what had passed whereupon they took him with them and returned to the King and acquainted him with what they had learnt.	They asked him what was become of his master and the other six, and he told them what had passed whereupon they took him with them and returned to the King and acquainted him with what they had learnt.	false	1151.58	1151.58	
6494_60800_000011_000006	When Teghmus heard their report, he wept with sore weeping and cast the crown from his head, biting his hands for vexation.	When Teghmus heard their report, he wept with sore weeping and cast the crown from his head, biting his hands for vexation.	false	1151.58	1151.58	
6494_60800_000011_000007	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.	false	1151.58	1151.58	
6494_60800_000011_000008	Moreover he got together an hundred ships and filling them with troops, sent them to sail about in quest of Janshah, while he himself withdrew with his troops to his capital, where he abode in sore concern.	Moreover he got together an hundred ships and filling them with troops, sent them to sail about in quest of Janshah, while he himself withdrew with his troops to his capital, where he abode in sore concern.	false	1151.58	1151.58	
6494_60800_000011_000009	As for Janshah's mother, when she heard of his loss she buffeted her face and began the mourning ceremonies for her son making sure that he was dead.	As for Janshah's mother, when she heard of his loss she buffeted her face and began the mourning ceremonies for her son making sure that he was dead.	false	1151.58	1151.58	
6494_60800_000011_000010	Meanwhile, Janshah and his men ceased not driving before the wind and those in search of them cruised about for ten days till, finding no trace they returned and reported failure to the King.	Meanwhile, Janshah and his men ceased not driving before the wind and those in search of them cruised about for ten days till, finding no trace they returned and reported failure to the King.	false	1151.58	1151.58	
6494_60800_000011_000011	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.	false	1151.58	1152.06	11
6494_60800_000011_000012	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.	false	1152.06	1152.06	
