5810_8689_000000_000000	Shepherd Paul	Shepherd Paul
5810_8689_000016_000001	The fourth day Paul said to them: 'My friends, there must be some reason why your cooking has always been so bad, now you shall go and hunt and I will stay behind.' So they went off, amusing themselves by thinking what was in store for Paul.	The fourth day Paul said to them: 'My friends, there must be some reason why your cooking has always been so bad, now you shall go and hunt and I will stay behind.' So they went off, amusing themselves by thinking what was in store for Paul.
5810_8689_000017_000000	He set to work at once, and had just got all his vegetables simmering in the pot when the dwarf appeared as before, and asked to have some of the stew.	He set to work at once, and had just got all his vegetables simmering in the pot when the dwarf appeared as before, and asked to have some of the stew.
5810_8689_000017_000003	The hunters came back early, longing to see how Paul had got on, and, to their surprise, dinner was quite ready for them.	The hunters came back early, longing to see how Paul had got on, and, to their surprise, dinner was quite ready for them.
5810_8689_000018_000001	When we have finished supper I will show you what I have done with him!' But when they reached the place where Paul had left the dwarf, neither he nor the tree was to be seen, for the little fellow had pulled it up by the roots and run away, dragging it after him.	When we have finished supper I will show you what I have done with him!' But when they reached the place where Paul had left the dwarf, neither he nor the tree was to be seen, for the little fellow had pulled it up by the roots and run away, dragging it after him.
5810_8689_000018_000004	See! there is a basket that will do for me to sit in, and a cord to lower me with.	See! there is a basket that will do for me to sit in, and a cord to lower me with.
5810_8689_000018_000005	But when I pull the cord again, lose no time in drawing the basket up.'	But when I pull the cord again, lose no time in drawing the basket up.'
5810_8689_000019_000000	And he stepped into the basket, which was lowered by his friends.	And he stepped into the basket, which was lowered by his friends.
5810_8689_000020_000000	At last it touched the ground and he jumped out and looked about him.	At last it touched the ground and he jumped out and looked about him.
5810_8689_000020_000002	As the door was open he walked in, but a lovely maiden met him and implored him to go back, for the owner of the castle was a dragon with six heads, who had stolen her from her home and brought her down to this underground spot.	As the door was open he walked in, but a lovely maiden met him and implored him to go back, for the owner of the castle was a dragon with six heads, who had stolen her from her home and brought her down to this underground spot.
5810_8689_000020_000003	But Paul refused to listen to all her entreaties, and declared that he was not afraid of the dragon, and did not care how many heads he had; and he sat down calmly to wait for him.	But Paul refused to listen to all her entreaties, and declared that he was not afraid of the dragon, and did not care how many heads he had; and he sat down calmly to wait for him.
5810_8689_000022_000000	'I am Shepherd Paul,' said the young man, 'and I have come to fight you, and as I am in a hurry we had better begin at once.'	'I am Shepherd Paul,' said the young man, 'and I have come to fight you, and as I am in a hurry we had better begin at once.'
5810_8689_000023_000001	'I am sure of my supper, but let us have a mouthful of something first, just to give us an appetite.'	'I am sure of my supper, but let us have a mouthful of something first, just to give us an appetite.'
5810_8689_000024_000000	Whereupon he began to eat some huge boulders as if they had been cakes, and when he had quite finished, he offered Paul one.	Whereupon he began to eat some huge boulders as if they had been cakes, and when he had quite finished, he offered Paul one.
5810_8689_000024_000001	Paul was not fond of boulders, but he took a wooden knife and cut one in two, then he snatched up both halves in his hands and threw them with all his strength at the dragon, so that two out of the six heads were smashed in.	Paul was not fond of boulders, but he took a wooden knife and cut one in two, then he snatched up both halves in his hands and threw them with all his strength at the dragon, so that two out of the six heads were smashed in.
5810_8689_000024_000003	Then, seizing the monster by the neck, he dashed the remaining heads against the rock.	Then, seizing the monster by the neck, he dashed the remaining heads against the rock.
5810_8689_000026_000001	He did so, and it instantly changed into a golden apple, which he put in his pocket.	He did so, and it instantly changed into a golden apple, which he put in his pocket.
5810_8689_000026_000002	After that, they started on their search.	After that, they started on their search.
5810_8689_000027_000001	She was overjoyed at the sight of her sister and of Paul, and brought him a shirt belonging to the dragon, which made every one who wore it twice as strong as they were before.	She was overjoyed at the sight of her sister and of Paul, and brought him a shirt belonging to the dragon, which made every one who wore it twice as strong as they were before.
5810_8689_000028_000000	Then Paul changed the castle into an apple, which he put into his pocket, and set out with the two girls in search of the third castle.	Then Paul changed the castle into an apple, which he put into his pocket, and set out with the two girls in search of the third castle.
5810_8689_000029_000001	Her husband had eighteen heads, but when he quitted the lower regions for the surface of the earth, he left them all at home except one, which he changed for the head of a little dwarf, with a pointed beard.	Her husband had eighteen heads, but when he quitted the lower regions for the surface of the earth, he left them all at home except one, which he changed for the head of a little dwarf, with a pointed beard.
5810_8689_000030_000001	But the thought of the eighteen heads warned him to be careful, and the third sister brought him a silk shirt which would make him ten times stronger than he was before.	But the thought of the eighteen heads warned him to be careful, and the third sister brought him a silk shirt which would make him ten times stronger than he was before.
5810_8689_000031_000000	He had scarcely put it on, when the whole castle began to shake violently, and the dragon flew up the steps into the hall.	He had scarcely put it on, when the whole castle began to shake violently, and the dragon flew up the steps into the hall.
5810_8689_000032_000000	'Well, my friend, so we meet once more!	'Well, my friend, so we meet once more!
5810_8689_000032_000001	Have you forgotten me?	Have you forgotten me?
5810_8689_000032_000002	I am Shepherd Paul, and I have come to wrestle with you, and to free your wife from your clutches.'	I am Shepherd Paul, and I have come to wrestle with you, and to free your wife from your clutches.'
5810_8689_000034_000000	At this the dragon grew rather frightened, but in a moment had recollected his eighteen heads, and was bold again.	At this the dragon grew rather frightened, but in a moment had recollected his eighteen heads, and was bold again.
5810_8689_000035_000000	'Come on,' he cried, rearing himself up and preparing to dart all his heads at once at Paul.	'Come on,' he cried, rearing himself up and preparing to dart all his heads at once at Paul.
5810_8689_000035_000001	But Paul jumped underneath, and gave an upward cut so that six of the heads went rolling down.	But Paul jumped underneath, and gave an upward cut so that six of the heads went rolling down.
5810_8689_000035_000003	Then Paul changed the castle into an apple, and put it in his pocket.	Then Paul changed the castle into an apple, and put it in his pocket.
5810_8689_000037_000000	At length, one day, he happened to pass the nest of a huge griffin, who had left her young ones all alone.	At length, one day, he happened to pass the nest of a huge griffin, who had left her young ones all alone.
5810_8689_000038_000000	'By carrying me up to the earth,' answered Paul; and the griffin agreed, but first went to get some food to eat on the way, as it was a long journey.	'By carrying me up to the earth,' answered Paul; and the griffin agreed, but first went to get some food to eat on the way, as it was a long journey.
5810_8689_000039_000000	'Now get on my back,' he said to Paul, 'and when I turn my head to the right, cut a slice off the bullock that hangs on that side, and put it in my mouth, and when I turn my head to the left, draw a cupful of wine from the cask that hangs on that side, and pour it down my throat.'	'Now get on my back,' he said to Paul, 'and when I turn my head to the right, cut a slice off the bullock that hangs on that side, and put it in my mouth, and when I turn my head to the left, draw a cupful of wine from the cask that hangs on that side, and pour it down my throat.'
5810_8689_000040_000000	For three days and three nights Paul and the griffin flew upwards, and on the fourth morning it touched the ground just outside the city where Paul's friends had gone to live.	For three days and three nights Paul and the griffin flew upwards, and on the fourth morning it touched the ground just outside the city where Paul's friends had gone to live.
5810_8689_000042_000000	'You know what to expect,' Paul said to them quietly.	'You know what to expect,' Paul said to them quietly.
5810_8689_000042_000002	Off with you!' He next took the three apples out of his pocket and placed them all in the prettiest places he could find; after which he tapped them with his golden rod, and they became castles again. He gave two of the castles to the eldest sisters, and kept the other for himself and the youngest, whom he married, and there they are living still.	Off with you!' He next took the three apples out of his pocket and placed them all in the prettiest places he could find; after which he tapped them with his golden rod, and they became castles again. He gave two of the castles to the eldest sisters, and kept the other for himself and the youngest, whom he married, and there they are living still.
