5810_8689_000000_000000	Shepherd Paul	Shepherd Paul	true	24.555	25.84	21.669722
5810_8689_000012_000000	'I am Iron Kneader, and should like to fight Shepherd Paul,' answered he.	'I am Iron Kneader, and should like to fight Shepherd Paul,' answered he.	true	191.45	196.78	20.736832
5810_8689_000013_000000	'Let us begin at once then,' replied Paul; and on this occasion also, Paul got the better of his foe, and they all four continued their journey.	'Let us begin at once then,' replied Paul; and on this occasion also, Paul got the better of his foe, and they all four continued their journey.	false	196.94	207.31	21.296446
5810_8689_000014_000000	At midday they entered a forest, and Paul stopped suddenly.	At midday they entered a forest, and Paul stopped suddenly.	true	209.27	213.55	19.468166
5810_8689_000014_000001	'We three will go and look for game,' he said, 'and you, Tree Comber, will stay behind and prepare a good supper for us.' So Tree Comber set to work to boil and roast, and when dinner was nearly ready, a little dwarf with a pointed beard strolled up to the place.	'We three will go and look for game,' he said, 'and you, Tree Comber, will stay behind and prepare a good supper for us.' So Tree Comber set to work to boil and roast, and when dinner was nearly ready, a little dwarf with a pointed beard strolled up to the place.	true	214.64	232.14	20.467152
5810_8689_000014_000002	'What are you cooking?' asked he, 'give me some of it.'	'What are you cooking?' asked he, 'give me some of it.'	false	232.14	236.68	22.044804
5810_8689_000015_000000	'I'll give you some on your back, if you like,' answered Tree Comber rudely.	'I'll give you some on your back, if you like,' answered Tree Comber rudely.	true	237.41	241.66	19.814333
5810_8689_000015_000001	The dwarf took no notice, but waited patiently till the dinner was cooked, then suddenly throwing Tree Comber on the ground, he ate up the contents of the saucepan and vanished.	The dwarf took no notice, but waited patiently till the dinner was cooked, then suddenly throwing Tree Comber on the ground, he ate up the contents of the saucepan and vanished.	true	242.24	253.66	22.365234
5810_8689_000015_000002	Tree Comber felt rather ashamed of himself, and set about boiling some more vegetables, but they were still very hard when the hunters returned, and though they complained of his bad cooking, he did not tell them about the dwarf.	Tree Comber felt rather ashamed of himself, and set about boiling some more vegetables, but they were still very hard when the hunters returned, and though they complained of his bad cooking, he did not tell them about the dwarf.	true	254.84	269.56	19.751465
5810_8689_000016_000000	Next day Stone Crusher was left behind, and after him Iron Kneader, and each time the dwarf appeared, and they fared no better than Tree Comber had done.	Next day Stone Crusher was left behind, and after him Iron Kneader, and each time the dwarf appeared, and they fared no better than Tree Comber had done.	false	271.4	281.26	21.654806
5810_8689_000016_000001	The fourth day Paul said to them: 'My friends, there must be some reason why your cooking has always been so bad, now you shall go and hunt and I will stay behind.' So they went off, amusing themselves by thinking what was in store for Paul.	The fourth day Paul said to them: 'My friends, there must be some reason why your cooking has always been so bad, now you shall go and hunt and I will stay behind.' So they went off, amusing themselves by thinking what was in store for Paul.	true	281.84	299.44	21.238623
5810_8689_000017_000000	He set to work at once, and had just got all his vegetables simmering in the pot when the dwarf appeared as before, and asked to have some of the stew.	He set to work at once, and had just got all his vegetables simmering in the pot when the dwarf appeared as before, and asked to have some of the stew.	true	299.87	308.35	23.165346
5810_8689_000017_000001	'Be off,' cried Paul, snatching up the saucepan as he spoke.	'Be off,' cried Paul, snatching up the saucepan as he spoke.	false	309.44	313.96	23.209837
5810_8689_000017_000002	The dwarf tried to get hold of his collar, but Paul seized him by the beard, and tied him to a big tree so that he could not stir, and went on quietly with his cooking.	The dwarf tried to get hold of his collar, but Paul seized him by the beard, and tied him to a big tree so that he could not stir, and went on quietly with his cooking.	false	313.97	323.98	21.227264
5810_8689_000017_000003	The hunters came back early, longing to see how Paul had got on, and, to their surprise, dinner was quite ready for them.	The hunters came back early, longing to see how Paul had got on, and, to their surprise, dinner was quite ready for them.	true	324.86	333.43	20.901068
5810_8689_000018_000000	'You are great useless creatures,' said he, 'who couldn't even outwit that little dwarf.	'You are great useless creatures,' said he, 'who couldn't even outwit that little dwarf.	true	334.7	340.72	19.487776
5810_8689_000018_000001	When we have finished supper I will show you what I have done with him!' But when they reached the place where Paul had left the dwarf, neither he nor the tree was to be seen, for the little fellow had pulled it up by the roots and run away, dragging it after him.	When we have finished supper I will show you what I have done with him!' But when they reached the place where Paul had left the dwarf, neither he nor the tree was to be seen, for the little fellow had pulled it up by the roots and run away, dragging it after him.	true	340.97	356.83	21.12309
5810_8689_000018_000002	The four friends followed the track of the tree and found that it ended in a deep hole.	The four friends followed the track of the tree and found that it ended in a deep hole.	true	357.71	363.64	19.019636
5810_8689_000018_000003	'He must have gone down here,' said Paul, 'and I will go after him.	'He must have gone down here,' said Paul, 'and I will go after him.	true	364.25	369.01	19.146343
5810_8689_000018_000004	See! there is a basket that will do for me to sit in, and a cord to lower me with.	See! there is a basket that will do for me to sit in, and a cord to lower me with.	true	369.38	374.47	22.54185
5810_8689_000018_000005	But when I pull the cord again, lose no time in drawing the basket up.'	But when I pull the cord again, lose no time in drawing the basket up.'	true	375.14	379.78	24.6504
5810_8689_000019_000000	And he stepped into the basket, which was lowered by his friends.	And he stepped into the basket, which was lowered by his friends.	true	380.3	384.19	24.351385
5810_8689_000020_000000	At last it touched the ground and he jumped out and looked about him.	At last it touched the ground and he jumped out and looked about him.	true	384.68	388.39	22.849524
5810_8689_000020_000001	He was in a beautiful valley, full of meadows and streams, with a splendid castle standing by.	He was in a beautiful valley, full of meadows and streams, with a splendid castle standing by.	true	388.91	395.5	16.310726
5810_8689_000020_000002	As the door was open he walked in, but a lovely maiden met him and implored him to go back, for the owner of the castle was a dragon with six heads, who had stolen her from her home and brought her down to this underground spot.	As the door was open he walked in, but a lovely maiden met him and implored him to go back, for the owner of the castle was a dragon with six heads, who had stolen her from her home and brought her down to this underground spot.	true	396.41	410.17	20.321877
5810_8689_000020_000003	But Paul refused to listen to all her entreaties, and declared that he was not afraid of the dragon, and did not care how many heads he had; and he sat down calmly to wait for him.	But Paul refused to listen to all her entreaties, and declared that he was not afraid of the dragon, and did not care how many heads he had; and he sat down calmly to wait for him.	true	410.87	422.86	20
5810_8689_000021_000000	In a little while the dragon came in, and all the long teeth in his six heads chattered with anger at the sight of the stranger.	In a little while the dragon came in, and all the long teeth in his six heads chattered with anger at the sight of the stranger.	true	425.12	433.24	18.210022
5810_8689_000022_000000	'I am Shepherd Paul,' said the young man, 'and I have come to fight you, and as I am in a hurry we had better begin at once.'	'I am Shepherd Paul,' said the young man, 'and I have come to fight you, and as I am in a hurry we had better begin at once.'	true	434.72	443.95	20.617523
5810_8689_000023_000000	'Very good,' answered the dragon.	'Very good,' answered the dragon.	true	445.4	448	17.923697
5810_8689_000023_000001	'I am sure of my supper, but let us have a mouthful of something first, just to give us an appetite.'	'I am sure of my supper, but let us have a mouthful of something first, just to give us an appetite.'	true	448.28	455.17	20.072132
5810_8689_000024_000000	Whereupon he began to eat some huge boulders as if they had been cakes, and when he had quite finished, he offered Paul one.	Whereupon he began to eat some huge boulders as if they had been cakes, and when he had quite finished, he offered Paul one.	true	455.72	464.05	21.495176
5810_8689_000024_000001	Paul was not fond of boulders, but he took a wooden knife and cut one in two, then he snatched up both halves in his hands and threw them with all his strength at the dragon, so that two out of the six heads were smashed in.	Paul was not fond of boulders, but he took a wooden knife and cut one in two, then he snatched up both halves in his hands and threw them with all his strength at the dragon, so that two out of the six heads were smashed in.	true	464.42	478.54	20.1658
5810_8689_000024_000002	At this the dragon, with a mighty roar, rushed upon Paul, but he sprang on one side, and with a swinging blow cut off two of the other heads.	At this the dragon, with a mighty roar, rushed upon Paul, but he sprang on one side, and with a swinging blow cut off two of the other heads.	true	479.81	490.18	19.32058
5810_8689_000024_000003	Then, seizing the monster by the neck, he dashed the remaining heads against the rock.	Then, seizing the monster by the neck, he dashed the remaining heads against the rock.	true	490.34	495.49	20.613314
5810_8689_000025_000000	When the maiden heard that the dragon was dead, she thanked her deliverer with tears in her eyes, but told him that her two younger sisters were in the power of dragons still fiercer and more horrible than this one.	When the maiden heard that the dragon was dead, she thanked her deliverer with tears in her eyes, but told him that her two younger sisters were in the power of dragons still fiercer and more horrible than this one.	true	496.46	509.92	17
5810_8689_000025_000001	He vowed that his sword should never rest in its sheath till they were set free, and bade the girl come with him, and show him the way.	He vowed that his sword should never rest in its sheath till they were set free, and bade the girl come with him, and show him the way.	true	510.83	519.25	18.735367
5810_8689_000026_000000	The maiden gladly consented to go with him, but first she gave him a golden rod, and bade him strike the castle with it.	The maiden gladly consented to go with him, but first she gave him a golden rod, and bade him strike the castle with it.	true	521.72	529.12	19.820625
5810_8689_000026_000001	He did so, and it instantly changed into a golden apple, which he put in his pocket.	He did so, and it instantly changed into a golden apple, which he put in his pocket.	true	529.52	535.69	25.30168
5810_8689_000026_000002	After that, they started on their search.	After that, they started on their search.	true	536.57	538.93	20.98002
5810_8689_000027_000000	They had not gone far before they reached the castle where the second girl was confined by the power of the dragon with twelve heads, who had stolen her from her home.	They had not gone far before they reached the castle where the second girl was confined by the power of the dragon with twelve heads, who had stolen her from her home.	true	539.96	549.31	17
5810_8689_000027_000001	She was overjoyed at the sight of her sister and of Paul, and brought him a shirt belonging to the dragon, which made every one who wore it twice as strong as they were before.	She was overjoyed at the sight of her sister and of Paul, and brought him a shirt belonging to the dragon, which made every one who wore it twice as strong as they were before.	true	550.1	560.8	21.344992
5810_8689_000027_000002	Scarcely had he put it on when the dragon came back, and the fight began.	Scarcely had he put it on when the dragon came back, and the fight began.	false	561.32	567.06	22.47395
5810_8689_000027_000003	Long and hard was the struggle, but Paul's sword and his shirt helped him, and the twelve heads lay dead upon the ground.	Long and hard was the struggle, but Paul's sword and his shirt helped him, and the twelve heads lay dead upon the ground.	true	567.06	575.53	18.08957
5810_8689_000028_000000	Then Paul changed the castle into an apple, which he put into his pocket, and set out with the two girls in search of the third castle.	Then Paul changed the castle into an apple, which he put into his pocket, and set out with the two girls in search of the third castle.	true	576.86	585.61	24.756718
5810_8689_000029_000000	It was not long before they found it, and within the walls was the third sister, who was younger and prettier than either of the other two.	It was not long before they found it, and within the walls was the third sister, who was younger and prettier than either of the other two.	true	586.16	593.89	18.281435
5810_8689_000029_000001	Her husband had eighteen heads, but when he quitted the lower regions for the surface of the earth, he left them all at home except one, which he changed for the head of a little dwarf, with a pointed beard.	Her husband had eighteen heads, but when he quitted the lower regions for the surface of the earth, he left them all at home except one, which he changed for the head of a little dwarf, with a pointed beard.	true	594.47	607.42	21.448559
5810_8689_000030_000000	The moment that Paul knew that this terrible dragon was no other than the dwarf whom he had tied to the tree, he longed more than ever to fly at his throat.	The moment that Paul knew that this terrible dragon was no other than the dwarf whom he had tied to the tree, he longed more than ever to fly at his throat.	true	608.45	618.58	18
5810_8689_000030_000001	But the thought of the eighteen heads warned him to be careful, and the third sister brought him a silk shirt which would make him ten times stronger than he was before.	But the thought of the eighteen heads warned him to be careful, and the third sister brought him a silk shirt which would make him ten times stronger than he was before.	true	619.25	630.67	20.19101
5810_8689_000031_000000	He had scarcely put it on, when the whole castle began to shake violently, and the dragon flew up the steps into the hall.	He had scarcely put it on, when the whole castle began to shake violently, and the dragon flew up the steps into the hall.	true	631.55	640.36	21
5810_8689_000032_000000	'Well, my friend, so we meet once more!	'Well, my friend, so we meet once more!	true	641.42	644.26	24.279833
5810_8689_000032_000001	Have you forgotten me?	Have you forgotten me?	true	644.54	645.97	21.823324
5810_8689_000032_000002	I am Shepherd Paul, and I have come to wrestle with you, and to free your wife from your clutches.'	I am Shepherd Paul, and I have come to wrestle with you, and to free your wife from your clutches.'	true	646.07	652.39	24.03932
5810_8689_000033_000000	'Ah, I am glad to see you again,' said the dragon.	'Ah, I am glad to see you again,' said the dragon.	false	654.08	657.61	18.89726
5810_8689_000033_000001	'Those were my two brothers whom you killed, and now your blood shall pay for them.' And he went into his room to look for his shirt and to drink some magic wine, but the shirt was on Paul's back, and as for the wine, the girl had given a cupful to Paul and then had allowed the rest to run out of the cask.	'Those were my two brothers whom you killed, and now your blood shall pay for them.' And he went into his room to look for his shirt and to drink some magic wine, but the shirt was on Paul's back, and as for the wine, the girl had given a cupful to Paul and then had allowed the rest to run out of the cask.	false	657.77	678.67	19.7489
5810_8689_000034_000000	At this the dragon grew rather frightened, but in a moment had recollected his eighteen heads, and was bold again.	At this the dragon grew rather frightened, but in a moment had recollected his eighteen heads, and was bold again.	true	679.58	687.19	20.542492
5810_8689_000035_000000	'Come on,' he cried, rearing himself up and preparing to dart all his heads at once at Paul.	'Come on,' he cried, rearing himself up and preparing to dart all his heads at once at Paul.	true	687.92	694.96	20.048449
5810_8689_000035_000001	But Paul jumped underneath, and gave an upward cut so that six of the heads went rolling down.	But Paul jumped underneath, and gave an upward cut so that six of the heads went rolling down.	true	695.51	702.37	21.17416
5810_8689_000035_000002	They were the best heads too, and very soon the other twelve lay beside them.	They were the best heads too, and very soon the other twelve lay beside them.	true	702.92	708.31	19.026888
5810_8689_000035_000003	Then Paul changed the castle into an apple, and put it in his pocket.	Then Paul changed the castle into an apple, and put it in his pocket.	true	708.89	713.11	24.518408
5810_8689_000035_000004	Afterwards he and the three girls set off for the opening which led upwards to the earth.	Afterwards he and the three girls set off for the opening which led upwards to the earth.	false	713.66	718.78	18
5810_8689_000036_000000	The basket was still there, dangling from the rope, but it was only big enough to hold the three girls, so Paul sent them up, and told them to be sure and let down the basket for him.	The basket was still there, dangling from the rope, but it was only big enough to hold the three girls, so Paul sent them up, and told them to be sure and let down the basket for him.	false	719.93	730.81	18.950489
5810_8689_000036_000001	Unluckily, at the sight of the maidens' beauty, so far beyond anything they had ever seen, the friends forgot all about Paul, and carried the girls straight away into a far country, so that they were not much better off than before.	Unluckily, at the sight of the maidens' beauty, so far beyond anything they had ever seen, the friends forgot all about Paul, and carried the girls straight away into a far country, so that they were not much better off than before.	true	731.96	746.13	18
5810_8689_000036_000002	Meanwhile Paul, mad with rage at the ingratitude of the three sisters, vowed he would be revenged upon them, and set about finding some way of getting back to earth.	Meanwhile Paul, mad with rage at the ingratitude of the three sisters, vowed he would be revenged upon them, and set about finding some way of getting back to earth.	false	746.13	757.03	17.592001
5810_8689_000036_000003	But it was not very easy, and for months, and months, and months, he wandered about underground, and, at the end, seemed no nearer to fulfilling his purpose than he was at the beginning.	But it was not very easy, and for months, and months, and months, he wandered about underground, and, at the end, seemed no nearer to fulfilling his purpose than he was at the beginning.	false	757.13	770.11	21.388063
5810_8689_000037_000000	At length, one day, he happened to pass the nest of a huge griffin, who had left her young ones all alone.	At length, one day, he happened to pass the nest of a huge griffin, who had left her young ones all alone.	true	771.8	778.63	21.794168
5810_8689_000037_000001	Just as Paul came along a cloud containing fire instead of rain burst overhead, and all the little griffins would certainly have been killed had not Paul spread his cloak over the nest and saved them.	Just as Paul came along a cloud containing fire instead of rain burst overhead, and all the little griffins would certainly have been killed had not Paul spread his cloak over the nest and saved them.	true	779.48	791.95	19
5810_8689_000037_000002	When their father returned the young ones told him what Paul had done, and he lost no time in flying after Paul, and asking how he could reward him for his goodness.	When their father returned the young ones told him what Paul had done, and he lost no time in flying after Paul, and asking how he could reward him for his goodness.	true	792.83	802.51	19
5810_8689_000038_000000	'By carrying me up to the earth,' answered Paul; and the griffin agreed, but first went to get some food to eat on the way, as it was a long journey.	'By carrying me up to the earth,' answered Paul; and the griffin agreed, but first went to get some food to eat on the way, as it was a long journey.	true	803.18	812.89	21.353952
5810_8689_000039_000000	'Now get on my back,' he said to Paul, 'and when I turn my head to the right, cut a slice off the bullock that hangs on that side, and put it in my mouth, and when I turn my head to the left, draw a cupful of wine from the cask that hangs on that side, and pour it down my throat.'	'Now get on my back,' he said to Paul, 'and when I turn my head to the right, cut a slice off the bullock that hangs on that side, and put it in my mouth, and when I turn my head to the left, draw a cupful of wine from the cask that hangs on that side, and pour it down my throat.'	true	814.31	832.87	22.57116
5810_8689_000040_000000	For three days and three nights Paul and the griffin flew upwards, and on the fourth morning it touched the ground just outside the city where Paul's friends had gone to live.	For three days and three nights Paul and the griffin flew upwards, and on the fourth morning it touched the ground just outside the city where Paul's friends had gone to live.	true	833.81	844.06	20
5810_8689_000040_000001	Then Paul thanked him and bade him farewell, and he returned home again.	Then Paul thanked him and bade him farewell, and he returned home again.	false	844.7	850.48	20.767073
5810_8689_000041_000000	At first Paul was too tired to do anything but sleep, but as soon as he was rested he started off in search of the three faithless ones, who almost died from fright at the sight of him, for they had thought he would never come back to reproach them for their wickedness.	At first Paul was too tired to do anything but sleep, but as soon as he was rested he started off in search of the three faithless ones, who almost died from fright at the sight of him, for they had thought he would never come back to reproach them for their wickedness.	false	850.76	866.44	21.598623
5810_8689_000042_000000	'You know what to expect,' Paul said to them quietly.	'You know what to expect,' Paul said to them quietly.	true	867.92	871.48	23.707317
5810_8689_000042_000001	'You shall never see me again.	'You shall never see me again.	true	871.85	873.85	14.626267
5810_8689_000042_000002	Off with you!' He next took the three apples out of his pocket and placed them all in the prettiest places he could find; after which he tapped them with his golden rod, and they became castles again. He gave two of the castles to the eldest sisters, and kept the other for himself and the youngest, whom he married, and there they are living still.	Off with you!' He next took the three apples out of his pocket and placed them all in the prettiest places he could find; after which he tapped them with his golden rod, and they became castles again. He gave two of the castles to the eldest sisters, and kept the other for himself and the youngest, whom he married, and there they are living still.	true	873.95	896.49	21.663176
5810_8689_000043_000000	[From Ungarische Mahrchen.]	[From Ungarische Mahrchen.]	false	896.49	896.76	-20
5810_8689_000044_000000	How The Wicked Tanuki Was Punished	How The Wicked Tanuki Was Punished	false	896.76	897.3	-20
5810_8689_000045_000000	The hunters had hunted the wood for so many years that no wild animal was any more to be found in it.	The hunters had hunted the wood for so many years that no wild animal was any more to be found in it.	false	897.3	899.28	-20
5810_8689_000045_000001	You might walk from one end to the other without ever seeing a hare, or a deer, or a boar, or hearing the cooing of the doves in their nest.	You might walk from one end to the other without ever seeing a hare, or a deer, or a boar, or hearing the cooing of the doves in their nest.	false	899.28	900.99	17.253914
5810_8689_000045_000002	If they were not dead, they had flown elsewhere.	If they were not dead, they had flown elsewhere.	false	900.99	901.95	20
5810_8689_000045_000003	Only three creatures remained alive, and they had hidden themselves in the thickest part of the forest, high up the mountain. These were a grey-furred, long-tailed tanuki, his wife the fox, who was one of his own family, and their little son.	Only three creatures remained alive, and they had hidden themselves in the thickest part of the forest, high up the mountain. These were a grey furred, long tailed tanuki, his wife the fox, who was one of his own family, and their little son.	false	901.95	906.57	19.177244
