6099_67860_000002_000000	CHAPTER XVII	CHAPTER seventeen
6099_67860_000021_000000	"Father, when may we go to Fort Moultrie again?" she asked one morning a few days later, for she wanted very much to see Mrs. Carleton, and was quite sure that her father would be ready to sail down the harbor on any pleasant day, and his reply made her look up in surprise.	"Father, when may we go to Fort Moultrie again?" she asked one morning a few days later, for she wanted very much to see mrs Carleton, and was quite sure that her father would be ready to sail down the harbor on any pleasant day, and his reply made her look up in surprise.
6099_67860_000022_000000	"I do not know that we shall ever go to the forts again," her father had replied.	"I do not know that we shall ever go to the forts again," her father had replied.
6099_67860_000022_000003	No one is allowed to go to the forts.	No one is allowed to go to the forts.
6099_67860_000022_000004	And unless Major Anderson takes possession of Fort Sumter the Confederates will."	And unless Major Anderson takes possession of Fort Sumter the Confederates will."
6099_67860_000023_000000	"And we are to start for Boston next week, dear child," Sylvia's mother added.	"And we are to start for Boston next week, dear child," Sylvia's mother added.
6099_67860_000024_000001	But Sylvia was not glad.	But Sylvia was not glad.
6099_67860_000024_000002	What would become of Estralla?	What would become of Estralla?
6099_67860_000025_000001	But if they went to Boston and left Estralla behind Sylvia was sure that there would be nothing but trouble for the faithful little darky.	But if they went to Boston and left Estralla behind Sylvia was sure that there would be nothing but trouble for the faithful little darky.
6099_67860_000026_000000	"Why, Sylvia!	"Why, Sylvia!
6099_67860_000027_000000	"I can't go to Boston and leave Estralla!" she sobbed.	"I can't go to Boston and leave Estralla!" she sobbed.
6099_67860_000027_000001	"She has done lots of brave things for me.	"She has done lots of brave things for me.
6099_67860_000027_000002	She wouldn't leave me to be a slave."	She wouldn't leave me to be a slave."
6099_67860_000028_000000	Mr. and Mrs. Fulton looked at each other with puzzled eyes.	mr and mrs Fulton looked at each other with puzzled eyes.
6099_67860_000029_000000	"But Estralla would not want to leave her mammy," suggested Mr. Fulton.	"But Estralla would not want to leave her mammy," suggested mr Fulton.
6099_67860_000030_000000	"Oh, Father!	"Oh, Father!
6099_67860_000030_000002	"Couldn't I buy Estralla and then make her free?	"Couldn't I buy Estralla and then make her free?
6099_67860_000030_000003	I've got that gold money Grandma gave me."	I've got that gold money Grandma gave me."
6099_67860_000031_000001	"Don't suggest such a thing to Aunt Connie, Sylvia."	"Don't suggest such a thing to Aunt Connie, Sylvia."
6099_67860_000032_000000	"When shall we go to Boston?" Sylvia asked.	"When shall we go to Boston?" Sylvia asked.
6099_67860_000033_000000	"Right away after Christmas, unless Fort Sumter is attacked before that time.	"Right away after Christmas, unless Fort Sumter is attacked before that time.
6099_67860_000033_000001	Washington ought to send troops and provisions for the forts at once!" replied Mr. Fulton.	Washington ought to send troops and provisions for the forts at once!" replied mr Fulton.
6099_67860_000034_000000	After her father had left the house Sylvia and her mother went up to Mrs. Fulton's pleasant sitting-room.	After her father had left the house Sylvia and her mother went up to mrs Fulton's pleasant sitting room.
6099_67860_000035_000000	"We must begin to pack at once," declared Sylvia's mother, "and do not go outside the gate alone, Sylvia.	"We must begin to pack at once," declared Sylvia's mother, "and do not go outside the gate alone, Sylvia.
6099_67860_000035_000001	I wish we could leave Charleston immediately."	I wish we could leave Charleston immediately."
6099_67860_000036_000000	"Won't I see Mrs. Carleton again?" Sylvia asked anxiously.	"Won't I see mrs Carleton again?" Sylvia asked anxiously.
6099_67860_000037_000000	"I do not know, dear child, but run away and give Estralla her lesson, as usual.	"I do not know, dear child, but run away and give Estralla her lesson, as usual.
6099_67860_000037_000001	It will not be a very gay Christmas for any of us this year," responded Mrs. Fulton, and Sylvia went slowly to her own room where Estralla was waiting for her.	It will not be a very gay Christmas for any of us this year," responded mrs Fulton, and Sylvia went slowly to her own room where Estralla was waiting for her.
6099_67860_000038_000000	The little colored girl had put the room in order; there was a bright fire in the grate, the morning sunshine filled the room, and Miss Molly and Polly, smiling as usual, were in the tiny chairs behind the little round table.	The little colored girl had put the room in order; there was a bright fire in the grate, the morning sunshine filled the room, and Miss Molly and Polly, smiling as usual, were in the tiny chairs behind the little round table.
6099_67860_000039_000002	Won't de Yankees come and set us free, Missy?"	Won't de Yankees come and set us free, Missy?"
6099_67860_000040_000001	"I don't know, Estralla!	"I don't know, Estralla!
6099_67860_000040_000002	Let's not talk about it," she replied.	Let's not talk about it," she replied.
6099_67860_000043_000000	"Oh!" she whispered, as she stood in the open door.	"Oh!" she whispered, as she stood in the open door.
6099_67860_000043_000002	They were all talking so earnestly that they did not notice the surprised little girl standing in the doorway, and Sylvia heard Mr. Waite say:	They were all talking so earnestly that they did not notice the surprised little girl standing in the doorway, and Sylvia heard mr Waite say:
6099_67860_000044_000001	And you had better leave Charleston immediately.	And you had better leave Charleston immediately.
6099_67860_000044_000002	The city is no longer a safe place for northern people. The conflict may begin at any moment."	The city is no longer a safe place for northern people. The conflict may begin at any moment."
6099_67860_000045_000000	"'Conflict,'" Sylvia repeated the word to herself.	"'Conflict,'" Sylvia repeated the word to herself.
6099_67860_000045_000001	Probably it meant something dreadful, she thought, recalling the "question period" at Miss Rosalie's school.	Probably it meant something dreadful, she thought, recalling the "question period" at Miss Rosalie's school.
6099_67860_000046_000000	Just then Mr. Waite glanced toward the door and saw Sylvia.	Just then mr Waite glanced toward the door and saw Sylvia.
6099_67860_000047_000000	"Miss Sylvia, I am glad to see you again," and he stepped forward to meet her.	"Miss Sylvia, I am glad to see you again," and he stepped forward to meet her.
6099_67860_000048_000000	Sylvia, feeling quite grown-up, made her pretty curtsey, and smiled with delight at Mr. Waite's greeting, as he led her toward her mother and, with another polite bow, gave her the seat on the sofa.	Sylvia, feeling quite grown up, made her pretty curtsey, and smiled with delight at mr Waite's greeting, as he led her toward her mother and, with another polite bow, gave her the seat on the sofa.
6099_67860_000049_000000	"I was hoping to see Miss Sylvia," he said.	"I was hoping to see Miss Sylvia," he said.
6099_67860_000049_000001	"I had meant to make her a little Christmas gift, with your permission," and he bowed again to Mrs. Fulton.	"I had meant to make her a little Christmas gift, with your permission," and he bowed again to mrs Fulton.
6099_67860_000049_000002	"She was kind enough to interest herself in behalf of one of my people, the little darky, Estralla.	"She was kind enough to interest herself in behalf of one of my people, the little darky, Estralla.
6099_67860_000049_000003	And so I thought this would please you," and he smiled at Sylvia, who began to be sure that Mr. Waite and Santa Claus must be exactly alike.	And so I thought this would please you," and he smiled at Sylvia, who began to be sure that mr Waite and Santa Claus must be exactly alike.
6099_67860_000049_000004	As he spoke he handed Sylvia a long envelope.	As he spoke he handed Sylvia a long envelope.
6099_67860_000050_000000	"Do not open it until to-morrow, if you please," he added.	"Do not open it until to morrow, if you please," he added.
6099_67860_000051_000000	Sylvia promised and thanked him.	Sylvia promised and thanked him.
6099_67860_000051_000001	She wondered if the envelope might not contain a picture of this kind friend.	She wondered if the envelope might not contain a picture of this kind friend.
6099_67860_000051_000002	She knew that she must not ask a question; questions were never polite, she remembered, especially about a gift.	She knew that she must not ask a question; questions were never polite, she remembered, especially about a gift.
6099_67860_000051_000003	But whatever it was she was very happy to think Mr. Robert Waite had remembered her.	But whatever it was she was very happy to think mr Robert Waite had remembered her.
6099_67860_000052_000000	They all went to the door with their friendly visitor, and stood there until he had reached the gate.	They all went to the door with their friendly visitor, and stood there until he had reached the gate.
6099_67860_000053_000000	"I think Mr. Robert Waite is just like the Knights in that book, 'The Age of Chivalry.' They always did exactly what was right, and so does he; and they were polite and so is he."	"I think mr Robert Waite is just like the Knights in that book, 'The Age of Chivalry.' They always did exactly what was right, and so does he; and they were polite and so is he."
6099_67860_000054_000000	"Then, my dear, perhaps you will always remember that to do brave and gentle deeds with kindness is what 'chivalry' means," responded Mrs. Fulton.	"Then, my dear, perhaps you will always remember that to do brave and gentle deeds with kindness is what 'chivalry' means," responded mrs Fulton.
6099_67860_000055_000002	Palmetto flags floated everywhere; the streets were filled with marching men.	Palmetto flags floated everywhere; the streets were filled with marching men.
6099_67860_000055_000003	Major Anderson in Fort Moultrie watched Fort Sumter with anxious eyes, hoping for a word from Washington which would give him authority to occupy it before the Charleston men could turn its guns against him.	Major Anderson in Fort Moultrie watched Fort Sumter with anxious eyes, hoping for a word from Washington which would give him authority to occupy it before the Charleston men could turn its guns against him.
