7520_258986_000001_000000	CHAPTER 34	CHAPTER thirty four
7520_258986_000016_000002	This movement has been going on for seventy years, there being about the same number of mills in 1900 as in 1830, though population had multiplied six-fold.	This movement has been going on for seventy years, there being about the same number of mills in nineteen hundred as in eighteen thirty, though population had multiplied six fold.
7520_258986_000016_000005	There were twenty-four thousand grist-mills in 1880, eighteen thousand in 1890, and twenty-five thousand in 1900, a change of ratio from two thousand one hundred to three thousand population per grist-mill.	There were twenty four thousand grist mills in eighteen eighty, eighteen thousand in eighteen ninety, and twenty five thousand in nineteen hundred, a change of ratio from two thousand one hundred to three thousand population per grist mill.
7520_258986_000016_000006	There were twenty-six thousand sawmills in 1880, twenty-two thousand in 1890, and thirty-three thousand in 1900, a change from about one thousand nine hundred and twenty to two thousand two hundred and seventy persons per sawmill.	There were twenty six thousand sawmills in eighteen eighty, twenty two thousand in eighteen ninety, and thirty three thousand in nineteen hundred, a change from about one thousand nine hundred and twenty to two thousand two hundred and seventy persons per sawmill.
7520_258986_000017_000000	But while the number of establishments in these staple industries was decreasing, the number of employees per establishment in most cases was increasing.	But while the number of establishments in these staple industries was decreasing, the number of employees per establishment in most cases was increasing.
7520_258986_000017_000001	The average in all industries, in 1870, was eight; in 1890, twelve; in 1900, ten and four tenths.	The average in all industries, in eighteen seventy, was eight; in eighteen ninety, twelve; in nineteen hundred, ten and four tenths.
7520_258986_000017_000002	In cotton-mills, in 1870, the average was one hundred and eighty-four; in 1890, two hundred and forty-four; in 1900, two hundred and eighty-seven.	In cotton mills, in eighteen seventy, the average was one hundred and eighty four; in eighteen ninety, two hundred and forty four; in nineteen hundred, two hundred and eighty seven.
7520_258986_000017_000003	The grist-mills, in 1880, had two and four tenths persons per establishment; in 1890, three and four tenths.	The grist mills, in eighteen eighty, had two and four tenths persons per establishment; in eighteen ninety, three and four tenths.
7520_258986_000019_000000	4.	four.
7520_258986_000019_000002	We are told that in cotton-mills, in 1830, the average capital invested was fifty thousand dollars; in 1890, nearly four hundred thousand dollars; in 1900, four hundred and forty thousand dollars.	We are told that in cotton mills, in eighteen thirty, the average capital invested was fifty thousand dollars; in eighteen ninety, nearly four hundred thousand dollars; in nineteen hundred, four hundred and forty thousand dollars.
7520_258986_000019_000003	It is easy to observe the large increase in investment of capital in flouring-mills since the new processes came into use.	It is easy to observe the large increase in investment of capital in flouring mills since the new processes came into use.
7520_258986_000021_000001	Consolidation took place on a great scale in railroads and in manufactures.	Consolidation took place on a great scale in railroads and in manufactures.
7520_258986_000021_000002	Much of this has been of such a kind that it does not appear at all in the figures showing the number of establishments and of employees.	Much of this has been of such a kind that it does not appear at all in the figures showing the number of establishments and of employees.
7520_258986_000021_000003	Many discrepancies appear in the data regarding this movement given by different authorities, as there is no generally accepted rule by which to determine the selection of the companies to be included in the lists, and as the conditions are changing from day to day.	Many discrepancies appear in the data regarding this movement given by different authorities, as there is no generally accepted rule by which to determine the selection of the companies to be included in the lists, and as the conditions are changing from day to day.
7520_258986_000023_000000	The number organized and the capital represented by this movement in the last of these decades are eight times as great as in the thirty years preceding.	The number organized and the capital represented by this movement in the last of these decades are eight times as great as in the thirty years preceding.
7520_258986_000026_000001	In 1893, the number was less, but the total nominal capital (preferred and common stocks and bonds) was still the greatest it had ever been in any year.	In eighteen ninety three, the number was less, but the total nominal capital (preferred and common stocks and bonds) was still the greatest it had ever been in any year.
7520_258986_000026_000003	Then followed the period of the greatest formation of trust companies the world has ever seen, which extended from 1898 to 1901, and ended in 1902.	Then followed the period of the greatest formation of trust companies the world has ever seen, which extended from eighteen ninety eight to nineteen o one, and ended in nineteen o two.
7520_258986_000033_000000	1.	one.
7520_258986_000035_000000	3.	three.
7520_258986_000036_000000	4.	four.
7520_258986_000038_000000	6.	six.
7520_258986_000041_000002	The machinery in a large factory is thus more fully utilized.	The machinery in a large factory is thus more fully utilized.
7520_258986_000043_000002	In making plows, nine men working separately will average sixty-six plows each per year, while one hundred and eighty men working together will average one hundred and ten each per year, the output per man being increased sixty-six and two thirds per cent.	In making plows, nine men working separately will average sixty six plows each per year, while one hundred and eighty men working together will average one hundred and ten each per year, the output per man being increased sixty six and two thirds per cent.
7520_258986_000043_000003	In a rifle-factory with a daily output of fifty, eight men are needed for the same product that can be supplied by three men in a factory with an output of one thousand daily.	In a rifle factory with a daily output of fifty, eight men are needed for the same product that can be supplied by three men in a factory with an output of one thousand daily.
7520_258986_000045_000000	3.	three.
7520_258986_000045_000002	The necessary inspection of the results is more rapid and easy.	The necessary inspection of the results is more rapid and easy.
7520_258986_000045_000003	The advertising of certain kinds of goods involves a large and inevitable outlay, which is relatively less for a larger business, as the greater the output the smaller the burden on each unit of the product.	The advertising of certain kinds of goods involves a large and inevitable outlay, which is relatively less for a larger business, as the greater the output the smaller the burden on each unit of the product.
7520_258986_000045_000004	Combination effects a great saving in the number of commercial travelers, a result partly due to the decrease in competition, but partly also to better organization. Each of twenty different factories must send its drummers into every part of the country to seek business.	Combination effects a great saving in the number of commercial travelers, a result partly due to the decrease in competition, but partly also to better organization. Each of twenty different factories must send its drummers into every part of the country to seek business.
7520_258986_000045_000005	In combination they can divide the territory, visit every merchant and get larger orders at smaller cost. Supplies can be purchased more cheaply in large amounts, and shipments in car-load and train-load lots make possible special (sometimes illegal) concessions from railroads and from carriers on waterways.	In combination they can divide the territory, visit every merchant and get larger orders at smaller cost. Supplies can be purchased more cheaply in large amounts, and shipments in car load and train load lots make possible special (sometimes illegal) concessions from railroads and from carriers on waterways.
7520_258986_000047_000000	4.	four.
7520_258986_000047_000002	When each man is working on the smallest possible subdivision of the product, doubling the number of employees will not increase his skill.	When each man is working on the smallest possible subdivision of the product, doubling the number of employees will not increase his skill.
7520_258986_000047_000003	When the finest machinery can be kept constantly in use, economy in its use has reached the maximum. As large factories tend to create cities around them, land rises in value and higher wages must be paid the workmen.	When the finest machinery can be kept constantly in use, economy in its use has reached the maximum. As large factories tend to create cities around them, land rises in value and higher wages must be paid the workmen.
7520_258986_000047_000005	The point is reached in the growth of establishments where oversight cannot be as perfect and complete; the eye of the master cannot be over all.	The point is reached in the growth of establishments where oversight cannot be as perfect and complete; the eye of the master cannot be over all.
7520_258986_000049_000000	It is evident that most of these reasons apply to a single local factory with far greater force than to a federation of locally scattered plants. It was once believed that the growing disadvantages of large industry would set an early limit to consolidation.	It is evident that most of these reasons apply to a single local factory with far greater force than to a federation of locally scattered plants. It was once believed that the growing disadvantages of large industry would set an early limit to consolidation.
7520_258986_000049_000001	While there is a truth in this thought not to be overlooked, the effects must now be recognized to be more distant than was supposed.	While there is a truth in this thought not to be overlooked, the effects must now be recognized to be more distant than was supposed.
7520_258986_000050_000001	III. CAUSES OF INDUSTRIAL COMBINATIONS	three. CAUSES OF INDUSTRIAL COMBINATIONS
7520_258986_000052_000000	1.	one.
7520_258986_000052_000002	The old legal idea of a trust is the confidence imposed in a trustee.	The old legal idea of a trust is the confidence imposed in a trustee.
7520_258986_000052_000005	The word trust is popularly used of any large industry, though usually there is connected with it the idea of some evil power to raise prices to the consumers.	The word trust is popularly used of any large industry, though usually there is connected with it the idea of some evil power to raise prices to the consumers.
7520_258986_000052_000006	A large number of the corporations called trusts have, however, little monopoly power, and some have none at all.	A large number of the corporations called trusts have, however, little monopoly power, and some have none at all.
7520_258986_000054_000002	The cost of management, amount of stock carried, advertising, cost of selling the product, may all be smaller per unit of product.	The cost of management, amount of stock carried, advertising, cost of selling the product, may all be smaller per unit of product.
7520_258986_000054_000003	A large aggregation can control credit better and escape loss from bad debts.	A large aggregation can control credit better and escape loss from bad debts.
7520_258986_000054_000004	By regulating and equalizing the output in the different localities, it can run more nearly full time. Being acquainted with the entire situation, it can reduce the friction. A strong combination has advantages in shipment.	By regulating and equalizing the output in the different localities, it can run more nearly full time. Being acquainted with the entire situation, it can reduce the friction. A strong combination has advantages in shipment.
7520_258986_000054_000005	It can have a clearing-house for orders and ship from the nearest source of supply. The least efficient factories can be first closed when demand falls off. Factories can be specialized to produce that for which each is best fitted.	It can have a clearing house for orders and ship from the nearest source of supply. The least efficient factories can be first closed when demand falls off. Factories can be specialized to produce that for which each is best fitted.
7520_258986_000054_000006	The magnitude of the industry and its presence in different localities strengthens its influence with the railroads.	The magnitude of the industry and its presence in different localities strengthens its influence with the railroads.
7520_258986_000056_000001	A railroad line across the continent owns its own steamers for shipping goods to Asia or Europe.	A railroad line across the continent owns its own steamers for shipping goods to Asia or Europe.
7520_258986_000058_000000	3.	three.
7520_258986_000058_000002	But as this excessive competition usually is for the very purpose of forcing the combination, this explanation is a begging of the question.	But as this excessive competition usually is for the very purpose of forcing the combination, this explanation is a begging of the question.
7520_258986_000058_000003	It is fallacious also in that it ignores the marginal principle in the problem of profits.	It is fallacious also in that it ignores the marginal principle in the problem of profits.
