3703_71550_000001_000000	CHAPTER XXXVI	CHAPTER thirty six
3703_71550_000008_000002	And interesting heroic men coming and going in swarms and being so grateful for kindness and entertainment. One is really doing good all the time--and being adored for it.	And interesting heroic men coming and going in swarms and being so grateful for kindness and entertainment. One is really doing good all the time-and being adored for it.
3703_71550_000008_000003	I own I like being adored myself--and of course one likes doing good.	I own I like being adored myself-and of course one likes doing good.
3703_71550_000008_000004	I never was so happy in my life."	I never was so happy in my life."
3703_71550_000009_000000	"I used to be rather a coward, I suppose," she chattered gaily on another occasion.	"I used to be rather a coward, I suppose," she chattered gaily on another occasion.
3703_71550_000009_000002	I believe the War and living among soldiers has had an effect on me and made me braver. The Zepps don't frighten me at all--at least they excite me so that they make me forget to be frightened.	I believe the War and living among soldiers has had an effect on me and made me braver. The Zepps don't frighten me at all-at least they excite me so that they make me forget to be frightened.
3703_71550_000009_000003	I don't know what they do to me exactly.	I don't know what they do to me exactly.
3703_71550_000010_000000	She saw Lord Coombe but infrequently at this time, the truth being that her exhilaration and her War Work fatigued him, apart from which his hours were filled.	She saw Lord Coombe but infrequently at this time, the truth being that her exhilaration and her War Work fatigued him, apart from which his hours were filled.
3703_71550_000010_000001	He also objected to a certain raffishness which in an extremely mixed crowd of patriots rather too obviously "swept away silly old fads" and left the truly advanced to do as they liked.	He also objected to a certain raffishness which in an extremely mixed crowd of patriots rather too obviously "swept away silly old fads" and left the truly advanced to do as they liked.
3703_71550_000010_000003	Feather herself had no need of him. An athletic and particularly well favoured young actor who shared her thrills of elation seemed to permeate the atmosphere about her.	Feather herself had no need of him. An athletic and particularly well favoured young actor who shared her thrills of elation seemed to permeate the atmosphere about her.
3703_71550_000010_000004	He and Feather together at times achieved the effect, between raids, of waiting impatiently for a performance and feeling themselves ill treated by the long delays between the acts.	He and Feather together at times achieved the effect, between raids, of waiting impatiently for a performance and feeling themselves ill treated by the long delays between the acts.
3703_71550_000011_000000	"Are we growing callous, or are we losing our wits through living at such high temperature?" the Duchess asked.	"Are we growing callous, or are we losing our wits through living at such high temperature?" the Duchess asked.
3703_71550_000011_000001	"There's a delirium in the air.	"There's a delirium in the air.
3703_71550_000011_000002	Among those who are not shuddering in cellars there are some who seem possessed by a sort of light insanity, half defiance, half excited curiosity.	Among those who are not shuddering in cellars there are some who seem possessed by a sort of light insanity, half defiance, half excited curiosity.
3703_71550_000011_000003	People say exultantly, 'I had a perfectly splendid view of the last Zepp!' A mother whose daughter was paying her a visit said to her, 'I wish you could have seen the Zepps while you were here.	People say exultantly, 'I had a perfectly splendid view of the last Zepp!' A mother whose daughter was paying her a visit said to her, 'I wish you could have seen the Zepps while you were here.
3703_71550_000011_000004	It is such an experience.'"	It is such an experience.'"
3703_71550_000012_000000	"They have not been able to bring about the wholesale disaster Germany hoped for and when nothing serious happens there is a relieved feeling that the things are futile after all," said Coombe.	"They have not been able to bring about the wholesale disaster Germany hoped for and when nothing serious happens there is a relieved feeling that the things are futile after all," said Coombe.
3703_71550_000012_000001	"When the results are tragic they must be hushed up as far as is possible to prevent panic."	"When the results are tragic they must be hushed up as far as is possible to prevent panic."
3703_71550_000013_000000	Dowie faithfully sent him her private bulletin.	Dowie faithfully sent him her private bulletin.
3703_71550_000013_000001	Her first fears of peril had died away, but her sense of mystification had increased and was more deeply touched with awe.	Her first fears of peril had died away, but her sense of mystification had increased and was more deeply touched with awe.
3703_71550_000013_000002	She opened certain windows every night and felt that she was living in the world of supernatural things.	She opened certain windows every night and felt that she was living in the world of supernatural things.
3703_71550_000013_000003	Robin's eyes sometimes gave her a ghost of a shock when she came upon her sitting alone with her work in her idle hands.	Robin's eyes sometimes gave her a ghost of a shock when she came upon her sitting alone with her work in her idle hands.
3703_71550_000013_000004	But supported by the testimony of such realities as breakfasts, long untiring walks and unvarying blooming healthfulness, she thanked God hourly.	But supported by the testimony of such realities as breakfasts, long untiring walks and unvarying blooming healthfulness, she thanked God hourly.
3703_71550_000014_000000	"Doctor Benton says plain that he has never had such a beautiful case and one that promised so well," she wrote.	"Doctor Benton says plain that he has never had such a beautiful case and one that promised so well," she wrote.
3703_71550_000014_000001	"He says she's as strong as a young doe bounding about on the heather.	"He says she's as strong as a young doe bounding about on the heather.
3703_71550_000014_000003	He is a clever gentleman with some wonderful comforting new ideas about things, my lord.	He is a clever gentleman with some wonderful comforting new ideas about things, my lord.
3703_71550_000015_000000	Robin herself wrote to Coombe--letters whose tender-hearted comprehension of what he was doing always held the desire to surround him with the soothing quiet he had so felt when he was with her.	Robin herself wrote to Coombe-letters whose tender hearted comprehension of what he was doing always held the desire to surround him with the soothing quiet he had so felt when he was with her.
3703_71550_000015_000001	What he discovered was that she had been born of the elect,--the women who know what to say, what to let others say and what to beautifully leave unsaid.	What he discovered was that she had been born of the elect,--the women who know what to say, what to let others say and what to beautifully leave unsaid.
3703_71550_000015_000002	Her unconscious genius was quite exquisite.	Her unconscious genius was quite exquisite.
3703_71550_000016_000000	Now and then he made the night journey to Darreuch Castle and each time she met him with her frank childlike kiss he was more amazed and uplifted by her aspect.	Now and then he made the night journey to Darreuch Castle and each time she met him with her frank childlike kiss he was more amazed and uplifted by her aspect.
3703_71550_000016_000001	Their quiet talks together were wonderful things to remember.	Their quiet talks together were wonderful things to remember.
3703_71550_000016_000002	She had done much fine and dainty work which she showed him with unaffected sweetness.	She had done much fine and dainty work which she showed him with unaffected sweetness.
3703_71550_000016_000003	She told him stories of Dowie and Mademoiselle and how they had taught her to sew and embroider.	She told him stories of Dowie and Mademoiselle and how they had taught her to sew and embroider.
3703_71550_000016_000004	Once she told him the story of her first meeting with Donal--but she passed over the tragedy of their first parting.	Once she told him the story of her first meeting with Donal-but she passed over the tragedy of their first parting.
3703_71550_000017_000000	"It was too sad," she said.	"It was too sad," she said.
3703_71550_000018_000000	He noticed that she never spoke of sad and dark hours.	He noticed that she never spoke of sad and dark hours.
3703_71550_000018_000001	He was convinced that she purposely avoided them and he was profoundly glad.	He was convinced that she purposely avoided them and he was profoundly glad.
3703_71550_000019_000000	"I know," she said once, "that you do not want me to talk to you about the War."	"I know," she said once, "that you do not want me to talk to you about the War."
3703_71550_000020_000000	"Thank you for knowing it," he answered.	"Thank you for knowing it," he answered.
3703_71550_000020_000001	"I come here on a pilgrimage to a shrine where peace is.	"I come here on a pilgrimage to a shrine where peace is.
3703_71550_000020_000002	Darreuch is my shrine."	Darreuch is my shrine."
3703_71550_000022_000000	"Yes, I think it is," his look at her was deep.	"Yes, I think it is," his look at her was deep.
3703_71550_000022_000001	Suddenly but gently he laid his hand on her shoulder.	Suddenly but gently he laid his hand on her shoulder.
3703_71550_000023_000001	Blot the accursed thing out of the Universe while--you are here.	Blot the accursed thing out of the Universe while-you are here.
3703_71550_000023_000002	For you there must be no war."	For you there must be no war."
3703_71550_000024_000000	"How kind his face looked," was Robin's thought as he hesitated a second and then went on:	"How kind his face looked," was Robin's thought as he hesitated a second and then went on:
3703_71550_000026_000000	It was she who now put her hand on his arm.	It was she who now put her hand on his arm.
