2992_164100_000003_000000	SLAVES	SLAVES
2992_164100_000020_000000	"We know that the crust of the globe is 500 miles in thickness; then the inside diameter of Pellucidar must be 7,000 miles, and the superficial area 165,480,000 square miles.	"We know that the crust of the globe is five hundred miles in thickness; then the inside diameter of Pellucidar must be seven thousand miles, and the superficial area one hundred sixty five million four hundred eighty thousand square miles.
2992_164100_000020_000002	Think of it!	Think of it!
2992_164100_000020_000004	Our own world contains but 53,000,000 square miles of land, the balance of its surface being covered by water.	Our own world contains but fifty three million square miles of land, the balance of its surface being covered by water.
2992_164100_000020_000005	Just as we often compare nations by their relative land areas, so if we compare these two worlds in the same way we have the strange anomaly of a larger world within a smaller one!	Just as we often compare nations by their relative land areas, so if we compare these two worlds in the same way we have the strange anomaly of a larger world within a smaller one!
2992_164100_000022_000000	The proposition was a corker.	The proposition was a corker.
2992_164100_000024_000000	Perry and I sought him out and put the question straight to him.	Perry and I sought him out and put the question straight to him.
2992_164100_000026_000000	"They will set the thipdars upon us," he said, "and then we shall be killed; but--" he hesitated--"I would take the chance if I thought that I might possibly escape and return to my own people."	"They will set the thipdars upon us," he said, "and then we shall be killed; but-" he hesitated-"I would take the chance if I thought that I might possibly escape and return to my own people."
2992_164100_000027_000000	"Could you find your way back to your own land?" asked Perry.	"Could you find your way back to your own land?" asked Perry.
2992_164100_000028_000000	"Yes."	"Yes."
2992_164100_000029_000000	"But how," persisted Perry, "could you travel to strange country without heavenly bodies or a compass to guide you?"	"But how," persisted Perry, "could you travel to strange country without heavenly bodies or a compass to guide you?"
2992_164100_000030_000001	He seemed surprised to think that we found anything wonderful in it.	He seemed surprised to think that we found anything wonderful in it.
2992_164100_000030_000002	Perry said it must be some sort of homing instinct such as is possessed by certain breeds of earthly pigeons.	Perry said it must be some sort of homing instinct such as is possessed by certain breeds of earthly pigeons.
2992_164100_000030_000003	I didn't know, of course, but it gave me an idea.	I didn't know, of course, but it gave me an idea.
2992_164100_000031_000000	"Then Dian could have found her way directly to her own people?" I asked.	"Then Dian could have found her way directly to her own people?" I asked.
2992_164100_000033_000001	I didn't see what accident could befall a whole community in a land of perpetual daylight where the inhabitants had no fixed habits of sleep.	I didn't see what accident could befall a whole community in a land of perpetual daylight where the inhabitants had no fixed habits of sleep.
2992_164100_000034_000001	At first I thought they were dead, but later their regular breathing convinced me of my error.	At first I thought they were dead, but later their regular breathing convinced me of my error.
2992_164100_000035_000000	Hastening back to Perry where he pored over a musty pile of, to me, meaningless hieroglyphics, I explained my plan to him.	Hastening back to Perry where he pored over a musty pile of, to me, meaningless hieroglyphics, I explained my plan to him.
2992_164100_000035_000001	To my surprise he was horrified.	To my surprise he was horrified.
2992_164100_000036_000000	"It would be murder, David," he cried.	"It would be murder, David," he cried.
2992_164100_000037_000000	"Murder to kill a reptilian monster?" I asked in astonishment.	"Murder to kill a reptilian monster?" I asked in astonishment.
2992_164100_000038_000001	"Here they are the dominant race--we are the 'monsters'--the lower orders.	"Here they are the dominant race-we are the 'monsters'--the lower orders.
2992_164100_000038_000003	These terrible convulsions of nature time and time again wiped out the existing species--but for this fact some monster of the Saurozoic epoch might rule today upon our own world.	These terrible convulsions of nature time and time again wiped out the existing species-but for this fact some monster of the Saurozoic epoch might rule today upon our own world.
2992_164100_000038_000004	We see here what might well have occurred in our own history had conditions been what they have been here.	We see here what might well have occurred in our own history had conditions been what they have been here.
2992_164100_000039_000000	"Life within Pellucidar is far younger than upon the outer crust.	"Life within Pellucidar is far younger than upon the outer crust.
2992_164100_000039_000003	They look upon us as we look upon the beasts of our fields, and I learn from their written records that other races of Mahars feed upon men--they keep them in great droves, as we keep cattle.	They look upon us as we look upon the beasts of our fields, and I learn from their written records that other races of Mahars feed upon men-they keep them in great droves, as we keep cattle.
2992_164100_000039_000004	They breed them most carefully, and when they are quite fat, they kill and eat them."	They breed them most carefully, and when they are quite fat, they kill and eat them."
2992_164100_000041_000000	"What is there horrible about it, David?" the old man asked.	"What is there horrible about it, David?" the old man asked.
2992_164100_000041_000002	Why, I have come across here very learned discussions of the question as to whether gilaks, that is men, have any means of communication.	Why, I have come across here very learned discussions of the question as to whether gilaks, that is men, have any means of communication.
2992_164100_000041_000003	One writer claims that we do not even reason--that our every act is mechanical, or instinctive.	One writer claims that we do not even reason-that our every act is mechanical, or instinctive.
2992_164100_000041_000004	The dominant race of Pellucidar, David, have not yet learned that men converse among themselves, or reason.	The dominant race of Pellucidar, David, have not yet learned that men converse among themselves, or reason.
2992_164100_000041_000006	It is thus that we reason in relation to the brutes of our own world.	It is thus that we reason in relation to the brutes of our own world.
2992_164100_000041_000007	They know that the Sagoths have a spoken language, but they cannot comprehend it, or how it manifests itself, since they have no auditory apparatus.	They know that the Sagoths have a spoken language, but they cannot comprehend it, or how it manifests itself, since they have no auditory apparatus.
2992_164100_000041_000008	They believe that the motions of the lips alone convey the meaning.	They believe that the motions of the lips alone convey the meaning.
2992_164100_000041_000009	That the Sagoths can communicate with us is incomprehensible to them.	That the Sagoths can communicate with us is incomprehensible to them.
2992_164100_000042_000000	"Yes, David," he concluded, "it would entail murder to carry out your plan."	"Yes, David," he concluded, "it would entail murder to carry out your plan."
2992_164100_000043_000000	"Very well then, Perry." I replied.	"Very well then, Perry." I replied.
2992_164100_000043_000001	"I shall become a murderer."	"I shall become a murderer."
2992_164100_000045_000000	"I wonder, David," he said at length, "as you are determined to carry out your wild scheme, if we could not accomplish something of very real and lasting benefit for the human race of Pellucidar at the same time. Listen, I have learned much of a most surprising nature from these archives of the Mahars.	"I wonder, David," he said at length, "as you are determined to carry out your wild scheme, if we could not accomplish something of very real and lasting benefit for the human race of Pellucidar at the same time. Listen, I have learned much of a most surprising nature from these archives of the Mahars.
2992_164100_000046_000000	"Once the males were all-powerful, but ages ago the females, little by little, assumed the mastery.	"Once the males were all powerful, but ages ago the females, little by little, assumed the mastery.
2992_164100_000046_000003	Science took vast strides.	Science took vast strides.
2992_164100_000046_000005	Finally a certain female scientist announced the fact that she had discovered a method whereby eggs might be fertilized by chemical means after they were laid--all true reptiles, you know, are hatched from eggs.	Finally a certain female scientist announced the fact that she had discovered a method whereby eggs might be fertilized by chemical means after they were laid-all true reptiles, you know, are hatched from eggs.
2992_164100_000047_000000	"What happened?	"What happened?
2992_164100_000047_000001	Immediately the necessity for males ceased to exist--the race was no longer dependent upon them.	Immediately the necessity for males ceased to exist-the race was no longer dependent upon them.
2992_164100_000047_000002	More ages elapsed until at the present time we find a race consisting exclusively of females.	More ages elapsed until at the present time we find a race consisting exclusively of females.
2992_164100_000047_000003	But here is the point.	But here is the point.
2992_164100_000048_000000	"For two reasons they hide it away and guard it jealously.	"For two reasons they hide it away and guard it jealously.
2992_164100_000049_000001	The very thought of it fairly overpowered me.	The very thought of it fairly overpowered me.
2992_164100_000049_000002	Why, we two would be the means of placing the men of the inner world in their rightful place among created things.	Why, we two would be the means of placing the men of the inner world in their rightful place among created things.
2992_164100_000049_000003	Only the Sagoths would then stand between them and absolute supremacy, and I was not quite sure but that the Sagoths owed all their power to the greater intelligence of the Mahars--I could not believe that these gorilla-like beasts were the mental superiors of the human race of Pellucidar.	Only the Sagoths would then stand between them and absolute supremacy, and I was not quite sure but that the Sagoths owed all their power to the greater intelligence of the Mahars-I could not believe that these gorilla like beasts were the mental superiors of the human race of Pellucidar.
2992_164100_000050_000000	"Why, Perry," I exclaimed, "you and I may reclaim a whole world! Together we can lead the races of men out of the darkness of ignorance into the light of advancement and civilization.	"Why, Perry," I exclaimed, "you and I may reclaim a whole world! Together we can lead the races of men out of the darkness of ignorance into the light of advancement and civilization.
2992_164100_000050_000001	At one step we may carry them from the Age of Stone to the twentieth century.	At one step we may carry them from the Age of Stone to the twentieth century.
2992_164100_000050_000002	It's marvelous--absolutely marvelous just to think about it."	It's marvelous-absolutely marvelous just to think about it."
2992_164100_000051_000000	"David," said the old man, "I believe that God sent us here for just that purpose--it shall be my life work to teach them His word--to lead them into the light of His mercy while we are training their hearts and hands in the ways of culture and civilization."	"David," said the old man, "I believe that God sent us here for just that purpose-it shall be my life work to teach them His word-to lead them into the light of His mercy while we are training their hearts and hands in the ways of culture and civilization."
2992_164100_000052_000000	"You are right, Perry," I said, "and while you are teaching them to pray I'll be teaching them to fight, and between us we'll make a race of men that will be an honor to us both."	"You are right, Perry," I said, "and while you are teaching them to pray I'll be teaching them to fight, and between us we'll make a race of men that will be an honor to us both."
2992_164100_000053_000001	When I had outlined it to him, he seemed about as horror-struck as Perry had been; but for a different reason.	When I had outlined it to him, he seemed about as horror struck as Perry had been; but for a different reason.
