5604_26956_000000_000000	He was tempted, and bought the cheapest Greek book he could see.	He was tempted, and bought the cheapest Greek book he could see.	false	0	3	22.064232
5604_26956_000011_000004	He wished among other things to carry Romola with him, and _not_, if possible, to carry any infamy.	He wished among other things to carry Romola with him, and underscore not underscore, if possible, to carry any infamy.	false	296.18	302.14	22.323574
5604_26956_000011_000005	Success had given him a growing appetite for all the pleasures that depend on an advantageous social position, and at no moment could it look like a temptation to him, but only like a hideous alternative, to decamp under dishonour, even with a bag of diamonds, and incur the life of an adventurer.	Success had given him a growing appetite for all the pleasures that depend on an advantageous social position, and at no moment could it look like a temptation to him, but only like a hideous alternative, to decamp under dishonour, even with a bag of diamonds, and incur the life of an adventurer.	false	302.51	320.47	20.048471
5604_26956_000011_000006	It was not possible for him to make himself independent even of those Florentines who only greeted him with regard; still less was it possible for him to make himself independent of Romola.	It was not possible for him to make himself independent even of those Florentines who only greeted him with regard; still less was it possible for him to make himself independent of Romola.	true	321.05	332.05	20.30828
5604_26956_000011_000007	She was the wife of his first love--he loved her still; she belonged to that furniture of life which he shrank from parting with. He winced under her judgment, he felt uncertain how far the revulsion of her feeling towards him might go; and all that sense of power over a wife which makes a husband risk betrayals that a lover never ventures on, would not suffice to counteract Tito's uneasiness.	She was the wife of his first love-he loved her still; she belonged to that furniture of life which he shrank from parting with. He winced under her judgment, he felt uncertain how far the revulsion of her feeling towards him might go; and all that sense of power over a wife which makes a husband risk betrayals that a lover never ventures on, would not suffice to counteract Tito's uneasiness.	true	332.51	356.05	20.752161
5604_26956_000011_000008	This was the leaden weight which had been too strong for his will, and kept him from raising his head to meet her eyes.	This was the leaden weight which had been too strong for his will, and kept him from raising his head to meet her eyes.	true	356.51	363.25	21.50629
5604_26956_000011_000009	Their pure light brought too near him the prospect of a coming struggle.	Their pure light brought too near him the prospect of a coming struggle.	true	363.65	367.84	23.0332
5604_26956_000011_000010	But it was not to be helped; if they had to leave Florence, they must have money; indeed, Tito could not arrange life at all to his mind without a considerable sum of money. And that problem of arranging life to his mind had been the source of all his misdoing.	But it was not to be helped; if they had to leave Florence, they must have money; indeed, Tito could not arrange life at all to his mind without a considerable sum of money. And that problem of arranging life to his mind had been the source of all his misdoing.	false	368.24	382.93	20.491156
5604_26956_000011_000011	He would have been equal to any sacrifice that was not unpleasant.	He would have been equal to any sacrifice that was not unpleasant.	true	383.06	386.92	20.249971
5604_26956_000012_000000	The rustling magnates came and went, the bargains had been concluded, and Romola returned home; but nothing grave was said that night.	The rustling magnates came and went, the bargains had been concluded, and Romola returned home; but nothing grave was said that night.	true	387.5	395.02	20.676603
5604_26956_000012_000001	Tito was only gay and chatty, pouring forth to her, as he had not done before, stories and descriptions of what he had witnessed during the French visit.	Tito was only gay and chatty, pouring forth to her, as he had not done before, stories and descriptions of what he had witnessed during the French visit.	true	395.09	403.27	21.29646
5604_26956_000012_000002	Romola thought she discerned an effort in his liveliness, and attributing it to the consciousness in him that she had been wounded in the morning, accepted the effort as an act of penitence, inwardly aching a little at that sign of growing distance between them--that there was an offence about which neither of them dared to speak.	Romola thought she discerned an effort in his liveliness, and attributing it to the consciousness in him that she had been wounded in the morning, accepted the effort as an act of penitence, inwardly aching a little at that sign of growing distance between them-that there was an offence about which neither of them dared to speak.	false	403.82	422.62	21.262823
5604_26956_000013_000000	The next day Tito remained away from home until late at night.	The next day Tito remained away from home until late at night.	true	423.35	426.76	20.760763
5604_26956_000013_000001	It was a marked day to Romola, for Piero di Cosimo, stimulated to greater industry on her behalf by the fear that he might have been the cause of pain to her in the past week, had sent home her father's portrait.	It was a marked day to Romola, for Piero di Cosimo, stimulated to greater industry on her behalf by the fear that he might have been the cause of pain to her in the past week, had sent home her father's portrait.	true	426.77	438.94	21.03607
5604_26956_000013_000002	She had propped it against the back of his old chair, and had been looking at it for some time, when the door opened behind her, and Bernardo del Nero came in.	She had propped it against the back of his old chair, and had been looking at it for some time, when the door opened behind her, and Bernardo del Nero came in.	true	439.31	448.21	21.242506
5604_26956_000014_000000	"It is you, godfather!	"It is you, godfather!	true	448.52	450.1	21.500956
5604_26956_000014_000001	How I wish you had come sooner! it is getting a little dusk," said Romola, going towards him.	How I wish you had come sooner! it is getting a little dusk," said Romola, going towards him.	true	450.14	455.41	20.397732
5604_26956_000015_000000	"I have just looked in to tell you the good news, for I know Tito has not come yet," said Bernardo.	"I have just looked in to tell you the good news, for I know Tito has not come yet," said Bernardo.	true	455.9	460.9	19.632233
5604_26956_000015_000001	"The French king moves off to-morrow: not before it is high time.	"The French king moves off to morrow: not before it is high time.	true	461.09	464.74	21.643633
5604_26956_000015_000002	There has been another tussle between our people and his soldiers this morning.	There has been another tussle between our people and his soldiers this morning.	true	465.05	468.7	19.0733
5604_26956_000015_000003	But there's a chance now of the city getting into order once more and trade going on."	But there's a chance now of the city getting into order once more and trade going on."	true	468.83	473.11	18
5604_26956_000016_000000	"That is joyful," said Romola.	"That is joyful," said Romola.	true	473.84	475.9	19.78502
5604_26956_000016_000001	"But it is sudden, is it not?	"But it is sudden, is it not?	true	476.33	478.065	19.718472
5604_26956_000016_000002	Tito seemed to think yesterday that there was little prospect of the king's going soon."	Tito seemed to think yesterday that there was little prospect of the king's going soon."	true	478.065	482.56	20.320295
5604_26956_000017_000000	"He has been well barked at, that's the reason," said Bernardo, smiling. "His own generals opened their throats pretty well, and at last our Signoria sent the mastiff of the city, Fra Girolamo.	"He has been well barked at, that's the reason," said Bernardo, smiling. "His own generals opened their throats pretty well, and at last our Signoria sent the mastiff of the city, Fra Girolamo.	true	482.72	493.48	19.3142
5604_26956_000017_000001	The Cristianissimo was frightened at that thunder, and has given the order to move.	The Cristianissimo was frightened at that thunder, and has given the order to move.	true	493.76	498.43	20.885096
5604_26956_000017_000002	I'm afraid there'll be small agreement among us when he's gone, but, at any rate, all parties are agreed in being glad not to have Florence stifled with soldiery any longer, and the Frate has barked this time to some purpose.	I'm afraid there'll be small agreement among us when he's gone, but, at any rate, all parties are agreed in being glad not to have Florence stifled with soldiery any longer, and the Frate has barked this time to some purpose.	false	498.65	510.63	18
5604_26956_000017_000003	Ah, what is this?" he added, as Romola, clasping him by the arm, led him in front of the picture.	Ah, what is this?" he added, as Romola, clasping him by the arm, led him in front of the picture.	false	510.63	516.195	18.716553
5604_26956_000017_000004	"Let us see."	"Let us see."	true	516.195	517.21	19.802153
5604_26956_000018_000000	He began to unwind his long scarf while she placed a seat for him.	He began to unwind his long scarf while she placed a seat for him.	true	517.82	522.01	18.888947
5604_26956_000019_000000	"Don't you want your spectacles, godfather?" said Romola, in anxiety that he should see just what she saw.	"Don't you want your spectacles, godfather?" said Romola, in anxiety that he should see just what she saw.	true	522.14	528.31	22
5604_26956_000020_000000	"No, child, no," said Bernardo, uncovering his grey head, as he seated himself with firm erectness.	"No, child, no," said Bernardo, uncovering his grey head, as he seated himself with firm erectness.	true	529.1	535.09	20.279469
5604_26956_000020_000001	"For seeing at this distance, my old eyes are perhaps better than your young ones.	"For seeing at this distance, my old eyes are perhaps better than your young ones.	true	535.19	539.26	19
5604_26956_000020_000002	Old men's eyes are like old men's memories; they are strongest for things a long way off."	Old men's eyes are like old men's memories; they are strongest for things a long way off."	true	539.54	544.6	20.63188
5604_26956_000021_000000	"It is better than having no portrait," said Romola, apologetically, after Bernardo had been silent a little while.	"It is better than having no portrait," said Romola, apologetically, after Bernardo had been silent a little while.	true	545.15	551.11	19
5604_26956_000021_000001	"It is less like him now than the image I have in my mind, but then that might fade with the years." She rested her arm on the old man's shoulder as she spoke, drawn towards him strongly by their common interest in the dead.	"It is less like him now than the image I have in my mind, but then that might fade with the years." She rested her arm on the old man's shoulder as she spoke, drawn towards him strongly by their common interest in the dead.	true	551.54	564.04	19.951313
5604_26956_000022_000000	"I don't know," said Bernardo.	"I don't know," said Bernardo.	true	564.41	566.205	20.799786
5604_26956_000022_000001	"I almost think I see Bardo as he was when he was young, better than that picture shows him to me as he was when he was old.	"I almost think I see Bardo as he was when he was young, better than that picture shows him to me as he was when he was old.	true	566.205	572.74	20.501324
5604_26956_000022_000002	Your father had a great deal of fire in his eyes when he was young.	Your father had a great deal of fire in his eyes when he was young.	true	572.93	576.49	20.61775
5604_26956_000022_000003	It was what I could never understand, that he, with his fiery spirit, which seemed much more impatient than mine, could hang over the books and live with shadows all his life.	It was what I could never understand, that he, with his fiery spirit, which seemed much more impatient than mine, could hang over the books and live with shadows all his life.	true	576.62	587.32	21.877571
5604_26956_000022_000004	However, he had put his heart into that."	However, he had put his heart into that."	true	587.42	589.75	23.198046
5604_26956_000023_000000	Bernardo gave a slight shrug as he spoke the last words, but Romola discerned in his voice a feeling that accorded with her own.	Bernardo gave a slight shrug as he spoke the last words, but Romola discerned in his voice a feeling that accorded with her own.	true	590.36	597.4	19.648266
5604_26956_000024_000000	"And he was disappointed to the last," she said, involuntarily.	"And he was disappointed to the last," she said, involuntarily.	true	598.13	602.02	21.932602
5604_26956_000024_000001	But immediately fearing lest her words should be taken to imply an accusation against Tito, she went on almost hurriedly, "If we could only see his longest, dearest wish fulfilled just to his mind!"	But immediately fearing lest her words should be taken to imply an accusation against Tito, she went on almost hurriedly, "If we could only see his longest, dearest wish fulfilled just to his mind!"	true	602.42	613.42	19.506907
5604_26956_000025_000000	"Well, so we may," said Bernardo, kindly, rising and putting on his cap. "The times are cloudy now, but fish are caught by waiting.	"Well, so we may," said Bernardo, kindly, rising and putting on his cap. "The times are cloudy now, but fish are caught by waiting.	true	613.79	621.03	18.38094
5604_26956_000025_000001	Who knows? When the wheel has turned often enough, I may be Gonfaloniere yet before I die; and no creditor can touch these things." He looked round as he spoke.	Who knows? When the wheel has turned often enough, I may be Gonfaloniere yet before I die; and no creditor can touch these things." He looked round as he spoke.	false	621.03	631.545	22.006815
5604_26956_000025_000002	Then, turning to her, and patting her cheek, said, "And you need not be afraid of my dying; my ghost will claim nothing.	Then, turning to her, and patting her cheek, said, "And you need not be afraid of my dying; my ghost will claim nothing.	true	631.545	637.96	20.37967
5604_26956_000025_000003	I've taken care of that in my will."	I've taken care of that in my will."	true	638.06	640.21	20.52241
5604_26956_000026_000000	Romola seized the hand that was against her cheek, and put it to her lips in silence.	Romola seized the hand that was against her cheek, and put it to her lips in silence.	true	640.73	645.25	18.230547
5604_26956_000027_000000	"Haven't you been scolding your husband for keeping away from home so much lately?	"Haven't you been scolding your husband for keeping away from home so much lately?	true	645.53	649.395	18
5604_26956_000027_000001	I see him everywhere but here," said Bernardo, willing to change the subject.	I see him everywhere but here," said Bernardo, willing to change the subject.	true	649.395	653.47	20.634966
5604_26956_000028_000000	She felt the flush spread over her neck and face as she said, "He has been very much wanted; you know he speaks so well.	She felt the flush spread over her neck and face as she said, "He has been very much wanted; you know he speaks so well.	true	654.02	661.245	21.417921
5604_26956_000028_000001	I am glad to know that his value is understood."	I am glad to know that his value is understood."	true	661.245	663.97	20.109367
5604_26956_000029_000000	"You are contented then, Madonna Orgogliosa?" said Bernardo, smiling, as he moved to the door.	"You are contented then, Madonna Orgogliosa?" said Bernardo, smiling, as he moved to the door.	true	664.25	669.19	16
5604_26956_000030_000000	"Assuredly."	"Assuredly."	true	669.23	670.51	24.152931
5604_26956_000031_000000	Poor Romola!	Poor Romola!	true	670.91	672.09	23.79293
5604_26956_000031_000001	There was one thing that would have made the pang of disappointment in her husband harder to bear; it was, that any one should know he gave her cause for disappointment.	There was one thing that would have made the pang of disappointment in her husband harder to bear; it was, that any one should know he gave her cause for disappointment.	true	672.09	680.89	20.474125
5604_26956_000031_000002	This might be a woman's weakness, but it is closely allied to a woman's nobleness.	This might be a woman's weakness, but it is closely allied to a woman's nobleness.	true	681.08	685.6	21.277672
5604_26956_000031_000003	She who willingly lifts up the veil of her married life has profaned it from a sanctuary into a vulgar place.	She who willingly lifts up the veil of her married life has profaned it from a sanctuary into a vulgar place.	false	685.82	699.75	17.333424
