3852_175448_000000_000000	APPENDIX A.	APPENDIX a	false	0.39	22.245	20.022053
3852_175448_000004_000003	Of course, such a trip represents travelling of essentially the same kind as travelling by railroad from Atlanta to Calgary or from Madrid to Moscow.	Of course, such a trip represents travelling of essentially the same kind as travelling by railroad from Atlanta to Calgary or from Madrid to Moscow.	true	154.4	164.17	19.616707
3852_175448_000005_000000	Next there are the travellers who visit the long-settled districts and colonial cities of the interior, travelling over land or river highways which have been traversed for centuries but which are still primitive as regards the inns and the modes of conveyance.	Next there are the travellers who visit the long settled districts and colonial cities of the interior, travelling over land or river highways which have been traversed for centuries but which are still primitive as regards the inns and the modes of conveyance.	true	164.39	179.68	19.98379
3852_175448_000005_000001	Such travelling is difficult in the sense that travelling in parts of Spain or southern Italy or the Balkan states is difficult.	Such travelling is difficult in the sense that travelling in parts of Spain or southern Italy or the Balkan states is difficult.	true	180.08	187.575	21.42652
3852_175448_000005_000002	Men and women who have a taste for travel in out-of-way places and who, therefore, do not mind slight discomforts and inconveniences have the chance themselves to enjoy, and to make others profit by, travels of this kind in South America.	Men and women who have a taste for travel in out of way places and who, therefore, do not mind slight discomforts and inconveniences have the chance themselves to enjoy, and to make others profit by, travels of this kind in South America.	true	187.575	202.63	19
3852_175448_000005_000003	In economic, social, and political matters the studies and observations of these travellers are essential in order to supplement, and sometimes to correct, those of travellers of the first category; for it is not safe to generalize overmuch about any country merely from a visit to its capital or its chief seaport.	In economic, social, and political matters the studies and observations of these travellers are essential in order to supplement, and sometimes to correct, those of travellers of the first category; for it is not safe to generalize overmuch about any country merely from a visit to its capital or its chief seaport.	true	203.33	223.6	21.279835
3852_175448_000005_000004	These travellers of the second category can give us most interesting and valuable information about quaint little belated cities; about backward country folk, kindly or the reverse, who show a mixture of the ideas of savagery with the ideas of an ancient peasantry; and about rough old highways of travel which in comfort do not differ much from those of mediaeval Europe.	These travellers of the second category can give us most interesting and valuable information about quaint little belated cities; about backward country folk, kindly or the reverse, who show a mixture of the ideas of savagery with the ideas of an ancient peasantry; and about rough old highways of travel which in comfort do not differ much from those of mediaeval Europe.	true	224.12	247.36	21.200918
3852_175448_000005_000005	The travellers who go up or down the highway rivers that have been travelled for from one to four hundred years--rivers like the Paraguay and Parana, the Amazon, the Tapajos, the Madeira, the lower Orinoco--come in this category.	The travellers who go up or down the highway rivers that have been travelled for from one to four hundred years-rivers like the Paraguay and Parana, the Amazon, the Tapajos, the Madeira, the lower Orinoco-come in this category.	false	248.63	264.13	20.409502
3852_175448_000005_000006	They can add little to our geographical knowledge; but if they are competent zoologists or archaeologists, especially if they live or sojourn long in a locality, their work may be invaluable from the scientific standpoint.	They can add little to our geographical knowledge; but if they are competent zoologists or archaeologists, especially if they live or sojourn long in a locality, their work may be invaluable from the scientific standpoint.	true	264.56	278.98	22.571747
3852_175448_000005_000007	The work of the archaeologists among the immeasurably ancient ruins of the low-land forests and the Andean plateaux is of this kind.	The work of the archaeologists among the immeasurably ancient ruins of the low land forests and the Andean plateaux is of this kind.	true	279.83	288.58	18
3852_175448_000005_000008	What Agassiz did for the fishes of the Amazon and what Hudson did for the birds of the Argentine are other instances of the work that can thus be done.	What Agassiz did for the fishes of the Amazon and what Hudson did for the birds of the Argentine are other instances of the work that can thus be done.	false	288.89	298.27	19.766613
3852_175448_000005_000009	Burton's writings on the interior of Brazil offer an excellent instance of the value of a sojourn or trip of this type, even without any especial scientific object.	Burton's writings on the interior of Brazil offer an excellent instance of the value of a sojourn or trip of this type, even without any especial scientific object.	false	298.79	310.12	18.489702
3852_175448_000006_000000	Of course travellers of this kind need to remember that their experiences in themselves do not qualify them to speak as wilderness explorers.	Of course travellers of this kind need to remember that their experiences in themselves do not qualify them to speak as wilderness explorers.	true	310.55	319.75	20
3852_175448_000006_000001	Exactly as a good archaeologist may not be competent to speak of current social or political problems, so a man who has done capital work as a tourist observer in little-visited cities and along remote highways must beware of regarding himself as being thereby rendered fit for genuine wilderness work or competent to pass judgment on the men who do such work.	Exactly as a good archaeologist may not be competent to speak of current social or political problems, so a man who has done capital work as a tourist observer in little visited cities and along remote highways must beware of regarding himself as being thereby rendered fit for genuine wilderness work or competent to pass judgment on the men who do such work.	true	319.82	343.66	19.434439
3852_175448_000006_000002	To cross the Andes on mule-back along the regular routes is a feat comparable to the feats of the energetic tourists who by thousands traverse the mule trails in out-of-the-way nooks of Switzerland.	To cross the Andes on mule back along the regular routes is a feat comparable to the feats of the energetic tourists who by thousands traverse the mule trails in out of the way nooks of Switzerland.	true	344.18	356.47	20.688509
3852_175448_000006_000003	An ordinary trip on the highway portions of the Amazon, Paraguay, or Orinoco in itself no more qualifies a man to speak of or to take part in exploring unknown South American rivers than a trip on the lower Saint Lawrence qualifies a man to regard himself as an expert in a canoe voyage across Labrador or the Barren Grounds west of Hudson Bay.	An ordinary trip on the highway portions of the Amazon, Paraguay, or Orinoco in itself no more qualifies a man to speak of or to take part in exploring unknown South American rivers than a trip on the lower Saint Lawrence qualifies a man to regard himself as an expert in a canoe voyage across Labrador or the Barren Grounds west of Hudson Bay.	true	357.17	379.93	19
3852_175448_000007_000000	A hundred years ago, even seventy or eighty years ago, before the age of steamboats and railroads, it was more difficult than at present to define the limits between this class and the next; and, moreover, in defining these limits I emphatically disclaim any intention of thereby attempting to establish a single standard of value for books of travel.	A hundred years ago, even seventy or eighty years ago, before the age of steamboats and railroads, it was more difficult than at present to define the limits between this class and the next; and, moreover, in defining these limits I emphatically disclaim any intention of thereby attempting to establish a single standard of value for books of travel.	true	381.38	403.87	20.04236
3852_175448_000007_000001	Darwin's "Voyage of the Beagle" is to me the best book of the kind ever written; it is one of those classics which decline to go into artificial categories, and which stand by themselves; and yet Darwin, with his usual modesty, spoke of it as in effect a yachting voyage.	Darwin's "Voyage of the Beagle" is to me the best book of the kind ever written; it is one of those classics which decline to go into artificial categories, and which stand by themselves; and yet Darwin, with his usual modesty, spoke of it as in effect a yachting voyage.	true	404.27	422.08	21.118324
3852_175448_000007_000002	Humboldt's work had a profound effect on the thought of the civilized world; his trip was one of adventure and danger; and yet it can hardly be called exploration proper.	Humboldt's work had a profound effect on the thought of the civilized world; his trip was one of adventure and danger; and yet it can hardly be called exploration proper.	true	422.69	433.27	21.128294
3852_175448_000007_000003	He visited places which had been settled and inhabited for centuries and traversed places which had been travelled by civilized men for years before he followed in their footsteps.	He visited places which had been settled and inhabited for centuries and traversed places which had been travelled by civilized men for years before he followed in their footsteps.	true	433.58	443.71	20
3852_175448_000007_000004	But these places were in Spanish colonies, and access to them had been forbidden by the mischievous and intolerant tyranny-- ecclesiastical, political, and economic--which then rendered Spain the most backward of European nations; and Humboldt was the first scientific man of intellectual independence who had permission to visit them.	But these places were in Spanish colonies, and access to them had been forbidden by the mischievous and intolerant tyranny- ecclesiastical, political, and economic-which then rendered Spain the most backward of European nations; and Humboldt was the first scientific man of intellectual independence who had permission to visit them.	true	444.95	465.25	20.387712
3852_175448_000007_000005	To this day many of his scientific observations are of real value.	To this day many of his scientific observations are of real value.	true	466.16	470.59	16
3852_175448_000007_000006	Bates came to the Amazon just before the era of Amazonian steamboats.	Bates came to the Amazon just before the era of Amazonian steamboats.	true	470.99	475.66	19
3852_175448_000007_000007	He never went off the native routes of ordinary travel. But he was a devoted and able naturalist.	He never went off the native routes of ordinary travel. But he was a devoted and able naturalist.	true	475.67	481.75	20.138924
3852_175448_000007_000008	He lived an exceedingly isolated, primitive, and laborious life for eleven years.	He lived an exceedingly isolated, primitive, and laborious life for eleven years.	true	481.76	487.03	18
3852_175448_000007_000009	Now, half a century after it was written, his "Naturalist on the Amazon" is as interesting and valuable as it ever was, and no book since written has in any way supplanted it.	Now, half a century after it was written, his "Naturalist on the Amazon" is as interesting and valuable as it ever was, and no book since written has in any way supplanted it.	true	487.37	499.15	18.237776
3852_175448_000008_000000	Travel of the third category includes the work of the true wilderness explorers who add to our sum of geographical knowledge and of the scientific men who, following their several bents, also work in the untrodden wilds.	Travel of the third category includes the work of the true wilderness explorers who add to our sum of geographical knowledge and of the scientific men who, following their several bents, also work in the untrodden wilds.	true	500	514.09	20.973526
3852_175448_000008_000001	Colonel Rondon and his associates have done much in the geographical exploration of unknown country, and Cherrie and Miller have penetrated and lived for months and years in the wastes, on their own resources, as incidents to their mammalogical and ornithological work.	Colonel Rondon and his associates have done much in the geographical exploration of unknown country, and Cherrie and Miller have penetrated and lived for months and years in the wastes, on their own resources, as incidents to their mammalogical and ornithological work.	true	514.49	531.19	19
3852_175448_000008_000002	Professor Farrabee, the anthropologist, is a capital example of the man who does this hard and valuable type of work.	Professor Farrabee, the anthropologist, is a capital example of the man who does this hard and valuable type of work.	false	531.5	539.14	19.336655
3852_175448_000009_000000	An immense amount of this true wilderness work, geographical and zoological, remains to be done in South America.	An immense amount of this true wilderness work, geographical and zoological, remains to be done in South America.	true	539.57	546.82	19.895878
3852_175448_000009_000001	It can be accomplished with reasonable thoroughness only by the efforts of very many different workers, each in his own special field.	It can be accomplished with reasonable thoroughness only by the efforts of very many different workers, each in his own special field.	true	547.1	555.01	20.734268
3852_175448_000009_000002	It is desirable that here and there a part of the work should be done in outline by such a geographic and zoological reconnaissance as ours; we would, for example, be very grateful for such work in portions of the interior of the Guianas, on the headwaters of the Xingu, and here and there along the eastern base of the Andes.	It is desirable that here and there a part of the work should be done in outline by such a geographic and zoological reconnaissance as ours; we would, for example, be very grateful for such work in portions of the interior of the Guianas, on the headwaters of the Xingu, and here and there along the eastern base of the Andes.	true	555.32	576.97	19.185282
3852_175448_000010_000000	But as a rule the work must be specialized; and in its final shape it must be specialized everywhere.	But as a rule the work must be specialized; and in its final shape it must be specialized everywhere.	true	577.76	584.38	21.023134
3852_175448_000010_000001	The first geographical explorers of the untrodden wilderness, the first wanderers who penetrate the wastes where they are confronted with starvation, disease, and danger and death in every from, cannot take with them the elaborate equipment necessary in order to do the thorough scientific work demanded by modern scientific requirements.	The first geographical explorers of the untrodden wilderness, the first wanderers who penetrate the wastes where they are confronted with starvation, disease, and danger and death in every from, cannot take with them the elaborate equipment necessary in order to do the thorough scientific work demanded by modern scientific requirements.	false	584.69	604.87	20
3852_175448_000010_000002	This is true even of exploration done along the courses of unknown rivers; it is more true of the exploration, which must in South America become increasingly necessary, done across country, away from the rivers.	This is true even of exploration done along the courses of unknown rivers; it is more true of the exploration, which must in South America become increasingly necessary, done across country, away from the rivers.	true	605.48	619.69	21.177645
3852_175448_000011_000000	The scientific work proper of these early explorers must be of a somewhat preliminary nature; in other words the most difficult and therefore ordinarily the most important pieces of first-hand exploration are precisely those where the scientific work of the accompanying cartographer, geologist, botanist, and zoologist must be furthest removed from finality.	The scientific work proper of these early explorers must be of a somewhat preliminary nature; in other words the most difficult and therefore ordinarily the most important pieces of first-hand exploration are precisely those where the scientific work of the accompanying cartographer, geologist, botanist, and zoologist must be furthest removed from finality.	true	620.66	643.99	21.943098
3852_175448_000011_000001	The zoologist who works to most advantage in the wilderness must take his time, and therefore he must normally follow in the footsteps of, and not accompany, the first explorers. The man who wishes to do the best scientific work in the wilderness must not try to combine incompatible types of work nor to cover too much ground in too short a time.	The zoologist who works to most advantage in the wilderness must take his time, and therefore he must normally follow in the footsteps of, and not accompany, the first explorers. The man who wishes to do the best scientific work in the wilderness must not try to combine incompatible types of work nor to cover too much ground in too short a time.	true	644.84	666.975	21.350645
3852_175448_000012_000000	There is no better example of the kind of zoologist who does first- class field-work in the wilderness than John D. Haseman, who spent from 1907 to 1910 in painstaking and thorough scientific investigation over a large extent of South American territory hitherto only partially known or quite unexplored.	There is no better example of the kind of zoologist who does first class field work in the wilderness than john d Haseman, who spent from nineteen o seven to nineteen ten in painstaking and thorough scientific investigation over a large extent of South American territory hitherto only partially known or quite unexplored.	true	666.975	687.735	21.796436
3852_175448_000012_000001	Haseman's primary object was to study the characteristics and distribution of South American fishes, but as a matter of fact he studied at first hand many other more or less kindred subjects, as may be seen in his remarks on the Indians and in his excellent pamphlet on "Some Factors of Geographical Distribution in South America."	Haseman's primary object was to study the characteristics and distribution of South American fishes, but as a matter of fact he studied at first hand many other more or less kindred subjects, as may be seen in his remarks on the Indians and in his excellent pamphlet on "Some Factors of Geographical Distribution in South America."	true	687.735	709.9	21.370136
3852_175448_000013_000000	Haseman made his long journey with a very slender equipment, his extraordinarily successful field-work being due to his bodily health and vigor and his resourcefulness, self-reliance, and resolution.	Haseman made his long journey with a very slender equipment, his extraordinarily successful field work being due to his bodily health and vigor and his resourcefulness, self reliance, and resolution.	true	710.24	723.04	20
3852_175448_000013_000001	His writings are rendered valuable by his accuracy and common sense.	His writings are rendered valuable by his accuracy and common sense.	true	723.32	727.48	17
3852_175448_000013_000002	The need of the former of these two attributes will be appreciated by whoever has studied the really scandalous fictions which have been published as genuine by some modern "explorers" and adventurers in South America; and the need of the latter by whoever has studied some of the wild theories propounded in the name of science concerning the history of life on the South American continent.	The need of the former of these two attributes will be appreciated by whoever has studied the really scandalous fictions which have been published as genuine by some modern "explorers" and adventurers in South America; and the need of the latter by whoever has studied some of the wild theories propounded in the name of science concerning the history of life on the South American continent.	true	727.97	751.27	19.523146
3852_175448_000013_000003	There is, however, one serious criticism to be made on Haseman: the extreme obscurity of his style--an obscurity mixed with occasional bits of scientific pedantry, which makes it difficult to tell whether or not on some points his thought is obscure also.	There is, however, one serious criticism to be made on Haseman: the extreme obscurity of his style-an obscurity mixed with occasional bits of scientific pedantry, which makes it difficult to tell whether or not on some points his thought is obscure also.	true	751.82	768.52	21.195198
3852_175448_000013_000004	Modern scientists, like modern historians and, above all, scientific and historical educators, should ever keep in mind that clearness of speech and writing is essential to clearness of thought and that a simple, clear, and, if possible, vivid style is vital to the production of the best work in either science or history.	Modern scientists, like modern historians and, above all, scientific and historical educators, should ever keep in mind that clearness of speech and writing is essential to clearness of thought and that a simple, clear, and, if possible, vivid style is vital to the production of the best work in either science or history.	true	769.07	790.21	21.830715
3852_175448_000013_000005	Darwin and Huxley are classics, and they would not have been if they had not written good English.	Darwin and Huxley are classics, and they would not have been if they had not written good English.	true	790.97	797.44	18.786674
3852_175448_000013_000006	The thought is essential, but ability to give it clear expression is only less essential.	The thought is essential, but ability to give it clear expression is only less essential.	true	797.69	803.23	22.198524
3852_175448_000013_000007	Ability to write well, if the writer has nothing to write about, entitles him to mere derision.	Ability to write well, if the writer has nothing to write about, entitles him to mere derision.	true	803.54	809.23	22.548405
3852_175448_000013_000008	But the greatest thought is robbed of an immense proportion of its value if expressed in a mean or obscure manner.	But the greatest thought is robbed of an immense proportion of its value if expressed in a mean or obscure manner.	true	809.57	816.225	19
3852_175448_000013_000009	Mr. Haseman has such excellent thought that it is a pity to make it a work of irritating labor to find out just what the thought is.	mr Haseman has such excellent thought that it is a pity to make it a work of irritating labor to find out just what the thought is.	true	816.225	824.26	18
3852_175448_000013_000010	Surely, if he will take as much pains with his writing as he has with the far more difficult business of exploring and collecting, he will become able to express his thought clearly and forcefully.	Surely, if he will take as much pains with his writing as he has with the far more difficult business of exploring and collecting, he will become able to express his thought clearly and forcefully.	true	824.45	835.9	21
3852_175448_000013_000011	At least he can, if he chooses, go over his sentences until he is reasonably sure that they can be parsed.	At least he can, if he chooses, go over his sentences until he is reasonably sure that they can be parsed.	true	836.33	842.98	17.502111
3852_175448_000013_000012	He can take pains to see that his whole thought is expressed, instead of leaving vacancies which must be filled by the puzzled and groping reader.	He can take pains to see that his whole thought is expressed, instead of leaving vacancies which must be filled by the puzzled and groping reader.	true	843.29	851.715	23
3852_175448_000013_000013	His own views and his quotations from the views of others about the static and dynamic theories of distribution are examples of an important principle so imperfectly expressed as to make us doubtful whether it is perfectly apprehended by the writer.	His own views and his quotations from the views of others about the static and dynamic theories of distribution are examples of an important principle so imperfectly expressed as to make us doubtful whether it is perfectly apprehended by the writer.	true	851.715	867.79	20
3852_175448_000013_000014	He can avoid the use of those pedantic terms which are really nothing but offensive and, fortunately, ephemeral scientific slang.	He can avoid the use of those pedantic terms which are really nothing but offensive and, fortunately, ephemeral scientific slang.	false	868.28	876.64	21.577398
3852_175448_000013_000015	There has been, for instance, a recent vogue for the extensive misuse, usually tautological misuse, of the word "complexus"--an excellent word if used rarely and for definite purposes.	There has been, for instance, a recent vogue for the extensive misuse, usually tautological misuse, of the word "complexus"--an excellent word if used rarely and for definite purposes.	false	877.49	891.25	21.631645
3852_175448_000013_000016	Mr. Haseman drags it in continually when its use is either pointless and redundant or else serves purely to darken wisdom. He speaks of the "Antillean complex" when he means the Antilles, of the "organic complex" instead of the characteristic or bodily characteristics of an animal or species, and of the "environmental complex" when he means nothing whatever but the environment.	mr Haseman drags it in continually when its use is either pointless and redundant or else serves purely to darken wisdom. He speaks of the "Antillean complex" when he means the Antilles, of the "organic complex" instead of the characteristic or bodily characteristics of an animal or species, and of the "environmental complex" when he means nothing whatever but the environment.	true	891.71	917.5	22.4593
3852_175448_000013_000017	In short, Mr. Haseman and those whose bad example he in this instance follows use "complexus" in much the same spirit as that displayed by the famous old lady who derived religious--instead of scientific-- consolation from the use of "the blessed word Mesopotamia."	In short, mr Haseman and those whose bad example he in this instance follows use "complexus" in much the same spirit as that displayed by the famous old lady who derived religious-instead of scientific- consolation from the use of "the blessed word Mesopotamia."	false	917.93	937.69	19.92475
3852_175448_000014_000000	The reason that it is worth while to enter this protest against Mr. Haseman's style is because his work is of such real and marked value. The pamphlet on the distribution of South American species shows that to exceptional ability as a field worker he adds a rare power to draw, with both caution and originality, the necessary general conclusions from the results of his own observations and from the recorded studies of other men; and there is nothing more needed at the present moment among our scientific men than the development of a school of men who, while industrious and minute observers and collectors and cautious generalizers, yet do not permit the faculty of wise generalization to be atrophied by excessive devotion to labyrinthine detail.	The reason that it is worth while to enter this protest against mr Haseman's style is because his work is of such real and marked value. The pamphlet on the distribution of South American species shows that to exceptional ability as a field worker he adds a rare power to draw, with both caution and originality, the necessary general conclusions from the results of his own observations and from the recorded studies of other men; and there is nothing more needed at the present moment among our scientific men than the development of a school of men who, while industrious and minute observers and collectors and cautious generalizers, yet do not permit the faculty of wise generalization to be atrophied by excessive devotion to labyrinthine detail.	false	937.7	987.705	21
3852_175448_000015_000000	Haseman upholds with strong reasoning the theory that since the appearance of all but the lowest forms of life on this globe there have always been three great continental masses, sometimes solid sometimes broken, extending southward from the northern hemisphere, and from time to time connected in the north, but not in the middle regions or the south since the carboniferous epoch.	Haseman upholds with strong reasoning the theory that since the appearance of all but the lowest forms of life on this globe there have always been three great continental masses, sometimes solid sometimes broken, extending southward from the northern hemisphere, and from time to time connected in the north, but not in the middle regions or the south since the carboniferous epoch.	false	987.705	1012.34	21.099497
3852_175448_000015_000001	He holds that life has been intermittently distributed southward along these continental masses when there were no breaks in their southward connection, and intermittently exchanged between them when they were connected in the north; and he also upholds the view that from a common ancestral form the same species has been often developed in entirely disconnected localities when in these localities the conditions of environment were the same.	He holds that life has been intermittently distributed southward along these continental masses when there were no breaks in their southward connection, and intermittently exchanged between them when they were connected in the north; and he also upholds the view that from a common ancestral form the same species has been often developed in entirely disconnected localities when in these localities the conditions of environment were the same.	true	1012.34	1040.62	20
3852_175448_000016_000000	The opposite view is that there have been frequent connections between the great land masses, alike in the tropics, in the south temperate zone, and in the Antarctic region.	The opposite view is that there have been frequent connections between the great land masses, alike in the tropics, in the south temperate zone, and in the Antarctic region.	true	1040.75	1051.18	20
3852_175448_000016_000001	The upholders of this theory base it almost exclusively on the distribution of living and fossil forms of life; that is, it is based almost exclusively on biological and not geological considerations.	The upholders of this theory base it almost exclusively on the distribution of living and fossil forms of life; that is, it is based almost exclusively on biological and not geological considerations.	true	1051.55	1064.73	19.171785
3852_175448_000016_000002	Unquestionably, the distribution of many forms of life, past and present, offers problems which with our present paleontological knowledge we are wholly unable to solve.	Unquestionably, the distribution of many forms of life, past and present, offers problems which with our present paleontological knowledge we are wholly unable to solve.	true	1064.73	1076.2	21.395838
3852_175448_000016_000003	If we consider only the biological facts concerning some one group of animals it is not only easy but inevitable to conclude that its distribution must be accounted for by the existence of some former direct land bridge extending, for instance, between Patagonia and Australia, or between Brazil and South Africa, or between the West Indies and the Mediterranean, or between a part of the Andean region and northeastern Asia.	If we consider only the biological facts concerning some one group of animals it is not only easy but inevitable to conclude that its distribution must be accounted for by the existence of some former direct land bridge extending, for instance, between Patagonia and Australia, or between Brazil and South Africa, or between the West Indies and the Mediterranean, or between a part of the Andean region and northeastern Asia.	true	1076.48	1106.08	21.529037
3852_175448_000016_000004	The trouble is that as more groups of animals are studied from the standpoint of this hypothesis the number of such land bridges demanded to account for the existing facts of animal distribution is constantly and indefinitely extended.	The trouble is that as more groups of animals are studied from the standpoint of this hypothesis the number of such land bridges demanded to account for the existing facts of animal distribution is constantly and indefinitely extended.	true	1106.54	1121.92	21
3852_175448_000016_000005	A recent book by one of the most learned advocates of this hypothesis calls for at least ten such land bridges between South America and all the other continents, present and past, of the world since a period geologically not very remote.	A recent book by one of the most learned advocates of this hypothesis calls for at least ten such land bridges between South America and all the other continents, present and past, of the world since a period geologically not very remote.	true	1121.92	1138.39	21.011656
3852_175448_000016_000006	These land bridges, moreover, must, many of them, have been literally bridges; long, narrow tongues of land thrust in every direction across the broad oceans.	These land bridges, moreover, must, many of them, have been literally bridges; long, narrow tongues of land thrust in every direction across the broad oceans.	true	1138.82	1149.25	21.001043
3852_175448_000016_000007	According to this view the continental land masses have been in a fairly fluid condition of instability.	According to this view the continental land masses have been in a fairly fluid condition of instability.	true	1149.83	1155.88	18
3852_175448_000016_000008	By parity of reasoning, the land bridges could be made a hundred instead of merely ten in number.	By parity of reasoning, the land bridges could be made a hundred instead of merely ten in number.	true	1156.34	1162.24	21
3852_175448_000016_000009	The facts of distribution are in many cases inexplicable with our present knowledge; yet if the existence of widely separated but closely allied forms is habitually to be explained in accordance with the views of the extremists of this school we could, from the exclusive study of certain groups of animals, conclude that at different periods the United States and almost every other portion of the earth were connected by land and severed from all other regions by water--and, from the study of certain other groups of animals, arrive at directly opposite and incompatible conclusions.	The facts of distribution are in many cases inexplicable with our present knowledge; yet if the existence of widely separated but closely allied forms is habitually to be explained in accordance with the views of the extremists of this school we could, from the exclusive study of certain groups of animals, conclude that at different periods the United States and almost every other portion of the earth were connected by land and severed from all other regions by water-and, from the study of certain other groups of animals, arrive at directly opposite and incompatible conclusions.	false	1162.7	1202.89	21.412191
3852_175448_000017_000000	The most brilliant and unsafe exponent of this school was Ameghino, who possessed and abused two gifts, both essential to the highest type of scientist, and both mischievous unless this scientist possess a rare and accurate habit of thought joined to industry and mastery of detail:--namely, the gift of clear and interesting writing, and the gift of generalization.	The most brilliant and unsafe exponent of this school was Ameghino, who possessed and abused two gifts, both essential to the highest type of scientist, and both mischievous unless this scientist possess a rare and accurate habit of thought joined to industry and mastery of detail:--namely, the gift of clear and interesting writing, and the gift of generalization.	false	1203.89	1229.02	20.473537
3852_175448_000017_000001	Ameghino rendered marked services to paleontology.	Ameghino rendered marked services to paleontology.	true	1229.45	1233.04	18
3852_175448_000017_000002	But he generalized with complete recklessness from the slenderest data; and even these data he often completely misunderstood or misinterpreted.	But he generalized with complete recklessness from the slenderest data; and even these data he often completely misunderstood or misinterpreted.	true	1233.08	1242.57	21
3852_175448_000017_000003	His favorite thesis included the origin of mammalian life and of man himself in southernmost South America, with, as incidents, the belief that the mammalian-bearing strata of South America were of much greater age than the strata with corresponding remains elsewhere; that in South America various species and genera of men existed in tertiary times, some of them at least as advanced as fairly well advanced modern savages; that there existed various land bridges between South America and other southern continents, including Africa; and that the ancestral types of modern mammals and of man himself wandered across one of these bridges to the old world, and that thence their remote descendants, after ages of time, returned to the new.	His favorite thesis included the origin of mammalian life and of man himself in southernmost South America, with, as incidents, the belief that the mammalian bearing strata of South America were of much greater age than the strata with corresponding remains elsewhere; that in South America various species and genera of men existed in tertiary times, some of them at least as advanced as fairly well advanced modern savages; that there existed various land bridges between South America and other southern continents, including Africa; and that the ancestral types of modern mammals and of man himself wandered across one of these bridges to the old world, and that thence their remote descendants, after ages of time, returned to the new.	false	1242.57	1293.21	19.558748
3852_175448_000017_000004	In addition to valuable investigations of fossil-bearing beds in the Argentine, he made some excellent general suggestions, such as that the pithecoid apes, like the baboons, do not stand in the line of man's ancestral stem but represent a divergence from it away from humanity and toward a retrogressive bestialization.	In addition to valuable investigations of fossil bearing beds in the Argentine, he made some excellent general suggestions, such as that the pithecoid apes, like the baboons, do not stand in the line of man's ancestral stem but represent a divergence from it away from humanity and toward a retrogressive bestialization.	true	1293.21	1315.42	20.004961
