5606_54667_000000_000000	XI.	XI.	false	8.97	9.39	3
5606_54667_000006_000001	I reached London in the afternoon; and got to North Villa--without going home first--about five o'clock.	I reached London in the afternoon; and got to North Villa-without going home first-about five o'clock.	true	275.99	282.49	23.413538
5606_54667_000007_000000	The oppression was still on my spirits.	The oppression was still on my spirits.	true	283.04	285.61	20
5606_54667_000007_000001	Even the sight of the house where Margaret lived failed to invigorate or arouse me.	Even the sight of the house where Margaret lived failed to invigorate or arouse me.	true	285.86	290.32	16
5606_54667_000008_000000	On this occasion, when I was shown into the drawing-room, both Mr. and Mrs. Sherwin were awaiting me there.	On this occasion, when I was shown into the drawing room, both mr and mrs Sherwin were awaiting me there.	true	290.9	297.13	16
5606_54667_000008_000001	On the table was the sherry which had been so perseveringly pressed on me at the last interview, and by it a new pound cake.	On the table was the sherry which had been so perseveringly pressed on me at the last interview, and by it a new pound cake.	true	297.47	304.99	21
5606_54667_000008_000002	Mrs. Sherwin was cutting the cake as I came in, while her husband watched the process with critical eyes.	mrs Sherwin was cutting the cake as I came in, while her husband watched the process with critical eyes.	true	305.45	311.92	21.636816
5606_54667_000008_000003	The poor woman's weak white fingers trembled as they moved the knife under conjugal inspection.	The poor woman's weak white fingers trembled as they moved the knife under conjugal inspection.	true	312.17	318.19	20.686735
5606_54667_000009_000000	"Most happy to see you again--most happy indeed, my dear Sir," said Mr. Sherwin, advancing with hospitable smile and outstretched hand.	"Most happy to see you again-most happy indeed, my dear Sir," said mr Sherwin, advancing with hospitable smile and outstretched hand.	false	318.65	327.28	16
5606_54667_000009_000001	"Allow me to introduce my better half, Mrs. S."	"Allow me to introduce my better half, mrs s"	true	327.5	330.49	17
5606_54667_000010_000000	His wife rose in a hurry, and curtseyed, leaving the knife sticking in the cake; upon which Mr. Sherwin, with a stern look at her, ostentatiously pulled it out, and set it down rather violently on the dish.	His wife rose in a hurry, and curtseyed, leaving the knife sticking in the cake; upon which mr Sherwin, with a stern look at her, ostentatiously pulled it out, and set it down rather violently on the dish.	true	330.71	343.21	21
5606_54667_000011_000000	Poor Mrs. Sherwin!	Poor mrs Sherwin!	true	343.58	345.25	15.620092
5606_54667_000011_000001	I had hardly noticed her on the day when she got into the omnibus with her daughter--it was as if I now saw her for the first time.	I had hardly noticed her on the day when she got into the omnibus with her daughter-it was as if I now saw her for the first time.	true	345.8	353.26	18.914028
5606_54667_000011_000002	There is a natural communicativeness about women's emotions.	There is a natural communicativeness about women's emotions.	true	354.41	358.39	19.13365
5606_54667_000011_000003	A happy woman imperceptibly diffuses her happiness around her; she has an influence that is something akin to the influence of a sunshiny day. So, again, the melancholy of a melancholy woman is invariably, though silently, infectious; and Mrs. Sherwin was one of this latter order.	A happy woman imperceptibly diffuses her happiness around her; she has an influence that is something akin to the influence of a sunshiny day. So, again, the melancholy of a melancholy woman is invariably, though silently, infectious; and mrs Sherwin was one of this latter order.	true	358.43	376.48	20.119047
5606_54667_000011_000004	Her pale, sickly, moist-looking skin; her large, mild, watery, light-blue eyes; the restless timidity of her expression; the mixture of useless hesitation and involuntary rapidity in every one of her actions--all furnished the same significant betrayal of a life of incessant fear and restraint; of a disposition full of modest generosities and meek sympathies, which had been crushed down past rousing to self-assertion, past ever seeing the light.	Her pale, sickly, moist looking skin; her large, mild, watery, light blue eyes; the restless timidity of her expression; the mixture of useless hesitation and involuntary rapidity in every one of her actions-all furnished the same significant betrayal of a life of incessant fear and restraint; of a disposition full of modest generosities and meek sympathies, which had been crushed down past rousing to self assertion, past ever seeing the light.	true	376.82	407.77	21.104767
5606_54667_000011_000005	There, in that mild, wan face of hers--in those painful startings and hurryings when she moved; in that tremulous, faint utterance when she spoke--_there,_ I could see one of those ghastly heart-tragedies laid open before me, which are acted and re-acted, scene by scene, and year by year, in the secret theatre of home; tragedies which are ever shadowed by the slow falling of the black curtain that drops lower and lower every day--that drops, to hide all at last, from the hand of death.	There, in that mild, wan face of hers-in those painful startings and hurryings when she moved; in that tremulous, faint utterance when she spoke-underscore there,underscore I could see one of those ghastly heart tragedies laid open before me, which are acted and re acted, scene by scene, and year by year, in the secret theatre of home; tragedies which are ever shadowed by the slow falling of the black curtain that drops lower and lower every day-that drops, to hide all at last, from the hand of death.	false	408.11	440.86	20.803455
5606_54667_000012_000000	"We have had very beautiful weather lately, Sir," said Mrs. Sherwin, almost inaudibly; looking as she spoke, with anxious eyes towards her husband, to see if she was justified in uttering even those piteously common-place words.	"We have had very beautiful weather lately, Sir," said mrs Sherwin, almost inaudibly; looking as she spoke, with anxious eyes towards her husband, to see if she was justified in uttering even those piteously common place words.	true	442.13	455.65	17
5606_54667_000012_000001	"Very beautiful weather to be sure," continued the poor woman, as timidly as if she had become a little child again, and had been ordered to say her first lesson in a stranger's presence.	"Very beautiful weather to be sure," continued the poor woman, as timidly as if she had become a little child again, and had been ordered to say her first lesson in a stranger's presence.	true	456.05	466.24	20
5606_54667_000013_000000	"Delightful weather, Mrs. Sherwin.	"Delightful weather, mrs Sherwin.	true	467.21	468.94	22
5606_54667_000013_000001	I have been enjoying it for the last two days in the country--in a part of Surrey (the neighbourhood of Ewell) that I had not seen before."	I have been enjoying it for the last two days in the country-in a part of Surrey (the neighbourhood of Ewell) that I had not seen before."	false	469.04	475.39	19
5606_54667_000014_000000	There was a pause.	There was a pause.	true	475.97	477.31	30.076508
5606_54667_000014_000001	Mr. Sherwin coughed; it was evidently a warning matrimonial peal that he had often rung before--for Mrs. Sherwin started, and looked up at him directly.	mr Sherwin coughed; it was evidently a warning matrimonial peal that he had often rung before-for mrs Sherwin started, and looked up at him directly.	true	477.47	487.87	19
5606_54667_000015_000000	"As the lady of the house, Mrs. S., it strikes me that you might offer a visitor, like this gentleman, some cake and wine, without making any particular hole in your manners!"	"As the lady of the house, mrs s, it strikes me that you might offer a visitor, like this gentleman, some cake and wine, without making any particular hole in your manners!"	true	488.57	498.76	15
5606_54667_000016_000000	"Oh dear me!	"Oh dear me!	true	499.4	500.31	21
5606_54667_000016_000001	I beg your pardon!	I beg your pardon!	false	500.31	501.06	17
5606_54667_000016_000002	I'm very sorry, I'm sure"--and she poured out a glass of wine, with such a trembling hand that the decanter tinkled all the while against the glass.	I'm very sorry, I'm sure"--and she poured out a glass of wine, with such a trembling hand that the decanter tinkled all the while against the glass.	false	501.06	509.02	21
5606_54667_000016_000003	Though I wanted nothing, I ate and drank something immediately, in common consideration for Mrs. Sherwin's embarrassment.	Though I wanted nothing, I ate and drank something immediately, in common consideration for mrs Sherwin's embarrassment.	true	509.3	516.28	19
5606_54667_000017_000000	Mr. Sherwin filled himself a glass--held it up admiringly to the light--said, "Your good health, Sir, your very good health;" and drank the wine with the air of a connoisseur, and a most expressive smacking of the lips.	mr Sherwin filled himself a glass-held it up admiringly to the light-said, "Your good health, Sir, your very good health;" and drank the wine with the air of a connoisseur, and a most expressive smacking of the lips.	false	516.74	530.05	19
5606_54667_000017_000001	His wife (to whom he offered nothing) looked at him all the time with the most reverential attention.	His wife (to whom he offered nothing) looked at him all the time with the most reverential attention.	true	530.18	536.23	22.670753
5606_54667_000018_000000	"You are taking nothing yourself, Mrs. Sherwin," I said.	"You are taking nothing yourself, mrs Sherwin," I said.	false	536.48	539.8	24
5606_54667_000019_000000	"Mrs. Sherwin, Sir," interposed her husband, "never drinks wine, and can't digest cake.	"mrs Sherwin, Sir," interposed her husband, "never drinks wine, and can't digest cake.	true	540.44	546.435	17
5606_54667_000019_000001	A bad stomach--a very bad stomach.	A bad stomach-a very bad stomach.	false	546.435	548.475	19.164547
5606_54667_000019_000002	Have another glass yourself.	Have another glass yourself.	true	548.475	549.66	14
5606_54667_000019_000003	Won't you, indeed?	Won't you, indeed?	true	549.66	550.635	15.734909
5606_54667_000019_000004	This sherry stands me in six shillings a bottle--ought to be first-rate wine at that price: and so it is. Well, if you won't have any more, we will proceed to business.	This sherry stands me in six shillings a bottle-ought to be first rate wine at that price: and so it is. Well, if you won't have any more, we will proceed to business.	true	550.635	559.095	17
5606_54667_000019_000005	Ha! ha! business as _I_ call it; pleasure I hope it will be to _you_."	Ha! ha! business as underscore I underscore call it; pleasure I hope it will be to underscore you underscore."	false	559.095	564.15	21.688595
5606_54667_000020_000000	Mrs. Sherwin coughed--a very weak, small cough, half-stifled in its birth.	mrs Sherwin coughed-a very weak, small cough, half stifled in its birth.	true	564.15	569.35	22.437431
5606_54667_000021_000000	"There you are again!" he said, turning fiercely towards her--"Coughing again!	"There you are again!" he said, turning fiercely towards her-"Coughing again!	true	570.05	573.78	19.15357
5606_54667_000021_000001	Six months of the doctor--a six months' bill to come out of my pocket--and no good done--no good, Mrs. S."	Six months of the doctor-a six months' bill to come out of my pocket-and no good done-no good, mrs s"	true	573.78	579.12	17
5606_54667_000022_000000	"Oh, I am much better, thank you--it was only a little--"	"Oh, I am much better, thank you-it was only a little-"	false	579.12	583.33	21
5606_54667_000023_000000	"Well, Sir, the evening after you left me, I had what you may call an explanation with my dear girl.	"Well, Sir, the evening after you left me, I had what you may call an explanation with my dear girl.	true	583.7	589.96	22.132383
5606_54667_000023_000001	She was naturally a little confused and--and embarrassed, indeed.	She was naturally a little confused and-and embarrassed, indeed.	true	590.39	594.03	16
5606_54667_000023_000002	A very serious thing of course, to decide at her age, and at so short a notice, on a point involving the happiness of her whole life to come."	A very serious thing of course, to decide at her age, and at so short a notice, on a point involving the happiness of her whole life to come."	false	594.03	601	15
5606_54667_000024_000000	Here Mrs. Sherwin put her handkerchief to her eyes--quite noiselessly; for she had doubtless acquired by long practice the habit of weeping in silence.	Here mrs Sherwin put her handkerchief to her eyes-quite noiselessly; for she had doubtless acquired by long practice the habit of weeping in silence.	true	602.06	610.69	18.743181
5606_54667_000024_000001	Her husband's quick glance turned on her, however, immediately, with anything but an expression of sympathy.	Her husband's quick glance turned on her, however, immediately, with anything but an expression of sympathy.	true	610.97	617.62	21
5606_54667_000025_000000	"Good God, Mrs. S.! what's the use of going on in that way?" he said, indignantly.	"Good God, mrs s! what's the use of going on in that way?" he said, indignantly.	true	617.84	622.87	21.019217
5606_54667_000025_000001	"What is there to cry about?	"What is there to cry about?	true	622.97	624.63	20.673393
5606_54667_000025_000002	Margaret isn't ill, and isn't unhappy--what on earth's the matter now?	Margaret isn't ill, and isn't unhappy-what on earth's the matter now?	true	624.63	627.9	10
5606_54667_000025_000003	Upon my soul this is a most annoying circumstance: and before a visitor too!	Upon my soul this is a most annoying circumstance: and before a visitor too!	true	627.9	632.59	13
5606_54667_000025_000004	You had better leave me to discuss the matter alone--you always _were_ in the way of business, and it's my opinion you always will be."	You had better leave me to discuss the matter alone-you always underscore were underscore in the way of business, and it's my opinion you always will be."	false	632.75	638.92	13
5606_54667_000026_000000	Mrs. Sherwin prepared, without a word of remonstrance, to leave the room.	mrs Sherwin prepared, without a word of remonstrance, to leave the room.	true	639.77	643.93	18.782202
5606_54667_000026_000001	I sincerely felt for her; but could say nothing.	I sincerely felt for her; but could say nothing.	true	644.3	647.56	21.370005
5606_54667_000026_000002	In the impulse of the moment, I rose to open the door for her; and immediately repented having done so.	In the impulse of the moment, I rose to open the door for her; and immediately repented having done so.	true	647.9	653.68	20
5606_54667_000026_000003	The action added so much to her embarrassment that she kicked her foot against a chair, and uttered a suppressed exclamation of pain as she went out.	The action added so much to her embarrassment that she kicked her foot against a chair, and uttered a suppressed exclamation of pain as she went out.	true	654.11	662.38	21
5606_54667_000027_000000	Mr. Sherwin helped himself to a second glass of wine, without taking the smallest notice of this.	mr Sherwin helped himself to a second glass of wine, without taking the smallest notice of this.	false	662.78	667.48	16
5606_54667_000028_000000	"I hope Mrs. Sherwin has not hurt herself?" I said.	"I hope mrs Sherwin has not hurt herself?" I said.	true	668	671.44	18.952278
5606_54667_000028_000001	"Oh dear no! not worth a moment's thought--awkwardness and nervousness, nothing else--she always was nervous--the doctors (all humbugs) can do nothing with her--it's very sad, very sad indeed; but there's no help for it."	"Oh dear no! not worth a moment's thought-awkwardness and nervousness, nothing else-she always was nervous-the doctors (all humbugs) can do nothing with her-it's very sad, very sad indeed; but there's no help for it."	true	671.54	682.75	19
5606_54667_000029_000000	By this time (in spite of all my efforts to preserve some respect for him, as Margaret's father) he had sunk to his proper place in my estimation.	By this time (in spite of all my efforts to preserve some respect for him, as Margaret's father) he had sunk to his proper place in my estimation.	true	683.36	692.28	21.587637
5606_54667_000030_000000	"Well, my dear Sir," he resumed, "to go back to where I was interrupted by Mrs. S. Let me see: I was saying that my dear girl was a little confused, and so forth.	"Well, my dear Sir," he resumed, "to go back to where I was interrupted by mrs s Let me see: I was saying that my dear girl was a little confused, and so forth.	false	692.28	702.61	20.499569
5606_54667_000030_000001	As a matter of course, I put before her all the advantages which such a connection as yours promised--and at the same time, mentioned some of the little embarrassing circumstances--the private marriage, you know, and all that--besides telling her of certain restrictions in reference to the marriage, if it came off, which I should feel it my duty as a father to impose; and which I shall proceed, in short, to explain to you.	As a matter of course, I put before her all the advantages which such a connection as yours promised-and at the same time, mentioned some of the little embarrassing circumstances-the private marriage, you know, and all that-besides telling her of certain restrictions in reference to the marriage, if it came off, which I should feel it my duty as a father to impose; and which I shall proceed, in short, to explain to you.	false	702.83	724.99	19
5606_54667_000030_000002	As a man of the world, my dear Sir, you know as well as I do, that young ladies don't give very straightforward answers on the subject of their prepossessions in favour of young gentlemen.	As a man of the world, my dear Sir, you know as well as I do, that young ladies don't give very straightforward answers on the subject of their prepossessions in favour of young gentlemen.	true	726.53	735.79	15
5606_54667_000030_000003	But I got enough out of her to show me that you had made pretty good use of your time--no occasion to despond, you know--I leave _you_ to make her speak plain; it's more in your line than mine, more a good deal.	But I got enough out of her to show me that you had made pretty good use of your time-no occasion to despond, you know-I leave underscore you underscore to make her speak plain; it's more in your line than mine, more a good deal.	false	736.07	748.23	17
5606_54667_000030_000004	And now let us come to the business part of the transaction. All I have to say is this:--if you agree to my proposals, then I agree to yours.	And now let us come to the business part of the transaction. All I have to say is this:--if you agree to my proposals, then I agree to yours.	false	748.23	757.365	20.8222
5606_54667_000030_000005	I think that's fair enough--Eh?"	I think that's fair enough-Eh?"	true	757.365	758.98	24
5606_54667_000031_000000	"Quite fair, Mr. Sherwin."	"Quite fair, mr Sherwin."	true	759.62	761.26	21.437992
5606_54667_000032_000000	"Just so.	"Just so.	true	761.81	762.585	24.006638
5606_54667_000032_000001	Now, in the first place, my daughter is too young to be married yet.	Now, in the first place, my daughter is too young to be married yet.	true	762.585	766.335	21.823189
5606_54667_000032_000002	She was only seventeen last birthday."	She was only seventeen last birthday."	true	766.335	768.43	18
5606_54667_000033_000000	"You astonish me!	"You astonish me!	true	769.88	771.46	15
5606_54667_000033_000001	I should have imagined her three years older at least."	I should have imagined her three years older at least."	true	771.68	774.82	17
5606_54667_000034_000000	"Everybody thinks her older than she is--everybody, my dear Sir--and she certainly looks it.	"Everybody thinks her older than she is-everybody, my dear Sir-and she certainly looks it.	true	775.13	780.01	17
5606_54667_000034_000001	She's more formed, more developed I may say, than most girls at her age.	She's more formed, more developed I may say, than most girls at her age.	false	780.14	784.275	15
5606_54667_000034_000002	However, that's not the point.	However, that's not the point.	true	784.275	785.925	22.412245
5606_54667_000034_000003	The plain fact is, she's too young to be married now--too young in a moral point of view; too young in an educational point of view; too young altogether.	The plain fact is, she's too young to be married now-too young in a moral point of view; too young in an educational point of view; too young altogether.	true	785.925	794.085	17
5606_54667_000034_000004	Well: the upshot of this is, that I could not give my consent to Margaret's marrying, until another year is out--say a year from this time.	Well: the upshot of this is, that I could not give my consent to Margaret's marrying, until another year is out-say a year from this time.	true	794.085	801.76	22
5606_54667_000034_000005	One year's courtship for the finishing off of her education, and the formation of her constitution--you understand me, for the formation of her constitution."	One year's courtship for the finishing off of her education, and the formation of her constitution-you understand me, for the formation of her constitution."	false	802.04	809.41	17
5606_54667_000035_000000	A year to wait!	A year to wait!	true	810.02	811.84	22.443655
5606_54667_000035_000001	At first, this seemed a long trial to endure, a trial that ought not to be imposed on me.	At first, this seemed a long trial to endure, a trial that ought not to be imposed on me.	true	812.21	817.72	20
5606_54667_000035_000002	But the next moment, the delay appeared in a different light.	But the next moment, the delay appeared in a different light.	true	818	821.5	24.264591
5606_54667_000035_000003	Would it not be the dearest of privileges to be able to see Margaret, perhaps every day, perhaps for hours at a time?	Would it not be the dearest of privileges to be able to see Margaret, perhaps every day, perhaps for hours at a time?	true	821.54	828.76	21
5606_54667_000035_000004	Would it not be happiness enough to observe each development of her character, to watch her first maiden love for me, advancing nearer and nearer towards confidence and maturity the oftener we met?	Would it not be happiness enough to observe each development of her character, to watch her first maiden love for me, advancing nearer and nearer towards confidence and maturity the oftener we met?	true	829.04	840.37	19
5606_54667_000035_000005	As I thought on this, I answered Mr. Sherwin without further hesitation.	As I thought on this, I answered mr Sherwin without further hesitation.	true	840.65	844.99	18.8877
5606_54667_000036_000000	"It will be some trial," I said, "to my patience, though none to my constancy, none to the strength of my affection--I will wait the year."	"It will be some trial," I said, "to my patience, though none to my constancy, none to the strength of my affection-I will wait the year."	true	845.6	854.95	21.142586
5606_54667_000037_000000	"Exactly so," rejoined Mr. Sherwin; "such candour and such reasonableness were to be expected from one who is quite the gentleman. And now comes my grand difficulty in this business--in fact, the little stipulation I have to make."	"Exactly so," rejoined mr Sherwin; "such candour and such reasonableness were to be expected from one who is quite the gentleman. And now comes my grand difficulty in this business-in fact, the little stipulation I have to make."	true	855.2	868	19
5606_54667_000038_000000	He stopped, and ran his fingers through his hair, in all directions; his features fidgetting and distorting themselves ominously, while he looked at me.	He stopped, and ran his fingers through his hair, in all directions; his features fidgetting and distorting themselves ominously, while he looked at me.	true	868.22	876.64	16
5606_54667_000039_000000	"Pray explain yourself, Mr. Sherwin.	"Pray explain yourself, mr Sherwin.	true	877.28	879.54	21
5606_54667_000039_000001	Your silence gives me some uneasiness at this particular moment, I assure you."	Your silence gives me some uneasiness at this particular moment, I assure you."	true	879.54	883.6	13
5606_54667_000040_000000	"Quite so--I understand.	"Quite so-I understand.	true	883.94	885.55	19.82283
5606_54667_000040_000001	Now, you must promise me not to be huffed--offended, I should say--at what I am going to propose."	Now, you must promise me not to be huffed-offended, I should say-at what I am going to propose."	true	885.89	892	20.778713
5606_54667_000041_000000	"Certainly not."	"Certainly not."	true	892.34	893.8	25.248442
5606_54667_000042_000000	"Well, then, it may seem odd; but under all the circumstances--that is to say, as far as the case concerns you personally--I want you and my dear girl to be married at once, and yet not to be married exactly, for another year.	"Well, then, it may seem odd; but under all the circumstances-that is to say, as far as the case concerns you personally-I want you and my dear girl to be married at once, and yet not to be married exactly, for another year.	false	894.26	909.4	20.437504
5606_54667_000042_000001	I don't know whether you understand me?"	I don't know whether you understand me?"	true	909.71	911.98	16
5606_54667_000043_000000	"I must confess I do not."	"I must confess I do not."	true	912.83	914.95	20.49946
5606_54667_000044_000000	He coughed rather uneasily; turned to the table, and poured out another glass of sherry--his hand trembling a little as he did so.	He coughed rather uneasily; turned to the table, and poured out another glass of sherry-his hand trembling a little as he did so.	true	916.04	924.46	20.364765
5606_54667_000044_000001	He drank off the wine at a draught; cleared his throat three or four times after it; and then spoke again.	He drank off the wine at a draught; cleared his throat three or four times after it; and then spoke again.	false	924.77	930.61	20.840479
5606_54667_000045_000000	"Well, to be still plainer, this is how the matter stands: If you were a party in our rank of life, coming to court Margaret with your father's full approval and permission when once you had consented to the year's engagement, everything would be done and settled; the bargain would have been struck on both sides; and there would be an end of it.	"Well, to be still plainer, this is how the matter stands: If you were a party in our rank of life, coming to court Margaret with your father's full approval and permission when once you had consented to the year's engagement, everything would be done and settled; the bargain would have been struck on both sides; and there would be an end of it.	true	931.16	948.94	19.930134
5606_54667_000045_000001	But, situated as you are, I can't stop here safely--I mean, I can't end the agreement exactly in this way."	But, situated as you are, I can't stop here safely-I mean, I can't end the agreement exactly in this way."	false	948.95	957.67	20.677334
5606_54667_000046_000000	He evidently felt that he got fluent on wine; and helped himself, at this juncture, to another glass.	He evidently felt that he got fluent on wine; and helped himself, at this juncture, to another glass.	true	958.22	964.15	19
5606_54667_000047_000000	"You will see what I am driving at, my dear Sir, directly," he continued.	"You will see what I am driving at, my dear Sir, directly," he continued.	true	964.4	968.14	19.934515
5606_54667_000047_000001	"Suppose now, you came courting my daughter for a year, as we settled; and suppose your father found it out--we should keep it a profound secret of course: but still, secrets are sometimes found out, nobody knows how.	"Suppose now, you came courting my daughter for a year, as we settled; and suppose your father found it out-we should keep it a profound secret of course: but still, secrets are sometimes found out, nobody knows how.	false	968.48	979.48	19
5606_54667_000047_000002	Suppose, I say, your father got scent of the thing, and the match was broken off; where do you think Margaret's reputation would be?	Suppose, I say, your father got scent of the thing, and the match was broken off; where do you think Margaret's reputation would be?	false	979.55	985.96	19
5606_54667_000047_000003	If it happened with somebody in her own station, we might explain it all, and be believed: but happening with somebody in yours, what would the world say?	If it happened with somebody in her own station, we might explain it all, and be believed: but happening with somebody in yours, what would the world say?	true	986.12	994.18	15
5606_54667_000047_000004	Would the world believe you had ever intended to marry her?	Would the world believe you had ever intended to marry her?	false	994.43	997.68	14
