5189_56574_000000_000000	The Other, being Disinclined to Change or Diversity of Scene, remained all his Life in One Place.	The Other, being Disinclined to Change or Diversity of Scene, remained all his Life in One Place.	false	0	7.08	20.072287
5189_56574_000009_000000	The evenin I arrived, the delegates, sich ez wuz on hand, held a informal meetin to arrange matters so ez they wood work smooth when the crowd finally got together.	The evenin I arrived, the delegates, sich e z w u z on hand, held a informal meetin to arrange matters so e z they wood work smooth when the crowd finally got together.	false	209.24	219.27	20.211216
5189_56574_000009_000001	Genral Wool wuz ez gay and frisky ez though he reely belonged to the last ginerashn.	Genral Wool w u z e z gay and frisky e z though he reely belonged to the last ginerashn.	false	219.27	225.18	18.252878
5189_56574_000009_000002	There wuz Custar, uv Michigan, with his hair freshly oiled and curled, and busslin about ez though he hed cheated hisself into the beleef that he reely amounted to suthin; and there wuz seventy-eight other men, who hed distinguished theirselves in the late war, but who hed never got their deserts, ceptin by brevet, owin to the fact that the Administrashn wuz Ablishn, which they wuzn't. They were, in a pekuniary pint uv view, suthin the worse for wear, tho' why that shood hev bin the case I coodent see (they hevin bin, to an alarmin extent, quarter-masters and commissaries, and in the recrootin service), til I notist the prevailin color uv their noses, and heerd one uv em ask his neighbor ef Cleveland wuz blest with a faro bank!	There w u z Custar, u v Michigan, with his hair freshly oiled and curled, and busslin about e z though he hed cheated hisself into the beleef that he reely amounted to suthin; and there w u z seventy eight other men, who hed distinguished theirselves in the late war, but who hed never got their deserts, ceptin by brevet, owin to the fact that the Administrashn w u z Ablishn, which they wuzn't. They were, in a pekuniary pint u v view, suthin the worse for wear, tho' why that shood h e v bin the case I coodent see (they hevin bin, to an alarmin extent, quarter masters and commissaries, and in the recrootin service), til I notist the prevailin color u v their noses, and heerd one u v em ask his neighbor e f Cleveland w u z blest with a faro bank!	false	225.18	269.14	21.765308
5189_56574_000009_000003	Then I knowd all about it.	Then I knowd all about it.	true	269.63	271.42	18.921757
5189_56574_000010_000000	There wuz another pekooliarity about it which for a time amoozed me. Them ez wuz present wuz divided into 2 classes--those ez hed bin recently appinted to posishens, and them ez expected to be shortly.	There w u z another pekooliarity about it which for a time amoozed me. Them e z w u z present w u z divided into two classes-those e z hed bin recently appinted to posishens, and them e z expected to be shortly.	false	272.42	285.37	21.45197
5189_56574_000010_000001	I notist on the countenances uv the first class a look uv releef, sich ez I hev seen in factories Saturday nite, after the hands wuz paid off for a hard week's work; and on the other class the most wolfish, hungry, fierce expression I hev ever witnessed.	I notist on the countenances u v the first class a look u v releef, sich e z I h e v seen in factories Saturday nite, after the hands w u z paid off for a hard week's work; and on the other class the most wolfish, hungry, fierce expression I h e v ever witnessed.	false	286.04	301.48	21.919794
5189_56574_000010_000002	Likewise, I notist that the latter set uv patriots talked more hefty uv the necessity uv sustainin the policy uv our firm and noble President, and damned the Ablishunists with more emphasis and fervency than the others.	Likewise, I notist that the latter set u v patriots talked more hefty u v the necessity u v sustainin the policy u v our firm and noble President, and damned the Ablishunists with more emphasis and fervency than the others.	false	302.03	315.01	20
5189_56574_000011_000000	One enthoosiastic individual, who hed bin quartermaster two years, and hed bin allowed to resign "jest after the battle, mother," wich, hevin his papers all destroyed, made settlin with the government a easy matter, wuz so feroshus that I felt called upon to check him.	One enthoosiastic individual, who hed bin quartermaster two years, and hed bin allowed to resign "jest after the battle, mother," wich, hevin his papers all destroyed, made settlin with the government a easy matter, w u z so feroshus that I felt called upon to check him.	false	315.65	331.6	22.961235
5189_56574_000011_000001	"Gently, my frend," sed I, "gently!	"Gently, my frend," s e d I, "gently!	false	332.15	335.08	22.124407
5189_56574_000011_000002	I hev bin thro' this thing; I hev my commission.	I h e v bin thro' this thing; I h e v my commission.	false	335.72	338.65	25.836105
5189_56574_000011_000003	It broke out on me jest ez it hez on yoo; but yoo won't git yoor Assessorship a minit sooner for it."	It broke out on me jest e z it h e z on yoo; but yoo won't git yoor Assessorship a minit sooner for it."	false	338.81	344.37	21.263987
5189_56574_000012_000000	"It ain't a Assessorship I want," sez he.	"It ain't a Assessorship I want," sez he.	false	344.37	347.31	20.015408
5189_56574_000012_000001	"I hev devoted myself to the task uv bindin up the wounds uv my beloved country--"	"I h e v devoted myself to the task u v bindin up the wounds u v my beloved country-"	false	347.31	352	20.8794
5189_56574_000013_000000	"Did you stop anybody very much from inflictin them sed wounds?" murmured I.	"Did you stop anybody very much from inflictin them s e d wounds?" murmured i	false	352.31	357.06	17.432806
5189_56574_000014_000000	"An ef I accept the Post Orfis in my native village,--which I hev bin solissited so strongly to take that I hev finally yielded,--I do it only that I may devote my few remainin energies wholly to the great cause uv restorin the 36 States to their normal posishens under the flag with 36 stars onto it, in spite uv the Joodis Iskariots wich, ef I am whom, wat is the Savior, and--and where is--"	"An e f I accept the Post Orfis in my native village,--which I h e v bin solissited so strongly to take that I h e v finally yielded,--I do it only that I may devote my few remainin energies wholly to the great cause u v restorin the thirty six States to their normal posishens under the flag with thirty six stars onto it, in spite u v the Joodis Iskariots wich, e f I am whom, wat is the Savior, and-and where is-"	false	357.06	384.49	22.403036
5189_56574_000015_000000	Perseevin that the unfortunate man hed got into the middle uv a quotashen from the speech uv our noble and patriotic President, and knowin his intellek wuzn't hefty enough to git it off jist as it wuz originally delivered, I took him by the throat, and shet off the flood uv his elokence.	Perseevin that the unfortunate man hed got into the middle u v a quotashen from the speech u v our noble and patriotic President, and knowin his intellek wuzn't hefty enough to git it off jist as it w u z originally delivered, I took him by the throat, and shet off the flood u v his elokence.	false	385.19	401.38	21.872887
5189_56574_000016_000000	"Be quiet, yoo idiot!" remarked I, soothingly, to him.	"Be quiet, yoo idiot!" remarked I, soothingly, to him.	true	401.54	405.16	26.821842
5189_56574_000016_000001	"Yoo'll git your apintment, becoz, for the fust time in the history uv this or any other Republic, there's a market for jist sich men ez yoo; but all this blather won't fetch it a minit sooner."	"Yoo'll git your apintment, becoz, for the fust time in the history u v this or any other Republic, there's a market for jist sich men e z yoo; but all this blather won't fetch it a minit sooner."	false	405.65	417.28	21.912376
5189_56574_000017_000000	"Good Lord!" tho't I, ez I turned away, "wat a President A.J. is, to hev to buy up _sich_ cattle!	"Good Lord!" tho't I, e z I turned away, "wat a President a j is, to h e v to buy up underscore sich underscore cattle!	false	417.59	424.08	21.387133
5189_56574_000017_000001	Wat a postmaster he must be, whose gineral cussedness turns _my_ stummick!"	Wat a postmaster he must be, whose gineral cussedness turns underscore my underscore stummick!"	false	424.08	428.92	27.350449
5189_56574_000018_000000	It wuz deemed necessary to see uv wat we wuz compozed; whatever Kernel K----, who is now Collector uv Revenue in Illinoy, asked ef there wuz ary man in the room who hed bin a prizner doorin the late fratricidle struggle.	It w u z deemed necessary to see u v wat we w u z compozed; whatever Kernel K----, who is now Collector u v Revenue in Illinoy, asked e f there w u z ary man in the room who hed bin a prizner doorin the late fratricidle struggle.	false	429.41	443.11	20.977411
5189_56574_000018_000001	A gentleman uv, perhaps, thirty aroze, and sed he wuz.	A gentleman u v, perhaps, thirty aroze, and s e d he w u z.	false	443.36	447.645	19.388456
5189_56574_000018_000002	He hed bin taken three times, and wuz, altogether, 18 months in doorance vile in three diffrent prizns.	He hed bin taken three times, and w u z, altogether, eighteen months in doorance vile in three different prizns.	false	447.645	454.18	19
5189_56574_000019_000000	Custar fell on his neck, and asked him, aggitatidly, ef he wuz shoor--quite shoor, after sufferin all that, that he supported the policy of the President?	Custar fell on his neck, and asked him, aggitatidly, e f he w u z shoor-quite shoor, after sufferin all that, that he supported the policy of the President?	false	454.61	464.14	22.87986
5189_56574_000019_000001	Are you quite shoor--quite shoor?	Are you quite shoor-quite shoor?	true	464.75	467.35	26.36955
5189_56574_000020_000000	"I am," returned the phenomenon.	"I am," returned the phenomenon.	true	468.05	470.47	18.099497
5189_56574_000020_000001	"I stand by Andrew Johnson and his policy, and I don't want no office!"	"I stand by Andrew Johnson and his policy, and I don't want no office!"	true	470.75	475.17	21.216898
5189_56574_000021_000000	"Hev yoo got wun?" shouted they all in korus.	"h e v yoo got wun?" shouted they all in korus.	false	475.17	479.14	21.432177
5189_56574_000022_000000	"Nary!" sed he.	"Nary!" s e d he.	false	479.75	481.36	25.4149
5189_56574_000022_000001	"With me it is a matter uv principle!"	"With me it is a matter u v principle!"	false	481.73	483.87	24
5189_56574_000023_000000	"Wat prizns wuz yoo incarcerated in?" asked I, lookin at him with wonder.	"Wat prizns w u z yoo incarcerated in?" asked I, lookin at him with wonder.	false	483.87	489.03	20.409836
5189_56574_000024_000000	"Fust at Camp Morton, then at Camp Douglas, and finally at Johnson's Island!"	"Fust at Camp Morton, then at Camp Douglas, and finally at Johnson's Island!"	false	489.03	494.35	20.566269
5189_56574_000025_000000	Custar dropt him, and the rest remarked that, while they hed a very helthy opinion uv him, they guessed he'd better not menshen his presence, or consider hisself a delegate.	Custar dropt him, and the rest remarked that, while they hed a very helthy opinion u v him, they guessed he'd better not menshen his presence, or consider hisself a delegate.	false	494.63	504.63	23.173157
5189_56574_000025_000001	Ez ginerous foes they loved him ruther better than a brother; yet, as the call didn't quite inclood him, tho' there wuz a delightful oneness between em, yet, ef 'twuz all the same, he hed better not announce hisself.	e z ginerous foes they loved him ruther better than a brother; yet, as the call didn't quite inclood him, tho' there w u z a delightful oneness between em, yet, e f 't w u z all the same, he hed better not announce hisself.	false	504.63	518.14	21.619804
5189_56574_000025_000002	He wuz from Kentucky, I afterwards ascertained.	He w u z from Kentucky, I afterwards ascertained.	false	519.2	522.19	22.492325
5189_56574_000026_000000	The next mornin, suthin over two hundred more arriv; and the delegashens bein all in, it wuz decided to go on with the show.	The next mornin, suthin over two hundred more arriv; and the delegashens bein all in, it w u z decided to go on with the show.	false	523.64	531.31	20.794062
5189_56574_000026_000001	A big tent hed bin brought on from Boston to accommodate the expected crowd, and quite an animated discussion arose ez to wich corner uv it the Convenshun wuz to ockepy.	A big tent hed bin brought on from Boston to accommodate the expected crowd, and quite an animated discussion arose e z to wich corner u v it the Convenshun w u z to ockepy.	false	532.16	542.91	21.555738
5189_56574_000026_000002	This settled, the biznis wuz begun.	This settled, the biznis w u z begun.	false	542.91	544.98	13
5189_56574_000026_000003	Genral Wool wuz made temporary Chairman, to wich honor he responded in a elokent extemporaneous speech, which he read from manuscript.	Genral Wool w u z made temporary Chairman, to wich honor he responded in a elokent extemporaneous speech, which he read from manuscript.	false	544.98	554.02	22.615162
5189_56574_000026_000004	General Ewing made another extemporaneous address, which he read from manuscript, and we adjourned for dinner.	General Ewing made another extemporaneous address, which he read from manuscript, and we adjourned for dinner.	true	554.33	560.98	20.283564
5189_56574_000027_000000	The dinner hour was spent in caucussin privately in one uv the parlors uv the hotel.	The dinner hour was spent in caucussin privately in one u v the parlors u v the hotel.	false	561.62	566.53	18
5189_56574_000027_000001	The Chairman asked who shood make speeches after dinner, wen every man uv em pulled from his right side coat pocket a roll uv manuscript, and sed he hed jotted down a few ijees wich he hed conclooded to present extemporaneously to the Convenshun.	The Chairman asked who shood make speeches after dinner, wen every man u v em pulled from his right side coat pocket a roll u v manuscript, and s e d he hed jotted down a few ijees wich he hed conclooded to present extemporaneously to the Convenshun.	false	567.68	582.25	21.032164
5189_56574_000027_000002	That Babel over, the Chairman sed he presoomed some one shood be selected to prepare a address; whereupon every delegate rose, and pulled a roll uv manuscript from his left side coat pocket, and sed he had jotted down a few ijees on the situashn, wich he proposed to present, et settry.	That Babel over, the Chairman s e d he presoomed some one shood be selected to prepare a address; whereupon every delegate rose, and pulled a roll u v manuscript from his left side coat pocket, and s e d he had jotted down a few ijees on the situashn, wich he proposed to present, et settry.	false	582.77	601.17	21.309624
5189_56574_000027_000003	This occasioned another shindy; wen the Chairman remarked "Resolushens," wen every delegate rose, pulled a roll uv manuscript from his right breast coat pocket, and sed he hed jotted down a few ijees, wich, etc.	This occasioned another shindy; wen the Chairman remarked "Resolushens," wen every delegate rose, pulled a roll u v manuscript from his right breast coat pocket, and s e d he hed jotted down a few ijees, wich, etc	false	601.17	615.13	20.79024
5189_56574_000028_000000	I stood it until some one mentioned me ez Chaplin to the expedition West, when the pressure becum unendurable.	I stood it until some one mentioned me e z Chaplin to the expedition West, when the pressure becum unendurable.	false	615.98	623.02	19.286676
5189_56574_000028_000001	They sposed I was keeper uv the President's conscience, and I hed not a minit's peece after that.	They sposed I was keeper u v the President's conscience, and I hed not a minit's peece after that.	false	623.51	629.02	23.866947
5189_56574_000028_000002	In vain I ashoored em that, there bein no consciences about the White House, no one could hold sich a offis; in vain I ashoored em that I hed no influence with His Majesty.	In vain I ashoored em that, there bein no consciences about the White House, no one could hold sich a offis; in vain I ashoored em that I hed no influence with His Majesty.	false	629.33	640.69	19.452269
5189_56574_000028_000003	Two-thirds uv em pulled applicashens for places they wanted from the left breast coat pocket, and insistid on my takin em, and seem that they was appinted.	Two thirds u v em pulled applicashens for places they wanted from the left breast coat pocket, and insistid on my takin em, and seem that they was appinted.	false	641.33	651.4	22.297861
5189_56574_000028_000004	I told em that I cood do nuthin for em; but they laft me to skorn.	I told em that I cood do nuthin for em; but they laft me to skorn.	false	651.68	655.71	22.852434
5189_56574_000028_000005	"You are jist the style uv man," said they, "who hez inflooence with His Eggslency, and yoo must do it." Hemmed in, there wuz but one way uv escape, and that way I took. Seezin a carpet sack, wich, by the way, belonged to a delegate (I took it to give myself the look of a traveler), I rushed to the depot, and startid home, entirely satisfied that ef Cleveland may be taken as a sample, the less His Majesty depends on soljers, the better.	"You are jist the style u v man," said they, "who h e z inflooence with His Eggslency, and yoo must do it." Hemmed in, there w u z but one way u v escape, and that way I took. Seezin a carpet sack, wich, by the way, belonged to a delegate (I took it to give myself the look of a traveler), I rushed to the depot, and startid home, entirely satisfied that e f Cleveland may be taken as a sample, the less His Majesty depends on soljers, the better.	false	655.71	742.44	20.666687
