3094_136458_000000_000000	Partridge had scarce seen his master since the happy discovery.	Partridge had scarce seen his master since the happy discovery.	false	0	2.85	22.265583
3094_136458_000009_000008	Indeed, you have acted strangely.	Indeed, you have acted strangely.	true	311.51	314.05	20.459984
3094_136458_000009_000009	Can I believe the passion you have profest to me to be sincere?	Can I believe the passion you have profest to me to be sincere?	true	314.39	318.94	18
3094_136458_000009_000010	Or, if I can, what happiness can I assure myself of with a man capable of so much inconstancy?" "O! my Sophia," cries he, "do not doubt the sincerity of the purest passion that ever inflamed a human breast.	Or, if I can, what happiness can I assure myself of with a man capable of so much inconstancy?" "O! my Sophia," cries he, "do not doubt the sincerity of the purest passion that ever inflamed a human breast.	true	319.46	335.62	19.979332
3094_136458_000009_000011	Think, most adorable creature, of my unhappy situation, of my despair.	Think, most adorable creature, of my unhappy situation, of my despair.	true	335.9	341.68	20
3094_136458_000009_000012	Could I, my Sophia, have flattered myself with the most distant hopes of being ever permitted to throw myself at your feet in the manner I do now, it would not have been in the power of any other woman to have inspired a thought which the severest chastity could have condemned.	Could I, my Sophia, have flattered myself with the most distant hopes of being ever permitted to throw myself at your feet in the manner I do now, it would not have been in the power of any other woman to have inspired a thought which the severest chastity could have condemned.	false	341.93	359.89	19
3094_136458_000009_000013	Inconstancy to you!	Inconstancy to you!	true	360.17	361.98	14
3094_136458_000009_000014	O Sophia! if you can have goodness enough to pardon what is past, do not let any cruel future apprehensions shut your mercy against me.	O Sophia! if you can have goodness enough to pardon what is past, do not let any cruel future apprehensions shut your mercy against me.	false	361.98	372.52	20
3094_136458_000009_000015	No repentance was ever more sincere.	No repentance was ever more sincere.	true	372.92	376.57	24.270193
3094_136458_000009_000016	O! let it reconcile me to my heaven in this dear bosom." "Sincere repentance, Mr Jones," answered she, "will obtain the pardon of a sinner, but it is from one who is a perfect judge of that sincerity.	O! let it reconcile me to my heaven in this dear bosom." "Sincere repentance, Mr Jones," answered she, "will obtain the pardon of a sinner, but it is from one who is a perfect judge of that sincerity.	false	377.09	392.89	20.646187
3094_136458_000009_000017	A human mind may be imposed on; nor is there any infallible method to prevent it.	A human mind may be imposed on; nor is there any infallible method to prevent it.	true	393.35	400.03	16.354715
3094_136458_000009_000018	You must expect, however, that if I can be prevailed on by your repentance to pardon you, I will at least insist on the strongest proof of its sincerity." "Name any proof in my power," answered Jones eagerly.	You must expect, however, that if I can be prevailed on by your repentance to pardon you, I will at least insist on the strongest proof of its sincerity." "Name any proof in my power," answered Jones eagerly.	true	400.64	415.75	22.715511
3094_136458_000009_000019	"Time," replied she; "time alone, Mr Jones, can convince me that you are a true penitent, and have resolved to abandon these vicious courses, which I should detest you for, if I imagined you capable of persevering in them." "Do not imagine it," cries Jones.	"Time," replied she; "time alone, Mr Jones, can convince me that you are a true penitent, and have resolved to abandon these vicious courses, which I should detest you for, if I imagined you capable of persevering in them." "Do not imagine it," cries Jones.	true	416.72	437.05	21.611477
3094_136458_000009_000020	"On my knees I intreat, I implore your confidence, a confidence which it shall be the business of my life to deserve." "Let it then," said she, "be the business of some part of your life to shew me you deserve it.	"On my knees I intreat, I implore your confidence, a confidence which it shall be the business of my life to deserve." "Let it then," said she, "be the business of some part of your life to shew me you deserve it.	true	437.12	453.22	20.507557
3094_136458_000009_000021	I think I have been explicit enough in assuring you, that, when I see you merit my confidence, you will obtain it. After what is past, sir, can you expect I should take you upon your word?"	I think I have been explicit enough in assuring you, that, when I see you merit my confidence, you will obtain it. After what is past, sir, can you expect I should take you upon your word?"	true	453.68	466.87	21
3094_136458_000010_000000	He replied, "Don't believe me upon my word; I have a better security, a pledge for my constancy, which it is impossible to see and to doubt."	He replied, "Don't believe me upon my word; I have a better security, a pledge for my constancy, which it is impossible to see and to doubt."	false	468.14	479.92	22
3094_136458_000010_000001	"What is that?" said Sophia, a little surprized.	"What is that?" said Sophia, a little surprized.	true	480.89	484.21	23.552073
3094_136458_000010_000002	"I will show you, my charming angel," cried Jones, seizing her hand and carrying her to the glass.	"I will show you, my charming angel," cried Jones, seizing her hand and carrying her to the glass.	true	484.94	491.62	17
3094_136458_000010_000003	"There, behold it there in that lovely figure, in that face, that shape, those eyes, that mind which shines through these eyes; can the man who shall be in possession of these be inconstant?	"There, behold it there in that lovely figure, in that face, that shape, those eyes, that mind which shines through these eyes; can the man who shall be in possession of these be inconstant?	false	492.05	507.13	19.604748
3094_136458_000010_000004	Impossible! my Sophia; they would fix a Dorimant, a Lord Rochester.	Impossible! my Sophia; they would fix a Dorimant, a Lord Rochester.	true	507.38	514.09	21.510262
3094_136458_000010_000005	You could not doubt it, if you could see yourself with any eyes but your own." Sophia blushed and half smiled; but, forcing again her brow into a frown--"If I am to judge," said she, "of the future by the past, my image will no more remain in your heart when I am out of your sight, than it will in this glass when I am out of the room." "By heaven, by all that is sacred!" said Jones, "it never was out of my heart.	You could not doubt it, if you could see yourself with any eyes but your own." Sophia blushed and half smiled; but, forcing again her brow into a frown-"If I am to judge," said she, "of the future by the past, my image will no more remain in your heart when I am out of your sight, than it will in this glass when I am out of the room." "By heaven, by all that is sacred!" said Jones, "it never was out of my heart.	false	514.34	548.02	18.898508
3094_136458_000010_000006	The delicacy of your sex cannot conceive the grossness of ours, nor how little one sort of amour has to do with the heart." "I will never marry a man," replied Sophia, very gravely, "who shall not learn refinement enough to be as incapable as I am myself of making such a distinction." "I will learn it," said Jones. "I have learnt it already.	The delicacy of your sex cannot conceive the grossness of ours, nor how little one sort of amour has to do with the heart." "I will never marry a man," replied Sophia, very gravely, "who shall not learn refinement enough to be as incapable as I am myself of making such a distinction." "I will learn it," said Jones. "I have learnt it already.	false	548.45	577.96	17.92233
3094_136458_000010_000007	The first moment of hope that my Sophia might be my wife taught it me at once; and all the rest of her sex from that moment became as little the objects of desire to my sense as of passion to my heart." "Well," says Sophia, "the proof of this must be from time.	The first moment of hope that my Sophia might be my wife taught it me at once; and all the rest of her sex from that moment became as little the objects of desire to my sense as of passion to my heart." "Well," says Sophia, "the proof of this must be from time.	true	578.03	597.16	20.619394
3094_136458_000010_000008	Your situation, Mr Jones, is now altered, and I assure you I have great satisfaction in the alteration.	Your situation, Mr Jones, is now altered, and I assure you I have great satisfaction in the alteration.	true	597.44	605.23	19
3094_136458_000010_000009	You will now want no opportunity of being near me, and convincing me that your mind is altered too." "O! my angel," cries Jones, "how shall I thank thy goodness!	You will now want no opportunity of being near me, and convincing me that your mind is altered too." "O! my angel," cries Jones, "how shall I thank thy goodness!	false	605.93	618.43	21.448744
3094_136458_000010_000010	And are you so good to own that you have a satisfaction in my prosperity?----Believe me, believe me, madam, it is you alone have given a relish to that prosperity, since I owe to it the dear hope----O! my Sophia, let it not be a distant one.--I will be all obedience to your commands.	And are you so good to own that you have a satisfaction in my prosperity?----Believe me, believe me, madam, it is you alone have given a relish to that prosperity, since I owe to it the dear hope----O! my Sophia, let it not be a distant one.--I will be all obedience to your commands.	false	618.56	640.12	18
3094_136458_000010_000011	I will not dare to press anything further than you permit me.	I will not dare to press anything further than you permit me.	true	640.88	645.73	21
3094_136458_000010_000012	Yet let me intreat you to appoint a short trial. O! tell me when I may expect you will be convinced of what is most solemnly true." "When I have gone voluntarily thus far, Mr Jones," said she, "I expect not to be pressed.	Yet let me intreat you to appoint a short trial. O! tell me when I may expect you will be convinced of what is most solemnly true." "When I have gone voluntarily thus far, Mr Jones," said she, "I expect not to be pressed.	false	645.98	666.73	20.973932
3094_136458_000010_000013	Nay, I will not."--"O! don't look unkindly thus, my Sophia," cries he.	Nay, I will not."--"O! don't look unkindly thus, my Sophia," cries he.	true	666.95	673	20.890186
3094_136458_000010_000014	"I do not, I dare not press you.--Yet permit me at least once more to beg you would fix the period.	"I do not, I dare not press you.--Yet permit me at least once more to beg you would fix the period.	true	673.04	680.37	20
3094_136458_000010_000015	O! consider the impatience of love."--"A twelvemonth, perhaps," said she.	O! consider the impatience of love."--"A twelvemonth, perhaps," said she.	false	680.37	688.75	19.925463
3094_136458_000010_000016	"O! my Sophia," cries he, "you have named an eternity."--"Perhaps it may be something sooner," says she; "I will not be teazed.	"O! my Sophia," cries he, "you have named an eternity."--"Perhaps it may be something sooner," says she; "I will not be teazed.	true	689.84	700.6	20.620361
3094_136458_000010_000017	If your passion for me be what I would have it, I think you may now be easy."--"Easy!	If your passion for me be what I would have it, I think you may now be easy."--"Easy!	true	700.61	707.1	19.908012
3094_136458_000010_000018	Sophia, call not such an exulting happiness as mine by so cold a name.----O! transporting thought! am I not assured that the blessed day will come, when I shall call you mine; when fears shall be no more; when I shall have that dear, that vast, that exquisite, ecstatic delight of making my Sophia happy?"--"Indeed, sir," said she, "that day is in your own power."--"O! my dear, my divine angel," cried he, "these words have made me mad with joy.----But I must, I will thank those dear lips which have so sweetly pronounced my bliss." He then caught her in his arms, and kissed her with an ardour he had never ventured before.	Sophia, call not such an exulting happiness as mine by so cold a name.----O! transporting thought! am I not assured that the blessed day will come, when I shall call you mine; when fears shall be no more; when I shall have that dear, that vast, that exquisite, ecstatic delight of making my Sophia happy?"--"Indeed, sir," said she, "that day is in your own power."--"O! my dear, my divine angel," cried he, "these words have made me mad with joy.----But I must, I will thank those dear lips which have so sweetly pronounced my bliss." He then caught her in his arms, and kissed her with an ardour he had never ventured before.	false	707.1	753.43	21.318804
3094_136458_000011_000000	At this instant Western, who had stood some time listening, burst into the room, and, with his hunting voice and phrase, cried out, "To her, boy, to her, go to her.----That's it, little honeys, O that's it! Well! what, is it all over?	At this instant Western, who had stood some time listening, burst into the room, and, with his hunting voice and phrase, cried out, "To her, boy, to her, go to her.----That's it, little honeys, O that's it! Well! what, is it all over?	true	754.34	770.95	21.388054
3094_136458_000011_000001	Hath she appointed the day, boy?	Hath she appointed the day, boy?	true	771.2	773.565	19.589523
3094_136458_000011_000002	What, shall it be to-morrow or next day?	What, shall it be to morrow or next day?	true	773.565	776.25	19
3094_136458_000011_000003	It shan't be put off a minute longer than next day, I am resolved." "Let me beseech you, sir," says Jones, "don't let me be the occasion"----"Beseech mine a----," cries Western.	It shan't be put off a minute longer than next day, I am resolved." "Let me beseech you, sir," says Jones, "don't let me be the occasion"----"Beseech mine a----," cries Western.	false	776.25	790.605	22.558128
3094_136458_000011_000004	"I thought thou hadst been a lad of higher mettle than to give way to a parcel of maidenish tricks.----I tell thee 'tis all flimflam.	"I thought thou hadst been a lad of higher mettle than to give way to a parcel of maidenish tricks.----I tell thee 'tis all flimflam.	false	790.605	799.59	17
3094_136458_000011_000005	Zoodikers! she'd have the wedding to-night with all her heart.	Zoodikers! she'd have the wedding to night with all her heart.	false	799.59	803.52	21.474104
3094_136458_000011_000006	Would'st not, Sophy?	Would'st not, Sophy?	false	803.52	805.455	25.045437
3094_136458_000011_000007	Come, confess, and be an honest girl for once.	Come, confess, and be an honest girl for once.	true	805.455	809.05	21
3094_136458_000011_000008	What, art dumb?	What, art dumb?	true	809.33	810.795	29.565292
3094_136458_000011_000009	Why dost not speak?"	Why dost not speak?"	true	810.795	812.67	30.835402
3094_136458_000011_000010	"Why should I confess, sir," says Sophia, "since it seems you are so well acquainted with my thoughts?"----"That's a good girl," cries he, "and dost consent then?" "No, indeed, sir," says Sophia, "I have given no such consent."---"And wunt not ha un then to-morrow, nor next day?" says Western.--"Indeed, sir," says she, "I have no such intention." "But I can tell thee," replied he, "why hast nut; only because thou dost love to be disobedient, and to plague and vex thy father." "Pray, sir," said Jones, interfering----"I tell thee thou art a puppy," cries he.	"Why should I confess, sir," says Sophia, "since it seems you are so well acquainted with my thoughts?"----"That's a good girl," cries he, "and dost consent then?" "No, indeed, sir," says Sophia, "I have given no such consent."---"And wunt not ha un then to morrow, nor next day?" says Western.--"Indeed, sir," says she, "I have no such intention." "But I can tell thee," replied he, "why hast nut; only because thou dost love to be disobedient, and to plague and vex thy father." "Pray, sir," said Jones, interfering----"I tell thee thou art a puppy," cries he.	false	812.67	859.65	20.643484
3094_136458_000011_000011	"When I vorbid her, then it was all nothing but sighing and whining, and languishing and writing; now I am vor thee, she is against thee.	"When I vorbid her, then it was all nothing but sighing and whining, and languishing and writing; now I am v o r thee, she is against thee.	false	859.65	867.93	15
3094_136458_000011_000012	All the spirit of contrary, that's all.	All the spirit of contrary, that's all.	true	867.93	870.46	20
3094_136458_000011_000013	She is above being guided and governed by her father, that is the whole truth on't.	She is above being guided and governed by her father, that is the whole truth on't.	false	870.65	875.82	17
3094_136458_000011_000014	It is only to disoblige and contradict me." "What would my papa have me do?" cries Sophia.	It is only to disoblige and contradict me." "What would my papa have me do?" cries Sophia.	false	875.82	884.17	25.719538
3094_136458_000011_000015	"What would I ha thee do?" says he, "why, gi' un thy hand this moment."--"Well, sir," says Sophia, "I will obey you.--There is my hand, Mr Jones." "Well, and will you consent to ha un to-morrow morning?" says Western.--"I will be obedient to you, sir," cries she.--"Why then to-morrow morning be the day," cries he.	"What would I ha thee do?" says he, "why, gi' un thy hand this moment."--"Well, sir," says Sophia, "I will obey you.--There is my hand, Mr Jones." "Well, and will you consent to ha un to morrow morning?" says Western.--"I will be obedient to you, sir," cries she.--"Why then to morrow morning be the day," cries he.	false	884.72	909.99	18.981733
3094_136458_000011_000016	"Why then to-morrow morning shall be the day, papa, since you will have it so," says Sophia. Jones then fell upon his knees, and kissed her hand in an agony of joy, while Western began to caper and dance about the room, presently crying out--"Where the devil is Allworthy?	"Why then to morrow morning shall be the day, papa, since you will have it so," says Sophia. Jones then fell upon his knees, and kissed her hand in an agony of joy, while Western began to caper and dance about the room, presently crying out-"Where the devil is Allworthy?	true	909.99	927.63	17.930653
3094_136458_000011_000017	He is without now, a talking with that d--d lawyer Dowling, when he should be minding other matters." He then sallied out in quest of him, and very opportunely left the lovers to enjoy a few tender minutes alone.	He is without now, a talking with that d-d lawyer Dowling, when he should be minding other matters." He then sallied out in quest of him, and very opportunely left the lovers to enjoy a few tender minutes alone.	false	927.63	941.59	20.340021
3094_136458_000012_000000	But he soon returned with Allworthy, saying, "If you won't believe me, you may ask her yourself.	But he soon returned with Allworthy, saying, "If you won't believe me, you may ask her yourself.	true	942.53	949.29	17
3094_136458_000012_000001	Hast nut gin thy consent, Sophy, to be married to-morrow?" "Such are your commands, sir," cries Sophia, "and I dare not be guilty of disobedience." "I hope, madam," cries Allworthy, "my nephew will merit so much goodness, and will be always as sensible as myself of the great honour you have done my family.	Hast nut gin thy consent, Sophy, to be married to morrow?" "Such are your commands, sir," cries Sophia, "and I dare not be guilty of disobedience." "I hope, madam," cries Allworthy, "my nephew will merit so much goodness, and will be always as sensible as myself of the great honour you have done my family.	false	949.29	973.39	22.834785
3094_136458_000012_000002	An alliance with so charming and so excellent a young lady would indeed be an honour to the greatest in England." "Yes," cries Western, "but if I had suffered her to stand shill I shall I, dilly dally, you might not have had that honour yet a while; I was forced to use a little fatherly authority to bring her to." "I hope not, sir," cries Allworthy, "I hope there is not the least constraint." "Why, there," cries Western, "you may bid her unsay all again if you will.	An alliance with so charming and so excellent a young lady would indeed be an honour to the greatest in England." "Yes," cries Western, "but if I had suffered her to stand shill I shall I, dilly dally, you might not have had that honour yet a while; I was forced to use a little fatherly authority to bring her to." "I hope not, sir," cries Allworthy, "I hope there is not the least constraint." "Why, there," cries Western, "you may bid her unsay all again if you will.	false	973.64	1008.04	21.15769
3094_136458_000012_000003	Dost repent heartily of thy promise, dost not, Sophia?"	Dost repent heartily of thy promise, dost not, Sophia?"	true	1008.2	1011.61	22
3094_136458_000012_000004	"Indeed, papa," cries she, "I do not repent, nor do I believe I ever shall, of any promise in favour of Mr Jones." "Then, nephew," cries Allworthy, "I felicitate you most heartily; for I think you are the happiest of men. And, madam, you will give me leave to congratulate you on this joyful occasion: indeed, I am convinced you have bestowed yourself on one who will be sensible of your great merit, and who will at least use his best endeavours to deserve it." "His best endeavours!" cries Western, "that he will, I warrant un.----Harkee, Allworthy, I'll bet thee five pounds to a crown we have a boy to-morrow nine months; but prithee tell me what wut ha!	"Indeed, papa," cries she, "I do not repent, nor do I believe I ever shall, of any promise in favour of Mr Jones." "Then, nephew," cries Allworthy, "I felicitate you most heartily; for I think you are the happiest of men. And, madam, you will give me leave to congratulate you on this joyful occasion: indeed, I am convinced you have bestowed yourself on one who will be sensible of your great merit, and who will at least use his best endeavours to deserve it." "His best endeavours!" cries Western, "that he will, I warrant un.----Harkee, Allworthy, I'll bet thee five pounds to a crown we have a boy to morrow nine months; but prithee tell me what wut ha!	false	1012.4	1062.84	19.719397
3094_136458_000012_000005	Wut ha Burgundy, Champaigne, or what?	Wut ha Burgundy, Champaigne, or what?	false	1062.84	1065.82	20.706245
3094_136458_000012_000006	for, please Jupiter, we'll make a night on't." "Indeed, sir," said Allworthy, "you must excuse me; both my nephew and I were engaged before I suspected this near approach of his happiness."--"Engaged!" quoth the squire, "never tell me.--I won't part with thee to-night upon any occasion. Shalt sup here, please the lord Harry." "You must pardon me, my dear neighbour!" answered Allworthy; "I have given a solemn promise, and that you know I never break." "Why, prithee, who art engaged to?" cries the squire.----Allworthy then informed him, as likewise of the company.----"Odzookers!" answered the squire, "I will go with thee, and so shall Sophy! for I won't part with thee to-night; and it would be barbarous to part Tom and the girl."	for, please Jupiter, we'll make a night on't." "Indeed, sir," said Allworthy, "you must excuse me; both my nephew and I were engaged before I suspected this near approach of his happiness."--"Engaged!" quoth the squire, "never tell me.--I won't part with thee to night upon any occasion. Shalt sup here, please the lord Harry." "You must pardon me, my dear neighbour!" answered Allworthy; "I have given a solemn promise, and that you know I never break." "Why, prithee, who art engaged to?" cries the squire.----Allworthy then informed him, as likewise of the company.----"Odzookers!" answered the squire, "I will go with thee, and so shall Sophy! for I won't part with thee to night; and it would be barbarous to part Tom and the girl."	false	1065.86	1120.39	22.21149
3094_136458_000012_000007	This offer was presently embraced by Allworthy, and Sophia consented, having first obtained a private promise from her father that he would not mention a syllable concerning her marriage.	This offer was presently embraced by Allworthy, and Sophia consented, having first obtained a private promise from her father that he would not mention a syllable concerning her marriage.	false	1121.78	1137.54	21.256533
3094_136458_000013_000000	Chapter the last.	Chapter the last.	false	1137.54	1144.42	24.261015
3094_136458_000014_000000	In which the history is concluded.	In which the history is concluded.	true	1144.42	1147.15	23.705154
3094_136458_000015_000000	Young Nightingale had been that afternoon, by appointment, to wait on his father, who received him much more kindly than he expected.	Young Nightingale had been that afternoon, by appointment, to wait on his father, who received him much more kindly than he expected.	true	1149.47	1157.56	19.696312
3094_136458_000015_000001	There likewise he met his uncle, who was returned to town in quest of his new-married daughter.	There likewise he met his uncle, who was returned to town in quest of his new married daughter.	true	1157.93	1163.98	23.63457
3094_136458_000016_000000	This marriage was the luckiest incident which could have happened to the young gentleman; for these brothers lived in a constant state of contention about the government of their children, both heartily despising the method which each other took.	This marriage was the luckiest incident which could have happened to the young gentleman; for these brothers lived in a constant state of contention about the government of their children, both heartily despising the method which each other took.	true	1164.83	1179.01	21.002956
3094_136458_000016_000001	Each of them therefore now endeavoured, as much as he could, to palliate the offence which his own child had committed, and to aggravate the match of the other.	Each of them therefore now endeavoured, as much as he could, to palliate the offence which his own child had committed, and to aggravate the match of the other.	false	1179.41	1188.61	21.454214
3094_136458_000016_000002	This desire of triumphing over his brother, added to the many arguments which Allworthy had used, so strongly operated on the old gentleman that he met his son with a smiling countenance, and actually agreed to sup with him that evening at Mrs Miller's.	This desire of triumphing over his brother, added to the many arguments which Allworthy had used, so strongly operated on the old gentleman that he met his son with a smiling countenance, and actually agreed to sup with him that evening at Mrs Miller's.	true	1188.95	1205.77	19
3094_136458_000017_000000	As for the other, who really loved his daughter with the most immoderate affection, there was little difficulty in inclining him to a reconciliation.	As for the other, who really loved his daughter with the most immoderate affection, there was little difficulty in inclining him to a reconciliation.	true	1207.19	1217.17	20
3094_136458_000017_000001	He was no sooner informed by his nephew where his daughter and her husband were, than he declared he would instantly go to her.	He was no sooner informed by his nephew where his daughter and her husband were, than he declared he would instantly go to her.	true	1218.17	1226.59	21.161257
3094_136458_000017_000002	And when he arrived there he scarce suffered her to fall upon her knees before he took her up, and embraced her with a tenderness which affected all who saw him; and in less than a quarter of an hour was as well reconciled to both her and her husband as if he had himself joined their hands.	And when he arrived there he scarce suffered her to fall upon her knees before he took her up, and embraced her with a tenderness which affected all who saw him; and in less than a quarter of an hour was as well reconciled to both her and her husband as if he had himself joined their hands.	false	1227.17	1246.69	20.729996
