3370_756_000004_000000	EPILOGUE	EPILOGUE
3370_756_000011_000017	I wanted to fall at his feet in reverence, but I thought at once that he would take it only for my joy at the thought of Mitya's being saved (and he certainly would have imagined that!), and I was so exasperated at the mere possibility of such an unjust thought on his part that I lost my temper again, and instead of kissing his feet, flew into a fury again!	I wanted to fall at his feet in reverence, but I thought at once that he would take it only for my joy at the thought of Mitya's being saved (and he certainly would have imagined that!), and I was so exasperated at the mere possibility of such an unjust thought on his part that I lost my temper again, and instead of kissing his feet, flew into a fury again!
3370_756_000011_000018	Oh, I am unhappy!	Oh, I am unhappy!
3370_756_000011_000019	It's my character, my awful, unhappy character!	It's my character, my awful, unhappy character!
3370_756_000011_000020	Oh, you will see, I shall end by driving him, too, to abandon me for another with whom he can get on better, like Dmitri.	Oh, you will see, I shall end by driving him, too, to abandon me for another with whom he can get on better, like Dmitri.
3370_756_000011_000021	But ... no, I could not bear it, I should kill myself.	But ... no, I could not bear it, I should kill myself.
3370_756_000011_000023	I said that malicious thing on purpose to wound him again.	I said that malicious thing on purpose to wound him again.
3370_756_000011_000024	He had never, never persuaded me that his brother was a murderer.	He had never, never persuaded me that his brother was a murderer.
3370_756_000011_000025	On the contrary, it was I who persuaded him!	On the contrary, it was I who persuaded him!
3370_756_000011_000026	Oh, my vile temper was the cause of everything!	Oh, my vile temper was the cause of everything!
3370_756_000011_000027	I paved the way to that hideous scene at the trial.	I paved the way to that hideous scene at the trial.
3370_756_000011_000028	He wanted to show me that he was an honorable man, and that, even if I loved his brother, he would not ruin him for revenge or jealousy.	He wanted to show me that he was an honorable man, and that, even if I loved his brother, he would not ruin him for revenge or jealousy.
3370_756_000011_000029	So he came to the court ...	So he came to the court ...
3370_756_000012_000001	Oh, Alyosha knew another terrible reason of her present misery, though she had carefully concealed it from him during those days since the trial; but it would have been for some reason too painful to him if she had been brought so low as to speak to him now about that.	Oh, Alyosha knew another terrible reason of her present misery, though she had carefully concealed it from him during those days since the trial; but it would have been for some reason too painful to him if she had been brought so low as to speak to him now about that.
3370_756_000012_000002	She was suffering for her "treachery" at the trial, and Alyosha felt that her conscience was impelling her to confess it to him, to him, Alyosha, with tears and cries and hysterical writhings on the floor.	She was suffering for her "treachery" at the trial, and Alyosha felt that her conscience was impelling her to confess it to him, to him, Alyosha, with tears and cries and hysterical writhings on the floor.
3370_756_000012_000003	But he dreaded that moment and longed to spare her.	But he dreaded that moment and longed to spare her.
3370_756_000012_000004	It made the commission on which he had come even more difficult.	It made the commission on which he had come even more difficult.
3370_756_000013_000000	"It's all right, it's all right, don't be anxious about him!" she began again, sharply and stubbornly.	"It's all right, it's all right, don't be anxious about him!" she began again, sharply and stubbornly.
3370_756_000013_000001	"All that is only momentary, I know him, I know his heart only too well.	"All that is only momentary, I know him, I know his heart only too well.
3370_756_000013_000002	You may be sure he will consent to escape. It's not as though it would be immediately; he will have time to make up his mind to it.	You may be sure he will consent to escape. It's not as though it would be immediately; he will have time to make up his mind to it.
3370_756_000013_000003	Ivan Fyodorovitch will be well by that time and will manage it all himself, so that I shall have nothing to do with it.	Ivan Fyodorovitch will be well by that time and will manage it all himself, so that I shall have nothing to do with it.
3370_756_000013_000005	He has agreed already: do you suppose he would give up that creature?	He has agreed already: do you suppose he would give up that creature?
3370_756_000013_000006	And they won't let her go to him, so he is bound to escape.	And they won't let her go to him, so he is bound to escape.
3370_756_000013_000007	It's you he's most afraid of, he is afraid you won't approve of his escape on moral grounds.	It's you he's most afraid of, he is afraid you won't approve of his escape on moral grounds.
3370_756_000013_000009	She paused and smiled.	She paused and smiled.
3370_756_000014_000000	"He talks about some hymn," she went on again, "some cross he has to bear, some duty; I remember Ivan Fyodorovitch told me a great deal about it, and if you knew how he talked!" Katya cried suddenly, with feeling she could not repress, "if you knew how he loved that wretched man at the moment he told me, and how he hated him, perhaps, at the same moment.	"He talks about some hymn," she went on again, "some cross he has to bear, some duty; I remember Ivan Fyodorovitch told me a great deal about it, and if you knew how he talked!" Katya cried suddenly, with feeling she could not repress, "if you knew how he loved that wretched man at the moment he told me, and how he hated him, perhaps, at the same moment.
3370_756_000014_000001	And I heard his story and his tears with sneering disdain.	And I heard his story and his tears with sneering disdain.
3370_756_000014_000002	Brute!	Brute!
3370_756_000014_000003	Yes, I am a brute.	Yes, I am a brute.
3370_756_000014_000004	I am responsible for his fever.	I am responsible for his fever.
3370_756_000014_000005	But that man in prison is incapable of suffering," Katya concluded irritably.	But that man in prison is incapable of suffering," Katya concluded irritably.
3370_756_000014_000006	"Can such a man suffer?	"Can such a man suffer?
3370_756_000014_000007	Men like him never suffer!"	Men like him never suffer!"
3370_756_000015_000000	There was a note of hatred and contemptuous repulsion in her words.	There was a note of hatred and contemptuous repulsion in her words.
3370_756_000015_000001	And yet it was she who had betrayed him.	And yet it was she who had betrayed him.
3370_756_000015_000002	"Perhaps because she feels how she's wronged him she hates him at moments," Alyosha thought to himself.	"Perhaps because she feels how she's wronged him she hates him at moments," Alyosha thought to himself.
3370_756_000016_000000	"I sent for you this morning to make you promise to persuade him yourself. Or do you, too, consider that to escape would be dishonorable, cowardly, or something ... unchristian, perhaps?" Katya added, even more defiantly.	"I sent for you this morning to make you promise to persuade him yourself. Or do you, too, consider that to escape would be dishonorable, cowardly, or something ... unchristian, perhaps?" Katya added, even more defiantly.
3370_756_000017_000000	"Oh, no. I'll tell him everything," muttered Alyosha.	"Oh, no I'll tell him everything," muttered Alyosha.
3370_756_000017_000002	She started, and drew back a little from him on the sofa.	She started, and drew back a little from him on the sofa.
3370_756_000018_000000	"Me?	"Me?
3370_756_000018_000001	Can that be?" she faltered, turning pale.	Can that be?" she faltered, turning pale.
3370_756_000019_000000	"It can and ought to be!" Alyosha began emphatically, growing more animated.	"It can and ought to be!" Alyosha began emphatically, growing more animated.
3370_756_000019_000001	"He needs you particularly just now.	"He needs you particularly just now.
3370_756_000019_000002	I would not have opened the subject and worried you, if it were not necessary.	I would not have opened the subject and worried you, if it were not necessary.
3370_756_000019_000003	He is ill, he is beside himself, he keeps asking for you.	He is ill, he is beside himself, he keeps asking for you.
3370_756_000019_000004	It is not to be reconciled with you that he wants you, but only that you would go and show yourself at his door.	It is not to be reconciled with you that he wants you, but only that you would go and show yourself at his door.
3370_756_000019_000005	So much has happened to him since that day.	So much has happened to him since that day.
3370_756_000019_000006	He realizes that he has injured you beyond all reckoning.	He realizes that he has injured you beyond all reckoning.
3370_756_000019_000007	He does not ask your forgiveness--'It's impossible to forgive me,' he says himself--but only that you would show yourself in his doorway."	He does not ask your forgiveness-'It's impossible to forgive me,' he says himself-but only that you would show yourself in his doorway."
3370_756_000020_000000	"It's so sudden...." faltered Katya.	"It's so sudden...." faltered Katya.
3370_756_000020_000001	"I've had a presentiment all these days that you would come with that message.	"I've had a presentiment all these days that you would come with that message.
3370_756_000020_000002	I knew he would ask me to come.	I knew he would ask me to come.
3370_756_000021_000001	Only think, he realizes for the first time how he has wounded you, the first time in his life; he had never grasped it before so fully.	Only think, he realizes for the first time how he has wounded you, the first time in his life; he had never grasped it before so fully.
3370_756_000021_000004	Think--you must visit him; though he is ruined, he is innocent," broke like a challenge from Alyosha.	Think-you must visit him; though he is ruined, he is innocent," broke like a challenge from Alyosha.
3370_756_000021_000006	For the sake of his infinite sufferings in the future visit him now.	For the sake of his infinite sufferings in the future visit him now.
3370_756_000021_000007	Go, greet him on his way into the darkness--stand at his door, that is all....	Go, greet him on his way into the darkness-stand at his door, that is all....
3370_756_000021_000008	You ought to do it, you ought to!" Alyosha concluded, laying immense stress on the word "ought."	You ought to do it, you ought to!" Alyosha concluded, laying immense stress on the word "ought."
3370_756_000022_000000	"I ought to ... but I cannot...." Katya moaned.	"I ought to ... but I cannot...." Katya moaned.
3370_756_000022_000001	"He will look at me....	"He will look at me....
3370_756_000022_000002	I can't."	I can't."
3370_756_000023_000000	"Your eyes ought to meet.	"Your eyes ought to meet.
3370_756_000023_000001	How will you live all your life, if you don't make up your mind to do it now?"	How will you live all your life, if you don't make up your mind to do it now?"
3370_756_000024_000000	"Better suffer all my life."	"Better suffer all my life."
3370_756_000025_000000	"You ought to go, you ought to go," Alyosha repeated with merciless emphasis.	"You ought to go, you ought to go," Alyosha repeated with merciless emphasis.
3370_756_000026_000000	"But why to-day, why at once?...	"But why to day, why at once?...
3370_756_000026_000001	I can't leave our patient--"	I can't leave our patient-"
3370_756_000027_000000	"You can for a moment.	"You can for a moment.
3370_756_000027_000002	If you don't come, he will be in delirium by to-night.	If you don't come, he will be in delirium by to night.
3370_756_000027_000003	I would not tell you a lie; have pity on him!"	I would not tell you a lie; have pity on him!"
3370_756_000029_000000	"Then you will come," said Alyosha firmly, seeing her tears.	"Then you will come," said Alyosha firmly, seeing her tears.
3370_756_000029_000001	"I'll go and tell him you will come directly."	"I'll go and tell him you will come directly."
3370_756_000030_000000	"No, don't tell him so on any account," cried Katya in alarm.	"No, don't tell him so on any account," cried Katya in alarm.
3370_756_000030_000001	"I will come, but don't tell him beforehand, for perhaps I may go, but not go in....	"I will come, but don't tell him beforehand, for perhaps I may go, but not go in....
3370_756_000030_000002	I don't know yet--"	I don't know yet-"
3370_756_000031_000001	She gasped for breath.	She gasped for breath.
3370_756_000033_000000	"That's just why you must go now, to avoid meeting any one.	"That's just why you must go now, to avoid meeting any one.
3370_756_000033_000002	We will expect you," he concluded emphatically, and went out of the room.	We will expect you," he concluded emphatically, and went out of the room.
