6341_64956_000002_000000	CHAPTER I.	CHAPTER one
6341_64956_000026_000000	"Thank you, ma'am, I daresay you mean to be very kind," replied Elsie, trying not to look annoyed, "but I don't want a mamma, since my own dear mother has gone to heaven; papa is enough for me, and I like the way he dresses me.	"Thank you, ma'am, I daresay you mean to be very kind," replied Elsie, trying not to look annoyed, "but I don't want a mamma, since my own dear mother has gone to heaven; papa is enough for me, and I like the way he dresses me.
6341_64956_000026_000001	He always buys my dresses himself and says how they are to be made.	He always buys my dresses himself and says how they are to be made.
6341_64956_000026_000002	The dressmaker wanted to put more flounces on, but papa didn't want them and neither did I. He says he doesn't like to see little girls loaded with finery, and that my clothes shall be of the best material and nicely made, but neat and simple."	The dressmaker wanted to put more flounces on, but papa didn't want them and neither did i He says he doesn't like to see little girls loaded with finery, and that my clothes shall be of the best material and nicely made, but neat and simple."
6341_64956_000027_000000	"Oh, yes; I know your dress is not cheap; I didn't mean that at all: it is quite expensive enough, and some of your white dresses are beautifully worked; but I would like a little more ornament.	"Oh, yes; I know your dress is not cheap; I didn't mean that at all: it is quite expensive enough, and some of your white dresses are beautifully worked; but I would like a little more ornament.
6341_64956_000027_000001	You wear so little jewelry, and your father could afford to cover you with it if he chose.	You wear so little jewelry, and your father could afford to cover you with it if he chose.
6341_64956_000027_000002	A pair of gold bracelets, like mine for instance, would be very pretty, and look charming on your lovely white arms: those pearl ones you wear sometimes are very handsome--any one could tell that they are the real thing--but you ought to have gold ones too, with clasps set with diamonds.	A pair of gold bracelets, like mine for instance, would be very pretty, and look charming on your lovely white arms: those pearl ones you wear sometimes are very handsome-any one could tell that they are the real thing-but you ought to have gold ones too, with clasps set with diamonds.
6341_64956_000027_000003	Couldn't you persuade your papa to buy some for you?"	Couldn't you persuade your papa to buy some for you?"
6341_64956_000028_000000	"Indeed, Miss Stevens, I don't want them!	"Indeed, Miss Stevens, I don't want them!
6341_64956_000028_000001	I don't want anything but what papa chooses to buy for me of his own accord.	I don't want anything but what papa chooses to buy for me of his own accord.
6341_64956_000029_000000	Elsie went in to get her hat, and Miss Stevens came towards Rose, saying, "I think I heard you say you were going to walk; and I believe, if you don't forbid me, I shall do myself the pleasure of accompanying you.	Elsie went in to get her hat, and Miss Stevens came towards Rose, saying, "I think I heard you say you were going to walk; and I believe, if you don't forbid me, I shall do myself the pleasure of accompanying you.
6341_64956_000029_000001	I have just been waiting for pleasant company.	I have just been waiting for pleasant company.
6341_64956_000029_000002	I will be ready in one moment." And before Rose could recover from her astonishment sufficiently to reply she had disappeared through the hall door.	I will be ready in one moment." And before Rose could recover from her astonishment sufficiently to reply she had disappeared through the hall door.
6341_64956_000030_000000	Elsie was out again in a moment, just as the gentlemen had joined Rose, who excited their surprise and disgust by a repetition of Miss Stevens' speech to her.	Elsie was out again in a moment, just as the gentlemen had joined Rose, who excited their surprise and disgust by a repetition of Miss Stevens' speech to her.
6341_64956_000031_000000	Mr. Dinsmore looked excessively annoyed, and Edward "pshawed, and wished her at the bottom of the sea."	mr Dinsmore looked excessively annoyed, and Edward "pshawed, and wished her at the bottom of the sea."
6341_64956_000032_000000	"No, brother," said Rose, smiling, "you don't wish any such thing; on the contrary, you would be the very first to fly to the rescue if you saw her in danger of drowning."	"No, brother," said Rose, smiling, "you don't wish any such thing; on the contrary, you would be the very first to fly to the rescue if you saw her in danger of drowning."
6341_64956_000033_000000	But before there was time for anything more to be said Miss Stevens had returned, and walking straight up to Mr. Dinsmore, she put her arm through his, saying with a little laugh, and what was meant for a very arch expression, "You see I don't stand upon ceremony with old friends, Mr. Dinsmore.	But before there was time for anything more to be said Miss Stevens had returned, and walking straight up to mr Dinsmore, she put her arm through his, saying with a little laugh, and what was meant for a very arch expression, "You see I don't stand upon ceremony with old friends, mr Dinsmore.
6341_64956_000033_000001	It isn't my way."	It isn't my way."
6341_64956_000034_000000	"No, Miss Stevens, I think it never was," he replied, offering the other arm to Rose.	"No, Miss Stevens, I think it never was," he replied, offering the other arm to Rose.
6341_64956_000035_000000	She was going to decline it on the plea that the path was too narrow for three, but something in his look made her change her mind and accept; and they moved on, while Elsie, almost ready to cry with vexation, fell behind with Edward Allison for an escort.	She was going to decline it on the plea that the path was too narrow for three, but something in his look made her change her mind and accept; and they moved on, while Elsie, almost ready to cry with vexation, fell behind with Edward Allison for an escort.
6341_64956_000036_000000	Edward tried to entertain his young companion, but was too much provoked at the turn things had taken to make himself very agreeable to any one; and altogether it was quite an uncomfortable walk: no one seeming to enjoy it but Miss Stevens, who laughed and talked incessantly; addressing nearly all her conversation to Mr. Dinsmore, he answering her with studied politeness, but nothing more.	Edward tried to entertain his young companion, but was too much provoked at the turn things had taken to make himself very agreeable to any one; and altogether it was quite an uncomfortable walk: no one seeming to enjoy it but Miss Stevens, who laughed and talked incessantly; addressing nearly all her conversation to mr Dinsmore, he answering her with studied politeness, but nothing more.
6341_64956_000037_000000	Miss Stevens had, from the first, conceived a great antipathy to Rose, whom she considered a dangerous rival, and generally avoided, excepting when Mr. Dinsmore was with her; but she always interrupted a tete-a-tete between them when it was in her power to do so without being guilty of very great rudeness.	Miss Stevens had, from the first, conceived a great antipathy to Rose, whom she considered a dangerous rival, and generally avoided, excepting when mr Dinsmore was with her; but she always interrupted a tete a tete between them when it was in her power to do so without being guilty of very great rudeness.
6341_64956_000037_000001	This, and the covert sneers with which she often addressed Miss Allison had not escaped Mr. Dinsmore's notice, and it frequently cost him quite an effort to treat Miss Stevens with the respectful politeness which he considered due to her sex and to the daughter of his father's old friend.	This, and the covert sneers with which she often addressed Miss Allison had not escaped mr Dinsmore's notice, and it frequently cost him quite an effort to treat Miss Stevens with the respectful politeness which he considered due to her sex and to the daughter of his father's old friend.
6341_64956_000038_000000	"Was it not too provoking, papa?" exclaimed Elsie, as she followed him into his room on their return from their walk.	"Was it not too provoking, papa?" exclaimed Elsie, as she followed him into his room on their return from their walk.
6341_64956_000039_000000	"What, my dear?"	"What, my dear?"
6341_64956_000040_000000	"Why, papa, I thought we were going to have such a nice time, and she just spoiled it all."	"Why, papa, I thought we were going to have such a nice time, and she just spoiled it all."
6341_64956_000041_000000	"She? who, daughter?"	"She? who, daughter?"
6341_64956_000042_000000	"Why, papa, surely you know I mean Miss Stevens!"	"Why, papa, surely you know I mean Miss Stevens!"
6341_64956_000043_000000	"Then why did you not mention her name, instead of speaking of her as she?	"Then why did you not mention her name, instead of speaking of her as she?
6341_64956_000043_000001	That does not sound respectful in a child of your age, and I wish my little girl always to be respectful to those older than herself. I thought I heard you the other day mention some gentleman's name without the prefix of Mr., and I intended to reprove you for it at the time.	That does not sound respectful in a child of your age, and I wish my little girl always to be respectful to those older than herself. I thought I heard you the other day mention some gentleman's name without the prefix of mr, and I intended to reprove you for it at the time.
6341_64956_000043_000002	Don't do it again."	Don't do it again."
6341_64956_000044_000000	"No, sir, I won't," Elsie answered with a blush.	"No, sir, I won't," Elsie answered with a blush.
6341_64956_000044_000001	"But, papa," she added the next moment, "Miss Stevens does that constantly."	"But, papa," she added the next moment, "Miss Stevens does that constantly."
6341_64956_000045_000000	"That makes no difference, my daughter," he said gravely.	"That makes no difference, my daughter," he said gravely.
6341_64956_000045_000001	"Miss Stevens is the very last person I would have you take for your model; the less you resemble her in dress, manners, or anything else, the better.	"Miss Stevens is the very last person I would have you take for your model; the less you resemble her in dress, manners, or anything else, the better.
6341_64956_000045_000002	If you wish to copy any one let it be Miss Allison, for she is a perfect lady in every respect."	If you wish to copy any one let it be Miss Allison, for she is a perfect lady in every respect."
6341_64956_000046_000000	Elsie looked very much pleased.	Elsie looked very much pleased.
6341_64956_000046_000001	"Yes, indeed, papa," she said, "I should be glad if I could be just like Miss Rose, she is always kind and gentle to everybody; even the servants, whom Miss Stevens orders about so crossly."	"Yes, indeed, papa," she said, "I should be glad if I could be just like Miss Rose, she is always kind and gentle to everybody; even the servants, whom Miss Stevens orders about so crossly."
6341_64956_000047_000000	"Elsie!"	"Elsie!"
6341_64956_000048_000000	"What, papa?" she asked, blushing again, for his tone was reproving.	"What, papa?" she asked, blushing again, for his tone was reproving.
6341_64956_000049_000000	"Come here and sit on my knee; I want to talk to you.	"Come here and sit on my knee; I want to talk to you.
6341_64956_000049_000001	I am afraid my little daughter is growing censorious," he said, with a very grave look as he drew her to his side.	I am afraid my little daughter is growing censorious," he said, with a very grave look as he drew her to his side.
6341_64956_000049_000002	"You forget that we ought not to speak of other people's faults."	"You forget that we ought not to speak of other people's faults."
6341_64956_000050_000000	"I will try not to do it any more, papa," she replied, the tears springing to her eyes; "but you don't know how very annoying Miss Stevens is.	"I will try not to do it any more, papa," she replied, the tears springing to her eyes; "but you don't know how very annoying Miss Stevens is.
6341_64956_000050_000001	I have been near telling her several times that I did wish she would let me alone."	I have been near telling her several times that I did wish she would let me alone."
6341_64956_000051_000000	"No, daughter, don't do that.	"No, daughter, don't do that.
6341_64956_000051_000001	You must behave in a lady-like manner whether she does or not.	You must behave in a lady like manner whether she does or not.
6341_64956_000051_000002	We must expect annoyances in this world, my child; and must try to bear them with patience, remembering that God sends the little trials as well as the great, and that He has commanded us to 'let patience have her perfect work.' I fear it is a lack of the spirit of forgiveness that makes it so difficult for us to bear these trifling vexations with equanimity.	We must expect annoyances in this world, my child; and must try to bear them with patience, remembering that God sends the little trials as well as the great, and that He has commanded us to 'let patience have her perfect work.' I fear it is a lack of the spirit of forgiveness that makes it so difficult for us to bear these trifling vexations with equanimity.
6341_64956_000051_000003	And you must remember too, dear, that the Bible bids us be courteous, and teaches us to treat others as we ourselves would wish to be treated."	And you must remember too, dear, that the Bible bids us be courteous, and teaches us to treat others as we ourselves would wish to be treated."
6341_64956_000052_000000	"I think you always remember the command to be courteous, papa," she said, looking affectionately into his face.	"I think you always remember the command to be courteous, papa," she said, looking affectionately into his face.
6341_64956_000052_000001	"I was wondering all the time how you could be so very polite to Miss Stevens; for I was quite sure you would rather not have had her along.	"I was wondering all the time how you could be so very polite to Miss Stevens; for I was quite sure you would rather not have had her along.
6341_64956_000052_000002	And then, what right had she to take your arm without being asked?" and Elsie's face flushed with indignation.	And then, what right had she to take your arm without being asked?" and Elsie's face flushed with indignation.
6341_64956_000053_000000	Her father laughed a little.	Her father laughed a little.
6341_64956_000053_000001	"And thus deprive my little girl of her rights," he said, softly kissing the glowing cheek.	"And thus deprive my little girl of her rights," he said, softly kissing the glowing cheek.
6341_64956_000053_000002	"Ah!	"Ah!
6341_64956_000053_000003	I doubt if you would have been angry had it been Miss Rose," he added, a little mischievously.	I doubt if you would have been angry had it been Miss Rose," he added, a little mischievously.
6341_64956_000054_000000	"Oh, papa, you know Miss Rose would never have done such a thing!" exclaimed the little girl warmly.	"Oh, papa, you know Miss Rose would never have done such a thing!" exclaimed the little girl warmly.
6341_64956_000055_000000	"Ah! well, dear," he said in a soothing tone; "we won't talk any more about it.	"Ah! well, dear," he said in a soothing tone; "we won't talk any more about it.
6341_64956_000055_000001	I acknowledge that I do not find Miss Stevens the most agreeable company in the world, but I must treat her politely, and show her a little attention sometimes; both because she is a lady and because her father once saved my father's life; for which I owe a debt of gratitude to him and his children."	I acknowledge that I do not find Miss Stevens the most agreeable company in the world, but I must treat her politely, and show her a little attention sometimes; both because she is a lady and because her father once saved my father's life; for which I owe a debt of gratitude to him and his children."
6341_64956_000056_000000	"Did he, papa?	"Did he, papa?
6341_64956_000056_000001	I am sure it was very good of him, and I will try to like Miss Stevens for that.	I am sure it was very good of him, and I will try to like Miss Stevens for that.
6341_64956_000056_000002	But won't you tell me about it?"	But won't you tell me about it?"
6341_64956_000057_000000	"It was when they were both quite young men," said Mr. Dinsmore, "before either of them was married: they were skating together and your grandfather broke through the ice, and would have been drowned, but for the courage and presence of mind of Mr. Stevens, who saved him only by very great exertion, and at the risk of his own life."	"It was when they were both quite young men," said mr Dinsmore, "before either of them was married: they were skating together and your grandfather broke through the ice, and would have been drowned, but for the courage and presence of mind of mr Stevens, who saved him only by very great exertion, and at the risk of his own life."
6341_64956_000058_000000	A few days after this, Elsie was playing on the veranda, with several other little girls.	A few days after this, Elsie was playing on the veranda, with several other little girls.
6341_64956_000058_000001	"Do you think you shall like your new mamma, Elsie?" asked one of them in a careless tone, as she tied on an apron she had just been making for her doll, and turned it around to see how it fitted.	"Do you think you shall like your new mamma, Elsie?" asked one of them in a careless tone, as she tied on an apron she had just been making for her doll, and turned it around to see how it fitted.
6341_64956_000059_000000	"My new mamma!" exclaimed Elsie, with unfeigned astonishment, dropping the scissors with which she had been cutting paper dolls for some of the little ones.	"My new mamma!" exclaimed Elsie, with unfeigned astonishment, dropping the scissors with which she had been cutting paper dolls for some of the little ones.
6341_64956_000059_000001	"What can you mean, Annie?	"What can you mean, Annie?
6341_64956_000059_000002	I am not going to have any new mamma."	I am not going to have any new mamma."
6341_64956_000060_000000	"Yes, indeed, but you are though," asserted Annie positively; "for I heard my mother say so only yesterday; and it must be so, for she Miss Stevens told it herself."	"Yes, indeed, but you are though," asserted Annie positively; "for I heard my mother say so only yesterday; and it must be so, for she Miss Stevens told it herself."
6341_64956_000061_000000	"Miss Stevens! and what does she know about it?	"Miss Stevens! and what does she know about it?
6341_64956_000061_000001	what has she to do with my papa's affairs?" asked Elsie indignantly, the color rushing over face, neck, and arms.	what has she to do with my papa's affairs?" asked Elsie indignantly, the color rushing over face, neck, and arms.
6341_64956_000063_000000	"She isn't! it's false!	"She isn't! it's false!
6341_64956_000063_000001	my"--but Elsie checked herself and shut her teeth hard to keep down the emotion that was swelling in her breast.	my"--but Elsie checked herself and shut her teeth hard to keep down the emotion that was swelling in her breast.
6341_64956_000065_000000	Elsie made no reply, but dropping scissors, paper, and everything, sprang up and ran swiftly along the veranda, through the hall, upstairs, and without pausing to take breath, rushed into her father's room, where he sat quietly reading.	Elsie made no reply, but dropping scissors, paper, and everything, sprang up and ran swiftly along the veranda, through the hall, upstairs, and without pausing to take breath, rushed into her father's room, where he sat quietly reading.
6341_64956_000066_000000	"Why, Elsie, daughter, what is the matter?" he asked in a tone of surprise and concern, as he caught sight of her flushed and agitated face.	"Why, Elsie, daughter, what is the matter?" he asked in a tone of surprise and concern, as he caught sight of her flushed and agitated face.
6341_64956_000067_000000	"Oh, papa, it's that hateful Miss Stevens; I can't bear her!" she cried, throwing herself upon his breast, and bursting into a fit of passionate weeping.	"Oh, papa, it's that hateful Miss Stevens; I can't bear her!" she cried, throwing herself upon his breast, and bursting into a fit of passionate weeping.
6341_64956_000068_000000	Mr. Dinsmore said nothing for a moment; but thinking tears would prove the best relief to her overwrought feelings, contented himself with simply stroking her hair in a soothing way, and once or twice pressing his lips gently to her forehead.	mr Dinsmore said nothing for a moment; but thinking tears would prove the best relief to her overwrought feelings, contented himself with simply stroking her hair in a soothing way, and once or twice pressing his lips gently to her forehead.
6341_64956_000069_000000	"You feel better now, dearest, do you not?" he asked presently, as she raised her head to wipe away her tears.	"You feel better now, dearest, do you not?" he asked presently, as she raised her head to wipe away her tears.
6341_64956_000070_000000	"Yes, papa."	"Yes, papa."
6341_64956_000071_000000	"Now tell me what it was all about."	"Now tell me what it was all about."
6341_64956_000072_000000	"Miss Stevens does say such hateful things, papa!"	"Miss Stevens does say such hateful things, papa!"
6341_64956_000073_000000	He laid his finger upon her lips.	He laid his finger upon her lips.
6341_64956_000073_000001	"Don't use that word again.	"Don't use that word again.
6341_64956_000073_000002	It does not sound at all like my usually gentle sweet-tempered little girl."	It does not sound at all like my usually gentle sweet tempered little girl."
6341_64956_000074_000000	"I won't, papa," she murmured, blushing and hanging her head.	"I won't, papa," she murmured, blushing and hanging her head.
6341_64956_000074_000001	Then hiding her face on his breast, she lay there for several minutes perfectly silent and still.	Then hiding her face on his breast, she lay there for several minutes perfectly silent and still.
6341_64956_000075_000000	"What is my little girl thinking of?" he asked at length.	"What is my little girl thinking of?" he asked at length.
6341_64956_000076_000000	"How everybody talks about you, papa; last evening I was out on the veranda, and I heard John and Miss Stevens' maid, Phillis, talking together.	"How everybody talks about you, papa; last evening I was out on the veranda, and I heard john and Miss Stevens' maid, Phillis, talking together.
6341_64956_000077_000000	"Who?	"Who?
6341_64956_000077_000001	Phillis?" asked Mr. Dinsmore, looking excessively amused.	Phillis?" asked mr Dinsmore, looking excessively amused.
6341_64956_000079_000000	"Well, dear, and what of it all?" he asked, soothingly.	"Well, dear, and what of it all?" he asked, soothingly.
6341_64956_000079_000001	"I don't think the silly nonsense of the servants need trouble you.	"I don't think the silly nonsense of the servants need trouble you.
6341_64956_000079_000002	John is a sad fellow, I know; he courts all the pretty colored girls wherever he goes.	john is a sad fellow, I know; he courts all the pretty colored girls wherever he goes.
6341_64956_000079_000003	I shall have to read him a serious lecture on the subject.	I shall have to read him a serious lecture on the subject.
6341_64956_000079_000004	But it is very kind of you to be so concerned for Phillis."	But it is very kind of you to be so concerned for Phillis."
6341_64956_000080_000000	"Oh, papa, don't!" she said, turning away her face.	"Oh, papa, don't!" she said, turning away her face.
6341_64956_000080_000001	"Please don't tease me so.	"Please don't tease me so.
6341_64956_000080_000002	You know I don't care for Phillis or John; but that isn't all." And then she repeated what had passed between Annie and herself.	You know I don't care for Phillis or john; but that isn't all." And then she repeated what had passed between Annie and herself.
6341_64956_000081_000000	He looked a good deal provoked as she went on with her story; then very grave indeed.	He looked a good deal provoked as she went on with her story; then very grave indeed.
6341_64956_000081_000001	He was quite silent for a moment after she had done.	He was quite silent for a moment after she had done.
6341_64956_000081_000002	Then drawing her closer to him, he said tenderly, "My poor little girl, I am sorry you should be so annoyed; but you know it is not true, daughter, and why need you care what other people think and say?"	Then drawing her closer to him, he said tenderly, "My poor little girl, I am sorry you should be so annoyed; but you know it is not true, daughter, and why need you care what other people think and say?"
6341_64956_000082_000000	"I don't like them to talk so, papa!	"I don't like them to talk so, papa!
6341_64956_000082_000001	I can't bear to have them say such things about you!" she exclaimed indignantly.	I can't bear to have them say such things about you!" she exclaimed indignantly.
6341_64956_000083_000000	He was silent again for a little; then said kindly, "I think I had better take you away from these troublesome talkers.	He was silent again for a little; then said kindly, "I think I had better take you away from these troublesome talkers.
6341_64956_000083_000001	What do you say to going home?"	What do you say to going home?"
6341_64956_000084_000000	"Oh, yes, papa, do take me home," she answered eagerly.	"Oh, yes, papa, do take me home," she answered eagerly.
6341_64956_000084_000001	"I wish we were there now.	"I wish we were there now.
6341_64956_000084_000003	Let us start to-morrow, papa; can't we?"	Let us start to morrow, papa; can't we?"
6341_64956_000085_000000	"But you know you will have to leave Miss Rose."	"But you know you will have to leave Miss Rose."
6341_64956_000087_000000	"No, my dear, it wouldn't do," he replied with a grave shake of the head.	"No, my dear, it wouldn't do," he replied with a grave shake of the head.
6341_64956_000088_000000	"Why, papa?" she asked with a look of keen disappointment.	"Why, papa?" she asked with a look of keen disappointment.
6341_64956_000089_000000	"You are too young to understand why," he said in the same grave tone, and then relapsed into silence; sitting there for some time stroking her hair in an absent way, with his eyes on the carpet.	"You are too young to understand why," he said in the same grave tone, and then relapsed into silence; sitting there for some time stroking her hair in an absent way, with his eyes on the carpet.
6341_64956_000090_000000	At last he said, "Elsie!" in a soft, low tone that quite made the little girl start and look up into his face; for she, too, had been in a deep reverie.	At last he said, "Elsie!" in a soft, low tone that quite made the little girl start and look up into his face; for she, too, had been in a deep reverie.
6341_64956_000091_000000	"What, papa?" she asked, and she wondered to see how the color had spread over his face, and how bright his eyes looked.	"What, papa?" she asked, and she wondered to see how the color had spread over his face, and how bright his eyes looked.
6341_64956_000092_000000	"I have been thinking," he said, in a half hesitating way, "that though it would not do to invite Miss Rose to spend the winter with us, it might do very nicely to ask her to come and live at the Oaks."	"I have been thinking," he said, in a half hesitating way, "that though it would not do to invite Miss Rose to spend the winter with us, it might do very nicely to ask her to come and live at the Oaks."
6341_64956_000093_000000	Elsie looked at him for a moment with a bewildered expression; then suddenly comprehending, her face lighted up.	Elsie looked at him for a moment with a bewildered expression; then suddenly comprehending, her face lighted up.
6341_64956_000094_000000	"Would you like it, dearest?" he asked; "or would you prefer to go on living just as we have been, you and I together?	"Would you like it, dearest?" he asked; "or would you prefer to go on living just as we have been, you and I together?
6341_64956_000094_000001	I would consult your happiness before my own, for it lies very near my heart, my precious one.	I would consult your happiness before my own, for it lies very near my heart, my precious one.
6341_64956_000094_000002	I can never forgive myself for all I have made you suffer, and when you were restored to me almost from the grave, I made a vow to do all in my power to make your future life bright and happy."	I can never forgive myself for all I have made you suffer, and when you were restored to me almost from the grave, I made a vow to do all in my power to make your future life bright and happy."
6341_64956_000095_000000	His tones were full of deep feeling, and as he spoke he drew her closer and closer to him and kissed her tenderly again and again.	His tones were full of deep feeling, and as he spoke he drew her closer and closer to him and kissed her tenderly again and again.
6341_64956_000097_000000	At last she spoke, and he bent down to catch the words.	At last she spoke, and he bent down to catch the words.
6341_64956_000097_000001	"Dear papa," she whispered, "would it make you happy? and do you think mamma knows, and that she would like it?"	"Dear papa," she whispered, "would it make you happy? and do you think mamma knows, and that she would like it?"
6341_64956_000098_000000	"Your mamma loves us both too well not to be pleased with anything that would add to our happiness," he replied gently.	"Your mamma loves us both too well not to be pleased with anything that would add to our happiness," he replied gently.
6341_64956_000099_000000	"Dear papa, you won't be angry if I ask another question?'"'	"Dear papa, you won't be angry if I ask another question?'"'
6341_64956_000100_000000	"No, darling; ask as many as you wish."	"No, darling; ask as many as you wish."
6341_64956_000101_000000	"Then, papa, will I have to call her mamma? and do you think my own mamma would like it?"	"Then, papa, will I have to call her mamma? and do you think my own mamma would like it?"
6341_64956_000102_000000	"If Miss Allison consents to take a mother's place to you, I am sure your own mamma, if she could speak to you, would tell you she deserved to have the title; and it would hurt us both very much if you refused to give it.	"If Miss Allison consents to take a mother's place to you, I am sure your own mamma, if she could speak to you, would tell you she deserved to have the title; and it would hurt us both very much if you refused to give it.
6341_64956_000102_000001	Indeed, my daughter, I cannot ask her to come to us unless you will promise to do so, and to love and obey, her just as you do me.	Indeed, my daughter, I cannot ask her to come to us unless you will promise to do so, and to love and obey, her just as you do me.
6341_64956_000105_000000	"Do you think she will come, papa?" she asked anxiously.	"Do you think she will come, papa?" she asked anxiously.
6341_64956_000106_000000	"I don't know, daughter; I have not asked her yet.	"I don't know, daughter; I have not asked her yet.
