3483_174132_000003_000000	I am an old man.	I am an old man.
3483_174132_000010_000001	It is true that I had, on at least a dozen occasions, seen, vaguely, things that puzzled me, and, perhaps, had felt more than I had seen.	It is true that I had, on at least a dozen occasions, seen, vaguely, things that puzzled me, and, perhaps, had felt more than I had seen.
3483_174132_000010_000002	Then, as the years passed, bringing age upon me, I became often aware of something unseen, yet unmistakably present, in the empty rooms and corridors.	Then, as the years passed, bringing age upon me, I became often aware of something unseen, yet unmistakably present, in the empty rooms and corridors.
3483_174132_000010_000003	Still, it was as I have said many years before I saw any real manifestations of the so-called supernatural.	Still, it was as I have said many years before I saw any real manifestations of the so-called supernatural.
3483_174132_000011_000000	It was not Halloween.	It was not Halloween.
3483_174132_000011_000001	If I were telling a story for amusement's sake, I should probably place it on that night of nights; but this is a true record of my own experiences, and I would not put pen to paper to amuse anyone.	If I were telling a story for amusement's sake, I should probably place it on that night of nights; but this is a true record of my own experiences, and I would not put pen to paper to amuse anyone.
3483_174132_000011_000002	No.	no
3483_174132_000011_000003	It was after midnight on the morning of the twenty-first day of January.	It was after midnight on the morning of the twenty first day of January.
3483_174132_000011_000004	I was sitting reading, as is often my custom, in my study. Pepper lay, sleeping, near my chair.	I was sitting reading, as is often my custom, in my study. Pepper lay, sleeping, near my chair.
3483_174132_000012_000000	Without warning, the flames of the two candles went low, and then shone with a ghastly green effulgence.	Without warning, the flames of the two candles went low, and then shone with a ghastly green effulgence.
3483_174132_000013_000000	Down on the floor, I heard a faint, frightened whimper, and something pressed itself in between my two feet.	Down on the floor, I heard a faint, frightened whimper, and something pressed itself in between my two feet.
3483_174132_000013_000002	Pepper, usually as brave as a lion!	Pepper, usually as brave as a lion!
3483_174132_000014_000001	I had been considerably startled when the lights burnt first green and then red; but had been momentarily under the impression that the change was due to some influx of noxious gas into the room.	I had been considerably startled when the lights burnt first green and then red; but had been momentarily under the impression that the change was due to some influx of noxious gas into the room.
3483_174132_000014_000002	Now, however, I saw that it was not so; for the candles burned with a steady flame, and showed no signs of going out, as would have been the case had the change been due to fumes in the atmosphere.	Now, however, I saw that it was not so; for the candles burned with a steady flame, and showed no signs of going out, as would have been the case had the change been due to fumes in the atmosphere.
3483_174132_000015_000000	I did not move.	I did not move.
3483_174132_000015_000001	I felt distinctly frightened; but could think of nothing better to do than wait.	I felt distinctly frightened; but could think of nothing better to do than wait.
3483_174132_000015_000002	For perhaps a minute, I kept my glance about the room, nervously.	For perhaps a minute, I kept my glance about the room, nervously.
3483_174132_000015_000004	Still, I sat watching; while a sort of dreamy indifference seemed to steal over me; banishing altogether the fear that had begun to grip me.	Still, I sat watching; while a sort of dreamy indifference seemed to steal over me; banishing altogether the fear that had begun to grip me.
3483_174132_000016_000001	Steadily it grew, filling the room with gleams of quivering green light; then they sank quickly, and changed--even as the candle flames had done--into a deep, somber crimson that strengthened, and lit up the room with a flood of awful glory.	Steadily it grew, filling the room with gleams of quivering green light; then they sank quickly, and changed-even as the candle flames had done-into a deep, somber crimson that strengthened, and lit up the room with a flood of awful glory.
3483_174132_000017_000000	The light came from the end wall, and grew ever brighter until its intolerable glare caused my eyes acute pain, and involuntarily I closed them.	The light came from the end wall, and grew ever brighter until its intolerable glare caused my eyes acute pain, and involuntarily I closed them.
3483_174132_000017_000001	It may have been a few seconds before I was able to open them.	It may have been a few seconds before I was able to open them.
3483_174132_000017_000002	The first thing I noticed was that the light had decreased, greatly; so that it no longer tried my eyes.	The first thing I noticed was that the light had decreased, greatly; so that it no longer tried my eyes.
3483_174132_000018_000000	Gradually, as I became more accustomed to the idea, I realized that I was looking out on to a vast plain, lit with the same gloomy twilight that pervaded the room.	Gradually, as I became more accustomed to the idea, I realized that I was looking out on to a vast plain, lit with the same gloomy twilight that pervaded the room.
3483_174132_000018_000001	The immensity of this plain scarcely can be conceived.	The immensity of this plain scarcely can be conceived.
3483_174132_000018_000002	In no part could I perceive its confines.	In no part could I perceive its confines.
3483_174132_000018_000003	It seemed to broaden and spread out, so that the eye failed to perceive any limitations.	It seemed to broaden and spread out, so that the eye failed to perceive any limitations.
3483_174132_000019_000000	Suddenly, I became conscious that I was no longer in the chair. Instead, I seemed to be hovering above it, and looking down at a dim something, huddled and silent.	Suddenly, I became conscious that I was no longer in the chair. Instead, I seemed to be hovering above it, and looking down at a dim something, huddled and silent.
3483_174132_000019_000001	In a little while, a cold blast struck me, and I was outside in the night, floating, like a bubble, up through the darkness.	In a little while, a cold blast struck me, and I was outside in the night, floating, like a bubble, up through the darkness.
3483_174132_000019_000002	As I moved, an icy coldness seemed to enfold me, so that I shivered.	As I moved, an icy coldness seemed to enfold me, so that I shivered.
3483_174132_000020_000000	After a time, I looked to right and left, and saw the intolerable blackness of the night, pierced by remote gleams of fire.	After a time, I looked to right and left, and saw the intolerable blackness of the night, pierced by remote gleams of fire.
3483_174132_000020_000001	Onward, outward, I drove.	Onward, outward, I drove.
3483_174132_000020_000002	Once, I glanced behind, and saw the earth, a small crescent of blue light, receding away to my left.	Once, I glanced behind, and saw the earth, a small crescent of blue light, receding away to my left.
3483_174132_000020_000003	Further off, the sun, a splash of white flame, burned vividly against the dark.	Further off, the sun, a splash of white flame, burned vividly against the dark.
3483_174132_000021_000000	An indefinite period passed.	An indefinite period passed.
3483_174132_000021_000001	Then, for the last time, I saw the earth--an enduring globule of radiant blue, swimming in an eternity of ether.	Then, for the last time, I saw the earth-an enduring globule of radiant blue, swimming in an eternity of ether.
3483_174132_000021_000002	And there I, a fragile flake of soul dust, flickered silently across the void, from the distant blue, into the expanse of the unknown.	And there I, a fragile flake of soul dust, flickered silently across the void, from the distant blue, into the expanse of the unknown.
3483_174132_000022_000000	A great while seemed to pass over me, and now I could nowhere see anything.	A great while seemed to pass over me, and now I could nowhere see anything.
3483_174132_000022_000001	I had passed beyond the fixed stars and plunged into the huge blackness that waits beyond.	I had passed beyond the fixed stars and plunged into the huge blackness that waits beyond.
3483_174132_000022_000002	All this time I had experienced little, save a sense of lightness and cold discomfort.	All this time I had experienced little, save a sense of lightness and cold discomfort.
3483_174132_000022_000003	Now however the atrocious darkness seemed to creep into my soul, and I became filled with fear and despair.	Now however the atrocious darkness seemed to creep into my soul, and I became filled with fear and despair.
3483_174132_000022_000004	What was going to become of me?	What was going to become of me?
3483_174132_000022_000005	Where was I going?	Where was I going?
3483_174132_000022_000006	Even as the thoughts were formed, there grew against the impalpable blackness that wrapped me a faint tinge of blood.	Even as the thoughts were formed, there grew against the impalpable blackness that wrapped me a faint tinge of blood.
3483_174132_000023_000000	Slowly, the distant redness became plainer and larger; until, as I drew nearer, it spread out into a great, somber glare--dull and tremendous. Still, I fled onward, and, presently, I had come so close, that it seemed to stretch beneath me, like a great ocean of somber red.	Slowly, the distant redness became plainer and larger; until, as I drew nearer, it spread out into a great, somber glare-dull and tremendous. Still, I fled onward, and, presently, I had come so close, that it seemed to stretch beneath me, like a great ocean of somber red.
3483_174132_000023_000001	I could see little, save that it appeared to spread out interminably in all directions.	I could see little, save that it appeared to spread out interminably in all directions.
3483_174132_000024_000000	In a further space, I found that I was descending upon it; and, soon, I sank into a great sea of sullen, red-hued clouds.	In a further space, I found that I was descending upon it; and, soon, I sank into a great sea of sullen, red hued clouds.
3483_174132_000024_000001	Slowly, I emerged from these, and there, below me, I saw the stupendous plain that I had seen from my room in this house that stands upon the borders of the Silences.	Slowly, I emerged from these, and there, below me, I saw the stupendous plain that I had seen from my room in this house that stands upon the borders of the Silences.
3483_174132_000025_000000	Presently, I landed, and stood, surrounded by a great waste of loneliness.	Presently, I landed, and stood, surrounded by a great waste of loneliness.
3483_174132_000025_000001	The place was lit with a gloomy twilight that gave an impression of indescribable desolation.	The place was lit with a gloomy twilight that gave an impression of indescribable desolation.
3483_174132_000026_000000	Afar to my right, within the sky, there burnt a gigantic ring of dull-red fire, from the outer edge of which were projected huge, writhing flames, darted and jagged.	Afar to my right, within the sky, there burnt a gigantic ring of dull red fire, from the outer edge of which were projected huge, writhing flames, darted and jagged.
3483_174132_000026_000001	The interior of this ring was black, black as the gloom of the outer night.	The interior of this ring was black, black as the gloom of the outer night.
3483_174132_000026_000002	I comprehended, at once, that it was from this extraordinary sun that the place derived its doleful light.	I comprehended, at once, that it was from this extraordinary sun that the place derived its doleful light.
3483_174132_000027_000000	From that strange source of light, I glanced down again to my surroundings.	From that strange source of light, I glanced down again to my surroundings.
3483_174132_000027_000001	Everywhere I looked, I saw nothing but the same flat weariness of interminable plain.	Everywhere I looked, I saw nothing but the same flat weariness of interminable plain.
3483_174132_000027_000002	Nowhere could I descry any signs of life; not even the ruins of some ancient habitation.	Nowhere could I descry any signs of life; not even the ruins of some ancient habitation.
3483_174132_000028_000000	Gradually, I found that I was being borne forward, floating across the flat waste.	Gradually, I found that I was being borne forward, floating across the flat waste.
3483_174132_000028_000001	For what seemed an eternity, I moved onward.	For what seemed an eternity, I moved onward.
3483_174132_000028_000002	I was unaware of any great sense of impatience; though some curiosity and a vast wonder were with me continually.	I was unaware of any great sense of impatience; though some curiosity and a vast wonder were with me continually.
3483_174132_000029_000000	Presently, in a half-conscious manner, I noticed that there was a faint mistiness, ruddy in hue, lying over its surface.	Presently, in a half conscious manner, I noticed that there was a faint mistiness, ruddy in hue, lying over its surface.
3483_174132_000029_000001	Still, when I looked more intently, I was unable to say that it was really mist; for it appeared to blend with the plain, giving it a peculiar unrealness, and conveying to the senses the idea of unsubstantiality.	Still, when I looked more intently, I was unable to say that it was really mist; for it appeared to blend with the plain, giving it a peculiar unrealness, and conveying to the senses the idea of unsubstantiality.
3483_174132_000030_000000	Gradually, I began to weary with the sameness of the thing.	Gradually, I began to weary with the sameness of the thing.
3483_174132_000030_000001	Yet, it was a great time before I perceived any signs of the place, toward which I was being conveyed.	Yet, it was a great time before I perceived any signs of the place, toward which I was being conveyed.
3483_174132_000031_000000	"At first, I saw it, far ahead, like a long hillock on the surface of the Plain.	"At first, I saw it, far ahead, like a long hillock on the surface of the Plain.
