4595_45218_000000_000000	“Sister Theresa has left, sir.”	"Sister Theresa has left, sir."	false	13.17	15.84	22.889938
4595_45218_000018_000001	I heard the sound of a piano, somewhere in the building, and I consigned the inventor of pianos to hideous torment as scales were pursued endlessly up and down the keys.	I heard the sound of a piano, somewhere in the building, and I consigned the inventor of pianos to hideous torment as scales were pursued endlessly up and down the keys.	true	163.29	171.73	22
4595_45218_000018_000002	Two girls passing through the hall made a pretext of looking for a book and came in and exclaimed over their inability to find it with much suppressed giggling.	Two girls passing through the hall made a pretext of looking for a book and came in and exclaimed over their inability to find it with much suppressed giggling.	true	171.95	180.31	24.27306
4595_45218_000019_000000	The piano-pounding continued and I waited for what seemed an interminable time.	The piano pounding continued and I waited for what seemed an interminable time.	true	181.04	185.71	25.664265
4595_45218_000019_000001	It was growing dark and a maid lighted the oil lamps.	It was growing dark and a maid lighted the oil lamps.	false	185.99	189.01	23.99941
4595_45218_000019_000002	I took a book from the table.	I took a book from the table.	true	189.23	190.72	28.5792
4595_45218_000019_000003	It was The Life of Benvenuto Cellini and “Marian Devereux” was written on the fly leaf, by unmistakably the same hand that penned the apology for Olivia’s performances.	It was The Life of Benvenuto Cellini and "Marian Devereux" was written on the fly leaf, by unmistakably the same hand that penned the apology for Olivia's performances.	true	190.76	201.16	22.943764
4595_45218_000019_000004	I saw in the clear flowing lines of the signature, in their lack of superfluity, her own ease, grace and charm; and, in the deeper stroke with which the x was crossed, I felt a challenge, a readiness to abide by consequences once her word was given. Then my own inclination to think well of her angered me.	I saw in the clear flowing lines of the signature, in their lack of superfluity, her own ease, grace and charm; and, in the deeper stroke with which the x was crossed, I felt a challenge, a readiness to abide by consequences once her word was given. Then my own inclination to think well of her angered me.	true	201.47	217.78	24.21416
4595_45218_000019_000005	It was only a pretty bit of chirography, and I dropped the book impatiently when I heard her step on the threshold.	It was only a pretty bit of chirography, and I dropped the book impatiently when I heard her step on the threshold.	true	217.85	223.33	26.623741
4595_45218_000020_000000	“I am sorry to have kept you waiting, Mr. Glenarm. But this is my busy hour.”	"I am sorry to have kept you waiting, mr Glenarm. But this is my busy hour."	true	223.88	227.92	23.057083
4595_45218_000021_000000	“I shall not detain you long.	"I shall not detain you long.	true	228.56	230.41	21.487795
4595_45218_000021_000001	I came,”—I hesitated, not knowing why I had come.	I came,"—I hesitated, not knowing why I had come.	true	230.6	234.01	28.112347
4595_45218_000022_000000	She took a chair near the open door and bent forward with an air of attention that was disquieting.	She took a chair near the open door and bent forward with an air of attention that was disquieting.	true	234.44	239.53	23.719994
4595_45218_000022_000001	She wore black—perhaps to fit her the better into the house of a somber Sisterhood.	She wore black—perhaps to fit her the better into the house of a somber Sisterhood.	true	239.72	243.75	24.27714
4595_45218_000022_000002	I seemed suddenly to remember her from a time long gone, and the effort of memory threw me off guard.	I seemed suddenly to remember her from a time long gone, and the effort of memory threw me off guard.	false	243.75	249.52	23.123594
4595_45218_000022_000003	Stoddard had said there were several Olivia Armstrongs; there were certainly many Marian Devereuxs.	Stoddard had said there were several Olivia Armstrongs; there were certainly many Marian Devereuxs.	false	249.92	255.93	19.100945
4595_45218_000022_000004	The silence grew intolerable; she was waiting for me to speak, and I blurted:	The silence grew intolerable; she was waiting for me to speak, and I blurted:	true	255.93	260.02	23.72822
4595_45218_000023_000000	“I suppose you have come to take charge of the property.”	"I suppose you have come to take charge of the property."	true	260.24	262.63	29.337826
4595_45218_000024_000000	“Do you?” she asked.	"Do you?" she asked.	true	263.27	265.18	20.327288
4595_45218_000025_000000	“And you came back with the executor to facilitate matters.	"And you came back with the executor to facilitate matters.	true	265.82	268.71	29
4595_45218_000025_000001	I’m glad to see that you lose no time.”	I'm glad to see that you lose no time."	true	268.71	270.76	21.955734
4595_45218_000026_000000	“Oh!” she said lingeringly, as though she were finding with difficulty the note in which I wished to pitch the conversation.	"Oh!" she said lingeringly, as though she were finding with difficulty the note in which I wished to pitch the conversation.	true	271.37	278.38	21.84417
4595_45218_000026_000001	Her calmness was maddening.	Her calmness was maddening.	true	278.63	280.3	24.349482
4595_45218_000027_000000	“I suppose you thought it unwise to wait for the bluebird when you had beguiled me into breaking a promise, when I was trapped, defeated,—”	"I suppose you thought it unwise to wait for the bluebird when you had beguiled me into breaking a promise, when I was trapped, defeated,—"	true	280.94	288.31	22.742575
4595_45218_000028_000000	Her elbow on the arm of the chair, her hand resting against her check, the light rippling goldenly in her hair, her eyes bent upon me inquiringly, mournfully,— mournfully, as I had seen them—where?—once before! My heart leaped in that moment, with that thought.	Her elbow on the arm of the chair, her hand resting against her check, the light rippling goldenly in her hair, her eyes bent upon me inquiringly, mournfully,— mournfully, as I had seen them—where?—once before! My heart leaped in that moment, with that thought.	false	288.59	305.02	25.181053
4595_45218_000029_000000	“I remember now the first time!”	"I remember now the first time!"	true	305.81	307.75	25.311049
4595_45218_000029_000001	I exclaimed, more angry than I had ever been before in my life.	I exclaimed, more angry than I had ever been before in my life.	true	308.18	311.74	22.292418
4595_45218_000030_000000	“That is quite remarkable,” she said, and nodded her head ironically.	"That is quite remarkable," she said, and nodded her head ironically.	true	312.59	316.54	21.923407
4595_45218_000031_000000	“It was at Sherry’s; you were with Pickering—you dropped your fan and he picked it up, and you turned toward me for a moment.	"It was at Sherry's; you were with Pickering—you dropped your fan and he picked it up, and you turned toward me for a moment.	true	317.96	324.07	23.824379
4595_45218_000031_000001	You were in black that night; it was the unhappiness in your face, in your eyes, that made me remember.”	You were in black that night; it was the unhappiness in your face, in your eyes, that made me remember."	true	324.08	329.05	25.153429
4595_45218_000032_000000	I was intent upon the recollection, eager to fix and establish it.	I was intent upon the recollection, eager to fix and establish it.	true	329.99	333.61	27.791073
4595_45218_000033_000000	“You are quite right.	"You are quite right.	true	334.28	335.22	28.511238
4595_45218_000033_000001	It was at Sherry’s.	It was at Sherry's.	true	335.22	336.31	26.125675
4595_45218_000033_000002	I was wearing black then; many things made me unhappy that night.”	I was wearing black then; many things made me unhappy that night."	true	336.68	339.85	26.21674
4595_45218_000034_000000	Her forehead contracted slightly and she pressed her lips together.	Her forehead contracted slightly and she pressed her lips together.	true	341	344.59	24.855116
4595_45218_000035_000000	“I suppose that even then the conspiracy was thoroughly arranged,”	"I suppose that even then the conspiracy was thoroughly arranged,"	true	345.11	348.705	20.38073
4595_45218_000035_000001	I said tauntingly, laughing a little perhaps, and wishing to wound her, to take vengeance upon her.	I said tauntingly, laughing a little perhaps, and wishing to wound her, to take vengeance upon her.	true	348.705	353.8	22.671335
4595_45218_000036_000000	She rose and stood by her chair, one hand resting upon it.	She rose and stood by her chair, one hand resting upon it.	true	354.86	358.06	21.619999
4595_45218_000036_000001	I faced her; her eyes were like violet seas. She spoke very quietly.	I faced her; her eyes were like violet seas. She spoke very quietly.	true	358.58	363.64	26.035294
4595_45218_000037_000000	“Mr. Glenarm, has it occurred to you that when I talked to you there in the park, when I risked unpleasant gossip in receiving you in a house where you had no possible right to be, that I was counting upon something, —foolishly and stupidly,—yet counting upon it?”	"mr Glenarm, has it occurred to you that when I talked to you there in the park, when I risked unpleasant gossip in receiving you in a house where you had no possible right to be, that I was counting upon something, —foolishly and stupidly,—yet counting upon it?"	false	364.07	378.34	22.041088
4595_45218_000038_000000	“You probably thought I was a fool,” I retorted.	"You probably thought I was a fool," I retorted.	true	379.01	381.94	23.504416
4595_45218_000039_000000	“No;”—she smiled slightly—“I thought—I believe I have said this to you before!—you were a gentleman. I really did, Mr. Glenarm.	"No;"—she smiled slightly—"I thought—I believe I have said this to you before!—you were a gentleman. I really did, mr Glenarm.	true	382.46	391.41	21.580917
4595_45218_000039_000001	I must say it to justify myself.	I must say it to justify myself.	true	391.41	393.555	27.167192
4595_45218_000039_000002	I relied upon your chivalry; I even thought, when I played being Olivia, that you had a sense of honor.	I relied upon your chivalry; I even thought, when I played being Olivia, that you had a sense of honor.	true	393.555	399.97	23.116867
4595_45218_000039_000003	But you are not the one and you haven’t the other.	But you are not the one and you haven't the other.	true	400.16	402.4	23.531715
4595_45218_000039_000004	I even went so far, after you knew perfectly well who I was, as to try to help you—to give you another chance to prove yourself the man your grandfather wished you to be.	I even went so far, after you knew perfectly well who I was, as to try to help you—to give you another chance to prove yourself the man your grandfather wished you to be.	true	402.62	411.61	24.402151
4595_45218_000039_000005	And now you come to me in a shocking bad humor,—I really think you would like to be insulting, Mr. Glenarm, if you could.”	And now you come to me in a shocking bad humor,—I really think you would like to be insulting, mr Glenarm, if you could."	true	411.98	418.84	22.175524
4595_45218_000040_000000	“But Pickering,—you came back with him; he is here and he’s going to stay!	"But Pickering,—you came back with him; he is here and he's going to stay!	true	419.36	423.52	25.689735
4595_45218_000040_000001	And now that the property belongs to you, there is not the slightest reason why we should make any pretense of anything but enmity. When you and Arthur Pickering stand together I take the other side of the barricade!	And now that the property belongs to you, there is not the slightest reason why we should make any pretense of anything but enmity. When you and Arthur Pickering stand together I take the other side of the barricade!	true	423.59	433.81	23.238194
4595_45218_000040_000002	I suppose chivalry would require me to vacate, so that you may enjoy at once the spoils of war.”	I suppose chivalry would require me to vacate, so that you may enjoy at once the spoils of war."	true	433.82	439.09	24.998556
4595_45218_000041_000000	“I fancy it would not be very difficult to eliminate you as a factor in the situation,” she remarked icily.	"I fancy it would not be very difficult to eliminate you as a factor in the situation," she remarked icily.	true	439.34	445.51	24.866451
4595_45218_000042_000000	“And I suppose, after the unsuccessful efforts of Mr. Pickering’s allies to assassinate me, as a mild form of elimination, one would naturally expect me to sit calmly down and wait to be shot in the back.	"And I suppose, after the unsuccessful efforts of mr Pickering's allies to assassinate me, as a mild form of elimination, one would naturally expect me to sit calmly down and wait to be shot in the back.	true	445.88	456.61	22
4595_45218_000042_000001	But you may tell Mr. Pickering that I throw myself upon your mercy. I have no other home than this shell over the way, and I beg to be allowed to remain until—at least—the bluebirds come.	But you may tell mr Pickering that I throw myself upon your mercy. I have no other home than this shell over the way, and I beg to be allowed to remain until—at least—the bluebirds come.	false	456.71	466.87	24.107727
4595_45218_000042_000002	I hope it will not embarrass you to deliver the message.”	I hope it will not embarrass you to deliver the message."	true	467.03	469.48	22.336208
4595_45218_000043_000000	“I quite sympathize with your reluctance to deliver it yourself,” she said.	"I quite sympathize with your reluctance to deliver it yourself," she said.	true	470.18	475	28.995598
4595_45218_000043_000001	“Is this all you came to say?”	"Is this all you came to say?"	true	475.55	477.04	24.921923
4595_45218_000044_000000	“I came to tell you that you could have the house, and everything in its hideous walls,” I snapped; “to tell you that my chivalry is enough for some situations and that I don’t intend to fight a woman.	"I came to tell you that you could have the house, and everything in its hideous walls," I snapped; "to tell you that my chivalry is enough for some situations and that I don't intend to fight a woman.	false	478.49	489.58	23.10158
4595_45218_000044_000001	I had accepted your own renouncement of the legacy in good part, but now, please believe me, it shall be yours to-morrow. I’ll yield possession to you whenever you ask it,—but never to Arthur Pickering!	I had accepted your own renouncement of the legacy in good part, but now, please believe me, it shall be yours to morrow. I'll yield possession to you whenever you ask it,—but never to Arthur Pickering!	true	489.8	500.59	23.863703
4595_45218_000044_000002	As against him and his treasure-hunters and assassins I will hold out for a dozen years!”	As against him and his treasure hunters and assassins I will hold out for a dozen years!"	true	500.72	505.45	23.855125
4595_45218_000045_000000	“Nobly spoken, Mr. Glenarm!	"Nobly spoken, mr Glenarm!	true	506.12	507.945	26.982164
4595_45218_000045_000001	Yours is really an admirable, though somewhat complex character.”	Yours is really an admirable, though somewhat complex character."	true	507.945	511.93	21.943104
4595_45218_000046_000000	“My character is my own, whatever it is,” I blurted.	"My character is my own, whatever it is," I blurted.	true	513.05	516.64	22.96987
4595_45218_000047_000000	“I shouldn’t call that a debatable proposition,” she replied, and I was angry to find how the mirth I had loved in her could suddenly become so hateful.	"I shouldn't call that a debatable proposition," she replied, and I was angry to find how the mirth I had loved in her could suddenly become so hateful.	false	517.37	525.82	21.695663
4595_45218_000047_000001	She half-turned away so that I might not see her face.	She half turned away so that I might not see her face.	false	526.13	529	19.812607
4595_45218_000047_000002	The thought that she should countenance Pickering in any way tore me with jealous rage.	The thought that she should countenance Pickering in any way tore me with jealous rage.	false	529.28	533.5	25.829632
4595_45218_000048_000000	“Mr. Glenarm, you are what I have heard called a quitter, defined in common Americanese as one who quits!	"mr Glenarm, you are what I have heard called a quitter, defined in common Americanese as one who quits!	false	534.02	540.16	24
4595_45218_000048_000001	Your blustering here this afternoon can hardly conceal the fact of your failure,—your inability to keep a promise.	Your blustering here this afternoon can hardly conceal the fact of your failure,—your inability to keep a promise.	true	540.41	546.76	27.11318
4595_45218_000048_000002	I had hoped you would really be of some help to Sister Theresa; you quite deceived her,—she told me as she left to-day that she thought well of you, —she really felt that her fortunes were safe in your hands.	I had hoped you would really be of some help to Sister Theresa; you quite deceived her,—she told me as she left to day that she thought well of you, —she really felt that her fortunes were safe in your hands.	false	546.92	557.11	23.49955
4595_45218_000048_000003	But, of course, that is all a matter of past history now.”	But, of course, that is all a matter of past history now."	true	557.39	560.38	27.222101
4595_45218_000049_000000	Her tone, changing from cold indifference to the most severe disdain, stung me into self-pity for my stupidity in having sought her.	Her tone, changing from cold indifference to the most severe disdain, stung me into self pity for my stupidity in having sought her.	true	561.08	568.3	24.216663
4595_45218_000049_000001	My anger was not against her, but against Pickering, who had, I persuaded myself, always blocked my path.	My anger was not against her, but against Pickering, who had, I persuaded myself, always blocked my path.	true	568.52	574.6	21.766193
4595_45218_000049_000002	She went on.	She went on.	true	574.76	575.71	26.624496
4595_45218_000050_000000	“You really amuse me exceedingly.	"You really amuse me exceedingly.	true	577.01	579.07	18.72361
4595_45218_000050_000001	Mr. Pickering is decidedly more than a match for you, Mr. Glenarm, —even in humor.”	mr Pickering is decidedly more than a match for you, mr Glenarm, —even in humor."	true	579.14	583.54	22.192839
4595_45218_000051_000000	She left me so quickly, so softly, that I stood staring like a fool at the spot where she had been, and then I went gloomily back to Glenarm House, angry, ashamed and crestfallen.	She left me so quickly, so softly, that I stood staring like a fool at the spot where she had been, and then I went gloomily back to Glenarm House, angry, ashamed and crestfallen.	true	584.45	594.28	25.064331
4595_45218_000052_000000	While we were waiting for dinner I made a clean breast of my acquaintance with her to Larry, omitting nothing,—rejoicing even to paint my own conduct as black as possible.	While we were waiting for dinner I made a clean breast of my acquaintance with her to Larry, omitting nothing,—rejoicing even to paint my own conduct as black as possible.	true	594.89	603.37	24.074656
4595_45218_000053_000000	“You may remember her,” I concluded, “she was the girl we saw at Sherry’s that night we dined there.	"You may remember her," I concluded, "she was the girl we saw at Sherry's that night we dined there.	true	603.8	608.745	20.53646
4595_45218_000053_000001	She was with Pickering, and you noticed her,—spoke of her, as she went out.”	She was with Pickering, and you noticed her,—spoke of her, as she went out."	true	608.745	612.57	23.781502
4595_45218_000054_000000	“That little girl who seemed so bored, or tired?	"That little girl who seemed so bored, or tired?	false	612.57	616.155	21.847296
4595_45218_000054_000001	Bless me!	Bless me!	true	616.155	616.84	32.118607
4595_45218_000054_000002	Why her eyes haunted me for days.	Why her eyes haunted me for days.	true	617	618.84	22.435146
4595_45218_000054_000003	Lord man, do you mean to say—”	Lord man, do you mean to say—"	false	618.84	620.07	9
4595_45218_000055_000000	A look of utter scorn came into his face, and he eyed me contemptuously.	A look of utter scorn came into his face, and he eyed me contemptuously.	false	620.07	624.82	23.203932
4595_45218_000056_000000	“Of course I mean it!”	"Of course I mean it!"	true	625.43	626.92	22.675108
4595_45218_000056_000001	I thundered at him.	I thundered at him.	true	627.05	628.21	26.778925
4595_45218_000057_000000	He took the pipe from his mouth, pressed the tobacco viciously into the bowl, and swore steadily in Gaelic until I was ready to choke him.	He took the pipe from his mouth, pressed the tobacco viciously into the bowl, and swore steadily in Gaelic until I was ready to choke him.	true	628.79	635.95	25.284721
4595_45218_000058_000000	“Stop!”	"Stop!"	true	636.56	637.365	30.953264
4595_45218_000058_000001	I bawled.	I bawled.	true	637.365	638.23	25.29125
4595_45218_000058_000002	“Do you think that’s helping me? And to have you curse in your blackguardly Irish dialect! I wanted a little Anglo-Saxon sympathy, you fool!	"Do you think that's helping me? And to have you curse in your blackguardly Irish dialect! I wanted a little Anglo Saxon sympathy, you fool!	false	638.69	646.35	25.16331
4595_45218_000058_000003	I didn’t mean for you to invoke your infamous gods against the girl!”	I didn't mean for you to invoke your infamous gods against the girl!"	false	646.35	649.39	18
4595_45218_000059_000000	“Don’t be violent, lad.	"Don't be violent, lad.	true	650.3	651.84	18.663673
4595_45218_000059_000001	Violence is reprehensible,” he admonished with maddening sweetness and patience. “What I was trying to inculcate was rather the fact, borne in upon me through years of acquaintance, that you are,—to he bold, my lad, to be bold,—a good deal of a damned fool.”	Violence is reprehensible," he admonished with maddening sweetness and patience. "What I was trying to inculcate was rather the fact, borne in upon me through years of acquaintance, that you are,—to he bold, my lad, to be bold,—a good deal of a damned fool."	false	651.84	667.15	22.983557
4595_45218_000060_000000	The trilling of his r’s was like the whirring rise of a flock of quails.	The trilling of his r's was like the whirring rise of a flock of quails.	true	667.94	671.77	21.45249
4595_45218_000061_000000	“Dinner is served,” announced Bates, and Larry led the way, mockingly chanting an Irish love-song.	"Dinner is served," announced Bates, and Larry led the way, mockingly chanting an Irish love song.	false	672.83	688.59	17.990292
