6388_64974_000001_000000	CHAPTER XIX.	CHAPTER nineteen.
6388_64974_000051_000001	But he believes you have been deceived in the man's character; and don't you think, daughter, that he is wiser than yourself, and more capable of finding out the truth about the matter?"	But he believes you have been deceived in the man's character; and don't you think, daughter, that he is wiser than yourself, and more capable of finding out the truth about the matter?"
6388_64974_000052_000000	"I know papa is far wiser than I, but, oh, my heart will not believe what they say of--of him!" she cried with sudden, almost passionate vehemence.	"I know papa is far wiser than I, but, oh, my heart will not believe what they say of-of him!" she cried with sudden, almost passionate vehemence.
6388_64974_000053_000000	"Well, dear, that is perfectly natural, but try to be entirely submissive to your father, and wait patiently; and hopefully too," she added with a smile; "for if Mr. Egerton is really good, no doubt it will be proved in time, and then your father will at once remove his interdict.	"Well, dear, that is perfectly natural, but try to be entirely submissive to your father, and wait patiently; and hopefully too," she added with a smile; "for if mr Egerton is really good, no doubt it will be proved in time, and then your father will at once remove his interdict.
6388_64974_000053_000001	And if you are mistaken, you will one day discover it, and feel thankful, indeed, to your papa for taking just the course he has."	And if you are mistaken, you will one day discover it, and feel thankful, indeed, to your papa for taking just the course he has."
6388_64974_000056_000000	"I thought it was only permission, papa, not command," she answered, lifting her eyes to his face, and moving to make room for him by her side.	"I thought it was only permission, papa, not command," she answered, lifting her eyes to his face, and moving to make room for him by her side.
6388_64974_000057_000000	"Has she, darling?	"Has she, darling?
6388_64974_000057_000001	Bless her for it!	Bless her for it!
6388_64974_000057_000002	I know you need comfort, my poor little pet," he said, taking the offered seat, and passing his arm round her waist.	I know you need comfort, my poor little pet," he said, taking the offered seat, and passing his arm round her waist.
6388_64974_000057_000003	"But you need rest too, and ought not to stay up any longer."	"But you need rest too, and ought not to stay up any longer."
6388_64974_000058_000000	"But surely papa knows I cannot go to bed without my good-night kiss when he is in the same house with me," she said, winding her arms about his neck.	"But surely papa knows I cannot go to bed without my good night kiss when he is in the same house with me," she said, winding her arms about his neck.
6388_64974_000059_000000	"And didn't like to take it before folks?	"And didn't like to take it before folks?
6388_64974_000059_000001	Well, that was right, but take it now.	Well, that was right, but take it now.
6388_64974_000059_000002	There, good-night.	There, good night.
6388_64974_000060_000000	"The dear child; my heart aches for her," he remarked to his wife, as they went out together, "and I find it almost impossible yet to forgive either that scoundrel Jackson or my brother Arthur."	"The dear child; my heart aches for her," he remarked to his wife, as they went out together, "and I find it almost impossible yet to forgive either that scoundrel Jackson or my brother Arthur."
6388_64974_000061_000000	"You have no lingering doubts as to the identity and utter unworthiness of the man?"	"You have no lingering doubts as to the identity and utter unworthiness of the man?"
6388_64974_000062_000000	"Not one; and if I could only convince Elsie of his true character she would detest him as thoroughly as I do.	"Not one; and if I could only convince Elsie of his true character she would detest him as thoroughly as I do.
6388_64974_000062_000001	If he had his deserts, he would be in the State's Prison; and to think of his daring to approach my child, and even aspire to her hand!"	If he had his deserts, he would be in the State's Prison; and to think of his daring to approach my child, and even aspire to her hand!"
6388_64974_000063_000000	Elsie lay all night in a profound slumber, and awoke at an early hour the next morning, feeling greatly refreshed and invigorated.	Elsie lay all night in a profound slumber, and awoke at an early hour the next morning, feeling greatly refreshed and invigorated.
6388_64974_000063_000001	The gentle murmur of old ocean came pleasantly to her ear, and sweetly in her mind arose the thought of Him whom even the winds and the sea obey; of His never failing love to her, and of the many great and precious promises of His word.	The gentle murmur of old ocean came pleasantly to her ear, and sweetly in her mind arose the thought of Him whom even the winds and the sea obey; of His never failing love to her, and of the many great and precious promises of His word.
6388_64974_000064_000000	Throwing on a dressing-gown over her night dress, she sat down before the open window with her Bible in her hand.	Throwing on a dressing gown over her night dress, she sat down before the open window with her Bible in her hand.
6388_64974_000064_000001	She still loved, as of old, to spend the first hour of the day in the study of its pages, and in communion with Him whose word it is.	She still loved, as of old, to spend the first hour of the day in the study of its pages, and in communion with Him whose word it is.
6388_64974_000065_000000	Chloe was just putting the finishing touches to her young lady's toilet when little Horace came running down the hall, and rapping on Elsie's door, called out, "Sister, papa says put on a short dress, and your walking shoes, and come take a stroll on the beach with us before breakfast."	Chloe was just putting the finishing touches to her young lady's toilet when little Horace came running down the hall, and rapping on Elsie's door, called out, "Sister, papa says put on a short dress, and your walking shoes, and come take a stroll on the beach with us before breakfast."
6388_64974_000066_000000	"Yes, tell papa I will.	"Yes, tell papa I will.
6388_64974_000066_000001	I'll be down in five minutes."	I'll be down in five minutes."
6388_64974_000067_000000	She came down looking sweet and fresh as the morning; a smile on the full red lips, and a faint tinge of rose color on the cheeks that had been so pale the night before.	She came down looking sweet and fresh as the morning; a smile on the full red lips, and a faint tinge of rose color on the cheeks that had been so pale the night before.
6388_64974_000069_000000	"Thank you, mamma, I am very glad to be here; and I had such a good restful sleep.	"Thank you, mamma, I am very glad to be here; and I had such a good restful sleep.
6388_64974_000069_000001	How well you look."	How well you look."
6388_64974_000070_000000	"And feel too, I am thankful to be able to say.	"And feel too, I am thankful to be able to say.
6388_64974_000070_000001	But there, your father is calling to you from the sitting-room."	But there, your father is calling to you from the sitting room."
6388_64974_000072_000000	"Come here, daughter," he said, "and tell me if you obeyed orders last night."	"Come here, daughter," he said, "and tell me if you obeyed orders last night."
6388_64974_000073_000000	"Yes, papa, I did."	"Yes, papa, I did."
6388_64974_000074_000000	"I am writing a few lines to Aunt Wealthy, to tell her of our safe arrival.	"I am writing a few lines to Aunt Wealthy, to tell her of our safe arrival.
6388_64974_000074_000001	Have you any message to send?" and laying down his pen he drew her to his knee.	Have you any message to send?" and laying down his pen he drew her to his knee.
6388_64974_000075_000000	"Only my love, papa, and--and that she must not be anxious about me, as she said that she should.	"Only my love, papa, and-and that she must not be anxious about me, as she said that she should.
6388_64974_000075_000001	That I am very safe and happy in the hands of my heavenly Father--and those of the kind earthly one He has given me," she added in a whisper, putting her arms about his neck, and looking in his face with eyes brimful of filial tenderness and love.	That I am very safe and happy in the hands of my heavenly Father-and those of the kind earthly one He has given me," she added in a whisper, putting her arms about his neck, and looking in his face with eyes brimful of filial tenderness and love.
6388_64974_000076_000000	"That is right, my darling," he said, "and you shall never want for love while your father lives.	"That is right, my darling," he said, "and you shall never want for love while your father lives.
6388_64974_000076_000001	How it rejoices my heart to see you looking so bright and well this morning."	How it rejoices my heart to see you looking so bright and well this morning."
6388_64974_000078_000000	"I have no fault to find with you on that score, my dear child," he said tenderly, "but if you can be cheerful, it will be for your own happiness, as well as ours."	"I have no fault to find with you on that score, my dear child," he said tenderly, "but if you can be cheerful, it will be for your own happiness, as well as ours."
6388_64974_000079_000000	She kept her promise faithfully, and had her reward in much real enjoyment of the many pleasures provided for her.	She kept her promise faithfully, and had her reward in much real enjoyment of the many pleasures provided for her.
6388_64974_000080_000000	Mr. and Mrs. Dinsmore were still youthful in their feelings, and joined with great zest in the sports of the young people, going with them in all their excursions, taking an active part in all their pastimes, and contriving so many fresh entertainments, that during those few weeks life seemed like one long gala day.	mr and mrs Dinsmore were still youthful in their feelings, and joined with great zest in the sports of the young people, going with them in all their excursions, taking an active part in all their pastimes, and contriving so many fresh entertainments, that during those few weeks life seemed like one long gala day.
6388_64974_000081_000000	Mr. Travilla was with them most of the time.	mr Travilla was with them most of the time.
6388_64974_000081_000001	He had tarried behind in Philadelphia, as Mr. Dinsmore and his daughter passed through, but followed them to Cape Island a few days later.	He had tarried behind in Philadelphia, as mr Dinsmore and his daughter passed through, but followed them to Cape Island a few days later.
6388_64974_000082_000000	The whole party left the shore about the last of September, the Allisons returning to their city residence, Mr. Travilla to his Southern home, and the Dinsmores travelling through Pennsylvania and New York, from one romantic and picturesque spot to another; finishing up with two or three weeks in Philadelphia, during which Rose and Elsie were much occupied with their fall and winter shopping.	The whole party left the shore about the last of September, the Allisons returning to their city residence, mr Travilla to his Southern home, and the Dinsmores travelling through Pennsylvania and New York, from one romantic and picturesque spot to another; finishing up with two or three weeks in Philadelphia, during which Rose and Elsie were much occupied with their fall and winter shopping.
6388_64974_000083_000000	Mr. Dinsmore took this opportunity to pay another flying visit to his two young brothers.	mr Dinsmore took this opportunity to pay another flying visit to his two young brothers.
6388_64974_000083_000001	He found Arthur nearly recovered, and at once asked a full explanation of the affair of Tom Jackson, alias Bromly Egerton; his designs upon Elsie, and Arthur's participation in them.	He found Arthur nearly recovered, and at once asked a full explanation of the affair of Tom Jackson, alias Bromly Egerton; his designs upon Elsie, and Arthur's participation in them.
6388_64974_000084_000000	"I know nothing about it," was the sullen rejoinder.	"I know nothing about it," was the sullen rejoinder.
6388_64974_000085_000000	"You certainly were acquainted with Tom Jackson, and how, but through you, could he have gained any knowledge of Elsie and her whereabouts?"	"You certainly were acquainted with Tom Jackson, and how, but through you, could he have gained any knowledge of Elsie and her whereabouts?"
6388_64974_000086_000000	"I don't deny that I've had some dealings with Jackson, but your Egerton I know nothing of whatever."	"I don't deny that I've had some dealings with Jackson, but your Egerton I know nothing of whatever."
6388_64974_000087_000000	"You may as well speak the truth, sir; it will be much better for you in the end," said Mr. Dinsmore, sternly, his eyes flashing with indignant anger.	"You may as well speak the truth, sir; it will be much better for you in the end," said mr Dinsmore, sternly, his eyes flashing with indignant anger.
6388_64974_000088_000000	"And you may as well remember that it isn't Elsie you are dealing with.	"And you may as well remember that it isn't Elsie you are dealing with.
6388_64974_000088_000001	I'm not afraid of you."	I'm not afraid of you."
6388_64974_000089_000000	"Perhaps not, but you may well fear Him who has said, 'a lying tongue is but for a moment.' How do you reconcile such an assertion as you have just made with the fact of your having that letter in your possession?"	"Perhaps not, but you may well fear Him who has said, 'a lying tongue is but for a moment.' How do you reconcile such an assertion as you have just made with the fact of your having that letter in your possession?"
6388_64974_000090_000000	"I say it's a cowardly piece of business for you to give the lie to a fellow that hasn't the strength to knock you down for it."	"I say it's a cowardly piece of business for you to give the lie to a fellow that hasn't the strength to knock you down for it."
6388_64974_000091_000000	"You would hardly attempt that if you were in perfect health, Arthur."	"You would hardly attempt that if you were in perfect health, Arthur."
6388_64974_000092_000000	"I would."	"I would."
6388_64974_000093_000000	"You have not answered my question about the letter.	"You have not answered my question about the letter.
6388_64974_000094_000000	"I wrote it myself."	"I wrote it myself."
6388_64974_000095_000000	"A likely story; it is in a very different hand from yours."	"A likely story; it is in a very different hand from yours."
6388_64974_000096_000000	"I can adopt that hand on occasion, as I'll prove to your satisfaction."	"I can adopt that hand on occasion, as I'll prove to your satisfaction."
6388_64974_000097_000000	He opened his desk, wrote a sentence on a scrap of paper, and handed it to Mr. Dinsmore.	He opened his desk, wrote a sentence on a scrap of paper, and handed it to mr Dinsmore.
6388_64974_000097_000001	The chirography was precisely that of the letter. While slowly convalescing, Arthur had prepared for this expected interview with Horace, by spending many a solitary hour in laboriously teaching himself to imitate Jackson's ordinary hand, in which most of the letters he had received from him were written.	The chirography was precisely that of the letter. While slowly convalescing, Arthur had prepared for this expected interview with Horace, by spending many a solitary hour in laboriously teaching himself to imitate Jackson's ordinary hand, in which most of the letters he had received from him were written.
6388_64974_000098_000000	"I don't believe a word of it," said Mr. Dinsmore, looking sternly at him.	"I don't believe a word of it," said mr Dinsmore, looking sternly at him.
6388_64974_000098_000001	"Arthur, you had better be frank and open with me.	"Arthur, you had better be frank and open with me.
6388_64974_000098_000003	I have no doubt that you sent that villain to Lansdale to try his arts upon Elsie; and for that you are richly deserving of my anger, and of any punishment it might be in my power to deal out to you.	I have no doubt that you sent that villain to Lansdale to try his arts upon Elsie; and for that you are richly deserving of my anger, and of any punishment it might be in my power to deal out to you.
6388_64974_000099_000000	"It has been no easy matter for me to forgive the suffering you have caused my child, Arthur; but I came here to-day with kind feelings and intentions.	"It has been no easy matter for me to forgive the suffering you have caused my child, Arthur; but I came here to day with kind feelings and intentions.
6388_64974_000099_000001	I hoped to find you penitent and ready to forsake your evil courses; and in that case, intended to help you to pay off your debts and begin anew, without paining father with the knowledge that his confidence in you has been again so shamefully abused.	I hoped to find you penitent and ready to forsake your evil courses; and in that case, intended to help you to pay off your debts and begin anew, without paining father with the knowledge that his confidence in you has been again so shamefully abused.
6388_64974_000099_000002	But I must say that your persistent denial of your complicity with that scoundrel Jackson does not look much like contrition, or intended amendment."	But I must say that your persistent denial of your complicity with that scoundrel Jackson does not look much like contrition, or intended amendment."
6388_64974_000100_000000	Arthur listened in sullen silence, though his rapidly changing color showed that he felt the cutting rebuke keenly.	Arthur listened in sullen silence, though his rapidly changing color showed that he felt the cutting rebuke keenly.
6388_64974_000100_000001	At one time he had resolved to confess everything, throw himself upon the mercy of his father and brother, and begin to lead an honest, upright life; but a threatening letter received that morning from Jackson had led him to change his purpose, and determine to close his lips for a time.	At one time he had resolved to confess everything, throw himself upon the mercy of his father and brother, and begin to lead an honest, upright life; but a threatening letter received that morning from Jackson had led him to change his purpose, and determine to close his lips for a time.
6388_64974_000102_000000	Walter looked at Arthur in surprise.	Walter looked at Arthur in surprise.
6388_64974_000102_000001	"Come, Art, speak, why don't you?" he said.	"Come, Art, speak, why don't you?" he said.
6388_64974_000102_000002	"Horace, don't look so stern and angry, I know he means to turn over a new leaf; for he told me so.	"Horace, don't look so stern and angry, I know he means to turn over a new leaf; for he told me so.
6388_64974_000102_000003	And you will help him, won't you?"	And you will help him, won't you?"
6388_64974_000103_000000	"I ask no favors from a man who throws the lie in my teeth," muttered Arthur angrily.	"I ask no favors from a man who throws the lie in my teeth," muttered Arthur angrily.
6388_64974_000104_000001	"But, Arthur, I give you one more chance, and for our father's sake I hope you will avail yourself of it.	"But, Arthur, I give you one more chance, and for our father's sake I hope you will avail yourself of it.
6388_64974_000104_000002	If you go on as you have for the last three or four years, you will bring down his gray hairs with sorrow to the grave.	If you go on as you have for the last three or four years, you will bring down his gray hairs with sorrow to the grave.
6388_64974_000104_000003	I presume you have put yourself in Jackson's power; but if you will now make a full and free confession to me, and promise amendment, I will help you to get rid of the rascal's claims upon you, and start afresh.	I presume you have put yourself in Jackson's power; but if you will now make a full and free confession to me, and promise amendment, I will help you to get rid of the rascal's claims upon you, and start afresh.
6388_64974_000104_000004	Will you do it?"	Will you do it?"
6388_64974_000105_000000	"No, you've called me a liar, and what's the use of my telling you anything?	"No, you've called me a liar, and what's the use of my telling you anything?
