439_122810_000000_000000	THE RED SHOES	THE RED SHOES	false	6.63	38.38	18.62688
439_122810_000008_000001	The rich shoemaker in the city took the measure of her little foot.	The rich shoemaker in the city took the measure of her little foot.	true	185.06	189.1	18
439_122810_000008_000002	This took place at his house, in his room; where stood large glass-cases, filled with elegant shoes and brilliant boots.	This took place at his house, in his room; where stood large glass cases, filled with elegant shoes and brilliant boots.	true	189.47	198.58	18.470764
439_122810_000008_000003	All this looked charming, but the old lady could not see well, and so had no pleasure in them.	All this looked charming, but the old lady could not see well, and so had no pleasure in them.	true	199.16	205.6	22.255524
439_122810_000008_000004	In the midst of the shoes stood a pair of red ones, just like those the princess had worn.	In the midst of the shoes stood a pair of red ones, just like those the princess had worn.	true	206.36	212.26	20
439_122810_000008_000005	How beautiful they were!	How beautiful they were!	true	212.51	214.27	15.99333
439_122810_000008_000006	The shoemaker said also they had been made for the child of a count, but had not fitted.	The shoemaker said also they had been made for the child of a count, but had not fitted.	true	214.58	220.9	14
439_122810_000009_000000	"That must be patent leather!" said the old lady.	"That must be patent leather!" said the old lady.	true	221.6	224.83	17
439_122810_000009_000001	"They shine so!"	"They shine so!"	true	224.96	226.84	17.289
439_122810_000010_000000	"Yes, they shine!" said Karen, and they fitted, and were bought, but the old lady knew nothing about their being red, else she would never have allowed Karen to have gone in red shoes to be confirmed.	"Yes, they shine!" said Karen, and they fitted, and were bought, but the old lady knew nothing about their being red, else she would never have allowed Karen to have gone in red shoes to be confirmed.	true	227.39	242.23	18.924177
439_122810_000010_000001	Yet such was the case.	Yet such was the case.	true	242.93	244.87	19.286829
439_122810_000011_000000	Everybody looked at her feet; and when she stepped through the chancel door on the church pavement, it seemed to her as if the old figures on the tombs, those portraits of old preachers and preachers' wives, with stiff ruffs, and long black dresses, fixed their eyes on her red shoes. And she thought only of them as the clergyman laid his hand upon her head, and spoke of the holy baptism, of the covenant with God, and how she should be now a matured Christian; and the organ pealed so solemnly; the sweet children's voices sang, and the old music-directors sang, but Karen only thought of her red shoes.	Everybody looked at her feet; and when she stepped through the chancel door on the church pavement, it seemed to her as if the old figures on the tombs, those portraits of old preachers and preachers' wives, with stiff ruffs, and long black dresses, fixed their eyes on her red shoes. And she thought only of them as the clergyman laid his hand upon her head, and spoke of the holy baptism, of the covenant with God, and how she should be now a matured Christian; and the organ pealed so solemnly; the sweet children's voices sang, and the old music directors sang, but Karen only thought of her red shoes.	false	246.08	289.69	19.13703
439_122810_000012_000000	In the afternoon, the old lady heard from everyone that the shoes had been red, and she said that it was very wrong of Karen, that it was not at all becoming, and that in future Karen should only go in black shoes to church, even when she should be older.	In the afternoon, the old lady heard from everyone that the shoes had been red, and she said that it was very wrong of Karen, that it was not at all becoming, and that in future Karen should only go in black shoes to church, even when she should be older.	true	290.54	307.21	19.633915
439_122810_000013_000000	The next Sunday there was the sacrament, and Karen looked at the black shoes, looked at the red ones--looked at them again, and put on the red shoes.	The next Sunday there was the sacrament, and Karen looked at the black shoes, looked at the red ones-looked at them again, and put on the red shoes.	true	308.33	318.97	21.630241
439_122810_000014_000000	The sun shone gloriously; Karen and the old lady walked along the path through the corn; it was rather dusty there.	The sun shone gloriously; Karen and the old lady walked along the path through the corn; it was rather dusty there.	true	319.67	328.24	21.557838
439_122810_000015_000000	At the church door stood an old soldier with a crutch, and with a wonderfully long beard, which was more red than white, and he bowed to the ground, and asked the old lady whether he might dust her shoes.	At the church door stood an old soldier with a crutch, and with a wonderfully long beard, which was more red than white, and he bowed to the ground, and asked the old lady whether he might dust her shoes.	true	328.76	341.59	16
439_122810_000015_000001	And Karen stretched out her little foot.	And Karen stretched out her little foot.	true	342.02	344.89	19
439_122810_000016_000000	"See, what beautiful dancing shoes!" said the soldier.	"See, what beautiful dancing shoes!" said the soldier.	true	346.16	351.01	18.140636
439_122810_000016_000001	"Sit firm when you dance"; and he put his hand out towards the soles.	"Sit firm when you dance"; and he put his hand out towards the soles.	true	351.44	356.68	20.46591
439_122810_000017_000000	And the old lady gave the old soldier alms, and went into the church with Karen.	And the old lady gave the old soldier alms, and went into the church with Karen.	false	357.23	362.02	17.540478
439_122810_000018_000000	And all the people in the church looked at Karen's red shoes, and all the pictures, and as Karen knelt before the altar, and raised the cup to her lips, she only thought of the red shoes, and they seemed to swim in it; and she forgot to sing her psalm, and she forgot to pray, "Our Father in Heaven!"	And all the people in the church looked at Karen's red shoes, and all the pictures, and as Karen knelt before the altar, and raised the cup to her lips, she only thought of the red shoes, and they seemed to swim in it; and she forgot to sing her psalm, and she forgot to pray, "Our Father in Heaven!"	false	364.01	385.27	19.943481
439_122810_000019_000000	Now all the people went out of church, and the old lady got into her carriage.	Now all the people went out of church, and the old lady got into her carriage.	false	386.15	391.36	18.434467
439_122810_000019_000001	Karen raised her foot to get in after her, when the old soldier said,	Karen raised her foot to get in after her, when the old soldier said,	true	392	396.76	18
439_122810_000020_000000	"Look, what beautiful dancing shoes!"	"Look, what beautiful dancing shoes!"	true	397.31	400.75	17.692684
439_122810_000021_000000	And Karen could not help dancing a step or two, and when she began her feet continued to dance; it was just as though the shoes had power over them.	And Karen could not help dancing a step or two, and when she began her feet continued to dance; it was just as though the shoes had power over them.	true	401.93	411.76	20.49326
439_122810_000021_000001	She danced round the church corner, she could not leave off; the coachman was obliged to run after and catch hold of her, and he lifted her in the carriage, but her feet continued to dance so that she trod on the old lady dreadfully.	She danced round the church corner, she could not leave off; the coachman was obliged to run after and catch hold of her, and he lifted her in the carriage, but her feet continued to dance so that she trod on the old lady dreadfully.	false	412.16	427.15	19.27568
439_122810_000021_000002	At length she took the shoes off, and then her legs had peace.	At length she took the shoes off, and then her legs had peace.	true	428.09	432.82	15
439_122810_000022_000000	The shoes were placed in a closet at home, but Karen could not avoid looking at them.	The shoes were placed in a closet at home, but Karen could not avoid looking at them.	true	433.55	439.6	20.806908
439_122810_000023_000000	Now the old lady was sick, and it was said she could not recover.	Now the old lady was sick, and it was said she could not recover.	true	440.81	445.3	15.899934
439_122810_000023_000001	She must be nursed and waited upon, and there was no one whose duty it was so much as Karen's.	She must be nursed and waited upon, and there was no one whose duty it was so much as Karen's.	true	445.94	453.1	17.775284
439_122810_000023_000002	But there was a great ball in the city, to which Karen was invited.	But there was a great ball in the city, to which Karen was invited.	true	454.13	458.08	17.416416
439_122810_000023_000003	She looked at the old lady, who could not recover, she looked at the red shoes, and she thought there could be no sin in it; she put on the red shoes, she might do that also, she thought.	She looked at the old lady, who could not recover, she looked at the red shoes, and she thought there could be no sin in it; she put on the red shoes, she might do that also, she thought.	true	458.63	472.06	19.630445
439_122810_000023_000004	But then she went to the ball and began to dance.	But then she went to the ball and began to dance.	true	472.49	475.93	18.391245
439_122810_000024_000000	When she wanted to dance to the right, the shoes would dance to the left, and when she wanted to dance up the room, the shoes danced back again, down the steps, into the street, and out of the city gate.	When she wanted to dance to the right, the shoes would dance to the left, and when she wanted to dance up the room, the shoes danced back again, down the steps, into the street, and out of the city gate.	true	477.26	490.48	19
439_122810_000024_000001	She danced, and was forced to dance straight out into the gloomy wood.	She danced, and was forced to dance straight out into the gloomy wood.	true	490.7	495.64	21.162182
439_122810_000025_000000	Then it was suddenly light up among the trees, and she fancied it must be the moon, for there was a face; but it was the old soldier with the red beard; he sat there, nodded his head, and said, "Look, what beautiful dancing shoes!"	Then it was suddenly light up among the trees, and she fancied it must be the moon, for there was a face; but it was the old soldier with the red beard; he sat there, nodded his head, and said, "Look, what beautiful dancing shoes!"	true	496.67	514.42	19.501013
439_122810_000026_000000	Then she was terrified, and wanted to fling off the red shoes, but they clung fast; and she pulled down her stockings, but the shoes seemed to have grown to her feet.	Then she was terrified, and wanted to fling off the red shoes, but they clung fast; and she pulled down her stockings, but the shoes seemed to have grown to her feet.	true	515.33	526.18	18.62791
439_122810_000026_000001	And she danced, and must dance, over fields and meadows, in rain and sunshine, by night and day; but at night it was the most fearful.	And she danced, and must dance, over fields and meadows, in rain and sunshine, by night and day; but at night it was the most fearful.	true	526.34	536.62	16
439_122810_000027_000000	She danced over the churchyard, but the dead did not dance--they had something better to do than to dance.	She danced over the churchyard, but the dead did not dance-they had something better to do than to dance.	true	537.02	543.67	18
439_122810_000027_000001	She wished to seat herself on a poor man's grave, where the bitter tansy grew; but for her there was neither peace nor rest; and when she danced towards the open church door, she saw an angel standing there.	She wished to seat herself on a poor man's grave, where the bitter tansy grew; but for her there was neither peace nor rest; and when she danced towards the open church door, she saw an angel standing there.	false	544.34	558.01	18
439_122810_000027_000002	He wore long, white garments; he had wings which reached from his shoulders to the earth; his countenance was severe and grave; and in his hand he held a sword, broad and glittering.	He wore long, white garments; he had wings which reached from his shoulders to the earth; his countenance was severe and grave; and in his hand he held a sword, broad and glittering.	true	558.26	572.2	13
439_122810_000028_000000	"Dance shalt thou!" said he.	"Dance shalt thou!" said he.	true	572.99	575.95	22.675344
439_122810_000028_000001	"Dance in thy red shoes till thou art pale and cold!	"Dance in thy red shoes till thou art pale and cold!	false	576.2	581.4	16
439_122810_000028_000002	Till thy skin shrivels up and thou art a skeleton!	Till thy skin shrivels up and thou art a skeleton!	true	581.4	585.61	17
439_122810_000028_000003	Dance shalt thou from door to door, and where proud, vain children dwell, thou shalt knock, that they may hear thee and tremble!	Dance shalt thou from door to door, and where proud, vain children dwell, thou shalt knock, that they may hear thee and tremble!	false	585.83	596.77	15
439_122810_000028_000004	Dance shalt thou--!"	Dance shalt thou-!"	true	596.99	599.32	25.351862
439_122810_000029_000000	"Mercy!" cried Karen.	"Mercy!" cried Karen.	true	599.93	602.5	21.012321
439_122810_000029_000001	But she did not hear the angel's reply, for the shoes carried her through the gate into the fields, across roads and bridges, and she must keep ever dancing.	But she did not hear the angel's reply, for the shoes carried her through the gate into the fields, across roads and bridges, and she must keep ever dancing.	true	602.66	612.91	17
439_122810_000030_000000	One morning she danced past a door which she well knew.	One morning she danced past a door which she well knew.	false	613.85	617.35	16.517633
439_122810_000030_000001	Within sounded a psalm; a coffin, decked with flowers, was borne forth.	Within sounded a psalm; a coffin, decked with flowers, was borne forth.	true	617.57	623.5	17.299519
439_122810_000030_000002	Then she knew that the old lady was dead, and felt that she was abandoned by all, and condemned by the angel of God.	Then she knew that the old lady was dead, and felt that she was abandoned by all, and condemned by the angel of God.	true	623.84	632.29	15.531921
439_122810_000031_000000	She danced, and she was forced to dance through the gloomy night.	She danced, and she was forced to dance through the gloomy night.	true	632.93	637.57	19.943981
439_122810_000031_000001	The shoes carried her over stack and stone; she was torn till she bled; she danced over the heath till she came to a little house.	The shoes carried her over stack and stone; she was torn till she bled; she danced over the heath till she came to a little house.	true	637.79	647.29	15
439_122810_000031_000002	Here, she knew, dwelt the executioner; and she tapped with her fingers at the window, and said, "Come out!	Here, she knew, dwelt the executioner; and she tapped with her fingers at the window, and said, "Come out!	true	647.66	654.645	20.667603
439_122810_000031_000003	Come out!	Come out!	true	654.645	655.51	22.86096
439_122810_000031_000004	I cannot come in, for I am forced to dance!"	I cannot come in, for I am forced to dance!"	true	655.64	659.05	22.920204
439_122810_000032_000000	And the executioner said, "Thou dost not know who I am, I fancy?	And the executioner said, "Thou dost not know who I am, I fancy?	true	659.63	664.75	17.019773
439_122810_000032_000001	I strike bad people's heads off; and I hear that my axe rings!"	I strike bad people's heads off; and I hear that my axe rings!"	true	664.91	669.91	14
439_122810_000033_000000	"Don't strike my head off!" said Karen.	"Don't strike my head off!" said Karen.	true	671	674.08	22.922834
439_122810_000033_000001	"Then I can't repent of my sins! But strike off my feet in the red shoes!"	"Then I can't repent of my sins! But strike off my feet in the red shoes!"	true	674.48	680.2	20.094667
439_122810_000034_000000	And then she confessed her entire sin, and the executioner struck off her feet with the red shoes, but the shoes danced away with the little feet across the field into the deep wood.	And then she confessed her entire sin, and the executioner struck off her feet with the red shoes, but the shoes danced away with the little feet across the field into the deep wood.	true	680.87	693.43	18.841766
439_122810_000035_000000	And he carved out little wooden feet for her, and crutches, taught her the psalm criminals always sing; and she kissed the hand which had wielded the axe, and went over the heath.	And he carved out little wooden feet for her, and crutches, taught her the psalm criminals always sing; and she kissed the hand which had wielded the axe, and went over the heath.	true	694.16	705.91	19.814644
439_122810_000036_000000	"Now I have suffered enough for the red shoes!" said she.	"Now I have suffered enough for the red shoes!" said she.	true	707.06	711.25	19.0362
439_122810_000036_000001	"Now I will go into the church that people may see me!" And she hastened towards the church door: but when she was near it, the red shoes danced before her, and she was terrified, and turned round.	"Now I will go into the church that people may see me!" And she hastened towards the church door: but when she was near it, the red shoes danced before her, and she was terrified, and turned round.	true	711.59	726.04	19.739231
439_122810_000036_000002	The whole week she was unhappy, and wept many bitter tears; but when Sunday returned, she said, "Well, now I have suffered and struggled enough!	The whole week she was unhappy, and wept many bitter tears; but when Sunday returned, she said, "Well, now I have suffered and struggled enough!	true	726.71	737.23	19.393911
439_122810_000036_000003	I really believe I am as good as many a one who sits in the church, and holds her head so high!"	I really believe I am as good as many a one who sits in the church, and holds her head so high!"	true	737.6	744.48	14
439_122810_000037_000000	And away she went boldly; but she had not got farther than the churchyard gate before she saw the red shoes dancing before her; and she was frightened, and turned back, and repented of her sin from her heart.	And away she went boldly; but she had not got farther than the churchyard gate before she saw the red shoes dancing before her; and she was frightened, and turned back, and repented of her sin from her heart.	false	744.48	759.52	18.212584
439_122810_000038_000000	And she went to the parsonage, and begged that they would take her into service; she would be very industrious, she said, and would do everything she could; she did not care about the wages, only she wished to have a home, and be with good people.	And she went to the parsonage, and begged that they would take her into service; she would be very industrious, she said, and would do everything she could; she did not care about the wages, only she wished to have a home, and be with good people.	true	760.55	776.98	19.104986
439_122810_000038_000001	And the clergyman's wife was sorry for her and took her into service; and she was industrious and thoughtful.	And the clergyman's wife was sorry for her and took her into service; and she was industrious and thoughtful.	true	777.62	784.18	20.100927
439_122810_000038_000002	She sat still and listened when the clergyman read the Bible in the evenings.	She sat still and listened when the clergyman read the Bible in the evenings.	true	784.79	789.4	13
439_122810_000038_000003	All the children thought a great deal of her; but when they spoke of dress, and grandeur, and beauty, she shook her head.	All the children thought a great deal of her; but when they spoke of dress, and grandeur, and beauty, she shook her head.	true	789.86	798.13	19
439_122810_000039_000000	The following Sunday, when the family was going to church, they asked her whether she would not go with them; but she glanced sorrowfully, with tears in her eyes, at her crutches.	The following Sunday, when the family was going to church, they asked her whether she would not go with them; but she glanced sorrowfully, with tears in her eyes, at her crutches.	true	799.16	810.01	17
439_122810_000039_000001	The family went to hear the word of God; but she went alone into her little chamber; there was only room for a bed and chair to stand in it; and here she sat down with her Prayer-Book; and whilst she read with a pious mind, the wind bore the strains of the organ towards her, and she raised her tearful countenance, and said, "O God, help me!"	The family went to hear the word of God; but she went alone into her little chamber; there was only room for a bed and chair to stand in it; and here she sat down with her Prayer Book; and whilst she read with a pious mind, the wind bore the strains of the organ towards her, and she raised her tearful countenance, and said, "O God, help me!"	true	810.62	835.42	19.955114
439_122810_000040_000000	And the sun shone so clearly, and straight before her stood the angel of God in white garments, the same she had seen that night at the church door; but he no longer carried the sharp sword, but in its stead a splendid green spray, full of roses.	And the sun shone so clearly, and straight before her stood the angel of God in white garments, the same she had seen that night at the church door; but he no longer carried the sharp sword, but in its stead a splendid green spray, full of roses.	true	836	854.29	19
439_122810_000040_000001	And he touched the ceiling with the spray, and the ceiling rose so high, and where he had touched it there gleamed a golden star.	And he touched the ceiling with the spray, and the ceiling rose so high, and where he had touched it there gleamed a golden star.	true	855.02	863.47	20.38022
439_122810_000040_000002	And he touched the walls, and they widened out, and she saw the organ which was playing; she saw the old pictures of the preachers and the preachers' wives.	And he touched the walls, and they widened out, and she saw the organ which was playing; she saw the old pictures of the preachers and the preachers' wives.	false	863.9	874.03	17.194883
439_122810_000040_000003	The congregation sat in cushioned seats, and sang out of their Prayer-Books.	The congregation sat in cushioned seats, and sang out of their Prayer Books.	true	874.52	879.79	19.376724
439_122810_000040_000004	For the church itself had come to the poor girl in her narrow chamber, or else she had come into the church.	For the church itself had come to the poor girl in her narrow chamber, or else she had come into the church.	true	879.89	886.69	23.00947
439_122810_000040_000005	She sat in the pew with the clergyman's family, and when they had ended the psalm and looked up, they nodded and said, "It is right that thou art come!"	She sat in the pew with the clergyman's family, and when they had ended the psalm and looked up, they nodded and said, "It is right that thou art come!"	false	886.7	896.62	18.68074
439_122810_000041_000000	"It was through mercy!" she said.	"It was through mercy!" she said.	true	896.78	899.59	17.694607
439_122810_000042_000000	And the organ pealed, and the children's voices in the choir sounded so sweet and soft!	And the organ pealed, and the children's voices in the choir sounded so sweet and soft!	true	899.72	905.88	16
439_122810_000042_000001	The clear sunshine streamed so warmly through the window into the pew where Karen sat!	The clear sunshine streamed so warmly through the window into the pew where Karen sat!	true	905.88	911.71	14
439_122810_000042_000002	Her heart was so full of sunshine, peace, and joy, that it broke.	Her heart was so full of sunshine, peace, and joy, that it broke.	true	912.26	918.225	18.717884
439_122810_000042_000003	Her soul flew on the sunshine to God, and there no one asked after the RED SHOES.	Her soul flew on the sunshine to God, and there no one asked after the RED SHOES.	false	918.225	931.26	16.768024
439_122810_000043_000000	End of Project Gutenberg's Andersen's Fairy Tales, by Hans Christian Andersen	End of Project Gutenberg's Andersen's Fairy Tales, by Hans Christian Andersen	false	931.26	938.28	19.669596
